"plh0012_h","year","migback","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","kein Migrationshintergrund","496","0.0914868339748224","0.0837008887548262","0.0992727791948187"
"CDU/CSU","1984","direkter Migrationshintergrund","131","0.10673809534648","0.0886704817711496","0.12480570892181"
"CDU/CSU","1984","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1984","kein Migrationshintergrund","","","",""
"CDU/FDP","1984","direkter Migrationshintergrund","","","",""
"CDU/FDP","1984","indirekter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1984","kein Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1984","direkter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1984","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1984","kein Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1984","direkter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1984","indirekter Migrationshintergrund","","","",""
"SPD/Die Linke","1984","kein Migrationshintergrund","","","",""
"SPD/Die Linke","1984","direkter Migrationshintergrund","","","",""
"SPD/Die Linke","1984","indirekter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1984","kein Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1984","direkter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1984","kein Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1984","direkter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","","","",""
"CDU/Die Linke","1984","kein Migrationshintergrund","","","",""
"CDU/Die Linke","1984","direkter Migrationshintergrund","","","",""
"CDU/Die Linke","1984","indirekter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1984","kein Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1984","direkter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","","","",""
"CSU/FDP","1984","kein Migrationshintergrund","","","",""
"CSU/FDP","1984","direkter Migrationshintergrund","","","",""
"CSU/FDP","1984","indirekter Migrationshintergrund","","","",""
"Gruene/FDP","1984","kein Migrationshintergrund","","","",""
"Gruene/FDP","1984","direkter Migrationshintergrund","","","",""
"Gruene/FDP","1984","indirekter Migrationshintergrund","","","",""
"FDP/Die Linke","1984","kein Migrationshintergrund","","","",""
"FDP/Die Linke","1984","direkter Migrationshintergrund","","","",""
"FDP/Die Linke","1984","indirekter Migrationshintergrund","","","",""
"FDP/NPD","1984","kein Migrationshintergrund","","","",""
"FDP/NPD","1984","direkter Migrationshintergrund","","","",""
"FDP/NPD","1984","indirekter Migrationshintergrund","","","",""
"Piratenpartei","1984","kein Migrationshintergrund","","","",""
"Piratenpartei","1984","direkter Migrationshintergrund","","","",""
"Piratenpartei","1984","indirekter Migrationshintergrund","","","",""
"AfD","1984","kein Migrationshintergrund","","","",""
"AfD","1984","direkter Migrationshintergrund","","","",""
"AfD","1984","indirekter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1984","kein Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1984","direkter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1984","indirekter Migrationshintergrund","","","",""
"SPD/AfD","1984","kein Migrationshintergrund","","","",""
"SPD/AfD","1984","direkter Migrationshintergrund","","","",""
"SPD/AfD","1984","indirekter Migrationshintergrund","","","",""
"SPD","1985","kein Migrationshintergrund","2115","0.442077912199842","0.427976817656532","0.456179006743151"
"SPD","1985","direkter Migrationshintergrund","664","0.531050362007636","0.499531835606449","0.562568888408823"
"SPD","1985","indirekter Migrationshintergrund","30","0.409355435136431","0.271677787353717","0.547033082919144"
"CDU","1985","kein Migrationshintergrund","1421","0.305032362686936","0.291959464211183","0.318105261162688"
"CDU","1985","direkter Migrationshintergrund","72","0.197891952256208","0.172728776512154","0.223055128000261"
"CDU","1985","indirekter Migrationshintergrund","","","",""
"CSU","1985","kein Migrationshintergrund","273","0.0612011467433992","0.0543952917202415","0.0680070017665568"
"CSU","1985","direkter Migrationshintergrund","","","",""
"CSU","1985","indirekter Migrationshintergrund","","","",""
"FDP","1985","kein Migrationshintergrund","187","0.0406845833188956","0.035075236578169","0.0462939300596222"
"FDP","1985","direkter Migrationshintergrund","","","",""
"FDP","1985","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1985","kein Migrationshintergrund","319","0.060651706367073","0.0538744880523067","0.0674289246818394"
"Buendnis90/Gruene","1985","direkter Migrationshintergrund","84","0.0701880909750793","0.054053267631267","0.0863229143188917"
"Buendnis90/Gruene","1985","indirekter Migrationshintergrund","","","",""
"Die Linke","1985","kein Migrationshintergrund","","","",""
"Die Linke","1985","direkter Migrationshintergrund","","","",""
"Die Linke","1985","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1985","kein Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1985","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1985","indirekter Migrationshintergrund","","","",""
"Andere","1985","kein Migrationshintergrund","36","0.00745815065701087","0.00501524537691276","0.00990105593710899"
"Andere","1985","direkter Migrationshintergrund","","","",""
"Andere","1985","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1985","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1985","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1985","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1985","kein Migrationshintergrund","","","",""
"SPD/CDU","1985","direkter Migrationshintergrund","","","",""
"SPD/CDU","1985","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1985","kein Migrationshintergrund","","","",""
"SPD/FDP","1985","direkter Migrationshintergrund","","","",""
"SPD/FDP","1985","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1985","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1985","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1985","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1985","kein Migrationshintergrund","414","0.0828941380268439","0.0750654626832434","0.0907228133704444"
"CDU/CSU","1985","direkter Migrationshintergrund","115","0.132244633731612","0.110849124351254","0.15364014311197"
"CDU/CSU","1985","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1985","kein Migrationshintergrund","","","",""
"CDU/FDP","1985","direkter Migrationshintergrund","","","",""
"CDU/FDP","1985","indirekter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1985","kein Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1985","direkter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1985","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1985","kein Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1985","direkter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1985","indirekter Migrationshintergrund","","","",""
"SPD/Die Linke","1985","kein Migrationshintergrund","","","",""
"SPD/Die Linke","1985","direkter Migrationshintergrund","","","",""
"SPD/Die Linke","1985","indirekter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1985","kein Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1985","direkter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1985","indirekter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1985","kein Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1985","direkter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1985","indirekter Migrationshintergrund","","","",""
"CDU/Die Linke","1985","kein Migrationshintergrund","","","",""
"CDU/Die Linke","1985","direkter Migrationshintergrund","","","",""
"CDU/Die Linke","1985","indirekter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1985","kein Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1985","direkter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1985","indirekter Migrationshintergrund","","","",""
"CSU/FDP","1985","kein Migrationshintergrund","","","",""
"CSU/FDP","1985","direkter Migrationshintergrund","","","",""
"CSU/FDP","1985","indirekter Migrationshintergrund","","","",""
"Gruene/FDP","1985","kein Migrationshintergrund","","","",""
"Gruene/FDP","1985","direkter Migrationshintergrund","","","",""
"Gruene/FDP","1985","indirekter Migrationshintergrund","","","",""
"FDP/Die Linke","1985","kein Migrationshintergrund","","","",""
"FDP/Die Linke","1985","direkter Migrationshintergrund","","","",""
"FDP/Die Linke","1985","indirekter Migrationshintergrund","","","",""
"FDP/NPD","1985","kein Migrationshintergrund","","","",""
"FDP/NPD","1985","direkter Migrationshintergrund","","","",""
"FDP/NPD","1985","indirekter Migrationshintergrund","","","",""
"Piratenpartei","1985","kein Migrationshintergrund","","","",""
"Piratenpartei","1985","direkter Migrationshintergrund","","","",""
"Piratenpartei","1985","indirekter Migrationshintergrund","","","",""
"AfD","1985","kein Migrationshintergrund","","","",""
"AfD","1985","direkter Migrationshintergrund","","","",""
"AfD","1985","indirekter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1985","kein Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1985","direkter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1985","indirekter Migrationshintergrund","","","",""
"SPD/AfD","1985","kein Migrationshintergrund","","","",""
"SPD/AfD","1985","direkter Migrationshintergrund","","","",""
"SPD/AfD","1985","indirekter Migrationshintergrund","","","",""
"SPD","1986","kein Migrationshintergrund","2027","0.449880784429269","0.435363385643197","0.464398183215342"
"SPD","1986","direkter Migrationshintergrund","638","0.535988813717074","0.503693281761385","0.568284345672764"
"SPD","1986","indirekter Migrationshintergrund","","","",""
"CDU","1986","kein Migrationshintergrund","1334","0.300333985623636","0.286956967769789","0.313711003477482"
"CDU","1986","direkter Migrationshintergrund","77","0.229768170558807","0.202525102322018","0.257011238795597"
"CDU","1986","indirekter Migrationshintergrund","","","",""
"CSU","1986","kein Migrationshintergrund","270","0.0630571984108426","0.055964107067373","0.0701502897543123"
"CSU","1986","direkter Migrationshintergrund","","","",""
"CSU","1986","indirekter Migrationshintergrund","","","",""
"FDP","1986","kein Migrationshintergrund","160","0.0364323948281869","0.0309647961131474","0.0418999935432263"
"FDP","1986","direkter Migrationshintergrund","","","",""
"FDP","1986","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1986","kein Migrationshintergrund","311","0.0616186535471147","0.0546015568281209","0.0686357502661085"
"Buendnis90/Gruene","1986","direkter Migrationshintergrund","64","0.0655911359959196","0.0495589993679051","0.081623272623934"
"Buendnis90/Gruene","1986","indirekter Migrationshintergrund","","","",""
"Die Linke","1986","kein Migrationshintergrund","","","",""
"Die Linke","1986","direkter Migrationshintergrund","","","",""
"Die Linke","1986","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1986","kein Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1986","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1986","indirekter Migrationshintergrund","","","",""
"Andere","1986","kein Migrationshintergrund","","","",""
"Andere","1986","direkter Migrationshintergrund","","","",""
"Andere","1986","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1986","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1986","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1986","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1986","kein Migrationshintergrund","","","",""
"SPD/CDU","1986","direkter Migrationshintergrund","","","",""
"SPD/CDU","1986","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1986","kein Migrationshintergrund","","","",""
"SPD/FDP","1986","direkter Migrationshintergrund","","","",""
"SPD/FDP","1986","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1986","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1986","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1986","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1986","kein Migrationshintergrund","385","0.0833817838725417","0.075314236755958","0.0914493309891254"
"CDU/CSU","1986","direkter Migrationshintergrund","110","0.109690286093984","0.0894528730951711","0.129927699092798"
"CDU/CSU","1986","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1986","kein Migrationshintergrund","","","",""
"CDU/FDP","1986","direkter Migrationshintergrund","","","",""
"CDU/FDP","1986","indirekter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1986","kein Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1986","direkter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1986","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1986","kein Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1986","direkter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1986","indirekter Migrationshintergrund","","","",""
"SPD/Die Linke","1986","kein Migrationshintergrund","","","",""
"SPD/Die Linke","1986","direkter Migrationshintergrund","","","",""
"SPD/Die Linke","1986","indirekter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1986","kein Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1986","direkter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1986","indirekter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1986","kein Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1986","direkter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1986","indirekter Migrationshintergrund","","","",""
"CDU/Die Linke","1986","kein Migrationshintergrund","","","",""
"CDU/Die Linke","1986","direkter Migrationshintergrund","","","",""
"CDU/Die Linke","1986","indirekter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1986","kein Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1986","direkter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1986","indirekter Migrationshintergrund","","","",""
"CSU/FDP","1986","kein Migrationshintergrund","","","",""
"CSU/FDP","1986","direkter Migrationshintergrund","","","",""
"CSU/FDP","1986","indirekter Migrationshintergrund","","","",""
"Gruene/FDP","1986","kein Migrationshintergrund","","","",""
"Gruene/FDP","1986","direkter Migrationshintergrund","","","",""
"Gruene/FDP","1986","indirekter Migrationshintergrund","","","",""
"FDP/Die Linke","1986","kein Migrationshintergrund","","","",""
"FDP/Die Linke","1986","direkter Migrationshintergrund","","","",""
"FDP/Die Linke","1986","indirekter Migrationshintergrund","","","",""
"FDP/NPD","1986","kein Migrationshintergrund","","","",""
"FDP/NPD","1986","direkter Migrationshintergrund","","","",""
"FDP/NPD","1986","indirekter Migrationshintergrund","","","",""
"Piratenpartei","1986","kein Migrationshintergrund","","","",""
"Piratenpartei","1986","direkter Migrationshintergrund","","","",""
"Piratenpartei","1986","indirekter Migrationshintergrund","","","",""
"AfD","1986","kein Migrationshintergrund","","","",""
"AfD","1986","direkter Migrationshintergrund","","","",""
"AfD","1986","indirekter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1986","kein Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1986","direkter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1986","indirekter Migrationshintergrund","","","",""
"SPD/AfD","1986","kein Migrationshintergrund","","","",""
"SPD/AfD","1986","direkter Migrationshintergrund","","","",""
"SPD/AfD","1986","indirekter Migrationshintergrund","","","",""
"SPD","1987","kein Migrationshintergrund","1995","0.412024156584968","0.398140446327092","0.425907866842845"
"SPD","1987","direkter Migrationshintergrund","586","0.491556123817686","0.459477529070199","0.523634718565173"
"SPD","1987","indirekter Migrationshintergrund","37","0.351301354003798","0.233421599191722","0.469181108815874"
"CDU","1987","kein Migrationshintergrund","1452","0.301977344472826","0.289026848520811","0.314927840424842"
"CDU","1987","direkter Migrationshintergrund","82","0.214944539831605","0.188586042554908","0.241303037108302"
"CDU","1987","indirekter Migrationshintergrund","","","",""
"CSU","1987","kein Migrationshintergrund","268","0.0599329042382586","0.0532375039316892","0.066628304544828"
"CSU","1987","direkter Migrationshintergrund","","","",""
"CSU","1987","indirekter Migrationshintergrund","","","",""
"FDP","1987","kein Migrationshintergrund","260","0.0564173759530525","0.049909176275087","0.0629255756310181"
"FDP","1987","direkter Migrationshintergrund","","","",""
"FDP","1987","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1987","kein Migrationshintergrund","362","0.0663581295948521","0.0593370856963164","0.0733791734933879"
"Buendnis90/Gruene","1987","direkter Migrationshintergrund","103","0.0882945409809288","0.0700890886717386","0.106499993290119"
"Buendnis90/Gruene","1987","indirekter Migrationshintergrund","","","",""
"Die Linke","1987","kein Migrationshintergrund","","","",""
"Die Linke","1987","direkter Migrationshintergrund","","","",""
"Die Linke","1987","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1987","kein Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1987","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1987","indirekter Migrationshintergrund","","","",""
"Andere","1987","kein Migrationshintergrund","34","0.00766735821870618","0.00520690010602693","0.0101278163313854"
"Andere","1987","direkter Migrationshintergrund","","","",""
"Andere","1987","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1987","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1987","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1987","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1987","kein Migrationshintergrund","","","",""
"SPD/CDU","1987","direkter Migrationshintergrund","","","",""
"SPD/CDU","1987","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1987","kein Migrationshintergrund","","","",""
"SPD/FDP","1987","direkter Migrationshintergrund","","","",""
"SPD/FDP","1987","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1987","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1987","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1987","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1987","kein Migrationshintergrund","457","0.0956227309373361","0.0873276648439735","0.103917797030699"
"CDU/CSU","1987","direkter Migrationshintergrund","128","0.139964226716897","0.117701720602177","0.162226732831617"
"CDU/CSU","1987","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1987","kein Migrationshintergrund","","","",""
"CDU/FDP","1987","direkter Migrationshintergrund","","","",""
"CDU/FDP","1987","indirekter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1987","kein Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1987","direkter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1987","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1987","kein Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1987","direkter Migrationshintergrund","","","",""
"Buendnis90/Gruene/Die Linke","1987","indirekter Migrationshintergrund","","","",""
"SPD/Die Linke","1987","kein Migrationshintergrund","","","",""
"SPD/Die Linke","1987","direkter Migrationshintergrund","","","",""
"SPD/Die Linke","1987","indirekter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1987","kein Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1987","direkter Migrationshintergrund","","","",""
"Gruene/DVU(Rep/NPD)","1987","indirekter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1987","kein Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1987","direkter Migrationshintergrund","","","",""
"Die Linke /DVU(Rep/NPD)","1987","indirekter Migrationshintergrund","","","",""
"CDU/Die Linke","1987","kein Migrationshintergrund","","","",""
"CDU/Die Linke","1987","direkter Migrationshintergrund","","","",""
"CDU/Die Linke","1987","indirekter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1987","kein Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1987","direkter Migrationshintergrund","","","",""
"CDU/DVU(Rep/NPD)","1987","indirekter Migrationshintergrund","","","",""
"CSU/FDP","1987","kein Migrationshintergrund","","","",""
"CSU/FDP","1987","direkter Migrationshintergrund","","","",""
"CSU/FDP","1987","indirekter Migrationshintergrund","","","",""
"Gruene/FDP","1987","kein Migrationshintergrund","","","",""
"Gruene/FDP","1987","direkter Migrationshintergrund","","","",""
"Gruene/FDP","1987","indirekter Migrationshintergrund","","","",""
"FDP/Die Linke","1987","kein Migrationshintergrund","","","",""
"FDP/Die Linke","1987","direkter Migrationshintergrund","","","",""
"FDP/Die Linke","1987","indirekter Migrationshintergrund","","","",""
"FDP/NPD","1987","kein Migrationshintergrund","","","",""
"FDP/NPD","1987","direkter Migrationshintergrund","","","",""
"FDP/NPD","1987","indirekter Migrationshintergrund","","","",""
"Piratenpartei","1987","kein Migrationshintergrund","","","",""
"Piratenpartei","1987","direkter Migrationshintergrund","","","",""
"Piratenpartei","1987","indirekter Migrationshintergrund","","","",""
"AfD","1987","kein Migrationshintergrund","","","",""
"AfD","1987","direkter Migrationshintergrund","","","",""
"AfD","1987","indirekter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1987","kein Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1987","direkter Migrationshintergrund","","","",""
"CDU+/oder CSU/AfD","1987","indirekter Migrationshintergrund","","","",""
"SPD/AfD","1987","kein Migrationshintergrund","","","",""
"SPD/AfD","1987","direkter Migrationshintergrund","","","",""
"SPD/AfD","1987","indirekter Migrationshintergrund","","","",""
"SPD","1988","kein Migrationshintergrund","1991","0.46063214115716","0.445725281679135","0.475539000635184"
"SPD","1988","direkter Migrationshintergrund","556","0.531355298466597","0.497629327909276","0.565081269023919"
"SPD","1988","indirekter Migrationshintergrund","53","0.493210521280915","0.382964098487286","0.603456944074544"
"CDU","1988","kein Migrationshintergrund","1216","0.284176639755697","0.270688140639993","0.297665138871401"
"CDU","1988","direkter Migrationshintergrund","73","0.213386547680579","0.185697099787663","0.241075995573495"
"CDU","1988","indirekter Migrationshintergrund","","","",""
"CSU","1988","kein Migrationshintergrund","239","0.0574087296771146","0.0504518069088547","0.0643656524453745"
"CSU","1988","direkter Migrationshintergrund","","","",""
"CSU","1988","indirekter Migrationshintergrund","","","",""
"FDP","1988","kein Migrationshintergrund","198","0.047771006963657","0.041392494549068","0.0541495193782459"
"FDP","1988","direkter Migrationshintergrund","","","",""
"FDP","1988","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1988","kein Migrationshintergrund","258","0.0569410363860802","0.0500107909686659","0.0638712818034944"
"Buendnis90/Gruene","1988","direkter Migrationshintergrund","73","0.0609200022280623","0.0447547925005744","0.0770852119555502"
"Buendnis90/Gruene","1988","indirekter Migrationshintergrund","","","",""
"Die Linke","1988","kein Migrationshintergrund","","","",""
"Die Linke","1988","direkter Migrationshintergrund","","","",""
"Die Linke","1988","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1988","kein Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1988","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1988","indirekter Migrationshintergrund","","","",""
"Andere","1988","kein Migrationshintergrund","40","0.0103769245678749","0.0073462748504794","0.0134075742852704"
"Andere","1988","direkter Migrationshintergrund","","","",""
"Andere","1988","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1988","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1988","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1988","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1988","kein Migrationshintergrund","","","",""
"SPD/CDU","1988","direkter Migrationshintergrund","","","",""
"SPD/CDU","1988","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1988","kein Migrationshintergrund","","","",""
"SPD/FDP","1988","direkter Migrationshintergrund","","","",""
"SPD/FDP","1988","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1988","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1988","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1988","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1988","kein Migrationshintergrund","353","0.0826935214924173","0.074456703289565","0.0909303396952696"
"CDU/CSU","1988","direkter Migrationshintergrund","102","0.119379692273133","0.0974662971891229","0.141293087357143"
"CDU/CSU","1988","indirekter Migrationshintergrund","","","",""
"CDU/FDP","1988","kein Migrationshintergrund","","","",""
"CDU/FDP","1988","direkter Migrationshintergrund","","","",""
"CDU/FDP","1988","indirekter Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1988","kein Migrationshintergrund","","","",""
"CDU/Buendnis90/Gruene","1988","direkter Migrationshintergrund","","","",""
