"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2000","5 Einkommensstärkstes Quintil","1340.52","0","2914","1243.96","1437.08"
"2001","1 Einkommensschwächstes Quintil","4676.63","3308","7277","4553.17","4800.09"
"2001","2","3093.58","1649","7647","3009.49","3177.67"
"2001","3","2301.65","1564.5","6305","2219.48","2383.82"
"2001","4","1833.45","0","4636","1745.72","1921.18"
"2001","5 Einkommensstärkstes Quintil","1390.68","0","2863","1281.8","1499.56"
"2002","1 Einkommensschwächstes Quintil","4922.61","3306","6246","4787.19","5058.03"
"2002","2","3237.45","2101.5","6580","3145.43","3329.47"
"2002","3","2502.57","1610","5965","2412.01","2593.13"
"2002","4","1724.5","0","5859","1646.37","1802.63"
"2002","5 Einkommensstärkstes Quintil","1642.98","0","5466","1564.44","1721.52"
"2003","1 Einkommensschwächstes Quintil","5484.95","3695","5780","5334.24","5635.66"
"2003","2","3587.25","2050","6126","3479.23","3695.27"
"2003","3","2812.97","1847.5","6132","2723","2902.94"
"2003","4","2016.04","0","5838","1929.29","2102.79"
"2003","5 Einkommensstärkstes Quintil","1611.52","0","4916","1531.48","1691.56"
"2004","1 Einkommensschwächstes Quintil","5617.44","3907","5565","5464.22","5770.66"
"2004","2","3602.2","2334","5923","3488.89","3715.51"
"2004","3","2967.05","1847.5","5887","2871.18","3062.92"
"2004","4","2138.81","0","5687","2041.69","2235.93"
"2004","5 Einkommensstärkstes Quintil","1696.44","0","4869","1606.23","1786.65"
"2005","1 Einkommensschwächstes Quintil","6028.89","4670","5387","5862.17","6195.61"
"2005","2","3635.7","2384","5494","3518.35","3753.05"
"2005","3","2893.86","1847.5","5539","2796.77","2990.95"
"2005","4","2093.84","479.5","5455","2000.54","2187.14"
"2005","5 Einkommensstärkstes Quintil","1615.5","0","4831","1526.53","1704.47"
"2006","1 Einkommensschwächstes Quintil","6383.84","4345.5","5718","6211.51","6556.17"
"2006","2","3677.02","1921.5","5929","3561.74","3792.3"
"2006","3","2852.25","1847.5","5914","2750.3","2954.2"
"2006","4","2132.61","0","6058","2038.47","2226.75"
"2006","5 Einkommensstärkstes Quintil","1839.28","0","5049","1744.81","1933.75"
"2007","1 Einkommensschwächstes Quintil","6633.65","4444","4896","6435.97","6831.33"
"2007","2","3828.34","2013","5413","3692.28","3964.4"
"2007","3","2931.08","1847.5","5605","2832.08","3030.08"
"2007","4","2195.2","0","5736","2094.26","2296.14"
"2007","5 Einkommensstärkstes Quintil","1761.11","0","4965","1670.36","1851.86"
"2008","1 Einkommensschwächstes Quintil","6113.14","3690","4284","5902.7","6323.58"
"2008","2","3537.47","1842","4676","3404.39","3670.55"
"2008","3","3032.31","1847.5","5399","2930.88","3133.74"
"2008","4","2071.53","115","5548","1978.79","2164.27"
"2008","5 Einkommensstärkstes Quintil","1904.91","0","4970","1811.23","1998.59"
"2009","1 Einkommensschwächstes Quintil","5536.14","3695","3778","5325.58","5746.7"
"2009","2","3569.7","1866","4308","3422.61","3716.79"
"2009","3","2917.94","1847.5","4874","2806.77","3029.11"
"2009","4","2167.25","0","5353","2075.28","2259.22"
"2009","5 Einkommensstärkstes Quintil","2079.96","0","4908","1978.94","2180.98"
"2010","1 Einkommensschwächstes Quintil","6708.7","5154","8133","6539.25","6878.15"
"2010","2","3764.95","2034","8359","3645.03","3884.87"
"2010","3","3081.77","1962","7221","2971.3","3192.24"
"2010","4","2250.37","850","7305","2150.8","2349.94"
"2010","5 Einkommensstärkstes Quintil","2158.9","0","6450","2051.85","2265.95"
"2011","1 Einkommensschwächstes Quintil","6771","4408","8577","6597.45","6944.55"
"2011","2","4277.84","2196","9269","4141.54","4414.14"
"2011","3","2940.94","1959","8745","2839.18","3042.7"
"2011","4","2437.35","626","9296","2337.92","2536.78"
"2011","5 Einkommensstärkstes Quintil","2100.64","0","8114","1990.13","2211.15"
"2012","1 Einkommensschwächstes Quintil","6996.68","5000","7137","6808.94","7184.42"
"2012","2","4294.37","2210.5","8571","4155.53","4433.21"
"2012","3","3021.25","2148","8842","2922.12","3120.38"
"2012","4","2483.05","491","9321","2396.8","2569.3"
"2012","5 Einkommensstärkstes Quintil","1943.79","0","8534","1857.24","2030.34"
"2013","1 Einkommensschwächstes Quintil","7176.73","4969.5","8781","7004.97","7348.49"
"2013","2","4427.75","2208.5","9619","4291.53","4563.97"
"2013","3","2900.01","1914","9346","2798.75","3001.27"
"2013","4","2472.42","0","10558","2389.13","2555.71"
"2013","5 Einkommensstärkstes Quintil","1967.08","0","9360","1886.34","2047.82"
"2014","1 Einkommensschwächstes Quintil","7624.48","5835","6541","7407.65","7841.31"
"2014","2","4946.26","2976","7845","4786.68","5105.84"
"2014","3","3103.27","2202","8242","2999.67","3206.87"
"2014","4","2350.27","0","9637","2268.55","2431.99"
"2014","5 Einkommensstärkstes Quintil","2012.02","0","9242","1930.25","2093.79"
"2015","1 Einkommensschwächstes Quintil","7517.7","5379","6567","7307.84","7727.56"
"2015","2","5196.82","2687","7217","5018.57","5375.07"
"2015","3","3013.29","2148","7978","2904.88","3121.7"
"2015","4","2344.85","0","9548","2264.71","2424.99"
"2015","5 Einkommensstärkstes Quintil","1954.72","0","9740","1880.27","2029.17"
"2016","1 Einkommensschwächstes Quintil","8023.61","6072","4997","7775.36","8271.86"
"2016","2","5505.44","3906","6183","5298.5","5712.38"
"2016","3","3246.91","2205","6807","3125.74","3368.08"
"2016","4","2342.67","0","9264","2255.97","2429.37"
"2016","5 Einkommensstärkstes Quintil","2088.72","0","9539","2012.48","2164.96"
"2017","1 Einkommensschwächstes Quintil","8743.63","6465","9046","8502.29","8984.97"
"2017","2","5673.09","3748.5","6248","5437.21","5908.97"
"2017","3","3158.77","2204","7335","3021.69","3295.85"
"2017","4","2587.2","0","10177","2504.9","2669.5"
"2017","5 Einkommensstärkstes Quintil","2084.78","0","11841","2015.62","2153.94"
"2018","1 Einkommensschwächstes Quintil","8477.68","5976","10842","8223.61","8731.75"
"2018","2","6620.97","4559.5","6163","6307.87","6934.07"
"2018","3","3874.78","2274","7033","3705.24","4044.32"
"2018","4","2585.59","1278","10366","2503.74","2667.44"
"2018","5 Einkommensstärkstes Quintil","2106.79","0","12082","2029.75","2183.83"
"2019","1 Einkommensschwächstes Quintil","8886","6527.5","9153","8631.46","9140.54"
"2019","2","6683.29","4429","5772","6346.09","7020.49"
"2019","3","3896.37","2292","6222","3721.39","4071.35"
"2019","4","2904.51","1994","10222","2818.18","2990.84"
"2019","5 Einkommensstärkstes Quintil","2289.24","0","16141","2223.17","2355.31"
"2020","1 Einkommensschwächstes Quintil","9083.24","6511","7647","8817.73","9348.75"
"2020","2","6293.59","2725","6436","5984.2","6602.98"
"2020","3","4472.68","2436","6245","4263.07","4682.29"
"2020","4","2886.62","1388.5","10456","2789.04","2984.2"
"2020","5 Einkommensstärkstes Quintil","2569.04","0","15766","2499.58","2638.5"
