year,migback,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,No migration background,Rural regions,Not Employed,0.37451,744,1813,0.35222,0.39679
1987,Direct migration background,Urban regions,Full-Time Employment,0.47744,1384,2442,0.45762,0.49725
1987,Direct migration background,Urban regions,Regular Part-Time Employment,0.04665,110,2442,0.03829,0.05502
1987,Direct migration background,Urban regions,Vocational Training,0.02022,69,2442,0.01464,0.02581
1987,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01689,35,2442,0.01178,0.02200
1987,Direct migration background,Urban regions,Not Employed,0.37086,844,2442,0.35170,0.39002
1987,Direct migration background,Rural regions,Full-Time Employment,0.40398,209,329,0.35087,0.45708
1987,Direct migration background,Rural regions,Not Employed,0.36806,120,329,0.31586,0.42025
1987,Indirect migration background,Urban regions,Full-Time Employment,0.04464,43,119,0.00738,0.08190
1987,Indirect migration background,Urban regions,Not Employed,0.06866,76,119,0.02303,0.11429
1988,No migration background,Urban regions,Full-Time Employment,0.36517,2388,5387,0.35231,0.37803
1988,No migration background,Urban regions,Regular Part-Time Employment,0.05970,407,5387,0.05337,0.06603
1988,No migration background,Urban regions,Vocational Training,0.02720,221,5387,0.02286,0.03155
1988,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01804,117,5387,0.01448,0.02159
1988,No migration background,Urban regions,Not Employed,0.39097,2254,5387,0.37793,0.40400
1988,No migration background,Rural regions,Full-Time Employment,0.33072,729,1694,0.30831,0.35314
1988,No migration background,Rural regions,Regular Part-Time Employment,0.05600,128,1694,0.04505,0.06695
1988,No migration background,Rural regions,Vocational Training,0.03409,86,1694,0.02545,0.04273
1988,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01796,40,1694,0.01163,0.02428
1988,No migration background,Rural regions,Not Employed,0.38510,711,1694,0.36192,0.40828
1988,Direct migration background,Urban regions,Full-Time Employment,0.46660,1270,2328,0.44633,0.48687
1988,Direct migration background,Urban regions,Regular Part-Time Employment,0.05228,122,2328,0.04324,0.06132
1988,Direct migration background,Urban regions,Vocational Training,0.01905,76,2328,0.01349,0.02460
1988,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01612,36,2328,0.01100,0.02124
1988,Direct migration background,Urban regions,Not Employed,0.38395,824,2328,0.36419,0.40371
1988,Direct migration background,Rural regions,Full-Time Employment,0.39199,193,309,0.33747,0.44651
1988,Direct migration background,Rural regions,Not Employed,0.40272,116,309,0.34795,0.45750
1988,Indirect migration background,Urban regions,Full-Time Employment,0.04714,56,145,0.01253,0.08176
1988,Indirect migration background,Urban regions,Not Employed,0.07892,89,145,0.03488,0.12296
1989,No migration background,Urban regions,Full-Time Employment,0.37244,2372,5210,0.35932,0.38557
1989,No migration background,Urban regions,Regular Part-Time Employment,0.06046,397,5210,0.05399,0.06693
1989,No migration background,Urban regions,Vocational Training,0.02846,208,5210,0.02394,0.03297
1989,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01875,123,5210,0.01506,0.02243
1989,No migration background,Urban regions,Not Employed,0.38242,2110,5210,0.36922,0.39561
1989,No migration background,Rural regions,Full-Time Employment,0.34149,712,1580,0.31810,0.36488
1989,No migration background,Rural regions,Regular Part-Time Employment,0.06214,132,1580,0.05023,0.07405
1989,No migration background,Rural regions,Vocational Training,0.02805,67,1580,0.01990,0.03619
1989,No migration background,Rural regions,Not Employed,0.38250,669,1580,0.35853,0.40648
1989,Direct migration background,Urban regions,Full-Time Employment,0.47223,1261,2268,0.45168,0.49278
1989,Direct migration background,Urban regions,Regular Part-Time Employment,0.04553,112,2268,0.03695,0.05411
1989,Direct migration background,Urban regions,Vocational Training,0.00960,52,2268,0.00558,0.01361
1989,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.02073,36,2268,0.01487,0.02660
1989,Direct migration background,Urban regions,Not Employed,0.39992,807,2268,0.37976,0.42009
1989,Direct migration background,Rural regions,Full-Time Employment,0.38027,188,287,0.32401,0.43653
1989,Direct migration background,Rural regions,Not Employed,0.42142,99,287,0.36419,0.47865
1989,Indirect migration background,Urban regions,Full-Time Employment,0.04777,69,177,0.01626,0.07928
1989,Indirect migration background,Urban regions,Not Employed,0.09787,108,177,0.05397,0.14177
1990,No migration background,Urban regions,Full-Time Employment,0.38649,3234,6457,0.37461,0.39836
1990,No migration background,Urban regions,Regular Part-Time Employment,0.06622,553,6457,0.06015,0.07228
1990,No migration background,Urban regions,Vocational Training,0.02660,226,6457,0.02267,0.03052
1990,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01397,103,6457,0.01111,0.01683
1990,No migration background,Urban regions,Not Employed,0.35282,2341,6457,0.34116,0.36448
1990,No migration background,Rural regions,Full-Time Employment,0.39986,2492,4374,0.38534,0.41438
1990,No migration background,Rural regions,Regular Part-Time Employment,0.06849,403,4374,0.06100,0.07598
1990,No migration background,Rural regions,Vocational Training,0.02299,142,4374,0.01855,0.02744
1990,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01242,48,4374,0.00914,0.01571
1990,No migration background,Rural regions,Not Employed,0.30979,1289,4374,0.29608,0.32349
1990,Direct migration background,Urban regions,Full-Time Employment,0.47863,1245,2228,0.45788,0.49937
1990,Direct migration background,Urban regions,Regular Part-Time Employment,0.05909,128,2228,0.04929,0.06888
1990,Direct migration background,Urban regions,Vocational Training,0.01669,46,2228,0.01137,0.02201
1990,Direct migration background,Urban regions,Not Employed,0.39430,809,2228,0.37401,0.41460
1990,Direct migration background,Rural regions,Full-Time Employment,0.45395,254,380,0.40382,0.50407
1990,Direct migration background,Rural regions,Not Employed,0.36607,126,380,0.31757,0.41457
1990,Indirect migration background,Urban regions,Full-Time Employment,0.05394,82,236,0.02506,0.08282
1990,Indirect migration background,Urban regions,Vocational Training,0.02202,37,236,0.00326,0.04078
1990,Indirect migration background,Urban regions,Not Employed,0.09452,117,236,0.05712,0.13192
1991,No migration background,Urban regions,Full-Time Employment,0.37968,3072,6264,0.36766,0.39170
1991,No migration background,Urban regions,Regular Part-Time Employment,0.06506,508,6264,0.05895,0.07117
1991,No migration background,Urban regions,Vocational Training,0.02564,218,6264,0.02173,0.02956
1991,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01894,135,6264,0.01556,0.02231
1991,No migration background,Urban regions,Not Employed,0.35565,2331,6264,0.34379,0.36751
1991,No migration background,Rural regions,Full-Time Employment,0.37767,2248,4262,0.36312,0.39223
1991,No migration background,Rural regions,Regular Part-Time Employment,0.05795,294,4262,0.05094,0.06497
1991,No migration background,Rural regions,Vocational Training,0.02604,156,4262,0.02126,0.03082
1991,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01448,59,4262,0.01090,0.01807
1991,No migration background,Rural regions,Not Employed,0.34494,1505,4262,0.33067,0.35921
1991,Direct migration background,Urban regions,Full-Time Employment,0.49448,1242,2211,0.47364,0.51533
1991,Direct migration background,Urban regions,Regular Part-Time Employment,0.05630,131,2211,0.04669,0.06591
1991,Direct migration background,Urban regions,Vocational Training,0.01871,48,2211,0.01306,0.02437
1991,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01814,37,2211,0.01258,0.02371
1991,Direct migration background,Urban regions,Not Employed,0.37936,753,2211,0.35913,0.39959
1991,Direct migration background,Rural regions,Full-Time Employment,0.42789,229,367,0.37720,0.47858
1991,Direct migration background,Rural regions,Not Employed,0.40157,138,367,0.35134,0.45179
1991,Indirect migration background,Urban regions,Full-Time Employment,0.06356,95,275,0.03467,0.09245
1991,Indirect migration background,Urban regions,Vocational Training,0.04014,64,275,0.01689,0.06338
1991,Indirect migration background,Urban regions,Not Employed,0.07729,116,275,0.04567,0.10892
1992,No migration background,Urban regions,Full-Time Employment,0.37111,2962,6185,0.35907,0.38316
1992,No migration background,Urban regions,Regular Part-Time Employment,0.06534,498,6185,0.05918,0.07150
1992,No migration background,Urban regions,Vocational Training,0.01958,175,6185,0.01612,0.02303
1992,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01523,114,6185,0.01218,0.01829
1992,No migration background,Urban regions,Not Employed,0.37051,2436,6185,0.35848,0.38255
1992,No migration background,Rural regions,Full-Time Employment,0.35343,1988,4056,0.33871,0.36814
1992,No migration background,Rural regions,Regular Part-Time Employment,0.05450,256,4056,0.04751,0.06148
1992,No migration background,Rural regions,Vocational Training,0.02960,162,4056,0.02438,0.03481
1992,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.00941,39,4056,0.00644,0.01238
1992,No migration background,Rural regions,Not Employed,0.37280,1611,4056,0.35791,0.38768
1992,Direct migration background,Urban regions,Full-Time Employment,0.48248,1148,2117,0.46119,0.50377
1992,Direct migration background,Urban regions,Regular Part-Time Employment,0.06168,138,2117,0.05143,0.07193
1992,Direct migration background,Urban regions,Vocational Training,0.02280,49,2117,0.01644,0.02916
1992,Direct migration background,Urban regions,Not Employed,0.40112,782,2117,0.38023,0.42200
1992,Direct migration background,Rural regions,Full-Time Employment,0.40642,215,375,0.35664,0.45620
1992,Direct migration background,Rural regions,Not Employed,0.45053,160,375,0.40010,0.50096
1992,Indirect migration background,Urban regions,Full-Time Employment,0.06405,102,318,0.03710,0.09100
1992,Indirect migration background,Urban regions,Vocational Training,0.04956,68,318,0.02566,0.07345
1992,Indirect migration background,Urban regions,Not Employed,0.11397,148,318,0.07899,0.14895
1993,No migration background,Urban regions,Full-Time Employment,0.36716,2925,6150,0.35511,0.37920
1993,No migration background,Urban regions,Regular Part-Time Employment,0.06481,486,6150,0.05865,0.07096
1993,No migration background,Urban regions,Vocational Training,0.02172,181,6150,0.01807,0.02536
1993,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01687,121,6150,0.01365,0.02009
1993,No migration background,Urban regions,Not Employed,0.36750,2437,6150,0.35545,0.37955
1993,No migration background,Rural regions,Full-Time Employment,0.34021,1888,4008,0.32554,0.35488
1993,No migration background,Rural regions,Regular Part-Time Employment,0.05697,260,4008,0.04980,0.06415
1993,No migration background,Rural regions,Vocational Training,0.02928,173,4008,0.02406,0.03450
1993,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01310,53,4008,0.00958,0.01662
1993,No migration background,Rural regions,Not Employed,0.37990,1634,4008,0.36487,0.39493
1993,Direct migration background,Urban regions,Full-Time Employment,0.48893,1082,2050,0.46729,0.51058
1993,Direct migration background,Urban regions,Regular Part-Time Employment,0.06398,142,2050,0.05338,0.07457
1993,Direct migration background,Urban regions,Vocational Training,0.01925,42,2050,0.01330,0.02520
1993,Direct migration background,Urban regions,Not Employed,0.40507,784,2050,0.38382,0.42633
1993,Direct migration background,Rural regions,Full-Time Employment,0.42507,213,390,0.37594,0.47419
1993,Direct migration background,Rural regions,Not Employed,0.48461,177,390,0.43495,0.53427
1993,Indirect migration background,Urban regions,Full-Time Employment,0.08638,134,375,0.05791,0.11485
1993,Indirect migration background,Urban regions,Vocational Training,0.06407,84,375,0.03925,0.08889
1993,Indirect migration background,Urban regions,Not Employed,0.13902,157,375,0.10395,0.17408
1994,No migration background,Urban regions,Full-Time Employment,0.36052,2839,6090,0.34846,0.37258
1994,No migration background,Urban regions,Regular Part-Time Employment,0.06217,468,6090,0.05610,0.06823
1994,No migration background,Urban regions,Vocational Training,0.01667,141,6090,0.01346,0.01989
1994,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01794,138,6090,0.01461,0.02127
1994,No migration background,Urban regions,Not Employed,0.38077,2504,6090,0.36858,0.39297
1994,No migration background,Rural regions,Full-Time Employment,0.33258,1828,3936,0.31786,0.34731
1994,No migration background,Rural regions,Regular Part-Time Employment,0.05574,258,3936,0.04857,0.06290
1994,No migration background,Rural regions,Vocational Training,0.02957,180,3936,0.02427,0.03486
1994,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01422,56,3936,0.01052,0.01792
1994,No migration background,Rural regions,Not Employed,0.38229,1614,3936,0.36711,0.39748
1994,Direct migration background,Urban regions,Full-Time Employment,0.45384,968,1945,0.43171,0.47597
1994,Direct migration background,Urban regions,Regular Part-Time Employment,0.06016,124,1945,0.04959,0.07074
1994,Direct migration background,Urban regions,Vocational Training,0.01554,33,1945,0.01004,0.02104
1994,Direct migration background,Urban regions,Not Employed,0.44074,820,1945,0.41867,0.46281
1994,Direct migration background,Rural regions,Full-Time Employment,0.34762,180,360,0.29836,0.39689
1994,Direct migration background,Rural regions,Not Employed,0.55257,180,360,0.50113,0.60400
1994,Indirect migration background,Urban regions,Full-Time Employment,0.09628,145,393,0.06708,0.12548
1994,Indirect migration background,Urban regions,Vocational Training,0.05315,75,393,0.03094,0.07535
1994,Indirect migration background,Urban regions,Not Employed,0.15115,173,393,0.11569,0.18660
1995,No migration background,Urban regions,Full-Time Employment,0.35437,2780,6001,0.34227,0.36648
1995,No migration background,Urban regions,Regular Part-Time Employment,0.06562,505,6001,0.05935,0.07188
1995,No migration background,Urban regions,Vocational Training,0.01701,148,6001,0.01374,0.02028
1995,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.02047,150,6001,0.01688,0.02405
1995,No migration background,Urban regions,Not Employed,0.38145,2418,6001,0.36916,0.39375
1995,No migration background,Rural regions,Full-Time Employment,0.33969,1904,3999,0.32501,0.35437
1995,No migration background,Rural regions,Regular Part-Time Employment,0.05707,277,3999,0.04988,0.06426
1995,No migration background,Rural regions,Vocational Training,0.02775,172,3999,0.02266,0.03284
1995,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01635,69,3999,0.01242,0.02028
1995,No migration background,Rural regions,Not Employed,0.37290,1577,3999,0.35791,0.38789
1995,Direct migration background,Urban regions,Full-Time Employment,0.39457,1071,2309,0.37463,0.41451
1995,Direct migration background,Urban regions,Regular Part-Time Employment,0.05645,142,2309,0.04703,0.06586
1995,Direct migration background,Urban regions,Vocational Training,0.01515,37,2309,0.01016,0.02013
1995,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.02287,44,2309,0.01677,0.02897
1995,Direct migration background,Urban regions,Not Employed,0.45404,1015,2309,0.43373,0.47436
1995,Direct migration background,Rural regions,Full-Time Employment,0.32607,200,422,0.28129,0.37085
1995,Direct migration background,Rural regions,Not Employed,0.50641,222,422,0.45865,0.55417
1995,Indirect migration background,Urban regions,Full-Time Employment,0.10258,155,389,0.07239,0.13277
1995,Indirect migration background,Urban regions,Vocational Training,0.04760,65,389,0.02642,0.06879
1995,Indirect migration background,Urban regions,Not Employed,0.14276,169,389,0.10795,0.17757
1996,No migration background,Urban regions,Full-Time Employment,0.35068,2718,5949,0.33855,0.36280
1996,No migration background,Urban regions,Regular Part-Time Employment,0.07099,542,5949,0.06446,0.07751
1996,No migration background,Urban regions,Vocational Training,0.01790,152,5949,0.01453,0.02126
1996,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01966,147,5949,0.01613,0.02319
1996,No migration background,Urban regions,Not Employed,0.38037,2390,5949,0.36803,0.39271
1996,No migration background,Rural regions,Full-Time Employment,0.33339,1839,3958,0.31870,0.34808
1996,No migration background,Rural regions,Regular Part-Time Employment,0.06639,295,3958,0.05864,0.07415
1996,No migration background,Rural regions,Vocational Training,0.02124,154,3958,0.01675,0.02573
1996,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01602,65,3958,0.01211,0.01993
1996,No migration background,Rural regions,Not Employed,0.38204,1605,3958,0.36690,0.39718
1996,Direct migration background,Urban regions,Full-Time Employment,0.38024,944,2140,0.35967,0.40081
1996,Direct migration background,Urban regions,Regular Part-Time Employment,0.06935,166,2140,0.05858,0.08011
1996,Direct migration background,Urban regions,Vocational Training,0.01913,38,2140,0.01333,0.02494
1996,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.02111,39,2140,0.01502,0.02720
1996,Direct migration background,Urban regions,Not Employed,0.45699,953,2140,0.43587,0.47810
1996,Direct migration background,Rural regions,Full-Time Employment,0.31882,196,414,0.27388,0.36377
1996,Direct migration background,Rural regions,Not Employed,0.51643,218,414,0.46823,0.56463
1996,Indirect migration background,Urban regions,Full-Time Employment,0.10266,174,424,0.07373,0.13158
1996,Indirect migration background,Urban regions,Vocational Training,0.04777,62,424,0.02744,0.06809
1996,Indirect migration background,Urban regions,Not Employed,0.15623,188,424,0.12163,0.19083
1996,Indirect migration background,Rural regions,Not Employed,0.14953,39,39,0.03615,0.26292
1997,No migration background,Urban regions,Full-Time Employment,0.34363,2624,5866,0.33148,0.35579
1997,No migration background,Urban regions,Regular Part-Time Employment,0.07227,527,5866,0.06565,0.07890
1997,No migration background,Urban regions,Vocational Training,0.01590,146,5866,0.01270,0.01911
1997,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01811,142,5866,0.01470,0.02153
1997,No migration background,Urban regions,Not Employed,0.39145,2427,5866,0.37895,0.40394
1997,No migration background,Rural regions,Full-Time Employment,0.33103,1817,3924,0.31630,0.34575
1997,No migration background,Rural regions,Regular Part-Time Employment,0.05685,266,3924,0.04961,0.06410
1997,No migration background,Rural regions,Vocational Training,0.02023,146,3924,0.01582,0.02464
1997,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01491,66,3924,0.01111,0.01870
1997,No migration background,Rural regions,Not Employed,0.39609,1629,3924,0.38079,0.41140
1997,Direct migration background,Urban regions,Full-Time Employment,0.38342,893,2042,0.36232,0.40451
1997,Direct migration background,Urban regions,Regular Part-Time Employment,0.06942,138,2042,0.05839,0.08044
1997,Direct migration background,Urban regions,Vocational Training,0.01843,34,2042,0.01259,0.02427
1997,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01574,31,2042,0.01034,0.02114
1997,Direct migration background,Urban regions,Not Employed,0.46046,946,2042,0.43884,0.48209
1997,Direct migration background,Rural regions,Full-Time Employment,0.33747,185,392,0.29060,0.38434
1997,Direct migration background,Rural regions,Not Employed,0.51478,207,392,0.46524,0.56432
1997,Indirect migration background,Urban regions,Full-Time Employment,0.11335,178,443,0.08379,0.14290
1997,Indirect migration background,Urban regions,Vocational Training,0.06678,78,443,0.04350,0.09005
1997,Indirect migration background,Urban regions,Not Employed,0.15601,187,443,0.12218,0.18984
1997,Indirect migration background,Rural regions,Not Employed,0.13822,34,34,0.02047,0.25598
1998,No migration background,Urban regions,Full-Time Employment,0.34506,3004,6794,0.33376,0.35637
1998,No migration background,Urban regions,Regular Part-Time Employment,0.07418,611,6794,0.06795,0.08041
1998,No migration background,Urban regions,Vocational Training,0.01571,158,6794,0.01275,0.01866
1998,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01795,165,6794,0.01479,0.02111
1998,No migration background,Urban regions,Not Employed,0.39325,2856,6794,0.38164,0.40487
1998,No migration background,Rural regions,Full-Time Employment,0.32008,1968,4441,0.30636,0.33380
1998,No migration background,Rural regions,Regular Part-Time Employment,0.05853,307,4441,0.05162,0.06543
1998,No migration background,Rural regions,Vocational Training,0.02559,181,4441,0.02095,0.03024
1998,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01788,97,4441,0.01398,0.02178
1998,No migration background,Rural regions,Not Employed,0.39775,1888,4441,0.38336,0.41215
1998,Direct migration background,Urban regions,Full-Time Employment,0.39883,870,1958,0.37714,0.42053
1998,Direct migration background,Urban regions,Regular Part-Time Employment,0.07121,137,1958,0.05981,0.08260
1998,Direct migration background,Urban regions,Vocational Training,0.02313,42,1958,0.01647,0.02979
1998,Direct migration background,Urban regions,Not Employed,0.43817,909,1958,0.41618,0.46015
1998,Direct migration background,Rural regions,Full-Time Employment,0.32129,162,375,0.27397,0.36862
1998,Direct migration background,Rural regions,Not Employed,0.54116,213,375,0.49065,0.59166
1998,Indirect migration background,Urban regions,Full-Time Employment,0.13225,190,471,0.10163,0.16288
1998,Indirect migration background,Urban regions,Vocational Training,0.06129,76,471,0.03961,0.08298
1998,Indirect migration background,Urban regions,Not Employed,0.18224,205,471,0.14734,0.21714
1998,Indirect migration background,Rural regions,Not Employed,0.15626,38,38,0.03926,0.27325
1999,No migration background,Urban regions,Full-Time Employment,0.34892,2931,6526,0.33736,0.36049
1999,No migration background,Urban regions,Regular Part-Time Employment,0.07095,590,6526,0.06472,0.07718
1999,No migration background,Urban regions,Vocational Training,0.01725,158,6526,0.01409,0.02040
1999,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.03010,234,6526,0.02595,0.03425
1999,No migration background,Urban regions,Not Employed,0.38022,2613,6526,0.36844,0.39199
1999,No migration background,Rural regions,Full-Time Employment,0.32876,1935,4328,0.31476,0.34276
1999,No migration background,Rural regions,Regular Part-Time Employment,0.06377,343,4328,0.05649,0.07105
1999,No migration background,Rural regions,Vocational Training,0.02415,165,4328,0.01957,0.02872
1999,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.02326,126,4328,0.01877,0.02775
1999,No migration background,Rural regions,Not Employed,0.38500,1759,4328,0.37050,0.39950
1999,Direct migration background,Urban regions,Full-Time Employment,0.40251,795,1815,0.37994,0.42508
1999,Direct migration background,Urban regions,Regular Part-Time Employment,0.07141,131,1815,0.05956,0.08326
1999,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.02704,46,1815,0.01958,0.03451
1999,Direct migration background,Urban regions,Not Employed,0.43263,843,1815,0.40983,0.45543
1999,Direct migration background,Rural regions,Full-Time Employment,0.32335,142,316,0.27170,0.37501
1999,Direct migration background,Rural regions,Not Employed,0.49035,174,316,0.43515,0.54556
1999,Indirect migration background,Urban regions,Full-Time Employment,0.14920,212,476,0.11716,0.18124
1999,Indirect migration background,Urban regions,Vocational Training,0.06537,74,476,0.04314,0.08760
1999,Indirect migration background,Urban regions,Not Employed,0.16870,190,476,0.13502,0.20238
1999,Indirect migration background,Rural regions,Not Employed,0.13998,37,37,0.02664,0.25332
2000,No migration background,Urban regions,Full-Time Employment,0.34447,5158,12299,0.33607,0.35287
2000,No migration background,Urban regions,Regular Part-Time Employment,0.08066,1258,12299,0.07585,0.08547
2000,No migration background,Urban regions,Vocational Training,0.01522,263,12299,0.01306,0.01738
2000,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.02926,413,12299,0.02628,0.03224
2000,No migration background,Urban regions,Not Employed,0.37933,5207,12299,0.37076,0.38791
2000,No migration background,Rural regions,Full-Time Employment,0.33434,3233,7661,0.32377,0.34490
2000,No migration background,Rural regions,Regular Part-Time Employment,0.06604,637,7661,0.06047,0.07160
2000,No migration background,Rural regions,Vocational Training,0.02517,281,7661,0.02167,0.02868
2000,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.02433,224,7661,0.02088,0.02778
2000,No migration background,Rural regions,Not Employed,0.38158,3286,7661,0.37070,0.39246
2000,Direct migration background,Urban regions,Full-Time Employment,0.38574,1141,2727,0.36747,0.40402
2000,Direct migration background,Urban regions,Regular Part-Time Employment,0.08616,241,2727,0.07563,0.09669
2000,Direct migration background,Urban regions,Vocational Training,0.01499,46,2727,0.01043,0.01955
2000,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.03110,80,2727,0.02458,0.03762
2000,Direct migration background,Urban regions,Not Employed,0.39952,1219,2727,0.38113,0.41791
2000,Direct migration background,Rural regions,Full-Time Employment,0.31876,216,546,0.27964,0.35789
2000,Direct migration background,Rural regions,Regular Part-Time Employment,0.07547,45,546,0.05330,0.09765
2000,Direct migration background,Rural regions,Not Employed,0.47676,285,546,0.43483,0.51870
