year,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,West,Regular Part-Time Employment,0.06891,784,9340,0.06377,0.07404
1992,West,Vocational Training,0.02380,334,9340,0.02071,0.02689
1992,West,"Marginal, Irregular Part-Time Employment",0.01493,165,9340,0.01247,0.01739
1992,West,Not Employed,0.36257,3658,9340,0.35282,0.37232
1992,East,Full-Time Employment,0.38890,2105,3957,0.37371,0.40409
1992,East,Regular Part-Time Employment,0.02751,159,3957,0.02242,0.03261
1992,East,Vocational Training,0.02504,152,3957,0.02017,0.02991
1992,East,Not Employed,0.36828,1541,3957,0.35325,0.38331
1993,West,Full-Time Employment,0.35525,4338,9272,0.34551,0.36500
1993,West,Regular Part-Time Employment,0.06799,764,9272,0.06287,0.07312
1993,West,Vocational Training,0.02426,336,9272,0.02113,0.02740
1993,West,"Marginal, Irregular Part-Time Employment",0.01698,176,9272,0.01435,0.01961
1993,West,Not Employed,0.36152,3658,9272,0.35174,0.37130
1993,East,Full-Time Employment,0.36566,1923,3810,0.35036,0.38095
1993,East,Regular Part-Time Employment,0.02828,154,3810,0.02302,0.03355
1993,East,Vocational Training,0.03252,176,3810,0.02688,0.03815
1993,East,Not Employed,0.38209,1557,3810,0.36666,0.39752
1994,West,Full-Time Employment,0.34455,4142,9098,0.33478,0.35431
1994,West,Regular Part-Time Employment,0.06417,708,9098,0.05914,0.06921
1994,West,Vocational Training,0.02029,278,9098,0.01739,0.02318
1994,West,"Marginal, Irregular Part-Time Employment",0.01951,210,9098,0.01667,0.02236
1994,West,Not Employed,0.37485,3760,9098,0.36490,0.38480
1994,East,Full-Time Employment,0.35920,1841,3749,0.34384,0.37456
1994,East,Regular Part-Time Employment,0.03286,175,3749,0.02716,0.03857
1994,East,Vocational Training,0.03038,176,3749,0.02489,0.03588
1994,East,Not Employed,0.39134,1557,3749,0.37571,0.40696
1995,West,Full-Time Employment,0.33688,4328,9590,0.32742,0.34634
1995,West,Regular Part-Time Employment,0.06485,763,9590,0.05992,0.06978
1995,West,Vocational Training,0.01997,290,9590,0.01717,0.02277
1995,West,"Marginal, Irregular Part-Time Employment",0.02199,259,9590,0.01906,0.02493
1995,West,Not Employed,0.37685,3950,9590,0.36715,0.38655
1995,East,Full-Time Employment,0.36336,1804,3693,0.34785,0.37888
1995,East,Regular Part-Time Employment,0.04047,213,3693,0.03412,0.04683
1995,East,Vocational Training,0.02873,164,3693,0.02334,0.03412
1995,East,"Marginal, Irregular Part-Time Employment",0.00700,32,3693,0.00431,0.00969
1995,East,Not Employed,0.38514,1480,3693,0.36944,0.40083
1996,West,Full-Time Employment,0.33297,4162,9363,0.32342,0.34252
1996,West,Regular Part-Time Employment,0.07243,841,9363,0.06718,0.07768
1996,West,Vocational Training,0.01879,265,9363,0.01604,0.02154
1996,West,"Marginal, Irregular Part-Time Employment",0.02123,244,9363,0.01831,0.02415
1996,West,Not Employed,0.37570,3851,9363,0.36589,0.38551
1996,East,Full-Time Employment,0.34954,1733,3657,0.33408,0.36499
1996,East,Regular Part-Time Employment,0.04257,213,3657,0.03602,0.04911
1996,East,Vocational Training,0.02784,169,3657,0.02250,0.03317
1996,East,Not Employed,0.40266,1542,3657,0.38676,0.41856
1997,West,Full-Time Employment,0.32942,4035,9194,0.31981,0.33903
1997,West,Regular Part-Time Employment,0.07087,797,9194,0.06563,0.07612
1997,West,Vocational Training,0.01836,266,9194,0.01561,0.02110
1997,West,"Marginal, Irregular Part-Time Employment",0.01869,228,9194,0.01592,0.02145
1997,West,Not Employed,0.38380,3868,9194,0.37386,0.39374
1997,East,Full-Time Employment,0.34319,1688,3634,0.32775,0.35863
1997,East,Regular Part-Time Employment,0.04240,195,3634,0.03585,0.04895
1997,East,Vocational Training,0.02504,157,3634,0.01996,0.03013
1997,East,"Marginal, Irregular Part-Time Employment",0.00738,31,3634,0.00459,0.01016
1997,East,Not Employed,0.41880,1563,3634,0.40276,0.43484
1998,West,Full-Time Employment,0.32944,4485,10362,0.32039,0.33849
1998,West,Regular Part-Time Employment,0.07218,907,10362,0.06719,0.07716
1998,West,Vocational Training,0.01963,303,10362,0.01696,0.02231
1998,West,"Marginal, Irregular Part-Time Employment",0.01841,260,10362,0.01582,0.02100
1998,West,Not Employed,0.38280,4407,10362,0.37344,0.39216
1998,East,Full-Time Employment,0.33640,1738,3863,0.32150,0.35130
1998,East,Regular Part-Time Employment,0.04127,203,3863,0.03499,0.04754
1998,East,Vocational Training,0.02896,175,3863,0.02367,0.03424
1998,East,"Marginal, Irregular Part-Time Employment",0.00915,45,3863,0.00615,0.01215
1998,East,Not Employed,0.42176,1702,3863,0.40618,0.43733
1999,West,Full-Time Employment,0.33389,4327,9877,0.32459,0.34319
1999,West,Regular Part-Time Employment,0.07029,887,9877,0.06525,0.07534
1999,West,Vocational Training,0.02025,284,9877,0.01747,0.02303
1999,West,"Marginal, Irregular Part-Time Employment",0.03069,376,9877,0.02729,0.03410
1999,West,Not Employed,0.36760,4003,9877,0.35809,0.37711
1999,East,Full-Time Employment,0.34444,1716,3781,0.32929,0.35959
1999,East,Regular Part-Time Employment,0.04708,229,3781,0.04033,0.05383
1999,East,Vocational Training,0.02762,163,3781,0.02240,0.03285
1999,East,"Marginal, Irregular Part-Time Employment",0.01234,60,3781,0.00882,0.01586
1999,East,Not Employed,0.41403,1613,3781,0.39832,0.42973
2000,West,Full-Time Employment,0.33403,7570,18234,0.32718,0.34087
2000,West,Regular Part-Time Employment,0.07952,1864,18234,0.07560,0.08345
2000,West,Vocational Training,0.01790,457,18234,0.01597,0.01982
2000,West,"Marginal, Irregular Part-Time Employment",0.02940,662,18234,0.02695,0.03185
2000,West,Not Employed,0.36097,7681,18234,0.35400,0.36794
2000,East,Full-Time Employment,0.33326,2490,5844,0.32118,0.34535
2000,East,Regular Part-Time Employment,0.04978,368,5844,0.04420,0.05536
2000,East,Vocational Training,0.02814,239,5844,0.02390,0.03238
2000,East,"Marginal, Irregular Part-Time Employment",0.01802,104,5844,0.01461,0.02143
2000,East,Not Employed,0.41847,2643,5844,0.40583,0.43112
2001,West,Full-Time Employment,0.33071,6788,16462,0.32352,0.33789
2001,West,Regular Part-Time Employment,0.07935,1699,16462,0.07522,0.08348
2001,West,Vocational Training,0.02064,454,16462,0.01846,0.02281
2001,West,"Marginal, Irregular Part-Time Employment",0.03022,642,16462,0.02760,0.03283
2001,West,Not Employed,0.36071,6879,16462,0.35338,0.36805
2001,East,Full-Time Employment,0.33164,2271,5430,0.31912,0.34417
2001,East,Regular Part-Time Employment,0.05265,358,5430,0.04671,0.05859
2001,East,Vocational Training,0.02959,225,5430,0.02509,0.03410
2001,East,"Marginal, Irregular Part-Time Employment",0.01793,108,5430,0.01440,0.02146
2001,East,Not Employed,0.42496,2468,5430,0.41181,0.43811
2002,West,Full-Time Employment,0.31948,7306,17573,0.31259,0.32637
2002,West,Regular Part-Time Employment,0.08022,1930,17573,0.07620,0.08423
2002,West,Vocational Training,0.02121,463,17573,0.01908,0.02334
2002,West,"Marginal, Irregular Part-Time Employment",0.03179,716,17573,0.02920,0.03439
2002,West,Not Employed,0.36990,7158,17573,0.36276,0.37704
2002,East,Full-Time Employment,0.31346,2246,5423,0.30112,0.32581
2002,East,Regular Part-Time Employment,0.05293,353,5423,0.04697,0.05889
2002,East,Vocational Training,0.03124,215,5423,0.02661,0.03587
2002,East,"Marginal, Irregular Part-Time Employment",0.01694,112,5423,0.01351,0.02038
2002,East,Not Employed,0.44840,2497,5423,0.43517,0.46164
2003,West,Full-Time Employment,0.31402,6763,16798,0.30700,0.32104
2003,West,Regular Part-Time Employment,0.08100,1878,16798,0.07687,0.08513
2003,West,Vocational Training,0.01918,429,16798,0.01710,0.02125
2003,West,"Marginal, Irregular Part-Time Employment",0.03346,719,16798,0.03074,0.03618
2003,West,Not Employed,0.37614,7009,16798,0.36882,0.38347
2003,East,Full-Time Employment,0.30090,2094,5336,0.28859,0.31321
2003,East,Regular Part-Time Employment,0.05852,391,5336,0.05223,0.06482
2003,East,Vocational Training,0.02468,179,5336,0.02052,0.02884
2003,East,"Marginal, Irregular Part-Time Employment",0.02220,136,5336,0.01824,0.02615
2003,East,Not Employed,0.46018,2536,5336,0.44680,0.47355
2004,West,Full-Time Employment,0.31240,6490,16369,0.30530,0.31950
2004,West,Regular Part-Time Employment,0.07837,1789,16369,0.07425,0.08248
2004,West,Vocational Training,0.01953,411,16369,0.01741,0.02165
2004,West,"Marginal, Irregular Part-Time Employment",0.03559,764,16369,0.03276,0.03843
2004,West,Not Employed,0.38189,6915,16369,0.37445,0.38934
2004,East,Full-Time Employment,0.29149,2028,5215,0.27916,0.30383
2004,East,Regular Part-Time Employment,0.06408,397,5215,0.05743,0.07072
2004,East,Vocational Training,0.02750,169,5215,0.02306,0.03194
2004,East,"Marginal, Irregular Part-Time Employment",0.02817,154,5215,0.02368,0.03266
2004,East,Not Employed,0.46073,2467,5215,0.44720,0.47426
2005,West,Full-Time Employment,0.31262,6083,15636,0.30535,0.31988
2005,West,Regular Part-Time Employment,0.08207,1700,15636,0.07777,0.08638
2005,West,Vocational Training,0.01972,362,15636,0.01754,0.02190
2005,West,"Marginal, Irregular Part-Time Employment",0.04135,809,15636,0.03823,0.04448
2005,West,Not Employed,0.37722,6682,15636,0.36963,0.38482
2005,East,Full-Time Employment,0.29527,1901,5031,0.28266,0.30788
2005,East,Regular Part-Time Employment,0.06271,392,5031,0.05601,0.06941
2005,East,Vocational Training,0.02653,152,5031,0.02209,0.03097
2005,East,"Marginal, Irregular Part-Time Employment",0.02216,143,5031,0.01809,0.02623
2005,East,Not Employed,0.46593,2443,5031,0.45214,0.47971
2006,West,Full-Time Employment,0.31075,6367,16876,0.30376,0.31773
2006,West,Regular Part-Time Employment,0.08199,1887,16876,0.07785,0.08613
2006,West,Vocational Training,0.01902,353,16876,0.01696,0.02109
2006,West,"Marginal, Irregular Part-Time Employment",0.04342,933,16876,0.04034,0.04649
2006,West,Not Employed,0.37809,7336,16876,0.37077,0.38540
2006,East,Full-Time Employment,0.29618,1949,5359,0.28395,0.30840
2006,East,Regular Part-Time Employment,0.06007,422,5359,0.05371,0.06644
2006,East,Vocational Training,0.02513,165,5359,0.02094,0.02932
2006,East,"Marginal, Irregular Part-Time Employment",0.03567,209,5359,0.03070,0.04063
2006,East,Not Employed,0.46247,2614,5359,0.44912,0.47582
2007,West,Full-Time Employment,0.31524,5974,15738,0.30798,0.32250
2007,West,Regular Part-Time Employment,0.08744,1856,15738,0.08303,0.09185
2007,West,Vocational Training,0.01812,313,15738,0.01604,0.02021
2007,West,"Marginal, Irregular Part-Time Employment",0.04533,876,15738,0.04208,0.04858
2007,West,Not Employed,0.37112,6719,15738,0.36357,0.37867
2007,East,Full-Time Employment,0.31141,1899,5083,0.29868,0.32415
2007,East,Regular Part-Time Employment,0.07001,434,5083,0.06300,0.07703
2007,East,Vocational Training,0.02628,155,5083,0.02188,0.03068
2007,East,"Marginal, Irregular Part-Time Employment",0.03163,177,5083,0.02682,0.03645
2007,East,Not Employed,0.44818,2418,5083,0.43451,0.46186
2008,West,Full-Time Employment,0.32410,5633,14744,0.31654,0.33165
2008,West,Regular Part-Time Employment,0.08803,1747,14744,0.08346,0.09260
2008,West,Vocational Training,0.01997,311,14744,0.01771,0.02223
2008,West,"Marginal, Irregular Part-Time Employment",0.05037,873,14744,0.04684,0.05390
2008,West,Not Employed,0.36055,6180,14744,0.35280,0.36830
2008,East,Full-Time Employment,0.33125,1879,4802,0.31793,0.34456
2008,East,Regular Part-Time Employment,0.06386,381,4802,0.05695,0.07078
2008,East,Vocational Training,0.02300,135,4802,0.01876,0.02724
2008,East,"Marginal, Irregular Part-Time Employment",0.03559,172,4802,0.03035,0.04083
2008,East,Not Employed,0.42863,2235,4802,0.41463,0.44263
2009,West,Full-Time Employment,0.32696,5210,13666,0.31910,0.33483
2009,West,Regular Part-Time Employment,0.08680,1590,13666,0.08208,0.09152
2009,West,Vocational Training,0.02079,308,13666,0.01840,0.02319
2009,West,"Marginal, Irregular Part-Time Employment",0.05141,818,13666,0.04771,0.05512
2009,West,Not Employed,0.36183,5740,13666,0.35377,0.36989
2009,East,Full-Time Employment,0.32740,1767,4562,0.31378,0.34102
2009,East,Regular Part-Time Employment,0.07055,399,4562,0.06312,0.07798
2009,East,Vocational Training,0.02277,117,4562,0.01844,0.02710
2009,East,"Marginal, Irregular Part-Time Employment",0.03616,154,4562,0.03074,0.04158
2009,East,Not Employed,0.41674,2125,4562,0.40243,0.43105
2010,West,Full-Time Employment,0.32041,6874,18794,0.31374,0.32708
2010,West,Regular Part-Time Employment,0.08882,2490,18794,0.08475,0.09288
2010,West,Vocational Training,0.02180,386,18794,0.01971,0.02389
2010,West,"Marginal, Irregular Part-Time Employment",0.05241,1294,18794,0.04922,0.05559
2010,West,Not Employed,0.36251,7750,18794,0.35564,0.36938
2010,East,Full-Time Employment,0.33889,2139,5509,0.32639,0.35139
2010,East,Regular Part-Time Employment,0.07813,562,5509,0.07104,0.08522
2010,East,Vocational Training,0.02230,124,5509,0.01840,0.02620
2010,East,"Marginal, Irregular Part-Time Employment",0.03391,239,5509,0.02913,0.03869
2010,East,Not Employed,0.40855,2445,5509,0.39556,0.42153
2011,West,Full-Time Employment,0.32802,8303,22491,0.32188,0.33415
2011,West,Regular Part-Time Employment,0.08934,3251,22491,0.08561,0.09307
2011,West,Vocational Training,0.01934,465,22491,0.01754,0.02114
2011,West,"Marginal, Irregular Part-Time Employment",0.04618,1419,22491,0.04344,0.04892
2011,West,Not Employed,0.35964,9053,22491,0.35337,0.36592
2011,East,Full-Time Employment,0.34962,2510,6372,0.33791,0.36133
2011,East,Regular Part-Time Employment,0.07183,687,6372,0.06549,0.07817
2011,East,Vocational Training,0.02018,127,6372,0.01672,0.02363
2011,East,"Marginal, Irregular Part-Time Employment",0.03478,259,6372,0.03028,0.03928
2011,East,Not Employed,0.39489,2789,6372,0.38289,0.40690
2012,West,Full-Time Employment,0.32936,8064,21903,0.32313,0.33558
2012,West,Regular Part-Time Employment,0.09221,3243,21903,0.08838,0.09604
2012,West,Vocational Training,0.01869,481,21903,0.01690,0.02048
2012,West,"Marginal, Irregular Part-Time Employment",0.04916,1492,21903,0.04630,0.05202
2012,West,Not Employed,0.35498,8623,21903,0.34865,0.36132
2012,East,Full-Time Employment,0.34054,2423,6235,0.32878,0.35231
2012,East,Regular Part-Time Employment,0.07576,704,6235,0.06919,0.08233
2012,East,Vocational Training,0.01783,131,6235,0.01454,0.02111
2012,East,"Marginal, Irregular Part-Time Employment",0.03484,259,6235,0.03029,0.03939
2012,East,Not Employed,0.39971,2718,6235,0.38755,0.41187
2013,West,Full-Time Employment,0.32110,9289,24960,0.31531,0.32690
2013,West,Regular Part-Time Employment,0.09420,3683,24960,0.09057,0.09782
2013,West,Vocational Training,0.02132,742,24960,0.01953,0.02311
2013,West,"Marginal, Irregular Part-Time Employment",0.05212,1838,24960,0.04936,0.05487
2013,West,Not Employed,0.35626,9408,24960,0.35032,0.36220
2013,East,Full-Time Employment,0.34356,2374,6194,0.33173,0.35539
2013,East,Regular Part-Time Employment,0.08906,773,6194,0.08197,0.09615
2013,East,Vocational Training,0.01741,150,6194,0.01415,0.02067
2013,East,"Marginal, Irregular Part-Time Employment",0.03587,276,6194,0.03124,0.04050
2013,East,Not Employed,0.38713,2621,6194,0.37500,0.39926
2014,West,Full-Time Employment,0.32041,8081,21961,0.31424,0.32658
2014,West,Regular Part-Time Employment,0.09835,3230,21961,0.09441,0.10229
2014,West,Vocational Training,0.02132,640,21961,0.01941,0.02323
2014,West,"Marginal, Irregular Part-Time Employment",0.05755,1734,21961,0.05447,0.06063
2014,West,Not Employed,0.35075,8276,21961,0.34444,0.35706
2014,East,Full-Time Employment,0.33528,2145,5657,0.32297,0.34758
2014,East,Regular Part-Time Employment,0.08713,673,5657,0.07978,0.09448
2014,East,Vocational Training,0.02023,125,5657,0.01656,0.02390
2014,East,"Marginal, Irregular Part-Time Employment",0.03203,251,5657,0.02744,0.03662
2014,East,Not Employed,0.38730,2463,5657,0.37461,0.40000
2015,West,Full-Time Employment,0.32150,8043,21825,0.31531,0.32770
2015,West,Regular Part-Time Employment,0.10282,3286,21825,0.09879,0.10685
2015,West,Vocational Training,0.02183,648,21825,0.01990,0.02377
2015,West,"Marginal, Irregular Part-Time Employment",0.05495,1590,21825,0.05192,0.05797
2015,West,Not Employed,0.34852,8258,21825,0.34220,0.35485
2015,East,Full-Time Employment,0.33715,2053,5483,0.32463,0.34966
2015,East,Regular Part-Time Employment,0.09382,665,5483,0.08610,0.10154
2015,East,Vocational Training,0.01901,132,5483,0.01539,0.02262
2015,East,"Marginal, Irregular Part-Time Employment",0.03634,245,5483,0.03139,0.04130
2015,East,Not Employed,0.37504,2388,5483,0.36222,0.38785
2016,West,Full-Time Employment,0.32673,7310,22255,0.32057,0.33290
2016,West,Regular Part-Time Employment,0.10460,3150,22255,0.10058,0.10862
2016,West,Vocational Training,0.02112,664,22255,0.01923,0.02301
2016,West,"Marginal, Irregular Part-Time Employment",0.05108,1436,22255,0.04818,0.05397
2016,West,Not Employed,0.34457,9695,22255,0.33832,0.35081
2016,East,Full-Time Employment,0.33222,1941,5657,0.31995,0.34450
2016,East,Regular Part-Time Employment,0.10058,667,5657,0.09275,0.10842
2016,East,Vocational Training,0.01918,134,5657,0.01561,0.02276
2016,East,"Marginal, Irregular Part-Time Employment",0.03476,231,5657,0.02998,0.03953
2016,East,Not Employed,0.37010,2684,5657,0.35751,0.38268
2017,West,Full-Time Employment,0.32623,8341,24952,0.32042,0.33205
2017,West,Regular Part-Time Employment,0.10551,3613,24952,0.10170,0.10932
2017,West,Vocational Training,0.02250,765,24952,0.02066,0.02434
2017,West,"Marginal, Irregular Part-Time Employment",0.05405,1558,24952,0.05124,0.05685
2017,West,Not Employed,0.33853,10675,24952,0.33265,0.34440
2017,East,Full-Time Employment,0.34544,2287,6266,0.33367,0.35722
2017,East,Regular Part-Time Employment,0.09843,720,6266,0.09105,0.10580
2017,East,Vocational Training,0.01333,142,6266,0.01049,0.01617
2017,East,"Marginal, Irregular Part-Time Employment",0.03329,253,6266,0.02885,0.03773
2017,East,Not Employed,0.35986,2864,6266,0.34798,0.37175
2018,West,Full-Time Employment,0.33094,8034,23699,0.32495,0.33693
2018,West,Regular Part-Time Employment,0.11304,3611,23699,0.10901,0.11708
2018,West,Vocational Training,0.02131,747,23699,0.01947,0.02315
2018,West,"Marginal, Irregular Part-Time Employment",0.05103,1498,23699,0.04822,0.05383
2018,West,Not Employed,0.33240,9809,23699,0.32640,0.33840
2018,East,Full-Time Employment,0.34433,2219,6115,0.33241,0.35624
2018,East,Regular Part-Time Employment,0.09873,751,6115,0.09125,0.10621
2018,East,Vocational Training,0.01310,152,6115,0.01025,0.01595
2018,East,"Marginal, Irregular Part-Time Employment",0.03846,265,6115,0.03364,0.04328
2018,East,Not Employed,0.35760,2728,6115,0.34559,0.36962
2019,West,Full-Time Employment,0.33146,8700,23373,0.32542,0.33749
2019,West,Regular Part-Time Employment,0.11985,3696,23373,0.11569,0.12401
2019,West,Vocational Training,0.02046,726,23373,0.01864,0.02227
2019,West,"Marginal, Irregular Part-Time Employment",0.04534,1391,23373,0.04267,0.04801
2019,West,Not Employed,0.32541,8860,23373,0.31941,0.33142
2019,East,Full-Time Employment,0.34325,2457,6074,0.33131,0.35519
2019,East,Regular Part-Time Employment,0.10087,731,6074,0.09330,0.10845
2019,East,Vocational Training,0.01797,148,6074,0.01463,0.02131
2019,East,"Marginal, Irregular Part-Time Employment",0.03157,245,6074,0.02717,0.03596
2019,East,Not Employed,0.35839,2493,6074,0.34633,0.37045
2020,West,Full-Time Employment,0.33009,9325,23944,0.32413,0.33604
2020,West,Regular Part-Time Employment,0.11893,3592,23944,0.11483,0.12303
2020,West,Vocational Training,0.02094,846,23944,0.01913,0.02275
2020,West,"Marginal, Irregular Part-Time Employment",0.04315,1242,23944,0.04058,0.04573
2020,West,Not Employed,0.32790,8939,23944,0.32195,0.33385
2020,East,Full-Time Employment,0.34186,2343,5911,0.32977,0.35395
2020,East,Regular Part-Time Employment,0.10806,750,5911,0.10014,0.11597
2020,East,Vocational Training,0.01841,138,5911,0.01498,0.02183
2020,East,"Marginal, Irregular Part-Time Employment",0.03497,225,5911,0.03029,0.03966
2020,East,Not Employed,0.35056,2455,5911,0.33839,0.36272
2021,West,Full-Time Employment,0.33279,6120,15857,0.32546,0.34013
2021,West,Regular Part-Time Employment,0.11696,2473,15857,0.11195,0.12196
2021,West,Vocational Training,0.01551,392,15857,0.01359,0.01744
2021,West,"Marginal, Irregular Part-Time Employment",0.04449,735,15857,0.04128,0.04770
2021,West,Not Employed,0.31746,5981,15857,0.31022,0.32471
2021,West,In short-time work (since 2021),0.00579,156,15857,0.00461,0.00697
2021,East,Full-Time Employment,0.34524,1584,3927,0.33037,0.36011
2021,East,Regular Part-Time Employment,0.10230,516,3927,0.09282,0.11178
2021,East,Vocational Training,0.02043,76,3927,0.01601,0.02486
2021,East,"Marginal, Irregular Part-Time Employment",0.02933,149,3927,0.02405,0.03461
2021,East,Not Employed,0.33612,1602,3927,0.32134,0.35090
2022,West,Full-Time Employment,0.33708,10292,22256,0.33087,0.34329
2022,West,Regular Part-Time Employment,0.13031,3642,22256,0.12589,0.13474
2022,West,Vocational Training,0.01458,603,22256,0.01301,0.01616
2022,West,"Marginal, Irregular Part-Time Employment",0.04251,1075,22256,0.03986,0.04516
2022,West,Not Employed,0.30151,6544,22256,0.29548,0.30754
2022,West,In short-time work (since 2021),0.00195,100,22256,0.00137,0.00253
2022,East,Full-Time Employment,0.35352,2736,5898,0.34132,0.36573
2022,East,Regular Part-Time Employment,0.11746,828,5898,0.10924,0.12568
2022,East,Vocational Training,0.01879,168,5898,0.01533,0.02226
2022,East,"Marginal, Irregular Part-Time Employment",0.03203,239,5898,0.02753,0.03652
2022,East,Not Employed,0.31862,1927,5898,0.30673,0.33051
