year,sampreg,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,West,female,Regular Part-Time Employment,0.10248,576,5352,0.09435,0.11060
1986,West,female,Vocational Training,0.02654,154,5352,0.02223,0.03085
1986,West,female,"Marginal, Irregular Part-Time Employment",0.03957,226,5352,0.03435,0.04479
1986,West,female,Not Employed,0.59584,2929,5352,0.58269,0.60898
1987,West,male,Full-Time Employment,0.63046,3477,5172,0.61731,0.64362
1987,West,male,Regular Part-Time Employment,0.00981,43,5172,0.00713,0.01250
1987,West,male,Vocational Training,0.03934,247,5172,0.03405,0.04464
1987,West,male,"Marginal, Irregular Part-Time Employment",0.01239,49,5172,0.00937,0.01540
1987,West,male,Not Employed,0.30799,1356,5172,0.29541,0.32058
1987,West,female,Full-Time Employment,0.23961,1452,5277,0.22810,0.25113
1987,West,female,Regular Part-Time Employment,0.11888,645,5277,0.11015,0.12762
1987,West,female,Vocational Training,0.03076,188,5277,0.02611,0.03542
1987,West,female,"Marginal, Irregular Part-Time Employment",0.02815,163,5277,0.02368,0.03261
1987,West,female,Not Employed,0.58259,2829,5277,0.56929,0.59590
1988,West,male,Full-Time Employment,0.62650,3277,4929,0.61300,0.64001
1988,West,male,Regular Part-Time Employment,0.00924,45,4929,0.00657,0.01192
1988,West,male,Vocational Training,0.03779,243,4929,0.03246,0.04311
1988,West,male,"Marginal, Irregular Part-Time Employment",0.01143,48,4929,0.00846,0.01440
1988,West,male,Not Employed,0.31503,1316,4929,0.30206,0.32800
1988,West,female,Full-Time Employment,0.24128,1370,5039,0.22946,0.25309
1988,West,female,Regular Part-Time Employment,0.12154,634,5039,0.11252,0.13057
1988,West,female,Vocational Training,0.02899,186,5039,0.02435,0.03362
1988,West,female,"Marginal, Irregular Part-Time Employment",0.03005,159,5039,0.02534,0.03477
1988,West,female,Not Employed,0.57814,2690,5039,0.56450,0.59177
1989,West,male,Full-Time Employment,0.63046,3216,4761,0.61674,0.64417
1989,West,male,Regular Part-Time Employment,0.01058,44,4761,0.00768,0.01349
1989,West,male,Vocational Training,0.03821,220,4761,0.03276,0.04365
1989,West,male,"Marginal, Irregular Part-Time Employment",0.01076,44,4761,0.00783,0.01370
1989,West,male,Not Employed,0.30999,1237,4761,0.29685,0.32313
1989,West,female,Full-Time Employment,0.25147,1398,4901,0.23932,0.26362
1989,West,female,Regular Part-Time Employment,0.12410,629,4901,0.11487,0.13333
1989,West,female,Vocational Training,0.02555,154,4901,0.02113,0.02996
1989,West,female,"Marginal, Irregular Part-Time Employment",0.02881,152,4901,0.02412,0.03349
1989,West,female,Not Employed,0.57007,2568,4901,0.55621,0.58393
1990,West,male,Full-Time Employment,0.63507,3126,4662,0.62125,0.64889
1990,West,male,Regular Part-Time Employment,0.01326,59,4662,0.00997,0.01654
1990,West,male,Vocational Training,0.03882,200,4662,0.03327,0.04436
1990,West,male,"Marginal, Irregular Part-Time Employment",0.00903,37,4662,0.00631,0.01174
1990,West,male,Not Employed,0.30382,1240,4662,0.29062,0.31703
1990,West,female,Full-Time Employment,0.25577,1380,4799,0.24342,0.26811
1990,West,female,Regular Part-Time Employment,0.13764,663,4799,0.12789,0.14739
1990,West,female,Vocational Training,0.02341,141,4799,0.01913,0.02769
1990,West,female,"Marginal, Irregular Part-Time Employment",0.02769,141,4799,0.02304,0.03233
1990,West,female,Not Employed,0.55550,2474,4799,0.54144,0.56956
1990,East,male,Full-Time Employment,0.76823,1701,2083,0.75011,0.78636
1990,East,male,Vocational Training,0.03290,77,2083,0.02524,0.04056
1990,East,male,Not Employed,0.18663,305,2083,0.16989,0.20336
1990,East,female,Full-Time Employment,0.45478,1177,2311,0.43447,0.47509
1990,East,female,Regular Part-Time Employment,0.14893,387,2311,0.13442,0.16345
1990,East,female,Vocational Training,0.01984,55,2311,0.01415,0.02552
1990,East,female,Not Employed,0.37317,692,2311,0.35344,0.39289
1991,West,male,Full-Time Employment,0.63663,3141,4654,0.62281,0.65045
1991,West,male,Regular Part-Time Employment,0.01420,58,4654,0.01080,0.01760
1991,West,male,Vocational Training,0.03777,211,4654,0.03229,0.04325
1991,West,male,"Marginal, Irregular Part-Time Employment",0.01360,58,4654,0.01028,0.01693
1991,West,male,Not Employed,0.29779,1186,4654,0.28465,0.31093
1991,West,female,Full-Time Employment,0.25144,1367,4793,0.23916,0.26373
1991,West,female,Regular Part-Time Employment,0.13989,692,4793,0.13007,0.14971
1991,West,female,Vocational Training,0.02848,172,4793,0.02377,0.03318
1991,West,female,"Marginal, Irregular Part-Time Employment",0.03492,169,4793,0.02973,0.04012
1991,West,female,Not Employed,0.54527,2393,4793,0.53117,0.55937
1991,East,male,Full-Time Employment,0.67733,1421,1952,0.65658,0.69807
1991,East,male,Vocational Training,0.02836,70,1952,0.02100,0.03573
1991,East,male,Not Employed,0.28045,461,1952,0.26052,0.30038
1991,East,female,Full-Time Employment,0.41641,1030,2149,0.39557,0.43726
1991,East,female,Regular Part-Time Employment,0.08469,211,2149,0.07292,0.09646
1991,East,female,Vocational Training,0.02136,58,2149,0.01525,0.02747
1991,East,female,Not Employed,0.47094,850,2149,0.44983,0.49205
1992,West,male,Full-Time Employment,0.62801,3056,4572,0.61400,0.64202
1992,West,male,Regular Part-Time Employment,0.01503,60,4572,0.01150,0.01856
1992,West,male,Vocational Training,0.03194,181,4572,0.02684,0.03704
1992,West,male,"Marginal, Irregular Part-Time Employment",0.01491,59,4572,0.01140,0.01842
1992,West,male,Not Employed,0.31011,1216,4572,0.29670,0.32352
1992,West,female,Full-Time Employment,0.24959,1343,4768,0.23730,0.26187
1992,West,female,Regular Part-Time Employment,0.14638,724,4768,0.13635,0.15642
1992,West,female,Vocational Training,0.02589,153,4768,0.02138,0.03040
1992,West,female,"Marginal, Irregular Part-Time Employment",0.02098,106,4768,0.01691,0.02505
1992,West,female,Not Employed,0.55716,2442,4768,0.54306,0.57126
1992,East,male,Full-Time Employment,0.60172,1234,1871,0.57953,0.62391
1992,East,male,Vocational Training,0.03418,78,1871,0.02595,0.04242
1992,East,male,Not Employed,0.35215,559,1871,0.33051,0.37380
1992,East,female,Full-Time Employment,0.36464,871,2075,0.34393,0.38536
1992,East,female,Regular Part-Time Employment,0.05885,148,2075,0.04872,0.06898
1992,East,female,Vocational Training,0.02765,74,2075,0.02059,0.03471
1992,East,female,Not Employed,0.54445,982,2075,0.52302,0.56589
1993,West,male,Full-Time Employment,0.62484,3011,4546,0.61077,0.63892
1993,West,male,Regular Part-Time Employment,0.01354,52,4546,0.01018,0.01690
1993,West,male,Vocational Training,0.03275,178,4546,0.02757,0.03792
1993,West,male,"Marginal, Irregular Part-Time Employment",0.01118,42,4546,0.00813,0.01424
1993,West,male,Not Employed,0.31769,1263,4546,0.30415,0.33122
1993,West,female,Full-Time Employment,0.24862,1327,4726,0.23629,0.26094
1993,West,female,Regular Part-Time Employment,0.14640,712,4726,0.13632,0.15648
1993,West,female,Vocational Training,0.02623,158,4726,0.02168,0.03079
1993,West,female,"Marginal, Irregular Part-Time Employment",0.02928,134,4726,0.02448,0.03409
1993,West,female,Not Employed,0.54947,2395,4726,0.53528,0.56365
1993,East,male,Full-Time Employment,0.56144,1124,1801,0.53852,0.58437
1993,East,male,Vocational Training,0.04850,93,1801,0.03857,0.05842
1993,East,male,Not Employed,0.37895,584,1801,0.35653,0.40136
1993,East,female,Full-Time Employment,0.34695,799,2000,0.32608,0.36781
1993,East,female,Regular Part-Time Employment,0.06239,145,2000,0.05179,0.07299
1993,East,female,Vocational Training,0.03217,83,2000,0.02443,0.03990
1993,East,female,Not Employed,0.55370,973,2000,0.53191,0.57549
1994,West,male,Full-Time Employment,0.61023,2874,4419,0.59585,0.62461
1994,West,male,Regular Part-Time Employment,0.01291,46,4419,0.00958,0.01624
1994,West,male,Vocational Training,0.02894,144,4419,0.02399,0.03388
1994,West,male,"Marginal, Irregular Part-Time Employment",0.01290,46,4419,0.00958,0.01623
1994,West,male,Not Employed,0.33502,1309,4419,0.32110,0.34894
1994,West,female,Full-Time Employment,0.24170,1268,4679,0.22943,0.25397
1994,West,female,Regular Part-Time Employment,0.13788,662,4679,0.12800,0.14776
1994,West,female,Vocational Training,0.02068,134,4679,0.01660,0.02475
1994,West,female,"Marginal, Irregular Part-Time Employment",0.03365,164,4679,0.02848,0.03882
1994,West,female,Not Employed,0.56609,2451,4679,0.55189,0.58029
1994,East,male,Full-Time Employment,0.56209,1100,1770,0.53897,0.58521
1994,East,male,Vocational Training,0.03951,80,1770,0.03044,0.04859
1994,East,male,Not Employed,0.38369,590,1770,0.36103,0.40636
1994,East,female,Full-Time Employment,0.32388,741,1966,0.30319,0.34457
1994,East,female,Regular Part-Time Employment,0.06988,162,1966,0.05861,0.08115
1994,East,female,Vocational Training,0.03490,96,1966,0.02679,0.04302
1994,East,female,Not Employed,0.56669,967,1966,0.54478,0.58860
1995,West,male,Full-Time Employment,0.59926,3006,4658,0.58519,0.61334
1995,West,male,Regular Part-Time Employment,0.01811,60,4658,0.01428,0.02194
1995,West,male,Vocational Training,0.02895,158,4658,0.02413,0.03376
1995,West,male,"Marginal, Irregular Part-Time Employment",0.01335,60,4658,0.01005,0.01664
1995,West,male,Not Employed,0.34034,1374,4658,0.32673,0.35395
1995,West,female,Full-Time Employment,0.23550,1322,4932,0.22366,0.24734
1995,West,female,Regular Part-Time Employment,0.13554,703,4932,0.12599,0.14510
1995,West,female,Vocational Training,0.02007,132,4932,0.01616,0.02399
1995,West,female,"Marginal, Irregular Part-Time Employment",0.03929,199,4932,0.03386,0.04471
1995,West,female,Not Employed,0.56960,2576,4932,0.55578,0.58342
1995,East,male,Full-Time Employment,0.57358,1083,1724,0.55023,0.59693
1995,East,male,Vocational Training,0.04263,84,1724,0.03309,0.05217
1995,East,male,Not Employed,0.36719,557,1724,0.34442,0.38995
1995,East,female,Full-Time Employment,0.31811,721,1923,0.29729,0.33893
1995,East,female,Regular Part-Time Employment,0.08710,199,1923,0.07450,0.09971
1995,East,female,Vocational Training,0.02767,80,1923,0.02033,0.03500
1995,East,female,Not Employed,0.55893,923,1923,0.53673,0.58113
1996,West,male,Full-Time Employment,0.59555,2905,4537,0.58127,0.60984
1996,West,male,Regular Part-Time Employment,0.02304,86,4537,0.01867,0.02741
1996,West,male,Vocational Training,0.02799,148,4537,0.02319,0.03279
1996,West,male,"Marginal, Irregular Part-Time Employment",0.01360,57,4537,0.01023,0.01697
1996,West,male,Not Employed,0.33982,1341,4537,0.32603,0.35360
1996,West,female,Full-Time Employment,0.22909,1257,4826,0.21723,0.24095
1996,West,female,Regular Part-Time Employment,0.14872,755,4826,0.13868,0.15876
1996,West,female,Vocational Training,0.01814,117,4826,0.01437,0.02190
1996,West,female,"Marginal, Irregular Part-Time Employment",0.03722,187,4826,0.03188,0.04256
1996,West,female,Not Employed,0.56684,2510,4826,0.55285,0.58082
1996,East,male,Full-Time Employment,0.54891,1038,1733,0.52548,0.57235
1996,East,male,Vocational Training,0.03927,87,1733,0.03012,0.04841
1996,East,male,Not Employed,0.39734,608,1733,0.37429,0.42038
1996,East,female,Full-Time Employment,0.30404,695,1907,0.28339,0.32469
1996,East,female,Regular Part-Time Employment,0.08946,196,1907,0.07665,0.10228
1996,East,female,Vocational Training,0.02833,82,1907,0.02088,0.03578
1996,East,female,Not Employed,0.56752,934,1907,0.54528,0.58976
1997,West,male,Full-Time Employment,0.58731,2821,4463,0.57286,0.60175
1997,West,male,Regular Part-Time Employment,0.02344,80,4463,0.01900,0.02787
1997,West,male,Vocational Training,0.02615,144,4463,0.02147,0.03083
1997,West,male,"Marginal, Irregular Part-Time Employment",0.01007,46,4463,0.00714,0.01300
1997,West,male,Not Employed,0.35303,1372,4463,0.33901,0.36705
1997,West,female,Full-Time Employment,0.22848,1214,4731,0.21652,0.24045
1997,West,female,Regular Part-Time Employment,0.14464,717,4731,0.13462,0.15467
1997,West,female,Vocational Training,0.01883,122,4731,0.01496,0.02271
1997,West,female,"Marginal, Irregular Part-Time Employment",0.03452,182,4731,0.02932,0.03973
1997,West,female,Not Employed,0.57352,2496,4731,0.55942,0.58761
1997,East,male,Full-Time Employment,0.52304,992,1719,0.49942,0.54666
1997,East,male,Vocational Training,0.03729,88,1719,0.02833,0.04624
1997,East,male,Not Employed,0.42099,639,1719,0.39765,0.44434
1997,East,female,Full-Time Employment,0.30392,696,1871,0.28307,0.32476
1997,East,female,Regular Part-Time Employment,0.08884,182,1871,0.07595,0.10174
1997,East,female,Vocational Training,0.02301,69,1871,0.01621,0.02981
1997,East,female,Not Employed,0.57522,924,1871,0.55282,0.59762
1998,West,male,Full-Time Employment,0.58218,3121,5014,0.56853,0.59584
1998,West,male,Regular Part-Time Employment,0.02338,95,5014,0.01920,0.02756
1998,West,male,Vocational Training,0.03007,167,5014,0.02534,0.03479
1998,West,male,"Marginal, Irregular Part-Time Employment",0.01336,60,5014,0.01018,0.01654
1998,West,male,Not Employed,0.34976,1571,5014,0.33656,0.36296
1998,West,female,Full-Time Employment,0.23017,1364,5348,0.21889,0.24146
1998,West,female,Regular Part-Time Employment,0.14765,812,5348,0.13814,0.15716
1998,West,female,Vocational Training,0.01804,136,5348,0.01447,0.02161
1998,West,female,"Marginal, Irregular Part-Time Employment",0.03076,200,5348,0.02614,0.03539
1998,West,female,Not Employed,0.57238,2836,5348,0.55912,0.58564
1998,East,male,Full-Time Employment,0.51478,1027,1837,0.49192,0.53764
1998,East,male,Vocational Training,0.04466,107,1837,0.03521,0.05411
1998,East,male,Not Employed,0.42049,703,1837,0.39791,0.44307
1998,East,female,Full-Time Employment,0.29440,711,1970,0.27427,0.31453
1998,East,female,Regular Part-Time Employment,0.08754,192,1970,0.07505,0.10002
1998,East,female,Vocational Training,0.02501,68,1970,0.01811,0.03190
1998,East,female,Not Employed,0.58175,999,1970,0.55996,0.60354
1999,West,male,Full-Time Employment,0.58412,3004,4785,0.57015,0.59809
1999,West,male,Regular Part-Time Employment,0.02352,93,4785,0.01922,0.02781
1999,West,male,Vocational Training,0.02914,155,4785,0.02437,0.03391
1999,West,male,"Marginal, Irregular Part-Time Employment",0.01938,93,4785,0.01547,0.02328
1999,West,male,Not Employed,0.34210,1440,4785,0.32866,0.35555
1999,West,female,Full-Time Employment,0.23727,1323,5092,0.22558,0.24895
1999,West,female,Regular Part-Time Employment,0.14337,794,5092,0.13374,0.15300
1999,West,female,Vocational Training,0.02030,129,5092,0.01643,0.02417
1999,West,female,"Marginal, Irregular Part-Time Employment",0.05405,283,5092,0.04784,0.06026
1999,West,female,Not Employed,0.54393,2563,5092,0.53025,0.55761
1999,East,male,Full-Time Employment,0.52783,1024,1777,0.50461,0.55105
1999,East,male,Vocational Training,0.04087,96,1777,0.03166,0.05008
1999,East,male,Not Employed,0.40802,657,1777,0.38516,0.43087
1999,East,female,Full-Time Employment,0.29315,692,1964,0.27302,0.31329
1999,East,female,Regular Part-Time Employment,0.09602,208,1964,0.08298,0.10905
1999,East,female,Vocational Training,0.02489,67,1964,0.01800,0.03178
1999,East,female,"Marginal, Irregular Part-Time Employment",0.01905,41,1964,0.01300,0.02510
1999,East,female,Not Employed,0.56641,956,1964,0.54449,0.58833
2000,West,male,Full-Time Employment,0.59498,5377,8772,0.58470,0.60525
2000,West,male,Regular Part-Time Employment,0.02265,164,8772,0.01954,0.02577
2000,West,male,Vocational Training,0.02603,260,8772,0.02270,0.02936
2000,West,male,"Marginal, Irregular Part-Time Employment",0.01986,155,8772,0.01694,0.02278
2000,West,male,Not Employed,0.33489,2816,8772,0.32501,0.34476
2000,West,female,Full-Time Employment,0.22828,2193,9462,0.21982,0.23674
2000,West,female,Regular Part-Time Employment,0.16618,1700,9462,0.15868,0.17368
2000,West,female,Vocational Training,0.01773,197,9462,0.01507,0.02039
2000,West,female,"Marginal, Irregular Part-Time Employment",0.05065,507,9462,0.04623,0.05507
2000,West,female,Not Employed,0.53624,4865,9462,0.52619,0.54629
2000,East,male,Full-Time Employment,0.50305,1485,2796,0.48451,0.52158
2000,East,male,Regular Part-Time Employment,0.01813,43,2796,0.01318,0.02308
2000,East,male,Vocational Training,0.04211,137,2796,0.03466,0.04955
2000,East,male,"Marginal, Irregular Part-Time Employment",0.01712,35,2796,0.01231,0.02193
2000,East,male,Not Employed,0.41906,1096,2796,0.40077,0.43735
2000,East,female,Full-Time Employment,0.29134,1005,3048,0.27521,0.30748
2000,East,female,Regular Part-Time Employment,0.09607,325,3048,0.08561,0.10654
2000,East,female,Vocational Training,0.02494,102,3048,0.01941,0.03048
2000,East,female,"Marginal, Irregular Part-Time Employment",0.02505,69,3048,0.01950,0.03060
2000,East,female,Not Employed,0.56183,1547,3048,0.54422,0.57945
2001,West,male,Full-Time Employment,0.58352,4774,7889,0.57264,0.59440
2001,West,male,Regular Part-Time Employment,0.02369,158,7889,0.02034,0.02705
2001,West,male,Vocational Training,0.02515,231,7889,0.02169,0.02860
2001,West,male,"Marginal, Irregular Part-Time Employment",0.02299,158,7889,0.01968,0.02629
2001,West,male,Not Employed,0.34294,2568,7889,0.33246,0.35342
2001,West,female,Full-Time Employment,0.23143,2014,8573,0.22250,0.24036
2001,West,female,Regular Part-Time Employment,0.16482,1541,8573,0.15696,0.17267
2001,West,female,Vocational Training,0.02502,223,8573,0.02172,0.02833
2001,West,female,"Marginal, Irregular Part-Time Employment",0.04965,484,8573,0.04505,0.05425
2001,West,female,Not Employed,0.52821,4311,8573,0.51764,0.53878
2001,East,male,Full-Time Employment,0.49634,1362,2621,0.47720,0.51549
2001,East,male,Regular Part-Time Employment,0.01170,32,2621,0.00759,0.01582
2001,East,male,Vocational Training,0.04235,126,2621,0.03464,0.05006
2001,East,male,"Marginal, Irregular Part-Time Employment",0.01677,46,2621,0.01186,0.02169
2001,East,male,Not Employed,0.43169,1055,2621,0.41272,0.45065
2001,East,female,Full-Time Employment,0.28257,909,2809,0.26592,0.29923
2001,East,female,Regular Part-Time Employment,0.10856,326,2809,0.09705,0.12006
2001,East,female,Vocational Training,0.02706,99,2809,0.02106,0.03306
2001,East,female,"Marginal, Irregular Part-Time Employment",0.02484,62,2809,0.01908,0.03059
2001,East,female,Not Employed,0.55607,1413,2809,0.53769,0.57444
2002,West,male,Full-Time Employment,0.56643,5134,8481,0.55588,0.57698
2002,West,male,Regular Part-Time Employment,0.02135,158,8481,0.01827,0.02443
2002,West,male,Vocational Training,0.02756,245,8481,0.02408,0.03104
2002,West,male,"Marginal, Irregular Part-Time Employment",0.02091,170,8481,0.01786,0.02395
2002,West,male,Not Employed,0.36172,2774,8481,0.35149,0.37194
2002,West,female,Full-Time Employment,0.22049,2172,9092,0.21196,0.22901
2002,West,female,Regular Part-Time Employment,0.16858,1772,9092,0.16089,0.17628
2002,West,female,Vocational Training,0.02404,218,9092,0.02089,0.02719
2002,West,female,"Marginal, Irregular Part-Time Employment",0.05516,546,9092,0.05046,0.05985
2002,West,female,Not Employed,0.53077,4384,9092,0.52052,0.54103
2002,East,male,Full-Time Employment,0.46293,1330,2629,0.44386,0.48199
2002,East,male,Regular Part-Time Employment,0.01430,40,2629,0.00976,0.01884
2002,East,male,Vocational Training,0.04092,121,2629,0.03334,0.04849
2002,East,male,"Marginal, Irregular Part-Time Employment",0.01765,44,2629,0.01262,0.02269
2002,East,male,Not Employed,0.46188,1094,2629,0.44282,0.48094
2002,East,female,Full-Time Employment,0.26622,916,2794,0.24983,0.28261
2002,East,female,Regular Part-Time Employment,0.10641,313,2794,0.09497,0.11784
2002,East,female,Vocational Training,0.03155,94,2794,0.02507,0.03803
2002,East,female,"Marginal, Irregular Part-Time Employment",0.02148,68,2794,0.01611,0.02686
2002,East,female,Not Employed,0.57360,1403,2794,0.55526,0.59194
2003,West,male,Full-Time Employment,0.55188,4724,8080,0.54103,0.56272
2003,West,male,Regular Part-Time Employment,0.02365,164,8080,0.02033,0.02696
2003,West,male,Vocational Training,0.02678,233,8080,0.02326,0.03030
2003,West,male,"Marginal, Irregular Part-Time Employment",0.02119,179,8080,0.01805,0.02433
2003,West,male,Not Employed,0.37442,2780,8080,0.36386,0.38497
2003,West,female,Full-Time Employment,0.21996,2039,8718,0.21127,0.22866
2003,West,female,Regular Part-Time Employment,0.16799,1714,8718,0.16014,0.17584
2003,West,female,Vocational Training,0.01992,196,8718,0.01699,0.02285
2003,West,female,"Marginal, Irregular Part-Time Employment",0.05870,540,8718,0.05376,0.06363
2003,West,female,Not Employed,0.53212,4229,8718,0.52165,0.54260
2003,East,male,Full-Time Employment,0.44895,1257,2580,0.42975,0.46814
2003,East,male,Regular Part-Time Employment,0.01883,49,2580,0.01359,0.02408
2003,East,male,Vocational Training,0.03106,103,2580,0.02437,0.03776
2003,East,male,"Marginal, Irregular Part-Time Employment",0.02472,57,2580,0.01872,0.03071
2003,East,male,Not Employed,0.47461,1114,2580,0.45534,0.49388
2003,East,female,Full-Time Employment,0.24701,837,2756,0.23091,0.26312
2003,East,female,Regular Part-Time Employment,0.11496,342,2756,0.10305,0.12687
2003,East,female,Vocational Training,0.02589,76,2756,0.01996,0.03181
2003,East,female,"Marginal, Irregular Part-Time Employment",0.02643,79,2756,0.02044,0.03242
2003,East,female,Not Employed,0.58490,1422,2756,0.56650,0.60330
2004,West,male,Full-Time Employment,0.54494,4548,7871,0.53394,0.55595
2004,West,male,Regular Part-Time Employment,0.02241,162,7871,0.01914,0.02568
2004,West,male,Vocational Training,0.02512,214,7871,0.02167,0.02858
2004,West,male,"Marginal, Irregular Part-Time Employment",0.02033,184,7871,0.01721,0.02345
2004,West,male,Not Employed,0.38598,2763,7871,0.37522,0.39673
2004,West,female,Full-Time Employment,0.21853,1942,8498,0.20974,0.22732
2004,West,female,Regular Part-Time Employment,0.16249,1627,8498,0.15465,0.17033
2004,West,female,Vocational Training,0.02209,197,8498,0.01897,0.02522
2004,West,female,"Marginal, Irregular Part-Time Employment",0.06424,580,8498,0.05903,0.06945
2004,West,female,Not Employed,0.53112,4152,8498,0.52050,0.54173
2004,East,male,Full-Time Employment,0.43359,1206,2498,0.41415,0.45302
2004,East,male,Regular Part-Time Employment,0.02345,51,2498,0.01751,0.02938
2004,East,male,Vocational Training,0.03639,98,2498,0.02904,0.04373
2004,East,male,"Marginal, Irregular Part-Time Employment",0.03382,64,2498,0.02673,0.04091
2004,East,male,Not Employed,0.47121,1079,2498,0.45163,0.49079
2004,East,female,Full-Time Employment,0.23734,822,2717,0.22134,0.25334
2004,East,female,Regular Part-Time Employment,0.12168,346,2717,0.10939,0.13398
2004,East,female,Vocational Training,0.02677,71,2717,0.02070,0.03284
2004,East,female,"Marginal, Irregular Part-Time Employment",0.03075,90,2717,0.02426,0.03724
2004,East,female,Not Employed,0.58224,1388,2717,0.56369,0.60079
2005,West,male,Full-Time Employment,0.54083,4225,7466,0.52952,0.55213
2005,West,male,Regular Part-Time Employment,0.02667,173,7466,0.02302,0.03033
2005,West,male,Vocational Training,0.02685,192,7466,0.02318,0.03052
2005,West,male,"Marginal, Irregular Part-Time Employment",0.02588,183,7466,0.02228,0.02948
2005,West,male,Not Employed,0.37783,2693,7466,0.36683,0.38883
2005,West,female,Full-Time Employment,0.21855,1858,8170,0.20959,0.22752
2005,West,female,Regular Part-Time Employment,0.16551,1527,8170,0.15745,0.17357
2005,West,female,Vocational Training,0.02060,170,8170,0.01752,0.02368
2005,West,female,"Marginal, Irregular Part-Time Employment",0.07173,626,8170,0.06614,0.07733
2005,West,female,Not Employed,0.52139,3989,8170,0.51055,0.53222
2005,East,male,Full-Time Employment,0.44298,1154,2420,0.42319,0.46278
2005,East,male,Regular Part-Time Employment,0.01828,42,2420,0.01294,0.02362
2005,East,male,Vocational Training,0.04073,95,2420,0.03285,0.04861
2005,East,male,"Marginal, Irregular Part-Time Employment",0.02344,58,2420,0.01741,0.02947
2005,East,male,Not Employed,0.47322,1071,2420,0.45332,0.49312
2005,East,female,Full-Time Employment,0.23590,747,2611,0.21962,0.25219
2005,East,female,Regular Part-Time Employment,0.12384,350,2611,0.11120,0.13648
2005,East,female,Vocational Training,0.02029,57,2611,0.01488,0.02570
2005,East,female,"Marginal, Irregular Part-Time Employment",0.02724,85,2611,0.02100,0.03349
2005,East,female,Not Employed,0.59189,1372,2611,0.57303,0.61074
2006,West,male,Full-Time Employment,0.53897,4424,8036,0.52807,0.54987
2006,West,male,Regular Part-Time Employment,0.02691,201,8036,0.02337,0.03044
2006,West,male,Vocational Training,0.02536,188,8036,0.02192,0.02879
2006,West,male,"Marginal, Irregular Part-Time Employment",0.03169,257,8036,0.02786,0.03552
2006,West,male,Not Employed,0.37473,2966,8036,0.36415,0.38532
2006,West,female,Full-Time Employment,0.21490,1943,8840,0.20634,0.22347
2006,West,female,Regular Part-Time Employment,0.16532,1686,8840,0.15758,0.17307
2006,West,female,Vocational Training,0.02036,165,8840,0.01741,0.02330
2006,West,female,"Marginal, Irregular Part-Time Employment",0.07112,676,8840,0.06576,0.07648
2006,West,female,Not Employed,0.52623,4370,8840,0.51582,0.53664
2006,East,male,Full-Time Employment,0.44047,1182,2578,0.42130,0.45964
2006,East,male,Regular Part-Time Employment,0.01885,45,2578,0.01360,0.02411
2006,East,male,Vocational Training,0.03377,94,2578,0.02679,0.04074
2006,East,male,"Marginal, Irregular Part-Time Employment",0.03498,82,2578,0.02788,0.04207
2006,East,male,Not Employed,0.47081,1175,2578,0.45153,0.49008
2006,East,female,Full-Time Employment,0.23436,767,2781,0.21861,0.25011
2006,East,female,Regular Part-Time Employment,0.11632,377,2781,0.10440,0.12824
2006,East,female,Vocational Training,0.02340,71,2781,0.01778,0.02901
2006,East,female,"Marginal, Irregular Part-Time Employment",0.04585,127,2781,0.03808,0.05363
