year,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,Urban regions,Regular Part-Time Employment,0.05709,521,7700,0.05190,0.06227
1989,Urban regions,Vocational Training,0.02598,289,7700,0.02242,0.02953
1989,Urban regions,"Marginal, Irregular Part-Time Employment",0.01843,163,7700,0.01542,0.02143
1989,Urban regions,Not Employed,0.37214,3025,7700,0.36135,0.38294
1989,Rural regions,Full-Time Employment,0.33648,912,1962,0.31557,0.35739
1989,Rural regions,Regular Part-Time Employment,0.06345,152,1962,0.05266,0.07424
1989,Rural regions,Vocational Training,0.02788,85,1962,0.02059,0.03516
1989,Rural regions,"Marginal, Irregular Part-Time Employment",0.01196,33,1962,0.00715,0.01677
1989,Rural regions,Not Employed,0.37705,780,1962,0.35560,0.39851
1990,Urban regions,Full-Time Employment,0.38180,4561,8966,0.37174,0.39185
1990,Urban regions,Regular Part-Time Employment,0.06356,694,8966,0.05851,0.06861
1990,Urban regions,Vocational Training,0.02539,309,8966,0.02214,0.02865
1990,Urban regions,"Marginal, Irregular Part-Time Employment",0.01306,135,8966,0.01071,0.01541
1990,Urban regions,Not Employed,0.34611,3267,8966,0.33626,0.35596
1990,Rural regions,Full-Time Employment,0.39641,2761,4833,0.38262,0.41020
1990,Rural regions,Regular Part-Time Employment,0.06895,432,4833,0.06181,0.07610
1990,Rural regions,Vocational Training,0.02288,161,4833,0.01867,0.02710
1990,Rural regions,"Marginal, Irregular Part-Time Employment",0.01229,53,4833,0.00919,0.01540
1990,Rural regions,Not Employed,0.30835,1426,4833,0.29533,0.32137
1991,Urban regions,Full-Time Employment,0.37696,4409,8775,0.36682,0.38710
1991,Urban regions,Regular Part-Time Employment,0.06221,658,8775,0.05715,0.06726
1991,Urban regions,Vocational Training,0.02559,330,8775,0.02228,0.02889
1991,Urban regions,"Marginal, Irregular Part-Time Employment",0.01828,178,8775,0.01548,0.02109
1991,Urban regions,Not Employed,0.34497,3200,8775,0.33502,0.35492
1991,Rural regions,Full-Time Employment,0.37412,2493,4721,0.36032,0.38793
1991,Rural regions,Regular Part-Time Employment,0.05825,321,4721,0.05157,0.06494
1991,Rural regions,Vocational Training,0.02632,179,4721,0.02175,0.03088
1991,Rural regions,"Marginal, Irregular Part-Time Employment",0.01463,66,4721,0.01120,0.01806
1991,Rural regions,Not Employed,0.34308,1662,4721,0.32954,0.35663
1992,Urban regions,Full-Time Employment,0.36816,4212,8670,0.35801,0.37832
1992,Urban regions,Regular Part-Time Employment,0.06310,658,8670,0.05798,0.06822
1992,Urban regions,Vocational Training,0.02141,292,8670,0.01837,0.02446
1992,Urban regions,"Marginal, Irregular Part-Time Employment",0.01421,142,8670,0.01172,0.01670
1992,Urban regions,Not Employed,0.36118,3366,8670,0.35107,0.37129
1992,Rural regions,Full-Time Employment,0.35063,2223,4527,0.33673,0.36454
1992,Rural regions,Regular Part-Time Employment,0.05542,282,4527,0.04875,0.06208
1992,Rural regions,Vocational Training,0.02965,185,4527,0.02471,0.03459
1992,Rural regions,"Marginal, Irregular Part-Time Employment",0.00972,42,4527,0.00686,0.01258
1992,Rural regions,Not Employed,0.37139,1795,4527,0.35732,0.38547
1993,Urban regions,Full-Time Employment,0.36569,4141,8607,0.35552,0.37587
1993,Urban regions,Regular Part-Time Employment,0.06192,640,8607,0.05683,0.06701
1993,Urban regions,Vocational Training,0.02375,307,8607,0.02054,0.02697
1993,Urban regions,"Marginal, Irregular Part-Time Employment",0.01542,141,8607,0.01282,0.01803
1993,Urban regions,Not Employed,0.35929,3378,8607,0.34915,0.36942
1993,Rural regions,Full-Time Employment,0.33932,2120,4494,0.32547,0.35316
1993,Rural regions,Regular Part-Time Employment,0.05571,278,4494,0.04900,0.06241
1993,Rural regions,Vocational Training,0.03065,205,4494,0.02561,0.03569
1993,Rural regions,"Marginal, Irregular Part-Time Employment",0.01235,54,4494,0.00912,0.01558
1993,Rural regions,Not Employed,0.37952,1837,4494,0.36533,0.39371
1994,Urban regions,Full-Time Employment,0.35624,3952,8480,0.34604,0.36643
1994,Urban regions,Regular Part-Time Employment,0.05944,606,8480,0.05441,0.06448
1994,Urban regions,Vocational Training,0.01865,249,8480,0.01577,0.02153
1994,Urban regions,"Marginal, Irregular Part-Time Employment",0.01747,176,8480,0.01468,0.02025
1994,Urban regions,Not Employed,0.37457,3497,8480,0.36426,0.38487
1994,Rural regions,Full-Time Employment,0.32820,2031,4393,0.31431,0.34208
1994,Rural regions,Regular Part-Time Employment,0.05464,277,4393,0.04792,0.06136
1994,Rural regions,Vocational Training,0.03031,205,4393,0.02524,0.03538
1994,Rural regions,"Marginal, Irregular Part-Time Employment",0.01444,60,4393,0.01091,0.01797
1994,Rural regions,Not Employed,0.38596,1820,4393,0.37156,0.40036
1995,Urban regions,Full-Time Employment,0.34652,4006,8735,0.33654,0.35650
1995,Urban regions,Regular Part-Time Employment,0.06172,665,8735,0.05667,0.06676
1995,Urban regions,Vocational Training,0.01841,250,8735,0.01559,0.02122
1995,Urban regions,"Marginal, Irregular Part-Time Employment",0.02062,212,8735,0.01764,0.02360
1995,Urban regions,Not Employed,0.37904,3602,8735,0.36886,0.38921
1995,Rural regions,Full-Time Employment,0.33230,2126,4548,0.31860,0.34599
1995,Rural regions,Regular Part-Time Employment,0.05678,311,4548,0.05005,0.06350
1995,Rural regions,Vocational Training,0.02864,204,4548,0.02379,0.03348
1995,Rural regions,"Marginal, Irregular Part-Time Employment",0.01584,79,4548,0.01221,0.01947
1995,Rural regions,Not Employed,0.37720,1828,4548,0.36311,0.39129
1996,Urban regions,Full-Time Employment,0.34047,3836,8542,0.33042,0.35052
1996,Urban regions,Regular Part-Time Employment,0.06763,725,8542,0.06230,0.07295
1996,Urban regions,Vocational Training,0.01981,252,8542,0.01686,0.02277
1996,Urban regions,"Marginal, Irregular Part-Time Employment",0.01940,198,8542,0.01647,0.02232
1996,Urban regions,Not Employed,0.37827,3531,8542,0.36799,0.38856
1996,Rural regions,Full-Time Employment,0.32650,2059,4505,0.31281,0.34020
1996,Rural regions,Regular Part-Time Employment,0.06490,329,4505,0.05771,0.07210
1996,Rural regions,Vocational Training,0.02202,182,4505,0.01774,0.02631
1996,Rural regions,"Marginal, Irregular Part-Time Employment",0.01621,73,4505,0.01252,0.01990
1996,Rural regions,Not Employed,0.38638,1862,4505,0.37216,0.40060
1997,Urban regions,Full-Time Employment,0.33522,3695,8389,0.32512,0.34532
1997,Urban regions,Regular Part-Time Employment,0.06932,693,8389,0.06389,0.07476
1997,Urban regions,Vocational Training,0.01938,258,8389,0.01643,0.02233
1997,Urban regions,"Marginal, Irregular Part-Time Employment",0.01715,183,8389,0.01437,0.01993
1997,Urban regions,Not Employed,0.38689,3560,8389,0.37647,0.39731
1997,Rural regions,Full-Time Employment,0.32507,2028,4438,0.31129,0.33885
1997,Rural regions,Regular Part-Time Employment,0.05720,299,4438,0.05036,0.06403
1997,Rural regions,Vocational Training,0.02014,165,4438,0.01601,0.02427
1997,Rural regions,"Marginal, Irregular Part-Time Employment",0.01527,76,4438,0.01167,0.01888
1997,Rural regions,Not Employed,0.39780,1870,4438,0.38339,0.41220
1998,Urban regions,Full-Time Employment,0.33855,4064,9278,0.32892,0.34818
1998,Urban regions,Regular Part-Time Employment,0.07023,771,9278,0.06503,0.07543
1998,Urban regions,Vocational Training,0.01977,276,9278,0.01693,0.02260
1998,Urban regions,"Marginal, Irregular Part-Time Employment",0.01610,197,9278,0.01353,0.01866
1998,Urban regions,Not Employed,0.38561,3970,9278,0.37571,0.39552
1998,Rural regions,Full-Time Employment,0.31390,2159,4947,0.30097,0.32683
1998,Rural regions,Regular Part-Time Employment,0.05785,339,4947,0.05134,0.06436
1998,Rural regions,Vocational Training,0.02494,202,4947,0.02059,0.02928
1998,Rural regions,"Marginal, Irregular Part-Time Employment",0.01787,108,4947,0.01418,0.02157
1998,Rural regions,Not Employed,0.40006,2139,4947,0.38641,0.41372
1999,Urban regions,Full-Time Employment,0.34215,3938,8882,0.33228,0.35202
1999,Urban regions,Regular Part-Time Employment,0.06746,742,8882,0.06224,0.07267
1999,Urban regions,Vocational Training,0.02029,258,8882,0.01735,0.02322
1999,Urban regions,"Marginal, Irregular Part-Time Employment",0.02873,298,8882,0.02526,0.03220
1999,Urban regions,Not Employed,0.37244,3646,8882,0.36239,0.38250
1999,Rural regions,Full-Time Employment,0.32201,2105,4776,0.30876,0.33527
1999,Rural regions,Regular Part-Time Employment,0.06279,374,4776,0.05591,0.06967
1999,Rural regions,Vocational Training,0.02453,189,4776,0.02014,0.02892
1999,Rural regions,"Marginal, Irregular Part-Time Employment",0.02416,138,4776,0.01980,0.02851
1999,Rural regions,Not Employed,0.38441,1970,4776,0.37061,0.39821
2000,Urban regions,Full-Time Employment,0.33706,6577,15730,0.32967,0.34445
2000,Urban regions,Regular Part-Time Employment,0.07781,1541,15730,0.07362,0.08199
2000,Urban regions,Vocational Training,0.01744,389,15730,0.01540,0.01949
2000,Urban regions,"Marginal, Irregular Part-Time Employment",0.02870,521,15730,0.02609,0.03131
2000,Urban regions,Not Employed,0.36728,6702,15730,0.35974,0.37481
2000,Rural regions,Full-Time Employment,0.32708,3483,8348,0.31702,0.33715
2000,Rural regions,Regular Part-Time Employment,0.06578,691,8348,0.06046,0.07110
2000,Rural regions,Vocational Training,0.02487,307,8348,0.02153,0.02822
2000,Rural regions,"Marginal, Irregular Part-Time Employment",0.02424,245,8348,0.02094,0.02754
2000,Rural regions,Not Employed,0.38115,3622,8348,0.37073,0.39157
2001,Urban regions,Full-Time Employment,0.33483,5968,14319,0.32710,0.34256
2001,Urban regions,Regular Part-Time Employment,0.07765,1420,14319,0.07327,0.08203
2001,Urban regions,Vocational Training,0.02010,387,14319,0.01780,0.02240
2001,Urban regions,"Marginal, Irregular Part-Time Employment",0.03037,522,14319,0.02756,0.03318
2001,Urban regions,Not Employed,0.36475,6022,14319,0.35686,0.37263
2001,Rural regions,Full-Time Employment,0.32232,3091,7573,0.31180,0.33285
2001,Rural regions,Regular Part-Time Employment,0.06756,637,7573,0.06191,0.07322
2001,Rural regions,Vocational Training,0.02699,292,7573,0.02334,0.03064
2001,Rural regions,"Marginal, Irregular Part-Time Employment",0.02278,228,7573,0.01941,0.02614
2001,Rural regions,Not Employed,0.38920,3325,7573,0.37821,0.40018
2002,Urban regions,Full-Time Employment,0.32195,6418,15286,0.31454,0.32935
2002,Urban regions,Regular Part-Time Employment,0.07769,1598,15286,0.07345,0.08193
2002,Urban regions,Vocational Training,0.02072,394,15286,0.01846,0.02298
2002,Urban regions,"Marginal, Irregular Part-Time Employment",0.03097,585,15286,0.02823,0.03372
2002,Urban regions,Not Employed,0.37881,6291,15286,0.37112,0.38650
2002,Rural regions,Full-Time Employment,0.31077,3134,7710,0.30044,0.32110
2002,Rural regions,Regular Part-Time Employment,0.07002,685,7710,0.06432,0.07571
2002,Rural regions,Vocational Training,0.02798,284,7710,0.02430,0.03166
2002,Rural regions,"Marginal, Irregular Part-Time Employment",0.02506,243,7710,0.02157,0.02855
2002,Rural regions,Not Employed,0.39574,3364,7710,0.38482,0.40665
2003,Urban regions,Full-Time Employment,0.31520,5950,14744,0.30770,0.32270
2003,Urban regions,Regular Part-Time Employment,0.07779,1576,14744,0.07346,0.08211
2003,Urban regions,Vocational Training,0.01824,356,14744,0.01608,0.02040
2003,Urban regions,"Marginal, Irregular Part-Time Employment",0.03252,589,14744,0.02966,0.03539
2003,Urban regions,Not Employed,0.38666,6273,14744,0.37880,0.39452
2003,Rural regions,Full-Time Employment,0.30391,2907,7390,0.29342,0.31440
2003,Rural regions,Regular Part-Time Employment,0.07507,693,7390,0.06906,0.08107
2003,Rural regions,Vocational Training,0.02437,252,7390,0.02085,0.02788
2003,Rural regions,"Marginal, Irregular Part-Time Employment",0.02904,266,7390,0.02521,0.03286
2003,Rural regions,Not Employed,0.40156,3272,7390,0.39039,0.41274
2004,Urban regions,Full-Time Employment,0.31320,5730,14359,0.30562,0.32079
2004,Urban regions,Regular Part-Time Employment,0.07758,1510,14359,0.07321,0.08196
2004,Urban regions,Vocational Training,0.01970,346,14359,0.01743,0.02198
2004,Urban regions,"Marginal, Irregular Part-Time Employment",0.03568,628,14359,0.03265,0.03872
2004,Urban regions,Not Employed,0.38722,6145,14359,0.37926,0.39519
2004,Rural regions,Full-Time Employment,0.29874,2788,7225,0.28819,0.30930
2004,Rural regions,Regular Part-Time Employment,0.07193,676,7225,0.06597,0.07789
2004,Rural regions,Vocational Training,0.02370,234,7225,0.02019,0.02721
2004,Rural regions,"Marginal, Irregular Part-Time Employment",0.03116,290,7225,0.02716,0.03517
2004,Rural regions,Not Employed,0.41517,3237,7225,0.40380,0.42653
2005,Urban regions,Full-Time Employment,0.31256,5364,13763,0.30481,0.32030
2005,Urban regions,Regular Part-Time Employment,0.08120,1444,13763,0.07664,0.08576
2005,Urban regions,Vocational Training,0.01973,320,13763,0.01741,0.02206
2005,Urban regions,"Marginal, Irregular Part-Time Employment",0.03937,659,13763,0.03612,0.04262
2005,Urban regions,Not Employed,0.38623,5976,13763,0.37810,0.39437
2005,Rural regions,Full-Time Employment,0.30283,2620,6904,0.29199,0.31367
2005,Rural regions,Regular Part-Time Employment,0.07290,648,6904,0.06677,0.07903
2005,Rural regions,Vocational Training,0.02359,194,6904,0.02001,0.02717
2005,Rural regions,"Marginal, Irregular Part-Time Employment",0.03469,293,6904,0.03038,0.03901
2005,Rural regions,Not Employed,0.40834,3149,6904,0.39674,0.41993
2006,Urban regions,Full-Time Employment,0.31010,5552,14654,0.30262,0.31759
2006,Urban regions,Regular Part-Time Employment,0.08185,1579,14654,0.07742,0.08629
2006,Urban regions,Vocational Training,0.01879,299,14654,0.01659,0.02098
2006,Urban regions,"Marginal, Irregular Part-Time Employment",0.04228,760,14654,0.03903,0.04554
2006,Urban regions,Not Employed,0.38802,6464,14654,0.38013,0.39591
2006,Rural regions,Full-Time Employment,0.30387,2764,7581,0.29351,0.31422
2006,Rural regions,Regular Part-Time Employment,0.06986,730,7581,0.06412,0.07560
2006,Rural regions,Vocational Training,0.02299,219,7581,0.01962,0.02636
2006,Rural regions,"Marginal, Irregular Part-Time Employment",0.04144,382,7581,0.03695,0.04593
2006,Rural regions,Not Employed,0.40470,3486,7581,0.39365,0.41575
2007,Urban regions,Full-Time Employment,0.31345,5190,13685,0.30568,0.32122
2007,Urban regions,Regular Part-Time Employment,0.08734,1568,13685,0.08261,0.09207
2007,Urban regions,Vocational Training,0.01681,256,13685,0.01465,0.01896
2007,Urban regions,"Marginal, Irregular Part-Time Employment",0.04336,724,13685,0.03994,0.04677
2007,Urban regions,Not Employed,0.38193,5947,13685,0.37379,0.39007
2007,Rural regions,Full-Time Employment,0.31690,2683,7136,0.30610,0.32769
2007,Rural regions,Regular Part-Time Employment,0.07776,722,7136,0.07154,0.08397
2007,Rural regions,Vocational Training,0.02557,212,7136,0.02191,0.02923
2007,Rural regions,"Marginal, Irregular Part-Time Employment",0.04178,329,7136,0.03713,0.04642
2007,Rural regions,Not Employed,0.39178,3190,7136,0.38045,0.40310
2008,Urban regions,Full-Time Employment,0.32694,4968,12857,0.31884,0.33505
2008,Urban regions,Regular Part-Time Employment,0.08476,1445,12857,0.07994,0.08957
2008,Urban regions,Vocational Training,0.01954,266,12857,0.01715,0.02193
2008,Urban regions,"Marginal, Irregular Part-Time Employment",0.04866,716,12857,0.04494,0.05238
2008,Urban regions,Not Employed,0.36681,5462,12857,0.35848,0.37514
2008,Rural regions,Full-Time Employment,0.32198,2544,6689,0.31079,0.33318
2008,Rural regions,Regular Part-Time Employment,0.08146,683,6689,0.07491,0.08802
2008,Rural regions,Vocational Training,0.02260,180,6689,0.01904,0.02616
2008,Rural regions,"Marginal, Irregular Part-Time Employment",0.04572,329,6689,0.04071,0.05073
2008,Rural regions,Not Employed,0.38543,2953,6689,0.37377,0.39710
2009,Urban regions,Full-Time Employment,0.32676,4535,11872,0.31833,0.33520
2009,Urban regions,Regular Part-Time Employment,0.08545,1331,11872,0.08042,0.09048
2009,Urban regions,Vocational Training,0.02120,265,11872,0.01861,0.02379
2009,Urban regions,"Marginal, Irregular Part-Time Employment",0.04941,673,11872,0.04551,0.05331
2009,Urban regions,Not Employed,0.36848,5068,11872,0.35980,0.37716
2009,Rural regions,Full-Time Employment,0.32763,2442,6356,0.31609,0.33917
2009,Rural regions,Regular Part-Time Employment,0.08043,658,6356,0.07374,0.08712
2009,Rural regions,Vocational Training,0.02106,160,6356,0.01753,0.02459
2009,Rural regions,"Marginal, Irregular Part-Time Employment",0.04700,299,6356,0.04179,0.05220
2009,Rural regions,Not Employed,0.37894,2797,6356,0.36702,0.39087
2010,Urban regions,Full-Time Employment,0.32165,5848,15888,0.31439,0.32891
2010,Urban regions,Regular Part-Time Employment,0.08846,2043,15888,0.08404,0.09288
2010,Urban regions,Vocational Training,0.02072,308,15888,0.01851,0.02294
2010,Urban regions,"Marginal, Irregular Part-Time Employment",0.04880,1001,15888,0.04545,0.05215
2010,Urban regions,Not Employed,0.37072,6688,15888,0.36321,0.37823
2010,Rural regions,Full-Time Employment,0.32804,3165,8415,0.31800,0.33807
2010,Rural regions,Regular Part-Time Employment,0.08363,1009,8415,0.07771,0.08954
2010,Rural regions,Vocational Training,0.02440,202,8415,0.02110,0.02770
2010,Rural regions,"Marginal, Irregular Part-Time Employment",0.04989,532,8415,0.04523,0.05454
2010,Rural regions,Not Employed,0.37045,3507,8415,0.36013,0.38077
2011,Urban regions,Full-Time Employment,0.33095,6889,18522,0.32417,0.33772
2011,Urban regions,Regular Part-Time Employment,0.08698,2612,18522,0.08292,0.09104
2011,Urban regions,Vocational Training,0.01670,320,18522,0.01485,0.01854
2011,Urban regions,"Marginal, Irregular Part-Time Employment",0.04391,1084,18522,0.04096,0.04686
2011,Urban regions,Not Employed,0.36764,7617,18522,0.36070,0.37458
2011,Rural regions,Full-Time Employment,0.33367,3924,10341,0.32458,0.34276
2011,Rural regions,Regular Part-Time Employment,0.08473,1326,10341,0.07936,0.09009
2011,Rural regions,Vocational Training,0.02530,272,10341,0.02228,0.02833
2011,Rural regions,"Marginal, Irregular Part-Time Employment",0.04471,594,10341,0.04072,0.04869
2011,Rural regions,Not Employed,0.36215,4225,10341,0.35289,0.37141
2012,Urban regions,Full-Time Employment,0.33380,6664,17871,0.32689,0.34072
2012,Urban regions,Regular Part-Time Employment,0.08835,2568,17871,0.08418,0.09251
2012,Urban regions,Vocational Training,0.01687,338,17871,0.01498,0.01876
2012,Urban regions,"Marginal, Irregular Part-Time Employment",0.04874,1148,17871,0.04559,0.05190
2012,Urban regions,Not Employed,0.35849,7153,17871,0.35146,0.36552
2012,Rural regions,Full-Time Employment,0.32611,3823,10267,0.31704,0.33518
2012,Rural regions,Regular Part-Time Employment,0.09145,1379,10267,0.08587,0.09703
2012,Rural regions,Vocational Training,0.02200,274,10267,0.01916,0.02484
2012,Rural regions,"Marginal, Irregular Part-Time Employment",0.04240,603,10267,0.03850,0.04629
2012,Rural regions,Not Employed,0.37155,4188,10267,0.36220,0.38090
2013,Urban regions,Full-Time Employment,0.32730,7702,20493,0.32088,0.33373
2013,Urban regions,Regular Part-Time Employment,0.09220,2955,20493,0.08824,0.09616
2013,Urban regions,Vocational Training,0.02091,572,20493,0.01895,0.02287
2013,Urban regions,"Marginal, Irregular Part-Time Employment",0.05066,1448,20493,0.04766,0.05366
2013,Urban regions,Not Employed,0.35496,7816,20493,0.34841,0.36152
2013,Rural regions,Full-Time Employment,0.32030,3961,10661,0.31144,0.32915
2013,Rural regions,Regular Part-Time Employment,0.09559,1501,10661,0.09001,0.10117
2013,Rural regions,Vocational Training,0.02007,320,10661,0.01740,0.02273
2013,Rural regions,"Marginal, Irregular Part-Time Employment",0.04640,666,10661,0.04241,0.05040
2013,Rural regions,Not Employed,0.37557,4213,10661,0.36638,0.38477
2014,Urban regions,Full-Time Employment,0.32421,6678,18025,0.31737,0.33104
2014,Urban regions,Regular Part-Time Employment,0.09594,2582,18025,0.09164,0.10024
2014,Urban regions,Vocational Training,0.02033,483,18025,0.01827,0.02239
2014,Urban regions,"Marginal, Irregular Part-Time Employment",0.05372,1325,18025,0.05043,0.05701
2014,Urban regions,Not Employed,0.35310,6957,18025,0.34613,0.36008
2014,Rural regions,Full-Time Employment,0.32049,3548,9593,0.31115,0.32983
2014,Rural regions,Regular Part-Time Employment,0.09732,1321,9593,0.09139,0.10325
2014,Rural regions,Vocational Training,0.02282,282,9593,0.01983,0.02581
2014,Rural regions,"Marginal, Irregular Part-Time Employment",0.05174,660,9593,0.04731,0.05617
2014,Rural regions,Not Employed,0.36571,3782,9593,0.35607,0.37535
2015,Urban regions,Full-Time Employment,0.32486,6601,17851,0.31799,0.33173
2015,Urban regions,Regular Part-Time Employment,0.10038,2621,17851,0.09597,0.10478
2015,Urban regions,Vocational Training,0.01994,467,17851,0.01788,0.02199
2015,Urban regions,"Marginal, Irregular Part-Time Employment",0.05292,1238,17851,0.04963,0.05620
2015,Urban regions,Not Employed,0.35245,6924,17851,0.34544,0.35945
2015,Rural regions,Full-Time Employment,0.32292,3495,9457,0.31349,0.33234
2015,Rural regions,Regular Part-Time Employment,0.10309,1330,9457,0.09696,0.10922
2015,Rural regions,Vocational Training,0.02433,313,9457,0.02122,0.02743
2015,Rural regions,"Marginal, Irregular Part-Time Employment",0.04910,597,9457,0.04474,0.05345
2015,Rural regions,Not Employed,0.35467,3722,9457,0.34503,0.36431
2016,Urban regions,Full-Time Employment,0.33068,6029,18303,0.32387,0.33750
2016,Urban regions,Regular Part-Time Employment,0.10043,2505,18303,0.09607,0.10478
2016,Urban regions,Vocational Training,0.01901,475,18303,0.01703,0.02099
2016,Urban regions,"Marginal, Irregular Part-Time Employment",0.05025,1136,18303,0.04709,0.05342
2016,Urban regions,Not Employed,0.34819,8158,18303,0.34129,0.35509
2016,Rural regions,Full-Time Employment,0.32131,3222,9609,0.31197,0.33064
2016,Rural regions,Regular Part-Time Employment,0.11131,1312,9609,0.10502,0.11760
2016,Rural regions,Vocational Training,0.02455,323,9609,0.02145,0.02764
2016,Rural regions,"Marginal, Irregular Part-Time Employment",0.04393,531,9609,0.03983,0.04803
2016,Rural regions,Not Employed,0.35077,4221,9609,0.34123,0.36032
2017,Urban regions,Full-Time Employment,0.32762,6838,20412,0.32118,0.33406
2017,Urban regions,Regular Part-Time Employment,0.10388,2898,20412,0.09969,0.10806
2017,Urban regions,Vocational Training,0.02083,550,20412,0.01887,0.02278
2017,Urban regions,"Marginal, Irregular Part-Time Employment",0.05095,1199,20412,0.04794,0.05397
2017,Urban regions,Not Employed,0.34364,8927,20412,0.33712,0.35015
2017,Rural regions,Full-Time Employment,0.33372,3790,10806,0.32483,0.34261
2017,Rural regions,Regular Part-Time Employment,0.10521,1435,10806,0.09943,0.11100
2017,Rural regions,Vocational Training,0.02115,357,10806,0.01844,0.02386
2017,Rural regions,"Marginal, Irregular Part-Time Employment",0.04948,612,10806,0.04539,0.05357
2017,Rural regions,Not Employed,0.33897,4612,10806,0.33004,0.34790
2018,Urban regions,Full-Time Employment,0.33288,6661,19645,0.32629,0.33947
2018,Urban regions,Regular Part-Time Employment,0.10906,2895,19645,0.10470,0.11342
2018,Urban regions,Vocational Training,0.02051,557,19645,0.01853,0.02250
2018,Urban regions,"Marginal, Irregular Part-Time Employment",0.05100,1231,19645,0.04792,0.05407
2018,Urban regions,Not Employed,0.33505,8301,19645,0.32845,0.34165
2018,Rural regions,Full-Time Employment,0.33404,3592,10169,0.32488,0.34321
2018,Rural regions,Regular Part-Time Employment,0.11398,1467,10169,0.10780,0.12016
2018,Rural regions,Vocational Training,0.01854,342,10169,0.01592,0.02116
2018,Rural regions,"Marginal, Irregular Part-Time Employment",0.04415,532,10169,0.04016,0.04814
2018,Rural regions,Not Employed,0.34044,4236,10169,0.33123,0.34965
2019,Urban regions,Full-Time Employment,0.33487,7186,19113,0.32818,0.34156
2019,Urban regions,Regular Part-Time Employment,0.11557,2918,19113,0.11103,0.12010
2019,Urban regions,Vocational Training,0.01965,549,19113,0.01768,0.02162
2019,Urban regions,"Marginal, Irregular Part-Time Employment",0.04346,1080,19113,0.04057,0.04635
2019,Urban regions,Not Employed,0.32939,7380,19113,0.32273,0.33605
2019,Rural regions,Full-Time Employment,0.33151,3783,9856,0.32221,0.34080
