year,pgisced97,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Second Stage of Tertiary Education,No answer / don't know,Full-Time Employment,0.64693,534,762,0.61297,0.68089
1984,Second Stage of Tertiary Education,No answer / don't know,Regular Part-Time Employment,0.07432,58,762,0.05569,0.09296
1984,Second Stage of Tertiary Education,No answer / don't know,Not Employed,0.24471,170,762,0.21417,0.27526
1985,No answer / don't know,Urban regions,Full-Time Employment,0.39043,43,88,0.28792,0.49294
1985,No answer / don't know,Urban regions,Not Employed,0.46322,45,88,0.35844,0.56800
1985,Pre-primary Level,Urban regions,Not Employed,0.96397,145,145,0.93353,0.99441
1985,Pre-primary Level,Rural regions,Not Employed,0.97413,36,36,0.92153,1.02672
1985,Primary Level,Urban regions,Full-Time Employment,0.41291,369,686,0.37603,0.44978
1985,Primary Level,Urban regions,Not Employed,0.49356,317,686,0.45612,0.53100
1985,Primary Level,Rural regions,Full-Time Employment,0.26194,47,103,0.17661,0.34727
1985,Primary Level,Rural regions,Not Employed,0.69850,56,103,0.60944,0.78756
1985,Lower Secondary Level,Urban regions,Full-Time Employment,0.24075,808,2320,0.22335,0.25815
1985,Lower Secondary Level,Urban regions,Regular Part-Time Employment,0.06807,155,2320,0.05782,0.07832
1985,Lower Secondary Level,Urban regions,Vocational Training,0.06138,143,2320,0.05161,0.07115
1985,Lower Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.02303,54,2320,0.01692,0.02913
1985,Lower Secondary Level,Urban regions,Not Employed,0.60677,1160,2320,0.58689,0.62665
1985,Lower Secondary Level,Rural regions,Full-Time Employment,0.22280,211,722,0.19242,0.25317
1985,Lower Secondary Level,Rural regions,Regular Part-Time Employment,0.06855,51,722,0.05010,0.08699
1985,Lower Secondary Level,Rural regions,Vocational Training,0.05303,40,722,0.03668,0.06939
1985,Lower Secondary Level,Rural regions,Not Employed,0.63023,420,722,0.59499,0.66547
1985,Upper Secondary Level,Urban regions,Full-Time Employment,0.47296,2091,4042,0.45756,0.48835
1985,Upper Secondary Level,Urban regions,Regular Part-Time Employment,0.07248,306,4042,0.06449,0.08048
1985,Upper Secondary Level,Urban regions,Vocational Training,0.01087,57,4042,0.00767,0.01406
1985,Upper Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.02149,85,4042,0.01702,0.02596
1985,Upper Secondary Level,Urban regions,Not Employed,0.42221,1503,4042,0.40698,0.43743
1985,Upper Secondary Level,Rural regions,Full-Time Employment,0.49023,612,1104,0.46073,0.51973
1985,Upper Secondary Level,Rural regions,Regular Part-Time Employment,0.07161,86,1104,0.05639,0.08683
1985,Upper Secondary Level,Rural regions,Not Employed,0.40856,406,1104,0.37955,0.43757
1985,Post-secondary Non-tertiary Level,Urban regions,Full-Time Employment,0.54410,136,208,0.47625,0.61195
1985,Post-secondary Non-tertiary Level,Urban regions,Not Employed,0.36277,72,208,0.29727,0.42827
1985,First Stage of Tertiary Education,Urban regions,Full-Time Employment,0.54443,274,470,0.49935,0.58950
1985,First Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.07928,44,470,0.05483,0.10373
1985,First Stage of Tertiary Education,Urban regions,Not Employed,0.35024,152,470,0.30707,0.39342
1985,First Stage of Tertiary Education,Rural regions,Full-Time Employment,0.54371,80,120,0.45422,0.63320
1985,First Stage of Tertiary Education,Rural regions,Not Employed,0.34148,40,120,0.25628,0.42668
1985,Second Stage of Tertiary Education,Urban regions,Full-Time Employment,0.67544,440,614,0.63838,0.71251
1985,Second Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.06489,42,614,0.04539,0.08439
1985,Second Stage of Tertiary Education,Urban regions,Not Employed,0.23033,132,614,0.19700,0.26366
1985,Second Stage of Tertiary Education,Rural regions,Full-Time Employment,0.58723,78,110,0.49480,0.67965
1985,Second Stage of Tertiary Education,Rural regions,Not Employed,0.32669,32,110,0.23864,0.41473
1986,No answer / don't know,Urban regions,Full-Time Employment,0.30236,40,74,0.19700,0.40772
1986,No answer / don't know,Urban regions,Not Employed,0.38988,34,74,0.27800,0.50177
1986,Pre-primary Level,Urban regions,Not Employed,0.97237,161,161,0.94697,0.99777
1986,Primary Level,Urban regions,Full-Time Employment,0.44913,336,635,0.41041,0.48784
1986,Primary Level,Urban regions,Not Employed,0.47607,299,635,0.43720,0.51495
1986,Primary Level,Rural regions,Full-Time Employment,0.30368,48,98,0.21216,0.39519
1986,Primary Level,Rural regions,Not Employed,0.58669,50,98,0.48869,0.68469
1986,Lower Secondary Level,Urban regions,Full-Time Employment,0.23486,757,2206,0.21717,0.25256
1986,Lower Secondary Level,Urban regions,Regular Part-Time Employment,0.06020,134,2206,0.05027,0.07013
1986,Lower Secondary Level,Urban regions,Vocational Training,0.06789,167,2206,0.05739,0.07840
1986,Lower Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.02579,55,2206,0.01917,0.03241
1986,Lower Secondary Level,Urban regions,Not Employed,0.61125,1093,2206,0.59090,0.63160
1986,Lower Secondary Level,Rural regions,Full-Time Employment,0.22751,201,684,0.19607,0.25895
1986,Lower Secondary Level,Rural regions,Regular Part-Time Employment,0.06342,44,684,0.04514,0.08169
1986,Lower Secondary Level,Rural regions,Vocational Training,0.08098,62,684,0.06052,0.10144
1986,Lower Secondary Level,Rural regions,Not Employed,0.60149,377,684,0.56477,0.63821
1986,Upper Secondary Level,Urban regions,Full-Time Employment,0.47532,2056,3904,0.45965,0.49099
1986,Upper Secondary Level,Urban regions,Regular Part-Time Employment,0.05967,239,3904,0.05224,0.06710
1986,Upper Secondary Level,Urban regions,Vocational Training,0.01527,67,3904,0.01142,0.01912
1986,Upper Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.02405,96,3904,0.01924,0.02885
1986,Upper Secondary Level,Urban regions,Not Employed,0.42569,1446,3904,0.41018,0.44121
1986,Upper Secondary Level,Rural regions,Full-Time Employment,0.48883,573,1030,0.45829,0.51937
1986,Upper Secondary Level,Rural regions,Regular Part-Time Employment,0.05588,68,1030,0.04185,0.06992
1986,Upper Secondary Level,Rural regions,Not Employed,0.40698,389,1030,0.37696,0.43699
1986,Post-secondary Non-tertiary Level,Urban regions,Full-Time Employment,0.57944,140,207,0.51203,0.64685
1986,Post-secondary Non-tertiary Level,Urban regions,Not Employed,0.33142,67,207,0.26714,0.39571
1986,First Stage of Tertiary Education,Urban regions,Full-Time Employment,0.53402,254,440,0.48736,0.58069
1986,First Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.06533,35,440,0.04222,0.08845
1986,First Stage of Tertiary Education,Urban regions,Not Employed,0.36931,151,440,0.32416,0.41445
1986,First Stage of Tertiary Education,Rural regions,Full-Time Employment,0.56188,79,115,0.47080,0.65295
1986,First Stage of Tertiary Education,Rural regions,Not Employed,0.36758,36,115,0.27908,0.45609
1986,Second Stage of Tertiary Education,Urban regions,Full-Time Employment,0.64106,404,604,0.60277,0.67934
1986,Second Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.09499,65,604,0.07158,0.11839
1986,Second Stage of Tertiary Education,Urban regions,Not Employed,0.23835,135,604,0.20435,0.27236
1986,Second Stage of Tertiary Education,Rural regions,Full-Time Employment,0.58417,80,80,0.47549,0.69286
1987,No answer / don't know,Urban regions,Full-Time Employment,0.24146,40,77,0.14524,0.33767
1987,No answer / don't know,Urban regions,Not Employed,0.37482,37,77,0.26598,0.48365
1987,Pre-primary Level,Urban regions,Not Employed,0.94603,158,158,0.91069,0.98138
1987,Primary Level,Urban regions,Full-Time Employment,0.43237,308,605,0.39286,0.47188
1987,Primary Level,Urban regions,Not Employed,0.50134,297,605,0.46147,0.54122
1987,Primary Level,Rural regions,Full-Time Employment,0.36545,47,89,0.26483,0.46606
1987,Primary Level,Rural regions,Not Employed,0.48008,42,89,0.37569,0.58446
1987,Lower Secondary Level,Urban regions,Full-Time Employment,0.24101,726,2165,0.22299,0.25903
1987,Lower Secondary Level,Urban regions,Regular Part-Time Employment,0.07029,140,2165,0.05952,0.08106
1987,Lower Secondary Level,Urban regions,Vocational Training,0.07840,205,2165,0.06707,0.08972
1987,Lower Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.02361,44,2165,0.01721,0.03000
1987,Lower Secondary Level,Urban regions,Not Employed,0.58669,1050,2165,0.56595,0.60744
1987,Lower Secondary Level,Rural regions,Full-Time Employment,0.21537,183,657,0.18391,0.24682
1987,Lower Secondary Level,Rural regions,Regular Part-Time Employment,0.08449,53,657,0.06321,0.10577
1987,Lower Secondary Level,Rural regions,Vocational Training,0.07744,65,657,0.05698,0.09789
1987,Lower Secondary Level,Rural regions,Not Employed,0.60324,356,657,0.56580,0.64068
1987,Upper Secondary Level,Urban regions,Full-Time Employment,0.47707,2039,3863,0.46132,0.49282
1987,Upper Secondary Level,Urban regions,Regular Part-Time Employment,0.06224,248,3863,0.05462,0.06986
1987,Upper Secondary Level,Urban regions,Vocational Training,0.01804,84,3863,0.01384,0.02224
1987,Upper Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.01794,74,3863,0.01376,0.02213
1987,Upper Secondary Level,Urban regions,Not Employed,0.42471,1418,3863,0.40912,0.44029
1987,Upper Secondary Level,Rural regions,Full-Time Employment,0.49622,594,1084,0.46645,0.52600
1987,Upper Secondary Level,Rural regions,Regular Part-Time Employment,0.07973,93,1084,0.06360,0.09586
1987,Upper Secondary Level,Rural regions,Vocational Training,0.02591,35,1084,0.01645,0.03538
1987,Upper Secondary Level,Rural regions,Not Employed,0.38010,362,1084,0.35119,0.40901
1987,Post-secondary Non-tertiary Level,Urban regions,Full-Time Employment,0.52416,138,208,0.45612,0.59219
1987,Post-secondary Non-tertiary Level,Urban regions,Not Employed,0.34367,70,208,0.27897,0.40837
1987,First Stage of Tertiary Education,Urban regions,Full-Time Employment,0.53019,244,436,0.48328,0.57709
1987,First Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.07506,40,436,0.05030,0.09983
1987,First Stage of Tertiary Education,Urban regions,Not Employed,0.36731,152,436,0.32201,0.41261
1987,First Stage of Tertiary Education,Rural regions,Full-Time Employment,0.54032,73,109,0.44632,0.63431
1987,First Stage of Tertiary Education,Rural regions,Not Employed,0.37520,36,109,0.28389,0.46652
1987,Second Stage of Tertiary Education,Urban regions,Full-Time Employment,0.66011,428,599,0.62215,0.69808
1987,Second Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.05951,39,599,0.04055,0.07848
1987,Second Stage of Tertiary Education,Urban regions,Not Employed,0.24983,132,599,0.21514,0.28453
1987,Second Stage of Tertiary Education,Rural regions,Full-Time Employment,0.61388,83,83,0.50850,0.71926
1988,No answer / don't know,Urban regions,Full-Time Employment,0.30867,46,93,0.21427,0.40306
1988,No answer / don't know,Urban regions,Not Employed,0.35425,47,93,0.25651,0.45198
1988,Pre-primary Level,Urban regions,Not Employed,0.95194,127,127,0.91460,0.98929
1988,Primary Level,Urban regions,Full-Time Employment,0.40371,272,586,0.36395,0.44347
1988,Primary Level,Urban regions,Regular Part-Time Employment,0.04473,32,586,0.02798,0.06148
1988,Primary Level,Urban regions,Not Employed,0.52650,282,586,0.48604,0.56696
1988,Primary Level,Rural regions,Full-Time Employment,0.29058,40,85,0.19348,0.38768
1988,Primary Level,Rural regions,Not Employed,0.60701,45,85,0.50256,0.71146
1988,Lower Secondary Level,Urban regions,Full-Time Employment,0.22959,688,2107,0.21162,0.24755
1988,Lower Secondary Level,Urban regions,Regular Part-Time Employment,0.07674,149,2107,0.06537,0.08810
1988,Lower Secondary Level,Urban regions,Vocational Training,0.07854,211,2107,0.06705,0.09003
1988,Lower Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.02277,50,2107,0.01640,0.02915
1988,Lower Secondary Level,Urban regions,Not Employed,0.59236,1009,2107,0.57137,0.61335
1988,Lower Secondary Level,Rural regions,Full-Time Employment,0.23651,182,599,0.20246,0.27057
1988,Lower Secondary Level,Rural regions,Regular Part-Time Employment,0.07091,44,599,0.05034,0.09148
1988,Lower Secondary Level,Rural regions,Vocational Training,0.08141,60,599,0.05949,0.10333
1988,Lower Secondary Level,Rural regions,Not Employed,0.59082,313,599,0.55142,0.63023
1988,Upper Secondary Level,Urban regions,Full-Time Employment,0.47655,1922,3695,0.46044,0.49265
1988,Upper Secondary Level,Urban regions,Regular Part-Time Employment,0.06880,260,3695,0.06064,0.07696
1988,Upper Secondary Level,Urban regions,Vocational Training,0.01602,79,3695,0.01197,0.02007
1988,Upper Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.01683,62,3695,0.01268,0.02098
1988,Upper Secondary Level,Urban regions,Not Employed,0.42181,1372,3695,0.40589,0.43774
1988,Upper Secondary Level,Rural regions,Full-Time Employment,0.46696,538,1025,0.43640,0.49752
1988,Upper Secondary Level,Rural regions,Regular Part-Time Employment,0.07386,81,1025,0.05784,0.08988
1988,Upper Secondary Level,Rural regions,Vocational Training,0.02506,33,1025,0.01548,0.03463
1988,Upper Secondary Level,Rural regions,Not Employed,0.41266,373,1025,0.38250,0.44281
1988,Post-secondary Non-tertiary Level,Urban regions,Full-Time Employment,0.53766,133,205,0.46924,0.60608
1988,Post-secondary Non-tertiary Level,Urban regions,Not Employed,0.34614,72,205,0.28085,0.41142
1988,First Stage of Tertiary Education,Urban regions,Full-Time Employment,0.55441,242,412,0.50635,0.60246
1988,First Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.06463,34,412,0.04086,0.08840
1988,First Stage of Tertiary Education,Urban regions,Not Employed,0.35400,136,412,0.30776,0.40023
1988,First Stage of Tertiary Education,Rural regions,Full-Time Employment,0.57745,73,106,0.48296,0.67193
1988,First Stage of Tertiary Education,Rural regions,Not Employed,0.34789,33,106,0.25679,0.43900
1988,Second Stage of Tertiary Education,Urban regions,Full-Time Employment,0.68260,411,574,0.64449,0.72072
1988,Second Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.06112,41,574,0.04150,0.08073
1988,Second Stage of Tertiary Education,Urban regions,Not Employed,0.23090,122,574,0.19639,0.26540
1988,Second Stage of Tertiary Education,Rural regions,Full-Time Employment,0.62184,76,76,0.51209,0.73159
1989,No answer / don't know,Urban regions,Full-Time Employment,0.27554,46,94,0.18474,0.36635
1989,No answer / don't know,Urban regions,Not Employed,0.48467,48,94,0.38309,0.58624
1989,Pre-primary Level,Urban regions,Not Employed,0.94228,137,137,0.90309,0.98148
1989,Primary Level,Urban regions,Full-Time Employment,0.39513,247,526,0.35331,0.43695
1989,Primary Level,Urban regions,Not Employed,0.52750,279,526,0.48479,0.57020
1989,Primary Level,Rural regions,Full-Time Employment,0.38739,44,77,0.27786,0.49691
1989,Primary Level,Rural regions,Not Employed,0.46682,33,77,0.35466,0.57899
1989,Lower Secondary Level,Urban regions,Full-Time Employment,0.24037,699,2007,0.22167,0.25907
1989,Lower Secondary Level,Urban regions,Regular Part-Time Employment,0.06906,135,2007,0.05796,0.08015
1989,Lower Secondary Level,Urban regions,Vocational Training,0.08745,202,2007,0.07508,0.09981
1989,Lower Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.02158,42,2007,0.01522,0.02794
1989,Lower Secondary Level,Urban regions,Not Employed,0.58154,929,2007,0.55996,0.60313
1989,Lower Secondary Level,Rural regions,Full-Time Employment,0.21560,164,553,0.18130,0.24991
1989,Lower Secondary Level,Rural regions,Regular Part-Time Employment,0.09701,49,553,0.07232,0.12170
1989,Lower Secondary Level,Rural regions,Vocational Training,0.06540,47,553,0.04478,0.08603
1989,Lower Secondary Level,Rural regions,Not Employed,0.60650,293,553,0.56574,0.64725
1989,Upper Secondary Level,Urban regions,Full-Time Employment,0.48633,1914,3617,0.47004,0.50262
1989,Upper Secondary Level,Urban regions,Regular Part-Time Employment,0.07169,262,3617,0.06328,0.08010
1989,Upper Secondary Level,Urban regions,Vocational Training,0.01223,57,3617,0.00865,0.01581
1989,Upper Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.01970,73,3617,0.01517,0.02423
1989,Upper Secondary Level,Urban regions,Not Employed,0.41005,1311,3617,0.39402,0.42608
1989,Upper Secondary Level,Rural regions,Full-Time Employment,0.49358,543,961,0.46195,0.52520
1989,Upper Secondary Level,Rural regions,Regular Part-Time Employment,0.07262,79,961,0.05621,0.08904
1989,Upper Secondary Level,Rural regions,Not Employed,0.39865,339,961,0.36768,0.42963
1989,Post-secondary Non-tertiary Level,Urban regions,Full-Time Employment,0.55475,146,225,0.48967,0.61984
1989,Post-secondary Non-tertiary Level,Urban regions,Not Employed,0.34343,79,225,0.28125,0.40562
1989,First Stage of Tertiary Education,Urban regions,Full-Time Employment,0.55434,234,393,0.50514,0.60354
1989,First Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.07383,33,393,0.04794,0.09972
1989,First Stage of Tertiary Education,Urban regions,Not Employed,0.34689,126,393,0.29977,0.39401
1989,First Stage of Tertiary Education,Rural regions,Full-Time Employment,0.57637,70,103,0.48047,0.67226
1989,First Stage of Tertiary Education,Rural regions,Not Employed,0.36673,33,103,0.27321,0.46026
1989,Second Stage of Tertiary Education,Urban regions,Full-Time Employment,0.67081,414,568,0.63213,0.70949
1989,Second Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.05565,38,568,0.03678,0.07452
1989,Second Stage of Tertiary Education,Urban regions,Not Employed,0.23264,116,568,0.19786,0.26741
1989,Second Stage of Tertiary Education,Rural regions,Full-Time Employment,0.58344,67,67,0.46450,0.70238
1990,No answer / don't know,Urban regions,Full-Time Employment,0.38100,55,110,0.28983,0.47217
1990,No answer / don't know,Urban regions,Not Employed,0.41592,55,110,0.32339,0.50845
1990,Pre-primary Level,Urban regions,Not Employed,0.96241,135,135,0.93020,0.99461
1990,Pre-primary Level,Rural regions,Not Employed,0.89273,51,51,0.80695,0.97850
1990,Primary Level,Urban regions,Full-Time Employment,0.43769,249,540,0.39581,0.47957
1990,Primary Level,Urban regions,Regular Part-Time Employment,0.03984,31,540,0.02332,0.05635
1990,Primary Level,Urban regions,Not Employed,0.48900,260,540,0.44680,0.53120
1990,Primary Level,Rural regions,Full-Time Employment,0.39952,43,81,0.29218,0.50685
1990,Primary Level,Rural regions,Not Employed,0.49913,38,81,0.38957,0.60870
1990,Lower Secondary Level,Urban regions,Full-Time Employment,0.24756,721,2048,0.22887,0.26626
1990,Lower Secondary Level,Urban regions,Regular Part-Time Employment,0.06753,144,2048,0.05666,0.07840
1990,Lower Secondary Level,Urban regions,Vocational Training,0.08837,211,2048,0.07608,0.10067
1990,Lower Secondary Level,Urban regions,Not Employed,0.58141,972,2048,0.56003,0.60278
1990,Lower Secondary Level,Rural regions,Full-Time Employment,0.20400,232,884,0.17742,0.23058
1990,Lower Secondary Level,Rural regions,Regular Part-Time Employment,0.09095,77,884,0.07198,0.10991
1990,Lower Secondary Level,Rural regions,Vocational Training,0.09373,126,884,0.07451,0.11296
1990,Lower Secondary Level,Rural regions,Not Employed,0.59046,449,884,0.55802,0.62289
1990,Upper Secondary Level,No answer / don't know,Full-Time Employment,0.71890,41,41,0.57959,0.85822
1990,Upper Secondary Level,Urban regions,Full-Time Employment,0.49973,2365,4308,0.48480,0.51466
1990,Upper Secondary Level,Urban regions,Regular Part-Time Employment,0.08177,367,4308,0.07359,0.08995
1990,Upper Secondary Level,Urban regions,Vocational Training,0.01615,73,4308,0.01239,0.01992
1990,Upper Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.01599,68,4308,0.01224,0.01973
1990,Upper Secondary Level,Urban regions,Not Employed,0.38636,1435,4308,0.37182,0.40091
1990,Upper Secondary Level,Rural regions,Full-Time Employment,0.55202,1687,2657,0.53311,0.57093
1990,Upper Secondary Level,Rural regions,Regular Part-Time Employment,0.09645,289,2657,0.08523,0.10768
1990,Upper Secondary Level,Rural regions,Not Employed,0.33131,681,2657,0.31341,0.34921
1990,Post-secondary Non-tertiary Level,Urban regions,Full-Time Employment,0.52920,158,255,0.46781,0.59058
1990,Post-secondary Non-tertiary Level,Urban regions,Not Employed,0.34405,97,255,0.28563,0.40248
1990,Post-secondary Non-tertiary Level,Rural regions,Full-Time Employment,0.54091,49,49,0.39993,0.68189
1990,First Stage of Tertiary Education,Urban regions,Full-Time Employment,0.57194,295,469,0.52711,0.61677
1990,First Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.06773,35,469,0.04497,0.09050
1990,First Stage of Tertiary Education,Urban regions,Not Employed,0.34478,139,469,0.30171,0.38784
1990,First Stage of Tertiary Education,Rural regions,Full-Time Employment,0.63177,211,271,0.57424,0.68930
1990,First Stage of Tertiary Education,Rural regions,Not Employed,0.30639,60,271,0.25140,0.36137
1990,Second Stage of Tertiary Education,Urban regions,Full-Time Employment,0.68391,718,974,0.65470,0.71313
1990,Second Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.08820,82,974,0.07038,0.10602
1990,Second Stage of Tertiary Education,Urban regions,Not Employed,0.21291,174,974,0.18719,0.23863
1990,Second Stage of Tertiary Education,Rural regions,Full-Time Employment,0.72345,524,682,0.68986,0.75705
1990,Second Stage of Tertiary Education,Rural regions,Regular Part-Time Employment,0.06257,43,682,0.04438,0.08076
1990,Second Stage of Tertiary Education,Rural regions,Not Employed,0.20340,115,682,0.17317,0.23364
1991,No answer / don't know,Urban regions,Full-Time Employment,0.32325,59,113,0.23663,0.40988
1991,No answer / don't know,Urban regions,Not Employed,0.44205,54,113,0.35007,0.53403
1991,Pre-primary Level,Urban regions,Not Employed,0.91991,113,113,0.86965,0.97018
1991,Primary Level,Urban regions,Full-Time Employment,0.45082,245,534,0.40858,0.49306
1991,Primary Level,Urban regions,Regular Part-Time Employment,0.05519,37,534,0.03580,0.07458
1991,Primary Level,Urban regions,Not Employed,0.47400,252,534,0.43161,0.51639
1991,Primary Level,Rural regions,Full-Time Employment,0.33798,44,102,0.24573,0.43023
1991,Primary Level,Rural regions,Not Employed,0.57598,58,102,0.47960,0.67236
1991,Lower Secondary Level,Urban regions,Full-Time Employment,0.24863,701,1991,0.22964,0.26762
1991,Lower Secondary Level,Urban regions,Regular Part-Time Employment,0.06954,133,1991,0.05837,0.08072
1991,Lower Secondary Level,Urban regions,Vocational Training,0.08336,205,1991,0.07122,0.09551
1991,Lower Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.02079,43,1991,0.01452,0.02706
1991,Lower Secondary Level,Urban regions,Not Employed,0.57767,909,1991,0.55597,0.59937
1991,Lower Secondary Level,Rural regions,Full-Time Employment,0.19395,203,846,0.16729,0.22061
1991,Lower Secondary Level,Rural regions,Regular Part-Time Employment,0.08221,62,846,0.06369,0.10073
1991,Lower Secondary Level,Rural regions,Vocational Training,0.08353,103,846,0.06487,0.10219
1991,Lower Secondary Level,Rural regions,Not Employed,0.62595,478,846,0.59333,0.65858
1991,Upper Secondary Level,No answer / don't know,Full-Time Employment,0.66409,39,39,0.51392,0.81426
1991,Upper Secondary Level,Urban regions,Full-Time Employment,0.48725,2250,4229,0.47219,0.50232
1991,Upper Secondary Level,Urban regions,Regular Part-Time Employment,0.07803,347,4229,0.06994,0.08611
1991,Upper Secondary Level,Urban regions,Vocational Training,0.01624,77,4229,0.01243,0.02005
1991,Upper Secondary Level,Urban regions,"Marginal, Irregular Part-Time Employment",0.02144,84,4229,0.01707,0.02581
1991,Upper Secondary Level,Urban regions,Not Employed,0.39704,1471,4229,0.38229,0.41179
1991,Upper Secondary Level,Rural regions,Full-Time Employment,0.51352,1511,2626,0.49439,0.53264
1991,Upper Secondary Level,Rural regions,Regular Part-Time Employment,0.07533,203,2626,0.06524,0.08543
1991,Upper Secondary Level,Rural regions,Vocational Training,0.01761,50,2626,0.01258,0.02264
1991,Upper Secondary Level,Rural regions,"Marginal, Irregular Part-Time Employment",0.02026,37,2626,0.01487,0.02565
1991,Upper Secondary Level,Rural regions,Not Employed,0.37328,825,2626,0.35478,0.39179
1991,Post-secondary Non-tertiary Level,Urban regions,Full-Time Employment,0.55980,174,260,0.49934,0.62026
1991,Post-secondary Non-tertiary Level,Urban regions,Not Employed,0.30773,86,260,0.25152,0.36394
1991,Post-secondary Non-tertiary Level,Rural regions,Full-Time Employment,0.56592,50,50,0.42714,0.70470
1991,First Stage of Tertiary Education,Urban regions,Full-Time Employment,0.57252,284,456,0.52706,0.61797
1991,First Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.07423,40,456,0.05015,0.09832
1991,First Stage of Tertiary Education,Urban regions,Not Employed,0.33135,132,456,0.28810,0.37460
1991,First Stage of Tertiary Education,Rural regions,Full-Time Employment,0.60804,198,266,0.54926,0.66682
1991,First Stage of Tertiary Education,Rural regions,Not Employed,0.30765,68,266,0.25208,0.36322
1991,Second Stage of Tertiary Education,Urban regions,Full-Time Employment,0.65921,696,958,0.62918,0.68924
1991,Second Stage of Tertiary Education,Urban regions,Regular Part-Time Employment,0.09236,79,958,0.07402,0.11071
1991,Second Stage of Tertiary Education,Urban regions,Not Employed,0.22018,183,958,0.19393,0.24643
1991,Second Stage of Tertiary Education,Rural regions,Full-Time Employment,0.63859,469,671,0.60221,0.67496
1991,Second Stage of Tertiary Education,Rural regions,Regular Part-Time Employment,0.04848,32,671,0.03222,0.06475
1991,Second Stage of Tertiary Education,Rural regions,Not Employed,0.30268,170,671,0.26789,0.33747
1992,No answer / don't know,Urban regions,Full-Time Employment,0.34626,59,119,0.26041,0.43211
1992,No answer / don't know,Urban regions,Not Employed,0.45207,60,119,0.36227,0.54187
1992,Pre-primary Level,Urban regions,Not Employed,0.95135,125,125,0.91349,0.98922
1992,Pre-primary Level,Rural regions,Not Employed,0.75442,44,44,0.62577,0.88307
