year,migback,pgisced97,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Direct migration background,Lower Secondary Level,Regular Part-Time Employment,0.03854,36,900,0.02595,0.05112
1986,Direct migration background,Lower Secondary Level,Vocational Training,0.03623,48,900,0.02401,0.04844
1986,Direct migration background,Lower Secondary Level,Not Employed,0.46907,317,900,0.43645,0.50169
1986,Direct migration background,Upper Secondary Level,Full-Time Employment,0.54697,565,838,0.51325,0.58070
1986,Direct migration background,Upper Secondary Level,Regular Part-Time Employment,0.07504,42,838,0.05719,0.09289
1986,Direct migration background,Upper Secondary Level,Not Employed,0.33262,231,838,0.30070,0.36454
1986,Direct migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.59010,71,71,0.47488,0.70531
1986,Direct migration background,Second Stage of Tertiary Education,Full-Time Employment,0.50270,65,65,0.38021,0.62520
1987,No migration background,Pre-primary Level,Not Employed,0.94226,143,143,0.90390,0.98063
1987,No migration background,Primary Level,Not Employed,0.57251,43,43,0.42289,0.72213
1987,No migration background,Lower Secondary Level,Full-Time Employment,0.20761,410,1836,0.18906,0.22617
1987,No migration background,Lower Secondary Level,Regular Part-Time Employment,0.07572,147,1836,0.06361,0.08782
1987,No migration background,Lower Secondary Level,Vocational Training,0.08162,199,1836,0.06910,0.09415
1987,No migration background,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02393,46,1836,0.01694,0.03092
1987,No migration background,Lower Secondary Level,Not Employed,0.61111,1034,1836,0.58881,0.63342
1987,No migration background,Upper Secondary Level,Full-Time Employment,0.47543,2024,4033,0.46002,0.49085
1987,No migration background,Upper Secondary Level,Regular Part-Time Employment,0.06604,296,4033,0.05837,0.07370
1987,No migration background,Upper Secondary Level,Vocational Training,0.01986,92,4033,0.01555,0.02416
1987,No migration background,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01803,81,4033,0.01392,0.02214
1987,No migration background,Upper Secondary Level,Not Employed,0.42024,1540,4033,0.40500,0.43548
1987,No migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.48563,89,149,0.40511,0.56615
1987,No migration background,Post-secondary Non-tertiary Level,Not Employed,0.37726,60,149,0.29917,0.45535
1987,No migration background,First Stage of Tertiary Education,Full-Time Employment,0.53661,283,492,0.49250,0.58072
1987,No migration background,First Stage of Tertiary Education,Regular Part-Time Employment,0.07556,44,492,0.05219,0.09894
1987,No migration background,First Stage of Tertiary Education,Not Employed,0.36089,165,492,0.31840,0.40337
1987,No migration background,Second Stage of Tertiary Education,Full-Time Employment,0.65760,441,620,0.62022,0.69498
1987,No migration background,Second Stage of Tertiary Education,Regular Part-Time Employment,0.06263,45,620,0.04354,0.08172
1987,No migration background,Second Stage of Tertiary Education,Not Employed,0.25389,134,620,0.21960,0.28818
1987,Direct migration background,Primary Level,Full-Time Employment,0.47949,329,620,0.44014,0.51885
1987,Direct migration background,Primary Level,Not Employed,0.45283,291,620,0.41362,0.49204
1987,Direct migration background,Lower Secondary Level,Full-Time Employment,0.42009,488,925,0.38826,0.45191
1987,Direct migration background,Lower Secondary Level,Regular Part-Time Employment,0.06417,44,925,0.04837,0.07997
1987,Direct migration background,Lower Secondary Level,Vocational Training,0.05100,58,925,0.03682,0.06519
1987,Direct migration background,Lower Secondary Level,Not Employed,0.45115,335,925,0.41906,0.48324
1987,Direct migration background,Upper Secondary Level,Full-Time Employment,0.56529,578,832,0.53158,0.59899
1987,Direct migration background,Upper Secondary Level,Regular Part-Time Employment,0.07045,41,832,0.05305,0.08785
1987,Direct migration background,Upper Secondary Level,Not Employed,0.33295,213,832,0.30091,0.36500
1987,Direct migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.56650,68,68,0.44784,0.68516
1987,Direct migration background,First Stage of Tertiary Education,Full-Time Employment,0.48070,31,31,0.30191,0.65949
1987,Direct migration background,Second Stage of Tertiary Education,Full-Time Employment,0.59627,68,68,0.47879,0.71376
1987,Indirect migration background,Lower Secondary Level,Not Employed,0.61692,37,37,0.45811,0.77572
1987,Indirect migration background,Upper Secondary Level,Full-Time Employment,0.35857,31,31,0.18696,0.53019
1988,No migration background,Pre-primary Level,Not Employed,0.94877,119,119,0.90899,0.98855
1988,No migration background,Primary Level,Not Employed,0.65104,41,41,0.50333,0.79875
1988,No migration background,Lower Secondary Level,Full-Time Employment,0.20680,382,1726,0.18769,0.22591
1988,No migration background,Lower Secondary Level,Regular Part-Time Employment,0.07649,147,1726,0.06395,0.08903
1988,No migration background,Lower Secondary Level,Vocational Training,0.08357,198,1726,0.07051,0.09663
1988,No migration background,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02184,38,1726,0.01494,0.02873
1988,No migration background,Lower Secondary Level,Not Employed,0.61009,961,1726,0.58707,0.63310
1988,No migration background,Upper Secondary Level,Full-Time Employment,0.47025,1895,3827,0.45443,0.48606
1988,No migration background,Upper Secondary Level,Regular Part-Time Employment,0.07004,294,3827,0.06196,0.07813
1988,No migration background,Upper Secondary Level,Vocational Training,0.01793,81,3827,0.01372,0.02213
1988,No migration background,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01787,74,3827,0.01367,0.02207
1988,No migration background,Upper Secondary Level,Not Employed,0.42391,1483,3827,0.40825,0.43957
1988,No migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.50088,90,149,0.42032,0.58143
1988,No migration background,Post-secondary Non-tertiary Level,Not Employed,0.37489,59,149,0.29689,0.45288
1988,No migration background,First Stage of Tertiary Education,Full-Time Employment,0.55797,279,467,0.51288,0.60307
1988,No migration background,First Stage of Tertiary Education,Regular Part-Time Employment,0.06565,36,467,0.04316,0.08814
1988,No migration background,First Stage of Tertiary Education,Not Employed,0.35124,152,467,0.30790,0.39458
1988,No migration background,Second Stage of Tertiary Education,Full-Time Employment,0.67794,428,597,0.64043,0.71545
1988,No migration background,Second Stage of Tertiary Education,Regular Part-Time Employment,0.06431,44,597,0.04462,0.08401
1988,No migration background,Second Stage of Tertiary Education,Not Employed,0.23518,125,597,0.20113,0.26923
1988,Direct migration background,Primary Level,Full-Time Employment,0.45412,288,603,0.41435,0.49390
1988,Direct migration background,Primary Level,Regular Part-Time Employment,0.05497,34,603,0.03676,0.07317
1988,Direct migration background,Primary Level,Not Employed,0.47905,281,603,0.43914,0.51896
1988,Direct migration background,Lower Secondary Level,Full-Time Employment,0.40878,469,890,0.37646,0.44110
1988,Direct migration background,Lower Secondary Level,Regular Part-Time Employment,0.06653,44,890,0.05015,0.08292
1988,Direct migration background,Lower Secondary Level,Vocational Training,0.04345,57,890,0.03005,0.05685
1988,Direct migration background,Lower Secondary Level,Not Employed,0.45787,320,890,0.42511,0.49062
1988,Direct migration background,Upper Secondary Level,Full-Time Employment,0.53252,529,801,0.49794,0.56709
1988,Direct migration background,Upper Secondary Level,Regular Part-Time Employment,0.06167,40,801,0.04500,0.07834
1988,Direct migration background,Upper Secondary Level,Not Employed,0.37271,232,801,0.33920,0.40621
1988,Direct migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.56691,58,58,0.43827,0.69554
1988,Direct migration background,First Stage of Tertiary Education,Full-Time Employment,0.58189,33,33,0.41099,0.75280
1988,Direct migration background,Second Stage of Tertiary Education,Full-Time Employment,0.62547,58,58,0.49982,0.75112
1988,Indirect migration background,Lower Secondary Level,Not Employed,0.55912,41,41,0.40526,0.71299
1988,Indirect migration background,Upper Secondary Level,Full-Time Employment,0.35875,36,36,0.19984,0.51765
1989,No migration background,Pre-primary Level,Not Employed,0.95335,115,115,0.91464,0.99207
1989,No migration background,Primary Level,Not Employed,0.56670,36,36,0.40254,0.73087
1989,No migration background,Lower Secondary Level,Full-Time Employment,0.20647,366,1590,0.18657,0.22638
1989,No migration background,Lower Secondary Level,Regular Part-Time Employment,0.07967,137,1590,0.06636,0.09299
1989,No migration background,Lower Secondary Level,Vocational Training,0.08902,178,1590,0.07502,0.10302
1989,No migration background,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.01966,36,1590,0.01283,0.02648
1989,No migration background,Lower Secondary Level,Not Employed,0.60518,873,1590,0.58115,0.62922
1989,No migration background,Upper Secondary Level,Full-Time Employment,0.48479,1881,3707,0.46870,0.50088
1989,No migration background,Upper Secondary Level,Regular Part-Time Employment,0.07172,292,3707,0.06342,0.08003
1989,No migration background,Upper Secondary Level,Vocational Training,0.01378,63,3707,0.01003,0.01753
1989,No migration background,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01863,77,3707,0.01428,0.02299
1989,No migration background,Upper Secondary Level,Not Employed,0.41107,1394,3707,0.39523,0.42691
1989,No migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.51886,104,172,0.44397,0.59375
1989,No migration background,Post-secondary Non-tertiary Level,Not Employed,0.38028,68,172,0.30752,0.45304
1989,No migration background,First Stage of Tertiary Education,Full-Time Employment,0.55638,270,447,0.51027,0.60249
1989,No migration background,First Stage of Tertiary Education,Regular Part-Time Employment,0.07206,36,447,0.04806,0.09606
1989,No migration background,First Stage of Tertiary Education,Not Employed,0.34849,141,447,0.30426,0.39271
1989,No migration background,Second Stage of Tertiary Education,Full-Time Employment,0.66868,419,586,0.63053,0.70682
1989,No migration background,Second Stage of Tertiary Education,Regular Part-Time Employment,0.06385,43,586,0.04404,0.08366
1989,No migration background,Second Stage of Tertiary Education,Not Employed,0.23440,124,586,0.20007,0.26873
1989,Direct migration background,Primary Level,Full-Time Employment,0.45287,266,536,0.41069,0.49505
1989,Direct migration background,Primary Level,Not Employed,0.48741,270,536,0.44506,0.52977
1989,Direct migration background,Lower Secondary Level,Full-Time Employment,0.41458,473,858,0.38160,0.44756
1989,Direct migration background,Lower Secondary Level,Regular Part-Time Employment,0.05642,43,858,0.04097,0.07186
1989,Direct migration background,Lower Secondary Level,Vocational Training,0.02831,48,858,0.01721,0.03942
1989,Direct migration background,Lower Secondary Level,Not Employed,0.47680,294,858,0.44336,0.51024
1989,Direct migration background,Upper Secondary Level,Full-Time Employment,0.53683,536,805,0.50236,0.57130
1989,Direct migration background,Upper Secondary Level,Regular Part-Time Employment,0.06312,40,805,0.04631,0.07993
1989,Direct migration background,Upper Secondary Level,Not Employed,0.36949,229,805,0.33613,0.40286
1989,Direct migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.49737,54,85,0.39045,0.60430
1989,Direct migration background,Post-secondary Non-tertiary Level,Not Employed,0.40690,31,85,0.30185,0.51196
1989,Direct migration background,First Stage of Tertiary Education,Full-Time Employment,0.59661,31,31,0.42105,0.77216
1989,Direct migration background,Second Stage of Tertiary Education,Full-Time Employment,0.56807,61,61,0.44273,0.69341
1989,Indirect migration background,Lower Secondary Level,Not Employed,0.59732,55,55,0.46650,0.72813
1989,Indirect migration background,Upper Secondary Level,Full-Time Employment,0.33586,40,40,0.18763,0.48409
1990,No migration background,Pre-primary Level,Not Employed,0.93733,126,126,0.89484,0.97982
1990,No migration background,Primary Level,Not Employed,0.50717,36,36,0.34154,0.67280
1990,No migration background,Lower Secondary Level,Full-Time Employment,0.20231,436,1995,0.18468,0.21994
1990,No migration background,Lower Secondary Level,Regular Part-Time Employment,0.07544,165,1995,0.06385,0.08704
1990,No migration background,Lower Secondary Level,Vocational Training,0.09475,265,1995,0.08190,0.10761
1990,No migration background,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.01766,33,1995,0.01188,0.02344
1990,No migration background,Lower Secondary Level,Not Employed,0.60947,1096,1995,0.58806,0.63089
1990,No migration background,Upper Secondary Level,Full-Time Employment,0.51732,3501,6102,0.50478,0.52986
1990,No migration background,Upper Secondary Level,Regular Part-Time Employment,0.08632,599,6102,0.07928,0.09337
1990,No migration background,Upper Secondary Level,Vocational Training,0.01412,80,6102,0.01116,0.01708
1990,No migration background,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01466,81,6102,0.01164,0.01768
1990,No migration background,Upper Secondary Level,Not Employed,0.36758,1841,6102,0.35548,0.37968
1990,No migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.53856,150,232,0.47427,0.60284
1990,No migration background,Post-secondary Non-tertiary Level,Not Employed,0.33299,82,232,0.27222,0.39377
1990,No migration background,First Stage of Tertiary Education,Full-Time Employment,0.59307,472,695,0.55652,0.62962
1990,No migration background,First Stage of Tertiary Education,Regular Part-Time Employment,0.06490,45,695,0.04657,0.08323
1990,No migration background,First Stage of Tertiary Education,Not Employed,0.32697,178,695,0.29207,0.36187
1990,No migration background,Second Stage of Tertiary Education,Full-Time Employment,0.70428,1165,1546,0.68152,0.72704
1990,No migration background,Second Stage of Tertiary Education,Regular Part-Time Employment,0.07955,118,1546,0.06605,0.09304
1990,No migration background,Second Stage of Tertiary Education,Not Employed,0.20164,263,1546,0.18163,0.22165
1990,Direct migration background,Primary Level,Full-Time Employment,0.47053,259,541,0.42843,0.51263
1990,Direct migration background,Primary Level,Regular Part-Time Employment,0.04871,33,541,0.03055,0.06687
1990,Direct migration background,Primary Level,Not Employed,0.47030,249,541,0.42821,0.51240
1990,Direct migration background,Lower Secondary Level,Full-Time Employment,0.43440,485,863,0.40131,0.46749
1990,Direct migration background,Lower Secondary Level,Regular Part-Time Employment,0.07446,53,863,0.05693,0.09198
1990,Direct migration background,Lower Secondary Level,Vocational Training,0.04068,38,863,0.02749,0.05386
1990,Direct migration background,Lower Secondary Level,Not Employed,0.43775,287,863,0.40463,0.47087
1990,Direct migration background,Upper Secondary Level,Full-Time Employment,0.53418,547,853,0.50068,0.56768
1990,Direct migration background,Upper Secondary Level,Regular Part-Time Employment,0.07751,48,853,0.05955,0.09546
1990,Direct migration background,Upper Secondary Level,Not Employed,0.37201,258,853,0.33956,0.40447
1990,Direct migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.46704,54,91,0.36397,0.57012
1990,Direct migration background,Post-secondary Non-tertiary Level,Not Employed,0.44155,37,91,0.33896,0.54414
1990,Direct migration background,First Stage of Tertiary Education,Full-Time Employment,0.57432,35,35,0.40812,0.74052
1990,Direct migration background,Second Stage of Tertiary Education,Full-Time Employment,0.61891,91,91,0.51857,0.71925
1990,Indirect migration background,Pre-primary Level,Not Employed,0.98496,33,33,0.94278,1.02713
1990,Indirect migration background,Lower Secondary Level,Full-Time Employment,0.26060,33,113,0.17930,0.34190
1990,Indirect migration background,Lower Secondary Level,Vocational Training,0.30809,37,113,0.22258,0.39359
1990,Indirect migration background,Lower Secondary Level,Not Employed,0.41092,43,113,0.31980,0.50204
1990,Indirect migration background,Upper Secondary Level,Full-Time Employment,0.33219,45,45,0.19302,0.47136
1991,No migration background,Pre-primary Level,Not Employed,0.86929,89,89,0.79886,0.93972
1991,No migration background,Primary Level,Full-Time Employment,0.33289,32,96,0.23813,0.42766
1991,No migration background,Primary Level,Not Employed,0.59395,64,96,0.49520,0.69271
1991,No migration background,Lower Secondary Level,Full-Time Employment,0.19944,408,1874,0.18135,0.21754
1991,No migration background,Lower Secondary Level,Regular Part-Time Employment,0.07380,146,1874,0.06196,0.08564
1991,No migration background,Lower Secondary Level,Vocational Training,0.08360,217,1874,0.07107,0.09614
1991,No migration background,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.01901,37,1874,0.01282,0.02519
1991,No migration background,Lower Secondary Level,Not Employed,0.62376,1066,1874,0.60182,0.64570
1991,No migration background,Upper Secondary Level,Full-Time Employment,0.49369,3200,5922,0.48095,0.50642
1991,No migration background,Upper Secondary Level,Regular Part-Time Employment,0.07690,485,5922,0.07011,0.08369
1991,No migration background,Upper Secondary Level,Vocational Training,0.01702,105,5922,0.01372,0.02031
1991,No migration background,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02007,104,5922,0.01649,0.02364
1991,No migration background,Upper Secondary Level,Not Employed,0.39233,2028,5922,0.37989,0.40477
1991,No migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.56645,158,234,0.50282,0.63008
1991,No migration background,Post-secondary Non-tertiary Level,Not Employed,0.29308,76,234,0.23464,0.35153
1991,No migration background,First Stage of Tertiary Education,Full-Time Employment,0.58197,447,677,0.54479,0.61915
1991,No migration background,First Stage of Tertiary Education,Regular Part-Time Employment,0.07574,49,677,0.05580,0.09569
1991,No migration background,First Stage of Tertiary Education,Not Employed,0.32074,181,677,0.28556,0.35593
1991,No migration background,Second Stage of Tertiary Education,Full-Time Employment,0.65959,1096,1524,0.63579,0.68339
1991,No migration background,Second Stage of Tertiary Education,Regular Part-Time Employment,0.07964,102,1524,0.06604,0.09324
1991,No migration background,Second Stage of Tertiary Education,Not Employed,0.23759,326,1524,0.21621,0.25896
1991,Direct migration background,Primary Level,Full-Time Employment,0.48536,251,527,0.44265,0.52808
1991,Direct migration background,Primary Level,Regular Part-Time Employment,0.06798,40,527,0.04647,0.08949
1991,Direct migration background,Primary Level,Not Employed,0.43410,236,527,0.39174,0.47646
1991,Direct migration background,Lower Secondary Level,Full-Time Employment,0.41109,464,833,0.37766,0.44453
1991,Direct migration background,Lower Secondary Level,Regular Part-Time Employment,0.07167,44,833,0.05415,0.08920
1991,Direct migration background,Lower Secondary Level,Vocational Training,0.05221,43,833,0.03709,0.06732
1991,Direct migration background,Lower Secondary Level,Not Employed,0.44815,282,833,0.41436,0.48194
1991,Direct migration background,Upper Secondary Level,Full-Time Employment,0.54741,548,848,0.51389,0.58093
1991,Direct migration background,Upper Secondary Level,Regular Part-Time Employment,0.06783,53,848,0.05090,0.08476
1991,Direct migration background,Upper Secondary Level,Not Employed,0.34966,247,848,0.31755,0.38178
1991,Direct migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.51939,61,92,0.41673,0.62204
1991,Direct migration background,Post-secondary Non-tertiary Level,Not Employed,0.40638,31,92,0.30547,0.50730
1991,Direct migration background,First Stage of Tertiary Education,Full-Time Employment,0.62694,35,35,0.46438,0.78951
1991,Direct migration background,Second Stage of Tertiary Education,Full-Time Employment,0.58437,82,114,0.49351,0.67524
1991,Direct migration background,Second Stage of Tertiary Education,Not Employed,0.35939,32,114,0.27092,0.44786
1991,Indirect migration background,Lower Secondary Level,Full-Time Employment,0.25837,33,129,0.18253,0.33420
1991,Indirect migration background,Lower Secondary Level,Vocational Training,0.35734,50,129,0.27432,0.44036
1991,Indirect migration background,Lower Secondary Level,Not Employed,0.30374,46,129,0.22407,0.38341
1991,Indirect migration background,Upper Secondary Level,Full-Time Employment,0.35456,52,88,0.25403,0.45508
1991,Indirect migration background,Upper Secondary Level,Not Employed,0.33001,36,88,0.23120,0.42882
1992,No migration background,Pre-primary Level,Not Employed,0.88396,110,110,0.82383,0.94409
1992,No migration background,Primary Level,Not Employed,0.60371,50,50,0.46676,0.74067
1992,No migration background,Lower Secondary Level,Full-Time Employment,0.18973,374,1777,0.17149,0.20796
1992,No migration background,Lower Secondary Level,Regular Part-Time Employment,0.07215,131,1777,0.06012,0.08418
1992,No migration background,Lower Secondary Level,Vocational Training,0.07934,210,1777,0.06677,0.09192
1992,No migration background,Lower Secondary Level,Not Employed,0.64702,1062,1777,0.62479,0.66925
1992,No migration background,Upper Secondary Level,Full-Time Employment,0.47106,2953,5753,0.45816,0.48396
1992,No migration background,Upper Secondary Level,Regular Part-Time Employment,0.07599,453,5753,0.06914,0.08284
1992,No migration background,Upper Secondary Level,Vocational Training,0.01525,88,5753,0.01208,0.01842
1992,No migration background,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01325,79,5753,0.01030,0.01621
