year,migback,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01911,47,2825,0.01406,0.02416
1986,Direct migration background,Not Employed,0.37281,969,2825,0.35497,0.39064
1986,Indirect migration background,Full-Time Employment,0.05082,48,112,0.00996,0.09168
1986,Indirect migration background,Not Employed,0.05912,64,112,0.01524,0.10300
1987,No migration background,Full-Time Employment,0.35439,3283,7464,0.34354,0.36525
1987,No migration background,Regular Part-Time Employment,0.05788,552,7464,0.05258,0.06318
1987,No migration background,Vocational Training,0.03049,324,7464,0.02659,0.03439
1987,No migration background,"Marginal, Irregular Part-Time Employment",0.01797,167,7464,0.01496,0.02098
1987,No migration background,Not Employed,0.39095,3138,7464,0.37988,0.40202
1987,Direct migration background,Full-Time Employment,0.46655,1593,2812,0.44811,0.48500
1987,Direct migration background,Regular Part-Time Employment,0.05646,128,2812,0.04793,0.06500
1987,Direct migration background,Vocational Training,0.02175,84,2812,0.01636,0.02715
1987,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01610,43,2812,0.01145,0.02075
1987,Direct migration background,Not Employed,0.37044,964,2812,0.35259,0.38830
1987,Indirect migration background,Full-Time Employment,0.05182,53,136,0.01443,0.08922
1987,Indirect migration background,Not Employed,0.06664,83,136,0.02457,0.10871
1988,No migration background,Full-Time Employment,0.35645,3117,7081,0.34529,0.36760
1988,No migration background,Regular Part-Time Employment,0.05876,535,7081,0.05329,0.06424
1988,No migration background,Vocational Training,0.02895,307,7081,0.02504,0.03285
1988,No migration background,"Marginal, Irregular Part-Time Employment",0.01802,157,7081,0.01492,0.02112
1988,No migration background,Not Employed,0.38948,2965,7081,0.37812,0.40084
1988,Direct migration background,Full-Time Employment,0.45563,1463,2667,0.43673,0.47454
1988,Direct migration background,Regular Part-Time Employment,0.05460,134,2667,0.04598,0.06323
1988,Direct migration background,Vocational Training,0.02029,89,2667,0.01493,0.02564
1988,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01768,41,2667,0.01268,0.02269
1988,Direct migration background,Not Employed,0.38671,940,2667,0.36822,0.40519
1988,Indirect migration background,Full-Time Employment,0.05159,67,201,0.02093,0.08225
1988,Indirect migration background,Vocational Training,0.01591,33,201,-0.00143,0.03325
1988,Indirect migration background,Not Employed,0.07739,101,201,0.04035,0.11442
1989,No migration background,Full-Time Employment,0.36478,3084,6818,0.35335,0.37620
1989,No migration background,Regular Part-Time Employment,0.06088,529,6818,0.05520,0.06655
1989,No migration background,Vocational Training,0.02836,275,6818,0.02442,0.03230
1989,No migration background,"Marginal, Irregular Part-Time Employment",0.01707,151,6818,0.01400,0.02015
1989,No migration background,Not Employed,0.38244,2779,6818,0.37090,0.39398
1989,Direct migration background,Full-Time Employment,0.45843,1449,2588,0.43923,0.47763
1989,Direct migration background,Regular Part-Time Employment,0.05168,128,2588,0.04315,0.06021
1989,Direct migration background,Vocational Training,0.01239,64,2588,0.00813,0.01666
1989,Direct migration background,"Marginal, Irregular Part-Time Employment",0.02012,41,2588,0.01471,0.02553
1989,Direct migration background,Not Employed,0.40315,906,2588,0.38424,0.42205
1989,Indirect migration background,Full-Time Employment,0.04827,81,236,0.02086,0.07567
1989,Indirect migration background,Vocational Training,0.01773,35,236,0.00086,0.03461
1989,Indirect migration background,Not Employed,0.09422,120,236,0.05687,0.13158
1990,No migration background,Full-Time Employment,0.39134,5787,10917,0.38219,0.40050
1990,No migration background,Regular Part-Time Employment,0.06683,960,10917,0.06214,0.07151
1990,No migration background,Vocational Training,0.02534,371,10917,0.02240,0.02829
1990,No migration background,"Marginal, Irregular Part-Time Employment",0.01339,151,10917,0.01123,0.01555
1990,No migration background,Not Employed,0.33772,3648,10917,0.32885,0.34659
1990,Direct migration background,Full-Time Employment,0.47404,1500,2674,0.45511,0.49297
1990,Direct migration background,Regular Part-Time Employment,0.06580,152,2674,0.05640,0.07520
1990,Direct migration background,Vocational Training,0.01708,55,2674,0.01217,0.02199
1990,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01011,32,2674,0.00632,0.01391
1990,Direct migration background,Not Employed,0.38879,935,2674,0.37031,0.40727
1990,Indirect migration background,Full-Time Employment,0.05397,97,272,0.02706,0.08087
1990,Indirect migration background,Vocational Training,0.02309,47,272,0.00521,0.04097
1990,Indirect migration background,Not Employed,0.09054,128,272,0.05638,0.12471
1991,No migration background,Full-Time Employment,0.37928,5377,10615,0.37005,0.38851
1991,No migration background,Regular Part-Time Employment,0.06242,805,10615,0.05782,0.06703
1991,No migration background,Vocational Training,0.02568,376,10615,0.02267,0.02869
1991,No migration background,"Marginal, Irregular Part-Time Employment",0.01731,194,10615,0.01483,0.01980
1991,No migration background,Not Employed,0.35153,3863,10615,0.34244,0.36061
1991,Direct migration background,Full-Time Employment,0.48131,1471,2624,0.46219,0.50043
1991,Direct migration background,Regular Part-Time Employment,0.06063,155,2624,0.05150,0.06976
1991,Direct migration background,Vocational Training,0.02112,62,2624,0.01562,0.02663
1991,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01897,44,2624,0.01375,0.02419
1991,Direct migration background,Not Employed,0.38380,892,2624,0.36519,0.40241
1991,Indirect migration background,Full-Time Employment,0.06296,111,319,0.03626,0.08965
1991,Indirect migration background,Vocational Training,0.03776,73,319,0.01681,0.05872
1991,Indirect migration background,Not Employed,0.08041,135,319,0.05052,0.11029
1992,No migration background,Full-Time Employment,0.36564,5019,10359,0.35636,0.37491
1992,No migration background,Regular Part-Time Employment,0.06145,757,10359,0.05683,0.06608
1992,No migration background,Vocational Training,0.02300,346,10359,0.02011,0.02589
1992,No migration background,"Marginal, Irregular Part-Time Employment",0.01318,153,10359,0.01098,0.01537
1992,No migration background,Not Employed,0.37043,4084,10359,0.36113,0.37973
1992,Direct migration background,Full-Time Employment,0.46752,1363,2525,0.44805,0.48698
1992,Direct migration background,Regular Part-Time Employment,0.06539,160,2525,0.05575,0.07504
1992,Direct migration background,Vocational Training,0.02307,59,2525,0.01721,0.02893
1992,Direct migration background,Not Employed,0.41072,943,2525,0.39153,0.42992
1992,Indirect migration background,Full-Time Employment,0.06798,122,375,0.04247,0.09349
1992,Indirect migration background,Vocational Training,0.04889,81,375,0.02704,0.07075
1992,Indirect migration background,Not Employed,0.11271,172,375,0.08066,0.14476
1993,No migration background,Full-Time Employment,0.35805,4813,10158,0.34873,0.36737
1993,No migration background,Regular Part-Time Employment,0.06216,746,10158,0.05746,0.06686
1993,No migration background,Vocational Training,0.02427,354,10158,0.02128,0.02726
1993,No migration background,"Marginal, Irregular Part-Time Employment",0.01560,174,10158,0.01319,0.01801
1993,No migration background,Not Employed,0.37169,4071,10158,0.36229,0.38109
1993,Direct migration background,Full-Time Employment,0.47670,1295,2460,0.45695,0.49644
1993,Direct migration background,Regular Part-Time Employment,0.06086,156,2460,0.05141,0.07031
1993,Direct migration background,Vocational Training,0.01844,48,2460,0.01312,0.02376
1993,Direct migration background,Not Employed,0.42031,961,2460,0.40080,0.43982
1993,Indirect migration background,Full-Time Employment,0.08641,153,446,0.06030,0.11251
1993,Indirect migration background,Vocational Training,0.07402,110,446,0.04969,0.09834
1993,Indirect migration background,Not Employed,0.13233,183,446,0.10084,0.16381
1994,No migration background,Full-Time Employment,0.35114,4667,10026,0.34179,0.36048
1994,No migration background,Regular Part-Time Employment,0.06001,726,10026,0.05536,0.06466
1994,No migration background,Vocational Training,0.02101,321,10026,0.01820,0.02381
1994,No migration background,"Marginal, Irregular Part-Time Employment",0.01669,194,10026,0.01418,0.01920
1994,No migration background,Not Employed,0.38129,4118,10026,0.37178,0.39079
1994,Direct migration background,Full-Time Employment,0.43399,1148,2358,0.41398,0.45400
1994,Direct migration background,Regular Part-Time Employment,0.05905,139,2358,0.04953,0.06857
1994,Direct migration background,Vocational Training,0.01561,39,2358,0.01060,0.02061
1994,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01817,32,2358,0.01278,0.02356
1994,Direct migration background,Not Employed,0.46164,1000,2358,0.44151,0.48177
1994,Indirect migration background,Full-Time Employment,0.09901,168,461,0.07172,0.12631
1994,Indirect migration background,Vocational Training,0.05969,94,461,0.03804,0.08134
1994,Indirect migration background,Not Employed,0.14535,199,461,0.11314,0.17756
1995,No migration background,Full-Time Employment,0.34931,4684,10000,0.33996,0.35865
1995,No migration background,Regular Part-Time Employment,0.06266,782,10000,0.05791,0.06742
1995,No migration background,Vocational Training,0.02072,320,10000,0.01793,0.02351
1995,No migration background,"Marginal, Irregular Part-Time Employment",0.01905,219,10000,0.01637,0.02173
1995,No migration background,Not Employed,0.37850,3995,10000,0.36899,0.38801
1995,Direct migration background,Full-Time Employment,0.38136,1271,2781,0.36331,0.39942
1995,Direct migration background,Regular Part-Time Employment,0.05802,171,2781,0.04933,0.06671
1995,Direct migration background,Vocational Training,0.01616,50,2781,0.01147,0.02085
1995,Direct migration background,"Marginal, Irregular Part-Time Employment",0.02108,52,2781,0.01574,0.02642
1995,Direct migration background,Not Employed,0.46414,1237,2781,0.44560,0.48268
1995,Indirect migration background,Full-Time Employment,0.09706,177,459,0.06995,0.12418
1995,Indirect migration background,Vocational Training,0.05448,84,459,0.03370,0.07527
1995,Indirect migration background,Not Employed,0.14139,198,459,0.10948,0.17330
1996,No migration background,Full-Time Employment,0.34483,4557,9907,0.33547,0.35419
1996,No migration background,Regular Part-Time Employment,0.06943,837,9907,0.06443,0.07444
1996,No migration background,Vocational Training,0.01903,306,9907,0.01634,0.02172
1996,No migration background,"Marginal, Irregular Part-Time Employment",0.01843,212,9907,0.01578,0.02108
1996,No migration background,Not Employed,0.38093,3995,9907,0.37137,0.39050
1996,Direct migration background,Full-Time Employment,0.36839,1140,2598,0.34983,0.38694
1996,Direct migration background,Regular Part-Time Employment,0.06760,194,2598,0.05794,0.07726
1996,Direct migration background,Vocational Training,0.01826,50,2598,0.01311,0.02341
1996,Direct migration background,"Marginal, Irregular Part-Time Employment",0.02116,43,2598,0.01562,0.02669
1996,Direct migration background,Not Employed,0.46846,1171,2598,0.44927,0.48765
1996,Indirect migration background,Full-Time Employment,0.10233,198,503,0.07582,0.12885
1996,Indirect migration background,Vocational Training,0.05183,78,503,0.03244,0.07122
1996,Indirect migration background,Not Employed,0.15514,227,503,0.12347,0.18681
1997,No migration background,Full-Time Employment,0.33930,4441,9791,0.32992,0.34868
1997,No migration background,Regular Part-Time Employment,0.06703,793,9791,0.06208,0.07198
1997,No migration background,Vocational Training,0.01737,292,9791,0.01478,0.01996
1997,No migration background,"Marginal, Irregular Part-Time Employment",0.01702,208,9791,0.01446,0.01958
1997,No migration background,Not Employed,0.39311,4057,9791,0.38344,0.40279
1997,Direct migration background,Full-Time Employment,0.37476,1078,2471,0.35567,0.39385
1997,Direct migration background,Regular Part-Time Employment,0.06722,160,2471,0.05735,0.07710
1997,Direct migration background,Vocational Training,0.01722,42,2471,0.01209,0.02235
1997,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01711,38,2471,0.01200,0.02222
1997,Direct migration background,Not Employed,0.47070,1153,2471,0.45102,0.49039
1997,Indirect migration background,Full-Time Employment,0.10990,204,553,0.08381,0.13600
1997,Indirect migration background,Regular Part-Time Employment,0.03678,39,553,0.02108,0.05248
1997,Indirect migration background,Vocational Training,0.06216,89,553,0.04202,0.08230
1997,Indirect migration background,Not Employed,0.15304,221,553,0.12301,0.18308
1998,No migration background,Full-Time Employment,0.33645,4972,11235,0.32771,0.34519
1998,No migration background,Regular Part-Time Employment,0.06878,918,11235,0.06410,0.07346
1998,No migration background,Vocational Training,0.01912,339,11235,0.01658,0.02165
1998,No migration background,"Marginal, Irregular Part-Time Employment",0.01793,262,11235,0.01547,0.02038
1998,No migration background,Not Employed,0.39481,4744,11235,0.38577,0.40384
1998,Direct migration background,Full-Time Employment,0.38491,1032,2397,0.36543,0.40439
1998,Direct migration background,Regular Part-Time Employment,0.06913,161,2397,0.05897,0.07929
1998,Direct migration background,Vocational Training,0.02141,50,2397,0.01562,0.02721
1998,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01222,32,2397,0.00782,0.01662
1998,Direct migration background,Not Employed,0.45666,1122,2397,0.43671,0.47660
1998,Indirect migration background,Full-Time Employment,0.12866,219,582,0.10144,0.15589
1998,Indirect migration background,Regular Part-Time Employment,0.02304,31,582,0.01084,0.03524
1998,Indirect migration background,Vocational Training,0.05595,89,582,0.03726,0.07464
1998,Indirect migration background,Not Employed,0.17774,243,582,0.14665,0.20882
1999,No migration background,Full-Time Employment,0.34200,4866,10854,0.33307,0.35092
1999,No migration background,Regular Part-Time Employment,0.06848,933,10854,0.06373,0.07324
1999,No migration background,Vocational Training,0.01962,323,10854,0.01701,0.02223
1999,No migration background,"Marginal, Irregular Part-Time Employment",0.02775,360,10854,0.02466,0.03084
1999,No migration background,Not Employed,0.38186,4372,10854,0.37272,0.39100
1999,Direct migration background,Full-Time Employment,0.38886,937,2202,0.36850,0.40923
1999,Direct migration background,Regular Part-Time Employment,0.06975,153,2202,0.05911,0.08040
1999,Direct migration background,Vocational Training,0.01721,38,2202,0.01177,0.02264
1999,Direct migration background,"Marginal, Irregular Part-Time Employment",0.03053,57,2202,0.02334,0.03771
1999,Direct migration background,Not Employed,0.44258,1017,2202,0.42183,0.46333
1999,Indirect migration background,Full-Time Employment,0.14333,240,553,0.11410,0.17256
1999,Indirect migration background,Vocational Training,0.05879,86,553,0.03917,0.07842
1999,Indirect migration background,Not Employed,0.16411,227,553,0.13321,0.19501
2000,No migration background,Full-Time Employment,0.34093,8391,19960,0.33435,0.34751
2000,No migration background,Regular Part-Time Employment,0.07555,1895,19960,0.07189,0.07922
2000,No migration background,Vocational Training,0.01870,544,19960,0.01682,0.02058
2000,No migration background,"Marginal, Irregular Part-Time Employment",0.02754,637,19960,0.02527,0.02981
2000,No migration background,Not Employed,0.38012,8493,19960,0.37338,0.38685
2000,Direct migration background,Full-Time Employment,0.37391,1357,3302,0.35741,0.39042
2000,Direct migration background,Regular Part-Time Employment,0.08427,286,3302,0.07480,0.09375
2000,Direct migration background,Vocational Training,0.01546,59,3302,0.01125,0.01967
2000,Direct migration background,"Marginal, Irregular Part-Time Employment",0.03081,96,3302,0.02491,0.03670
2000,Direct migration background,Not Employed,0.41316,1504,3302,0.39637,0.42996
2000,Indirect migration background,Full-Time Employment,0.14678,312,816,0.12249,0.17108
2000,Indirect migration background,Regular Part-Time Employment,0.02936,51,816,0.01777,0.04095
2000,Indirect migration background,Vocational Training,0.04525,93,816,0.03098,0.05952
2000,Indirect migration background,"Marginal, Irregular Part-Time Employment",0.01616,33,816,0.00750,0.02482
2000,Indirect migration background,Not Employed,0.16126,327,816,0.13601,0.18651
2001,No migration background,Full-Time Employment,0.33872,7557,18219,0.33185,0.34559
2001,No migration background,Regular Part-Time Employment,0.07705,1759,18219,0.07318,0.08093
2001,No migration background,Vocational Training,0.02013,516,18219,0.01809,0.02217
2001,No migration background,"Marginal, Irregular Part-Time Employment",0.02894,644,18219,0.02650,0.03137
2001,No migration background,Not Employed,0.38109,7743,18219,0.37404,0.38814
2001,Direct migration background,Full-Time Employment,0.36787,1202,2911,0.35035,0.38539
2001,Direct migration background,Regular Part-Time Employment,0.08425,259,2911,0.07415,0.09434
2001,Direct migration background,Vocational Training,0.02631,72,2911,0.02049,0.03212
2001,Direct migration background,"Marginal, Irregular Part-Time Employment",0.02674,79,2911,0.02088,0.03261
2001,Direct migration background,Not Employed,0.42948,1299,2911,0.41150,0.44747
2001,Indirect migration background,Full-Time Employment,0.15301,300,735,0.12696,0.17905
2001,Indirect migration background,Regular Part-Time Employment,0.02025,39,735,0.01006,0.03044
2001,Indirect migration background,Vocational Training,0.04443,91,735,0.02952,0.05933
2001,Indirect migration background,Not Employed,0.14645,305,735,0.12087,0.17203
2002,No migration background,Full-Time Employment,0.32561,8128,19438,0.31903,0.33220
2002,No migration background,Regular Part-Time Employment,0.07761,1988,19438,0.07385,0.08137
2002,No migration background,Vocational Training,0.02083,536,19438,0.01882,0.02283
2002,No migration background,"Marginal, Irregular Part-Time Employment",0.02947,705,19438,0.02709,0.03185
2002,No migration background,Not Employed,0.39367,8081,19438,0.38680,0.40054
2002,Direct migration background,Full-Time Employment,0.35936,1124,2791,0.34156,0.37717
2002,Direct migration background,Regular Part-Time Employment,0.08214,240,2791,0.07195,0.09233
2002,Direct migration background,Vocational Training,0.02607,61,2791,0.02016,0.03198
2002,Direct migration background,"Marginal, Irregular Part-Time Employment",0.03430,93,2791,0.02755,0.04106
2002,Direct migration background,Not Employed,0.44038,1273,2791,0.42195,0.45880
2002,Indirect migration background,Full-Time Employment,0.14204,300,737,0.11682,0.16726
2002,Indirect migration background,Regular Part-Time Employment,0.02978,55,737,0.01750,0.04206
2002,Indirect migration background,Vocational Training,0.04764,81,737,0.03225,0.06303
2002,Indirect migration background,Not Employed,0.14854,301,737,0.12285,0.17424
2003,No migration background,Full-Time Employment,0.31980,7567,18747,0.31313,0.32648
2003,No migration background,Regular Part-Time Employment,0.07864,1953,18747,0.07478,0.08249
2003,No migration background,Vocational Training,0.01840,487,18747,0.01647,0.02032
2003,No migration background,"Marginal, Irregular Part-Time Employment",0.03208,729,18747,0.02956,0.03461
2003,No migration background,Not Employed,0.39965,8011,18747,0.39264,0.40666
2003,Direct migration background,Full-Time Employment,0.34193,997,2614,0.32374,0.36012
2003,Direct migration background,Regular Part-Time Employment,0.09143,254,2614,0.08038,0.10248
2003,Direct migration background,Vocational Training,0.02079,47,2614,0.01532,0.02627
2003,Direct migration background,"Marginal, Irregular Part-Time Employment",0.03115,85,2614,0.02449,0.03781
2003,Direct migration background,Not Employed,0.46257,1231,2614,0.44345,0.48168
2003,Indirect migration background,Full-Time Employment,0.15095,293,773,0.12569,0.17620
2003,Indirect migration background,Regular Part-Time Employment,0.02871,62,773,0.01693,0.04049
2003,Indirect migration background,Vocational Training,0.04226,74,773,0.02807,0.05646
2003,Indirect migration background,"Marginal, Irregular Part-Time Employment",0.02330,41,773,0.01266,0.03394
2003,Indirect migration background,Not Employed,0.15572,303,773,0.13015,0.18130
2004,No migration background,Full-Time Employment,0.31703,7288,18258,0.31028,0.32378
2004,No migration background,Regular Part-Time Employment,0.07710,1887,18258,0.07323,0.08097
2004,No migration background,Vocational Training,0.01905,464,18258,0.01706,0.02103
2004,No migration background,"Marginal, Irregular Part-Time Employment",0.03576,791,18258,0.03306,0.03845
2004,No migration background,Not Employed,0.40252,7828,18258,0.39541,0.40963
2004,Direct migration background,Full-Time Employment,0.34607,952,2532,0.32754,0.36461
2004,Direct migration background,Regular Part-Time Employment,0.08764,231,2532,0.07662,0.09866
2004,Direct migration background,Vocational Training,0.01399,31,2532,0.00941,0.01856
2004,Direct migration background,"Marginal, Irregular Part-Time Employment",0.03351,92,2532,0.02650,0.04052
2004,Direct migration background,Not Employed,0.47650,1226,2532,0.45704,0.49595
2004,Indirect migration background,Full-Time Employment,0.13957,278,794,0.11545,0.16369
2004,Indirect migration background,Regular Part-Time Employment,0.03928,68,794,0.02576,0.05280
2004,Indirect migration background,Vocational Training,0.05687,85,794,0.04075,0.07299
2004,Indirect migration background,"Marginal, Irregular Part-Time Employment",0.01697,35,794,0.00798,0.02597
2004,Indirect migration background,Not Employed,0.17534,328,794,0.14887,0.20181
2005,No migration background,Full-Time Employment,0.31872,6849,17482,0.31182,0.32563
2005,No migration background,Regular Part-Time Employment,0.08010,1811,17482,0.07607,0.08412
2005,No migration background,Vocational Training,0.01946,417,17482,0.01741,0.02151
2005,No migration background,"Marginal, Irregular Part-Time Employment",0.03765,786,17482,0.03482,0.04047
2005,No migration background,Not Employed,0.39827,7619,17482,0.39102,0.40553
2005,Direct migration background,Full-Time Employment,0.33072,838,2337,0.31164,0.34980
2005,Direct migration background,Regular Part-Time Employment,0.09322,220,2337,0.08143,0.10501
2005,Direct migration background,"Marginal, Irregular Part-Time Employment",0.04917,125,2337,0.04041,0.05794
2005,Direct migration background,Not Employed,0.47420,1154,2337,0.45395,0.49445
2005,Indirect migration background,Full-Time Employment,0.16511,297,822,0.13971,0.19051
2005,Indirect migration background,Regular Part-Time Employment,0.03655,61,822,0.02371,0.04938
2005,Indirect migration background,Vocational Training,0.04449,71,822,0.03039,0.05860
2005,Indirect migration background,"Marginal, Irregular Part-Time Employment",0.02228,41,822,0.01219,0.03238
2005,Indirect migration background,Not Employed,0.19907,352,822,0.17175,0.22638
2006,No migration background,Full-Time Employment,0.31784,7185,19003,0.31122,0.32446
2006,No migration background,Regular Part-Time Employment,0.07888,1988,19003,0.07504,0.08271
2006,No migration background,Vocational Training,0.01831,408,19003,0.01641,0.02022
2006,No migration background,"Marginal, Irregular Part-Time Employment",0.04280,976,19003,0.03992,0.04567
2006,No migration background,Not Employed,0.39898,8446,19003,0.39202,0.40594
2006,Direct migration background,Full-Time Employment,0.32740,832,2381,0.30855,0.34626
2006,Direct migration background,Regular Part-Time Employment,0.09318,249,2381,0.08150,0.10485
2006,Direct migration background,Vocational Training,0.01969,35,2381,0.01411,0.02527
2006,Direct migration background,"Marginal, Irregular Part-Time Employment",0.04674,125,2381,0.03826,0.05522
2006,Direct migration background,Not Employed,0.47528,1140,2381,0.45521,0.49534
2006,Indirect migration background,Full-Time Employment,0.16876,299,851,0.14358,0.19394
2006,Indirect migration background,Regular Part-Time Employment,0.04467,72,851,0.03078,0.05856
2006,Indirect migration background,Vocational Training,0.04115,75,851,0.02780,0.05450
2006,Indirect migration background,"Marginal, Irregular Part-Time Employment",0.02584,41,851,0.01517,0.03651
2006,Indirect migration background,Not Employed,0.20160,364,851,0.17463,0.22857
2007,No migration background,Full-Time Employment,0.32540,6824,17860,0.31853,0.33228
2007,No migration background,Regular Part-Time Employment,0.08457,1977,17860,0.08049,0.08865
2007,No migration background,Vocational Training,0.01892,383,17860,0.01692,0.02092
2007,No migration background,"Marginal, Irregular Part-Time Employment",0.04321,901,17860,0.04023,0.04619
2007,No migration background,Not Employed,0.38881,7775,17860,0.38166,0.39596
2007,Direct migration background,Full-Time Employment,0.32010,728,2105,0.30016,0.34003
2007,Direct migration background,Regular Part-Time Employment,0.10041,234,2105,0.08756,0.11325
2007,Direct migration background,"Marginal, Irregular Part-Time Employment",0.04809,103,2105,0.03895,0.05724
2007,Direct migration background,Not Employed,0.48881,1040,2105,0.46745,0.51017
2007,Indirect migration background,Full-Time Employment,0.18843,321,831,0.16182,0.21503
2007,Indirect migration background,Regular Part-Time Employment,0.05728,79,831,0.04147,0.07309
2007,Indirect migration background,Vocational Training,0.03633,60,831,0.02360,0.04906
2007,Indirect migration background,"Marginal, Irregular Part-Time Employment",0.03121,49,831,0.01938,0.04304
2007,Indirect migration background,Not Employed,0.19035,322,831,0.16364,0.21706
2008,No migration background,Full-Time Employment,0.33422,6528,16819,0.32709,0.34135
2008,No migration background,Regular Part-Time Employment,0.08504,1840,16819,0.08083,0.08926
2008,No migration background,Vocational Training,0.01888,350,16819,0.01682,0.02094
2008,No migration background,"Marginal, Irregular Part-Time Employment",0.04527,870,16819,0.04213,0.04842
2008,No migration background,Not Employed,0.37914,7231,16819,0.37181,0.38647
2008,Direct migration background,Full-Time Employment,0.33725,676,1883,0.31589,0.35861
2008,Direct migration background,Regular Part-Time Employment,0.10581,218,1883,0.09191,0.11971
2008,Direct migration background,"Marginal, Irregular Part-Time Employment",0.06169,107,1883,0.05082,0.07256
2008,Direct migration background,Not Employed,0.45625,882,1883,0.43375,0.47875
2008,Indirect migration background,Full-Time Employment,0.21603,308,819,0.18783,0.24423
2008,Indirect migration background,Regular Part-Time Employment,0.03859,70,819,0.02539,0.05178
2008,Indirect migration background,Vocational Training,0.04357,71,819,0.02958,0.05756
2008,Indirect migration background,"Marginal, Irregular Part-Time Employment",0.05368,68,819,0.03823,0.06913
2008,Indirect migration background,Not Employed,0.18730,302,819,0.16056,0.21404
2009,No migration background,Full-Time Employment,0.33668,6120,15815,0.32932,0.34405
2009,No migration background,Regular Part-Time Employment,0.08177,1712,15815,0.07750,0.08604
2009,No migration background,Vocational Training,0.01943,343,15815,0.01728,0.02158
2009,No migration background,"Marginal, Irregular Part-Time Employment",0.04627,829,15815,0.04299,0.04954
2009,No migration background,Not Employed,0.37898,6811,15815,0.37142,0.38654
2009,Direct migration background,Full-Time Employment,0.32370,573,1648,0.30110,0.34630
2009,Direct migration background,Regular Part-Time Employment,0.11962,204,1648,0.10395,0.13529
2009,Direct migration background,"Marginal, Irregular Part-Time Employment",0.07189,94,1648,0.05942,0.08437
2009,Direct migration background,Not Employed,0.45360,777,1648,0.42956,0.47765
2009,Indirect migration background,Full-Time Employment,0.23067,284,748,0.20046,0.26088
2009,Indirect migration background,Regular Part-Time Employment,0.05711,73,748,0.04047,0.07375
2009,Indirect migration background,Vocational Training,0.05027,65,748,0.03460,0.06594
2009,Indirect migration background,"Marginal, Irregular Part-Time Employment",0.04200,49,748,0.02761,0.05638
2009,Indirect migration background,Not Employed,0.18665,277,748,0.15871,0.21459
2010,No migration background,Full-Time Employment,0.33948,7630,20144,0.33294,0.34602
2010,No migration background,Regular Part-Time Employment,0.08725,2637,20144,0.08335,0.09115
