year,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,Not Employed,0.47230,6109,14225,0.46410,0.48051
1999,Full-Time Employment,0.40563,6043,13658,0.39739,0.41386
1999,Regular Part-Time Employment,0.07971,1116,13658,0.07517,0.08425
1999,Vocational Training,0.02611,447,13658,0.02343,0.02878
1999,"Marginal, Irregular Part-Time Employment",0.03297,436,13658,0.02997,0.03596
1999,Not Employed,0.45436,5616,13658,0.44601,0.46271
2000,Full-Time Employment,0.40344,10060,24078,0.39725,0.40964
2000,Regular Part-Time Employment,0.08939,2232,24078,0.08579,0.09299
2000,Vocational Training,0.02393,696,24078,0.02200,0.02587
2000,"Marginal, Irregular Part-Time Employment",0.03296,766,24078,0.03071,0.03522
2000,Not Employed,0.44913,10324,24078,0.44285,0.45542
2001,Full-Time Employment,0.39909,9059,21892,0.39260,0.40558
2001,Regular Part-Time Employment,0.08981,2057,21892,0.08603,0.09360
2001,Vocational Training,0.02687,679,21892,0.02473,0.02901
2001,"Marginal, Irregular Part-Time Employment",0.03373,750,21892,0.03134,0.03613
2001,Not Employed,0.44926,9347,21892,0.44267,0.45585
2002,Full-Time Employment,0.38305,9552,22996,0.37676,0.38933
2002,Regular Part-Time Employment,0.09053,2283,22996,0.08682,0.09423
2002,Vocational Training,0.02771,678,22996,0.02559,0.02983
2002,"Marginal, Irregular Part-Time Employment",0.03500,828,22996,0.03262,0.03737
2002,Not Employed,0.46223,9655,22996,0.45579,0.46868
2003,Full-Time Employment,0.37418,8857,22166,0.36781,0.38055
2003,Regular Part-Time Employment,0.09237,2269,22166,0.08856,0.09618
2003,Vocational Training,0.02422,608,22166,0.02220,0.02625
2003,"Marginal, Irregular Part-Time Employment",0.03773,855,22166,0.03522,0.04024
2003,Not Employed,0.46989,9545,22166,0.46332,0.47646
2003,Sheltered workshop (since 1998),0.00161,32,22166,0.00108,0.00214
2004,Full-Time Employment,0.36884,8518,21584,0.36240,0.37528
2004,Regular Part-Time Employment,0.09059,2186,21584,0.08676,0.09442
2004,Vocational Training,0.02505,580,21584,0.02296,0.02713
2004,"Marginal, Irregular Part-Time Employment",0.04095,918,21584,0.03830,0.04359
2004,Not Employed,0.47321,9382,21584,0.46655,0.47987
2005,Full-Time Employment,0.36770,7984,20698,0.36113,0.37427
2005,Regular Part-Time Employment,0.09337,2092,20698,0.08940,0.09733
2005,Vocational Training,0.02489,514,20698,0.02276,0.02701
2005,"Marginal, Irregular Part-Time Employment",0.04503,952,20698,0.04220,0.04785
2005,Not Employed,0.46713,9125,20698,0.46033,0.47393
2005,Sheltered workshop (since 1998),0.00190,31,20698,0.00130,0.00249
2006,Full-Time Employment,0.36531,8316,22268,0.35899,0.37164
2006,Regular Part-Time Employment,0.09251,2309,22268,0.08870,0.09631
2006,Vocational Training,0.02387,518,22268,0.02186,0.02587
2006,"Marginal, Irregular Part-Time Employment",0.04982,1142,22268,0.04696,0.05267
2006,Not Employed,0.46637,9950,22268,0.45982,0.47293
2006,Sheltered workshop (since 1998),0.00212,33,22268,0.00152,0.00273
2007,Full-Time Employment,0.37101,7873,20821,0.36445,0.37757
2007,Regular Part-Time Employment,0.09942,2290,20821,0.09535,0.10348
2007,Vocational Training,0.02312,468,20821,0.02108,0.02516
2007,"Marginal, Irregular Part-Time Employment",0.05054,1053,20821,0.04757,0.05352
2007,Not Employed,0.45419,9137,20821,0.44742,0.46095
2008,Full-Time Employment,0.38223,7512,19546,0.37542,0.38904
2008,Regular Part-Time Employment,0.09834,2128,19546,0.09417,0.10252
2008,Vocational Training,0.02409,446,19546,0.02194,0.02624
2008,"Marginal, Irregular Part-Time Employment",0.05607,1045,19546,0.05284,0.05929
2008,Not Employed,0.43783,8415,19546,0.43088,0.44479
2009,Full-Time Employment,0.38311,6977,18228,0.37605,0.39017
2009,Regular Part-Time Employment,0.09821,1989,18228,0.09389,0.10253
2009,Vocational Training,0.02478,425,18228,0.02252,0.02704
2009,"Marginal, Irregular Part-Time Employment",0.05697,972,18228,0.05361,0.06034
2009,Not Employed,0.43559,7865,18228,0.42839,0.44279
2010,Full-Time Employment,0.37933,9013,24303,0.37323,0.38543
2010,Regular Part-Time Employment,0.10188,3052,24303,0.09808,0.10568
2010,Vocational Training,0.02565,510,24303,0.02366,0.02764
2010,"Marginal, Irregular Part-Time Employment",0.05759,1533,24303,0.05466,0.06052
2010,Not Employed,0.43437,10195,24303,0.42814,0.44060
2011,Full-Time Employment,0.39084,10813,28895,0.38522,0.39647
2011,Regular Part-Time Employment,0.10159,3938,28895,0.09811,0.10508
2011,Vocational Training,0.02295,592,28895,0.02123,0.02468
2011,"Marginal, Irregular Part-Time Employment",0.05202,1678,28895,0.04946,0.05459
2011,Not Employed,0.43093,11842,28895,0.42522,0.43664
2011,Sheltered workshop (since 1998),0.00166,32,28895,0.00119,0.00212
2012,Full-Time Employment,0.38966,10487,28138,0.38396,0.39536
2012,Regular Part-Time Employment,0.10510,3947,28138,0.10151,0.10868
2012,Vocational Training,0.02180,612,28138,0.02010,0.02351
2012,"Marginal, Irregular Part-Time Employment",0.05490,1751,28138,0.05224,0.05756
2012,Not Employed,0.42664,11341,28138,0.42087,0.43242
2013,Full-Time Employment,0.38174,11663,31154,0.37635,0.38714
2013,Regular Part-Time Employment,0.10958,4456,31154,0.10611,0.11305
2013,Vocational Training,0.02424,892,31154,0.02253,0.02594
2013,"Marginal, Irregular Part-Time Employment",0.05787,2114,31154,0.05528,0.06047
2013,Not Employed,0.42476,12029,31154,0.41927,0.43025
2014,Full-Time Employment,0.37880,10226,27618,0.37308,0.38452
2014,Regular Part-Time Employment,0.11303,3903,27618,0.10930,0.11676
2014,Vocational Training,0.02478,765,27618,0.02294,0.02661
2014,"Marginal, Irregular Part-Time Employment",0.06225,1985,27618,0.05940,0.06510
2014,Not Employed,0.41884,10739,27618,0.41302,0.42466
2015,Full-Time Employment,0.37972,10096,27342,0.37397,0.38548
2015,Regular Part-Time Employment,0.11857,3951,27342,0.11474,0.12240
2015,Vocational Training,0.02499,780,27342,0.02314,0.02684
2015,"Marginal, Irregular Part-Time Employment",0.06054,1835,27342,0.05771,0.06337
2015,Not Employed,0.41359,10646,27342,0.40775,0.41943
2015,Sheltered workshop (since 1998),0.00258,34,27342,0.00198,0.00319
2016,Full-Time Employment,0.38469,9251,27944,0.37898,0.39039
2016,Regular Part-Time Employment,0.12198,3817,27944,0.11814,0.12581
2016,Vocational Training,0.02439,798,27944,0.02258,0.02620
2016,"Marginal, Irregular Part-Time Employment",0.05662,1667,27944,0.05391,0.05933
2016,Not Employed,0.40972,12379,27944,0.40395,0.41549
2016,Sheltered workshop (since 1998),0.00260,32,27944,0.00201,0.00320
2017,Full-Time Employment,0.38788,10628,31251,0.38248,0.39329
2017,Regular Part-Time Employment,0.12277,4333,31251,0.11913,0.12641
2017,Vocational Training,0.02463,907,31251,0.02291,0.02635
2017,"Marginal, Irregular Part-Time Employment",0.05944,1811,31251,0.05682,0.06206
2017,Not Employed,0.40278,13539,31251,0.39734,0.40822
2017,Sheltered workshop (since 1998),0.00250,33,31251,0.00194,0.00305
2018,Full-Time Employment,0.39104,10253,29858,0.38551,0.39658
2018,Regular Part-Time Employment,0.12977,4362,29858,0.12596,0.13358
2018,Vocational Training,0.02335,899,29858,0.02164,0.02507
2018,"Marginal, Irregular Part-Time Employment",0.05735,1763,29858,0.05471,0.05998
2018,Not Employed,0.39514,12537,29858,0.38959,0.40068
2018,Sheltered workshop (since 1998),0.00335,44,29858,0.00269,0.00400
2019,Full-Time Employment,0.39403,11189,29561,0.38846,0.39961
2019,Regular Part-Time Employment,0.13777,4441,29561,0.13384,0.14170
2019,Vocational Training,0.02371,876,29561,0.02198,0.02545
2019,"Marginal, Irregular Part-Time Employment",0.05084,1641,29561,0.04834,0.05335
2019,Not Employed,0.39091,11376,29561,0.38535,0.39647
2019,Sheltered workshop (since 1998),0.00272,38,29561,0.00213,0.00332
2020,Full-Time Employment,0.39274,11668,29893,0.38720,0.39828
2020,Regular Part-Time Employment,0.13842,4342,29893,0.13451,0.14234
2020,Vocational Training,0.02425,984,29893,0.02250,0.02599
2020,"Marginal, Irregular Part-Time Employment",0.04937,1467,29893,0.04691,0.05182
2020,Not Employed,0.39237,11394,29893,0.38683,0.39790
2020,Sheltered workshop (since 1998),0.00286,38,29893,0.00225,0.00346
2021,Full-Time Employment,0.40152,7704,19814,0.39469,0.40834
2021,Regular Part-Time Employment,0.13724,2989,19814,0.13245,0.14203
2021,Vocational Training,0.01960,468,19814,0.01767,0.02153
2021,"Marginal, Irregular Part-Time Employment",0.05026,884,19814,0.04722,0.05330
2021,Not Employed,0.38440,7583,19814,0.37763,0.39117
2021,In short-time work (since 2021),0.00698,186,19814,0.00582,0.00814
2022,Full-Time Employment,0.40931,13028,28165,0.40356,0.41505
2022,Regular Part-Time Employment,0.15443,4470,28165,0.15021,0.15865
2022,Vocational Training,0.01840,771,28165,0.01683,0.01997
2022,"Marginal, Irregular Part-Time Employment",0.04913,1314,28165,0.04661,0.05166
2022,Not Employed,0.36659,8471,28165,0.36096,0.37222
2022,In short-time work (since 2021),0.00215,111,28165,0.00161,0.00269
