year,migback,quintil_oecd,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Direct migration background,4th Quintile,Not Employed,0.28833,93,438,0.24586,0.33080
1985,Direct migration background,5th Quintile,Full-Time Employment,0.64681,246,292,0.59190,0.70173
1985,Direct migration background,5th Quintile,Not Employed,0.26073,46,292,0.21028,0.31117
1986,No migration background,1st Quintile,Full-Time Employment,0.17832,257,1223,0.15685,0.19978
1986,No migration background,1st Quintile,Regular Part-Time Employment,0.02983,40,1223,0.02029,0.03937
1986,No migration background,1st Quintile,Vocational Training,0.03675,48,1223,0.02620,0.04730
1986,No migration background,1st Quintile,"Marginal, Irregular Part-Time Employment",0.03207,46,1223,0.02219,0.04195
1986,No migration background,1st Quintile,Not Employed,0.72303,832,1223,0.69794,0.74812
1986,No migration background,2nd Quintile,Full-Time Employment,0.31521,479,1378,0.29067,0.33975
1986,No migration background,2nd Quintile,Regular Part-Time Employment,0.04645,75,1378,0.03533,0.05756
1986,No migration background,2nd Quintile,Vocational Training,0.03839,57,1378,0.02824,0.04854
1986,No migration background,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.02485,40,1378,0.01663,0.03307
1986,No migration background,2nd Quintile,Not Employed,0.57510,727,1378,0.54899,0.60121
1986,No migration background,3rd Quintile,Full-Time Employment,0.41299,650,1520,0.38823,0.43776
1986,No migration background,3rd Quintile,Regular Part-Time Employment,0.06869,119,1520,0.05597,0.08141
1986,No migration background,3rd Quintile,Vocational Training,0.04012,65,1520,0.03025,0.04999
1986,No migration background,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.03100,50,1520,0.02228,0.03971
1986,No migration background,3rd Quintile,Not Employed,0.44720,636,1520,0.42220,0.47221
1986,No migration background,4th Quintile,Full-Time Employment,0.50968,878,1689,0.48583,0.53353
1986,No migration background,4th Quintile,Regular Part-Time Employment,0.07153,133,1689,0.05924,0.08382
1986,No migration background,4th Quintile,Vocational Training,0.02555,50,1689,0.01803,0.03308
1986,No migration background,4th Quintile,"Marginal, Irregular Part-Time Employment",0.01954,35,1689,0.01293,0.02614
1986,No migration background,4th Quintile,Not Employed,0.37370,593,1689,0.35062,0.39678
1986,No migration background,5th Quintile,Full-Time Employment,0.58236,1069,1791,0.55951,0.60521
1986,No migration background,5th Quintile,Regular Part-Time Employment,0.07650,144,1791,0.06419,0.08882
1986,No migration background,5th Quintile,Vocational Training,0.02307,42,1791,0.01611,0.03002
1986,No migration background,5th Quintile,"Marginal, Irregular Part-Time Employment",0.02303,46,1791,0.01608,0.02997
1986,No migration background,5th Quintile,Not Employed,0.29505,490,1791,0.27392,0.31617
1986,Direct migration background,1st Quintile,Full-Time Employment,0.31558,312,737,0.28201,0.34916
1986,Direct migration background,1st Quintile,Not Employed,0.58988,425,737,0.55434,0.62541
1986,Direct migration background,2nd Quintile,Full-Time Employment,0.44839,350,656,0.41030,0.48648
1986,Direct migration background,2nd Quintile,Regular Part-Time Employment,0.06690,37,656,0.04777,0.08604
1986,Direct migration background,2nd Quintile,Not Employed,0.44795,269,656,0.40987,0.48603
1986,Direct migration background,3rd Quintile,Full-Time Employment,0.56021,356,492,0.51630,0.60411
1986,Direct migration background,3rd Quintile,Not Employed,0.32650,136,492,0.28502,0.36797
1986,Direct migration background,4th Quintile,Full-Time Employment,0.64808,383,466,0.60467,0.69149
1986,Direct migration background,4th Quintile,Not Employed,0.26495,83,466,0.22484,0.30507
1986,Direct migration background,5th Quintile,Full-Time Employment,0.60591,214,269,0.54740,0.66441
1986,Direct migration background,5th Quintile,Not Employed,0.30031,55,269,0.24543,0.35519
1987,No migration background,1st Quintile,Full-Time Employment,0.16708,235,1193,0.14590,0.18826
1987,No migration background,1st Quintile,Regular Part-Time Employment,0.03843,57,1193,0.02752,0.04934
1987,No migration background,1st Quintile,Vocational Training,0.03504,54,1193,0.02460,0.04547
1987,No migration background,1st Quintile,"Marginal, Irregular Part-Time Employment",0.02686,31,1193,0.01768,0.03604
1987,No migration background,1st Quintile,Not Employed,0.73259,816,1193,0.70747,0.75772
1987,No migration background,2nd Quintile,Full-Time Employment,0.33776,486,1353,0.31255,0.36297
1987,No migration background,2nd Quintile,Regular Part-Time Employment,0.06066,86,1353,0.04793,0.07338
1987,No migration background,2nd Quintile,Vocational Training,0.03854,67,1353,0.02828,0.04881
1987,No migration background,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.01987,31,1353,0.01243,0.02731
1987,No migration background,2nd Quintile,Not Employed,0.54316,683,1353,0.51661,0.56972
1987,No migration background,3rd Quintile,Full-Time Employment,0.40858,635,1508,0.38377,0.43340
1987,No migration background,3rd Quintile,Regular Part-Time Employment,0.06622,111,1508,0.05367,0.07878
1987,No migration background,3rd Quintile,Vocational Training,0.04456,82,1508,0.03414,0.05498
1987,No migration background,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02734,45,1508,0.01911,0.03558
1987,No migration background,3rd Quintile,Not Employed,0.45329,635,1508,0.42816,0.47843
1987,No migration background,4th Quintile,Full-Time Employment,0.50685,838,1631,0.48258,0.53112
1987,No migration background,4th Quintile,Regular Part-Time Employment,0.08999,150,1631,0.07609,0.10388
1987,No migration background,4th Quintile,Vocational Training,0.03309,63,1631,0.02440,0.04177
1987,No migration background,4th Quintile,"Marginal, Irregular Part-Time Employment",0.01984,35,1631,0.01307,0.02661
1987,No migration background,4th Quintile,Not Employed,0.35024,545,1631,0.32708,0.37339
1987,No migration background,5th Quintile,Full-Time Employment,0.60295,1089,1753,0.58004,0.62586
1987,No migration background,5th Quintile,Regular Part-Time Employment,0.07770,147,1753,0.06516,0.09023
1987,No migration background,5th Quintile,Vocational Training,0.02901,58,1753,0.02115,0.03687
1987,No migration background,5th Quintile,Not Employed,0.27718,459,1753,0.25622,0.29814
1987,Direct migration background,1st Quintile,Full-Time Employment,0.31302,295,736,0.27950,0.34655
1987,Direct migration background,1st Quintile,Not Employed,0.59946,441,736,0.56403,0.63488
1987,Direct migration background,2nd Quintile,Full-Time Employment,0.43353,355,627,0.39471,0.47235
1987,Direct migration background,2nd Quintile,Regular Part-Time Employment,0.07450,34,627,0.05393,0.09508
1987,Direct migration background,2nd Quintile,Not Employed,0.42824,238,627,0.38947,0.46700
1987,Direct migration background,3rd Quintile,Full-Time Employment,0.55502,363,505,0.51164,0.59841
1987,Direct migration background,3rd Quintile,Not Employed,0.35366,142,505,0.31192,0.39540
1987,Direct migration background,4th Quintile,Full-Time Employment,0.66523,352,437,0.62094,0.70953
1987,Direct migration background,4th Quintile,Not Employed,0.22845,85,437,0.18904,0.26786
1987,Direct migration background,5th Quintile,Full-Time Employment,0.64747,227,284,0.59181,0.70313
1987,Direct migration background,5th Quintile,Not Employed,0.27463,57,284,0.22263,0.32663
1987,Indirect migration background,1st Quintile,Not Employed,0.71370,31,31,0.55194,0.87545
1988,No migration background,1st Quintile,Full-Time Employment,0.18019,247,1098,0.15745,0.20294
1988,No migration background,1st Quintile,Regular Part-Time Employment,0.03959,50,1098,0.02805,0.05112
1988,No migration background,1st Quintile,Vocational Training,0.03845,54,1098,0.02707,0.04983
1988,No migration background,1st Quintile,Not Employed,0.71878,747,1098,0.69217,0.74539
1988,No migration background,2nd Quintile,Full-Time Employment,0.30007,440,1308,0.27523,0.32492
1988,No migration background,2nd Quintile,Regular Part-Time Employment,0.06668,97,1308,0.05316,0.08021
1988,No migration background,2nd Quintile,Vocational Training,0.04085,69,1308,0.03012,0.05158
1988,No migration background,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.02274,32,1308,0.01466,0.03082
1988,No migration background,2nd Quintile,Not Employed,0.56966,670,1308,0.54282,0.59650
1988,No migration background,3rd Quintile,Full-Time Employment,0.41977,608,1440,0.39427,0.44527
1988,No migration background,3rd Quintile,Regular Part-Time Employment,0.06710,109,1440,0.05417,0.08002
1988,No migration background,3rd Quintile,Vocational Training,0.04345,82,1440,0.03292,0.05399
1988,No migration background,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02506,36,1440,0.01698,0.03313
1988,No migration background,3rd Quintile,Not Employed,0.44462,605,1440,0.41895,0.47030
1988,No migration background,4th Quintile,Full-Time Employment,0.51279,784,1506,0.48754,0.53804
1988,No migration background,4th Quintile,Regular Part-Time Employment,0.08754,142,1506,0.07326,0.10182
1988,No migration background,4th Quintile,Vocational Training,0.02990,61,1506,0.02130,0.03851
1988,No migration background,4th Quintile,Not Employed,0.35358,519,1506,0.32943,0.37774
1988,No migration background,5th Quintile,Full-Time Employment,0.61255,1037,1673,0.58919,0.63590
1988,No migration background,5th Quintile,Regular Part-Time Employment,0.07858,137,1673,0.06568,0.09148
1988,No migration background,5th Quintile,Vocational Training,0.02043,41,1673,0.01365,0.02721
1988,No migration background,5th Quintile,"Marginal, Irregular Part-Time Employment",0.01962,35,1673,0.01297,0.02626
1988,No migration background,5th Quintile,Not Employed,0.26883,423,1673,0.24758,0.29008
1988,Direct migration background,1st Quintile,Full-Time Employment,0.29974,271,761,0.26717,0.33231
1988,Direct migration background,1st Quintile,Regular Part-Time Employment,0.05328,36,761,0.03732,0.06925
1988,Direct migration background,1st Quintile,Vocational Training,0.02911,31,761,0.01715,0.04106
1988,Direct migration background,1st Quintile,Not Employed,0.58984,423,761,0.55487,0.62481
1988,Direct migration background,2nd Quintile,Full-Time Employment,0.43697,321,582,0.39664,0.47730
1988,Direct migration background,2nd Quintile,Regular Part-Time Employment,0.05296,32,582,0.03475,0.07117
1988,Direct migration background,2nd Quintile,Not Employed,0.46817,229,582,0.42760,0.50875
1988,Direct migration background,3rd Quintile,Full-Time Employment,0.54550,331,498,0.50173,0.58928
1988,Direct migration background,3rd Quintile,Regular Part-Time Employment,0.09045,38,498,0.06523,0.11566
1988,Direct migration background,3rd Quintile,Not Employed,0.31275,129,498,0.27199,0.35351
1988,Direct migration background,4th Quintile,Full-Time Employment,0.58665,343,457,0.54145,0.63185
1988,Direct migration background,4th Quintile,Not Employed,0.32735,114,457,0.28428,0.37042
1988,Direct migration background,5th Quintile,Full-Time Employment,0.69474,197,242,0.63660,0.75289
1988,Direct migration background,5th Quintile,Not Employed,0.26097,45,242,0.20553,0.31642
1988,Indirect migration background,1st Quintile,Not Employed,0.62517,45,45,0.48213,0.76821
1989,No migration background,1st Quintile,Full-Time Employment,0.17590,233,1046,0.15282,0.19898
1989,No migration background,1st Quintile,Regular Part-Time Employment,0.04421,57,1046,0.03175,0.05667
1989,No migration background,1st Quintile,Vocational Training,0.04128,55,1046,0.02921,0.05334
1989,No migration background,1st Quintile,Not Employed,0.71491,701,1046,0.68754,0.74228
1989,No migration background,2nd Quintile,Full-Time Employment,0.33697,434,1221,0.31044,0.36349
1989,No migration background,2nd Quintile,Regular Part-Time Employment,0.06883,91,1221,0.05462,0.08304
1989,No migration background,2nd Quintile,Vocational Training,0.03664,58,1221,0.02610,0.04718
1989,No migration background,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.02348,34,1221,0.01498,0.03197
1989,No migration background,2nd Quintile,Not Employed,0.53408,604,1221,0.50609,0.56208
1989,No migration background,3rd Quintile,Full-Time Employment,0.42079,603,1376,0.39470,0.44689
1989,No migration background,3rd Quintile,Regular Part-Time Employment,0.08112,121,1376,0.06669,0.09556
1989,No migration background,3rd Quintile,Vocational Training,0.03585,60,1376,0.02603,0.04568
1989,No migration background,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02160,32,1376,0.01391,0.02928
1989,No migration background,3rd Quintile,Not Employed,0.44063,560,1376,0.41439,0.46687
1989,No migration background,4th Quintile,Full-Time Employment,0.51831,811,1505,0.49306,0.54356
1989,No migration background,4th Quintile,Regular Part-Time Employment,0.07189,117,1505,0.05884,0.08495
1989,No migration background,4th Quintile,Vocational Training,0.03567,64,1505,0.02630,0.04505
1989,No migration background,4th Quintile,Not Employed,0.35803,513,1505,0.33380,0.38226
1989,No migration background,5th Quintile,Full-Time Employment,0.61240,1003,1616,0.58864,0.63616
1989,No migration background,5th Quintile,Regular Part-Time Employment,0.08530,143,1616,0.07168,0.09893
1989,No migration background,5th Quintile,Vocational Training,0.01964,38,1616,0.01288,0.02641
1989,No migration background,5th Quintile,"Marginal, Irregular Part-Time Employment",0.01677,32,1616,0.01051,0.02303
1989,No migration background,5th Quintile,Not Employed,0.26588,400,1616,0.24434,0.28743
1989,Direct migration background,1st Quintile,Full-Time Employment,0.29696,293,749,0.26421,0.32970
1989,Direct migration background,1st Quintile,Regular Part-Time Employment,0.05528,38,749,0.03890,0.07166
1989,Direct migration background,1st Quintile,Not Employed,0.60969,418,749,0.57473,0.64465
1989,Direct migration background,2nd Quintile,Full-Time Employment,0.46226,363,638,0.42354,0.50098
1989,Direct migration background,2nd Quintile,Regular Part-Time Employment,0.05059,38,638,0.03357,0.06761
1989,Direct migration background,2nd Quintile,Not Employed,0.44491,237,638,0.40631,0.48350
1989,Direct migration background,3rd Quintile,Full-Time Employment,0.56245,308,461,0.51712,0.60779
1989,Direct migration background,3rd Quintile,Regular Part-Time Employment,0.08723,32,461,0.06144,0.11301
1989,Direct migration background,3rd Quintile,Not Employed,0.31702,121,461,0.27450,0.35955
1989,Direct migration background,4th Quintile,Full-Time Employment,0.60586,316,404,0.55815,0.65357
1989,Direct migration background,4th Quintile,Not Employed,0.31870,88,404,0.27321,0.36420
1989,Direct migration background,5th Quintile,Full-Time Employment,0.63823,169,211,0.57324,0.70322
1989,Direct migration background,5th Quintile,Not Employed,0.31597,42,211,0.25309,0.37885
1989,Indirect migration background,1st Quintile,Not Employed,0.71264,46,46,0.58042,0.84486
1989,Indirect migration background,2nd Quintile,Not Employed,0.61167,42,42,0.46249,0.76086
1990,No migration background,1st Quintile,Full-Time Employment,0.18694,220,993,0.16267,0.21120
1990,No migration background,1st Quintile,Regular Part-Time Employment,0.05914,62,993,0.04446,0.07381
1990,No migration background,1st Quintile,Vocational Training,0.03579,45,993,0.02423,0.04734
1990,No migration background,1st Quintile,Not Employed,0.69695,666,993,0.66835,0.72555
1990,No migration background,2nd Quintile,Full-Time Employment,0.33257,436,1213,0.30605,0.35910
1990,No migration background,2nd Quintile,Regular Part-Time Employment,0.07712,106,1213,0.06210,0.09213
1990,No migration background,2nd Quintile,Vocational Training,0.04184,58,1213,0.03057,0.05311
1990,No migration background,2nd Quintile,Not Employed,0.52867,613,1213,0.50057,0.55678
1990,No migration background,3rd Quintile,Full-Time Employment,0.41556,548,1295,0.38871,0.44241
1990,No migration background,3rd Quintile,Regular Part-Time Employment,0.08263,120,1295,0.06763,0.09764
1990,No migration background,3rd Quintile,Vocational Training,0.04316,65,1295,0.03209,0.05424
1990,No migration background,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02246,31,1295,0.01439,0.03054
1990,No migration background,3rd Quintile,Not Employed,0.43618,531,1295,0.40916,0.46320
1990,No migration background,4th Quintile,Full-Time Employment,0.53815,819,1507,0.51297,0.56333
1990,No migration background,4th Quintile,Regular Part-Time Employment,0.07593,121,1507,0.06256,0.08931
1990,No migration background,4th Quintile,Vocational Training,0.02974,50,1507,0.02116,0.03832
1990,No migration background,4th Quintile,"Marginal, Irregular Part-Time Employment",0.02256,36,1507,0.01506,0.03006
1990,No migration background,4th Quintile,Not Employed,0.33361,481,1507,0.30980,0.35743
1990,No migration background,5th Quintile,Full-Time Employment,0.60670,974,1530,0.58222,0.63119
1990,No migration background,5th Quintile,Regular Part-Time Employment,0.09495,153,1530,0.08026,0.10964
1990,No migration background,5th Quintile,Not Employed,0.27361,403,1530,0.25127,0.29596
1990,Direct migration background,1st Quintile,Full-Time Employment,0.31294,299,766,0.28008,0.34580
1990,Direct migration background,1st Quintile,Regular Part-Time Employment,0.05104,41,766,0.03544,0.06664
1990,Direct migration background,1st Quintile,Not Employed,0.57836,426,766,0.54337,0.61336
1990,Direct migration background,2nd Quintile,Full-Time Employment,0.47780,316,555,0.43621,0.51940
1990,Direct migration background,2nd Quintile,Regular Part-Time Employment,0.07239,34,555,0.05081,0.09396
1990,Direct migration background,2nd Quintile,Not Employed,0.42343,205,555,0.38228,0.46457
1990,Direct migration background,3rd Quintile,Full-Time Employment,0.51543,337,519,0.47240,0.55847
1990,Direct migration background,3rd Quintile,Regular Part-Time Employment,0.10748,42,519,0.08081,0.13416
1990,Direct migration background,3rd Quintile,Not Employed,0.34876,140,519,0.30771,0.38980
1990,Direct migration background,4th Quintile,Full-Time Employment,0.68851,286,357,0.64040,0.73662
1990,Direct migration background,4th Quintile,Not Employed,0.24060,71,357,0.19620,0.28501
1990,Direct migration background,5th Quintile,Full-Time Employment,0.64437,176,223,0.58140,0.70735
1990,Direct migration background,5th Quintile,Not Employed,0.30231,47,223,0.24190,0.36273
1990,Indirect migration background,1st Quintile,Not Employed,0.62403,46,46,0.48250,0.76555
1990,Indirect migration background,2nd Quintile,Not Employed,0.54956,37,37,0.38703,0.71209
1990,Indirect migration background,4th Quintile,Full-Time Employment,0.46013,32,32,0.28468,0.63558
1991,No migration background,1st Quintile,Full-Time Employment,0.17277,208,996,0.14928,0.19626
1991,No migration background,1st Quintile,Regular Part-Time Employment,0.05227,60,996,0.03844,0.06610
1991,No migration background,1st Quintile,Vocational Training,0.04757,53,996,0.03434,0.06079
1991,No migration background,1st Quintile,"Marginal, Irregular Part-Time Employment",0.02613,31,996,0.01622,0.03604
1991,No migration background,1st Quintile,Not Employed,0.70127,644,996,0.67283,0.72971
1991,No migration background,2nd Quintile,Full-Time Employment,0.32620,428,1203,0.29969,0.35270
1991,No migration background,2nd Quintile,Regular Part-Time Employment,0.07929,112,1203,0.06402,0.09456
1991,No migration background,2nd Quintile,Vocational Training,0.03151,45,1203,0.02164,0.04139
1991,No migration background,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.03418,41,1203,0.02391,0.04446
1991,No migration background,2nd Quintile,Not Employed,0.52882,577,1203,0.50060,0.55704
1991,No migration background,3rd Quintile,Full-Time Employment,0.42352,567,1300,0.39665,0.45039
1991,No migration background,3rd Quintile,Regular Part-Time Employment,0.08668,124,1300,0.07138,0.10198
1991,No migration background,3rd Quintile,Vocational Training,0.04046,68,1300,0.02975,0.05118
1991,No migration background,3rd Quintile,Not Employed,0.43475,541,1300,0.40779,0.46171
1991,No migration background,4th Quintile,Full-Time Employment,0.50916,775,1486,0.48373,0.53459
1991,No migration background,4th Quintile,Regular Part-Time Employment,0.08713,131,1486,0.07278,0.10147
1991,No migration background,4th Quintile,Vocational Training,0.03011,51,1486,0.02142,0.03880
1991,No migration background,4th Quintile,"Marginal, Irregular Part-Time Employment",0.03071,47,1486,0.02193,0.03948
1991,No migration background,4th Quintile,Not Employed,0.34289,482,1486,0.31875,0.36704
1991,No migration background,5th Quintile,Full-Time Employment,0.62059,987,1546,0.59639,0.64479
1991,No migration background,5th Quintile,Regular Part-Time Employment,0.09775,155,1546,0.08294,0.11256
1991,No migration background,5th Quintile,"Marginal, Irregular Part-Time Employment",0.02155,36,1546,0.01431,0.02879
1991,No migration background,5th Quintile,Not Employed,0.24495,368,1546,0.22350,0.26639
1991,Direct migration background,1st Quintile,Full-Time Employment,0.35040,291,710,0.31528,0.38552
1991,Direct migration background,1st Quintile,Regular Part-Time Employment,0.05407,42,710,0.03742,0.07071
1991,Direct migration background,1st Quintile,Not Employed,0.55038,377,710,0.51376,0.58700
1991,Direct migration background,2nd Quintile,Full-Time Employment,0.44238,324,573,0.40167,0.48308
1991,Direct migration background,2nd Quintile,Regular Part-Time Employment,0.06383,42,573,0.04380,0.08387
1991,Direct migration background,2nd Quintile,Not Employed,0.43059,207,573,0.39001,0.47117
1991,Direct migration background,3rd Quintile,Full-Time Employment,0.55352,314,470,0.50853,0.59851
1991,Direct migration background,3rd Quintile,Regular Part-Time Employment,0.08500,34,470,0.05976,0.11024
1991,Direct migration background,3rd Quintile,Not Employed,0.32423,122,470,0.28187,0.36660
1991,Direct migration background,4th Quintile,Full-Time Employment,0.65484,297,367,0.60613,0.70354
1991,Direct migration background,4th Quintile,Not Employed,0.21152,70,367,0.16968,0.25336
1991,Direct migration background,5th Quintile,Full-Time Employment,0.65728,180,231,0.59595,0.71862
1991,Direct migration background,5th Quintile,Not Employed,0.30509,51,231,0.24559,0.36460
1991,Indirect migration background,1st Quintile,Not Employed,0.50302,51,51,0.36443,0.64161
1991,Indirect migration background,2nd Quintile,Not Employed,0.48195,41,41,0.32710,0.63680
1991,Indirect migration background,4th Quintile,Full-Time Employment,0.62539,32,32,0.45500,0.79578
1992,No migration background,1st Quintile,Full-Time Employment,0.22051,659,2154,0.20300,0.23803
1992,No migration background,1st Quintile,Regular Part-Time Employment,0.04372,111,2154,0.03509,0.05236
1992,No migration background,1st Quintile,Vocational Training,0.03049,75,2154,0.02323,0.03775
1992,No migration background,1st Quintile,Not Employed,0.69576,1309,2154,0.67633,0.71520
1992,No migration background,2nd Quintile,Full-Time Employment,0.38687,1036,2135,0.36620,0.40753
1992,No migration background,2nd Quintile,Regular Part-Time Employment,0.05680,124,2135,0.04698,0.06662
1992,No migration background,2nd Quintile,Vocational Training,0.03696,96,2135,0.02896,0.04497
1992,No migration background,2nd Quintile,Not Employed,0.50451,879,2135,0.48330,0.52573
1992,No migration background,3rd Quintile,Full-Time Employment,0.43323,970,1949,0.41123,0.45524
1992,No migration background,3rd Quintile,Regular Part-Time Employment,0.07957,155,1949,0.06756,0.09159
1992,No migration background,3rd Quintile,Vocational Training,0.03269,79,1949,0.02480,0.04059
1992,No migration background,3rd Quintile,Not Employed,0.44120,745,1949,0.41915,0.46325
