year,migback,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Direct migration background,West,Regular Part-Time Employment,0.05646,128,2812,0.04793,0.06500
1987,Direct migration background,West,Vocational Training,0.02175,84,2812,0.01636,0.02715
1987,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.01610,43,2812,0.01145,0.02075
1987,Direct migration background,West,Not Employed,0.37044,964,2812,0.35259,0.38830
1987,Indirect migration background,West,Full-Time Employment,0.05182,53,136,0.01443,0.08922
1987,Indirect migration background,West,Not Employed,0.06664,83,136,0.02457,0.10871
1988,No migration background,West,Full-Time Employment,0.35645,3117,7081,0.34529,0.36760
1988,No migration background,West,Regular Part-Time Employment,0.05876,535,7081,0.05329,0.06424
1988,No migration background,West,Vocational Training,0.02895,307,7081,0.02504,0.03285
1988,No migration background,West,"Marginal, Irregular Part-Time Employment",0.01802,157,7081,0.01492,0.02112
1988,No migration background,West,Not Employed,0.38948,2965,7081,0.37812,0.40084
1988,Direct migration background,West,Full-Time Employment,0.45563,1463,2667,0.43673,0.47454
1988,Direct migration background,West,Regular Part-Time Employment,0.05460,134,2667,0.04598,0.06323
1988,Direct migration background,West,Vocational Training,0.02029,89,2667,0.01493,0.02564
1988,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.01768,41,2667,0.01268,0.02269
1988,Direct migration background,West,Not Employed,0.38671,940,2667,0.36822,0.40519
1988,Indirect migration background,West,Full-Time Employment,0.05159,67,201,0.02093,0.08225
1988,Indirect migration background,West,Vocational Training,0.01591,33,201,-0.00143,0.03325
1988,Indirect migration background,West,Not Employed,0.07739,101,201,0.04035,0.11442
1989,No migration background,West,Full-Time Employment,0.36478,3084,6818,0.35335,0.37620
1989,No migration background,West,Regular Part-Time Employment,0.06088,529,6818,0.05520,0.06655
1989,No migration background,West,Vocational Training,0.02836,275,6818,0.02442,0.03230
1989,No migration background,West,"Marginal, Irregular Part-Time Employment",0.01707,151,6818,0.01400,0.02015
1989,No migration background,West,Not Employed,0.38244,2779,6818,0.37090,0.39398
1989,Direct migration background,West,Full-Time Employment,0.45843,1449,2588,0.43923,0.47763
1989,Direct migration background,West,Regular Part-Time Employment,0.05168,128,2588,0.04315,0.06021
1989,Direct migration background,West,Vocational Training,0.01239,64,2588,0.00813,0.01666
1989,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.02012,41,2588,0.01471,0.02553
1989,Direct migration background,West,Not Employed,0.40315,906,2588,0.38424,0.42205
1989,Indirect migration background,West,Full-Time Employment,0.04827,81,236,0.02086,0.07567
1989,Indirect migration background,West,Vocational Training,0.01773,35,236,0.00086,0.03461
1989,Indirect migration background,West,Not Employed,0.09422,120,236,0.05687,0.13158
1990,No migration background,West,Full-Time Employment,0.36717,2997,6637,0.35557,0.37877
1990,No migration background,West,Regular Part-Time Employment,0.06704,562,6637,0.06103,0.07306
1990,No migration background,West,Vocational Training,0.02659,239,6637,0.02272,0.03046
1990,No migration background,West,"Marginal, Irregular Part-Time Employment",0.01682,142,6637,0.01373,0.01992
1990,No migration background,West,Not Employed,0.37250,2697,6637,0.36086,0.38413
1990,No migration background,East,Full-Time Employment,0.47365,2790,4271,0.45868,0.48863
1990,No migration background,East,Regular Part-Time Employment,0.06609,398,4271,0.05864,0.07355
1990,No migration background,East,Vocational Training,0.02109,132,4271,0.01678,0.02540
1990,No migration background,East,Not Employed,0.21931,951,4271,0.20690,0.23172
1990,Direct migration background,West,Full-Time Employment,0.47204,1414,2531,0.45259,0.49150
1990,Direct migration background,West,Regular Part-Time Employment,0.06622,142,2531,0.05653,0.07590
1990,Direct migration background,West,Vocational Training,0.01837,55,2531,0.01314,0.02361
1990,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.01040,31,2531,0.00645,0.01435
1990,Direct migration background,West,Not Employed,0.38854,889,2531,0.36954,0.40753
1990,Direct migration background,East,Full-Time Employment,0.50036,86,132,0.41474,0.58598
1990,Direct migration background,East,Not Employed,0.39212,46,132,0.30852,0.47573
1990,Indirect migration background,West,Full-Time Employment,0.05511,95,270,0.02784,0.08239
1990,Indirect migration background,West,Vocational Training,0.02414,47,270,0.00580,0.04248
1990,Indirect migration background,West,Not Employed,0.09465,128,270,0.05967,0.12964
1991,No migration background,West,Full-Time Employment,0.36099,2993,6620,0.34942,0.37256
1991,No migration background,West,Regular Part-Time Employment,0.06900,582,6620,0.06290,0.07511
1991,No migration background,West,Vocational Training,0.02724,250,6620,0.02332,0.03117
1991,No migration background,West,"Marginal, Irregular Part-Time Employment",0.02127,177,6620,0.01780,0.02475
1991,No migration background,West,Not Employed,0.36619,2618,6620,0.35458,0.37779
1991,No migration background,East,Full-Time Employment,0.44111,2384,3978,0.42568,0.45654
1991,No migration background,East,Regular Part-Time Employment,0.04019,223,3978,0.03408,0.04629
1991,No migration background,East,Vocational Training,0.02039,126,3978,0.01600,0.02478
1991,No migration background,East,Not Employed,0.30196,1245,3978,0.28769,0.31623
1991,Direct migration background,West,Full-Time Employment,0.48850,1406,2483,0.46884,0.50817
1991,Direct migration background,West,Regular Part-Time Employment,0.06182,146,2483,0.05235,0.07130
1991,Direct migration background,West,Vocational Training,0.02194,60,2483,0.01618,0.02770
1991,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.02061,44,2483,0.01502,0.02620
1991,Direct migration background,West,Not Employed,0.37305,827,2483,0.35402,0.39207
1991,Direct migration background,East,Full-Time Employment,0.39779,65,130,0.31333,0.48226
1991,Direct migration background,East,Not Employed,0.50868,65,130,0.42241,0.59495
1991,Indirect migration background,West,Full-Time Employment,0.06372,109,316,0.03674,0.09069
1991,Indirect migration background,West,Vocational Training,0.03931,73,316,0.01785,0.06077
1991,Indirect migration background,West,Not Employed,0.08320,134,316,0.05270,0.11370
1992,No migration background,West,Full-Time Employment,0.35711,2967,6538,0.34550,0.36873
1992,No migration background,West,Regular Part-Time Employment,0.07113,603,6538,0.06490,0.07736
1992,No migration background,West,Vocational Training,0.02226,198,6538,0.01868,0.02584
1992,No migration background,West,"Marginal, Irregular Part-Time Employment",0.01578,134,6538,0.01276,0.01880
1992,No migration background,West,Not Employed,0.37341,2636,6538,0.36169,0.38514
1992,No migration background,East,Full-Time Employment,0.39505,2052,3802,0.37951,0.41059
1992,No migration background,East,Regular Part-Time Employment,0.02805,154,3802,0.02280,0.03330
1992,No migration background,East,Vocational Training,0.02555,148,3802,0.02053,0.03056
1992,No migration background,East,Not Employed,0.36015,1448,3802,0.34489,0.37541
1992,Direct migration background,West,Full-Time Employment,0.48124,1311,2380,0.46116,0.50132
1992,Direct migration background,West,Regular Part-Time Employment,0.06941,155,2380,0.05920,0.07962
1992,Direct migration background,West,Vocational Training,0.02444,57,2380,0.01824,0.03065
1992,Direct migration background,West,Not Employed,0.39107,857,2380,0.37146,0.41068
1992,Direct migration background,East,Full-Time Employment,0.31171,52,138,0.23415,0.38928
1992,Direct migration background,East,Not Employed,0.63381,86,138,0.55313,0.71448
1992,Indirect migration background,West,Full-Time Employment,0.06986,121,365,0.04367,0.09604
1992,Indirect migration background,West,Vocational Training,0.04910,79,365,0.02691,0.07130
1992,Indirect migration background,West,Not Employed,0.11188,165,365,0.07950,0.14427
1993,No migration background,West,Full-Time Employment,0.35400,2935,6477,0.34236,0.36565
1993,No migration background,West,Regular Part-Time Employment,0.07180,595,6477,0.06551,0.07809
1993,No migration background,West,Vocational Training,0.02186,186,6477,0.01830,0.02543
1993,No migration background,West,"Marginal, Irregular Part-Time Employment",0.01876,155,6477,0.01546,0.02207
1993,No migration background,West,Not Employed,0.37124,2606,6477,0.35948,0.38301
1993,No migration background,East,Full-Time Employment,0.37197,1878,3662,0.35631,0.38762
1993,No migration background,East,Regular Part-Time Employment,0.02900,151,3662,0.02356,0.03443
1993,No migration background,East,Vocational Training,0.03255,168,3662,0.02681,0.03830
1993,No migration background,East,Not Employed,0.37323,1465,3662,0.35756,0.38890
1993,Direct migration background,West,Full-Time Employment,0.49359,1252,2325,0.47326,0.51392
1993,Direct migration background,West,Regular Part-Time Employment,0.06453,153,2325,0.05454,0.07452
1993,Direct migration background,West,Vocational Training,0.01927,46,2325,0.01368,0.02486
1993,Direct migration background,West,Not Employed,0.39882,874,2325,0.37891,0.41872
1993,Direct migration background,East,Full-Time Employment,0.26928,43,130,0.19273,0.34583
1993,Direct migration background,East,Not Employed,0.68416,87,130,0.60395,0.76438
1993,Indirect migration background,West,Full-Time Employment,0.08745,151,433,0.06081,0.11409
1993,Indirect migration background,West,Vocational Training,0.07172,104,433,0.04739,0.09605
1993,Indirect migration background,West,Not Employed,0.13373,178,433,0.10163,0.16583
1994,No migration background,West,Full-Time Employment,0.34697,2872,6409,0.33532,0.35863
1994,No migration background,West,Regular Part-Time Employment,0.06754,556,6409,0.06139,0.07368
1994,No migration background,West,Vocational Training,0.01834,153,6409,0.01506,0.02163
1994,No migration background,West,"Marginal, Irregular Part-Time Employment",0.02016,169,6409,0.01672,0.02361
1994,No migration background,West,Not Employed,0.38114,2659,6409,0.36925,0.39303
1994,No migration background,East,Full-Time Employment,0.36577,1795,3592,0.35001,0.38152
1994,No migration background,East,Regular Part-Time Employment,0.03355,170,3592,0.02766,0.03944
1994,No migration background,East,Vocational Training,0.03036,168,3592,0.02475,0.03597
1994,No migration background,East,Not Employed,0.38179,1459,3592,0.36590,0.39768
1994,Direct migration background,West,Full-Time Employment,0.44877,1105,2215,0.42805,0.46949
1994,Direct migration background,West,Regular Part-Time Employment,0.06216,134,2215,0.05210,0.07222
1994,Direct migration background,West,Vocational Training,0.01629,37,2215,0.01102,0.02156
1994,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.01934,31,2215,0.01360,0.02508
1994,Direct migration background,West,Not Employed,0.44235,908,2215,0.42166,0.46304
1994,Direct migration background,East,Full-Time Employment,0.26933,43,135,0.19421,0.34444
1994,Direct migration background,East,Not Employed,0.67649,92,135,0.59728,0.75570
1994,Indirect migration background,West,Full-Time Employment,0.09965,165,446,0.07182,0.12748
1994,Indirect migration background,West,Vocational Training,0.05673,88,446,0.03524,0.07822
1994,Indirect migration background,West,Not Employed,0.14708,193,446,0.11418,0.17999
1995,No migration background,West,Full-Time Employment,0.34372,2927,6465,0.33214,0.35530
1995,No migration background,West,Regular Part-Time Employment,0.06887,580,6465,0.06270,0.07505
1995,No migration background,West,Vocational Training,0.01844,164,6465,0.01516,0.02172
1995,No migration background,West,"Marginal, Irregular Part-Time Employment",0.02234,187,6465,0.01874,0.02594
1995,No migration background,West,Not Employed,0.37904,2607,6465,0.36722,0.39087
1995,No migration background,East,Full-Time Employment,0.36911,1757,3535,0.35320,0.38502
1995,No migration background,East,Regular Part-Time Employment,0.04067,202,3535,0.03416,0.04718
1995,No migration background,East,Vocational Training,0.02880,156,3535,0.02328,0.03431
1995,No migration background,East,"Marginal, Irregular Part-Time Employment",0.00738,32,3535,0.00456,0.01020
1995,No migration background,East,Not Employed,0.37658,1388,3535,0.36060,0.39255
1995,Direct migration background,West,Full-Time Employment,0.38750,1228,2638,0.36891,0.40610
1995,Direct migration background,West,Regular Part-Time Employment,0.05902,161,2638,0.05003,0.06802
1995,Direct migration background,West,Vocational Training,0.01674,48,2638,0.01184,0.02164
1995,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.02255,52,2638,0.01688,0.02822
1995,Direct migration background,West,Not Employed,0.45117,1149,2638,0.43218,0.47016
1995,Direct migration background,East,Full-Time Employment,0.29328,43,131,0.21501,0.37154
1995,Direct migration background,East,Not Employed,0.65019,88,131,0.56821,0.73217
1995,Indirect migration background,West,Full-Time Employment,0.09741,173,445,0.06983,0.12499
1995,Indirect migration background,West,Vocational Training,0.05191,78,445,0.03127,0.07255
1995,Indirect migration background,West,Not Employed,0.14423,194,445,0.11155,0.17690
1996,No migration background,West,Full-Time Employment,0.34173,2870,6382,0.33010,0.35337
1996,No migration background,West,Regular Part-Time Employment,0.07668,631,6382,0.07015,0.08321
1996,No migration background,West,Vocational Training,0.01653,145,6382,0.01340,0.01965
1996,No migration background,West,"Marginal, Irregular Part-Time Employment",0.02168,185,6382,0.01810,0.02525
1996,No migration background,West,Not Employed,0.37768,2551,6382,0.36578,0.38957
1996,No migration background,East,Full-Time Employment,0.35604,1687,3498,0.34017,0.37191
1996,No migration background,East,Regular Part-Time Employment,0.04318,206,3498,0.03644,0.04992
1996,No migration background,East,Vocational Training,0.02809,161,3498,0.02261,0.03356
1996,No migration background,East,Not Employed,0.39273,1444,3498,0.37655,0.40892
1996,Direct migration background,West,Full-Time Employment,0.37620,1100,2458,0.35705,0.39536
1996,Direct migration background,West,Regular Part-Time Employment,0.06965,187,2458,0.05958,0.07972
1996,Direct migration background,West,Vocational Training,0.01887,47,2458,0.01349,0.02425
1996,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.02263,43,2458,0.01675,0.02851
1996,Direct migration background,West,Not Employed,0.45300,1081,2458,0.43332,0.47268
1996,Direct migration background,East,Full-Time Employment,0.25614,40,130,0.18082,0.33147
1996,Direct migration background,East,Not Employed,0.69040,90,130,0.61062,0.77018
1996,Indirect migration background,West,Full-Time Employment,0.10204,192,484,0.07504,0.12903
1996,Indirect migration background,West,Vocational Training,0.05057,73,484,0.03103,0.07011
1996,Indirect migration background,West,Not Employed,0.15641,219,484,0.12401,0.18881
1997,No migration background,West,Full-Time Employment,0.33651,2796,6307,0.32485,0.34817
1997,No migration background,West,Regular Part-Time Employment,0.07351,603,6307,0.06707,0.07995
1997,No migration background,West,Vocational Training,0.01517,141,6307,0.01215,0.01819
1997,No migration background,West,"Marginal, Irregular Part-Time Employment",0.01955,177,6307,0.01614,0.02297
1997,No migration background,West,Not Employed,0.38869,2590,6307,0.37666,0.40072
1997,No migration background,East,Full-Time Employment,0.34950,1645,3484,0.33367,0.36534
1997,No migration background,East,Regular Part-Time Employment,0.04335,190,3484,0.03659,0.05011
1997,No migration background,East,Vocational Training,0.02540,151,3484,0.02017,0.03062
1997,No migration background,East,"Marginal, Irregular Part-Time Employment",0.00778,31,3484,0.00486,0.01069
1997,No migration background,East,Not Employed,0.40927,1467,3484,0.39294,0.42560
1997,Direct migration background,West,Full-Time Employment,0.38285,1041,2341,0.36316,0.40255
1997,Direct migration background,West,Regular Part-Time Employment,0.06997,156,2341,0.05964,0.08031
1997,Direct migration background,West,Vocational Training,0.01768,39,2341,0.01234,0.02302
1997,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.01828,38,2341,0.01285,0.02371
1997,Direct migration background,West,Not Employed,0.45460,1067,2341,0.43442,0.47478
1997,Direct migration background,East,Full-Time Employment,0.25613,37,123,0.17867,0.33359
1997,Direct migration background,East,Not Employed,0.70659,86,123,0.62579,0.78739
1997,Indirect migration background,West,Full-Time Employment,0.10987,198,533,0.08329,0.13644
1997,Indirect migration background,West,Regular Part-Time Employment,0.03759,38,533,0.02142,0.05375
1997,Indirect migration background,West,Vocational Training,0.06260,86,533,0.04202,0.08319
1997,Indirect migration background,West,Not Employed,0.15324,211,533,0.12263,0.18385
1998,No migration background,West,Full-Time Employment,0.33466,3269,7514,0.32399,0.34533
1998,No migration background,West,Regular Part-Time Employment,0.07619,719,7514,0.07019,0.08218
1998,No migration background,West,Vocational Training,0.01626,171,7514,0.01340,0.01912
1998,No migration background,West,"Marginal, Irregular Part-Time Employment",0.02030,218,7514,0.01711,0.02349
1998,No migration background,West,Not Employed,0.38995,3137,7514,0.37893,0.40098
1998,No migration background,East,Full-Time Employment,0.34283,1703,3721,0.32758,0.35808
1998,No migration background,East,Regular Part-Time Employment,0.04230,199,3721,0.03583,0.04877
1998,No migration background,East,Vocational Training,0.02933,168,3721,0.02391,0.03475
1998,No migration background,East,"Marginal, Irregular Part-Time Employment",0.00943,44,3721,0.00632,0.01253
1998,No migration background,East,Not Employed,0.41215,1607,3721,0.39634,0.42797
1998,Direct migration background,West,Full-Time Employment,0.39414,1002,2279,0.37407,0.41421
1998,Direct migration background,West,Regular Part-Time Employment,0.07179,157,2279,0.06119,0.08239
1998,Direct migration background,West,Vocational Training,0.02224,48,2279,0.01619,0.02830
1998,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.01296,32,2279,0.00831,0.01760
1998,Direct migration background,West,Not Employed,0.43985,1040,2279,0.41946,0.46023
1998,Direct migration background,East,Not Employed,0.73544,82,82,0.63937,0.83150
1998,Indirect migration background,West,Full-Time Employment,0.12994,214,559,0.10204,0.15783
1998,Indirect migration background,West,Regular Part-Time Employment,0.02388,31,559,0.01121,0.03655
1998,Indirect migration background,West,Vocational Training,0.05551,84,559,0.03651,0.07451
1998,Indirect migration background,West,Not Employed,0.17561,230,559,0.14404,0.20718
1999,No migration background,West,Full-Time Employment,0.33951,3181,7203,0.32857,0.35044
1999,No migration background,West,Regular Part-Time Employment,0.07385,707,7203,0.06781,0.07989
1999,No migration background,West,Vocational Training,0.01777,170,7203,0.01472,0.02082
1999,No migration background,West,"Marginal, Irregular Part-Time Employment",0.03182,301,7203,0.02777,0.03588
1999,No migration background,West,Not Employed,0.37513,2844,7203,0.36395,0.38631
1999,No migration background,East,Full-Time Employment,0.35113,1685,3651,0.33565,0.36662
1999,No migration background,East,Regular Part-Time Employment,0.04879,226,3651,0.04180,0.05578
1999,No migration background,East,Vocational Training,0.02641,153,3651,0.02121,0.03162
1999,No migration background,East,"Marginal, Irregular Part-Time Employment",0.01281,59,3651,0.00916,0.01646
1999,No migration background,East,Not Employed,0.40655,1528,3651,0.39061,0.42248
1999,Direct migration background,West,Full-Time Employment,0.39660,908,2093,0.37564,0.41757
1999,Direct migration background,West,Regular Part-Time Employment,0.07298,150,2093,0.06184,0.08413
1999,Direct migration background,West,Vocational Training,0.01608,35,2093,0.01069,0.02147
1999,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.03224,57,2093,0.02467,0.03981
1999,Direct migration background,West,Not Employed,0.42816,943,2093,0.40695,0.44936
1999,Direct migration background,East,Not Employed,0.69977,74,74,0.59462,0.80491
1999,Indirect migration background,West,Full-Time Employment,0.14737,238,533,0.11725,0.17749
1999,Indirect migration background,West,Vocational Training,0.05710,79,533,0.03738,0.07681
1999,Indirect migration background,West,Not Employed,0.16307,216,533,0.13168,0.19447
2000,No migration background,West,Full-Time Employment,0.34143,5941,14290,0.33366,0.34921
2000,No migration background,West,Regular Part-Time Employment,0.08236,1532,14290,0.07785,0.08687
2000,No migration background,West,Vocational Training,0.01613,314,14290,0.01406,0.01819
2000,No migration background,West,"Marginal, Irregular Part-Time Employment",0.03028,537,14290,0.02747,0.03309
2000,No migration background,West,Not Employed,0.37111,5966,14290,0.36319,0.37903
2000,No migration background,East,Full-Time Employment,0.33912,2450,5670,0.32679,0.35144
2000,No migration background,East,Regular Part-Time Employment,0.05101,363,5670,0.04529,0.05674
2000,No migration background,East,Vocational Training,0.02796,230,5670,0.02366,0.03225
2000,No migration background,East,"Marginal, Irregular Part-Time Employment",0.01766,100,5670,0.01423,0.02109
2000,No migration background,East,Not Employed,0.41259,2527,5670,0.39978,0.42541
2000,Direct migration background,West,Full-Time Employment,0.38179,1321,3153,0.36483,0.39875
2000,Direct migration background,West,Regular Part-Time Employment,0.08726,281,3153,0.07741,0.09712
2000,Direct migration background,West,Vocational Training,0.01576,57,3153,0.01141,0.02011
2000,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.03105,93,3153,0.02500,0.03711
2000,Direct migration background,West,Not Employed,0.40065,1401,3153,0.38354,0.41776
2000,Direct migration background,East,Full-Time Employment,0.20680,36,139,0.13923,0.27438
2000,Direct migration background,East,Not Employed,0.67848,103,139,0.60055,0.75641
2000,Indirect migration background,West,Full-Time Employment,0.14910,308,791,0.12426,0.17394
2000,Indirect migration background,West,Regular Part-Time Employment,0.03012,51,791,0.01820,0.04204
2000,Indirect migration background,West,Vocational Training,0.04327,86,791,0.02908,0.05746
2000,Indirect migration background,West,"Marginal, Irregular Part-Time Employment",0.01565,32,791,0.00700,0.02431
2000,Indirect migration background,West,Not Employed,0.16008,314,791,0.13451,0.18565
2001,No migration background,West,Full-Time Employment,0.33892,5312,12934,0.33077,0.34708
2001,No migration background,West,Regular Part-Time Employment,0.08350,1408,12934,0.07873,0.08827
2001,No migration background,West,Vocational Training,0.01781,301,12934,0.01553,0.02009
2001,No migration background,West,"Marginal, Irregular Part-Time Employment",0.03198,539,12934,0.02894,0.03501
2001,No migration background,West,Not Employed,0.37085,5374,12934,0.36253,0.37918
2001,No migration background,East,Full-Time Employment,0.33796,2245,5285,0.32521,0.35072
2001,No migration background,East,Regular Part-Time Employment,0.05337,351,5285,0.04731,0.05944
2001,No migration background,East,Vocational Training,0.02866,215,5285,0.02416,0.03316
2001,No migration background,East,"Marginal, Irregular Part-Time Employment",0.01778,105,5285,0.01422,0.02135
2001,No migration background,East,Not Employed,0.41868,2369,5285,0.40538,0.43198
2001,Direct migration background,West,Full-Time Employment,0.37635,1179,2790,0.35837,0.39433
2001,Direct migration background,West,Regular Part-Time Employment,0.08623,253,2790,0.07582,0.09665
2001,Direct migration background,West,Vocational Training,0.02591,68,2790,0.02001,0.03180
2001,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.02684,77,2790,0.02084,0.03284
2001,Direct migration background,West,Not Employed,0.41748,1213,2790,0.39918,0.43578
2001,Direct migration background,East,Not Employed,0.71394,86,86,0.61787,0.81002
2001,Indirect migration background,West,Full-Time Employment,0.15551,297,712,0.12887,0.18214
2001,Indirect migration background,West,Regular Part-Time Employment,0.02054,38,712,0.01011,0.03097
2001,Indirect migration background,West,Vocational Training,0.04241,85,712,0.02760,0.05722
2001,Indirect migration background,West,Not Employed,0.14367,292,712,0.11789,0.16945
2002,No migration background,West,Full-Time Employment,0.32767,5912,14152,0.31993,0.33540
2002,No migration background,West,Regular Part-Time Employment,0.08407,1641,14152,0.07950,0.08864
2002,No migration background,West,Vocational Training,0.01786,325,14152,0.01568,0.02004
2002,No migration background,West,"Marginal, Irregular Part-Time Employment",0.03273,593,14152,0.02980,0.03566
2002,No migration background,West,Not Employed,0.38063,5681,14152,0.37263,0.38863
2002,No migration background,East,Full-Time Employment,0.31805,2216,5286,0.30549,0.33060
2002,No migration background,East,Regular Part-Time Employment,0.05382,347,5286,0.04773,0.05990
2002,No migration background,East,Vocational Training,0.03176,211,5286,0.02703,0.03649
2002,No migration background,East,"Marginal, Irregular Part-Time Employment",0.01749,112,5286,0.01395,0.02102
2002,No migration background,East,Not Employed,0.44170,2400,5286,0.42831,0.45509
2002,Direct migration background,West,Full-Time Employment,0.36731,1102,2677,0.34904,0.38558
2002,Direct migration background,West,Regular Part-Time Employment,0.08429,235,2677,0.07377,0.09482
2002,Direct migration background,West,Vocational Training,0.02714,61,2677,0.02099,0.03330
2002,Direct migration background,West,"Marginal, Irregular Part-Time Employment",0.03572,93,2677,0.02868,0.04275
2002,Direct migration background,West,Not Employed,0.42617,1186,2677,0.40743,0.44491
2002,Direct migration background,East,Not Employed,0.78514,87,87,0.69834,0.87195
2002,Indirect migration background,West,Full-Time Employment,0.14113,292,714,0.11557,0.16668
2002,Indirect migration background,West,Regular Part-Time Employment,0.03021,54,714,0.01764,0.04277
2002,Indirect migration background,West,Vocational Training,0.04716,77,714,0.03160,0.06272
2002,Indirect migration background,West,Not Employed,0.14799,291,714,0.12192,0.17405
2003,No migration background,West,Full-Time Employment,0.32350,5499,13546,0.31562,0.33138
2003,No migration background,West,Regular Part-Time Employment,0.08383,1569,13546,0.07917,0.08850
2003,No migration background,West,Vocational Training,0.01662,311,13546,0.01447,0.01877
2003,No migration background,West,"Marginal, Irregular Part-Time Employment",0.03467,595,13546,0.03159,0.03775
2003,No migration background,West,Not Employed,0.38487,5572,13546,0.37667,0.39306
2003,No migration background,East,Full-Time Employment,0.30614,2068,5201,0.29362,0.31867
2003,No migration background,East,Regular Part-Time Employment,0.05942,384,5201,0.05299,0.06584
2003,No migration background,East,Vocational Training,0.02497,176,5201,0.02073,0.02921
2003,No migration background,East,"Marginal, Irregular Part-Time Employment",0.02252,134,5201,0.01849,0.02655
2003,No migration background,East,Not Employed,0.45430,2439,5201,0.44077,0.46783
2003,Direct migration background,West,Full-Time Employment,0.34799,978,2510,0.32935,0.36663
