year,pgisced97,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Lower Secondary Level,Full-Time Employment,0.23384,954,2985,0.21866,0.24903
1990,Lower Secondary Level,Regular Part-Time Employment,0.07460,221,2985,0.06517,0.08403
1990,Lower Secondary Level,Vocational Training,0.09018,340,2985,0.07991,0.10046
1990,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.01687,44,2985,0.01225,0.02149
1990,Lower Secondary Level,Not Employed,0.58450,1426,2985,0.56682,0.60218
1990,Upper Secondary Level,Full-Time Employment,0.51757,4093,7068,0.50592,0.52922
1990,Upper Secondary Level,Regular Part-Time Employment,0.08637,658,7068,0.07982,0.09292
1990,Upper Secondary Level,Vocational Training,0.01394,98,7068,0.01120,0.01667
1990,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01420,92,7068,0.01144,0.01696
1990,Upper Secondary Level,Not Employed,0.36792,2127,7068,0.35667,0.37916
1990,Post-secondary Non-tertiary Level,Full-Time Employment,0.53293,208,330,0.47902,0.58685
1990,Post-secondary Non-tertiary Level,Not Employed,0.34459,122,330,0.29324,0.39594
1990,First Stage of Tertiary Education,Full-Time Employment,0.59139,510,757,0.55635,0.62643
1990,First Stage of Tertiary Education,Regular Part-Time Employment,0.06146,48,757,0.04434,0.07859
1990,First Stage of Tertiary Education,Not Employed,0.33212,199,757,0.29855,0.36570
1990,Second Stage of Tertiary Education,Full-Time Employment,0.69653,1257,1675,0.67450,0.71855
1990,Second Stage of Tertiary Education,Regular Part-Time Employment,0.08051,127,1675,0.06747,0.09354
1990,Second Stage of Tertiary Education,Not Employed,0.20944,291,1675,0.18995,0.22893
1991,No answer / don't know,Full-Time Employment,0.32629,77,143,0.24917,0.40341
1991,No answer / don't know,Not Employed,0.41334,66,143,0.33235,0.49434
1991,Pre-primary Level,Not Employed,0.88434,141,141,0.83137,0.93732
1991,Primary Level,Full-Time Employment,0.42246,289,642,0.38422,0.46070
1991,Primary Level,Regular Part-Time Employment,0.04864,42,642,0.03199,0.06529
1991,Primary Level,Not Employed,0.49988,311,642,0.46118,0.53859
1991,Lower Secondary Level,Full-Time Employment,0.23079,905,2858,0.21534,0.24624
1991,Lower Secondary Level,Regular Part-Time Employment,0.07333,195,2858,0.06378,0.08289
1991,Lower Secondary Level,Vocational Training,0.08334,310,2858,0.07321,0.09348
1991,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.01870,54,2858,0.01374,0.02367
1991,Lower Secondary Level,Not Employed,0.59383,1394,2858,0.57582,0.61184
1991,Upper Secondary Level,Full-Time Employment,0.49678,3800,6911,0.48499,0.50857
1991,Upper Secondary Level,Regular Part-Time Employment,0.07697,552,6911,0.07069,0.08326
1991,Upper Secondary Level,Vocational Training,0.01663,127,6911,0.01361,0.01964
1991,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02095,121,6911,0.01758,0.02433
1991,Upper Secondary Level,Not Employed,0.38866,2311,6911,0.37717,0.40016
1991,Post-secondary Non-tertiary Level,Full-Time Employment,0.56323,225,334,0.50996,0.61650
1991,Post-secondary Non-tertiary Level,Not Employed,0.30659,109,334,0.25706,0.35611
1991,First Stage of Tertiary Education,Full-Time Employment,0.58470,484,738,0.54913,0.62028
1991,First Stage of Tertiary Education,Regular Part-Time Employment,0.07184,54,738,0.05319,0.09048
1991,First Stage of Tertiary Education,Not Employed,0.32315,200,738,0.28938,0.35691
1991,Second Stage of Tertiary Education,Full-Time Employment,0.65286,1179,1649,0.62987,0.67584
1991,Second Stage of Tertiary Education,Regular Part-Time Employment,0.07824,112,1649,0.06527,0.09121
1991,Second Stage of Tertiary Education,Not Employed,0.24654,358,1649,0.22573,0.26734
1992,No answer / don't know,Full-Time Employment,0.33660,79,153,0.26148,0.41173
1992,No answer / don't know,Not Employed,0.43573,74,153,0.35690,0.51456
1992,Pre-primary Level,Not Employed,0.89247,169,169,0.84563,0.93932
1992,Primary Level,Full-Time Employment,0.40049,258,616,0.36176,0.43922
1992,Primary Level,Regular Part-Time Employment,0.03713,35,616,0.02219,0.05208
1992,Primary Level,Not Employed,0.54081,323,616,0.50142,0.58019
1992,Lower Secondary Level,Full-Time Employment,0.22407,842,2759,0.20851,0.23963
1992,Lower Secondary Level,Regular Part-Time Employment,0.07238,193,2759,0.06271,0.08205
1992,Lower Secondary Level,Vocational Training,0.08372,317,2759,0.07338,0.09405
1992,Lower Secondary Level,Not Employed,0.60933,1407,2759,0.59112,0.62754
1992,Upper Secondary Level,Full-Time Employment,0.47507,3523,6721,0.46313,0.48701
1992,Upper Secondary Level,Regular Part-Time Employment,0.07700,518,6721,0.07062,0.08337
1992,Upper Secondary Level,Vocational Training,0.01496,107,6721,0.01206,0.01786
1992,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01347,96,6721,0.01071,0.01623
1992,Upper Secondary Level,Not Employed,0.41950,2477,6721,0.40770,0.43130
1992,Post-secondary Non-tertiary Level,Full-Time Employment,0.50053,200,337,0.44706,0.55399
1992,Post-secondary Non-tertiary Level,Not Employed,0.36541,137,337,0.31392,0.41690
1992,First Stage of Tertiary Education,Full-Time Employment,0.57485,481,746,0.53935,0.61035
1992,First Stage of Tertiary Education,Regular Part-Time Employment,0.06627,52,746,0.04841,0.08413
1992,First Stage of Tertiary Education,Not Employed,0.32829,213,746,0.29456,0.36201
1992,Second Stage of Tertiary Education,Full-Time Employment,0.64005,1121,1628,0.61672,0.66337
1992,Second Stage of Tertiary Education,Regular Part-Time Employment,0.07855,108,1628,0.06548,0.09163
1992,Second Stage of Tertiary Education,Not Employed,0.26318,399,1628,0.24179,0.28458
1993,No answer / don't know,Full-Time Employment,0.32249,78,188,0.25550,0.38949
1993,No answer / don't know,Vocational Training,0.21313,37,188,0.15444,0.27183
1993,No answer / don't know,Not Employed,0.36966,73,188,0.30047,0.43884
1993,Pre-primary Level,Not Employed,0.94468,174,174,0.91062,0.97875
1993,Primary Level,Full-Time Employment,0.39361,246,595,0.35432,0.43290
1993,Primary Level,Regular Part-Time Employment,0.04495,40,595,0.02829,0.06161
1993,Primary Level,Not Employed,0.52228,309,595,0.48211,0.56245
1993,Lower Secondary Level,Full-Time Employment,0.22608,802,2678,0.21024,0.24193
1993,Lower Secondary Level,Regular Part-Time Employment,0.07249,184,2678,0.06266,0.08231
1993,Lower Secondary Level,Vocational Training,0.08175,293,2678,0.07137,0.09213
1993,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.01641,33,2678,0.01160,0.02122
1993,Lower Secondary Level,Not Employed,0.60327,1366,2678,0.58474,0.62180
1993,Upper Secondary Level,Full-Time Employment,0.46477,3391,6664,0.45280,0.47675
1993,Upper Secondary Level,Regular Part-Time Employment,0.07382,487,6664,0.06754,0.08009
1993,Upper Secondary Level,Vocational Training,0.01695,137,6664,0.01385,0.02005
1993,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01734,111,6664,0.01421,0.02048
1993,Upper Secondary Level,Not Employed,0.42712,2538,6664,0.41524,0.43900
1993,Post-secondary Non-tertiary Level,Full-Time Employment,0.51707,206,336,0.46356,0.57058
1993,Post-secondary Non-tertiary Level,Not Employed,0.32317,130,336,0.27308,0.37325
1993,First Stage of Tertiary Education,Full-Time Employment,0.55437,445,723,0.51811,0.59062
1993,First Stage of Tertiary Education,Regular Part-Time Employment,0.06567,52,723,0.04760,0.08374
1993,First Stage of Tertiary Education,Not Employed,0.35061,226,723,0.31581,0.38542
1993,Second Stage of Tertiary Education,Full-Time Employment,0.62524,1093,1609,0.60158,0.64890
1993,Second Stage of Tertiary Education,Regular Part-Time Employment,0.08055,117,1609,0.06725,0.09385
1993,Second Stage of Tertiary Education,Not Employed,0.27475,399,1609,0.25294,0.29657
1994,No answer / don't know,Full-Time Employment,0.41829,92,204,0.35044,0.48615
1994,No answer / don't know,Vocational Training,0.13555,31,204,0.08846,0.18264
1994,No answer / don't know,Not Employed,0.33347,81,204,0.26861,0.39832
1994,Pre-primary Level,Not Employed,0.96125,228,228,0.93615,0.98636
1994,Primary Level,Full-Time Employment,0.35988,212,537,0.31925,0.40051
1994,Primary Level,Regular Part-Time Employment,0.05044,36,537,0.03191,0.06897
1994,Primary Level,Not Employed,0.54993,289,537,0.50781,0.59205
1994,Lower Secondary Level,Full-Time Employment,0.20483,688,2492,0.18898,0.22068
1994,Lower Secondary Level,Regular Part-Time Employment,0.06374,159,2492,0.05415,0.07333
1994,Lower Secondary Level,Vocational Training,0.07099,242,2492,0.06090,0.08107
1994,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.01873,43,2492,0.01341,0.02406
1994,Lower Secondary Level,Not Employed,0.64171,1360,2492,0.62288,0.66054
1994,Upper Secondary Level,Full-Time Employment,0.44992,3238,6568,0.43789,0.46195
1994,Upper Secondary Level,Regular Part-Time Employment,0.07472,479,6568,0.06836,0.08108
1994,Upper Secondary Level,Vocational Training,0.01618,131,6568,0.01312,0.01923
1994,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01699,122,6568,0.01386,0.02011
1994,Upper Secondary Level,Not Employed,0.44219,2598,6568,0.43018,0.45421
1994,Post-secondary Non-tertiary Level,Full-Time Employment,0.51326,207,342,0.46021,0.56632
1994,Post-secondary Non-tertiary Level,Not Employed,0.33232,135,342,0.28233,0.38232
1994,First Stage of Tertiary Education,Full-Time Employment,0.54352,449,727,0.50729,0.57976
1994,First Stage of Tertiary Education,Regular Part-Time Employment,0.06778,49,727,0.04950,0.08607
1994,First Stage of Tertiary Education,Not Employed,0.35647,229,727,0.32163,0.39131
1994,Second Stage of Tertiary Education,Full-Time Employment,0.62026,1097,1616,0.59659,0.64393
1994,Second Stage of Tertiary Education,Regular Part-Time Employment,0.07466,122,1616,0.06184,0.08748
1994,Second Stage of Tertiary Education,Not Employed,0.27475,397,1616,0.25298,0.29652
1995,No answer / don't know,Full-Time Employment,0.33660,103,219,0.27387,0.39933
1995,No answer / don't know,Not Employed,0.48949,116,219,0.42313,0.55585
1995,Pre-primary Level,Not Employed,0.94574,274,274,0.91887,0.97261
1995,Primary Level,Full-Time Employment,0.33949,189,517,0.29863,0.38035
1995,Primary Level,Regular Part-Time Employment,0.04869,33,517,0.03012,0.06726
1995,Primary Level,Not Employed,0.56085,295,517,0.51803,0.60367
1995,Lower Secondary Level,Full-Time Employment,0.20314,693,2492,0.18734,0.21894
1995,Lower Secondary Level,Regular Part-Time Employment,0.05079,136,2492,0.04217,0.05941
1995,Lower Secondary Level,Vocational Training,0.07617,255,2492,0.06575,0.08659
1995,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02640,71,2492,0.02010,0.03269
1995,Lower Secondary Level,Not Employed,0.64350,1337,2492,0.62470,0.66231
1995,Upper Secondary Level,Full-Time Employment,0.44119,3286,6726,0.42932,0.45306
1995,Upper Secondary Level,Regular Part-Time Employment,0.07891,545,6726,0.07246,0.08535
1995,Upper Secondary Level,Vocational Training,0.01526,129,6726,0.01233,0.01819
1995,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02192,145,6726,0.01842,0.02542
1995,Upper Secondary Level,Not Employed,0.44273,2621,6726,0.43086,0.45460
1995,Post-secondary Non-tertiary Level,Full-Time Employment,0.50644,248,447,0.46004,0.55284
1995,Post-secondary Non-tertiary Level,Regular Part-Time Employment,0.08205,35,447,0.05658,0.10752
1995,Post-secondary Non-tertiary Level,Not Employed,0.35694,164,447,0.31248,0.40141
1995,First Stage of Tertiary Education,Full-Time Employment,0.53704,464,735,0.50097,0.57311
1995,First Stage of Tertiary Education,Regular Part-Time Employment,0.07504,57,735,0.05598,0.09409
1995,First Stage of Tertiary Education,Not Employed,0.36347,214,735,0.32867,0.39826
1995,Second Stage of Tertiary Education,Full-Time Employment,0.60863,1148,1716,0.58554,0.63173
1995,Second Stage of Tertiary Education,Regular Part-Time Employment,0.09557,159,1716,0.08165,0.10948
1995,Second Stage of Tertiary Education,Not Employed,0.26962,409,1716,0.24862,0.29062
1996,No answer / don't know,Full-Time Employment,0.31068,92,236,0.25151,0.36985
1996,No answer / don't know,Vocational Training,0.12886,31,236,0.08602,0.17169
1996,No answer / don't know,Not Employed,0.47488,113,236,0.41103,0.53873
1996,Pre-primary Level,Not Employed,0.96231,283,283,0.94008,0.98453
1996,Primary Level,Full-Time Employment,0.33905,167,475,0.29643,0.38167
1996,Primary Level,Regular Part-Time Employment,0.07271,35,475,0.04934,0.09609
1996,Primary Level,Not Employed,0.55311,273,475,0.50835,0.59787
1996,Lower Secondary Level,Full-Time Employment,0.18864,619,2385,0.17294,0.20434
1996,Lower Secondary Level,Regular Part-Time Employment,0.05520,145,2385,0.04604,0.06437
1996,Lower Secondary Level,Vocational Training,0.08071,256,2385,0.06978,0.09165
1996,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02543,60,2385,0.01911,0.03175
1996,Lower Secondary Level,Not Employed,0.65001,1305,2385,0.63086,0.66915
1996,Upper Secondary Level,Full-Time Employment,0.43354,3160,6618,0.42160,0.44548
1996,Upper Secondary Level,Regular Part-Time Employment,0.08627,586,6618,0.07951,0.09304
1996,Upper Secondary Level,Vocational Training,0.01241,115,6618,0.00974,0.01508
1996,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02067,141,6618,0.01724,0.02409
1996,Upper Secondary Level,Not Employed,0.44711,2616,6618,0.43513,0.45909
1996,Post-secondary Non-tertiary Level,Full-Time Employment,0.51369,251,451,0.46751,0.55987
1996,Post-secondary Non-tertiary Level,Regular Part-Time Employment,0.10730,44,451,0.07870,0.13589
1996,Post-secondary Non-tertiary Level,Not Employed,0.32209,156,451,0.27891,0.36526
1996,First Stage of Tertiary Education,Full-Time Employment,0.53206,465,745,0.49620,0.56791
1996,First Stage of Tertiary Education,Regular Part-Time Employment,0.08970,68,745,0.06916,0.11023
1996,First Stage of Tertiary Education,Not Employed,0.35335,212,745,0.31900,0.38770
1996,Second Stage of Tertiary Education,Full-Time Employment,0.59802,1141,1733,0.57493,0.62111
1996,Second Stage of Tertiary Education,Regular Part-Time Employment,0.09952,157,1733,0.08542,0.11362
1996,Second Stage of Tertiary Education,Not Employed,0.28012,435,1733,0.25897,0.30127
1997,No answer / don't know,Full-Time Employment,0.28308,88,241,0.22609,0.34008
1997,No answer / don't know,Vocational Training,0.17811,41,241,0.12970,0.22652
1997,No answer / don't know,Not Employed,0.46414,112,241,0.40105,0.52724
1997,Pre-primary Level,Not Employed,0.95801,303,303,0.93539,0.98063
1997,Primary Level,Full-Time Employment,0.32667,144,449,0.28324,0.37010
1997,Primary Level,Regular Part-Time Employment,0.05879,32,449,0.03701,0.08058
1997,Primary Level,Not Employed,0.58188,273,449,0.53621,0.62756
1997,Lower Secondary Level,Full-Time Employment,0.19241,588,2329,0.17640,0.20843
1997,Lower Secondary Level,Regular Part-Time Employment,0.05673,141,2329,0.04733,0.06612
1997,Lower Secondary Level,Vocational Training,0.07753,259,2329,0.06666,0.08839
1997,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.01362,37,2329,0.00891,0.01833
1997,Lower Secondary Level,Not Employed,0.65971,1304,2329,0.64046,0.67896
1997,Upper Secondary Level,Full-Time Employment,0.41638,3032,6481,0.40437,0.42838
1997,Upper Secondary Level,Regular Part-Time Employment,0.08452,545,6481,0.07774,0.09129
1997,Upper Secondary Level,Vocational Training,0.01010,93,6481,0.00767,0.01253
