year,hhtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1990,Andere Zusammenstellungen,,,,,,,,,,,,
1991,Einpersonenhaushalt,,,,,,,,,,,,
1991,Paar ohne Kinder,,,,,,,,,,,,
1991,Alleinerziehend,,,,,,,,,,,,
1991,Paar mit Kindern,,,,,,,,,,,,
1991,Mehrgenerationenhaushalt,,,,,,,,,,,,
1991,Andere Zusammenstellungen,,,,,,,,,,,,
1992,Einpersonenhaushalt,,,,,,,,,,,,
1992,Paar ohne Kinder,,,,,,,,,,,,
1992,Alleinerziehend,,,,,,,,,,,,
1992,Paar mit Kindern,,,,,,,,,,,,
1992,Mehrgenerationenhaushalt,,,,,,,,,,,,
1992,Andere Zusammenstellungen,,,,,,,,,,,,
1993,Einpersonenhaushalt,,,,,,,,,,,,
1993,Paar ohne Kinder,,,,,,,,,,,,
1993,Alleinerziehend,,,,,,,,,,,,
1993,Paar mit Kindern,,,,,,,,,,,,
1993,Mehrgenerationenhaushalt,,,,,,,,,,,,
1993,Andere Zusammenstellungen,,,,,,,,,,,,
1994,Einpersonenhaushalt,,,,,,,,,,,,
1994,Paar ohne Kinder,,,,,,,,,,,,
1994,Alleinerziehend,,,,,,,,,,,,
1994,Paar mit Kindern,,,,,,,,,,,,
1994,Mehrgenerationenhaushalt,,,,,,,,,,,,
1994,Andere Zusammenstellungen,,,,,,,,,,,,
1995,Einpersonenhaushalt,,,,,,,,,,,,
1995,Paar ohne Kinder,,,,,,,,,,,,
1995,Alleinerziehend,,,,,,,,,,,,
1995,Paar mit Kindern,,,,,,,,,,,,
1995,Mehrgenerationenhaushalt,,,,,,,,,,,,
1995,Andere Zusammenstellungen,,,,,,,,,,,,
1996,Einpersonenhaushalt,,,,,,,,,,,,
1996,Paar ohne Kinder,,,,,,,,,,,,
1996,Alleinerziehend,,,,,,,,,,,,
1996,Paar mit Kindern,,,,,,,,,,,,
1996,Mehrgenerationenhaushalt,,,,,,,,,,,,
1996,Andere Zusammenstellungen,,,,,,,,,,,,
1997,Einpersonenhaushalt,,,,,,,,,,,,
1997,Paar ohne Kinder,,,,,,,,,,,,
1997,Alleinerziehend,,,,,,,,,,,,
1997,Paar mit Kindern,,,,,,,,,,,,
1997,Mehrgenerationenhaushalt,,,,,,,,,,,,
1997,Andere Zusammenstellungen,,,,,,,,,,,,
1998,Einpersonenhaushalt,,,,,,,,,,,,
1998,Paar ohne Kinder,,,,,,,,,,,,
1998,Alleinerziehend,,,,,,,,,,,,
1998,Paar mit Kindern,,,,,,,,,,,,
1998,Mehrgenerationenhaushalt,,,,,,,,,,,,
1998,Andere Zusammenstellungen,,,,,,,,,,,,
1999,Einpersonenhaushalt,,,,,,,,,,,,
1999,Paar ohne Kinder,,,,,,,,,,,,
1999,Alleinerziehend,,,,,,,,,,,,
1999,Paar mit Kindern,,,,,,,,,,,,
1999,Mehrgenerationenhaushalt,,,,,,,,,,,,
1999,Andere Zusammenstellungen,,,,,,,,,,,,
2000,Einpersonenhaushalt,,,,,,,,,,,,
2000,Paar ohne Kinder,,,,,,,,,,,,
2000,Alleinerziehend,,,,,,,,,,,,
2000,Paar mit Kindern,,,,,,,,,,,,
2000,Mehrgenerationenhaushalt,,,,,,,,,,,,
2000,Andere Zusammenstellungen,,,,,,,,,,,,
2001,Einpersonenhaushalt,,,,,,,,,,,,
2001,Paar ohne Kinder,,,,,,,,,,,,
2001,Alleinerziehend,,,,,,,,,,,,
2001,Paar mit Kindern,,,,,,,,,,,,
2001,Mehrgenerationenhaushalt,,,,,,,,,,,,
2001,Andere Zusammenstellungen,,,,,,,,,,,,
2002,Einpersonenhaushalt,,,,,,,,,,,,
2002,Paar ohne Kinder,,,,,,,,,,,,
2002,Alleinerziehend,,,,,,,,,,,,
2002,Paar mit Kindern,,,,,,,,,,,,
2002,Mehrgenerationenhaushalt,,,,,,,,,,,,
2002,Andere Zusammenstellungen,,,,,,,,,,,,
2003,Einpersonenhaushalt,,,,,,,,,,,,
2003,Paar ohne Kinder,,,,,,,,,,,,
2003,Alleinerziehend,,,,,,,,,,,,
2003,Paar mit Kindern,,,,,,,,,,,,
2003,Mehrgenerationenhaushalt,,,,,,,,,,,,
2003,Andere Zusammenstellungen,,,,,,,,,,,,
2004,Einpersonenhaushalt,,,,,,,,,,,,
2004,Paar ohne Kinder,,,,,,,,,,,,
2004,Alleinerziehend,,,,,,,,,,,,
2004,Paar mit Kindern,,,,,,,,,,,,
2004,Mehrgenerationenhaushalt,,,,,,,,,,,,
2004,Andere Zusammenstellungen,,,,,,,,,,,,
2005,Einpersonenhaushalt,,,,,,,,,,,,
2005,Paar ohne Kinder,,,,,,,,,,,,
2005,Alleinerziehend,,,,,,,,,,,,
2005,Paar mit Kindern,,,,,,,,,,,,
2005,Mehrgenerationenhaushalt,,,,,,,,,,,,
2005,Andere Zusammenstellungen,,,,,,,,,,,,
2006,Einpersonenhaushalt,,,,,,,,,,,,
2006,Paar ohne Kinder,,,,,,,,,,,,
2006,Alleinerziehend,,,,,,,,,,,,
2006,Paar mit Kindern,,,,,,,,,,,,
2006,Mehrgenerationenhaushalt,,,,,,,,,,,,
2006,Andere Zusammenstellungen,,,,,,,,,,,,
2007,Einpersonenhaushalt,,,,,,,,,,,,
2007,Paar ohne Kinder,,,,,,,,,,,,
2007,Alleinerziehend,,,,,,,,,,,,
2007,Paar mit Kindern,,,,,,,,,,,,
2007,Mehrgenerationenhaushalt,,,,,,,,,,,,
2007,Andere Zusammenstellungen,,,,,,,,,,,,
2008,Einpersonenhaushalt,,,,,,,,,,,,
2008,Paar ohne Kinder,,,,,,,,,,,,
2008,Alleinerziehend,,,,,,,,,,,,
2008,Paar mit Kindern,,,,,,,,,,,,
2008,Mehrgenerationenhaushalt,,,,,,,,,,,,
2008,Andere Zusammenstellungen,,,,,,,,,,,,
2009,Einpersonenhaushalt,,,,,,,,,,,,
2009,Paar ohne Kinder,,,,,,,,,,,,
2009,Alleinerziehend,,,,,,,,,,,,
2009,Paar mit Kindern,,,,,,,,,,,,
2009,Mehrgenerationenhaushalt,,,,,,,,,,,,
2009,Andere Zusammenstellungen,,,,,,,,,,,,
2010,Einpersonenhaushalt,,,,,,,,,,,,
2010,Paar ohne Kinder,,,,,,,,,,,,
2010,Alleinerziehend,,,,,,,,,,,,
2010,Paar mit Kindern,,,,,,,,,,,,
2010,Mehrgenerationenhaushalt,,,,,,,,,,,,
2010,Andere Zusammenstellungen,,,,,,,,,,,,
2011,Einpersonenhaushalt,,,,,,,,,,,,
2011,Paar ohne Kinder,,,,,,,,,,,,
2011,Alleinerziehend,,,,,,,,,,,,
2011,Paar mit Kindern,,,,,,,,,,,,
2011,Mehrgenerationenhaushalt,,,,,,,,,,,,
2011,Andere Zusammenstellungen,,,,,,,,,,,,
2012,Einpersonenhaushalt,,,,,,,,,,,,
2012,Paar ohne Kinder,,,,,,,,,,,,
2012,Alleinerziehend,,,,,,,,,,,,
2012,Paar mit Kindern,,,,,,,,,,,,
2012,Mehrgenerationenhaushalt,,,,,,,,,,,,
2012,Andere Zusammenstellungen,,,,,,,,,,,,
2013,Einpersonenhaushalt,,,,,,,,,,,,
2013,Paar ohne Kinder,,,,,,,,,,,,
2013,Alleinerziehend,,,,,,,,,,,,
2013,Paar mit Kindern,,,,,,,,,,,,
2013,Mehrgenerationenhaushalt,,,,,,,,,,,,
2013,Andere Zusammenstellungen,,,,,,,,,,,,
2014,Einpersonenhaushalt,,,,,,,,,,,,
2014,Paar ohne Kinder,,,,,,,,,,,,
2014,Alleinerziehend,,,,,,,,,,,,
2014,Paar mit Kindern,,,,,,,,,,,,
2014,Mehrgenerationenhaushalt,,,,,,,,,,,,
2014,Andere Zusammenstellungen,,,,,,,,,,,,
2015,Einpersonenhaushalt,,,,,,,,,,,,
2015,Paar ohne Kinder,,,,,,,,,,,,
2015,Alleinerziehend,,,,,,,,,,,,
2015,Paar mit Kindern,,,,,,,,,,,,
2015,Mehrgenerationenhaushalt,,,,,,,,,,,,
2015,Andere Zusammenstellungen,,,,,,,,,,,,
2016,Einpersonenhaushalt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,103.0
2016,Paar ohne Kinder,1.059369174126019,1.0434147505684306,1.0753235976836073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,198.0
2016,Alleinerziehend,1.0255495037184705,1.006197804509342,1.044901202927599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0
2016,Paar mit Kindern,1.1519176196442644,1.1238056950917652,1.1800295441967636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,150.0
2016,Mehrgenerationenhaushalt,,,,,,,,,,,,
2016,Andere Zusammenstellungen,1.009834828310553,0.9950120086753199,1.024657647945786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0
2017,Einpersonenhaushalt,1.006917825897823,0.999510494234203,1.0143251575614431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.0
2017,Paar ohne Kinder,1.0625390595818118,1.047030747607904,1.0780473715557197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,220.0
2017,Alleinerziehend,1.0456125797989608,1.0227251173481933,1.0685000422497284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0
2017,Paar mit Kindern,1.0796259425608496,1.0565074329398427,1.1027444521818566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,228.0
2017,Mehrgenerationenhaushalt,1.0662204389708714,1.0288686145773018,1.103572263364441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0
2017,Andere Zusammenstellungen,1.018324309081803,0.9971695378227835,1.0394790803408227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0
2018,Einpersonenhaushalt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,138.0
2018,Paar ohne Kinder,1.0735107444258143,1.057573562644321,1.0894479262073076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,242.0
2018,Alleinerziehend,1.0891124015737719,1.0602598824291432,1.1179649207184006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.0
2018,Paar mit Kindern,1.093962685974325,1.0719676620764558,1.1159577098721942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,272.0
2018,Mehrgenerationenhaushalt,1.0297130902744391,1.0077622715758559,1.0516639089730224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,54.0
2018,Andere Zusammenstellungen,1.025109838725069,1.0043236492356715,1.0458960282144665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.0
2019,Einpersonenhaushalt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125.0
2019,Paar ohne Kinder,1.0853122958719108,1.068980728539007,1.1016438632048147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,274.0
2019,Alleinerziehend,1.0998922401436648,1.0693516722666632,1.1304328080206665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.0
2019,Paar mit Kindern,1.0913952967580007,1.0680112070042056,1.1147793865117959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,247.0
2019,Mehrgenerationenhaushalt,1.204920040896901,1.1064813504658744,1.3033587313279276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0
2019,Andere Zusammenstellungen,1.0295652929717147,1.003444527313552,1.0556860586298775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57.0
2020,Einpersonenhaushalt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0
2020,Paar ohne Kinder,1.0790596168464488,1.0629436466374014,1.0951755870554962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,253.0
2020,Alleinerziehend,1.05454658275091,1.0314169987969986,1.0776761667048214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.0
2020,Paar mit Kindern,1.0798854350973965,1.0626578025123714,1.0971130676824217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,247.0
2020,Mehrgenerationenhaushalt,1.2622725969248743,1.1479186253250313,1.3766265685247172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0
2020,Andere Zusammenstellungen,1.0275340373531685,1.0072959366385643,1.0477721380677727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0
2021,Einpersonenhaushalt,1.0056163420955062,0.9945298962837006,1.0167027879073118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101.0
2021,Paar ohne Kinder,1.0943772915109957,1.0749794198565432,1.1137751631654482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,205.0
2021,Alleinerziehend,1.0676227947856645,1.0380352240971877,1.0972103654741412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0
2021,Paar mit Kindern,1.0404557699133363,1.0267807314099964,1.0541308084166763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,228.0
2021,Mehrgenerationenhaushalt,,,,,,,,,,,,
2021,Andere Zusammenstellungen,1.021817738288576,1.0027543354178803,1.0408811411592718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0
