,Unnamed: 0,year,migback,sampreg,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
99,99,1999,No migration background,West,Yes,0.03995,275,13582,0.03704,0.04296
100,100,1999,No migration background,West,No,0.96005,6922,13582,0.94503,0.97424
101,101,1999,No migration background,East,Yes,0.11534,427,13582,0.10801,0.12255
102,102,1999,No migration background,East,No,0.88466,3193,13582,0.86605,0.90433
103,103,1999,Direct migration background,West,Yes,0.08742,200,13582,0.07755,0.09982
104,104,1999,Direct migration background,West,No,0.91258,1887,13582,0.87906,0.94945
105,105,1999,Direct migration background,East,No,1.0,96,13582,0.89642,1.11936
106,106,1999,Indirect migration background,West,Yes,0.05516,34,13582,0.04409,0.06742
107,107,1999,Indirect migration background,West,No,0.94484,548,13582,0.86982,1.01212
108,108,2000,No migration background,West,Yes,0.0322,489,24065,0.03087,0.03408
109,109,2000,No migration background,West,No,0.9678,13822,24065,0.95805,0.97545
110,110,2000,No migration background,East,Yes,0.11536,692,24065,0.11045,0.12015
111,111,2000,No migration background,East,No,0.88464,4982,24065,0.87034,0.8977
112,112,2000,Direct migration background,West,Yes,0.07154,262,24065,0.06584,0.0784
113,113,2000,Direct migration background,West,No,0.92846,2894,24065,0.90566,0.95373
114,114,2000,Direct migration background,East,No,1.0,132,24065,0.9202,1.07735
115,115,2000,Indirect migration background,West,Yes,0.0453,38,24065,0.03826,0.05238
116,116,2000,Indirect migration background,West,No,0.9547,754,24065,0.89863,1.00731
117,117,2001,No migration background,West,Yes,0.0371,464,21880,0.03525,0.03908
118,118,2001,No migration background,West,No,0.9629,12488,21880,0.95258,0.97237
119,119,2001,No migration background,East,Yes,0.11634,643,21880,0.11172,0.12099
120,120,2001,No migration background,East,No,0.88366,4646,21880,0.86704,0.89851
121,121,2001,Direct migration background,West,Yes,0.08426,224,21880,0.07562,0.0918
122,122,2001,Direct migration background,West,No,0.91574,2570,21880,0.89295,0.94283
123,123,2001,Direct migration background,East,No,1.0,105,21880,0.92302,1.09805
124,124,2001,Indirect migration background,West,Yes,0.05871,50,21880,0.04705,0.07251
125,125,2001,Indirect migration background,West,No,0.94129,690,21880,0.88637,0.99227
126,126,2002,No migration background,West,Yes,0.04275,500,22991,0.04034,0.04528
127,127,2002,No migration background,West,No,0.95725,13670,22991,0.94503,0.96901
128,128,2002,No migration background,East,Yes,0.12947,644,22991,0.12318,0.13564
129,129,2002,No migration background,East,No,0.87053,4647,22991,0.85318,0.8877
130,130,2002,Direct migration background,West,Yes,0.08774,218,22991,0.07989,0.09606
131,131,2002,Direct migration background,West,No,0.91226,2464,22991,0.8864,0.94274
132,132,2002,Direct migration background,East,No,1.0,103,22991,0.89952,1.09171
133,133,2002,Indirect migration background,West,Yes,0.06871,46,22991,0.05258,0.09158
134,134,2002,Indirect migration background,West,No,0.93129,699,22991,0.86342,0.98699
135,135,2003,No migration background,West,Yes,0.04924,563,22121,0.04664,0.052
136,136,2003,No migration background,West,No,0.95076,12999,22121,0.94142,0.96035
137,137,2003,No migration background,East,Yes,0.13746,682,22121,0.13067,0.14455
138,138,2003,No migration background,East,No,0.86254,4527,22121,0.84719,0.88018
139,139,2003,Direct migration background,West,Yes,0.0949,217,22121,0.08707,0.10362
140,140,2003,Direct migration background,West,No,0.9051,2297,22121,0.87407,0.9332
141,141,2003,Direct migration background,East,No,1.0,92,22121,0.88675,1.12938
142,142,2003,Indirect migration background,West,Yes,0.08291,57,22121,0.06388,0.09938
143,143,2003,Indirect migration background,West,No,0.91709,687,22121,0.85666,0.97315
144,144,2004,No migration background,West,Yes,0.05311,588,21565,0.05014,0.05606
145,145,2004,No migration background,West,No,0.94689,12604,21565,0.93302,0.95879
146,146,2004,No migration background,East,Yes,0.14134,633,21565,0.13304,0.14955
147,147,2004,No migration background,East,No,0.85866,4455,21565,0.84289,0.87586
148,148,2004,Direct migration background,West,Yes,0.10694,237,21565,0.09681,0.11872
149,149,2004,Direct migration background,West,No,0.89306,2198,21565,0.86328,0.91916
150,150,2004,Direct migration background,East,No,1.0,88,21565,0.89492,1.12343
151,151,2004,Indirect migration background,West,Yes,0.09259,59,21565,0.07032,0.11091
152,152,2004,Indirect migration background,West,No,0.90741,703,21565,0.84504,0.96512
153,153,2005,No migration background,West,Yes,0.0532,546,20655,0.05041,0.05648
154,154,2005,No migration background,West,No,0.9468,12057,20655,0.93345,0.96404
155,155,2005,No migration background,East,Yes,0.1408,613,20655,0.13049,0.14949
156,156,2005,No migration background,East,No,0.8592,4291,20655,0.83767,0.87971
157,157,2005,Direct migration background,West,Yes,0.11852,238,20655,0.10697,0.13116
158,158,2005,Direct migration background,West,No,0.88148,2030,20655,0.84774,0.91063
159,159,2005,Direct migration background,East,No,1.0,91,20655,0.85516,1.14881
160,160,2005,Indirect migration background,West,Yes,0.10827,75,20655,0.08605,0.12974
161,161,2005,Indirect migration background,West,No,0.89173,714,20655,0.82237,0.95855
162,162,2006,No migration background,West,Yes,0.05675,639,21911,0.05347,0.05962
163,163,2006,No migration background,West,No,0.94325,13012,21911,0.93016,0.95629
164,164,2006,No migration background,East,Yes,0.14178,652,21911,0.13296,0.15133
165,165,2006,No migration background,East,No,0.85822,4474,21911,0.83996,0.88083
166,166,2006,Direct migration background,West,Yes,0.1188,239,21911,0.10913,0.12775
167,167,2006,Direct migration background,West,No,0.8812,2028,21911,0.8577,0.91274
168,168,2006,Direct migration background,East,No,1.0,93,21911,0.83316,1.17485
169,169,2006,Indirect migration background,West,Yes,0.10766,79,21911,0.08643,0.12787
170,170,2006,Indirect migration background,West,No,0.89234,695,21911,0.83247,0.95594
171,171,2007,No migration background,West,Yes,0.05173,529,20489,0.04814,0.05476
172,172,2007,No migration background,West,No,0.94827,12203,20489,0.93307,0.95978
173,173,2007,No migration background,East,Yes,0.12813,566,20489,0.11791,0.1357
174,174,2007,No migration background,East,No,0.87187,4315,20489,0.85001,0.89417
175,175,2007,Direct migration background,West,Yes,0.10572,190,20489,0.09508,0.11723
176,176,2007,Direct migration background,West,No,0.89428,1838,20489,0.85772,0.92441
177,177,2007,Direct migration background,East,No,1.0,76,20489,0.80708,1.2048
178,178,2007,Indirect migration background,West,Yes,0.11506,62,20489,0.09327,0.13902
179,179,2007,Indirect migration background,West,No,0.88494,676,20489,0.82959,0.94943
180,180,2007,Indirect migration background,East,No,1.0,34,20489,0.69488,1.35172
181,181,2008,No migration background,West,Yes,0.04292,422,19294,0.03987,0.04603
182,182,2008,No migration background,West,No,0.95708,11574,19294,0.94238,0.96988
183,183,2008,No migration background,East,Yes,0.12081,500,19294,0.11098,0.13037
184,184,2008,No migration background,East,No,0.87919,4150,19294,0.85715,0.90305
185,185,2008,Direct migration background,West,Yes,0.08565,150,19294,0.07369,0.0964
186,186,2008,Direct migration background,West,No,0.91435,1677,19294,0.8811,0.95005
187,187,2008,Direct migration background,East,No,1.0,63,19294,0.81008,1.2
188,188,2008,Indirect migration background,West,Yes,0.10262,62,19294,0.07863,0.12476
189,189,2008,Indirect migration background,West,No,0.89738,661,19294,0.83557,0.95455
190,190,2008,Indirect migration background,East,No,1.0,35,19294,0.70572,1.32347
191,191,2009,No migration background,West,Yes,0.04164,391,18002,0.03813,0.04478
192,192,2009,No migration background,West,No,0.95836,10835,18002,0.94076,0.97458
193,193,2009,No migration background,East,Yes,0.12333,456,18002,0.11424,0.13527
194,194,2009,No migration background,East,No,0.87667,3971,18002,0.85298,0.9014
195,195,2009,Direct migration background,West,Yes,0.10829,147,18002,0.09536,0.12275
196,196,2009,Direct migration background,West,No,0.89171,1437,18002,0.85095,0.9347
197,197,2009,Direct migration background,East,No,1.0,65,18002,0.79862,1.21158
198,198,2009,Indirect migration background,West,Yes,0.09851,62,18002,0.07525,0.1228
199,199,2009,Indirect migration background,West,No,0.90149,604,18002,0.83511,0.98477
200,200,2009,Indirect migration background,East,No,1.0,34,18002,0.73147,1.3609
201,201,2010,No migration background,West,Yes,0.04647,857,23946,0.04212,0.05111
202,202,2010,No migration background,West,No,0.95353,13789,23946,0.93734,0.97267
203,203,2010,No migration background,East,Yes,0.10992,672,23946,0.09916,0.12222
204,204,2010,No migration background,East,No,0.89008,4596,23946,0.86198,0.91983
205,205,2010,Direct migration background,West,Yes,0.11636,372,23946,0.09754,0.13427
206,206,2010,Direct migration background,West,No,0.88364,2446,23946,0.83883,0.92441
207,207,2010,Direct migration background,East,Yes,0.30671,35,23946,0.17876,0.52749
208,208,2010,Direct migration background,East,No,0.69329,95,23946,0.55048,0.86514
209,209,2010,Indirect migration background,West,Yes,0.09531,107,23946,0.06594,0.12693
210,210,2010,Indirect migration background,West,No,0.90469,924,23946,0.82236,0.9822
211,211,2010,Indirect migration background,East,No,1.0,53,23946,0.61642,1.56256
212,212,2011,No migration background,West,Yes,0.03947,880,28355,0.03615,0.04247
213,213,2011,No migration background,West,No,0.96053,16864,28355,0.94593,0.97444
214,214,2011,No migration background,East,Yes,0.10254,736,28355,0.09329,0.11032
215,215,2011,No migration background,East,No,0.89746,5335,28355,0.87316,0.92593
216,216,2011,Direct migration background,West,Yes,0.08219,327,28355,0.07143,0.09374
217,217,2011,Direct migration background,West,No,0.91781,2810,28355,0.88292,0.95292
218,218,2011,Direct migration background,East,Yes,0.30173,41,28355,0.17501,0.45861
219,219,2011,Direct migration background,East,No,0.69827,120,28355,0.58415,0.81708
220,220,2011,Indirect migration background,West,Yes,0.07998,100,28355,0.06091,0.10686
221,221,2011,Indirect migration background,West,No,0.92002,1077,28355,0.85494,0.98445
222,222,2011,Indirect migration background,East,No,1.0,65,28355,0.76924,1.28258
223,223,2012,No migration background,West,Yes,0.0403,830,27620,0.03743,0.04353
224,224,2012,No migration background,West,No,0.9597,16516,27620,0.94365,0.97463
225,225,2012,No migration background,East,Yes,0.10546,699,27620,0.09555,0.11424
226,226,2012,No migration background,East,No,0.89454,5239,27620,0.8688,0.91826
227,227,2012,Direct migration background,West,Yes,0.08195,292,27620,0.07261,0.09207
228,228,2012,Direct migration background,West,No,0.91805,2676,27620,0.87759,0.95948
229,229,2012,Direct migration background,East,Yes,0.21561,37,27620,0.14142,0.31715
230,230,2012,Direct migration background,East,No,0.78439,127,27620,0.65915,0.92625
231,231,2012,Indirect migration background,West,Yes,0.08021,94,27620,0.05774,0.10583
232,232,2012,Indirect migration background,West,No,0.91979,1055,27620,0.84147,0.98159
233,233,2012,Indirect migration background,East,No,1.0,55,27620,0.69355,1.412
234,234,2013,No migration background,West,Yes,0.04074,794,30608,0.03682,0.04414
235,235,2013,No migration background,West,No,0.95926,15702,30608,0.94721,0.97735
236,236,2013,No migration background,East,Yes,0.0936,602,30608,0.08532,0.10307
237,237,2013,No migration background,East,No,0.9064,4965,30608,0.8775,0.93287
238,238,2013,Direct migration background,West,Yes,0.10229,791,30608,0.09445,0.11006
239,239,2013,Direct migration background,West,No,0.89771,5262,30608,0.86297,0.93336
240,240,2013,Direct migration background,East,Yes,0.23371,116,30608,0.16139,0.32882
241,241,2013,Direct migration background,East,No,0.76629,331,30608,0.67709,0.86448
242,242,2013,Indirect migration background,West,Yes,0.09715,205,30608,0.08164,0.11554
243,243,2013,Indirect migration background,West,No,0.90285,1762,30608,0.85971,0.95516
244,244,2013,Indirect migration background,East,No,1.0,78,30608,0.69975,1.35075
245,245,2014,No migration background,West,Yes,0.03771,650,27065,0.03481,0.04109
246,246,2014,No migration background,West,No,0.96229,14355,27065,0.94471,0.98083
247,247,2014,No migration background,East,Yes,0.10132,523,27065,0.09275,0.11163
248,248,2014,No migration background,East,No,0.89868,4610,27065,0.87346,0.92713
249,249,2014,Direct migration background,West,Yes,0.09665,573,27065,0.08597,0.10679
250,250,2014,Direct migration background,West,No,0.90335,4290,27065,0.86891,0.94473
251,251,2014,Direct migration background,East,Yes,0.16726,80,27065,0.11637,0.22182
252,252,2014,Direct migration background,East,No,0.83274,276,27065,0.72698,0.94957
253,253,2014,Indirect migration background,West,Yes,0.09357,148,27065,0.07454,0.11543
254,254,2014,Indirect migration background,West,No,0.90643,1479,27065,0.85148,0.97218
255,255,2014,Indirect migration background,East,No,1.0,81,27065,0.78786,1.29534
256,256,2015,No migration background,West,Yes,0.03695,589,26767,0.03394,0.04059
257,257,2015,No migration background,West,No,0.96305,13701,26767,0.94828,0.97838
258,258,2015,No migration background,East,Yes,0.09298,468,26767,0.08413,0.1048
259,259,2015,No migration background,East,No,0.90702,4410,26767,0.88005,0.93254
260,260,2015,Direct migration background,West,Yes,0.10709,728,26767,0.09592,0.11757
261,261,2015,Direct migration background,West,No,0.89291,4829,26767,0.85944,0.93139
262,262,2015,Direct migration background,East,Yes,0.15286,93,26767,0.12242,0.18979
263,263,2015,Direct migration background,East,No,0.84714,341,26767,0.73479,1.01897
264,264,2015,Indirect migration background,West,Yes,0.10428,140,26767,0.08518,0.12735
265,265,2015,Indirect migration background,West,No,0.89572,1384,26767,0.83226,0.96631
266,266,2015,Indirect migration background,East,No,1.0,84,26767,0.76931,1.27199
267,267,2016,No migration background,West,Yes,0.03434,487,24268,0.03138,0.03806
268,268,2016,No migration background,West,No,0.96566,12755,24268,0.94799,0.98667
269,269,2016,No migration background,East,Yes,0.09365,396,24268,0.08107,0.10805
270,270,2016,No migration background,East,No,0.90635,4171,24268,0.87457,0.93391
271,271,2016,Direct migration background,West,Yes,0.10514,578,24268,0.09368,0.11983
272,272,2016,Direct migration background,West,No,0.89486,4036,24268,0.8561,0.93855
273,273,2016,Direct migration background,East,Yes,0.12632,82,24268,0.09633,0.15749
274,274,2016,Direct migration background,East,No,0.87368,284,24268,0.7121,1.04245
275,275,2016,Indirect migration background,West,Yes,0.08721,120,24268,0.06894,0.10585
276,276,2016,Indirect migration background,West,No,0.91279,1273,24268,0.85209,0.97276
277,277,2016,Indirect migration background,East,No,1.0,86,24268,0.68482,1.35343
278,278,2017,No migration background,West,Yes,0.03207,509,28626,0.02936,0.03478
279,279,2017,No migration background,West,No,0.96793,14531,28626,0.95065,0.98442
280,280,2017,No migration background,East,Yes,0.07497,383,28626,0.06449,0.08555
281,281,2017,No migration background,East,No,0.92503,4735,28626,0.89688,0.95555
282,282,2017,Direct migration background,West,Yes,0.11763,1354,28626,0.10372,0.13194
283,283,2017,Direct migration background,West,No,0.88237,4747,28626,0.84192,0.92732
284,284,2017,Direct migration background,East,Yes,0.1892,232,28626,0.13892,0.24084
285,285,2017,Direct migration background,East,No,0.8108,514,28626,0.71071,0.93532
286,286,2017,Indirect migration background,West,Yes,0.08254,128,28626,0.06835,0.09903
287,287,2017,Indirect migration background,West,No,0.91746,1409,28626,0.85947,0.97713
288,288,2017,Indirect migration background,East,No,1.0,84,28626,0.70983,1.35175
289,289,2018,No migration background,West,Yes,0.03161,535,28791,0.02905,0.03478
290,290,2018,No migration background,West,No,0.96839,13909,28791,0.95098,0.98466
291,291,2018,No migration background,East,Yes,0.07115,378,28791,0.06331,0.07818
292,292,2018,No migration background,East,No,0.92885,4636,28791,0.90014,0.96212
293,293,2018,Direct migration background,West,Yes,0.11119,1594,28791,0.09935,0.12752
294,294,2018,Direct migration background,West,No,0.88881,5295,28791,0.84551,0.93132
295,295,2018,Direct migration background,East,Yes,0.17535,324,28791,0.1344,0.22123
296,296,2018,Direct migration background,East,No,0.82465,502,28791,0.68872,0.97939
297,297,2018,Indirect migration background,West,Yes,0.08088,127,28791,0.06517,0.09699
298,298,2018,Indirect migration background,West,No,0.91912,1390,28791,0.85505,0.96737
299,299,2018,Indirect migration background,East,No,1.0,101,28791,0.73278,1.27906
300,300,2019,No migration background,West,Yes,0.02681,437,28707,0.02354,0.02974
301,301,2019,No migration background,West,No,0.97319,14550,28707,0.95478,0.99059
302,302,2019,No migration background,East,Yes,0.0644,318,28707,0.05634,0.07513
303,303,2019,No migration background,East,No,0.9356,4810,28707,0.90632,0.97193
304,304,2019,Direct migration background,West,Yes,0.1119,1488,28707,0.09744,0.12945
305,305,2019,Direct migration background,West,No,0.8881,4819,28707,0.84672,0.93404
306,306,2019,Direct migration background,East,Yes,0.15043,246,28707,0.1062,0.19817
307,307,2019,Direct migration background,East,No,0.84957,479,28707,0.71819,0.98518
308,308,2019,Indirect migration background,West,Yes,0.07362,99,28707,0.05539,0.09324
309,309,2019,Indirect migration background,West,No,0.92638,1357,28707,0.87071,1.00523
310,310,2019,Indirect migration background,East,No,1.0,104,28707,0.77141,1.24591
311,311,2020,No migration background,West,Yes,0.02749,430,28401,0.02527,0.03035
312,312,2020,No migration background,West,No,0.97251,13430,28401,0.95298,0.98973
313,313,2020,No migration background,East,Yes,0.06223,280,28401,0.05398,0.07049
314,314,2020,No migration background,East,No,0.93777,4437,28401,0.90536,0.97232
315,315,2020,Direct migration background,West,Yes,0.1053,1170,28401,0.08591,0.12496
316,316,2020,Direct migration background,West,No,0.8947,6247,28401,0.84266,0.9456
317,317,2020,Direct migration background,East,Yes,0.17233,249,28401,0.11783,0.23012
318,318,2020,Direct migration background,East,No,0.82767,630,28401,0.69519,0.93471
319,319,2020,Indirect migration background,West,Yes,0.09081,113,28401,0.06923,0.10937
320,320,2020,Indirect migration background,West,No,0.90919,1308,28401,0.83344,0.98075
321,321,2020,Indirect migration background,East,No,1.0,107,28401,0.76511,1.26288
322,322,2021,No migration background,West,Yes,0.02982,295,19230,0.02606,0.03385
323,323,2021,No migration background,West,No,0.97018,9627,19230,0.94768,0.99341
324,324,2021,No migration background,East,Yes,0.05222,183,19230,0.04284,0.0643
325,325,2021,No migration background,East,No,0.94778,3084,19230,0.91401,0.9827
326,326,2021,Direct migration background,West,Yes,0.10577,667,19230,0.08487,0.1297
327,327,2021,Direct migration background,West,No,0.89423,3916,19230,0.83867,0.94613
328,328,2021,Direct migration background,East,Yes,0.12126,113,19230,0.06656,0.18533
329,329,2021,Direct migration background,East,No,0.87874,413,19230,0.71401,1.06873
330,330,2021,Indirect migration background,West,Yes,0.07703,60,19230,0.04885,0.10886
331,331,2021,Indirect migration background,West,No,0.92297,799,19230,0.83821,1.04088
332,332,2021,Indirect migration background,East,No,1.0,73,19230,0.70674,1.38332
