year,regtyp,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,Rural regions,Not concerned at all,0.13490,1211,7704,0.12727,0.14253
2003,Urban regions,Very concerned,0.18889,3262,14584,0.18254,0.19524
2003,Urban regions,Somewhat concerned,0.44224,8001,14584,0.43418,0.45030
2003,Urban regions,Not concerned at all,0.18933,3321,14584,0.18298,0.19569
2003,Rural regions,Very concerned,0.19205,1698,7373,0.18305,0.20104
2003,Rural regions,Somewhat concerned,0.47379,4272,7373,0.46239,0.48519
2003,Rural regions,Not concerned at all,0.16245,1403,7373,0.15403,0.17087
2004,Urban regions,Very concerned,0.19799,3329,14202,0.19143,0.20454
2004,Urban regions,Somewhat concerned,0.43755,7691,14202,0.42939,0.44571
2004,Urban regions,Not concerned at all,0.18812,3182,14202,0.18169,0.19455
2004,Rural regions,Very concerned,0.18958,1661,7198,0.18053,0.19864
2004,Rural regions,Somewhat concerned,0.45811,4031,7198,0.44660,0.46962
2004,Rural regions,Not concerned at all,0.18348,1506,7198,0.17454,0.19242
2005,Urban regions,Very concerned,0.25649,4068,13645,0.24917,0.26382
2005,Urban regions,Somewhat concerned,0.41898,7009,13645,0.41070,0.42726
2005,Urban regions,Not concerned at all,0.15624,2568,13645,0.15014,0.16233
2005,Rural regions,Very concerned,0.25400,2102,6892,0.24372,0.26427
2005,Rural regions,Somewhat concerned,0.43057,3651,6892,0.41888,0.44226
2005,Rural regions,Not concerned at all,0.15120,1139,6892,0.14275,0.15966
2006,Urban regions,Very concerned,0.23905,4018,14311,0.23206,0.24604
2006,Urban regions,Somewhat concerned,0.42460,7580,14311,0.41651,0.43270
2006,Urban regions,Not concerned at all,0.16092,2713,14311,0.15490,0.16694
2006,Rural regions,Very concerned,0.22917,2029,7445,0.21963,0.23872
2006,Rural regions,Somewhat concerned,0.43803,4094,7445,0.42676,0.44930
2006,Rural regions,Not concerned at all,0.15113,1322,7445,0.14299,0.15926
2007,Urban regions,Very concerned,0.22681,3631,13298,0.21969,0.23393
2007,Urban regions,Somewhat concerned,0.43054,7084,13298,0.42212,0.43895
2007,Urban regions,Not concerned at all,0.16381,2583,13298,0.15751,0.17010
2007,Rural regions,Very concerned,0.22716,1884,7013,0.21736,0.23697
2007,Rural regions,Somewhat concerned,0.43811,3789,7013,0.42649,0.44972
2007,Rural regions,Not concerned at all,0.16613,1340,7013,0.15742,0.17484
2008,Urban regions,Very concerned,0.20016,2992,12588,0.19317,0.20715
2008,Urban regions,Somewhat concerned,0.45133,6897,12588,0.44264,0.46003
2008,Urban regions,Not concerned at all,0.18020,2699,12588,0.17349,0.18692
2008,Rural regions,Very concerned,0.19912,1490,6599,0.18949,0.20876
2008,Rural regions,Somewhat concerned,0.45878,3733,6599,0.44675,0.47080
2008,Rural regions,Not concerned at all,0.17758,1376,6599,0.16835,0.18680
2009,Urban regions,Very concerned,0.17152,2306,11589,0.16466,0.17839
2009,Urban regions,Somewhat concerned,0.47047,6530,11589,0.46138,0.47955
2009,Urban regions,Not concerned at all,0.19064,2753,11589,0.18349,0.19779
2009,Rural regions,Very concerned,0.16695,1183,6294,0.15773,0.17616
2009,Rural regions,Somewhat concerned,0.48355,3727,6294,0.47120,0.49589
2009,Rural regions,Not concerned at all,0.19158,1384,6294,0.18186,0.20131
2010,Urban regions,Very concerned,0.17191,3352,15501,0.16597,0.17785
2010,Urban regions,Somewhat concerned,0.46581,8679,15501,0.45795,0.47366
2010,Urban regions,Not concerned at all,0.19737,3470,15501,0.19110,0.20363
2010,Rural regions,Very concerned,0.17597,1774,8286,0.16777,0.18417
2010,Rural regions,Somewhat concerned,0.47679,4712,8286,0.46603,0.48754
2010,Rural regions,Not concerned at all,0.18937,1800,8286,0.18093,0.19781
2011,Urban regions,Very concerned,0.14303,2494,13207,0.13706,0.14900
2011,Urban regions,Somewhat concerned,0.40859,7236,13207,0.40021,0.41698
2011,Urban regions,Not concerned at all,0.20351,3477,13207,0.19664,0.21038
2011,Rural regions,Very concerned,0.15078,1343,7231,0.14254,0.15903
2011,Rural regions,Somewhat concerned,0.40823,4065,7231,0.39690,0.41956
2011,Rural regions,Not concerned at all,0.19175,1823,7231,0.18267,0.20082
2012,Urban regions,Very concerned,0.16667,2791,12953,0.16025,0.17308
2012,Urban regions,Somewhat concerned,0.42372,7303,12953,0.41521,0.43223
2012,Urban regions,Not concerned at all,0.17160,2859,12953,0.16511,0.17810
2012,Rural regions,Very concerned,0.15257,1380,7393,0.14437,0.16077
2012,Rural regions,Somewhat concerned,0.42037,4178,7393,0.40912,0.43162
2012,Rural regions,Not concerned at all,0.19536,1835,7393,0.18632,0.20440
2013,Urban regions,Very concerned,0.14729,2893,15799,0.14176,0.15281
2013,Urban regions,Somewhat concerned,0.42388,8127,15799,0.41617,0.43159
2013,Urban regions,Not concerned at all,0.20600,4779,15799,0.19970,0.21231
2013,Rural regions,Very concerned,0.13651,1326,7864,0.12892,0.14410
2013,Rural regions,Somewhat concerned,0.41349,4141,7864,0.40260,0.42437
2013,Rural regions,Not concerned at all,0.22526,2397,7864,0.21603,0.23450
2014,Urban regions,Very concerned,0.18141,3976,17527,0.17570,0.18711
2014,Urban regions,Somewhat concerned,0.46177,9614,17527,0.45439,0.46915
2014,Urban regions,Not concerned at all,0.19015,3937,17527,0.18434,0.19596
2014,Rural regions,Very concerned,0.16882,1899,9372,0.16123,0.17640
2014,Rural regions,Somewhat concerned,0.46220,5187,9372,0.45210,0.47229
2014,Rural regions,Not concerned at all,0.21330,2286,9372,0.20501,0.22159
2015,Urban regions,Very concerned,0.28693,5761,17345,0.28020,0.29367
2015,Urban regions,Somewhat concerned,0.41976,8621,17345,0.41242,0.42711
2015,Urban regions,Not concerned at all,0.12935,2963,17345,0.12435,0.13434
2015,Rural regions,Very concerned,0.26921,2875,9218,0.26016,0.27827
2015,Rural regions,Somewhat concerned,0.42543,4664,9218,0.41534,0.43552
2015,Rural regions,Not concerned at all,0.14293,1679,9218,0.13578,0.15007
2016,Urban regions,Very concerned,0.40002,7662,17704,0.39280,0.40723
2016,Urban regions,Somewhat concerned,0.34349,6855,17704,0.33650,0.35049
2016,Urban regions,Not concerned at all,0.09085,3187,17704,0.08661,0.09508
2016,Rural regions,Very concerned,0.37106,3885,9330,0.36125,0.38086
2016,Rural regions,Somewhat concerned,0.36177,3827,9330,0.35202,0.37152
2016,Rural regions,Not concerned at all,0.10801,1618,9330,0.10171,0.11430
2017,Urban regions,Very concerned,0.35043,7244,19777,0.34378,0.35708
2017,Urban regions,Somewhat concerned,0.38316,8541,19777,0.37638,0.38993
2017,Urban regions,Not concerned at all,0.09907,3992,19777,0.09490,0.10323
2017,Rural regions,Very concerned,0.33831,3829,10508,0.32926,0.34735
2017,Rural regions,Somewhat concerned,0.38989,4632,10508,0.38057,0.39922
2017,Rural regions,Not concerned at all,0.10472,2047,10508,0.09887,0.11058
2018,Urban regions,Very concerned,0.28684,5935,19130,0.28043,0.29324
2018,Urban regions,Somewhat concerned,0.43915,9307,19130,0.43212,0.44618
2018,Urban regions,Not concerned at all,0.11266,3888,19130,0.10818,0.11714
2018,Rural regions,Very concerned,0.26926,2971,9908,0.26052,0.27799
2018,Rural regions,Somewhat concerned,0.43300,4849,9908,0.42324,0.44276
2018,Rural regions,Not concerned at all,0.13629,2088,9908,0.12954,0.14305
2019,Urban regions,Very concerned,0.31156,6554,18700,0.30492,0.31820
2019,Urban regions,Somewhat concerned,0.41377,8480,18700,0.40671,0.42083
2019,Urban regions,Not concerned at all,0.10707,3666,18700,0.10263,0.11150
2019,Rural regions,Very concerned,0.28789,3221,9658,0.27886,0.29692
2019,Rural regions,Somewhat concerned,0.42467,4683,9658,0.41481,0.43453
2019,Rural regions,Not concerned at all,0.12075,1754,9658,0.11425,0.12725
2020,Urban regions,Very concerned,0.31039,6209,19804,0.30394,0.31683
2020,Urban regions,Somewhat concerned,0.41052,9056,19804,0.40367,0.41737
2020,Urban regions,Not concerned at all,0.11185,4539,19804,0.10746,0.11624
2020,Rural regions,Very concerned,0.27936,2857,9404,0.27029,0.28843
2020,Rural regions,Somewhat concerned,0.42568,4630,9404,0.41569,0.43568
2020,Rural regions,Not concerned at all,0.12259,1917,9404,0.11596,0.12922
2021,Urban regions,Very concerned,0.30245,4345,13209,0.29462,0.31029
2021,Urban regions,Somewhat concerned,0.41614,6149,13209,0.40773,0.42454
2021,Urban regions,Not concerned at all,0.10562,2715,13209,0.10038,0.11087
2021,Rural regions,Very concerned,0.27004,1959,6221,0.25900,0.28107
2021,Rural regions,Somewhat concerned,0.44368,3169,6221,0.43133,0.45603
2021,Rural regions,Not concerned at all,0.11901,1093,6221,0.11096,0.12705
