year,sex,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,female,Not Working,0.39975,5037,11396,0.39075,0.40874
2002,male,Full Time,0.44805,6433,11128,0.43881,0.45729
2002,male,Part Time,0.11414,1528,11128,0.10823,0.12005
2002,male,Not Working,0.26033,3167,11128,0.25218,0.26849
2002,female,Full Time,0.19675,3136,11899,0.18961,0.20389
2002,female,Part Time,0.23934,3689,11899,0.23167,0.24701
2002,female,Not Working,0.40346,5074,11899,0.39464,0.41227
2003,male,Full Time,0.43417,5973,10677,0.42477,0.44357
2003,male,Part Time,0.12045,1525,10677,0.11427,0.12662
2003,male,Not Working,0.27043,3179,10677,0.26201,0.27886
2003,female,Full Time,0.19320,2942,11489,0.18598,0.20042
2003,female,Part Time,0.23908,3588,11489,0.23128,0.24688
2003,female,Not Working,0.40810,4959,11489,0.39912,0.41709
2004,male,Full Time,0.42644,5645,10381,0.41693,0.43596
2004,male,Part Time,0.11954,1494,10381,0.11330,0.12578
2004,male,Not Working,0.28375,3242,10381,0.27507,0.29242
2004,female,Full Time,0.19157,2814,11233,0.18429,0.19885
2004,female,Part Time,0.24404,3514,11233,0.23609,0.25198
2004,female,Not Working,0.40854,4905,11233,0.39945,0.41763
2005,male,Full Time,0.43400,5351,9899,0.42424,0.44376
2005,male,Part Time,0.12327,1382,9899,0.11680,0.12975
2005,male,Not Working,0.27604,3166,9899,0.26724,0.28485
2005,female,Full Time,0.19731,2682,10800,0.18980,0.20481
2005,female,Part Time,0.25130,3429,10800,0.24312,0.25948
2005,female,Not Working,0.40131,4689,10800,0.39206,0.41055
2006,male,Full Time,0.43132,5605,10631,0.42191,0.44074
2006,male,Part Time,0.12043,1416,10631,0.11424,0.12661
2006,male,Not Working,0.28489,3610,10631,0.27631,0.29347
2006,female,Full Time,0.19570,2824,11640,0.18849,0.20291
2006,female,Part Time,0.24405,3605,11640,0.23625,0.25186
2006,female,Not Working,0.41049,5211,11640,0.40155,0.41943
2007,male,Full Time,0.43667,5236,9952,0.42693,0.44642
2007,male,Part Time,0.11624,1288,9952,0.10994,0.12253
2007,male,Not Working,0.28682,3428,9952,0.27794,0.29571
2007,female,Full Time,0.19581,2631,10898,0.18836,0.20326
2007,female,Part Time,0.25082,3423,10898,0.24268,0.25896
2007,female,Not Working,0.40905,4844,10898,0.39981,0.41828
2008,male,Full Time,0.44635,4956,9336,0.43627,0.45644
2008,male,Part Time,0.11688,1201,9336,0.11036,0.12339
2008,male,Not Working,0.27974,3179,9336,0.27063,0.28884
2008,female,Full Time,0.20688,2532,10235,0.19903,0.21472
2008,female,Part Time,0.25141,3206,10235,0.24300,0.25981
2008,female,Not Working,0.40096,4497,10235,0.39147,0.41046
2009,male,Full Time,0.44776,4581,8728,0.43732,0.45819
2009,male,Part Time,0.12027,1170,8728,0.11344,0.12709
2009,male,Not Working,0.27899,2977,8728,0.26958,0.28840
2009,female,Full Time,0.20904,2422,9526,0.20087,0.21720
2009,female,Part Time,0.27031,3045,9526,0.26139,0.27923
2009,female,Not Working,0.38084,4059,9526,0.37109,0.39060
2010,male,Full Time,0.44441,6321,11087,0.43516,0.45366
2010,male,Part Time,0.12252,1561,11087,0.11642,0.12862
2010,male,Not Working,0.27990,3205,11087,0.27155,0.28826
2010,female,Full Time,0.21768,2924,13242,0.21065,0.22471
2010,female,Part Time,0.26359,4776,13242,0.25608,0.27109
2010,female,Not Working,0.37841,5542,13242,0.37015,0.38667
2011,male,Full Time,0.44621,7231,13129,0.43771,0.45472
2011,male,Part Time,0.12338,1887,13129,0.11775,0.12900
2011,male,Not Working,0.27245,4011,13129,0.26484,0.28007
2011,female,Full Time,0.22021,3399,15772,0.21375,0.22668
2011,female,Part Time,0.25925,5773,15772,0.25241,0.26609
2011,female,Not Working,0.37640,6600,15772,0.36884,0.38396
2012,male,Full Time,0.44525,6968,12813,0.43664,0.45386
2012,male,Part Time,0.12142,1767,12813,0.11576,0.12707
2012,male,Not Working,0.27627,4078,12813,0.26853,0.28402
2012,female,Full Time,0.22188,3458,15354,0.21530,0.22845
2012,female,Part Time,0.26379,5688,15354,0.25682,0.27076
2012,female,Not Working,0.37168,6208,15354,0.36403,0.37932
2013,male,Full Time,0.39597,6399,14255,0.38794,0.40400
2013,male,Part Time,0.10838,1709,14255,0.10328,0.11349
2013,male,Not Working,0.33987,6147,14255,0.33209,0.34765
2013,female,Full Time,0.20386,3318,16929,0.19779,0.20993
2013,female,Part Time,0.24313,5448,16929,0.23667,0.24959
2013,female,Not Working,0.41160,8163,16929,0.40419,0.41902
2014,male,Full Time,0.43362,6716,12724,0.42501,0.44223
2014,male,Part Time,0.12948,1930,12724,0.12364,0.13531
2014,male,Not Working,0.28466,4078,12724,0.27682,0.29251
2014,female,Full Time,0.21809,3507,14931,0.21147,0.22472
2014,female,Part Time,0.27338,5614,14931,0.26623,0.28053
2014,female,Not Working,0.36626,5810,14931,0.35853,0.37399
2015,male,Full Time,0.43253,6259,12586,0.42387,0.44118
2015,male,Part Time,0.12250,1795,12586,0.11677,0.12823
2015,male,Not Working,0.29285,4532,12586,0.28490,0.30080
2015,female,Full Time,0.21231,3257,14757,0.20572,0.21891
2015,female,Part Time,0.27712,5314,14757,0.26990,0.28434
2015,female,Not Working,0.37030,6186,14757,0.36251,0.37809
2016,male,Full Time,0.43583,5940,13231,0.42738,0.44428
2016,male,Part Time,0.13087,1820,13231,0.12512,0.13661
2016,male,Not Working,0.27791,5471,13231,0.27027,0.28554
2016,female,Full Time,0.22251,3230,14742,0.21579,0.22922
2016,female,Part Time,0.28179,5125,14742,0.27453,0.28906
2016,female,Not Working,0.35504,6387,14742,0.34732,0.36277
2017,male,Full Time,0.43370,6709,14887,0.42573,0.44166
2017,male,Part Time,0.13713,2160,14887,0.13160,0.14265
2017,male,Not Working,0.27212,6018,14887,0.26498,0.27927
2017,female,Full Time,0.22685,3730,16373,0.22044,0.23327
2017,female,Part Time,0.27922,5612,16373,0.27235,0.28610
2017,female,Not Working,0.35010,7031,16373,0.34279,0.35741
2018,male,Full Time,0.43568,6430,14256,0.42754,0.44382
2018,male,Part Time,0.14571,2294,14256,0.13992,0.15150
2018,male,Not Working,0.26429,5532,14256,0.25705,0.27153
2018,female,Full Time,0.23048,3619,15633,0.22388,0.23708
2018,female,Part Time,0.28812,5501,15633,0.28102,0.29521
2018,female,Not Working,0.34041,6513,15633,0.33298,0.34784
2019,male,Full Time,0.43488,7080,14629,0.42685,0.44292
2019,male,Part Time,0.13711,2380,14629,0.13153,0.14268
2019,male,Not Working,0.27028,5169,14629,0.26308,0.27748
2019,female,Full Time,0.22912,3729,15193,0.22244,0.23581
2019,female,Part Time,0.28620,5259,15193,0.27901,0.29339
2019,female,Not Working,0.33948,6205,15193,0.33195,0.34701
2020,male,Full Time,0.43024,7200,14921,0.42230,0.43818
2020,male,Part Time,0.14254,2603,14921,0.13693,0.14815
2020,male,Not Working,0.26702,5118,14921,0.25992,0.27412
2020,female,Full Time,0.22849,3837,15083,0.22179,0.23519
2020,female,Part Time,0.27848,5199,15083,0.27132,0.28563
2020,female,Not Working,0.34514,6047,15083,0.33755,0.35273
2021,male,Full Time,0.39283,4284,9678,0.38310,0.40257
2021,male,Part Time,0.13755,1623,9678,0.13068,0.14441
2021,male,Not Working,0.30485,3771,9678,0.29568,0.31403
2021,female,Full Time,0.21679,2458,10246,0.20881,0.22477
2021,female,Part Time,0.25816,3296,10246,0.24968,0.26663
2021,female,Not Working,0.37241,4492,10246,0.36305,0.38177
