year,migback,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,No migration background,Vocational Retraining,0.00293,67,347,-0.00277,0.00863
2002,No migration background,Further vocational education,0.00707,164,347,-0.00176,0.01589
2002,No migration background,Others,0.00464,116,347,-0.00252,0.01179
2003,No migration background,Vocational Retraining,0.00232,54,276,-0.00337,0.00801
2003,No migration background,Further vocational education,0.00698,146,276,-0.00286,0.01682
2003,No migration background,Others,0.00346,76,276,-0.00348,0.01041
2004,No migration background,Vocational Retraining,0.00235,47,250,-0.00366,0.00837
2004,No migration background,Further vocational education,0.00610,134,250,-0.00357,0.01577
2004,No migration background,Others,0.00295,69,250,-0.00379,0.00968
2005,No migration background,Vocational Retraining,0.00199,34,229,-0.00380,0.00778
2005,No migration background,Further vocational education,0.00585,109,229,-0.00405,0.01575
2005,No migration background,Others,0.00429,86,229,-0.00419,0.01277
2006,No migration background,Further vocational education,0.00322,81,132,-0.00648,0.01292
2006,No migration background,Others,0.00251,51,132,-0.00606,0.01109
2007,No migration background,Further vocational education,0.00355,83,143,-0.00623,0.01333
2007,No migration background,Others,0.00346,60,143,-0.00620,0.01312
2008,No migration background,Further vocational education,0.00351,75,124,-0.00694,0.01395
2008,No migration background,Others,0.00259,49,124,-0.00639,0.01158
2009,No migration background,Further vocational education,0.00302,67,99,-0.00785,0.01389
2009,No migration background,Others,0.00174,32,99,-0.00652,0.01000
2010,No migration background,Vocational Retraining,0.00077,39,219,-0.00291,0.00446
2010,No migration background,Further vocational education,0.00476,122,219,-0.00438,0.01389
2010,No migration background,Others,0.00333,58,219,-0.00432,0.01098
2011,No migration background,Vocational Retraining,0.00154,65,259,-0.00325,0.00633
2011,No migration background,Further vocational education,0.00600,149,259,-0.00342,0.01543
2011,No migration background,Others,0.00130,45,259,-0.00310,0.00570
2012,No migration background,Vocational Retraining,0.00127,55,257,-0.00309,0.00563
2012,No migration background,Further vocational education,0.00495,144,257,-0.00365,0.01355
2012,No migration background,Others,0.00239,58,257,-0.00359,0.00837
2013,No migration background,Vocational Retraining,0.00143,44,236,-0.00340,0.00627
2013,No migration background,Further vocational education,0.00509,141,236,-0.00401,0.01418
2013,No migration background,Others,0.00167,51,236,-0.00355,0.00688
2013,Direct migration background,Further vocational education,0.00445,38,38,-0.01699,0.02589
2014,No migration background,Vocational Retraining,0.00131,39,220,-0.00348,0.00609
2014,No migration background,Further vocational education,0.00580,132,220,-0.00426,0.01585
2014,No migration background,Others,0.00172,49,220,-0.00377,0.00722
2015,No migration background,Vocational Retraining,0.00175,44,174,-0.00448,0.00798
2015,No migration background,Further vocational education,0.00438,90,174,-0.00546,0.01423
2015,No migration background,Others,0.00316,40,174,-0.00520,0.01152
2016,No migration background,Vocational Retraining,0.00103,32,129,-0.00453,0.00659
2016,No migration background,Further vocational education,0.00500,97,129,-0.00722,0.01723
2016,Direct migration background,Further vocational education,0.00483,41,105,-0.00849,0.01815
2016,Direct migration background,Others,0.00311,31,105,-0.00759,0.01381
2016,Direct migration background,Integration/Language course,0.00024,33,105,-0.00275,0.00324
2017,No migration background,Vocational Retraining,0.00085,36,192,-0.00328,0.00499
2017,No migration background,Further vocational education,0.00477,119,192,-0.00500,0.01453
2017,No migration background,Others,0.00143,37,192,-0.00393,0.00679
2017,Direct migration background,Further vocational education,0.00610,40,78,-0.01129,0.02348
2017,Direct migration background,Integration/Language course,0.00033,38,78,-0.00370,0.00435
2018,No migration background,Vocational Retraining,0.00157,35,151,-0.00476,0.00790
2018,No migration background,Further vocational education,0.00375,83,151,-0.00603,0.01353
2018,No migration background,Others,0.00121,33,151,-0.00436,0.00679
2018,Direct migration background,Vocational Retraining,0.00213,36,159,-0.00506,0.00933
2018,Direct migration background,Further vocational education,0.00494,42,159,-0.00599,0.01587
2018,Direct migration background,Others,0.00356,40,159,-0.00573,0.01284
2018,Direct migration background,Integration/Language course,0.00032,41,159,-0.00247,0.00311
2019,No migration background,Vocational Retraining,0.00119,31,161,-0.00416,0.00655
2019,No migration background,Further vocational education,0.00341,94,161,-0.00562,0.01244
2019,No migration background,Others,0.00147,36,161,-0.00447,0.00740
2020,No migration background,Further vocational education,0.00325,78,115,-0.00720,0.01369
2020,No migration background,Others,0.00172,37,115,-0.00589,0.00934
2020,Direct migration background,Further vocational education,0.00245,45,45,-0.01216,0.01706
2021,No migration background,Further vocational education,0.00385,71,71,-0.01066,0.01835
2021,Direct migration background,Vocational Retraining,0.00221,31,31,-0.01459,0.01901
