year,age_gr,migback,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,17-29 y.,No migration background,Further vocational education,0.01731,51,51,-0.01884,0.05347
2001,30-45 y.,No migration background,Vocational Retraining,0.00542,38,166,-0.00578,0.01662
2001,30-45 y.,No migration background,Further vocational education,0.01553,92,166,-0.00334,0.03440
2001,30-45 y.,No migration background,Others,0.00558,36,166,-0.00579,0.01695
2001,46-65 y.,No migration background,Further vocational education,0.00642,39,39,-0.01897,0.03181
2002,17-29 y.,No migration background,Further vocational education,0.01764,43,88,-0.01002,0.04531
2002,17-29 y.,No migration background,Others,0.01473,45,88,-0.01059,0.04004
2002,30-45 y.,No migration background,Vocational Retraining,0.00677,38,165,-0.00578,0.01931
2002,30-45 y.,No migration background,Further vocational education,0.01599,93,165,-0.00321,0.03518
2002,30-45 y.,No migration background,Others,0.00613,34,165,-0.00582,0.01807
2002,46-65 y.,No migration background,Others,0.00389,35,35,-0.01704,0.02483
2003,17-29 y.,No migration background,Further vocational education,0.01634,32,68,-0.01402,0.04669
2003,17-29 y.,No migration background,Others,0.01034,36,68,-0.01388,0.03457
2003,30-45 y.,No migration background,Vocational Retraining,0.00683,39,127,-0.00755,0.02121
2003,30-45 y.,No migration background,Further vocational education,0.01534,88,127,-0.00612,0.03681
2004,17-29 y.,No migration background,Further vocational education,0.01384,40,72,-0.01334,0.04101
2004,17-29 y.,No migration background,Others,0.01170,32,72,-0.01331,0.03671
2004,30-45 y.,No migration background,Vocational Retraining,0.00711,32,104,-0.00912,0.02334
2004,30-45 y.,No migration background,Further vocational education,0.01388,72,104,-0.00871,0.03647
2005,17-29 y.,No migration background,Further vocational education,0.01685,36,74,-0.01268,0.04638
2005,17-29 y.,No migration background,Others,0.01288,38,74,-0.01299,0.03874
2005,30-45 y.,No migration background,Further vocational education,0.00933,47,47,-0.01845,0.03711
2006,30-45 y.,No migration background,Further vocational education,0.00498,38,38,-0.01771,0.02767
2007,30-45 y.,No migration background,Further vocational education,0.00814,35,35,-0.02207,0.03835
2010,17-29 y.,No migration background,Further vocational education,0.01226,31,31,-0.02712,0.05163
2010,30-45 y.,No migration background,Further vocational education,0.01030,63,63,-0.01483,0.03543
2011,17-29 y.,No migration background,Further vocational education,0.01296,36,36,-0.02451,0.05042
2011,30-45 y.,No migration background,Vocational Retraining,0.00480,45,127,-0.00727,0.01687
2011,30-45 y.,No migration background,Further vocational education,0.01495,82,127,-0.00624,0.03614
2012,17-29 y.,No migration background,Further vocational education,0.00772,35,35,-0.02170,0.03715
2012,30-45 y.,No migration background,Vocational Retraining,0.00385,37,102,-0.00823,0.01593
2012,30-45 y.,No migration background,Further vocational education,0.01219,65,102,-0.00921,0.03360
2012,46-65 y.,No migration background,Further vocational education,0.00475,43,43,-0.01604,0.02553
2013,30-45 y.,No migration background,Vocational Retraining,0.00389,31,105,-0.00807,0.01586
2013,30-45 y.,No migration background,Further vocational education,0.01566,74,105,-0.00820,0.03952
2013,46-65 y.,No migration background,Further vocational education,0.00400,45,45,-0.01465,0.02265
2014,17-29 y.,No migration background,Further vocational education,0.01509,33,33,-0.02715,0.05734
2014,30-45 y.,No migration background,Further vocational education,0.01226,51,51,-0.01824,0.04277
2014,46-65 y.,No migration background,Further vocational education,0.00448,46,46,-0.01504,0.02400
2015,30-45 y.,No migration background,Further vocational education,0.01204,48,48,-0.01914,0.04323
2016,30-45 y.,No migration background,Further vocational education,0.01105,42,42,-0.02095,0.04305
2017,30-45 y.,No migration background,Further vocational education,0.01093,45,45,-0.01979,0.04165
2017,46-65 y.,No migration background,Further vocational education,0.00402,43,43,-0.01512,0.02317
2018,30-45 y.,No migration background,Further vocational education,0.01074,39,39,-0.02203,0.04352
2019,30-45 y.,No migration background,Further vocational education,0.00944,36,36,-0.02260,0.04148
