year,sex,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,female,Vocational Retraining,0.00248,34,173,-0.00496,0.00992
2003,female,Further vocational education,0.00671,97,173,-0.00549,0.01890
2003,female,Others,0.00222,42,173,-0.00481,0.00926
2004,male,Further vocational education,0.00633,69,100,-0.00929,0.02195
2004,male,Others,0.00272,31,100,-0.00754,0.01299
2004,female,Further vocational education,0.00525,84,130,-0.00722,0.01772
2004,female,Others,0.00267,46,130,-0.00623,0.01156
2005,male,Further vocational education,0.00532,52,98,-0.00916,0.01979
2005,male,Others,0.00462,46,98,-0.00888,0.01811
2005,female,Further vocational education,0.00587,69,127,-0.00747,0.01920
2005,female,Others,0.00403,58,127,-0.00703,0.01510
2006,male,Further vocational education,0.00384,45,45,-0.01443,0.02210
2006,female,Further vocational education,0.00271,47,86,-0.00835,0.01377
2006,female,Others,0.00310,39,86,-0.00872,0.01491
2007,male,Further vocational education,0.00368,40,40,-0.01532,0.02267
2007,female,Further vocational education,0.00319,54,100,-0.00792,0.01429
2007,female,Others,0.00413,46,100,-0.00850,0.01677
2008,male,Further vocational education,0.00310,32,32,-0.01647,0.02268
2008,female,Further vocational education,0.00362,54,92,-0.00872,0.01595
2008,female,Others,0.00321,38,92,-0.00841,0.01483
2009,male,Further vocational education,0.00275,32,32,-0.01569,0.02119
2009,female,Further vocational education,0.00324,45,45,-0.01355,0.02002
2010,male,Further vocational education,0.00590,63,97,-0.00942,0.02123
2010,male,Others,0.00346,34,97,-0.00829,0.01522
2010,female,Vocational Retraining,0.00144,38,171,-0.00426,0.00713
2010,female,Further vocational education,0.00426,87,171,-0.00553,0.01405
2010,female,Others,0.00308,46,171,-0.00525,0.01140
2011,male,Vocational Retraining,0.00189,36,111,-0.00622,0.00999
2011,male,Further vocational education,0.00572,75,111,-0.00837,0.01981
2011,female,Vocational Retraining,0.00153,51,195,-0.00397,0.00703
2011,female,Further vocational education,0.00572,106,195,-0.00489,0.01633
2011,female,Others,0.00124,38,195,-0.00371,0.00618
2012,male,Further vocational education,0.00457,68,68,-0.01158,0.02071
2012,female,Vocational Retraining,0.00146,46,199,-0.00386,0.00677
2012,female,Further vocational education,0.00498,96,199,-0.00483,0.01479
2012,female,Others,0.00288,57,199,-0.00459,0.01035
2013,male,Vocational Retraining,0.00248,35,144,-0.00567,0.01064
2013,male,Further vocational education,0.00495,78,144,-0.00655,0.01646
2013,male,Others,0.00158,31,144,-0.00493,0.00809
2013,female,Vocational Retraining,0.00119,43,218,-0.00339,0.00577
2013,female,Further vocational education,0.00490,119,218,-0.00439,0.01419
2013,female,Others,0.00243,56,218,-0.00412,0.00897
2014,male,Further vocational education,0.00457,56,56,-0.01325,0.02239
2014,female,Vocational Retraining,0.00147,47,222,-0.00358,0.00653
2014,female,Further vocational education,0.00619,117,222,-0.00415,0.01654
2014,female,Others,0.00288,58,222,-0.00419,0.00996
2015,male,Further vocational education,0.00390,46,46,-0.01431,0.02210
2015,female,Vocational Retraining,0.00167,43,167,-0.00455,0.00789
2015,female,Further vocational education,0.00405,80,167,-0.00561,0.01371
2015,female,Others,0.00444,44,167,-0.00567,0.01455
2016,male,Further vocational education,0.00495,60,60,-0.01296,0.02285
2016,female,Vocational Retraining,0.00112,36,172,-0.00390,0.00614
2016,female,Further vocational education,0.00571,95,172,-0.00558,0.01701
2016,female,Others,0.00259,41,172,-0.00503,0.01020
2017,male,Further vocational education,0.00477,76,76,-0.01082,0.02036
2017,female,Vocational Retraining,0.00085,37,180,-0.00342,0.00512
2017,female,Further vocational education,0.00513,103,180,-0.00534,0.01559
2017,female,Others,0.00234,40,180,-0.00474,0.00943
2018,male,Vocational Retraining,0.00170,37,125,-0.00555,0.00895
2018,male,Further vocational education,0.00281,53,125,-0.00651,0.01212
2018,male,Others,0.00136,35,125,-0.00513,0.00784
2018,female,Vocational Retraining,0.00187,40,163,-0.00478,0.00853
2018,female,Further vocational education,0.00501,84,163,-0.00586,0.01589
2018,female,Others,0.00161,39,163,-0.00457,0.00780
2019,male,Vocational Retraining,0.00154,33,86,-0.00679,0.00986
2019,male,Further vocational education,0.00263,53,86,-0.00826,0.01351
2019,female,Vocational Retraining,0.00128,32,151,-0.00444,0.00700
2019,female,Further vocational education,0.00477,75,151,-0.00626,0.01580
2019,female,Others,0.00259,44,151,-0.00554,0.01071
2020,male,Vocational Retraining,0.00187,38,133,-0.00550,0.00924
2020,male,Further vocational education,0.00312,63,133,-0.00639,0.01264
2020,male,Others,0.00150,32,133,-0.00510,0.00810
2020,female,Further vocational education,0.00278,65,100,-0.00759,0.01314
2020,female,Others,0.00192,35,100,-0.00670,0.01053
2021,male,Further vocational education,0.00371,53,53,-0.01282,0.02024
2021,female,Further vocational education,0.00459,59,59,-0.01281,0.02199
