year,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Further vocational education,0.00572,181,324,-0.00251,0.01394
2011,Others,0.00124,56,324,-0.00260,0.00507
2012,Vocational Retraining,0.00136,68,308,-0.00276,0.00549
2012,Further vocational education,0.00478,164,308,-0.00294,0.01249
2012,Others,0.00228,76,308,-0.00306,0.00762
2013,Vocational Retraining,0.00182,78,362,-0.00258,0.00622
2013,Further vocational education,0.00493,197,362,-0.00230,0.01215
2013,Others,0.00201,87,362,-0.00261,0.00663
2014,Vocational Retraining,0.00168,75,321,-0.00281,0.00617
2014,Further vocational education,0.00539,173,321,-0.00263,0.01342
2014,Others,0.00195,73,321,-0.00288,0.00678
2015,Vocational Retraining,0.00191,68,260,-0.00341,0.00724
2015,Further vocational education,0.00397,126,260,-0.00369,0.01164
2015,Others,0.00312,66,260,-0.00367,0.00991
2016,Vocational Retraining,0.00128,63,312,-0.00269,0.00526
2016,Further vocational education,0.00533,155,312,-0.00276,0.01343
2016,Others,0.00175,61,312,-0.00289,0.00638
2016,Integration/Language course,0.00003,33,312,-0.00061,0.00067
2017,Vocational Retraining,0.00096,66,349,-0.00230,0.00422
2017,Further vocational education,0.00495,179,349,-0.00242,0.01233
2017,Others,0.00200,66,349,-0.00269,0.00669
2017,Integration/Language course,0.00004,38,349,-0.00066,0.00075
2018,Vocational Retraining,0.00179,77,329,-0.00278,0.00636
2018,Further vocational education,0.00392,137,329,-0.00284,0.01068
2018,Others,0.00149,74,329,-0.00268,0.00566
2018,Integration/Language course,0.00005,41,329,-0.00068,0.00077
2019,Vocational Retraining,0.00141,65,264,-0.00312,0.00594
2019,Further vocational education,0.00371,128,264,-0.00364,0.01105
2019,Others,0.00175,71,264,-0.00330,0.00680
2020,Vocational Retraining,0.00155,61,256,-0.00328,0.00637
2020,Further vocational education,0.00295,128,256,-0.00371,0.00960
2020,Others,0.00171,67,256,-0.00336,0.00678
2021,Vocational Retraining,0.00110,48,160,-0.00405,0.00625
2021,Further vocational education,0.00416,112,160,-0.00584,0.01416
