year,age_gr,regtyp,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,30-45 y.,Urban regions,Others,0.00773,36,98,-0.00970,0.02517
2000,30-45 y.,Rural regions,Further vocational education,0.01695,51,51,-0.01883,0.05274
2001,17-29 y.,Urban regions,Further vocational education,0.01269,34,34,-0.02550,0.05088
2001,30-45 y.,Urban regions,Further vocational education,0.01596,73,73,-0.01299,0.04491
2001,30-45 y.,Rural regions,Further vocational education,0.01264,32,32,-0.02669,0.05197
2002,17-29 y.,Urban regions,Others,0.01222,37,37,-0.02367,0.04811
2002,30-45 y.,Urban regions,Further vocational education,0.01574,69,69,-0.01384,0.04533
2002,30-45 y.,Rural regions,Further vocational education,0.01295,31,31,-0.02751,0.05341
2003,17-29 y.,Urban regions,Others,0.01017,32,32,-0.02515,0.04549
2003,30-45 y.,Urban regions,Further vocational education,0.01336,57,57,-0.01671,0.04343
2003,30-45 y.,Rural regions,Further vocational education,0.01398,36,36,-0.02492,0.05288
2004,17-29 y.,Urban regions,Further vocational education,0.01291,33,33,-0.02620,0.05201
2004,30-45 y.,Urban regions,Further vocational education,0.01172,52,52,-0.01782,0.04126
2005,30-45 y.,Urban regions,Further vocational education,0.01054,38,38,-0.02237,0.04346
2006,30-45 y.,Urban regions,Further vocational education,0.00773,35,35,-0.02171,0.03717
2007,30-45 y.,Urban regions,Further vocational education,0.00893,33,33,-0.02367,0.04153
2010,30-45 y.,Urban regions,Further vocational education,0.00869,54,54,-0.01630,0.03367
2011,30-45 y.,Urban regions,Vocational Retraining,0.00517,39,109,-0.00835,0.01869
2011,30-45 y.,Urban regions,Further vocational education,0.01489,70,109,-0.00795,0.03772
2011,30-45 y.,Rural regions,Further vocational education,0.01257,34,34,-0.02544,0.05059
2012,30-45 y.,Urban regions,Vocational Retraining,0.00280,31,80,-0.00885,0.01445
2012,30-45 y.,Urban regions,Further vocational education,0.00877,49,80,-0.01179,0.02934
2012,46-65 y.,Urban regions,Further vocational education,0.00379,32,32,-0.01783,0.02540
2013,30-45 y.,Urban regions,Vocational Retraining,0.00565,40,104,-0.00883,0.02013
2013,30-45 y.,Urban regions,Further vocational education,0.01218,64,104,-0.00900,0.03336
2013,30-45 y.,Rural regions,Further vocational education,0.01566,39,39,-0.02382,0.05513
2013,46-65 y.,Urban regions,Further vocational education,0.00431,36,36,-0.01739,0.02601
2014,30-45 y.,Urban regions,Vocational Retraining,0.00499,34,81,-0.01045,0.02043
2014,30-45 y.,Urban regions,Further vocational education,0.01069,47,81,-0.01185,0.03323
2015,30-45 y.,Urban regions,Further vocational education,0.01160,47,47,-0.01934,0.04254
2016,17-29 y.,Urban regions,Further vocational education,0.01694,31,31,-0.02924,0.06311
2016,30-45 y.,Urban regions,Further vocational education,0.01465,57,57,-0.01682,0.04612
2017,30-45 y.,Urban regions,Further vocational education,0.01310,58,58,-0.01642,0.04263
2018,30-45 y.,Urban regions,Vocational Retraining,0.00852,36,85,-0.01114,0.02818
2018,30-45 y.,Urban regions,Further vocational education,0.01093,49,85,-0.01131,0.03317
2019,30-45 y.,Urban regions,Further vocational education,0.00842,32,32,-0.02374,0.04058
2020,30-45 y.,Urban regions,Further vocational education,0.00523,44,44,-0.01633,0.02679
2021,30-45 y.,Urban regions,Further vocational education,0.01294,34,34,-0.02562,0.05149
