year,sex,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,female,Southern Europe,0.02103,353,7179,0.01771,0.02435
1998,female,Central Asia,0.00466,54,7179,0.00309,0.00624
1998,female,Western Asia,0.01793,286,7179,0.01486,0.02100
1998,female,Eastern Europe,0.03143,285,7179,0.02740,0.03547
1998,female,Western Europe,0.00682,37,7179,0.00491,0.00872
1999,male,Germany,0.70810,5501,6457,0.69701,0.71919
1999,male,Southern Europe,0.02850,390,6457,0.02444,0.03256
1999,male,Central Asia,0.00486,50,6457,0.00316,0.00655
1999,male,Western Asia,0.02206,289,6457,0.01848,0.02564
1999,male,Eastern Europe,0.02852,227,6457,0.02446,0.03258
1999,female,Germany,0.72873,5969,6931,0.71826,0.73920
1999,female,Southern Europe,0.02053,318,6931,0.01719,0.02386
1999,female,Central Asia,0.00512,53,6931,0.00344,0.00680
1999,female,Western Asia,0.01815,275,6931,0.01501,0.02130
1999,female,Eastern Europe,0.03399,280,6931,0.02972,0.03826
1999,female,Western Europe,0.00810,36,6931,0.00599,0.01022
2000,male,Germany,0.71130,9963,11373,0.70298,0.71963
2000,male,Southern Europe,0.02337,444,11373,0.02059,0.02614
2000,male,Central Asia,0.00731,111,11373,0.00575,0.00888
2000,male,Western Asia,0.02208,385,11373,0.01937,0.02478
2000,male,Eastern Europe,0.02962,414,11373,0.02650,0.03274
2000,male,Western Europe,0.00627,56,11373,0.00482,0.00772
2000,female,Germany,0.73078,10844,12316,0.72294,0.73861
2000,female,Southern Europe,0.01949,387,12316,0.01705,0.02193
2000,female,Central Asia,0.00770,121,12316,0.00615,0.00924
2000,female,Western Asia,0.01684,342,12316,0.01457,0.01911
2000,female,Eastern Europe,0.03798,542,12316,0.03461,0.04136
2000,female,Western Europe,0.00802,80,12316,0.00645,0.00960
2001,male,Germany,0.71600,9095,10348,0.70731,0.72469
2001,male,Southern Europe,0.02169,392,10348,0.01889,0.02450
2001,male,Central Asia,0.00859,106,10348,0.00681,0.01037
2001,male,Western Asia,0.02237,345,10348,0.01952,0.02522
2001,male,Eastern Europe,0.02909,363,10348,0.02585,0.03233
2001,male,Western Europe,0.00587,47,10348,0.00440,0.00734
2001,female,Germany,0.73250,9910,11224,0.72431,0.74069
2001,female,Southern Europe,0.01931,349,11224,0.01676,0.02185
2001,female,Central Asia,0.00874,116,11224,0.00702,0.01046
2001,female,Western Asia,0.01758,316,11224,0.01515,0.02001
2001,female,Eastern Europe,0.03519,465,11224,0.03178,0.03859
2001,female,Western Europe,0.00787,68,11224,0.00623,0.00950
2002,male,Germany,0.71656,9767,10957,0.70812,0.72499
2002,male,Southern Europe,0.02182,355,10957,0.01908,0.02455
2002,male,Central Asia,0.00972,99,10957,0.00788,0.01156
2002,male,Western Asia,0.02344,324,10957,0.02061,0.02627
2002,male,Eastern Europe,0.02894,347,10957,0.02580,0.03208
2002,male,Western Europe,0.00656,65,10957,0.00505,0.00807
2002,female,Germany,0.73175,10463,11721,0.72372,0.73977
2002,female,Southern Europe,0.02026,323,11721,0.01771,0.02282
2002,female,Central Asia,0.00929,107,11721,0.00755,0.01102
2002,female,Western Asia,0.01803,293,11721,0.01562,0.02044
2002,female,Eastern Europe,0.03654,457,11721,0.03315,0.03994
2002,female,Western Europe,0.00735,78,11721,0.00581,0.00890
2003,male,Germany,0.71866,9413,10504,0.71006,0.72726
2003,male,Southern Europe,0.02102,322,10504,0.01828,0.02376
2003,male,Central Asia,0.00880,94,10504,0.00702,0.01059
2003,male,Western Asia,0.02273,293,10504,0.01988,0.02558
2003,male,Eastern Europe,0.02859,323,10504,0.02540,0.03178
2003,male,Western Europe,0.00666,59,10504,0.00511,0.00822
2003,female,Germany,0.73221,10134,11315,0.72405,0.74037
2003,female,Southern Europe,0.01936,295,11315,0.01682,0.02190
2003,female,Central Asia,0.00859,98,11315,0.00689,0.01029
2003,female,Western Asia,0.01839,271,11315,0.01591,0.02087
2003,female,Eastern Europe,0.03748,443,11315,0.03398,0.04098
2003,female,Western Europe,0.00749,74,11315,0.00590,0.00908
2004,male,Germany,0.72133,9163,10220,0.71263,0.73002
2004,male,Southern Europe,0.02271,310,10220,0.01982,0.02559
2004,male,Central Asia,0.00964,94,10220,0.00775,0.01153
2004,male,Western Asia,0.02347,280,10220,0.02054,0.02641
2004,male,Eastern Europe,0.02846,316,10220,0.02523,0.03168
2004,male,Western Europe,0.00662,57,10220,0.00505,0.00819
2004,female,Germany,0.73362,9913,11068,0.72539,0.74186
2004,female,Southern Europe,0.02097,287,11068,0.01830,0.02364
2004,female,Central Asia,0.00969,101,11068,0.00786,0.01151
2004,female,Western Asia,0.01876,264,11068,0.01623,0.02129
2004,female,Eastern Europe,0.03665,431,11068,0.03315,0.04015
2004,female,Western Europe,0.00816,72,11068,0.00648,0.00984
2005,male,Germany,0.72593,8783,9753,0.71708,0.73479
2005,male,Southern Europe,0.02404,286,9753,0.02100,0.02708
2005,male,Central Asia,0.00949,84,9753,0.00756,0.01141
2005,male,Western Asia,0.02254,258,9753,0.01959,0.02548
2005,male,Eastern Europe,0.02726,289,9753,0.02403,0.03050
2005,male,Western Europe,0.00691,53,9753,0.00526,0.00855
2005,female,Germany,0.73706,9548,10639,0.72869,0.74542
2005,female,Southern Europe,0.02136,265,10639,0.01861,0.02411
2005,female,Central Asia,0.01028,99,10639,0.00836,0.01219
2005,female,Western Asia,0.01995,257,10639,0.01729,0.02260
2005,female,Eastern Europe,0.03602,403,10639,0.03248,0.03956
2005,female,Western Europe,0.00797,67,10639,0.00628,0.00966
2006,male,Germany,0.73078,9524,10486,0.72229,0.73927
2006,male,Southern Europe,0.02354,260,10486,0.02064,0.02645
2006,male,Central Asia,0.00998,90,10486,0.00807,0.01188
2006,male,Western Asia,0.02217,243,10486,0.01935,0.02498
2006,male,Eastern Europe,0.02736,311,10486,0.02424,0.03049
2006,male,Western Europe,0.00734,58,10486,0.00570,0.00897
2006,female,Germany,0.73663,10362,11457,0.72857,0.74470
2006,female,Southern Europe,0.02074,243,11457,0.01813,0.02335
2006,female,Central Asia,0.01052,106,11457,0.00865,0.01239
2006,female,Western Asia,0.02084,245,11457,0.01822,0.02345
2006,female,Eastern Europe,0.03556,429,11457,0.03217,0.03895
2006,female,Western Europe,0.00807,72,11457,0.00643,0.00971
2007,male,Germany,0.73549,8967,9832,0.72677,0.74421
2007,male,Southern Europe,0.02555,233,9832,0.02243,0.02867
2007,male,Central Asia,0.00957,82,9832,0.00764,0.01149
2007,male,Western Asia,0.02055,209,9832,0.01774,0.02335
2007,male,Eastern Europe,0.02692,284,9832,0.02372,0.03011
2007,male,Western Europe,0.00788,57,9832,0.00613,0.00963
2007,female,Germany,0.74346,9750,10745,0.73520,0.75172
2007,female,Southern Europe,0.02247,224,10745,0.01966,0.02527
2007,female,Central Asia,0.00978,98,10745,0.00792,0.01164
2007,female,Western Asia,0.01987,213,10745,0.01723,0.02251
2007,female,Eastern Europe,0.03563,393,10745,0.03212,0.03913
2007,female,Western Europe,0.00815,67,10745,0.00645,0.00985
2008,male,Germany,0.73851,8453,9226,0.72955,0.74748
2008,male,Southern Europe,0.02737,218,9226,0.02404,0.03070
2008,male,Central Asia,0.00972,76,9226,0.00772,0.01172
2008,male,Western Asia,0.02015,185,9226,0.01729,0.02302
2008,male,Eastern Europe,0.02458,241,9226,0.02142,0.02774
2008,male,Western Europe,0.00789,53,9226,0.00609,0.00970
2008,female,Germany,0.74911,9208,10096,0.74066,0.75757
2008,female,Southern Europe,0.02277,206,10096,0.01986,0.02568
2008,female,Central Asia,0.00946,86,10096,0.00757,0.01135
2008,female,Western Asia,0.01818,177,10096,0.01558,0.02079
2008,female,Eastern Europe,0.03524,359,10096,0.03164,0.03883
2008,female,Western Europe,0.00814,60,10096,0.00639,0.00989
2009,male,Germany,0.74780,7964,8643,0.73864,0.75695
2009,male,Southern Europe,0.02705,194,8643,0.02363,0.03047
2009,male,Central Asia,0.00885,66,8643,0.00688,0.01083
2009,male,Western Asia,0.01981,155,8643,0.01687,0.02275
2009,male,Eastern Europe,0.02294,218,8643,0.01978,0.02609
2009,male,Western Europe,0.00734,46,8643,0.00554,0.00914
2009,female,Germany,0.75248,8623,9411,0.74376,0.76120
2009,female,Southern Europe,0.02244,182,9411,0.01945,0.02544
2009,female,Central Asia,0.00941,78,9411,0.00746,0.01137
2009,female,Western Asia,0.01659,149,9411,0.01401,0.01917
2009,female,Eastern Europe,0.03466,322,9411,0.03096,0.03835
2009,female,Western Europe,0.00839,57,9411,0.00655,0.01023
2010,male,Germany,0.73868,9767,10978,0.73046,0.74690
2010,male,Southern Asia,0.00416,47,10978,0.00296,0.00537
2010,male,Southern Europe,0.02952,294,10978,0.02635,0.03268
2010,male,Central Asia,0.01028,146,10978,0.00840,0.01217
2010,male,Western Asia,0.02001,271,10978,0.01739,0.02263
2010,male,Eastern Europe,0.02462,351,10978,0.02172,0.02752
2010,male,Western Europe,0.00837,69,10978,0.00666,0.01007
2010,male,Sub-Saharan Africa,0.00210,33,10978,0.00125,0.00296
2010,female,Germany,0.73841,11601,13176,0.73091,0.74592
2010,female,Southern Asia,0.00177,38,13176,0.00106,0.00249
2010,female,South-Eastern Asia,0.00292,36,13176,0.00200,0.00384
2010,female,Southern Europe,0.02583,287,13176,0.02313,0.02854
2010,female,Central Asia,0.01115,192,13176,0.00936,0.01295
2010,female,Western Asia,0.01665,257,13176,0.01447,0.01884
2010,female,Eastern Europe,0.03904,555,13176,0.03573,0.04234
2010,female,Northern Europe,0.00246,41,13176,0.00161,0.00330
2010,female,Western Europe,0.01109,87,13176,0.00930,0.01288
2010,female,Sub-Saharan Africa,0.00132,39,13176,0.00070,0.00194
2010,female,Latin America and the Caribbean,0.00340,43,13176,0.00241,0.00440
2011,male,Germany,0.73831,11665,13037,0.73076,0.74586
2011,male,Southern Asia,0.00297,46,13037,0.00204,0.00390
2011,male,Southern Europe,0.02352,296,13037,0.02092,0.02612
2011,male,Central Asia,0.01121,181,13037,0.00940,0.01301
2011,male,Western Asia,0.01725,258,13037,0.01501,0.01948
2011,male,Eastern Europe,0.02876,434,13037,0.02589,0.03163
2011,male,Northern Europe,0.00271,34,13037,0.00182,0.00361
2011,male,Western Europe,0.00862,87,13037,0.00703,0.01021
2011,male,Sub-Saharan Africa,0.00200,36,13037,0.00123,0.00276
2011,female,Germany,0.73896,13910,15704,0.73209,0.74583
2011,female,Southern Asia,0.00163,38,15704,0.00100,0.00226
2011,female,South-Eastern Asia,0.00352,44,15704,0.00260,0.00445
2011,female,Southern Europe,0.02158,301,15704,0.01930,0.02385
2011,female,Central Asia,0.01260,236,15704,0.01085,0.01434
2011,female,Western Asia,0.01395,241,15704,0.01211,0.01578
2011,female,Eastern Europe,0.04180,687,15704,0.03867,0.04493
2011,female,Northern Europe,0.00285,48,15704,0.00201,0.00368
2011,female,Western Europe,0.01008,110,15704,0.00852,0.01165
2011,female,Sub-Saharan Africa,0.00156,41,15704,0.00094,0.00217
2011,female,Latin America and the Caribbean,0.00288,48,15704,0.00204,0.00372
2012,male,Germany,0.73186,11422,12726,0.72416,0.73955
2012,male,Southern Asia,0.00266,37,12726,0.00177,0.00356
2012,male,Southern Europe,0.02329,269,12726,0.02067,0.02591
2012,male,Central Asia,0.01232,184,12726,0.01040,0.01423
2012,male,Western Asia,0.01625,217,12726,0.01405,0.01845
2012,male,Eastern Europe,0.03410,434,12726,0.03095,0.03725
2012,male,Northern Europe,0.00319,37,12726,0.00221,0.00417
2012,male,Western Europe,0.01015,88,12726,0.00841,0.01189
2012,male,Sub-Saharan Africa,0.00294,38,12726,0.00200,0.00388
2012,female,Germany,0.73616,13592,15293,0.72917,0.74314
2012,female,Southern Asia,0.00189,35,15293,0.00120,0.00258
2012,female,South-Eastern Asia,0.00376,42,15293,0.00279,0.00473
2012,female,Southern Europe,0.02327,285,15293,0.02089,0.02566
2012,female,Central Asia,0.01378,232,15293,0.01194,0.01563
2012,female,Western Asia,0.01375,212,15293,0.01190,0.01559
2012,female,Eastern Europe,0.04280,665,15293,0.03959,0.04601
2012,female,Northern Europe,0.00283,40,15293,0.00199,0.00368
2012,female,Western Europe,0.01119,113,15293,0.00952,0.01286
2012,female,Sub-Saharan Africa,0.00141,31,15293,0.00081,0.00200
2012,female,Latin America and the Caribbean,0.00261,46,15293,0.00180,0.00341
2013,male,Germany,0.72698,11332,14158,0.71964,0.73432
2013,male,Northern Africa,0.00259,58,14158,0.00175,0.00342
2013,male,Southern Asia,0.00428,81,14158,0.00321,0.00536
2013,male,Southern Europe,0.02187,612,14158,0.01946,0.02427
2013,male,Central Asia,0.01215,391,14158,0.01035,0.01396
2013,male,Western Asia,0.01991,486,14158,0.01761,0.02221
2013,male,Eastern Europe,0.03538,985,14158,0.03234,0.03843
2013,male,Northern Europe,0.00286,51,14158,0.00198,0.00374
2013,male,Western Europe,0.00819,96,14158,0.00670,0.00967
2013,male,Sub-Saharan Africa,0.00428,66,14158,0.00320,0.00535
2013,female,Germany,0.73652,13334,16871,0.72987,0.74317
2013,female,Northern Africa,0.00093,37,16871,0.00047,0.00139
2013,female,Southern Asia,0.00313,79,16871,0.00228,0.00397
2013,female,South-Eastern Asia,0.00422,69,16871,0.00324,0.00519
2013,female,Southern Europe,0.02102,646,16871,0.01885,0.02318
2013,female,Central Asia,0.01504,493,16871,0.01321,0.01688
2013,female,Western Asia,0.01639,465,16871,0.01447,0.01830
2013,female,Eastern Europe,0.04224,1439,16871,0.03921,0.04528
2013,female,Northern Europe,0.00225,53,16871,0.00153,0.00296
2013,female,Western Europe,0.00863,130,16871,0.00724,0.01003
2013,female,Sub-Saharan Africa,0.00268,63,16871,0.00190,0.00346
2013,female,Latin America and the Caribbean,0.00243,63,16871,0.00169,0.00317
2014,male,Germany,0.72821,10336,12645,0.72046,0.73597
2014,male,Northern Africa,0.00228,42,12645,0.00145,0.00311
2014,male,Southern Asia,0.00477,61,12645,0.00357,0.00597
2014,male,Southern Europe,0.02188,508,12645,0.01933,0.02442
2014,male,Central Asia,0.01199,314,12645,0.01009,0.01388
2014,male,Western Asia,0.02188,397,12645,0.01933,0.02443
2014,male,Eastern Europe,0.03304,803,12645,0.02993,0.03616
2014,male,Northern Europe,0.00301,40,12645,0.00205,0.00396
2014,male,Western Europe,0.00857,87,12645,0.00696,0.01018
2014,male,Sub-Saharan Africa,0.00496,57,12645,0.00374,0.00619
2014,female,Germany,0.73608,12046,14861,0.72899,0.74317
2014,female,Southern Asia,0.00368,65,14861,0.00271,0.00466
2014,female,South-Eastern Asia,0.00445,54,14861,0.00338,0.00552
2014,female,Southern Europe,0.02136,509,14861,0.01903,0.02368
2014,female,Central Asia,0.01435,393,14861,0.01244,0.01626
2014,female,Western Asia,0.01734,374,14861,0.01524,0.01944
2014,female,Eastern Europe,0.03915,1165,14861,0.03603,0.04227
2014,female,Northern Europe,0.00203,40,14861,0.00130,0.00275
2014,female,Western Europe,0.00908,111,14861,0.00755,0.01060
2014,female,Sub-Saharan Africa,0.00309,49,14861,0.00219,0.00398
2014,female,Latin America and the Caribbean,0.00301,55,14861,0.00213,0.00389
2015,male,Germany,0.72268,9819,12523,0.71484,0.73053
2015,male,Northern Africa,0.00281,69,12523,0.00188,0.00373
2015,male,Southern Asia,0.00568,100,12523,0.00436,0.00700
2015,male,Southern Europe,0.02378,586,12523,0.02111,0.02645
2015,male,Central Asia,0.01279,287,12523,0.01082,0.01475
2015,male,Western Asia,0.02215,398,12523,0.01957,0.02473
2015,male,Eastern Europe,0.03637,993,12523,0.03309,0.03965
2015,male,Northern Europe,0.00321,63,12523,0.00222,0.00420
2015,male,Western Europe,0.00823,97,12523,0.00665,0.00981
2015,male,Sub-Saharan Africa,0.00378,62,12523,0.00270,0.00485
2015,male,Latin America and the Caribbean,0.00241,49,12523,0.00155,0.00327
2015,female,Germany,0.73258,11472,14700,0.72543,0.73974
2015,female,Northern Africa,0.00123,44,14700,0.00067,0.00180
2015,female,Southern Asia,0.00434,97,14700,0.00327,0.00540
2015,female,South-Eastern Asia,0.00401,50,14700,0.00299,0.00504
2015,female,Southern Europe,0.02299,575,14700,0.02057,0.02542
2015,female,Central Asia,0.01585,370,14700,0.01383,0.01787
2015,female,Western Asia,0.01715,380,14700,0.01505,0.01925
2015,female,Eastern Europe,0.04212,1391,14700,0.03888,0.04537
2015,female,Northern Europe,0.00217,65,14700,0.00142,0.00292
2015,female,Western Europe,0.00921,124,14700,0.00766,0.01075
2015,female,Sub-Saharan Africa,0.00228,59,14700,0.00151,0.00305
2015,female,Latin America and the Caribbean,0.00322,73,14700,0.00230,0.00413
2016,male,Germany,0.71532,9128,13179,0.70762,0.72303
2016,male,Northern Africa,0.00283,73,13179,0.00192,0.00374
2016,male,Southern Asia,0.00711,323,13179,0.00567,0.00854
2016,male,Southern Europe,0.02539,544,13179,0.02271,0.02808
2016,male,Central Asia,0.01152,253,13179,0.00970,0.01334
2016,male,Western Asia,0.02621,1677,13179,0.02348,0.02893
2016,male,Eastern Europe,0.03351,850,13179,0.03044,0.03658
2016,male,Northern Europe,0.00331,53,13179,0.00233,0.00429
2016,male,Western Europe,0.00838,81,13179,0.00682,0.00994
2016,male,Sub-Saharan Africa,0.00365,151,13179,0.00262,0.00468
2016,male,Latin America and the Caribbean,0.00296,46,13179,0.00204,0.00389
2016,female,Germany,0.72829,10680,14694,0.72110,0.73549
2016,female,Northern Africa,0.00159,52,14694,0.00095,0.00224
2016,female,Southern Asia,0.00449,255,14694,0.00341,0.00557
2016,female,South-Eastern Asia,0.00449,47,14694,0.00341,0.00557
2016,female,Southern Europe,0.02473,535,14694,0.02222,0.02724
2016,female,Central Asia,0.01465,334,14694,0.01271,0.01660
2016,female,Western Asia,0.01852,1221,14694,0.01634,0.02070
2016,female,Eastern Europe,0.04154,1210,14694,0.03831,0.04476
2016,female,Northern Europe,0.00256,56,14694,0.00174,0.00338
2016,female,Western Europe,0.00938,110,14694,0.00783,0.01094
2016,female,Sub-Saharan Africa,0.00254,133,14694,0.00173,0.00336
2016,female,Latin America and the Caribbean,0.00344,61,14694,0.00249,0.00439
2017,male,Germany,0.71669,10382,14836,0.70944,0.72394
2017,male,Northern Africa,0.00219,65,14836,0.00143,0.00294
2017,male,Southern Asia,0.00753,408,14836,0.00614,0.00892
2017,male,Southern Europe,0.02564,458,14836,0.02310,0.02819
2017,male,Central Asia,0.00981,235,14836,0.00822,0.01140
2017,male,Western Asia,0.02718,2171,14836,0.02456,0.02980
2017,male,Eastern Europe,0.03121,770,14836,0.02841,0.03400
2017,male,Northern Europe,0.00246,51,14836,0.00167,0.00326
2017,male,Western Europe,0.00861,97,14836,0.00712,0.01010
2017,male,Sub-Saharan Africa,0.00377,160,14836,0.00278,0.00475
2017,male,Latin America and the Caribbean,0.00300,39,14836,0.00212,0.00388
2017,female,Germany,0.72011,11894,16333,0.71323,0.72700
2017,female,Northern Africa,0.00159,51,16333,0.00098,0.00221
2017,female,Southern Asia,0.00571,329,16333,0.00456,0.00687
2017,female,South-Eastern Asia,0.00510,48,16333,0.00401,0.00619
2017,female,Southern Europe,0.02697,474,16333,0.02449,0.02946
2017,female,Central Asia,0.01329,315,16333,0.01153,0.01504
2017,female,Western Asia,0.02011,1700,16333,0.01796,0.02226
2017,female,Eastern Europe,0.04133,1160,16333,0.03828,0.04438
