,Unnamed: 0,year,pgisced97,quintil_oecd,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
22,22,2005,Upper Secondary Level,3rd Quintile,"Yes, every week",0.14573,160,10223,0.12709,0.16539
23,23,2005,Upper Secondary Level,3rd Quintile,"Yes, every 2 weeks",0.16607,210,10223,0.15076,0.18268
24,24,2005,Upper Secondary Level,3rd Quintile,"Yes, every 3-4 weeks",0.09536,126,10223,0.08033,0.10918
25,25,2005,Upper Secondary Level,3rd Quintile,"Yes, less frequently",0.24256,284,10223,0.22246,0.26432
26,26,2005,Upper Secondary Level,4th Quintile,"No, never",0.37869,538,10223,0.35393,0.40071
27,27,2005,Upper Secondary Level,4th Quintile,"Yes, every week",0.13436,185,10223,0.12029,0.149
28,28,2005,Upper Secondary Level,4th Quintile,"Yes, every 2 weeks",0.1553,206,10223,0.13492,0.17275
29,29,2005,Upper Secondary Level,4th Quintile,"Yes, every 3-4 weeks",0.08829,133,10223,0.07847,0.09792
30,30,2005,Upper Secondary Level,4th Quintile,"Yes, less frequently",0.24335,339,10223,0.22348,0.26414
31,31,2005,Upper Secondary Level,5th Quintile,"No, never",0.39088,582,10223,0.36358,0.41758
32,32,2005,Upper Secondary Level,5th Quintile,"Yes, every week",0.14344,200,10223,0.12627,0.16574
33,33,2005,Upper Secondary Level,5th Quintile,"Yes, every 2 weeks",0.1292,166,10223,0.10961,0.14745
34,34,2005,Upper Secondary Level,5th Quintile,"Yes, every 3-4 weeks",0.09967,110,10223,0.08326,0.11659
35,35,2005,Upper Secondary Level,5th Quintile,"Yes, less frequently",0.23681,339,10223,0.21119,0.26271
36,36,2005,Post-secondary Non-tertiary Level,2nd Quintile,"No, never",1.0,47,10223,0.80193,1.22202
37,37,2005,Post-secondary Non-tertiary Level,3rd Quintile,"No, never",0.6226,54,10223,0.45281,0.82377
38,38,2005,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, less frequently",0.3774,34,10223,0.30476,0.45752
39,39,2005,Post-secondary Non-tertiary Level,4th Quintile,"No, never",0.687,83,10223,0.57094,0.79949
40,40,2005,Post-secondary Non-tertiary Level,4th Quintile,"Yes, less frequently",0.313,40,10223,0.2378,0.39555
41,41,2005,Post-secondary Non-tertiary Level,5th Quintile,"No, never",0.51411,124,10223,0.42479,0.62898
42,42,2005,Post-secondary Non-tertiary Level,5th Quintile,"Yes, every 2 weeks",0.13841,36,10223,0.10061,0.17307
43,43,2005,Post-secondary Non-tertiary Level,5th Quintile,"Yes, less frequently",0.34748,81,10223,0.2892,0.43993
44,44,2005,First Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",1.0,34,10223,0.75167,1.30084
45,45,2005,First Stage of Tertiary Education,3rd Quintile,"No, never",0.26092,45,10223,0.20728,0.30716
46,46,2005,First Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.35169,40,10223,0.27552,0.44564
47,47,2005,First Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.38738,50,10223,0.3088,0.48121
48,48,2005,First Stage of Tertiary Education,4th Quintile,"No, never",0.36284,97,10223,0.29949,0.42311
49,49,2005,First Stage of Tertiary Education,4th Quintile,"Yes, every week",0.15193,40,10223,0.11151,0.19007
50,50,2005,First Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.18342,48,10223,0.14377,0.22779
51,51,2005,First Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.30181,84,10223,0.2489,0.36271
52,52,2005,First Stage of Tertiary Education,5th Quintile,"No, never",0.31697,124,10223,0.25686,0.3727
53,53,2005,First Stage of Tertiary Education,5th Quintile,"Yes, every week",0.129,48,10223,0.09538,0.16437
54,54,2005,First Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.12225,43,10223,0.08543,0.16007
55,55,2005,First Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.09313,40,10223,0.06982,0.12165
56,56,2005,First Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.33866,122,10223,0.28637,0.4043
57,57,2005,Second Stage of Tertiary Education,1st Quintile,"No, never",1.0,42,10223,0.76716,1.23977
58,58,2005,Second Stage of Tertiary Education,2nd Quintile,"No, never",0.49119,56,10223,0.38064,0.59246
59,59,2005,Second Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",0.50881,52,10223,0.41143,0.62283
60,60,2005,Second Stage of Tertiary Education,3rd Quintile,"No, never",0.46469,118,10223,0.39739,0.54745
61,61,2005,Second Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.18995,35,10223,0.13993,0.24663
62,62,2005,Second Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.34535,83,10223,0.2901,0.39515
63,63,2005,Second Stage of Tertiary Education,4th Quintile,"No, never",0.38739,217,10223,0.3417,0.44447
64,64,2005,Second Stage of Tertiary Education,4th Quintile,"Yes, every week",0.10131,51,10223,0.0726,0.128
65,65,2005,Second Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.11866,53,10223,0.09348,0.14637
66,66,2005,Second Stage of Tertiary Education,4th Quintile,"Yes, every 3-4 weeks",0.0687,39,10223,0.05033,0.0894
67,67,2005,Second Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.32394,177,10223,0.28124,0.37473
68,68,2005,Second Stage of Tertiary Education,5th Quintile,"No, never",0.2976,579,10223,0.27273,0.33051
69,69,2005,Second Stage of Tertiary Education,5th Quintile,"Yes, every week",0.16293,285,10223,0.14067,0.1871
70,70,2005,Second Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.08308,177,10223,0.06877,0.0989
71,71,2005,Second Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.10159,190,10223,0.0882,0.11473
72,72,2005,Second Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.35479,606,10223,0.32614,0.38595
73,73,2007,Lower Secondary Level,1st Quintile,"No, never",1.0,80,10201,0.80585,1.19237
74,74,2007,Lower Secondary Level,2nd Quintile,"No, never",0.49507,83,10201,0.41409,0.57659
75,75,2007,Lower Secondary Level,2nd Quintile,"Yes, every week",0.29219,40,10201,0.22788,0.35506
76,76,2007,Lower Secondary Level,2nd Quintile,"Yes, less frequently",0.21274,31,10201,0.16195,0.26781
77,77,2007,Lower Secondary Level,3rd Quintile,"No, never",1.0,85,10201,0.85917,1.15199
78,78,2007,Lower Secondary Level,4th Quintile,"No, never",1.0,54,10201,0.73501,1.2615
79,79,2007,Lower Secondary Level,5th Quintile,"No, never",1.0,36,10201,0.76983,1.32563
80,80,2007,Upper Secondary Level,1st Quintile,"No, never",0.34593,229,10201,0.30481,0.38252
81,81,2007,Upper Secondary Level,1st Quintile,"Yes, every week",0.18961,112,10201,0.16166,0.21989
82,82,2007,Upper Secondary Level,1st Quintile,"Yes, every 2 weeks",0.16866,121,10201,0.14586,0.19334
83,83,2007,Upper Secondary Level,1st Quintile,"Yes, every 3-4 weeks",0.089,52,10201,0.06989,0.11145
84,84,2007,Upper Secondary Level,1st Quintile,"Yes, less frequently",0.2068,125,10201,0.17545,0.2406
85,85,2007,Upper Secondary Level,2nd Quintile,"No, never",0.36959,341,10201,0.34226,0.40284
86,86,2007,Upper Secondary Level,2nd Quintile,"Yes, every week",0.14956,151,10201,0.13308,0.16552
87,87,2007,Upper Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.16216,178,10201,0.14398,0.18105
88,88,2007,Upper Secondary Level,2nd Quintile,"Yes, every 3-4 weeks",0.11434,104,10201,0.09649,0.13481
89,89,2007,Upper Secondary Level,2nd Quintile,"Yes, less frequently",0.20435,218,10201,0.1817,0.22616
90,90,2007,Upper Secondary Level,3rd Quintile,"No, never",0.34465,436,10201,0.3189,0.36902
91,91,2007,Upper Secondary Level,3rd Quintile,"Yes, every week",0.13811,162,10201,0.12202,0.15672
92,92,2007,Upper Secondary Level,3rd Quintile,"Yes, every 2 weeks",0.18379,228,10201,0.16645,0.20457
93,93,2007,Upper Secondary Level,3rd Quintile,"Yes, every 3-4 weeks",0.10385,129,10201,0.08827,0.11899
94,94,2007,Upper Secondary Level,3rd Quintile,"Yes, less frequently",0.22962,279,10201,0.20982,0.24894
95,95,2007,Upper Secondary Level,4th Quintile,"No, never",0.3771,536,10201,0.34612,0.40374
96,96,2007,Upper Secondary Level,4th Quintile,"Yes, every week",0.11939,178,10201,0.10583,0.13541
97,97,2007,Upper Secondary Level,4th Quintile,"Yes, every 2 weeks",0.16594,239,10201,0.1486,0.18517
98,98,2007,Upper Secondary Level,4th Quintile,"Yes, every 3-4 weeks",0.09346,132,10201,0.08131,0.1076
99,99,2007,Upper Secondary Level,4th Quintile,"Yes, less frequently",0.2441,339,10201,0.22093,0.26428
100,100,2007,Upper Secondary Level,5th Quintile,"No, never",0.3804,528,10201,0.34901,0.40729
101,101,2007,Upper Secondary Level,5th Quintile,"Yes, every week",0.16204,212,10201,0.14383,0.18505
102,102,2007,Upper Secondary Level,5th Quintile,"Yes, every 2 weeks",0.13446,175,10201,0.11748,0.15213
103,103,2007,Upper Secondary Level,5th Quintile,"Yes, every 3-4 weeks",0.11195,133,10201,0.09803,0.12884
104,104,2007,Upper Secondary Level,5th Quintile,"Yes, less frequently",0.21114,300,10201,0.18937,0.23275
105,105,2007,Post-secondary Non-tertiary Level,1st Quintile,"No, never",1.0,32,10201,0.71589,1.37958
106,106,2007,Post-secondary Non-tertiary Level,2nd Quintile,"No, never",1.0,50,10201,0.80434,1.20032
107,107,2007,Post-secondary Non-tertiary Level,3rd Quintile,"No, never",0.55188,55,10201,0.41853,0.65981
108,108,2007,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, less frequently",0.44812,36,10201,0.33906,0.53565
109,109,2007,Post-secondary Non-tertiary Level,4th Quintile,"No, never",0.58022,81,10201,0.48566,0.67248
110,110,2007,Post-secondary Non-tertiary Level,4th Quintile,"Yes, less frequently",0.41978,62,10201,0.33461,0.51957
111,111,2007,Post-secondary Non-tertiary Level,5th Quintile,"No, never",0.57933,106,10201,0.4679,0.72386
112,112,2007,Post-secondary Non-tertiary Level,5th Quintile,"Yes, less frequently",0.42067,65,10201,0.3449,0.53135
113,113,2007,First Stage of Tertiary Education,2nd Quintile,"No, never",1.0,41,10201,0.78327,1.29825
114,114,2007,First Stage of Tertiary Education,3rd Quintile,"No, never",0.39931,65,10201,0.30236,0.50027
115,115,2007,First Stage of Tertiary Education,3rd Quintile,"Yes, every week",0.18632,37,10201,0.14248,0.2388
116,116,2007,First Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.22502,34,10201,0.16509,0.30275
117,117,2007,First Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.18935,37,10201,0.12952,0.24936
118,118,2007,First Stage of Tertiary Education,4th Quintile,"No, never",0.24804,78,10201,0.20468,0.29494
119,119,2007,First Stage of Tertiary Education,4th Quintile,"Yes, every week",0.12885,34,10201,0.09098,0.16481
120,120,2007,First Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.2805,57,10201,0.21909,0.35203
121,121,2007,First Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.34261,79,10201,0.28604,0.40995
122,122,2007,First Stage of Tertiary Education,5th Quintile,"No, never",0.2751,106,10201,0.23228,0.32355
123,123,2007,First Stage of Tertiary Education,5th Quintile,"Yes, every week",0.19383,53,10201,0.15357,0.24336
124,124,2007,First Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.12689,42,10201,0.09512,0.16695
125,125,2007,First Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.06538,32,10201,0.04599,0.08727
126,126,2007,First Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.3388,103,10201,0.28219,0.39722
127,127,2007,Second Stage of Tertiary Education,1st Quintile,"No, never",1.0,44,10201,0.7655,1.25637
128,128,2007,Second Stage of Tertiary Education,2nd Quintile,"No, never",0.57407,61,10201,0.47908,0.69166
129,129,2007,Second Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",0.42593,44,10201,0.32464,0.54666
130,130,2007,Second Stage of Tertiary Education,3rd Quintile,"No, never",0.33916,115,10201,0.29103,0.39558
131,131,2007,Second Stage of Tertiary Education,3rd Quintile,"Yes, every week",0.13754,38,10201,0.10155,0.1714
132,132,2007,Second Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.18411,41,10201,0.13281,0.24411
133,133,2007,Second Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.33918,103,10201,0.29007,0.39359
134,134,2007,Second Stage of Tertiary Education,4th Quintile,"No, never",0.32748,236,10201,0.28938,0.36968
135,135,2007,Second Stage of Tertiary Education,4th Quintile,"Yes, every week",0.12394,76,10201,0.09831,0.15018
136,136,2007,Second Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.12949,70,10201,0.10431,0.15885
137,137,2007,Second Stage of Tertiary Education,4th Quintile,"Yes, every 3-4 weeks",0.09381,60,10201,0.07009,0.11795
138,138,2007,Second Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.32527,191,10201,0.27932,0.37493
139,139,2007,Second Stage of Tertiary Education,5th Quintile,"No, never",0.29124,533,10201,0.26008,0.3154
140,140,2007,Second Stage of Tertiary Education,5th Quintile,"Yes, every week",0.16776,310,10201,0.14697,0.18563
141,141,2007,Second Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.10113,169,10201,0.08565,0.1195
142,142,2007,Second Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.11583,194,10201,0.09911,0.12983
143,143,2007,Second Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.32403,585,10201,0.29217,0.35808
144,144,2009,Lower Secondary Level,1st Quintile,"No, never",1.0,69,8958,0.85094,1.1991
145,145,2009,Lower Secondary Level,2nd Quintile,"No, never",1.0,77,8958,0.81729,1.21344
146,146,2009,Lower Secondary Level,3rd Quintile,"No, never",0.70517,80,8958,0.59882,0.83332
147,147,2009,Lower Secondary Level,3rd Quintile,"Yes, less frequently",0.29483,35,8958,0.19575,0.4108
148,148,2009,Lower Secondary Level,4th Quintile,"No, never",1.0,47,8958,0.78775,1.29656
149,149,2009,Upper Secondary Level,1st Quintile,"No, never",0.35972,220,8958,0.31707,0.40329
150,150,2009,Upper Secondary Level,1st Quintile,"Yes, every week",0.21868,108,8958,0.18853,0.25882
151,151,2009,Upper Secondary Level,1st Quintile,"Yes, every 2 weeks",0.18391,113,8958,0.14925,0.22099
152,152,2009,Upper Secondary Level,1st Quintile,"Yes, every 3-4 weeks",0.07957,51,8958,0.05999,0.10335
153,153,2009,Upper Secondary Level,1st Quintile,"Yes, less frequently",0.15813,97,8958,0.13416,0.18765
154,154,2009,Upper Secondary Level,2nd Quintile,"No, never",0.34719,295,8958,0.31217,0.38567
155,155,2009,Upper Secondary Level,2nd Quintile,"Yes, every week",0.1481,126,8958,0.1256,0.18017
156,156,2009,Upper Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.20051,174,8958,0.17045,0.22679
157,157,2009,Upper Secondary Level,2nd Quintile,"Yes, every 3-4 weeks",0.08928,78,8958,0.06778,0.11343
158,158,2009,Upper Secondary Level,2nd Quintile,"Yes, less frequently",0.21492,190,8958,0.18904,0.24559
159,159,2009,Upper Secondary Level,3rd Quintile,"No, never",0.34363,379,8958,0.31221,0.37436
160,160,2009,Upper Secondary Level,3rd Quintile,"Yes, every week",0.12736,143,8958,0.10705,0.15323
161,161,2009,Upper Secondary Level,3rd Quintile,"Yes, every 2 weeks",0.17374,198,8958,0.15002,0.195
162,162,2009,Upper Secondary Level,3rd Quintile,"Yes, every 3-4 weeks",0.09726,107,8958,0.08059,0.11855
163,163,2009,Upper Secondary Level,3rd Quintile,"Yes, less frequently",0.25801,291,8958,0.2323,0.29064
164,164,2009,Upper Secondary Level,4th Quintile,"No, never",0.37498,479,8958,0.34727,0.40572
165,165,2009,Upper Secondary Level,4th Quintile,"Yes, every week",0.13223,166,8958,0.11292,0.14895
166,166,2009,Upper Secondary Level,4th Quintile,"Yes, every 2 weeks",0.1642,196,8958,0.14035,0.18749
167,167,2009,Upper Secondary Level,4th Quintile,"Yes, every 3-4 weeks",0.09028,115,8958,0.07653,0.10363
168,168,2009,Upper Secondary Level,4th Quintile,"Yes, less frequently",0.23829,316,8958,0.2103,0.26471
169,169,2009,Upper Secondary Level,5th Quintile,"No, never",0.38924,460,8958,0.35409,0.43524
170,170,2009,Upper Secondary Level,5th Quintile,"Yes, every week",0.13319,169,8958,0.11921,0.14828
171,171,2009,Upper Secondary Level,5th Quintile,"Yes, every 2 weeks",0.13435,145,8958,0.11179,0.15738
172,172,2009,Upper Secondary Level,5th Quintile,"Yes, every 3-4 weeks",0.09875,95,8958,0.079,0.11763
173,173,2009,Upper Secondary Level,5th Quintile,"Yes, less frequently",0.24448,280,8958,0.2168,0.27485
174,174,2009,Post-secondary Non-tertiary Level,2nd Quintile,"No, never",1.0,40,8958,0.76908,1.26733
175,175,2009,Post-secondary Non-tertiary Level,3rd Quintile,"No, never",0.58627,56,8958,0.43055,0.76753
176,176,2009,Post-secondary Non-tertiary Level,3rd Quintile,"Yes, less frequently",0.41373,43,8958,0.3087,0.51885
177,177,2009,Post-secondary Non-tertiary Level,4th Quintile,"No, never",0.6095,78,8958,0.48579,0.73072
178,178,2009,Post-secondary Non-tertiary Level,4th Quintile,"Yes, less frequently",0.3905,50,8958,0.30882,0.47166
179,179,2009,Post-secondary Non-tertiary Level,5th Quintile,"No, never",0.63761,95,8958,0.48756,0.8305
180,180,2009,Post-secondary Non-tertiary Level,5th Quintile,"Yes, less frequently",0.36239,64,8958,0.2657,0.49344
181,181,2009,First Stage of Tertiary Education,2nd Quintile,"No, never",1.0,34,8958,0.74296,1.33087
182,182,2009,First Stage of Tertiary Education,3rd Quintile,"No, never",0.28152,45,8958,0.20286,0.36119
183,183,2009,First Stage of Tertiary Education,3rd Quintile,"Yes, every week",0.19184,33,8958,0.13797,0.26543
184,184,2009,First Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.20163,37,8958,0.15191,0.24457
185,185,2009,First Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.32502,52,8958,0.24519,0.42116
186,186,2009,First Stage of Tertiary Education,4th Quintile,"No, never",0.42298,80,8958,0.3361,0.53997
187,187,2009,First Stage of Tertiary Education,4th Quintile,"Yes, every week",0.19305,32,8958,0.13247,0.25753
188,188,2009,First Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.38397,66,8958,0.29911,0.47738
189,189,2009,First Stage of Tertiary Education,5th Quintile,"No, never",0.33346,92,8958,0.2509,0.41363
190,190,2009,First Stage of Tertiary Education,5th Quintile,"Yes, every week",0.21424,49,8958,0.15459,0.27846
191,191,2009,First Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.12695,38,8958,0.09055,0.16881
192,192,2009,First Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.32536,84,8958,0.25555,0.39309
193,193,2009,Second Stage of Tertiary Education,1st Quintile,"No, never",1.0,46,8958,0.75622,1.25149
194,194,2009,Second Stage of Tertiary Education,2nd Quintile,"No, never",0.50637,64,8958,0.36227,0.66512
195,195,2009,Second Stage of Tertiary Education,2nd Quintile,"Yes, less frequently",0.49363,54,8958,0.37787,0.62914
196,196,2009,Second Stage of Tertiary Education,3rd Quintile,"No, never",0.42583,116,8958,0.33398,0.50733
197,197,2009,Second Stage of Tertiary Education,3rd Quintile,"Yes, every week",0.18187,46,8958,0.1332,0.25227
198,198,2009,Second Stage of Tertiary Education,3rd Quintile,"Yes, every 2 weeks",0.11494,39,8958,0.08255,0.15684
199,199,2009,Second Stage of Tertiary Education,3rd Quintile,"Yes, less frequently",0.27736,94,8958,0.20519,0.36016
200,200,2009,Second Stage of Tertiary Education,4th Quintile,"No, never",0.35566,202,8958,0.29998,0.4081
201,201,2009,Second Stage of Tertiary Education,4th Quintile,"Yes, every week",0.12786,85,8958,0.10545,0.15119
202,202,2009,Second Stage of Tertiary Education,4th Quintile,"Yes, every 2 weeks",0.10255,58,8958,0.07954,0.13252
203,203,2009,Second Stage of Tertiary Education,4th Quintile,"Yes, every 3-4 weeks",0.08462,57,8958,0.06492,0.10278
204,204,2009,Second Stage of Tertiary Education,4th Quintile,"Yes, less frequently",0.32931,174,8958,0.271,0.38517
205,205,2009,Second Stage of Tertiary Education,5th Quintile,"No, never",0.28002,458,8958,0.25466,0.30985
206,206,2009,Second Stage of Tertiary Education,5th Quintile,"Yes, every week",0.18354,298,8958,0.15862,0.209
207,207,2009,Second Stage of Tertiary Education,5th Quintile,"Yes, every 2 weeks",0.10434,147,8958,0.08983,0.12424
208,208,2009,Second Stage of Tertiary Education,5th Quintile,"Yes, every 3-4 weeks",0.0972,161,8958,0.0818,0.1141
209,209,2009,Second Stage of Tertiary Education,5th Quintile,"Yes, less frequently",0.33491,492,8958,0.30363,0.36746
210,210,2011,Lower Secondary Level,1st Quintile,"No, never",0.45948,128,11895,0.3631,0.57178
211,211,2011,Lower Secondary Level,1st Quintile,"Yes, every week",0.16688,48,11895,0.11307,0.23054
212,212,2011,Lower Secondary Level,1st Quintile,"Yes, every 2 weeks",0.18835,59,11895,0.13153,0.26795
213,213,2011,Lower Secondary Level,1st Quintile,"Yes, every 3-4 weeks",0.0757,31,11895,0.04794,0.11151
214,214,2011,Lower Secondary Level,1st Quintile,"Yes, less frequently",0.1096,39,11895,0.0772,0.15276
215,215,2011,Lower Secondary Level,2nd Quintile,"No, never",0.51039,107,11895,0.40716,0.61181
216,216,2011,Lower Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.30875,53,11895,0.21359,0.4266
217,217,2011,Lower Secondary Level,2nd Quintile,"Yes, less frequently",0.18086,36,11895,0.10106,0.26463
218,218,2011,Lower Secondary Level,3rd Quintile,"No, never",0.64197,57,11895,0.47702,0.79729
219,219,2011,Lower Secondary Level,3rd Quintile,"Yes, every week",0.35803,37,11895,0.25461,0.47237
220,220,2011,Lower Secondary Level,4th Quintile,"No, never",1.0,51,11895,0.74467,1.23233
221,221,2011,Upper Secondary Level,1st Quintile,"No, never",0.36941,406,11895,0.32467,0.42305
222,222,2011,Upper Secondary Level,1st Quintile,"Yes, every week",0.16449,179,11895,0.1347,0.2055
223,223,2011,Upper Secondary Level,1st Quintile,"Yes, every 2 weeks",0.22018,217,11895,0.16983,0.27628
224,224,2011,Upper Secondary Level,1st Quintile,"Yes, every 3-4 weeks",0.07415,92,11895,0.05741,0.09716
225,225,2011,Upper Secondary Level,1st Quintile,"Yes, less frequently",0.17177,173,11895,0.13118,0.22007
226,226,2011,Upper Secondary Level,2nd Quintile,"No, never",0.35276,515,11895,0.31871,0.3893
227,227,2011,Upper Secondary Level,2nd Quintile,"Yes, every week",0.13108,190,11895,0.10766,0.15429
228,228,2011,Upper Secondary Level,2nd Quintile,"Yes, every 2 weeks",0.2328,313,11895,0.20037,0.26882
229,229,2011,Upper Secondary Level,2nd Quintile,"Yes, every 3-4 weeks",0.09165,146,11895,0.07612,0.10652
230,230,2011,Upper Secondary Level,2nd Quintile,"Yes, less frequently",0.19172,299,11895,0.1651,0.22693
231,231,2011,Upper Secondary Level,3rd Quintile,"No, never",0.36171,503,11895,0.31384,0.40556
232,232,2011,Upper Secondary Level,3rd Quintile,"Yes, every week",0.14864,191,11895,0.12851,0.1717
233,233,2011,Upper Secondary Level,3rd Quintile,"Yes, every 2 weeks",0.1501,259,11895,0.12889,0.1705
234,234,2011,Upper Secondary Level,3rd Quintile,"Yes, every 3-4 weeks",0.12615,145,11895,0.10081,0.1542
235,235,2011,Upper Secondary Level,3rd Quintile,"Yes, less frequently",0.2134,304,11895,0.18472,0.24595
236,236,2011,Upper Secondary Level,4th Quintile,"No, never",0.39172,493,11895,0.3522,0.4294
237,237,2011,Upper Secondary Level,4th Quintile,"Yes, every week",0.14684,167,11895,0.11948,0.17788
238,238,2011,Upper Secondary Level,4th Quintile,"Yes, every 2 weeks",0.16208,210,11895,0.13658,0.1848
239,239,2011,Upper Secondary Level,4th Quintile,"Yes, every 3-4 weeks",0.0975,120,11895,0.08287,0.11794
240,240,2011,Upper Secondary Level,4th Quintile,"Yes, less frequently",0.20186,284,11895,0.17377,0.23489
241,241,2011,Upper Secondary Level,5th Quintile,"No, never",0.42697,427,11895,0.38433,0.47997
242,242,2011,Upper Secondary Level,5th Quintile,"Yes, every week",0.13076,150,11895,0.10673,0.14827
243,243,2011,Upper Secondary Level,5th Quintile,"Yes, every 2 weeks",0.11012,110,11895,0.09269,0.12912
244,244,2011,Upper Secondary Level,5th Quintile,"Yes, every 3-4 weeks",0.08965,90,11895,0.06538,0.10973
245,245,2011,Upper Secondary Level,5th Quintile,"Yes, less frequently",0.2425,229,11895,0.20631,0.28122
246,246,2011,Post-secondary Non-tertiary Level,1st Quintile,"No, never",1.0,61,11895,0.78368,1.23046
247,247,2011,Post-secondary Non-tertiary Level,2nd Quintile,"No, never",0.42162,87,11895,0.2967,0.56607
248,248,2011,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, every week",0.18997,34,11895,0.12487,0.25588
249,249,2011,Post-secondary Non-tertiary Level,2nd Quintile,"Yes, every 2 weeks",0.17146,40,11895,0.08869,0.2672
