year,quintil_oecd,sex,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,3rd Quintile,female,"Yes, less frequently",0.06256,161,980,0.04739,0.07773
2005,4th Quintile,male,"No, never",0.17813,459,1465,0.15853,0.19773
2005,4th Quintile,male,"Yes, every week",0.08491,207,1465,0.07063,0.09919
2005,4th Quintile,male,"Yes, every 2 weeks",0.07403,182,1465,0.06062,0.08744
2005,4th Quintile,male,"Yes, every 3-4 weeks",0.05348,143,1465,0.04195,0.06500
2005,4th Quintile,male,"Yes, less frequently",0.18729,474,1465,0.16731,0.20728
2005,4th Quintile,female,"No, never",0.22761,593,1227,0.20414,0.25108
2005,4th Quintile,female,"Yes, every week",0.06090,138,1227,0.04751,0.07428
2005,4th Quintile,female,"Yes, every 2 weeks",0.07670,189,1227,0.06181,0.09160
2005,4th Quintile,female,"Yes, every 3-4 weeks",0.02720,80,1227,0.01810,0.03631
2005,4th Quintile,female,"Yes, less frequently",0.08371,227,1227,0.06821,0.09922
2005,5th Quintile,male,"No, never",0.18725,607,2199,0.17094,0.20356
2005,5th Quintile,male,"Yes, every week",0.11257,366,2199,0.09935,0.12578
2005,5th Quintile,male,"Yes, every 2 weeks",0.07333,247,2199,0.06244,0.08423
2005,5th Quintile,male,"Yes, every 3-4 weeks",0.07878,244,2199,0.06752,0.09004
2005,5th Quintile,male,"Yes, less frequently",0.23441,735,2199,0.21670,0.25212
2005,5th Quintile,female,"No, never",0.24646,857,1837,0.22674,0.26617
2005,5th Quintile,female,"Yes, every week",0.06462,211,1837,0.05338,0.07587
2005,5th Quintile,female,"Yes, every 2 weeks",0.06311,198,1837,0.05199,0.07424
2005,5th Quintile,female,"Yes, every 3-4 weeks",0.03928,133,1837,0.03039,0.04817
2005,5th Quintile,female,"Yes, less frequently",0.12362,438,1837,0.10857,0.13868
2007,1st Quintile,male,"No, never",0.12034,198,527,0.09254,0.14815
2007,1st Quintile,male,"Yes, every week",0.04462,81,527,0.02697,0.06226
2007,1st Quintile,male,"Yes, every 2 weeks",0.04732,91,527,0.02918,0.06547
2007,1st Quintile,male,"Yes, every 3-4 weeks",0.02503,56,527,0.01168,0.03838
2007,1st Quintile,male,"Yes, less frequently",0.05778,101,527,0.03784,0.07772
2007,1st Quintile,female,"No, never",0.09917,248,598,0.07520,0.12315
2007,1st Quintile,female,"Yes, every week",0.04562,97,598,0.02888,0.06236
2007,1st Quintile,female,"Yes, every 2 weeks",0.04370,108,598,0.02730,0.06010
2007,1st Quintile,female,"Yes, every 3-4 weeks",0.01820,40,598,0.00747,0.02892
2007,1st Quintile,female,"Yes, less frequently",0.04599,105,598,0.02918,0.06279
2007,2nd Quintile,male,"No, never",0.13192,268,856,0.10924,0.15460
2007,2nd Quintile,male,"Yes, every week",0.07315,144,856,0.05570,0.09060
2007,2nd Quintile,male,"Yes, every 2 weeks",0.06636,135,856,0.04968,0.08305
2007,2nd Quintile,male,"Yes, every 3-4 weeks",0.05114,106,856,0.03638,0.06591
2007,2nd Quintile,male,"Yes, less frequently",0.08604,203,856,0.06724,0.10483
2007,2nd Quintile,female,"No, never",0.13549,335,793,0.11166,0.15933
2007,2nd Quintile,female,"Yes, every week",0.05061,125,793,0.03534,0.06588
2007,2nd Quintile,female,"Yes, every 2 weeks",0.05174,146,793,0.03632,0.06717
2007,2nd Quintile,female,"Yes, every 3-4 weeks",0.02102,51,793,0.01103,0.03101
2007,2nd Quintile,female,"Yes, less frequently",0.05767,136,793,0.04143,0.07391
2007,3rd Quintile,male,"No, never",0.15779,344,1132,0.13654,0.17903
2007,3rd Quintile,male,"Yes, every week",0.06583,142,1132,0.05138,0.08029
2007,3rd Quintile,male,"Yes, every 2 weeks",0.08797,174,1132,0.07146,0.10448
2007,3rd Quintile,male,"Yes, every 3-4 weeks",0.06160,124,1132,0.04759,0.07561
2007,3rd Quintile,male,"Yes, less frequently",0.15486,348,1132,0.13377,0.17594
2007,3rd Quintile,female,"No, never",0.15924,408,992,0.13646,0.18202
2007,3rd Quintile,female,"Yes, every week",0.05337,133,992,0.03937,0.06736
2007,3rd Quintile,female,"Yes, every 2 weeks",0.07742,196,992,0.06078,0.09406
2007,3rd Quintile,female,"Yes, every 3-4 weeks",0.03766,85,992,0.02581,0.04951
2007,3rd Quintile,female,"Yes, less frequently",0.06592,170,992,0.05047,0.08137
2007,4th Quintile,male,"No, never",0.16472,434,1447,0.14560,0.18384
2007,4th Quintile,male,"Yes, every week",0.06917,187,1447,0.05609,0.08225
2007,4th Quintile,male,"Yes, every 2 weeks",0.09608,220,1447,0.08089,0.11127
2007,4th Quintile,male,"Yes, every 3-4 weeks",0.06472,148,1447,0.05204,0.07740
2007,4th Quintile,male,"Yes, less frequently",0.18586,458,1447,0.16581,0.20591
2007,4th Quintile,female,"No, never",0.24179,607,1286,0.21838,0.26520
2007,4th Quintile,female,"Yes, every week",0.06320,157,1286,0.04990,0.07651
2007,4th Quintile,female,"Yes, every 2 weeks",0.07383,194,1286,0.05953,0.08813
2007,4th Quintile,female,"Yes, every 3-4 weeks",0.03632,109,1286,0.02609,0.04654
2007,4th Quintile,female,"Yes, less frequently",0.08497,219,1286,0.06972,0.10022
2007,5th Quintile,male,"No, never",0.18316,540,2080,0.16654,0.19979
2007,5th Quintile,male,"Yes, every week",0.12619,390,2080,0.11191,0.14046
2007,5th Quintile,male,"Yes, every 2 weeks",0.08170,241,2080,0.06992,0.09347
2007,5th Quintile,male,"Yes, every 3-4 weeks",0.08004,245,2080,0.06837,0.09170
2007,5th Quintile,male,"Yes, less frequently",0.21359,664,2080,0.19597,0.23121
2007,5th Quintile,female,"No, never",0.23026,770,1765,0.21061,0.24991
2007,5th Quintile,female,"Yes, every week",0.07575,233,1765,0.06340,0.08809
2007,5th Quintile,female,"Yes, every 2 weeks",0.06549,185,1765,0.05395,0.07704
2007,5th Quintile,female,"Yes, every 3-4 weeks",0.04897,147,1765,0.03890,0.05904
2007,5th Quintile,female,"Yes, less frequently",0.13048,430,1765,0.11476,0.14620
2009,1st Quintile,male,"No, never",0.11070,173,461,0.08203,0.13937
2009,1st Quintile,male,"Yes, every week",0.06626,82,461,0.04353,0.08899
2009,1st Quintile,male,"Yes, every 2 weeks",0.04368,69,461,0.02500,0.06235
2009,1st Quintile,male,"Yes, every 3-4 weeks",0.02977,38,461,0.01424,0.04530
2009,1st Quintile,male,"Yes, less frequently",0.05800,99,461,0.03664,0.07936
2009,1st Quintile,female,"No, never",0.11115,239,570,0.08533,0.13698
2009,1st Quintile,female,"Yes, every week",0.05857,109,570,0.03927,0.07786
2009,1st Quintile,female,"Yes, every 2 weeks",0.05132,109,570,0.03319,0.06945
2009,1st Quintile,female,"Yes, every 3-4 weeks",0.01328,38,570,0.00387,0.02268
2009,1st Quintile,female,"Yes, less frequently",0.03545,75,570,0.02026,0.05065
2009,2nd Quintile,male,"No, never",0.12387,235,714,0.09969,0.14805
2009,2nd Quintile,male,"Yes, every week",0.06555,107,714,0.04739,0.08372
2009,2nd Quintile,male,"Yes, every 2 weeks",0.06403,101,714,0.04606,0.08199
2009,2nd Quintile,male,"Yes, every 3-4 weeks",0.04416,71,714,0.02908,0.05924
2009,2nd Quintile,male,"Yes, less frequently",0.11585,200,714,0.09236,0.13935
2009,2nd Quintile,female,"No, never",0.13761,289,695,0.11198,0.16324
2009,2nd Quintile,female,"Yes, every week",0.04799,111,695,0.03208,0.06389
2009,2nd Quintile,female,"Yes, every 2 weeks",0.06429,135,695,0.04604,0.08254
2009,2nd Quintile,female,"Yes, every 3-4 weeks",0.02371,58,695,0.01239,0.03503
2009,2nd Quintile,female,"Yes, less frequently",0.04927,102,695,0.03317,0.06538
2009,3rd Quintile,male,"No, never",0.16219,303,1011,0.13945,0.18492
2009,3rd Quintile,male,"Yes, every week",0.07082,128,1011,0.05500,0.08664
2009,3rd Quintile,male,"Yes, every 2 weeks",0.07672,153,1011,0.06030,0.09313
2009,3rd Quintile,male,"Yes, every 3-4 weeks",0.05547,104,1011,0.04135,0.06959
2009,3rd Quintile,male,"Yes, less frequently",0.16395,323,1011,0.14112,0.18679
2009,3rd Quintile,female,"No, never",0.18668,382,969,0.16214,0.21123
2009,3rd Quintile,female,"Yes, every week",0.07110,132,969,0.05491,0.08729
2009,3rd Quintile,female,"Yes, every 2 weeks",0.08385,185,969,0.06639,0.10131
2009,3rd Quintile,female,"Yes, every 3-4 weeks",0.03228,73,969,0.02114,0.04341
2009,3rd Quintile,female,"Yes, less frequently",0.08918,197,969,0.07123,0.10713
2009,4th Quintile,male,"No, never",0.17529,368,1267,0.15435,0.19623
2009,4th Quintile,male,"Yes, every week",0.08008,178,1267,0.06513,0.09503
2009,4th Quintile,male,"Yes, every 2 weeks",0.08097,155,1267,0.06594,0.09600
2009,4th Quintile,male,"Yes, every 3-4 weeks",0.06266,143,1267,0.04931,0.07601
2009,4th Quintile,male,"Yes, less frequently",0.19915,423,1267,0.17715,0.22115
2009,4th Quintile,female,"No, never",0.24129,532,1168,0.21674,0.26584
2009,4th Quintile,female,"Yes, every week",0.06217,153,1168,0.04832,0.07602
2009,4th Quintile,female,"Yes, every 2 weeks",0.08149,184,1168,0.06580,0.09719
2009,4th Quintile,female,"Yes, every 3-4 weeks",0.03072,73,1168,0.02082,0.04062
2009,4th Quintile,female,"Yes, less frequently",0.08804,226,1168,0.07178,0.10430
2009,5th Quintile,male,"No, never",0.19063,490,1792,0.17244,0.20882
2009,5th Quintile,male,"Yes, every week",0.12523,344,1792,0.10990,0.14056
2009,5th Quintile,male,"Yes, every 2 weeks",0.08185,199,1792,0.06916,0.09455
2009,5th Quintile,male,"Yes, every 3-4 weeks",0.06685,192,1792,0.05528,0.07842
2009,5th Quintile,male,"Yes, less frequently",0.21604,567,1792,0.19698,0.23510
2009,5th Quintile,female,"No, never",0.25245,666,1538,0.23073,0.27417
2009,5th Quintile,female,"Yes, every week",0.08504,216,1538,0.07110,0.09899
2009,5th Quintile,female,"Yes, every 2 weeks",0.07023,165,1538,0.05745,0.08300
2009,5th Quintile,female,"Yes, every 3-4 weeks",0.05057,121,1538,0.03961,0.06152
2009,5th Quintile,female,"Yes, less frequently",0.14799,370,1538,0.13023,0.16574
2011,1st Quintile,male,"No, never",0.12162,327,933,0.10063,0.14260
2011,1st Quintile,male,"Yes, every week",0.05689,169,933,0.04202,0.07176
2011,1st Quintile,male,"Yes, every 2 weeks",0.05415,155,933,0.03962,0.06868
2011,1st Quintile,male,"Yes, every 3-4 weeks",0.02315,88,933,0.01350,0.03281
2011,1st Quintile,male,"Yes, less frequently",0.06313,194,933,0.04752,0.07875
2011,1st Quintile,female,"No, never",0.09886,450,1023,0.08056,0.11716
2011,1st Quintile,female,"Yes, every week",0.03880,158,1023,0.02696,0.05064
2011,1st Quintile,female,"Yes, every 2 weeks",0.05221,202,1023,0.03857,0.06585
2011,1st Quintile,female,"Yes, every 3-4 weeks",0.01845,86,1023,0.01020,0.02670
2011,1st Quintile,female,"Yes, less frequently",0.03627,127,1023,0.02481,0.04774
2011,2nd Quintile,male,"No, never",0.14556,367,1208,0.12567,0.16546
2011,2nd Quintile,male,"Yes, every week",0.05974,174,1208,0.04637,0.07311
2011,2nd Quintile,male,"Yes, every 2 weeks",0.09097,212,1208,0.07474,0.10719
2011,2nd Quintile,male,"Yes, every 3-4 weeks",0.04417,141,1208,0.03258,0.05576
2011,2nd Quintile,male,"Yes, less frequently",0.10916,314,1208,0.09157,0.12675
2011,2nd Quintile,female,"No, never",0.15091,536,1234,0.13093,0.17090
2011,2nd Quintile,female,"Yes, every week",0.05456,178,1234,0.04189,0.06724
2011,2nd Quintile,female,"Yes, every 2 weeks",0.07614,260,1234,0.06134,0.09095
2011,2nd Quintile,female,"Yes, every 3-4 weeks",0.02698,97,1234,0.01794,0.03603
2011,2nd Quintile,female,"Yes, less frequently",0.03472,163,1234,0.02450,0.04493
2011,3rd Quintile,male,"No, never",0.15801,401,1290,0.13810,0.17792
2011,3rd Quintile,male,"Yes, every week",0.05953,170,1290,0.04661,0.07244
2011,3rd Quintile,male,"Yes, every 2 weeks",0.06735,181,1290,0.05367,0.08103
2011,3rd Quintile,male,"Yes, every 3-4 weeks",0.07046,149,1290,0.05649,0.08443
2011,3rd Quintile,male,"Yes, less frequently",0.16252,389,1290,0.14238,0.18267
2011,3rd Quintile,female,"No, never",0.19596,567,1274,0.17415,0.21776
2011,3rd Quintile,female,"Yes, every week",0.08039,179,1274,0.06545,0.09532
2011,3rd Quintile,female,"Yes, every 2 weeks",0.07028,238,1274,0.05623,0.08432
2011,3rd Quintile,female,"Yes, every 3-4 weeks",0.03461,83,1274,0.02457,0.04465
2011,3rd Quintile,female,"Yes, less frequently",0.06729,207,1274,0.05353,0.08106
2011,4th Quintile,male,"No, never",0.18382,472,1510,0.16428,0.20336
2011,4th Quintile,male,"Yes, every week",0.08018,190,1510,0.06648,0.09388
2011,4th Quintile,male,"Yes, every 2 weeks",0.09223,217,1510,0.07763,0.10683
2011,4th Quintile,male,"Yes, every 3-4 weeks",0.06683,153,1510,0.05423,0.07943
2011,4th Quintile,male,"Yes, less frequently",0.18999,478,1510,0.17020,0.20979
2011,4th Quintile,female,"No, never",0.26266,649,1368,0.23933,0.28599
2011,4th Quintile,female,"Yes, every week",0.06223,159,1368,0.04943,0.07504
2011,4th Quintile,female,"Yes, every 2 weeks",0.08683,209,1368,0.07190,0.10176
2011,4th Quintile,female,"Yes, every 3-4 weeks",0.04075,114,1368,0.03027,0.05124
2011,4th Quintile,female,"Yes, less frequently",0.08590,237,1368,0.07104,0.10075
2011,5th Quintile,male,"No, never",0.20972,529,1756,0.19067,0.22877
2011,5th Quintile,male,"Yes, every week",0.12162,302,1756,0.10633,0.13691
2011,5th Quintile,male,"Yes, every 2 weeks",0.06823,191,1756,0.05644,0.08003
2011,5th Quintile,male,"Yes, every 3-4 weeks",0.06619,173,1756,0.05456,0.07783
2011,5th Quintile,male,"Yes, less frequently",0.21460,561,1756,0.19539,0.23381
2011,5th Quintile,female,"No, never",0.26363,707,1573,0.24185,0.28542
2011,5th Quintile,female,"Yes, every week",0.07705,213,1573,0.06387,0.09023
2011,5th Quintile,female,"Yes, every 2 weeks",0.05288,158,1573,0.04182,0.06394
2011,5th Quintile,female,"Yes, every 3-4 weeks",0.05773,145,1573,0.04620,0.06926
2011,5th Quintile,female,"Yes, less frequently",0.14044,350,1573,0.12326,0.15761
2013,1st Quintile,male,"No, never",0.10255,338,971,0.08345,0.12164
2013,1st Quintile,male,"Yes, every week",0.05639,159,971,0.04187,0.07091
2013,1st Quintile,male,"Yes, every 2 weeks",0.04590,164,971,0.03273,0.05907
2013,1st Quintile,male,"Yes, every 3-4 weeks",0.03163,92,971,0.02061,0.04264
2013,1st Quintile,male,"Yes, less frequently",0.06086,218,971,0.04582,0.07591
2013,1st Quintile,female,"No, never",0.10484,545,1316,0.08828,0.12140
2013,1st Quintile,female,"Yes, every week",0.05157,230,1316,0.03962,0.06353
2013,1st Quintile,female,"Yes, every 2 weeks",0.06216,290,1316,0.04911,0.07521
2013,1st Quintile,female,"Yes, every 3-4 weeks",0.02768,101,1316,0.01882,0.03655
2013,1st Quintile,female,"Yes, less frequently",0.03498,150,1316,0.02505,0.04491
2013,2nd Quintile,male,"No, never",0.14023,459,1402,0.12205,0.15841
2013,2nd Quintile,male,"Yes, every week",0.06892,201,1402,0.05565,0.08218
2013,2nd Quintile,male,"Yes, every 2 weeks",0.06865,215,1402,0.05541,0.08189
2013,2nd Quintile,male,"Yes, every 3-4 weeks",0.03484,142,1402,0.02524,0.04444
2013,2nd Quintile,male,"Yes, less frequently",0.10894,385,1402,0.09263,0.12526
2013,2nd Quintile,female,"No, never",0.14354,706,1591,0.12631,0.16078
2013,2nd Quintile,female,"Yes, every week",0.05459,209,1591,0.04342,0.06576
2013,2nd Quintile,female,"Yes, every 2 weeks",0.07730,329,1591,0.06417,0.09042
2013,2nd Quintile,female,"Yes, every 3-4 weeks",0.03051,117,1591,0.02206,0.03897
2013,2nd Quintile,female,"Yes, less frequently",0.05240,230,1591,0.04145,0.06335
2013,3rd Quintile,male,"No, never",0.16165,467,1465,0.14279,0.18051
2013,3rd Quintile,male,"Yes, every week",0.05250,184,1465,0.04107,0.06392
2013,3rd Quintile,male,"Yes, every 2 weeks",0.08542,223,1465,0.07110,0.09973
2013,3rd Quintile,male,"Yes, every 3-4 weeks",0.05975,171,1465,0.04761,0.07189
2013,3rd Quintile,male,"Yes, less frequently",0.13688,420,1465,0.11928,0.15449
2013,3rd Quintile,female,"No, never",0.20306,713,1541,0.18297,0.22315
2013,3rd Quintile,female,"Yes, every week",0.05857,167,1541,0.04684,0.07029
2013,3rd Quintile,female,"Yes, every 2 weeks",0.08690,288,1541,0.07283,0.10097
2013,3rd Quintile,female,"Yes, every 3-4 weeks",0.02877,109,1541,0.02042,0.03712
2013,3rd Quintile,female,"Yes, less frequently",0.06746,264,1541,0.05493,0.07999
2013,4th Quintile,male,"No, never",0.18293,547,1645,0.16424,0.20162
2013,4th Quintile,male,"Yes, every week",0.05921,204,1645,0.04780,0.07062
2013,4th Quintile,male,"Yes, every 2 weeks",0.09326,226,1645,0.07920,0.10732
2013,4th Quintile,male,"Yes, every 3-4 weeks",0.05301,147,1645,0.04218,0.06384
2013,4th Quintile,male,"Yes, less frequently",0.20454,521,1645,0.18504,0.22404
2013,4th Quintile,female,"No, never",0.23601,765,1673,0.21565,0.25636
2013,4th Quintile,female,"Yes, every week",0.06581,198,1673,0.05393,0.07770
2013,4th Quintile,female,"Yes, every 2 weeks",0.07986,252,1673,0.06687,0.09285
2013,4th Quintile,female,"Yes, every 3-4 weeks",0.04168,133,1673,0.03210,0.05126
2013,4th Quintile,female,"Yes, less frequently",0.10622,325,1673,0.09145,0.12099
2013,5th Quintile,male,"No, never",0.20340,606,2044,0.18594,0.22085
2013,5th Quintile,male,"Yes, every week",0.10200,305,2044,0.08888,0.11513
2013,5th Quintile,male,"Yes, every 2 weeks",0.06738,229,2044,0.05651,0.07825
2013,5th Quintile,male,"Yes, every 3-4 weeks",0.07298,207,2044,0.06170,0.08426
2013,5th Quintile,male,"Yes, less frequently",0.24188,697,2044,0.22331,0.26045
2013,5th Quintile,female,"No, never",0.26306,850,1868,0.24309,0.28303
2013,5th Quintile,female,"Yes, every week",0.07184,235,1868,0.06013,0.08355
2013,5th Quintile,female,"Yes, every 2 weeks",0.06943,194,1868,0.05790,0.08096
2013,5th Quintile,female,"Yes, every 3-4 weeks",0.04457,139,1868,0.03521,0.05393
2013,5th Quintile,female,"Yes, less frequently",0.14615,450,1868,0.13013,0.16218
2015,1st Quintile,male,"No, never",0.13192,388,1042,0.11136,0.15247
2015,1st Quintile,male,"Yes, every week",0.05544,174,1042,0.04154,0.06934
2015,1st Quintile,male,"Yes, every 2 weeks",0.05667,182,1042,0.04262,0.07071
2015,1st Quintile,male,"Yes, every 3-4 weeks",0.02258,81,1042,0.01355,0.03160
2015,1st Quintile,male,"Yes, less frequently",0.05524,217,1042,0.04136,0.06911
2015,1st Quintile,female,"No, never",0.10847,489,1199,0.09086,0.12608
2015,1st Quintile,female,"Yes, every week",0.06012,222,1199,0.04666,0.07358
2015,1st Quintile,female,"Yes, every 2 weeks",0.07610,268,1199,0.06108,0.09111
2015,1st Quintile,female,"Yes, every 3-4 weeks",0.02274,84,1199,0.01430,0.03119
2015,1st Quintile,female,"Yes, less frequently",0.03587,136,1199,0.02534,0.04640
2015,2nd Quintile,male,"No, never",0.14898,460,1409,0.13038,0.16758
2015,2nd Quintile,male,"Yes, every week",0.06773,202,1409,0.05460,0.08086
2015,2nd Quintile,male,"Yes, every 2 weeks",0.07764,248,1409,0.06366,0.09162
2015,2nd Quintile,male,"Yes, every 3-4 weeks",0.03929,131,1409,0.02915,0.04944
2015,2nd Quintile,male,"Yes, less frequently",0.12341,368,1409,0.10623,0.14059
2015,2nd Quintile,female,"No, never",0.15943,678,1580,0.14137,0.17749
2015,2nd Quintile,female,"Yes, every week",0.05123,226,1580,0.04036,0.06210
2015,2nd Quintile,female,"Yes, every 2 weeks",0.08087,317,1580,0.06742,0.09432
2015,2nd Quintile,female,"Yes, every 3-4 weeks",0.02841,116,1580,0.02022,0.03661
2015,2nd Quintile,female,"Yes, less frequently",0.05354,243,1580,0.04244,0.06464
2015,3rd Quintile,male,"No, never",0.17820,532,1499,0.15882,0.19757
2015,3rd Quintile,male,"Yes, every week",0.06138,179,1499,0.04922,0.07353
2015,3rd Quintile,male,"Yes, every 2 weeks",0.08472,214,1499,0.07062,0.09882
2015,3rd Quintile,male,"Yes, every 3-4 weeks",0.05216,157,1499,0.04090,0.06342
2015,3rd Quintile,male,"Yes, less frequently",0.15059,417,1499,0.13248,0.16870
2015,3rd Quintile,female,"No, never",0.21019,723,1559,0.18996,0.23042
2015,3rd Quintile,female,"Yes, every week",0.06227,188,1559,0.05027,0.07427
2015,3rd Quintile,female,"Yes, every 2 weeks",0.08203,272,1559,0.06840,0.09565
2015,3rd Quintile,female,"Yes, every 3-4 weeks",0.03030,118,1559,0.02179,0.03881
2015,3rd Quintile,female,"Yes, less frequently",0.07257,258,1559,0.05969,0.08545
2015,4th Quintile,male,"No, never",0.20918,568,1639,0.18948,0.22888
2015,4th Quintile,male,"Yes, every week",0.06484,206,1639,0.05291,0.07676
2015,4th Quintile,male,"Yes, every 2 weeks",0.09043,199,1639,0.07654,0.10431
2015,4th Quintile,male,"Yes, every 3-4 weeks",0.06058,158,1639,0.04902,0.07213
2015,4th Quintile,male,"Yes, less frequently",0.18668,508,1639,0.16781,0.20555
2015,4th Quintile,female,"No, never",0.24361,796,1700,0.22320,0.26402
2015,4th Quintile,female,"Yes, every week",0.06063,184,1700,0.04928,0.07198
2015,4th Quintile,female,"Yes, every 2 weeks",0.09579,274,1700,0.08179,0.10978
2015,4th Quintile,female,"Yes, every 3-4 weeks",0.03571,114,1700,0.02689,0.04453
2015,4th Quintile,female,"Yes, less frequently",0.11418,332,1700,0.09906,0.12930
2015,5th Quintile,male,"No, never",0.20860,586,1889,0.19027,0.22693
2015,5th Quintile,male,"Yes, every week",0.10480,277,1889,0.09099,0.11862
2015,5th Quintile,male,"Yes, every 2 weeks",0.06774,207,1889,0.05640,0.07907
2015,5th Quintile,male,"Yes, every 3-4 weeks",0.08058,207,1889,0.06830,0.09285
2015,5th Quintile,male,"Yes, less frequently",0.22128,612,1889,0.20255,0.24000
2015,5th Quintile,female,"No, never",0.27493,829,1775,0.25415,0.29570
2015,5th Quintile,female,"Yes, every week",0.07264,210,1775,0.06057,0.08472
2015,5th Quintile,female,"Yes, every 2 weeks",0.07042,177,1775,0.05851,0.08233
2015,5th Quintile,female,"Yes, every 3-4 weeks",0.05187,138,1775,0.04155,0.06219
2015,5th Quintile,female,"Yes, less frequently",0.14821,421,1775,0.13167,0.16474
2017,1st Quintile,male,"No, never",0.13440,373,957,0.11278,0.15602
2017,1st Quintile,male,"Yes, every week",0.06120,184,957,0.04601,0.07640
2017,1st Quintile,male,"Yes, every 2 weeks",0.04112,152,957,0.02853,0.05371
2017,1st Quintile,male,"Yes, every 3-4 weeks",0.02280,78,957,0.01334,0.03226
2017,1st Quintile,male,"Yes, less frequently",0.05166,170,957,0.03763,0.06569
2017,1st Quintile,female,"No, never",0.13958,541,1175,0.11976,0.15940
2017,1st Quintile,female,"Yes, every week",0.05357,216,1175,0.04069,0.06645
2017,1st Quintile,female,"Yes, every 2 weeks",0.04623,205,1175,0.03422,0.05824
2017,1st Quintile,female,"Yes, every 3-4 weeks",0.02371,109,1175,0.01500,0.03241
2017,1st Quintile,female,"Yes, less frequently",0.03428,104,1175,0.02387,0.04468
2017,2nd Quintile,male,"No, never",0.16498,460,1323,0.14497,0.18498
2017,2nd Quintile,male,"Yes, every week",0.06025,176,1323,0.04742,0.07307
2017,2nd Quintile,male,"Yes, every 2 weeks",0.07843,228,1323,0.06394,0.09293
2017,2nd Quintile,male,"Yes, every 3-4 weeks",0.04372,170,1323,0.03270,0.05474
2017,2nd Quintile,male,"Yes, less frequently",0.10782,289,1323,0.09110,0.12454
2017,2nd Quintile,female,"No, never",0.16704,676,1473,0.14798,0.18609
2017,2nd Quintile,female,"Yes, every week",0.05114,220,1473,0.03989,0.06240
2017,2nd Quintile,female,"Yes, every 2 weeks",0.07080,287,1473,0.05769,0.08390
2017,2nd Quintile,female,"Yes, every 3-4 weeks",0.03733,139,1473,0.02765,0.04702
2017,2nd Quintile,female,"Yes, less frequently",0.04090,151,1473,0.03078,0.05101
2017,3rd Quintile,male,"No, never",0.19151,508,1348,0.17050,0.21253
2017,3rd Quintile,male,"Yes, every week",0.05103,148,1348,0.03928,0.06278
2017,3rd Quintile,male,"Yes, every 2 weeks",0.07628,214,1348,0.06210,0.09045
2017,3rd Quintile,male,"Yes, every 3-4 weeks",0.05551,164,1348,0.04328,0.06774
2017,3rd Quintile,male,"Yes, less frequently",0.12754,314,1348,0.10973,0.14536
2017,3rd Quintile,female,"No, never",0.21663,722,1484,0.19566,0.23760
2017,3rd Quintile,female,"Yes, every week",0.06154,178,1484,0.04931,0.07377
2017,3rd Quintile,female,"Yes, every 2 weeks",0.08348,267,1484,0.06940,0.09756
