year,pgisced97,sampreg,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Second Stage of Tertiary Education,West,"Yes, less frequently",0.19389,909,3189,0.18017,0.20762
2013,Second Stage of Tertiary Education,East,"No, never",0.18704,339,931,0.16198,0.21210
2013,Second Stage of Tertiary Education,East,"Yes, every week",0.07220,121,931,0.05556,0.08883
2013,Second Stage of Tertiary Education,East,"Yes, every 2 weeks",0.06507,94,931,0.04922,0.08092
2013,Second Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.06263,94,931,0.04705,0.07820
2013,Second Stage of Tertiary Education,East,"Yes, less frequently",0.18237,283,931,0.15755,0.20719
2015,Primary Level,West,"No, never",0.15208,58,58,0.05886,0.24531
2015,Lower Secondary Level,West,"No, never",0.17152,473,1115,0.14938,0.19366
2015,Lower Secondary Level,West,"Yes, every week",0.07556,198,1115,0.06004,0.09108
2015,Lower Secondary Level,West,"Yes, every 2 weeks",0.07236,199,1115,0.05715,0.08758
2015,Lower Secondary Level,West,"Yes, every 3-4 weeks",0.02959,86,1115,0.01964,0.03955
2015,Lower Secondary Level,West,"Yes, less frequently",0.05459,159,1115,0.04125,0.06793
2015,Lower Secondary Level,East,"No, never",0.11114,54,86,0.04432,0.17796
2015,Lower Secondary Level,East,"Yes, every 2 weeks",0.10323,32,86,0.03855,0.16792
2015,Upper Secondary Level,West,"No, never",0.22248,2187,5403,0.21139,0.23357
2015,Upper Secondary Level,West,"Yes, every week",0.07262,768,5403,0.06570,0.07954
2015,Upper Secondary Level,West,"Yes, every 2 weeks",0.08994,894,5403,0.08231,0.09757
2015,Upper Secondary Level,West,"Yes, every 3-4 weeks",0.04337,440,5403,0.03794,0.04881
2015,Upper Secondary Level,West,"Yes, less frequently",0.12050,1114,5403,0.11181,0.12918
2015,Upper Secondary Level,East,"No, never",0.18210,501,1497,0.16254,0.20165
2015,Upper Secondary Level,East,"Yes, every week",0.06273,171,1497,0.05045,0.07502
2015,Upper Secondary Level,East,"Yes, every 2 weeks",0.12817,336,1497,0.11123,0.14510
2015,Upper Secondary Level,East,"Yes, every 3-4 weeks",0.04870,136,1497,0.03779,0.05961
2015,Upper Secondary Level,East,"Yes, less frequently",0.12823,353,1497,0.11129,0.14517
2015,Post-secondary Non-tertiary Level,West,"No, never",0.28170,569,1280,0.25705,0.30635
2015,Post-secondary Non-tertiary Level,West,"Yes, every week",0.07062,122,1280,0.05658,0.08466
2015,Post-secondary Non-tertiary Level,West,"Yes, every 2 weeks",0.11030,185,1280,0.09313,0.12746
2015,Post-secondary Non-tertiary Level,West,"Yes, every 3-4 weeks",0.06899,116,1280,0.05510,0.08288
2015,Post-secondary Non-tertiary Level,West,"Yes, less frequently",0.18162,288,1280,0.16049,0.20275
2015,Post-secondary Non-tertiary Level,East,"No, never",0.30124,82,166,0.23123,0.37124
2015,Post-secondary Non-tertiary Level,East,"Yes, every 2 weeks",0.15818,39,166,0.10250,0.21386
2015,Post-secondary Non-tertiary Level,East,"Yes, less frequently",0.19201,45,166,0.13191,0.25211
2015,First Stage of Tertiary Education,West,"No, never",0.20725,274,793,0.17902,0.23548
2015,First Stage of Tertiary Education,West,"Yes, every week",0.07749,87,793,0.05887,0.09612
2015,First Stage of Tertiary Education,West,"Yes, every 2 weeks",0.07569,90,793,0.05727,0.09411
2015,First Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.06429,75,793,0.04721,0.08137
2015,First Stage of Tertiary Education,West,"Yes, less frequently",0.22203,267,793,0.19309,0.25098
2015,First Stage of Tertiary Education,East,"No, never",0.18162,86,189,0.12651,0.23674
2015,First Stage of Tertiary Education,East,"Yes, every week",0.10912,38,189,0.06455,0.15369
2015,First Stage of Tertiary Education,East,"Yes, less frequently",0.21383,65,189,0.15522,0.27244
2015,Second Stage of Tertiary Education,West,"No, never",0.24058,1252,3247,0.22587,0.25528
2015,Second Stage of Tertiary Education,West,"Yes, every week",0.10206,457,3247,0.09165,0.11248
2015,Second Stage of Tertiary Education,West,"Yes, every 2 weeks",0.08435,365,3247,0.07479,0.09391
2015,Second Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.06394,289,3247,0.05552,0.07235
2015,Second Stage of Tertiary Education,West,"Yes, less frequently",0.17975,884,3247,0.16654,0.19296
2015,Second Stage of Tertiary Education,East,"No, never",0.21744,331,846,0.18963,0.24526
2015,Second Stage of Tertiary Education,East,"Yes, every week",0.06046,96,846,0.04439,0.07653
2015,Second Stage of Tertiary Education,East,"Yes, every 2 weeks",0.07550,93,846,0.05769,0.09331
2015,Second Stage of Tertiary Education,East,"Yes, every 3-4 weeks",0.06951,84,846,0.05237,0.08666
2015,Second Stage of Tertiary Education,East,"Yes, less frequently",0.16990,242,846,0.14458,0.19522
2017,Primary Level,West,"No, never",0.13115,75,111,0.06807,0.19424
2017,Primary Level,West,"Yes, every 2 weeks",0.08180,36,111,0.03058,0.13301
2017,Lower Secondary Level,West,"No, never",0.19843,525,1177,0.17563,0.22122
2017,Lower Secondary Level,West,"Yes, every week",0.06098,198,1177,0.04730,0.07465
2017,Lower Secondary Level,West,"Yes, every 2 weeks",0.06217,187,1177,0.04837,0.07598
2017,Lower Secondary Level,West,"Yes, every 3-4 weeks",0.04212,97,1177,0.03064,0.05360
2017,Lower Secondary Level,West,"Yes, less frequently",0.06756,170,1177,0.05321,0.08191
2017,Lower Secondary Level,East,"No, never",0.16568,70,104,0.09388,0.23748
2017,Lower Secondary Level,East,"Yes, every 2 weeks",0.10920,34,104,0.04896,0.16943
2017,Upper Secondary Level,West,"No, never",0.23940,2460,5767,0.22838,0.25041
2017,Upper Secondary Level,West,"Yes, every week",0.08242,835,5767,0.07532,0.08951
2017,Upper Secondary Level,West,"Yes, every 2 weeks",0.09152,943,5767,0.08408,0.09896
2017,Upper Secondary Level,West,"Yes, every 3-4 weeks",0.04651,511,5767,0.04108,0.05195
2017,Upper Secondary Level,West,"Yes, less frequently",0.10967,1018,5767,0.10161,0.11774
2017,Upper Secondary Level,East,"No, never",0.21654,633,1666,0.19676,0.23633
2017,Upper Secondary Level,East,"Yes, every week",0.07681,210,1666,0.06402,0.08960
2017,Upper Secondary Level,East,"Yes, every 2 weeks",0.10117,329,1666,0.08669,0.11566
2017,Upper Secondary Level,East,"Yes, every 3-4 weeks",0.05890,179,1666,0.04760,0.07021
2017,Upper Secondary Level,East,"Yes, less frequently",0.11469,315,1666,0.09939,0.13000
2017,Post-secondary Non-tertiary Level,West,"No, never",0.33302,669,1464,0.30887,0.35717
2017,Post-secondary Non-tertiary Level,West,"Yes, every week",0.08408,155,1464,0.06986,0.09830
2017,Post-secondary Non-tertiary Level,West,"Yes, every 2 weeks",0.11380,224,1464,0.09753,0.13007
2017,Post-secondary Non-tertiary Level,West,"Yes, every 3-4 weeks",0.06869,158,1464,0.05573,0.08165
2017,Post-secondary Non-tertiary Level,West,"Yes, less frequently",0.13056,258,1464,0.11329,0.14782
2017,Post-secondary Non-tertiary Level,East,"No, never",0.36374,106,224,0.30060,0.42688
2017,Post-secondary Non-tertiary Level,East,"Yes, every 2 weeks",0.13556,39,224,0.09063,0.18049
2017,Post-secondary Non-tertiary Level,East,"Yes, every 3-4 weeks",0.07236,32,224,0.03835,0.10636
2017,Post-secondary Non-tertiary Level,East,"Yes, less frequently",0.14851,47,224,0.10184,0.19519
2017,First Stage of Tertiary Education,West,"No, never",0.24833,308,811,0.21858,0.27809
2017,First Stage of Tertiary Education,West,"Yes, every week",0.07893,95,811,0.06036,0.09749
2017,First Stage of Tertiary Education,West,"Yes, every 2 weeks",0.10316,115,811,0.08221,0.12411
2017,First Stage of Tertiary Education,West,"Yes, every 3-4 weeks",0.05868,71,811,0.04249,0.07486
2017,First Stage of Tertiary Education,West,"Yes, less frequently",0.19200,222,811,0.16487,0.21912
2017,First Stage of Tertiary Education,East,"No, never",0.20931,97,192,0.15161,0.26700
2017,First Stage of Tertiary Education,East,"Yes, every 2 weeks",0.09102,39,192,0.05022,0.13181
