,Unnamed: 0,year,regtyp,plb0218_v1,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
32,32,2011,Urban regions,"Yes, every 2 weeks",0.14677,1558,16733,0.13874,0.15442
33,33,2011,Urban regions,"Yes, every 3-4 weeks",0.08753,954,16733,0.08104,0.09491
34,34,2011,Urban regions,"Yes, less frequently",0.22866,2459,16733,0.21852,0.24033
35,35,2011,Rural regions,"No, never",0.35221,2152,16733,0.33734,0.36974
36,36,2011,Rural regions,"Yes, every week",0.13767,878,16733,0.12726,0.14818
37,37,2011,Rural regions,"Yes, every 2 weeks",0.16999,1058,16733,0.15978,0.18142
38,38,2011,Rural regions,"Yes, every 3-4 weeks",0.10046,598,16733,0.08938,0.11111
39,39,2011,Rural regions,"Yes, less frequently",0.23966,1362,16733,0.22301,0.25525
40,40,2013,Urban regions,"No, never",0.37559,3954,15517,0.36085,0.39004
41,41,2013,Urban regions,"Yes, every week",0.13394,1311,15517,0.12634,0.14203
42,42,2013,Urban regions,"Yes, every 2 weeks",0.13974,1435,15517,0.131,0.14761
43,43,2013,Urban regions,"Yes, every 3-4 weeks",0.09376,843,15517,0.08711,0.10097
44,44,2013,Urban regions,"Yes, less frequently",0.25696,2350,15517,0.24465,0.2706
45,45,2013,Rural regions,"No, never",0.35695,2042,15517,0.33857,0.37375
46,46,2013,Rural regions,"Yes, every week",0.14012,781,15517,0.12832,0.15275
47,47,2013,Rural regions,"Yes, every 2 weeks",0.18562,976,15517,0.17168,0.20238
48,48,2013,Rural regions,"Yes, every 3-4 weeks",0.08343,515,15517,0.07611,0.09219
49,49,2013,Rural regions,"Yes, less frequently",0.23389,1310,15517,0.22029,0.24877
50,50,2015,Urban regions,"No, never",0.38758,3999,15291,0.37275,0.40056
51,51,2015,Urban regions,"Yes, every week",0.13324,1352,15291,0.12339,0.14356
52,52,2015,Urban regions,"Yes, every 2 weeks",0.15366,1465,15291,0.1426,0.16427
53,53,2015,Urban regions,"Yes, every 3-4 weeks",0.08868,833,15291,0.08083,0.09462
54,54,2015,Urban regions,"Yes, less frequently",0.23683,2268,15291,0.22453,0.25077
55,55,2015,Rural regions,"No, never",0.36902,2050,15291,0.35092,0.39122
56,56,2015,Rural regions,"Yes, every week",0.13995,716,15291,0.12726,0.15449
57,57,2015,Rural regions,"Yes, every 2 weeks",0.17174,893,15291,0.15961,0.18734
58,58,2015,Rural regions,"Yes, every 3-4 weeks",0.08245,471,15291,0.06864,0.09434
59,59,2015,Rural regions,"Yes, less frequently",0.23683,1244,15291,0.22102,0.25319
60,60,2017,Urban regions,"No, never",0.42791,4706,16756,0.41564,0.44429
61,61,2017,Urban regions,"Yes, every week",0.13079,1457,16756,0.12198,0.1402
62,62,2017,Urban regions,"Yes, every 2 weeks",0.14237,1514,16756,0.13516,0.15103
63,63,2017,Urban regions,"Yes, every 3-4 weeks",0.08876,1007,16756,0.08151,0.09462
64,64,2017,Urban regions,"Yes, less frequently",0.21015,2155,16756,0.19884,0.21946
65,65,2017,Rural regions,"No, never",0.40127,2432,16756,0.3809,0.42164
66,66,2017,Rural regions,"Yes, every week",0.13661,796,16756,0.12429,0.14857
67,67,2017,Rural regions,"Yes, every 2 weeks",0.1611,985,16756,0.14846,0.17202
68,68,2017,Rural regions,"Yes, every 3-4 weeks",0.0933,604,16756,0.08555,0.10598
69,69,2017,Rural regions,"Yes, less frequently",0.20773,1100,16756,0.19545,0.22139
70,70,2019,Urban regions,"No, never",0.4391,4548,16498,0.42314,0.45504
71,71,2019,Urban regions,"Yes, every week",0.12149,1535,16498,0.1137,0.13136
72,72,2019,Urban regions,"Yes, every 2 weeks",0.13878,1510,16498,0.13065,0.14989
73,73,2019,Urban regions,"Yes, every 3-4 weeks",0.0812,934,16498,0.07374,0.08857
74,74,2019,Urban regions,"Yes, less frequently",0.21944,2291,16498,0.20643,0.23161
75,75,2019,Rural regions,"No, never",0.40136,2292,16498,0.38259,0.4205
76,76,2019,Rural regions,"Yes, every week",0.13661,832,16498,0.12398,0.14841
77,77,2019,Rural regions,"Yes, every 2 weeks",0.15791,914,16498,0.14405,0.17155
78,78,2019,Rural regions,"Yes, every 3-4 weeks",0.09663,536,16498,0.08222,0.1094
79,79,2019,Rural regions,"Yes, less frequently",0.20749,1106,16498,0.19088,0.2243
80,80,2021,Urban regions,"No, never",0.45454,3218,10559,0.42908,0.47625
81,81,2021,Urban regions,"Yes, every week",0.11163,960,10559,0.10217,0.1235
82,82,2021,Urban regions,"Yes, every 2 weeks",0.13282,983,10559,0.12075,0.14709
83,83,2021,Urban regions,"Yes, every 3-4 weeks",0.08649,592,10559,0.07702,0.09616
84,84,2021,Urban regions,"Yes, less frequently",0.21453,1487,10559,0.20009,0.22956
85,85,2021,Rural regions,"No, never",0.45257,1403,10559,0.42293,0.49096
86,86,2021,Rural regions,"Yes, every week",0.13404,464,10559,0.11613,0.15424
87,87,2021,Rural regions,"Yes, every 2 weeks",0.15642,549,10559,0.13776,0.17629
88,88,2021,Rural regions,"Yes, every 3-4 weeks",0.08215,282,10559,0.06688,0.09833
89,89,2021,Rural regions,"Yes, less frequently",0.17481,621,10559,0.1588,0.19449
