syear,migback,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2015,Indirect migration background,Urban regions,2.64345593443791,2.599609070639092,2.687302798236728,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,1306.0
2015,Indirect migration background,Rural regions,2.6796979650183355,2.592355023323276,2.7670409067133948,1.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,305.0
2016,No migration background,Urban regions,,,,,,,,,,,,
2016,No migration background,Rural regions,,,,,,,,,,,,
2016,Direct migration background,Urban regions,2.058776955899835,2.0243591576770728,2.093194754122597,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,2078.0
2016,Direct migration background,Rural regions,1.7796901244102117,1.7335994582540664,1.825780790566357,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,834.0
2016,Indirect migration background,Urban regions,,,,,,,,,,,,
2016,Indirect migration background,Rural regions,,,,,,,,,,,,
2017,No migration background,Urban regions,,,,,,,,,,,,
2017,No migration background,Rural regions,,,,,,,,,,,,
2017,Direct migration background,Urban regions,1.6945298458549125,1.654583044703776,1.734476647006049,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1213.0
2017,Direct migration background,Rural regions,1.4544274692049164,1.4064983229005958,1.502356615509237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,596.0
2017,Indirect migration background,Urban regions,,,,,,,,,,,,
2017,Indirect migration background,Rural regions,,,,,,,,,,,,
2018,No migration background,Urban regions,,,,,,,,,,,,
2018,No migration background,Rural regions,,,,,,,,,,,,
2018,Direct migration background,Urban regions,1.527274575264067,1.4433599013470284,1.6111892491811057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,222.0
2018,Direct migration background,Rural regions,1.785655585418619,1.6432305245871737,1.9280806462500641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,145.0
2018,Indirect migration background,Urban regions,,,,,,,,,,,,
2018,Indirect migration background,Rural regions,,,,,,,,,,,,
2019,No migration background,Urban regions,,,,,,,,,,,,
2019,No migration background,Rural regions,,,,,,,,,,,,
2019,Direct migration background,Urban regions,1.8391783642059272,1.7291412035159484,1.949215524895906,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,159.0
2019,Direct migration background,Rural regions,2.0650764509017088,1.9113465039315731,2.218806397871844,1.0,1.0,3.0,1.0,6.0,1.0,0.0,1.0,96.0
2019,Indirect migration background,Urban regions,,,,,,,,,,,,
2019,Indirect migration background,Rural regions,,,,,,,,,,,,
2020,No migration background,Urban regions,2.396636457690003,2.384176684417658,2.4090962309623483,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,11567.0
2020,No migration background,Rural regions,2.5320672923121443,2.5153323576778157,2.548802226946473,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,6951.0
2020,Direct migration background,Urban regions,2.3843252174269995,2.367012747741405,2.401637687112594,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,7002.0
2020,Direct migration background,Rural regions,2.514486992610143,2.4801484661929565,2.54882551902733,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,2186.0
2020,Indirect migration background,Urban regions,2.407301170235443,2.366858513363561,2.447743827107325,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,1243.0
2020,Indirect migration background,Rural regions,2.2739744003750477,2.1967744051115483,2.351174395638547,1.0,2.0,3.0,1.0,6.0,2.0,2.0,2.0,293.0
2021,No migration background,Urban regions,,,,,,,,,,,,
2021,No migration background,Rural regions,,,,,,,,,,,,
2021,Direct migration background,Urban regions,1.881729497850637,1.782522342176961,1.980936653524313,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,199.0
2021,Direct migration background,Rural regions,1.3349462708567754,1.2134661026301778,1.456426439083373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0
2021,Indirect migration background,Urban regions,,,,,,,,,,,,
2021,Indirect migration background,Rural regions,,,,,,,,,,,,
