,Unnamed: 0,year,regtyp,rentown,hlc0052,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
42,42,2011,Urban regions,Tenant,Yes,0.12786,1126,16334,0.11894,0.13849
43,43,2011,Urban regions,Tenant,No,0.87214,4927,16334,0.84789,0.89925
44,44,2011,Rural regions,Owner,Yes,0.02901,110,16334,0.02276,0.03674
45,45,2011,Rural regions,Owner,No,0.97099,2940,16334,0.93271,1.00519
46,46,2011,Rural regions,Tenant,Yes,0.17299,703,16334,0.15703,0.1911
47,47,2011,Rural regions,Tenant,No,0.82701,2017,16334,0.7916,0.86802
48,48,2012,Urban regions,Owner,Yes,0.00947,57,16019,0.00735,0.01128
49,49,2012,Urban regions,Owner,No,0.99053,4358,16019,0.95844,1.01741
50,50,2012,Urban regions,Tenant,Yes,0.12498,1043,16019,0.11632,0.13714
51,51,2012,Urban regions,Tenant,No,0.87502,4791,16019,0.85376,0.8984
52,52,2012,Rural regions,Owner,Yes,0.02853,102,16019,0.02324,0.03528
53,53,2012,Rural regions,Owner,No,0.97147,2929,16019,0.93163,1.00658
54,54,2012,Rural regions,Tenant,Yes,0.16748,664,16019,0.15196,0.18525
55,55,2012,Rural regions,Tenant,No,0.83252,2075,16019,0.79944,0.87441
56,56,2013,Urban regions,Owner,Yes,0.01053,58,17551,0.00825,0.01324
57,57,2013,Urban regions,Owner,No,0.98947,4517,17551,0.95628,1.02458
58,58,2013,Urban regions,Tenant,Yes,0.13217,1349,17551,0.12324,0.14334
59,59,2013,Urban regions,Tenant,No,0.86783,5714,17551,0.84164,0.89092
60,60,2013,Rural regions,Owner,Yes,0.0283,88,17551,0.02149,0.03642
61,61,2013,Rural regions,Owner,No,0.9717,2878,17551,0.93106,1.01082
62,62,2013,Rural regions,Tenant,Yes,0.17088,698,17551,0.15414,0.1889
63,63,2013,Rural regions,Tenant,No,0.82912,2249,17551,0.79145,0.87054
64,64,2014,Urban regions,Owner,Yes,0.0112,70,15679,0.00888,0.01356
65,65,2014,Urban regions,Owner,No,0.9888,4149,15679,0.95456,1.0171
66,66,2014,Urban regions,Tenant,Yes,0.13316,1123,15679,0.12417,0.14162
67,67,2014,Urban regions,Tenant,No,0.86684,4954,15679,0.84045,0.89163
68,68,2014,Rural regions,Owner,Yes,0.02328,69,15679,0.01723,0.03131
69,69,2014,Rural regions,Owner,No,0.97672,2683,15679,0.94009,1.01828
70,70,2014,Rural regions,Tenant,Yes,0.17453,600,15679,0.15902,0.19302
71,71,2014,Rural regions,Tenant,No,0.82547,2031,15679,0.78698,0.8622
72,72,2015,Urban regions,Owner,Yes,0.01204,57,15420,0.00851,0.01569
73,73,2015,Urban regions,Owner,No,0.98796,3885,15420,0.95715,1.01681
74,74,2015,Urban regions,Tenant,Yes,0.14081,1145,15420,0.12946,0.15172
75,75,2015,Urban regions,Tenant,No,0.85919,5080,15420,0.83201,0.88536
76,76,2015,Rural regions,Owner,Yes,0.02561,71,15420,0.01877,0.03271
77,77,2015,Rural regions,Owner,No,0.97439,2535,15420,0.92792,1.01158
78,78,2015,Rural regions,Tenant,Yes,0.1636,580,15420,0.14792,0.18
79,79,2015,Rural regions,Tenant,No,0.8364,2067,15420,0.79543,0.87686
80,80,2016,Urban regions,Owner,Yes,0.01139,49,14107,0.008,0.01548
81,81,2016,Urban regions,Owner,No,0.98861,3655,14107,0.9542,1.02115
82,82,2016,Urban regions,Tenant,Yes,0.13695,987,14107,0.12601,0.14862
83,83,2016,Urban regions,Tenant,No,0.86305,4569,14107,0.83894,0.88457
84,84,2016,Rural regions,Owner,Yes,0.02151,59,14107,0.01538,0.02847
85,85,2016,Rural regions,Owner,No,0.97849,2424,14107,0.93696,1.018
86,86,2016,Rural regions,Tenant,Yes,0.16074,505,14107,0.13943,0.17884
87,87,2016,Rural regions,Tenant,No,0.83926,1859,14107,0.80036,0.88304
88,88,2017,Urban regions,Owner,Yes,0.00845,52,17080,0.00657,0.01058
89,89,2017,Urban regions,Owner,No,0.99155,4141,17080,0.96554,1.02723
90,90,2017,Urban regions,Tenant,Yes,0.13256,1418,17080,0.12167,0.14104
91,91,2017,Urban regions,Tenant,No,0.86744,5621,17080,0.84067,0.89025
92,92,2017,Rural regions,Owner,Yes,0.01525,51,17080,0.01099,0.02125
93,93,2017,Rural regions,Owner,No,0.98475,2718,17080,0.94571,1.02443
94,94,2017,Rural regions,Tenant,Yes,0.15091,667,17080,0.13433,0.16833
95,95,2017,Rural regions,Tenant,No,0.84909,2412,17080,0.80898,0.88843
96,96,2018,Urban regions,Owner,Yes,0.00996,43,17712,0.00676,0.01279
97,97,2018,Urban regions,Owner,No,0.99004,3993,17712,0.9572,1.02731
98,98,2018,Urban regions,Tenant,Yes,0.12422,1965,17712,0.11618,0.13515
99,99,2018,Urban regions,Tenant,No,0.87578,5815,17712,0.8516,0.90165
100,100,2018,Rural regions,Owner,Yes,0.01617,51,17712,0.01223,0.02102
101,101,2018,Rural regions,Owner,No,0.98383,2601,17712,0.94524,1.02829
102,102,2018,Rural regions,Tenant,Yes,0.15502,890,17712,0.13628,0.17433
103,103,2018,Rural regions,Tenant,No,0.84498,2354,17712,0.80469,0.88206
104,104,2019,Urban regions,Owner,No,1.0,4660,17792,0.95605,1.03809
105,105,2019,Urban regions,Tenant,Yes,0.11777,1884,17792,0.10684,0.12768
106,106,2019,Urban regions,Tenant,No,0.88223,5313,17792,0.85639,0.91139
107,107,2019,Rural regions,Owner,Yes,0.01433,41,17792,0.00999,0.01878
108,108,2019,Rural regions,Owner,No,0.98567,2919,17792,0.94951,1.0333
109,109,2019,Rural regions,Tenant,Yes,0.14527,837,17792,0.12816,0.16179
110,110,2019,Rural regions,Tenant,No,0.85473,2138,17792,0.81137,0.90601
111,111,2020,Urban regions,Owner,Yes,0.00711,32,19062,0.00413,0.00983
112,112,2020,Urban regions,Owner,No,0.99289,4162,19062,0.95996,1.02738
113,113,2020,Urban regions,Tenant,Yes,0.11309,2291,19062,0.10281,0.12484
114,114,2020,Urban regions,Tenant,No,0.88691,6691,19062,0.85543,0.91821
115,115,2020,Rural regions,Owner,Yes,0.01244,41,19062,0.00971,0.01538
116,116,2020,Rural regions,Owner,No,0.98756,2612,19062,0.93917,1.03705
117,117,2020,Rural regions,Tenant,Yes,0.14112,767,19062,0.12617,0.15689
118,118,2020,Rural regions,Tenant,No,0.85888,2466,19062,0.8141,0.90096
119,119,2021,Urban regions,Owner,Yes,0.01061,35,12480,0.00683,0.01421
120,120,2021,Urban regions,Owner,No,0.98939,3074,12480,0.9517,1.03355
121,121,2021,Urban regions,Tenant,Yes,0.10318,1101,12480,0.09081,0.11537
122,122,2021,Urban regions,Tenant,No,0.89682,4350,12480,0.86361,0.93261
123,123,2021,Rural regions,Owner,Yes,0.0171,35,12480,0.01126,0.02265
124,124,2021,Rural regions,Owner,No,0.9829,1921,12480,0.92772,1.03449
125,125,2021,Rural regions,Tenant,Yes,0.10843,355,12480,0.08829,0.12703
126,126,2021,Rural regions,Tenant,No,0.89157,1609,12480,0.84283,0.94718
