year,regtyp,sex,pli0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Urban regions,female,At least once per month,0.05741,618,8857,0.05257,0.06226
2013,Urban regions,female,Seldom,0.25090,2313,8857,0.24187,0.25993
2013,Urban regions,female,Never,0.65164,5493,8857,0.64172,0.66156
2013,Rural regions,male,At least once per week,0.08725,356,4229,0.07874,0.09576
2013,Rural regions,male,At least once per month,0.12378,515,4229,0.11386,0.13371
2013,Rural regions,male,Seldom,0.34335,1467,4229,0.32903,0.35766
2013,Rural regions,male,Never,0.44344,1891,4229,0.42846,0.45841
2013,Rural regions,female,At least once per week,0.03969,264,5003,0.03428,0.04510
2013,Rural regions,female,At least once per month,0.07081,378,5003,0.06370,0.07792
2013,Rural regions,female,Seldom,0.28024,1388,5003,0.26779,0.29269
2013,Rural regions,female,Never,0.60866,2973,5003,0.59513,0.62218
2017,Urban regions,male,At least once per week,0.09179,120,1521,0.07728,0.10631
2017,Urban regions,male,At least once per month,0.08442,124,1521,0.07044,0.09839
2017,Urban regions,male,Seldom,0.20388,306,1521,0.18362,0.22413
2017,Urban regions,male,Never,0.60386,971,1521,0.57927,0.62844
2017,Urban regions,female,Seldom,0.09277,127,1149,0.07599,0.10955
2017,Urban regions,female,Never,0.87225,1022,1149,0.85294,0.89156
2017,Rural regions,male,At least once per week,0.09058,67,689,0.06913,0.11203
2017,Rural regions,male,At least once per month,0.06274,52,689,0.04462,0.08087
2017,Rural regions,male,Seldom,0.17620,142,689,0.14773,0.20467
2017,Rural regions,male,Never,0.64496,428,689,0.60920,0.68072
2017,Rural regions,female,Seldom,0.06550,37,467,0.04303,0.08796
2017,Rural regions,female,Never,0.86707,430,467,0.83624,0.89789
2018,Urban regions,male,At least once per week,0.10730,155,1358,0.09083,0.12376
2018,Urban regions,male,At least once per month,0.11746,162,1358,0.10033,0.13459
2018,Urban regions,male,Seldom,0.23381,312,1358,0.21129,0.25633
2018,Urban regions,male,Never,0.53185,729,1358,0.50530,0.55840
2018,Urban regions,female,At least once per month,0.04096,47,908,0.02806,0.05386
2018,Urban regions,female,Seldom,0.12288,141,908,0.10152,0.14425
2018,Urban regions,female,Never,0.81128,720,908,0.78581,0.83674
2018,Rural regions,male,At least once per week,0.10976,60,493,0.08214,0.13739
2018,Rural regions,male,At least once per month,0.14424,58,493,0.11319,0.17528
2018,Rural regions,male,Seldom,0.24704,108,493,0.20893,0.28515
2018,Rural regions,male,Never,0.48930,267,493,0.44512,0.53347
2018,Rural regions,female,Seldom,0.08625,44,326,0.05573,0.11677
2018,Rural regions,female,Never,0.86545,282,326,0.82835,0.90255
2019,No answer / don't know,male,Seldom,0.25769,80,270,0.20542,0.30995
2019,No answer / don't know,male,Never,0.63634,190,270,0.57885,0.69382
2019,No answer / don't know,female,Seldom,0.27397,77,219,0.21476,0.33317
2019,No answer / don't know,female,Never,0.61546,142,219,0.55088,0.68004
2019,Urban regions,male,Daily,0.00228,40,9093,0.00130,0.00325
2019,Urban regions,male,At least once per week,0.06519,754,9093,0.06011,0.07026
2019,Urban regions,male,At least once per month,0.13979,1211,9093,0.13266,0.14692
2019,Urban regions,male,Seldom,0.34531,2975,9093,0.33554,0.35508
2019,Urban regions,male,Never,0.44744,4113,9093,0.43722,0.45766
2019,Urban regions,female,At least once per week,0.03845,436,9505,0.03458,0.04231
2019,Urban regions,female,At least once per month,0.06023,628,9505,0.05545,0.06502
2019,Urban regions,female,Seldom,0.25193,2471,9505,0.24321,0.26066
2019,Urban regions,female,Never,0.64770,5970,9505,0.63810,0.65730
2019,Rural regions,male,At least once per week,0.07889,402,4671,0.07115,0.08662
2019,Rural regions,male,At least once per month,0.13899,627,4671,0.12906,0.14891
2019,Rural regions,male,Seldom,0.34167,1583,4671,0.32807,0.35527
2019,Rural regions,male,Never,0.43740,2059,4671,0.42317,0.45162
2019,Rural regions,female,At least once per week,0.03848,232,4883,0.03309,0.04388
2019,Rural regions,female,At least once per month,0.07510,388,4883,0.06770,0.08249
2019,Rural regions,female,Seldom,0.26458,1353,4883,0.25221,0.27696
2019,Rural regions,female,Never,0.61793,2910,4883,0.60430,0.63156
