year,age_gr,sex,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1998,30-45 y.,male,At least once per month,0.12516,283,14041,0.12496,0.12536
1998,30-45 y.,male,Seldom,0.38827,918,14041,0.38798,0.38857
1998,30-45 y.,male,Never,0.40401,982,14041,0.40371,0.40431
1998,30-45 y.,female,At least once per week,0.04456,90,14041,0.04443,0.04469
1998,30-45 y.,female,At least once per month,0.05180,129,14041,0.05166,0.05193
1998,30-45 y.,female,Seldom,0.33493,765,14041,0.33464,0.33523
1998,30-45 y.,female,Never,0.56871,1446,14041,0.56840,0.56902
1998,46-65 y.,male,At least once per week,0.05569,115,14041,0.05555,0.05582
1998,46-65 y.,male,At least once per month,0.10233,198,14041,0.10215,0.10251
1998,46-65 y.,male,Seldom,0.33933,717,14041,0.33905,0.33962
1998,46-65 y.,male,Never,0.50265,1139,14041,0.50235,0.50294
1998,46-65 y.,female,At least once per week,0.01673,32,14041,0.01665,0.01681
1998,46-65 y.,female,At least once per month,0.02854,60,14041,0.02844,0.02864
1998,46-65 y.,female,Seldom,0.23820,472,14041,0.23795,0.23846
1998,46-65 y.,female,Never,0.71653,1610,14041,0.71626,0.71680
1998,66 and older,male,At least once per month,0.05618,38,14041,0.05597,0.05639
1998,66 and older,male,Seldom,0.20968,147,14041,0.20932,0.21005
1998,66 and older,male,Never,0.73414,540,14041,0.73374,0.73453
1998,66 and older,female,Seldom,0.06858,78,14041,0.06840,0.06876
1998,66 and older,female,Never,0.93142,969,14041,0.93124,0.93160
2003,17-29 y.,male,At least once per week,0.11655,230,21918,0.11628,0.11681
2003,17-29 y.,male,At least once per month,0.18367,348,21918,0.18336,0.18399
2003,17-29 y.,male,Seldom,0.36936,721,21918,0.36897,0.36976
2003,17-29 y.,male,Never,0.33042,607,21918,0.33003,0.33080
2003,17-29 y.,female,At least once per week,0.05374,111,21918,0.05355,0.05393
2003,17-29 y.,female,At least once per month,0.08145,201,21918,0.08122,0.08168
2003,17-29 y.,female,Seldom,0.30846,669,21918,0.30807,0.30884
2003,17-29 y.,female,Never,0.55635,1070,21918,0.55593,0.55676
2003,30-45 y.,male,At least once per week,0.06837,235,21918,0.06821,0.06852
2003,30-45 y.,male,At least once per month,0.11899,385,21918,0.11880,0.11919
2003,30-45 y.,male,Seldom,0.39095,1281,21918,0.39065,0.39125
2003,30-45 y.,male,Never,0.42169,1405,21918,0.42139,0.42200
2003,30-45 y.,female,At least once per week,0.04767,178,21918,0.04754,0.04781
2003,30-45 y.,female,At least once per month,0.06284,233,21918,0.06269,0.06300
2003,30-45 y.,female,Seldom,0.30296,1077,21918,0.30267,0.30325
2003,30-45 y.,female,Never,0.58653,2086,21918,0.58622,0.58684
2003,46-65 y.,male,At least once per week,0.05420,199,21918,0.05406,0.05433
2003,46-65 y.,male,At least once per month,0.09636,349,21918,0.09619,0.09654
2003,46-65 y.,male,Seldom,0.34504,1341,21918,0.34476,0.34532
2003,46-65 y.,male,Never,0.50440,1828,21918,0.50410,0.50470
2003,46-65 y.,female,At least once per week,0.02069,85,21918,0.02060,0.02077
2003,46-65 y.,female,At least once per month,0.03612,142,21918,0.03601,0.03623
2003,46-65 y.,female,Seldom,0.22947,891,21918,0.22922,0.22972
2003,46-65 y.,female,Never,0.71372,2666,21918,0.71346,0.71399
2003,66 and older,male,At least once per week,0.03470,53,21918,0.03455,0.03485
2003,66 and older,male,At least once per month,0.04949,92,21918,0.04932,0.04967
2003,66 and older,male,Seldom,0.23574,367,21918,0.23540,0.23608
2003,66 and older,male,Never,0.68007,1133,21918,0.67969,0.68044
2003,66 and older,female,Seldom,0.08366,172,21918,0.08347,0.08385
2003,66 and older,female,Never,0.91634,1763,21918,0.91615,0.91653
2008,17-29 y.,male,At least once per week,0.13835,194,19158,0.13807,0.13863
2008,17-29 y.,male,At least once per month,0.17221,253,19158,0.17190,0.17252
2008,17-29 y.,male,Seldom,0.36963,557,19158,0.36923,0.37002
2008,17-29 y.,male,Never,0.31981,481,19158,0.31943,0.32019
2008,17-29 y.,female,At least once per week,0.07171,109,19158,0.07150,0.07192
2008,17-29 y.,female,At least once per month,0.08915,138,19158,0.08892,0.08939
2008,17-29 y.,female,Seldom,0.31961,532,19158,0.31923,0.32000
2008,17-29 y.,female,Never,0.51952,843,19158,0.51911,0.51994
2008,30-45 y.,male,At least once per week,0.06025,159,19158,0.06010,0.06040
2008,30-45 y.,male,At least once per month,0.13185,326,19158,0.13164,0.13207
2008,30-45 y.,male,Seldom,0.40774,981,19158,0.40743,0.40805
2008,30-45 y.,male,Never,0.40016,987,19158,0.39985,0.40047
2008,30-45 y.,female,At least once per week,0.04048,125,19158,0.04036,0.04061
2008,30-45 y.,female,At least once per month,0.08171,209,19158,0.08154,0.08189
2008,30-45 y.,female,Seldom,0.31259,839,19158,0.31229,0.31288
2008,30-45 y.,female,Never,0.56522,1523,19158,0.56490,0.56554
2008,46-65 y.,male,At least once per week,0.05154,157,19158,0.05141,0.05167
2008,46-65 y.,male,At least once per month,0.10482,347,19158,0.10464,0.10501
2008,46-65 y.,male,Seldom,0.33559,1103,19158,0.33531,0.33587
2008,46-65 y.,male,Never,0.50805,1575,19158,0.50775,0.50835
2008,46-65 y.,female,At least once per week,0.02296,86,19158,0.02287,0.02305
2008,46-65 y.,female,At least once per month,0.03762,156,19158,0.03751,0.03773
2008,46-65 y.,female,Seldom,0.25136,932,19158,0.25110,0.25162
2008,46-65 y.,female,Never,0.68806,2310,19158,0.68778,0.68833
2008,66 and older,male,At least once per week,0.03373,63,19158,0.03359,0.03386
2008,66 and older,male,At least once per month,0.06964,135,19158,0.06945,0.06983
2008,66 and older,male,Seldom,0.25041,525,19158,0.25008,0.25073
2008,66 and older,male,Never,0.64623,1298,19158,0.64587,0.64659
2008,66 and older,female,At least once per month,0.01741,40,19158,0.01733,0.01750
2008,66 and older,female,Seldom,0.10833,270,19158,0.10812,0.10853
2008,66 and older,female,Never,0.87426,1905,19158,0.87404,0.87448
2013,17-29 y.,male,At least once per week,0.17959,244,25334,0.17923,0.17995
2013,17-29 y.,male,At least once per month,0.19153,297,25334,0.19116,0.19190
2013,17-29 y.,male,Seldom,0.31522,557,25334,0.31479,0.31566
2013,17-29 y.,male,Never,0.31366,545,25334,0.31322,0.31409
2013,17-29 y.,female,At least once per week,0.08088,138,25334,0.08062,0.08114
2013,17-29 y.,female,At least once per month,0.12252,198,25334,0.12221,0.12284
2013,17-29 y.,female,Seldom,0.36201,590,25334,0.36155,0.36247
2013,17-29 y.,female,Never,0.43459,966,25334,0.43411,0.43507
2013,30-45 y.,male,At least once per week,0.07152,272,25334,0.07133,0.07172
2013,30-45 y.,male,At least once per month,0.14212,433,25334,0.14186,0.14238
2013,30-45 y.,male,Seldom,0.40173,1214,25334,0.40136,0.40209
2013,30-45 y.,male,Never,0.38463,1373,25334,0.38427,0.38500
2013,30-45 y.,female,At least once per week,0.05812,335,25334,0.05794,0.05829
2013,30-45 y.,female,At least once per month,0.08715,428,25334,0.08693,0.08736
2013,30-45 y.,female,Seldom,0.30910,1329,25334,0.30875,0.30944
2013,30-45 y.,female,Never,0.54564,2584,25334,0.54527,0.54601
2013,46-65 y.,male,At least once per week,0.06978,306,25334,0.06963,0.06993
2013,46-65 y.,male,At least once per month,0.11642,499,25334,0.11623,0.11661
2013,46-65 y.,male,Seldom,0.36891,1495,25334,0.36863,0.36920
2013,46-65 y.,male,Never,0.44488,1864,25334,0.44458,0.44517
2013,46-65 y.,female,At least once per week,0.03242,191,25334,0.03231,0.03252
2013,46-65 y.,female,At least once per month,0.05597,306,25334,0.05584,0.05611
2013,46-65 y.,female,Seldom,0.28840,1369,25334,0.28813,0.28866
2013,46-65 y.,female,Never,0.62321,2914,25334,0.62293,0.62350
2013,66 and older,male,At least once per week,0.04028,94,25334,0.04013,0.04043
2013,66 and older,male,At least once per month,0.08540,208,25334,0.08520,0.08561
2013,66 and older,male,Seldom,0.27029,664,25334,0.26996,0.27062
2013,66 and older,male,Never,0.60402,1409,25334,0.60366,0.60439
2013,66 and older,female,At least once per week,0.01274,33,25334,0.01267,0.01282
2013,66 and older,female,At least once per month,0.02128,64,25334,0.02118,0.02137
2013,66 and older,female,Seldom,0.14223,413,25334,0.14200,0.14246
2013,66 and older,female,Never,0.82375,2002,25334,0.82350,0.82400
2017,17-29 y.,male,At least once per week,0.10982,79,3721,0.10823,0.11141
2017,17-29 y.,male,At least once per month,0.09678,81,3721,0.09527,0.09828
2017,17-29 y.,male,Seldom,0.19369,170,3721,0.19169,0.19570
2017,17-29 y.,male,Never,0.59971,465,3721,0.59722,0.60220
2017,17-29 y.,female,Seldom,0.08693,55,3721,0.08481,0.08905
2017,17-29 y.,female,Never,0.91307,535,3721,0.91095,0.91519
2017,30-45 y.,male,At least once per week,0.08297,83,3721,0.08129,0.08465
2017,30-45 y.,male,At least once per month,0.06727,73,3721,0.06575,0.06880
2017,30-45 y.,male,Seldom,0.22733,221,3721,0.22478,0.22988
2017,30-45 y.,male,Never,0.62243,645,3721,0.61948,0.62538
2017,30-45 y.,female,Seldom,0.08259,83,3721,0.08045,0.08474
2017,30-45 y.,female,Never,0.91741,705,3721,0.91526,0.91955
2017,46-65 y.,male,Seldom,0.16866,57,3721,0.16445,0.17287
2017,46-65 y.,male,Never,0.83134,278,3721,0.82713,0.83555
2017,46-65 y.,female,Never,1.00000,191,3721,1.00000,1.00000
2018,17-29 y.,male,At least once per week,0.13044,87,3022,0.12875,0.13213
2018,17-29 y.,male,At least once per month,0.15210,82,3022,0.15030,0.15390
2018,17-29 y.,male,Seldom,0.26606,159,3022,0.26385,0.26828
2018,17-29 y.,male,Never,0.45140,273,3022,0.44891,0.45390
2018,17-29 y.,female,Seldom,0.14228,64,3022,0.13951,0.14505
2018,17-29 y.,female,Never,0.85772,331,3022,0.85495,0.86049
2018,30-45 y.,male,At least once per week,0.08449,94,3022,0.08287,0.08611
2018,30-45 y.,male,At least once per month,0.09505,96,3022,0.09334,0.09676
2018,30-45 y.,male,Seldom,0.22495,191,3022,0.22251,0.22738
2018,30-45 y.,male,Never,0.59552,526,3022,0.59266,0.59838
2018,30-45 y.,female,At least once per month,0.03241,32,3022,0.03100,0.03382
2018,30-45 y.,female,Seldom,0.11880,94,3022,0.11622,0.12137
2018,30-45 y.,female,Never,0.84879,498,3022,0.84594,0.85164
2018,46-65 y.,male,At least once per week,0.10685,34,3022,0.10320,0.11049
2018,46-65 y.,male,At least once per month,0.11052,41,3022,0.10682,0.11422
2018,46-65 y.,male,Seldom,0.17275,69,3022,0.16829,0.17721
2018,46-65 y.,male,Never,0.60989,189,3022,0.60413,0.61564
2018,46-65 y.,female,Never,1.00000,162,3022,1.00000,1.00000
2019,17-29 y.,male,At least once per week,0.12730,325,28656,0.12702,0.12759
2019,17-29 y.,male,At least once per month,0.16583,355,28656,0.16552,0.16614
2019,17-29 y.,male,Seldom,0.34922,772,28656,0.34882,0.34962
2019,17-29 y.,male,Never,0.35765,931,28656,0.35724,0.35805
2019,17-29 y.,female,At least once per week,0.06074,147,28656,0.06053,0.06094
2019,17-29 y.,female,At least once per month,0.10434,212,28656,0.10407,0.10460
2019,17-29 y.,female,Seldom,0.30906,658,28656,0.30866,0.30946
2019,17-29 y.,female,Never,0.52587,1321,28656,0.52544,0.52630
2019,30-45 y.,male,At least once per week,0.06790,332,28656,0.06773,0.06807
2019,30-45 y.,male,At least once per month,0.16882,485,28656,0.16857,0.16908
2019,30-45 y.,male,Seldom,0.37516,1207,28656,0.37483,0.37549
2019,30-45 y.,male,Never,0.38812,1572,28656,0.38779,0.38845
2019,30-45 y.,female,At least once per week,0.04631,264,28656,0.04616,0.04645
2019,30-45 y.,female,At least once per month,0.08170,324,28656,0.08152,0.08189
2019,30-45 y.,female,Seldom,0.29861,1167,28656,0.29830,0.29893
2019,30-45 y.,female,Never,0.57338,2473,28656,0.57304,0.57371
2019,46-65 y.,male,At least once per week,0.05979,390,28656,0.05965,0.05992
2019,46-65 y.,male,At least once per month,0.13603,774,28656,0.13584,0.13623
2019,46-65 y.,male,Seldom,0.35312,1880,28656,0.35285,0.35339
2019,46-65 y.,male,Never,0.45106,2387,28656,0.45078,0.45134
2019,46-65 y.,female,At least once per week,0.04031,211,28656,0.04020,0.04042
2019,46-65 y.,female,At least once per month,0.06383,402,28656,0.06370,0.06397
2019,46-65 y.,female,Seldom,0.27480,1575,28656,0.27455,0.27505
2019,46-65 y.,female,Never,0.62105,3335,28656,0.62078,0.62133
2019,66 and older,male,At least once per week,0.04169,115,28656,0.04154,0.04183
2019,66 and older,male,At least once per month,0.08994,245,28656,0.08973,0.09015
2019,66 and older,male,Seldom,0.28339,778,28656,0.28306,0.28371
2019,66 and older,male,Never,0.58499,1471,28656,0.58463,0.58534
2019,66 and older,female,At least once per week,0.01767,54,28656,0.01759,0.01776
2019,66 and older,female,At least once per month,0.03047,100,28656,0.03036,0.03058
2019,66 and older,female,Seldom,0.16538,501,28656,0.16514,0.16562
2019,66 and older,female,Never,0.78648,1893,28656,0.78621,0.78674
