,Unnamed: 0,year,migback,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
73,73,2017,Direct migration background,Daily,0.01404,47,3957,0.01001,0.01959
74,74,2017,Direct migration background,At least once per week,0.06613,234,3957,0.05629,0.076
75,75,2017,Direct migration background,At least once per month,0.05714,213,3957,0.0486,0.0653
76,76,2017,Direct migration background,Seldom,0.15587,612,3957,0.1441,0.16882
77,77,2017,Direct migration background,Never,0.70682,2851,3957,0.67711,0.73969
78,78,2018,Direct migration background,At least once per week,0.07951,251,3135,0.0693,0.09115
79,79,2018,Direct migration background,At least once per month,0.0962,281,3135,0.08247,0.1105
80,80,2018,Direct migration background,Seldom,0.19668,605,3135,0.17944,0.21655
81,81,2018,Direct migration background,Never,0.62761,1998,3135,0.59277,0.66901
82,82,2019,No migration background,Daily,0.00227,36,28736,0.00161,0.00318
83,83,2019,No migration background,At least once per week,0.05146,1194,28736,0.0483,0.0554
84,84,2019,No migration background,At least once per month,0.10231,2237,28736,0.09652,0.10803
85,85,2019,No migration background,Seldom,0.31853,6679,28736,0.30762,0.32824
86,86,2019,No migration background,Never,0.52542,9967,28736,0.51402,0.53642
87,87,2019,Direct migration background,Daily,0.00163,37,28736,0.00081,0.00277
88,88,2019,Direct migration background,At least once per week,0.04658,520,28736,0.03979,0.05459
89,89,2019,Direct migration background,At least once per month,0.09067,495,28736,0.07622,0.10617
90,90,2019,Direct migration background,Seldom,0.20022,1383,28736,0.18085,0.22369
91,91,2019,Direct migration background,Never,0.6609,4619,28736,0.62044,0.69885
92,92,2019,Indirect migration background,At least once per week,0.09645,124,28736,0.07656,0.11349
93,93,2019,Indirect migration background,At least once per month,0.11308,165,28736,0.08343,0.1406
94,94,2019,Indirect migration background,Seldom,0.29214,478,28736,0.25942,0.33173
95,95,2019,Indirect migration background,Never,0.49833,802,28736,0.45581,0.54222
