"pli0089","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Min 1x pro Monat","1990","(Fach-)Abitur","kein Migrationshintergrund","59","0.108163890399468","0.0814688799504674","0.134858900848468"
"Min 1x pro Monat","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","AkademikerIn","kein Migrationshintergrund","31","0.0515083682197292","0.0338664793268951","0.0691502571125633"
"Min 1x pro Monat","1990","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1990","(noch) kein Abschluss","kein Migrationshintergrund","58","0.368943419785443","0.293466824847159","0.444420014723727"
"Seltener","1990","(noch) kein Abschluss","direkter Migrationshintergrund","78","0.132271281686734","0.105858489260831","0.158684074112637"
"Seltener","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1990","Hauptschule","kein Migrationshintergrund","937","0.230894895940204","0.217524510688941","0.244265281191466"
"Seltener","1990","Hauptschule","direkter Migrationshintergrund","244","0.226648059590742","0.204421883258706","0.248874235922778"
"Seltener","1990","Hauptschule","indirekter Migrationshintergrund","39","0.253617745747412","0.182307728100662","0.324927763394162"
"Seltener","1990","Realschule","kein Migrationshintergrund","457","0.308471286067698","0.284474221396368","0.332468350739027"
"Seltener","1990","Realschule","direkter Migrationshintergrund","36","0.233518981931971","0.164418887437312","0.30261907642663"
"Seltener","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1990","(Fach-)Abitur","kein Migrationshintergrund","171","0.326329428400141","0.286030051853338","0.366628804946945"
"Seltener","1990","(Fach-)Abitur","direkter Migrationshintergrund","40","0.223610717726371","0.165720174301633","0.28150126115111"
"Seltener","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1990","AkademikerIn","kein Migrationshintergrund","177","0.290641239996166","0.254400169125323","0.32688231086701"
"Seltener","1990","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1990","(noch) kein Abschluss","kein Migrationshintergrund","56","0.357233505016851","0.28227844220452","0.432188567829182"
"Nie","1990","(noch) kein Abschluss","direkter Migrationshintergrund","490","0.755549834122585","0.722044320694838","0.789055347550331"
"Nie","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1990","Hauptschule","kein Migrationshintergrund","2300","0.622830916763208","0.607453016768096","0.638208816758321"
"Nie","1990","Hauptschule","direkter Migrationshintergrund","861","0.622982062858434","0.597253297828289","0.648710827888578"
"Nie","1990","Hauptschule","indirekter Migrationshintergrund","68","0.532696234605352","0.45092142794578","0.614471041264924"
"Nie","1990","Realschule","kein Migrationshintergrund","699","0.515577321469926","0.489611337939753","0.541543305000099"
"Nie","1990","Realschule","direkter Migrationshintergrund","83","0.631934556141075","0.553163726453166","0.710705385828984"
"Nie","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1990","(Fach-)Abitur","kein Migrationshintergrund","240","0.472842627005858","0.429931010744296","0.515754243267419"
"Nie","1990","(Fach-)Abitur","direkter Migrationshintergrund","123","0.596146066323939","0.527973435686728","0.664318696961149"
"Nie","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1990","AkademikerIn","kein Migrationshintergrund","365","0.607799675293392","0.568830282282032","0.646769068304751"
"Nie","1990","AkademikerIn","direkter Migrationshintergrund","52","0.585021084662924","0.482076020198396","0.687966149127451"
"Nie","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1991","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Seltener","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Seltener","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Seltener","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Seltener","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Seltener","1991","Realschule","kein Migrationshintergrund","","","",""
"Seltener","1991","Realschule","direkter Migrationshintergrund","","","",""
"Seltener","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Seltener","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Seltener","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Seltener","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","1991","Realschule","kein Migrationshintergrund","","","",""
"Nie","1991","Realschule","direkter Migrationshintergrund","","","",""
"Nie","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1992","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Seltener","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Seltener","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Seltener","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Seltener","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Seltener","1992","Realschule","kein Migrationshintergrund","","","",""
"Seltener","1992","Realschule","direkter Migrationshintergrund","","","",""
"Seltener","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Seltener","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Seltener","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Seltener","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","1992","Realschule","kein Migrationshintergrund","","","",""
"Nie","1992","Realschule","direkter Migrationshintergrund","","","",""
"Nie","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1993","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1993","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1993","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1993","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1993","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1993","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1993","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1993","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1993","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Seltener","1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Seltener","1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1993","Hauptschule","kein Migrationshintergrund","","","",""
"Seltener","1993","Hauptschule","direkter Migrationshintergrund","","","",""
"Seltener","1993","Hauptschule","indirekter Migrationshintergrund","","","",""
"Seltener","1993","Realschule","kein Migrationshintergrund","","","",""
"Seltener","1993","Realschule","direkter Migrationshintergrund","","","",""
"Seltener","1993","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1993","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Seltener","1993","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Seltener","1993","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1993","AkademikerIn","kein Migrationshintergrund","","","",""
"Seltener","1993","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1993","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1993","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1993","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","1993","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","1993","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","1993","Realschule","kein Migrationshintergrund","","","",""
"Nie","1993","Realschule","direkter Migrationshintergrund","","","",""
"Nie","1993","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1993","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","1993","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","1993","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1993","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","1993","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","1993","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1994","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1994","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1994","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1994","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1994","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1994","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1994","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1994","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1994","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1994","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1994","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1994","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1994","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1994","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1994","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1994","AkademikerIn","direkter Migrationshintergrund","","","",""
