year,sampreg,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,East,"Yes, every 2 weeks",0.09239,539,2968,0.08197,0.10281
2015,East,"Yes, every 3-4 weeks",0.04505,267,2968,0.03759,0.05251
2015,East,"Yes, less frequently",0.12049,725,2968,0.10877,0.13220
2017,West,"No, never",0.21029,5781,13449,0.20340,0.21717
2017,West,"Yes, every week",0.06681,1855,13449,0.06259,0.07103
2017,West,"Yes, every 2 weeks",0.07220,1940,13449,0.06782,0.07657
2017,West,"Yes, every 3-4 weeks",0.04446,1255,13449,0.04098,0.04795
2017,West,"Yes, less frequently",0.10482,2618,13449,0.09965,0.11000
2017,East,"No, never",0.19856,1357,3307,0.18497,0.21216
2017,East,"Yes, every week",0.06130,398,3307,0.05312,0.06947
2017,East,"Yes, every 2 weeks",0.08069,559,3307,0.07141,0.08997
2017,East,"Yes, every 3-4 weeks",0.04639,356,3307,0.03922,0.05356
2017,East,"Yes, less frequently",0.09984,637,3307,0.08962,0.11006
2019,West,"No, never",0.22016,5568,13386,0.21314,0.22718
2019,West,"Yes, every week",0.06511,1990,13386,0.06093,0.06929
2019,West,"Yes, every 2 weeks",0.07137,1893,13386,0.06701,0.07574
2019,West,"Yes, every 3-4 weeks",0.04372,1199,13386,0.04026,0.04719
2019,West,"Yes, less frequently",0.11026,2736,13386,0.10495,0.11557
2019,East,"No, never",0.19522,1375,3426,0.18194,0.20849
2019,East,"Yes, every week",0.06068,434,3426,0.05269,0.06868
2019,East,"Yes, every 2 weeks",0.08384,583,3426,0.07456,0.09312
2019,East,"Yes, every 3-4 weeks",0.04439,303,3426,0.03749,0.05129
2019,East,"Yes, less frequently",0.10434,731,3426,0.09411,0.11458
2021,West,"No, never",0.18845,3726,8562,0.18016,0.19673
2021,West,"Yes, every week",0.04906,1185,8562,0.04449,0.05364
2021,West,"Yes, every 2 weeks",0.05696,1228,8562,0.05205,0.06187
2021,West,"Yes, every 3-4 weeks",0.03572,707,8562,0.03179,0.03965
2021,West,"Yes, less frequently",0.08483,1716,8562,0.07893,0.09073
2021,East,"No, never",0.18234,895,1998,0.16540,0.19927
2021,East,"Yes, every week",0.04847,239,1998,0.03905,0.05789
2021,East,"Yes, every 2 weeks",0.06354,305,1998,0.05284,0.07424
2021,East,"Yes, every 3-4 weeks",0.03236,167,1998,0.02459,0.04012
2021,East,"Yes, less frequently",0.07688,392,1998,0.06519,0.08856
