year,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,West,No,0.39054,1960,4586,0.37642,0.40466
1997,East,Yes,0.42393,831,1711,0.40050,0.44735
1997,East,No,0.49814,880,1711,0.47444,0.52184
1998,West,Yes,0.56847,3098,5430,0.55530,0.58165
1998,West,No,0.42517,2332,5430,0.41202,0.43832
1998,East,Yes,0.41735,880,1934,0.39537,0.43933
1998,East,No,0.56570,1054,1934,0.54360,0.58780
1999,West,Yes,0.56758,2986,5161,0.55406,0.58110
1999,West,No,0.41954,2175,5161,0.40607,0.43300
1999,East,Yes,0.42506,888,1895,0.40280,0.44733
1999,East,No,0.55179,1007,1895,0.52940,0.57419
2000,West,Yes,0.57160,6015,9748,0.56178,0.58143
2000,West,No,0.41271,3733,9748,0.40293,0.42248
2000,East,Yes,0.44320,1495,3029,0.42551,0.46089
2000,East,No,0.53644,1534,3029,0.51868,0.55421
2001,West,Yes,0.57453,5390,8696,0.56414,0.58492
2001,West,No,0.40550,3306,8696,0.39518,0.41582
2001,East,Yes,0.44357,1404,2790,0.42513,0.46200
2001,East,No,0.53327,1386,2790,0.51475,0.55178
2002,West,Yes,0.57518,5911,9192,0.56507,0.58528
2002,West,No,0.40145,3281,9192,0.39142,0.41147
2002,East,Yes,0.44227,1441,2779,0.42380,0.46074
2002,East,No,0.53000,1338,2779,0.51144,0.54856
2003,West,Yes,0.57671,5667,8816,0.56640,0.58703
2003,West,No,0.39796,3149,8816,0.38774,0.40818
2003,East,Yes,0.44456,1418,2735,0.42593,0.46318
2003,East,No,0.52876,1317,2735,0.51005,0.54747
2004,West,Yes,0.57743,5568,8584,0.56698,0.58788
2004,West,No,0.39502,3016,8584,0.38468,0.40536
2004,East,Yes,0.43650,1403,2685,0.41773,0.45526
2004,East,No,0.53109,1282,2685,0.51221,0.54997
2005,West,Yes,0.58136,5421,8488,0.57087,0.59186
2005,West,No,0.41407,3067,8488,0.40359,0.42455
2005,East,Yes,0.46671,1438,2683,0.44783,0.48559
2005,East,No,0.52702,1245,2683,0.50813,0.54592
2006,West,Yes,0.57301,5977,9316,0.56297,0.58306
2006,West,No,0.42391,3339,9316,0.41387,0.43394
2006,East,Yes,0.45577,1576,2919,0.43770,0.47384
2006,East,No,0.53911,1343,2919,0.52102,0.55719
2007,West,Yes,0.58740,5659,8670,0.57704,0.59777
2007,West,No,0.40802,3011,8670,0.39767,0.41836
2007,East,Yes,0.47138,1504,2754,0.45273,0.49003
2007,East,No,0.52504,1250,2754,0.50639,0.54369
2008,West,Yes,0.59643,5363,8151,0.58578,0.60709
2008,West,No,0.40036,2788,8151,0.38972,0.41100
2008,East,Yes,0.47630,1439,2647,0.45727,0.49533
2008,East,No,0.52139,1208,2647,0.50235,0.54042
2009,West,Yes,0.60478,5047,7617,0.59380,0.61576
2009,West,No,0.39386,2570,7617,0.38289,0.40484
2009,East,Yes,0.49248,1414,2550,0.47307,0.51189
2009,East,No,0.50415,1136,2550,0.48474,0.52356
2010,West,Yes,0.60542,6995,10621,0.59612,0.61471
2010,West,No,0.39195,3626,10621,0.38267,0.40124
2010,East,Yes,0.50015,1755,3158,0.48271,0.51759
2010,East,No,0.49860,1403,3158,0.48116,0.51604
2011,West,Yes,0.60818,8564,12849,0.59974,0.61662
2011,West,No,0.39084,4285,12849,0.38240,0.39927
2011,East,Yes,0.51095,2040,3742,0.49493,0.52696
2011,East,No,0.48843,1702,3742,0.47241,0.50445
2012,West,Yes,0.61205,8437,12586,0.60354,0.62056
2012,West,No,0.38671,4149,12586,0.37820,0.39522
2012,East,Yes,0.48979,1974,3712,0.47371,0.50588
2012,East,No,0.51021,1738,3712,0.49412,0.52629
2013,West,Yes,0.61488,8956,14210,0.60688,0.62288
2013,West,No,0.38487,5254,14210,0.37687,0.39287
2013,East,Yes,0.50767,1931,3656,0.49146,0.52388
2013,East,No,0.49210,1725,3656,0.47589,0.50831
2014,West,Yes,0.62391,8065,12441,0.61540,0.63242
2014,West,No,0.37485,4376,12441,0.36634,0.38335
2014,East,Yes,0.49600,1796,3379,0.47913,0.51286
2014,East,No,0.50324,1583,3379,0.48638,0.52010
2015,West,Yes,0.60533,7645,12476,0.59676,0.61391
2015,West,No,0.39328,4831,12476,0.38471,0.40185
2015,East,Yes,0.49049,1713,3278,0.47337,0.50760
2015,East,No,0.50806,1565,3278,0.49094,0.52518
2016,West,Yes,0.60481,7432,12935,0.59639,0.61324
2016,West,No,0.39400,5503,12935,0.38558,0.40242
2016,East,Yes,0.48535,1637,3460,0.46869,0.50200
2016,East,No,0.51243,1823,3460,0.49577,0.52909
2017,West,Yes,0.60779,8419,14469,0.59984,0.61575
2017,West,No,0.39129,6050,14469,0.38334,0.39924
2017,East,Yes,0.49888,1871,3798,0.48298,0.51479
2017,East,No,0.49929,1927,3798,0.48339,0.51519
2018,West,Yes,0.60656,7963,13941,0.59845,0.61467
2018,West,No,0.39144,5978,13941,0.38334,0.39954
2018,East,Yes,0.49772,1765,3751,0.48171,0.51372
2018,East,No,0.49936,1986,3751,0.48336,0.51536
2019,West,Yes,0.55675,6806,11745,0.54777,0.56574
2019,West,No,0.34201,4939,11745,0.33343,0.35058
2019,East,Yes,0.46800,1552,3163,0.45061,0.48539
2019,East,No,0.43986,1611,3163,0.42256,0.45716
2020,West,Yes,0.61983,8463,15467,0.61218,0.62748
2020,West,No,0.37913,7004,15467,0.37148,0.38678
2020,East,Yes,0.50703,1874,3833,0.49120,0.52286
2020,East,No,0.49152,1959,3833,0.47569,0.50735
2021,West,Yes,0.55436,5224,8824,0.54399,0.56474
2021,West,No,0.34142,3600,8824,0.33153,0.35132
2021,East,Yes,0.46811,1200,2349,0.44793,0.48829
2021,East,No,0.42996,1149,2349,0.40994,0.44999
2022,West,Yes,0.62641,9380,15715,0.61885,0.63397
2022,West,No,0.36913,6335,15715,0.36159,0.37668
2022,East,Yes,0.52297,2331,4343,0.50812,0.53783
2022,East,No,0.47394,2012,4343,0.45909,0.48879
