"hgeqpgar","year","bula_h","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","Berlin","3","24","","",""
"Ja","1995","Berlin","4","16","","",""
"Ja","1995","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Brandenburg","2","141","","",""
"Ja","1995","Brandenburg","3","66","0.71653056242907","0.628198459130797","0.804862665727343"
"Ja","1995","Brandenburg","4","32","0.569082843162438","0.435762999600019","0.702402686724857"
"Ja","1995","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Mecklenburg-Vorpommern","2","71","0.569082411402338","0.485855586081887","0.65230923672279"
"Ja","1995","Mecklenburg-Vorpommern","3","54","0.478557736674965","0.381614327109726","0.575501146240203"
"Ja","1995","Mecklenburg-Vorpommern","4","8","0.276335566273844","0.121396794546299","0.431274338001389"
"Ja","1995","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Sachsen","2","193","","",""
"Ja","1995","Sachsen","3","105","","",""
"Ja","1995","Sachsen","4","20","","",""
"Ja","1995","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Sachsen-Anhalt","2","185","","",""
"Ja","1995","Sachsen-Anhalt","3","55","0.532601678704315","0.440199136612036","0.625004220796593"
"Ja","1995","Sachsen-Anhalt","4","20","","",""
"Ja","1995","Sachsen-Anhalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Thueringen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Thueringen","2","158","","",""
"Ja","1995","Thueringen","3","46","0.475960916268759","0.373908882845548","0.57801294969197"
"Ja","1995","Thueringen","4","25","","",""
"Ja","1995","Thueringen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Schleswig-Holstein","2","34","0.283355985448345","0.193213317251403","0.373498653645288"
"Nein","1995","Schleswig-Holstein","3","21","","",""
"Nein","1995","Schleswig-Holstein","4","3","","",""
"Nein","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Hamburg","2","32","0.798280774984584","0.675449872358425","0.921111677610744"
"Nein","1995","Hamburg","3","16","","",""
"Nein","1995","Hamburg","4","15","","",""
"Nein","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Niedersachsen","2","109","","",""
"Nein","1995","Niedersachsen","3","54","0.22593181927635","0.171768077705142","0.280095560847557"
"Nein","1995","Niedersachsen","4","38","0.198996259494053","0.141309132776228","0.256683386211878"
"Nein","1995","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Bremen","2","16","","",""
"Nein","1995","Bremen","3","5","0.58577892242624","0.244439802054115","0.927118042798364"
"Nein","1995","Bremen","4","10","","",""
"Nein","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Nordrhein-Westfalen","2","381","0.386873250147745","0.354510311656127","0.419236188639363"
"Nein","1995","Nordrhein-Westfalen","3","185","","",""
"Nein","1995","Nordrhein-Westfalen","4","102","","",""
"Nein","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Hessen","2","177","","",""
"Nein","1995","Hessen","3","93","0.347919440980884","0.285543938601462","0.410294943360306"
"Nein","1995","Hessen","4","58","0.381379906676624","0.302591452764817","0.460168360588432"
"Nein","1995","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Rheinland-Pfalz,Saarland","2","72","0.24984574661701","0.198302150679542","0.301389342554478"
"Nein","1995","Rheinland-Pfalz,Saarland","3","32","0.213430183091025","0.151656812923066","0.275203553258984"
"Nein","1995","Rheinland-Pfalz,Saarland","4","20","","",""
"Nein","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Baden-Wuerttemberg","2","285","","",""
"Nein","1995","Baden-Wuerttemberg","3","142","","",""
"Nein","1995","Baden-Wuerttemberg","4","101","","",""
"Nein","1995","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Bayern","2","200","","",""
"Nein","1995","Bayern","3","153","","",""
"Nein","1995","Bayern","4","76","0.323398705770882","0.265297657466779","0.381499754074985"
"Nein","1995","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Saarland","2","","","",""
"Nein","1995","Saarland","3","","","",""
"Nein","1995","Saarland","4","","","",""
"Nein","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Berlin","2","163","","",""
"Nein","1995","Berlin","3","93","0.800313066900299","0.727876153313789","0.872749980486808"
"Nein","1995","Berlin","4","59","0.73821219976765","0.638721434756785","0.837702964778516"
"Nein","1995","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Brandenburg","2","74","0.322986785584263","0.260481058548541","0.385492512619986"
"Nein","1995","Brandenburg","3","34","0.28346943757093","0.195137334272657","0.371801540869203"
"Nein","1995","Brandenburg","4","21","","",""
"Nein","1995","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Mecklenburg-Vorpommern","2","65","0.430917588597662","0.347690763277211","0.514144413918113"
"Nein","1995","Mecklenburg-Vorpommern","3","48","0.521442263325035","0.424498853759797","0.618385672890274"
"Nein","1995","Mecklenburg-Vorpommern","4","24","","",""
"Nein","1995","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Sachsen","2","223","","",""
"Nein","1995","Sachsen","3","108","","",""
"Nein","1995","Sachsen","4","33","0.593083559052105","0.460825934731343","0.725341183372866"
"Nein","1995","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Sachsen-Anhalt","2","141","","",""
"Nein","1995","Sachsen-Anhalt","3","57","0.467398321295685","0.374995779203407","0.559800863387964"
"Nein","1995","Sachsen-Anhalt","4","12","","",""
"Nein","1995","Sachsen-Anhalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","Thueringen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","Thueringen","2","103","","",""
"Nein","1995","Thueringen","3","46","0.524039083731241","0.42198705030803","0.626091117154452"
"Nein","1995","Thueringen","4","2","","",""
"Nein","1995","Thueringen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Schleswig-Holstein","2","98","0.772927729234957","0.698281667191865","0.847573791278049"
"Ja","1996","Schleswig-Holstein","3","53","0.806662439925372","0.710657087265344","0.9026677925854"
"Ja","1996","Schleswig-Holstein","4","44","0.850833741220658","0.755815089879026","0.94585239256229"
"Ja","1996","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Hamburg","2","6","0.143613741157952","0.023960638630101","0.263266843685802"
"Ja","1996","Hamburg","3","17","","",""
"Ja","1996","Hamburg","4","11","","",""
"Ja","1996","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Niedersachsen","2","257","","",""
"Ja","1996","Niedersachsen","3","187","","",""
"Ja","1996","Niedersachsen","4","156","","",""
"Ja","1996","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Bremen","2","12","","",""
"Ja","1996","Bremen","3","6","0.379617988651117","0.125411247401653","0.633824729900581"
"Ja","1996","Bremen","4","2","","",""
"Ja","1996","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Nordrhein-Westfalen","2","506","0.674497161410939","0.642601010384565","0.706393312437314"
"Ja","1996","Nordrhein-Westfalen","3","367","0.668507095083806","0.62979345106004","0.707220739107571"
"Ja","1996","Nordrhein-Westfalen","4","270","","",""
"Ja","1996","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Hessen","2","154","","",""
"Ja","1996","Hessen","3","163","","",""
"Ja","1996","Hessen","4","109","","",""
"Ja","1996","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Rheinland-Pfalz,Saarland","2","187","","",""
"Ja","1996","Rheinland-Pfalz,Saarland","3","145","","",""
"Ja","1996","Rheinland-Pfalz,Saarland","4","86","0.717142085651937","0.63722218266547","0.797061988638405"
"Ja","1996","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Baden-Wuerttemberg","2","330","0.701572499003174","0.664041879226242","0.739103118780105"
"Ja","1996","Baden-Wuerttemberg","3","291","","",""
"Ja","1996","Baden-Wuerttemberg","4","180","","",""
"Ja","1996","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Bayern","2","404","0.662765390610935","0.626252086234891","0.699278694986978"
"Ja","1996","Bayern","3","266","","",""
"Ja","1996","Bayern","4","216","","",""
"Ja","1996","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Saarland","2","","","",""
"Ja","1996","Saarland","3","","","",""
"Ja","1996","Saarland","4","","","",""
"Ja","1996","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Berlin","2","15","","",""
"Ja","1996","Berlin","3","28","","",""
"Ja","1996","Berlin","4","10","","",""
"Ja","1996","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Brandenburg","2","136","","",""
"Ja","1996","Brandenburg","3","79","0.648597815198877","0.564228309500878","0.732967320896876"
"Ja","1996","Brandenburg","4","30","0.681504648866693","0.542253167671746","0.820756130061639"
"Ja","1996","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Mecklenburg-Vorpommern","2","96","0.616234292047512","0.537621098860941","0.694847485234082"
"Ja","1996","Mecklenburg-Vorpommern","3","35","0.388035361131017","0.287359430613066","0.488711291648967"
"Ja","1996","Mecklenburg-Vorpommern","4","19","","",""
"Ja","1996","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Sachsen","2","231","","",""
"Ja","1996","Sachsen","3","107","","",""
"Ja","1996","Sachsen","4","31","0.334983277864272","0.240072805403152","0.429893750325392"
"Ja","1996","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Sachsen-Anhalt","2","163","","",""
"Ja","1996","Sachsen-Anhalt","3","70","0.637894767842303","0.553641839467188","0.722147696217417"
"Ja","1996","Sachsen-Anhalt","4","25","","",""
"Ja","1996","Sachsen-Anhalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","Thueringen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","Thueringen","2","191","","",""
"Ja","1996","Thueringen","3","75","0.581253509658491","0.491084447010146","0.671422572306836"
"Ja","1996","Thueringen","4","15","","",""
"Ja","1996","Thueringen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Schleswig-Holstein","2","23","","",""
"Nein","1996","Schleswig-Holstein","3","12","","",""
"Nein","1996","Schleswig-Holstein","4","10","","",""
"Nein","1996","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Hamburg","2","27","","",""
"Nein","1996","Hamburg","3","32","0.697288861781493","0.568650465974503","0.825927257588483"
"Nein","1996","Hamburg","4","8","0.354109818761107","0.139069638062417","0.569149999459797"
"Nein","1996","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Niedersachsen","2","104","","",""
"Nein","1996","Niedersachsen","3","69","0.223224263030615","0.172215283751928","0.274233242309303"
"Nein","1996","Niedersachsen","4","41","0.212583637266375","0.155451284074935","0.269715990457815"
"Nein","1996","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Bremen","2","23","","",""
"Nein","1996","Bremen","3","8","0.620382011348883","0.366175270099419","0.874588752598346"
"Nein","1996","Bremen","4","5","0.606302845403394","0.24437248756079","0.968233203245998"
"Nein","1996","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Nordrhein-Westfalen","2","323","0.325502838589061","0.293606687562686","0.357398989615436"
"Nein","1996","Nordrhein-Westfalen","3","201","","",""
"Nein","1996","Nordrhein-Westfalen","4","131","","",""
"Nein","1996","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Hessen","2","162","","",""
"Nein","1996","Hessen","3","74","0.230952955254913","0.177297716253111","0.284608194256715"
"Nein","1996","Hessen","4","56","0.308624551868147","0.238142533621611","0.379106570114682"
"Nein","1996","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Rheinland-Pfalz,Saarland","2","87","0.280815099273417","0.227603866821972","0.334026331724863"
"Nein","1996","Rheinland-Pfalz,Saarland","3","36","0.189733896465722","0.132612988521559","0.246854804409886"
"Nein","1996","Rheinland-Pfalz,Saarland","4","36","0.282857914348063","0.202938011361595","0.36277781733453"
"Nein","1996","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Baden-Wuerttemberg","2","241","","",""
"Nein","1996","Baden-Wuerttemberg","3","165","","",""
"Nein","1996","Baden-Wuerttemberg","4","86","0.221912575654345","0.171976727827047","0.271848423481643"
"Nein","1996","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Bayern","2","240","","",""
"Nein","1996","Bayern","3","129","","",""
"Nein","1996","Bayern","4","82","0.258138177913897","0.208452915256161","0.307823440571634"
"Nein","1996","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Saarland","2","","","",""
"Nein","1996","Saarland","3","","","",""
"Nein","1996","Saarland","4","","","",""
"Nein","1996","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Berlin","2","165","","",""
"Nein","1996","Berlin","3","126","","",""
"Nein","1996","Berlin","4","51","0.847462971799725","0.757237080728702","0.937688862870748"
"Nein","1996","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Brandenburg","2","86","0.370458015725304","0.306931731817244","0.433984299633364"
"Nein","1996","Brandenburg","3","44","0.351402184801123","0.267032679103124","0.435771690499122"
"Nein","1996","Brandenburg","4","13","","",""
"Nein","1996","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Mecklenburg-Vorpommern","2","51","0.383765707952488","0.305152514765918","0.462378901139059"
"Nein","1996","Mecklenburg-Vorpommern","3","55","0.611964638868983","0.511288708351033","0.712640569386934"
"Nein","1996","Mecklenburg-Vorpommern","4","15","","",""
"Nein","1996","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Sachsen","2","233","","",""
"Nein","1996","Sachsen","3","111","","",""
"Nein","1996","Sachsen","4","64","0.665016722135728","0.570106249674608","0.759927194596848"
"Nein","1996","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Sachsen-Anhalt","2","144","","",""
"Nein","1996","Sachsen-Anhalt","3","55","0.362105232157697","0.277852303782583","0.446358160532812"
"Nein","1996","Sachsen-Anhalt","4","17","","",""
"Nein","1996","Sachsen-Anhalt","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","Thueringen","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","Thueringen","2","111","","",""
"Nein","1996","Thueringen","3","40","0.418746490341509","0.328577427693165","0.508915552989854"
"Nein","1996","Thueringen","4","15","","",""
"Nein","1996","Thueringen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Schleswig-Holstein","2","75","0.713218805143673","0.623677838015257","0.802759772272088"
"Ja","1997","Schleswig-Holstein","3","37","0.664110982677992","0.53574065425507","0.792481311100913"
"Ja","1997","Schleswig-Holstein","4","49","0.856501974348892","0.767046024324495","0.945957924373289"
"Ja","1997","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Hamburg","2","5","0.165769868436802","0.0103764992396624","0.321163237633942"
"Ja","1997","Hamburg","3","18","","",""
"Ja","1997","Hamburg","4","12","","",""
"Ja","1997","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Niedersachsen","2","253","","",""
"Ja","1997","Niedersachsen","3","213","","",""
"Ja","1997","Niedersachsen","4","135","","",""
"Ja","1997","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Bremen","2","13","","",""
"Ja","1997","Bremen","3","12","","",""
"Ja","1997","Bremen","4","4","0.850673763544598","0.53827258193923","1.16307494514997"
"Ja","1997","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Nordrhein-Westfalen","2","505","0.660094159288055","0.627372719160887","0.692815599415223"
"Ja","1997","Nordrhein-Westfalen","3","379","0.645660007272839","0.608280394541194","0.683039620004483"
"Ja","1997","Nordrhein-Westfalen","4","282","","",""
"Ja","1997","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Hessen","2","127","","",""
"Ja","1997","Hessen","3","139","","",""
"Ja","1997","Hessen","4","113","","",""
"Ja","1997","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Rheinland-Pfalz,Saarland","2","231","","",""
"Ja","1997","Rheinland-Pfalz,Saarland","3","139","","",""
"Ja","1997","Rheinland-Pfalz,Saarland","4","81","0.694059624976187","0.608718990439633","0.77940025951274"
"Ja","1997","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Baden-Wuerttemberg","2","350","0.704324597639424","0.667870708244198","0.74077848703465"
"Ja","1997","Baden-Wuerttemberg","3","310","0.726582893991963","0.686750998074978","0.766414789908948"
"Ja","1997","Baden-Wuerttemberg","4","171","","",""
"Ja","1997","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Bayern","2","424","0.70520919333357","0.669967354972024","0.740451031695117"
"Ja","1997","Bayern","3","288","","",""
"Ja","1997","Bayern","4","236","","",""
"Ja","1997","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Saarland","2","","","",""
"Ja","1997","Saarland","3","","","",""
"Ja","1997","Saarland","4","","","",""
"Ja","1997","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Berlin","2","28","","",""
"Ja","1997","Berlin","3","15","","",""
"Ja","1997","Berlin","4","15","","",""
"Ja","1997","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Brandenburg","2","158","","",""
"Ja","1997","Brandenburg","3","60","0.530550300381434","0.441992669264246","0.619107931498621"
"Ja","1997","Brandenburg","4","49","0.818394428317251","0.716508862278086","0.920279994356417"
"Ja","1997","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Mecklenburg-Vorpommern","2","75","0.498705717510944","0.415284389907103","0.582127045114785"
"Ja","1997","Mecklenburg-Vorpommern","3","41","0.454228140720221","0.344434513450133","0.564021767990309"
"Ja","1997","Mecklenburg-Vorpommern","4","27","","",""
"Ja","1997","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Sachsen","2","203","","",""
"Ja","1997","Sachsen","3","110","","",""
"Ja","1997","Sachsen","4","39","0.465026501170543","0.355729540917687","0.574323461423399"
"Ja","1997","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","Sachsen-Anhalt","2","163","","",""
