"hgeqpgar","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2003","5 Einkommensstärkstes Quintil","","","",""
"Ja","2004","1 Einkommensschwächstes Quintil","","","",""
"Ja","2004","2","3720","0.620556310722076","0.608097119615345","0.633015501828807"
"Ja","2004","3","3961","0.66622278068777","0.654035284503432","0.678410276872107"
"Ja","2004","4","4082","0.675227863294963","0.662924323860737","0.68753140272919"
"Ja","2004","5 Einkommensstärkstes Quintil","","","",""
"Nein","2004","1 Einkommensschwächstes Quintil","","","",""
"Nein","2004","2","2107","","",""
"Nein","2004","3","1790","","",""
"Nein","2004","4","1483","","",""
"Nein","2004","5 Einkommensstärkstes Quintil","","","",""
"Ja","2005","1 Einkommensschwächstes Quintil","","","",""
"Ja","2005","2","3546","0.634491717900414","0.621744935914548","0.64723849988628"
"Ja","2005","3","3757","0.655498305833143","0.642979273929454","0.668017337736832"
"Ja","2005","4","3989","0.674587820259138","0.662139665695657","0.687035974822618"
"Ja","2005","5 Einkommensstärkstes Quintil","","","",""
"Nein","2005","1 Einkommensschwächstes Quintil","","","",""
"Nein","2005","2","1937","","",""
"Nein","2005","3","1778","","",""
"Nein","2005","4","1453","","",""
"Nein","2005","5 Einkommensstärkstes Quintil","","","",""
"Ja","2006","1 Einkommensschwächstes Quintil","","","",""
"Ja","2006","2","3820","0.606182504764148","0.59373315959945","0.618631849928846"
"Ja","2006","3","4171","0.662420655222067","0.650363469184935","0.674477841259199"
"Ja","2006","4","4419","0.668707811960786","0.65684657192678","0.680569051994791"
"Ja","2006","5 Einkommensstärkstes Quintil","","","",""
"Nein","2006","1 Einkommensschwächstes Quintil","","","",""
"Nein","2006","2","2097","","",""
"Nein","2006","3","1738","","",""
"Nein","2006","4","1630","","",""
"Nein","2006","5 Einkommensstärkstes Quintil","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","","","",""
"Ja","2007","2","3522","0.61604175155348","0.603077210575941","0.629006292531018"
"Ja","2007","3","4024","0.679619642993546","0.66739827054816","0.691841015438932"
"Ja","2007","4","4176","0.677441225018313","0.665336667421497","0.689545782615129"
"Ja","2007","5 Einkommensstärkstes Quintil","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","","","",""
"Nein","2007","2","1884","","",""
"Nein","2007","3","1576","","",""
"Nein","2007","4","1553","","",""
"Nein","2007","5 Einkommensstärkstes Quintil","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","","","",""
"Ja","2008","2","2991","","",""
"Ja","2008","3","3793","0.688288657724207","0.675924201132898","0.700653114315515"
"Ja","2008","4","4156","0.694069792414571","0.681936832345953","0.706202752483189"
"Ja","2008","5 Einkommensstärkstes Quintil","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","","","",""
"Nein","2008","2","1681","","",""
"Nein","2008","3","1598","","",""
"Nein","2008","4","1385","","",""
"Nein","2008","5 Einkommensstärkstes Quintil","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","","","",""
"Ja","2009","2","2808","","",""
"Ja","2009","3","3468","0.687035834003342","0.674017892060054","0.700053775946629"
"Ja","2009","4","4016","0.709294595412631","0.697121133128339","0.721468057696924"
"Ja","2009","5 Einkommensstärkstes Quintil","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","","","",""
"Nein","2009","2","1498","","",""
"Nein","2009","3","1406","","",""
"Nein","2009","4","1329","","",""
"Nein","2009","5 Einkommensstärkstes Quintil","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","","","",""
"Ja","2010","2","5368","0.605165693409249","0.594683662258221","0.615647724560276"
"Ja","2010","3","5300","0.686292119584527","0.67558785408546","0.696996385083595"
"Ja","2010","4","5511","0.71408326355343","0.703717277376586","0.724449249730275"
"Ja","2010","5 Einkommensstärkstes Quintil","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","","","",""
"Nein","2010","2","2986","","",""
"Nein","2010","3","1918","","",""
"Nein","2010","4","1788","","",""
"Nein","2010","5 Einkommensstärkstes Quintil","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","","","",""
"Ja","2011","2","6006","0.609246870976652","0.599309602238544","0.61918413971476"
"Ja","2011","3","6472","0.679669173974695","0.669889121838643","0.689449226110747"
"Ja","2011","4","7104","0.717550976136859","0.70839938830115","0.726702563972568"
"Ja","2011","5 Einkommensstärkstes Quintil","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","","","",""
"Nein","2011","2","3255","0.390753129023348","0.38081586028524","0.400690397761456"
"Nein","2011","3","2272","","",""
"Nein","2011","4","2192","","",""
"Nein","2011","5 Einkommensstärkstes Quintil","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","","","",""
"Ja","2012","2","5492","0.604236115863292","0.593882808676878","0.614589423049705"
"Ja","2012","3","6503","0.686969954570024","0.677304223236704","0.696635685903343"
"Ja","2012","4","7130","0.70765716418266","0.698422499792865","0.716891828572455"
"Ja","2012","5 Einkommensstärkstes Quintil","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","","","",""
"Nein","2012","2","3078","0.395763884136708","0.385410576950295","0.406117191323122"
"Nein","2012","3","2339","","",""
"Nein","2012","4","2189","","",""
"Nein","2012","5 Einkommensstärkstes Quintil","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","","","",""
"Ja","2013","2","5625","0.572401602886708","0.562512841408356","0.582290364365061"
"Ja","2013","3","6365","0.680652992838208","0.671197831205867","0.690108154470548"
"Ja","2013","4","7827","0.709327548404662","0.700666257757272","0.717988839052053"
"Ja","2013","5 Einkommensstärkstes Quintil","","","",""
"Nein","2013","1 Einkommensschwächstes Quintil","","","",""
"Nein","2013","2","3990","0.427598397113292","0.417709635634939","0.437487158591644"
"Nein","2013","3","2975","","",""
"Nein","2013","4","2731","","",""
"Nein","2013","5 Einkommensstärkstes Quintil","","","",""
"Ja","2014","1 Einkommensschwächstes Quintil","","","",""
"Ja","2014","2","4556","0.569739219567522","0.558782432114239","0.580696007020805"
"Ja","2014","3","5792","0.677595939761352","0.667502879971524","0.687688999551179"
"Ja","2014","4","7195","0.722221806314861","0.71327925306665","0.731164359563071"
"Ja","2014","5 Einkommensstärkstes Quintil","","","",""
"Nein","2014","1 Einkommensschwächstes Quintil","","","",""
"Nein","2014","2","3288","0.430260780432478","0.419303992979195","0.441217567885761"
"Nein","2014","3","2446","","",""
"Nein","2014","4","2442","","",""
"Nein","2014","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","2","3803","0.530095671042584","0.518579402721257","0.54161193936391"
"Ja","2015","3","5263","0.650259344975124","0.639791589485921","0.660727100464327"
"Ja","2015","4","6898","0.701388247928124","0.692206226131962","0.710570269724285"
"Ja","2015","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","2","3412","0.469904328957416","0.45838806063609","0.481420597278743"
"Nein","2015","3","2710","","",""
"Nein","2015","4","2645","","",""
"Nein","2015","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","","","",""
"Ja","2016","2","3404","0.539609431752357","0.527450289407647","0.551768574097067"
"Ja","2016","3","4433","0.651499070389562","0.640236460857546","0.662761679921577"
"Ja","2016","4","6679","0.690447492586765","0.681037400552068","0.699857584621463"
"Ja","2016","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","2","3051","0.460390568247643","0.448231425902933","0.472549710592353"
"Nein","2016","3","2443","","",""
"Nein","2016","4","2593","","",""
"Nein","2016","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","2","3294","0.527544720713446","0.515445170935037","0.539644270491855"
"Ja","2017","3","4857","0.639999738526143","0.629034426647248","0.650965050405038"
"Ja","2017","4","7363","0.701374199052192","0.692484847100557","0.710263551003827"
"Ja","2017","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","2","3246","0.472455279286554","0.460355729508145","0.484554829064963"
"Nein","2017","3","2504","","",""
"Nein","2017","4","2819","","",""
"Nein","2017","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","2","2830","","",""
"Ja","2018","3","4299","0.60768543875051","0.59629841787593","0.61907245962509"
"Ja","2018","4","7338","0.693940082044133","0.685067100927845","0.702813063160421"
"Ja","2018","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","2","3396","0.511546458153908","0.499130000680384","0.523962915627432"
"Nein","2018","3","2764","","",""
"Nein","2018","4","3025","0.306059917955867","0.297186936839579","0.314932899072155"
"Nein","2018","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","2","2312","","",""
"Ja","2019","3","3332","0.627215836128807","0.614526290519699","0.639905381737915"
"Ja","2019","4","6037","0.677517998242581","0.667686915700386","0.687349080784776"
"Ja","2019","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","2","3046","0.509580618516184","0.496195044501192","0.522966192531175"
"Nein","2019","3","2246","","",""
"Nein","2019","4","2647","","",""
"Nein","2019","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","2","2845","","",""
"Ja","2020","3","3488","0.602599139921795","0.590686109995486","0.614512169848104"
"Ja","2020","4","6991","0.699258241505607","0.690505573348364","0.708010909662851"
"Ja","2020","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","2","4494","0.484338837677277","0.472905145220925","0.495772530133629"
"Nein","2020","3","2994","","",""
"Nein","2020","4","3554","0.300741758494393","0.29198909033715","0.309494426651636"
"Nein","2020","5 Einkommensstärkstes Quintil","","","",""
