,Unnamed: 0,year,hhtyp,regtyp,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
52,52,1987,Couple with children,Rural regions,Yes,0.82997,357,4807,0.80532,0.85116
53,53,1987,Couple with children,Rural regions,No,0.17003,104,4807,0.14794,0.19454
54,54,1987,Multi-generational household,Urban regions,Yes,0.64193,39,4807,0.53339,0.75918
55,55,1987,Multi-generational household,Urban regions,No,0.35807,41,4807,0.24341,0.47184
56,56,1987,Multi-generational household,Rural regions,Yes,1.0,31,4807,0.8362,1.15733
57,57,1987,Other Combinations,Urban regions,Yes,0.40107,36,4807,0.34876,0.45563
58,58,1987,Other Combinations,Urban regions,No,0.59893,55,4807,0.50394,0.67387
59,59,1988,Single-person household,Urban regions,Yes,0.36031,289,4596,0.34724,0.37394
60,60,1988,Single-person household,Urban regions,No,0.63969,559,4596,0.61775,0.66183
61,61,1988,Single-person household,Rural regions,Yes,0.57137,95,4596,0.52824,0.61263
62,62,1988,Single-person household,Rural regions,No,0.42863,70,4596,0.38778,0.46535
63,63,1988,Couple without children,Urban regions,Yes,0.53476,461,4596,0.51279,0.55046
64,64,1988,Couple without children,Urban regions,No,0.46524,451,4596,0.44177,0.48743
65,65,1988,Couple without children,Rural regions,Yes,0.72054,156,4596,0.6821,0.75598
66,66,1988,Couple without children,Rural regions,No,0.27946,75,4596,0.24478,0.31399
67,67,1988,Single parent,Urban regions,Yes,0.54011,98,4596,0.49695,0.5771
68,68,1988,Single parent,Urban regions,No,0.45989,107,4596,0.40499,0.5204
69,69,1988,Single parent,Rural regions,Yes,1.0,39,4596,0.87054,1.11167
70,70,1988,Couple with children,Urban regions,Yes,0.65807,907,4596,0.63526,0.67896
71,71,1988,Couple with children,Urban regions,No,0.34193,710,4596,0.32028,0.36133
72,72,1988,Couple with children,Rural regions,Yes,0.8378,336,4596,0.8057,0.87118
73,73,1988,Couple with children,Rural regions,No,0.1622,98,4596,0.1431,0.18632
74,74,1988,Multi-generational household,Urban regions,Yes,0.64684,33,4596,0.49179,0.78736
75,75,1988,Multi-generational household,Urban regions,No,0.35316,32,4596,0.20687,0.54008
76,76,1988,Other Combinations,Urban regions,Yes,0.45747,34,4596,0.39453,0.52715
77,77,1988,Other Combinations,Urban regions,No,0.54253,46,4596,0.44164,0.65139
78,78,1989,Single-person household,Urban regions,Yes,0.3536,288,4486,0.34082,0.36689
79,79,1989,Single-person household,Urban regions,No,0.6464,563,4486,0.62687,0.66345
80,80,1989,Single-person household,Rural regions,Yes,0.54784,87,4486,0.51876,0.58472
81,81,1989,Single-person household,Rural regions,No,0.45216,73,4486,0.411,0.49514
82,82,1989,Couple without children,Urban regions,Yes,0.52853,452,4486,0.5078,0.5503
83,83,1989,Couple without children,Urban regions,No,0.47147,448,4486,0.44834,0.49728
84,84,1989,Couple without children,Rural regions,Yes,0.74467,168,4486,0.70257,0.78133
85,85,1989,Couple without children,Rural regions,No,0.25533,66,4486,0.22115,0.2907
86,86,1989,Single parent,Urban regions,Yes,0.58788,103,4486,0.54585,0.63779
87,87,1989,Single parent,Urban regions,No,0.41212,93,4486,0.36257,0.47638
88,88,1989,Single parent,Rural regions,Yes,1.0,37,4486,0.88423,1.12192
89,89,1989,Couple with children,Urban regions,Yes,0.6716,880,4486,0.65065,0.69217
90,90,1989,Couple with children,Urban regions,No,0.3284,679,4486,0.30802,0.35078
91,91,1989,Couple with children,Rural regions,Yes,0.83596,313,4486,0.79853,0.87632
92,92,1989,Couple with children,Rural regions,No,0.16404,92,4486,0.13995,0.18765
93,93,1989,Multi-generational household,Urban regions,Yes,0.709,35,4486,0.54463,0.85959
94,94,1989,Multi-generational household,Urban regions,No,0.291,36,4486,0.17389,0.42388
95,95,1989,Other Combinations,Urban regions,Yes,0.57116,39,4486,0.50051,0.65559
96,96,1989,Other Combinations,Urban regions,No,0.42884,34,4486,0.33053,0.5126
97,97,1990,Single-person household,Urban regions,Yes,0.3588,295,5462,0.34124,0.37302
98,98,1990,Single-person household,Urban regions,No,0.6412,529,5462,0.61607,0.66335
99,99,1990,Single-person household,Rural regions,Yes,0.6493,167,5462,0.60658,0.69168
100,100,1990,Single-person household,Rural regions,No,0.3507,75,5462,0.32121,0.38338
101,101,1990,Couple without children,Urban regions,Yes,0.5643,526,5462,0.54637,0.58305
102,102,1990,Couple without children,Urban regions,No,0.4357,427,5462,0.41207,0.45495
103,103,1990,Couple without children,Rural regions,Yes,0.82472,371,5462,0.7806,0.87104
104,104,1990,Couple without children,Rural regions,No,0.17528,70,5462,0.14928,0.20177
105,105,1990,Single parent,Urban regions,Yes,0.64289,124,5462,0.59706,0.6951
106,106,1990,Single parent,Urban regions,No,0.35711,91,5462,0.30324,0.42517
107,107,1990,Single parent,Rural regions,Yes,1.0,52,5462,0.86002,1.1496
108,108,1990,Couple with children,Urban regions,Yes,0.67822,979,5462,0.65911,0.70141
109,109,1990,Couple with children,Urban regions,No,0.32178,657,5462,0.29866,0.34598
110,110,1990,Couple with children,Rural regions,Yes,0.88651,741,5462,0.83718,0.93004
111,111,1990,Couple with children,Rural regions,No,0.11349,95,5462,0.09521,0.13353
112,112,1990,Multi-generational household,Urban regions,Yes,0.74599,48,5462,0.60969,0.92677
113,113,1990,Multi-generational household,Urban regions,No,0.25401,41,5462,0.16402,0.37474
114,114,1990,Multi-generational household,Rural regions,Yes,1.0,59,5462,0.84682,1.15275
115,115,1990,Other Combinations,Urban regions,Yes,0.57115,43,5462,0.48754,0.6647
116,116,1990,Other Combinations,Urban regions,No,0.42885,31,5462,0.32037,0.54379
117,117,1990,Other Combinations,Rural regions,Yes,1.0,41,5462,0.8482,1.16541
118,118,1991,Single-person household,Urban regions,Yes,0.33064,293,6483,0.31567,0.34468
119,119,1991,Single-person household,Urban regions,No,0.66936,633,6483,0.64467,0.69192
120,120,1991,Single-person household,Rural regions,Yes,0.4299,141,6483,0.39948,0.45967
121,121,1991,Single-person household,Rural regions,No,0.5701,190,6483,0.53529,0.59883
122,122,1991,Couple without children,Urban regions,Yes,0.54348,549,6483,0.52246,0.56045
123,123,1991,Couple without children,Urban regions,No,0.45652,544,6483,0.43254,0.48009
124,124,1991,Couple without children,Rural regions,Yes,0.71926,362,6483,0.68154,0.75795
125,125,1991,Couple without children,Rural regions,No,0.28074,176,6483,0.26155,0.30962
126,126,1991,Single parent,Urban regions,Yes,0.53982,123,6483,0.49127,0.58252
127,127,1991,Single parent,Urban regions,No,0.46018,137,6483,0.41339,0.51917
128,128,1991,Single parent,Rural regions,Yes,0.64885,62,6483,0.58209,0.73395
129,129,1991,Single parent,Rural regions,No,0.35115,52,6483,0.28859,0.41909
130,130,1991,Couple with children,Urban regions,Yes,0.65077,990,6483,0.62914,0.67238
131,131,1991,Couple with children,Urban regions,No,0.34923,868,6483,0.33387,0.37195
132,132,1991,Couple with children,Rural regions,Yes,0.76348,747,6483,0.7326,0.79795
133,133,1991,Couple with children,Rural regions,No,0.23652,340,6483,0.22015,0.25057
134,134,1991,Multi-generational household,Urban regions,Yes,0.73036,49,6483,0.58899,0.88945
135,135,1991,Multi-generational household,Urban regions,No,0.26964,43,6483,0.19177,0.37217
136,136,1991,Multi-generational household,Rural regions,Yes,1.0,51,6483,0.82712,1.21615
137,137,1991,Other Combinations,Urban regions,Yes,0.44741,35,6483,0.36926,0.52732
138,138,1991,Other Combinations,Urban regions,No,0.55259,47,6483,0.4521,0.67068
139,139,1991,Other Combinations,Rural regions,Yes,1.0,51,6483,0.86288,1.12138
140,140,1992,Single-person household,Urban regions,Yes,0.34191,295,6350,0.32804,0.35514
141,141,1992,Single-person household,Urban regions,No,0.65809,618,6350,0.6311,0.6853
142,142,1992,Single-person household,Rural regions,Yes,0.44706,150,6350,0.41309,0.48017
143,143,1992,Single-person household,Rural regions,No,0.55294,183,6350,0.51784,0.59031
144,144,1992,Couple without children,Urban regions,Yes,0.56186,574,6350,0.54129,0.58567
145,145,1992,Couple without children,Urban regions,No,0.43814,553,6350,0.41349,0.46218
146,146,1992,Couple without children,Rural regions,Yes,0.71234,341,6350,0.6777,0.74901
147,147,1992,Couple without children,Rural regions,No,0.28766,165,6350,0.26028,0.31519
148,148,1992,Single parent,Urban regions,Yes,0.50989,118,6350,0.45603,0.56213
149,149,1992,Single parent,Urban regions,No,0.49011,144,6350,0.43354,0.55288
150,150,1992,Single parent,Rural regions,Yes,0.64651,63,6350,0.57633,0.7333
151,151,1992,Single parent,Rural regions,No,0.35349,58,6350,0.30478,0.409
152,152,1992,Couple with children,Urban regions,Yes,0.66324,965,6350,0.63807,0.68969
153,153,1992,Couple with children,Urban regions,No,0.33676,820,6350,0.32107,0.35456
154,154,1992,Couple with children,Rural regions,Yes,0.76282,700,6350,0.72459,0.7966
155,155,1992,Couple with children,Rural regions,No,0.23718,327,6350,0.21959,0.25325
156,156,1992,Multi-generational household,Urban regions,Yes,0.73855,44,6350,0.54823,0.98596
157,157,1992,Multi-generational household,Urban regions,No,0.26145,39,6350,0.17309,0.33888
158,158,1992,Multi-generational household,Rural regions,Yes,1.0,51,6350,0.77364,1.24277
159,159,1992,Other Combinations,Urban regions,Yes,0.43221,39,6350,0.3667,0.512
160,160,1992,Other Combinations,Urban regions,No,0.56779,55,6350,0.44201,0.69783
161,161,1992,Other Combinations,Rural regions,Yes,1.0,48,6350,0.84774,1.16436
162,162,1993,Single-person household,Urban regions,Yes,0.35991,317,6328,0.34131,0.37419
163,163,1993,Single-person household,Urban regions,No,0.64009,611,6328,0.61389,0.66668
164,164,1993,Single-person household,Rural regions,Yes,0.45768,168,6328,0.42283,0.49139
165,165,1993,Single-person household,Rural regions,No,0.54232,200,6328,0.50871,0.57465
166,166,1993,Couple without children,Urban regions,Yes,0.56846,592,6328,0.54435,0.59321
167,167,1993,Couple without children,Urban regions,No,0.43154,547,6328,0.41057,0.46154
168,168,1993,Couple without children,Rural regions,Yes,0.68918,338,6328,0.65333,0.72784
169,169,1993,Couple without children,Rural regions,No,0.31082,184,6328,0.28087,0.34189
170,170,1993,Single parent,Urban regions,Yes,0.50381,114,6328,0.45109,0.55204
171,171,1993,Single parent,Urban regions,No,0.49619,135,6328,0.43229,0.56542
172,172,1993,Single parent,Rural regions,Yes,0.6203,61,6328,0.52784,0.72582
173,173,1993,Single parent,Rural regions,No,0.3797,57,6328,0.32102,0.43953
174,174,1993,Couple with children,Urban regions,Yes,0.67722,952,6328,0.6534,0.70516
175,175,1993,Couple with children,Urban regions,No,0.32278,785,6328,0.30089,0.34343
176,176,1993,Couple with children,Rural regions,Yes,0.77077,676,6328,0.73288,0.80306
177,177,1993,Couple with children,Rural regions,No,0.22923,317,6328,0.21255,0.24545
178,178,1993,Multi-generational household,Urban regions,Yes,0.66097,41,6328,0.48843,0.88445
179,179,1993,Multi-generational household,Urban regions,No,0.33903,42,6328,0.2412,0.45929
180,180,1993,Multi-generational household,Rural regions,Yes,1.0,55,6328,0.81259,1.19302
181,181,1993,Other Combinations,Urban regions,Yes,0.43589,43,6328,0.35888,0.50537
182,182,1993,Other Combinations,Urban regions,No,0.56411,52,6328,0.44115,0.67633
183,183,1993,Other Combinations,Rural regions,Yes,1.0,41,6328,0.8398,1.15168
184,184,1994,Single-person household,Urban regions,Yes,0.37404,323,6234,0.355,0.39313
185,185,1994,Single-person household,Urban regions,No,0.62596,593,6234,0.60159,0.65052
186,186,1994,Single-person household,Rural regions,Yes,0.50104,187,6234,0.46552,0.53413
187,187,1994,Single-person household,Rural regions,No,0.49896,182,6234,0.46782,0.5371
188,188,1994,Couple without children,Urban regions,Yes,0.57597,596,6234,0.55387,0.60455
189,189,1994,Couple without children,Urban regions,No,0.42403,557,6234,0.40132,0.44355
190,190,1994,Couple without children,Rural regions,Yes,0.6957,357,6234,0.66222,0.73749
191,191,1994,Couple without children,Rural regions,No,0.3043,191,6234,0.27658,0.33264
192,192,1994,Single parent,Urban regions,Yes,0.50222,110,6234,0.44632,0.56591
193,193,1994,Single parent,Urban regions,No,0.49778,130,6234,0.42766,0.5585
194,194,1994,Single parent,Rural regions,Yes,0.59966,59,6234,0.50944,0.69217
195,195,1994,Single parent,Rural regions,No,0.40034,54,6234,0.33596,0.48313
196,196,1994,Couple with children,Urban regions,Yes,0.67591,919,6234,0.64494,0.70387
197,197,1994,Couple with children,Urban regions,No,0.32409,754,6234,0.30261,0.34689
198,198,1994,Couple with children,Rural regions,Yes,0.76123,651,6234,0.72471,0.79739
199,199,1994,Couple with children,Rural regions,No,0.23877,304,6234,0.21921,0.2599
200,200,1994,Multi-generational household,Urban regions,Yes,0.7013,40,6234,0.52194,0.92415
201,201,1994,Multi-generational household,Urban regions,No,0.2987,35,6234,0.20422,0.41144
202,202,1994,Multi-generational household,Rural regions,Yes,1.0,50,6234,0.82423,1.24329
203,203,1994,Other Combinations,Urban regions,Yes,0.54945,55,6234,0.47758,0.63242
204,204,1994,Other Combinations,Urban regions,No,0.45055,45,6234,0.3477,0.56443
205,205,1994,Other Combinations,Rural regions,Yes,1.0,42,6234,0.85383,1.18686
206,206,1995,Single-person household,Urban regions,Yes,0.38488,335,6411,0.36454,0.40905
207,207,1995,Single-person household,Urban regions,No,0.61512,617,6411,0.58951,0.6426
208,208,1995,Single-person household,Rural regions,Yes,0.51987,186,6411,0.47854,0.55772
209,209,1995,Single-person household,Rural regions,No,0.48013,184,6411,0.43358,0.51651
210,210,1995,Couple without children,Urban regions,Yes,0.56826,604,6411,0.54394,0.60227
211,211,1995,Couple without children,Urban regions,No,0.43174,583,6411,0.40734,0.45201
212,212,1995,Couple without children,Rural regions,Yes,0.70563,365,6411,0.66529,0.75117
213,213,1995,Couple without children,Rural regions,No,0.29437,196,6411,0.26781,0.32454
214,214,1995,Single parent,Urban regions,Yes,0.52569,110,6411,0.46011,0.58598
215,215,1995,Single parent,Urban regions,No,0.47431,133,6411,0.40953,0.53433
216,216,1995,Single parent,Rural regions,Yes,0.63268,66,6411,0.54682,0.71603
217,217,1995,Single parent,Rural regions,No,0.36732,54,6411,0.3047,0.45297
218,218,1995,Couple with children,Urban regions,Yes,0.65296,919,6411,0.62654,0.67783
219,219,1995,Couple with children,Urban regions,No,0.34704,798,6411,0.32652,0.37032
220,220,1995,Couple with children,Rural regions,Yes,0.76274,680,6411,0.72046,0.80397
221,221,1995,Couple with children,Rural regions,No,0.23726,313,6411,0.21811,0.25537
222,222,1995,Multi-generational household,Urban regions,Yes,0.65431,40,6411,0.46454,0.85342
223,223,1995,Multi-generational household,Urban regions,No,0.34569,45,6411,0.25298,0.43223
224,224,1995,Multi-generational household,Rural regions,Yes,1.0,41,6411,0.76706,1.23886
225,225,1995,Other Combinations,Urban regions,Yes,0.48174,52,6411,0.40143,0.56868
226,226,1995,Other Combinations,Urban regions,No,0.51826,48,6411,0.41482,0.64181
227,227,1995,Other Combinations,Rural regions,Yes,1.0,42,6411,0.81512,1.24897
228,228,1996,Single-person household,Urban regions,Yes,0.37428,334,6352,0.35472,0.39452
229,229,1996,Single-person household,Urban regions,No,0.62572,625,6352,0.59505,0.65973
230,230,1996,Single-person household,Rural regions,Yes,0.49267,193,6352,0.44928,0.54105
231,231,1996,Single-person household,Rural regions,No,0.50733,205,6352,0.47491,0.56011
232,232,1996,Couple without children,Urban regions,Yes,0.56587,595,6352,0.53543,0.59481
233,233,1996,Couple without children,Urban regions,No,0.43413,588,6352,0.40493,0.46122
234,234,1996,Couple without children,Rural regions,Yes,0.71041,380,6352,0.66674,0.75348
235,235,1996,Couple without children,Rural regions,No,0.28959,206,6352,0.26051,0.3208
236,236,1996,Single parent,Urban regions,Yes,0.48363,101,6352,0.42058,0.54649
237,237,1996,Single parent,Urban regions,No,0.51637,149,6352,0.45969,0.57902
238,238,1996,Single parent,Rural regions,Yes,0.69045,76,6352,0.60888,0.79742
239,239,1996,Single parent,Rural regions,No,0.30955,44,6352,0.25231,0.36651
240,240,1996,Couple with children,Urban regions,Yes,0.66926,927,6352,0.63765,0.69883
241,241,1996,Couple with children,Urban regions,No,0.33074,750,6352,0.31114,0.34879
242,242,1996,Couple with children,Rural regions,Yes,0.78036,668,6352,0.73757,0.82587
243,243,1996,Couple with children,Rural regions,No,0.21964,270,6352,0.19659,0.23898
244,244,1996,Multi-generational household,Urban regions,Yes,0.658,37,6352,0.48492,0.84545
245,245,1996,Multi-generational household,Urban regions,No,0.342,37,6352,0.25698,0.43729
246,246,1996,Multi-generational household,Rural regions,Yes,1.0,37,6352,0.80585,1.23046
247,247,1996,Other Combinations,Urban regions,Yes,0.60968,50,6352,0.51773,0.71452
248,248,1996,Other Combinations,Urban regions,No,0.39032,38,6352,0.2935,0.47631
249,249,1996,Other Combinations,Rural regions,Yes,1.0,42,6352,0.79741,1.24724
250,250,1997,Single-person household,Urban regions,Yes,0.37126,329,6267,0.35092,0.39243
251,251,1997,Single-person household,Urban regions,No,0.62874,610,6267,0.59587,0.66028
252,252,1997,Single-person household,Rural regions,Yes,0.52187,189,6267,0.48211,0.57258
253,253,1997,Single-person household,Rural regions,No,0.47813,199,6267,0.43759,0.51583
254,254,1997,Couple without children,Urban regions,Yes,0.57738,625,6267,0.54995,0.60441
255,255,1997,Couple without children,Urban regions,No,0.42262,580,6267,0.3992,0.45078
256,256,1997,Couple without children,Rural regions,Yes,0.71115,389,6267,0.67144,0.75262
257,257,1997,Couple without children,Rural regions,No,0.28885,213,6267,0.25925,0.31691
258,258,1997,Single parent,Urban regions,Yes,0.49032,109,6267,0.43864,0.54143
259,259,1997,Single parent,Urban regions,No,0.50968,140,6267,0.44175,0.5667
260,260,1997,Single parent,Rural regions,Yes,0.62486,72,6267,0.51764,0.73453
261,261,1997,Single parent,Rural regions,No,0.37514,55,6267,0.32237,0.43163
262,262,1997,Couple with children,Urban regions,Yes,0.68215,915,6267,0.65253,0.71526
263,263,1997,Couple with children,Urban regions,No,0.31785,695,6267,0.29312,0.33959
264,264,1997,Couple with children,Rural regions,Yes,0.79423,670,6267,0.75831,0.84217
265,265,1997,Couple with children,Rural regions,No,0.20577,244,6267,0.18653,0.23099
266,266,1997,Multi-generational household,Urban regions,Yes,0.63943,39,6267,0.48458,0.83284
267,267,1997,Multi-generational household,Urban regions,No,0.36057,34,6267,0.27651,0.49137
268,268,1997,Multi-generational household,Rural regions,Yes,1.0,35,6267,0.79037,1.21158
269,269,1997,Other Combinations,Urban regions,Yes,0.56458,46,6267,0.45207,0.68524
270,270,1997,Other Combinations,Urban regions,No,0.43542,41,6267,0.32857,0.55362
271,271,1997,Other Combinations,Rural regions,Yes,1.0,38,6267,0.82282,1.30972
272,272,1998,Single-person household,Urban regions,Yes,0.34653,395,7339,0.33081,0.36609
273,273,1998,Single-person household,Urban regions,No,0.65347,800,7339,0.63019,0.67606
274,274,1998,Single-person household,Rural regions,Yes,0.48664,217,7339,0.45566,0.51774
275,275,1998,Single-person household,Rural regions,No,0.51336,269,7339,0.47944,0.54452
276,276,1998,Couple without children,Urban regions,Yes,0.56153,753,7339,0.53527,0.58525
277,277,1998,Couple without children,Urban regions,No,0.43847,683,7339,0.4156,0.46104
278,278,1998,Couple without children,Rural regions,Yes,0.69569,464,7339,0.65366,0.73333
279,279,1998,Couple without children,Rural regions,No,0.30431,268,7339,0.28105,0.32647
280,280,1998,Single parent,Urban regions,Yes,0.44587,124,7339,0.40344,0.49312
281,281,1998,Single parent,Urban regions,No,0.55413,176,7339,0.50825,0.61252
282,282,1998,Single parent,Rural regions,Yes,0.52314,71,7339,0.4332,0.62894
283,283,1998,Single parent,Rural regions,No,0.47686,75,7339,0.41105,0.54539
284,284,1998,Couple with children,Urban regions,Yes,0.66004,1047,7339,0.63506,0.68839
285,285,1998,Couple with children,Urban regions,No,0.33996,733,7339,0.31864,0.359
286,286,1998,Couple with children,Rural regions,Yes,0.7848,747,7339,0.74669,0.82592
287,287,1998,Couple with children,Rural regions,No,0.2152,277,7339,0.19794,0.23081
288,288,1998,Multi-generational household,Urban regions,Yes,0.581,33,7339,0.44166,0.73933
289,289,1998,Multi-generational household,Urban regions,No,0.419,36,7339,0.32964,0.52288
290,290,1998,Multi-generational household,Rural regions,Yes,1.0,34,7339,0.78797,1.26762
291,291,1998,Other Combinations,Urban regions,Yes,0.55407,56,7339,0.46074,0.64856
292,292,1998,Other Combinations,Urban regions,No,0.44593,44,7339,0.36461,0.53296
293,293,1998,Other Combinations,Rural regions,Yes,1.0,37,7339,0.76388,1.27362
294,294,1999,Single-person household,Urban regions,Yes,0.34695,381,6986,0.33093,0.36391
295,295,1999,Single-person household,Urban regions,No,0.65305,752,6986,0.62962,0.6841
296,296,1999,Single-person household,Rural regions,Yes,0.49884,218,6986,0.46832,0.53041
297,297,1999,Single-person household,Rural regions,No,0.50116,258,6986,0.46024,0.53825
298,298,1999,Couple without children,Urban regions,Yes,0.56657,745,6986,0.54409,0.58881
299,299,1999,Couple without children,Urban regions,No,0.43343,659,6986,0.41408,0.45626
300,300,1999,Couple without children,Rural regions,Yes,0.6949,461,6986,0.65235,0.73295
301,301,1999,Couple without children,Rural regions,No,0.3051,270,6986,0.28356,0.3332
302,302,1999,Single parent,Urban regions,Yes,0.43317,112,6986,0.38102,0.47922
303,303,1999,Single parent,Urban regions,No,0.56683,166,6986,0.51404,0.62156
304,304,1999,Single parent,Rural regions,Yes,0.55841,85,6986,0.47093,0.64245
305,305,1999,Single parent,Rural regions,No,0.44159,76,6986,0.36565,0.51413
306,306,1999,Couple with children,Urban regions,Yes,0.66845,1043,6986,0.64106,0.69458
307,307,1999,Couple with children,Urban regions,No,0.33155,687,6986,0.31048,0.35071
308,308,1999,Couple with children,Rural regions,Yes,0.77831,722,6986,0.73807,0.81808
309,309,1999,Couple with children,Rural regions,No,0.22169,254,6986,0.20319,0.24386
310,310,1999,Multi-generational household,Urban regions,Yes,0.57254,31,6986,0.40646,0.75064
311,311,1999,Multi-generational household,Urban regions,No,0.42746,31,6986,0.31885,0.56425
312,312,1999,Multi-generational household,Rural regions,Yes,1.0,35,6986,0.75442,1.36516
313,313,2000,Single-person household,Urban regions,Yes,0.35351,813,12758,0.34309,0.3631
314,314,2000,Single-person household,Urban regions,No,0.64649,1417,12758,0.63261,0.66179
315,315,2000,Single-person household,Rural regions,Yes,0.48805,465,12758,0.46899,0.50558
316,316,2000,Single-person household,Rural regions,No,0.51195,504,12758,0.49563,0.52864
317,317,2000,Couple without children,Urban regions,Yes,0.58338,1526,12758,0.57045,0.59979
318,318,2000,Couple without children,Urban regions,No,0.41662,1084,12758,0.4025,0.43081
319,319,2000,Couple without children,Rural regions,Yes,0.71775,920,12758,0.69515,0.74276
320,320,2000,Couple without children,Rural regions,No,0.28225,397,12758,0.26853,0.29529
321,321,2000,Single parent,Urban regions,Yes,0.44907,216,12758,0.41883,0.47965
322,322,2000,Single parent,Urban regions,No,0.55093,277,12758,0.52094,0.57955
323,323,2000,Single parent,Rural regions,Yes,0.60385,148,12758,0.54596,0.66698
324,324,2000,Single parent,Rural regions,No,0.39615,104,12758,0.35302,0.43963
325,325,2000,Couple with children,Urban regions,Yes,0.66093,1895,12758,0.64314,0.67795
326,326,2000,Couple with children,Urban regions,No,0.33907,1014,12758,0.32579,0.35371
327,327,2000,Couple with children,Rural regions,Yes,0.78458,1300,12758,0.76091,0.80978
328,328,2000,Couple with children,Rural regions,No,0.21542,372,12758,0.20407,0.22845
