,Unnamed: 0,year,regtyp,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
37,37,1994,Urban regions,No,0.47155,2114,6261,0.45453,0.48618
38,38,1994,Rural regions,Yes,0.65743,1346,6261,0.63344,0.68463
39,39,1994,Rural regions,No,0.34257,758,6261,0.32217,0.36457
40,40,1995,Urban regions,Yes,0.52113,2060,6438,0.50659,0.53514
41,41,1995,Urban regions,No,0.47887,2224,6438,0.46515,0.50097
42,42,1995,Rural regions,Yes,0.66888,1380,6438,0.64192,0.69407
43,43,1995,Rural regions,No,0.33112,774,6438,0.31323,0.3525
44,44,1996,Urban regions,Yes,0.52115,2044,6380,0.50454,0.53535
45,45,1996,Urban regions,No,0.47885,2187,6380,0.45809,0.49551
46,46,1996,Rural regions,Yes,0.66752,1396,6380,0.64186,0.69361
47,47,1996,Rural regions,No,0.33248,753,6380,0.31332,0.35401
48,48,1997,Urban regions,Yes,0.52467,2063,6296,0.50844,0.54308
49,49,1997,Urban regions,No,0.47533,2100,6296,0.45545,0.49223
50,50,1997,Rural regions,Yes,0.67526,1393,6296,0.65122,0.70655
51,51,1997,Rural regions,No,0.32474,740,6296,0.30689,0.34677
52,52,1998,Urban regions,Yes,0.50025,2408,7364,0.48671,0.51273
53,53,1998,Urban regions,No,0.49975,2472,7364,0.48634,0.51624
54,54,1998,Rural regions,Yes,0.64982,1570,7364,0.62651,0.67176
55,55,1998,Rural regions,No,0.35018,914,7364,0.33389,0.36711
56,56,1999,Urban regions,Yes,0.50346,2331,7056,0.49103,0.51697
57,57,1999,Urban regions,No,0.49654,2317,7056,0.48239,0.51285
58,58,1999,Rural regions,Yes,0.65518,1543,7056,0.62909,0.67771
59,59,1999,Rural regions,No,0.34482,865,7056,0.32554,0.36426
60,60,2000,Urban regions,Yes,0.51095,4572,12777,0.50402,0.51846
61,61,2000,Urban regions,No,0.48905,3871,12777,0.47859,0.498
62,62,2000,Rural regions,Yes,0.65955,2938,12777,0.64629,0.67394
63,63,2000,Rural regions,No,0.34045,1396,12777,0.33064,0.34879
64,64,2001,Urban regions,Yes,0.51441,4134,11486,0.50586,0.52315
65,65,2001,Urban regions,No,0.48559,3480,11486,0.47636,0.49562
66,66,2001,Rural regions,Yes,0.66816,2660,11486,0.65207,0.68719
67,67,2001,Rural regions,No,0.33184,1212,11486,0.3221,0.34235
68,68,2002,Urban regions,Yes,0.51599,4610,11971,0.50664,0.52888
69,69,2002,Urban regions,No,0.48401,3438,11971,0.47474,0.49516
70,70,2002,Rural regions,Yes,0.67211,2742,11971,0.65273,0.69129
71,71,2002,Rural regions,No,0.32789,1181,11971,0.31582,0.34076
72,72,2003,Urban regions,Yes,0.51738,4446,11551,0.50599,0.53081
73,73,2003,Urban regions,No,0.48262,3330,11551,0.47211,0.49557
74,74,2003,Rural regions,Yes,0.6772,2639,11551,0.66051,0.69636
75,75,2003,Rural regions,No,0.3228,1136,11551,0.31116,0.33497
76,76,2004,Urban regions,Yes,0.51706,4352,11269,0.50356,0.52937
77,77,2004,Urban regions,No,0.48294,3218,11269,0.47135,0.49416
78,78,2004,Rural regions,Yes,0.68077,2619,11269,0.66319,0.70501
79,79,2004,Rural regions,No,0.31923,1080,11269,0.30596,0.33315
80,80,2005,Urban regions,Yes,0.5033,4241,11171,0.49027,0.5156
81,81,2005,Urban regions,No,0.4967,3280,11171,0.48652,0.50802
82,82,2005,Rural regions,Yes,0.697,2618,11171,0.67715,0.71844
83,83,2005,Rural regions,No,0.303,1032,11171,0.29246,0.32027
84,84,2006,Urban regions,Yes,0.49761,4633,12235,0.48519,0.50704
85,85,2006,Urban regions,No,0.50239,3492,12235,0.48999,0.51288
86,86,2006,Rural regions,Yes,0.67388,2920,12235,0.65182,0.69508
87,87,2006,Rural regions,No,0.32612,1190,12235,0.31329,0.3389
88,88,2007,Urban regions,Yes,0.5155,4394,11424,0.50412,0.52805
89,89,2007,Urban regions,No,0.4845,3171,11424,0.47175,0.49617
90,90,2007,Rural regions,Yes,0.68213,2769,11424,0.66077,0.7008
91,91,2007,Rural regions,No,0.31787,1090,11424,0.30424,0.33282
92,92,2008,Urban regions,Yes,0.52365,4172,10798,0.51075,0.53724
93,93,2008,Urban regions,No,0.47635,2981,10798,0.4656,0.48786
94,94,2008,Rural regions,Yes,0.68979,2630,10798,0.66594,0.7156
95,95,2008,Rural regions,No,0.31021,1015,10798,0.29444,0.32384
96,96,2009,Urban regions,Yes,0.53506,3955,10167,0.51712,0.5501
97,97,2009,Urban regions,No,0.46494,2720,10167,0.45091,0.48014
98,98,2009,Rural regions,Yes,0.69238,2506,10167,0.66836,0.72087
99,99,2009,Rural regions,No,0.30762,986,10167,0.29021,0.32152
100,100,2010,Urban regions,Yes,0.53698,5301,13779,0.52095,0.55523
101,101,2010,Urban regions,No,0.46302,3744,13779,0.44468,0.4791
102,102,2010,Rural regions,Yes,0.69857,3449,13779,0.66807,0.73126
103,103,2010,Rural regions,No,0.30143,1285,13779,0.28312,0.31991
104,104,2011,Urban regions,Yes,0.53713,6331,16591,0.52367,0.55264
105,105,2011,Urban regions,No,0.46287,4394,16591,0.44993,0.47387
106,106,2011,Rural regions,Yes,0.70674,4273,16591,0.68412,0.72919
107,107,2011,Rural regions,No,0.29326,1593,16591,0.27698,0.30792
108,108,2012,Urban regions,Yes,0.54345,6179,16298,0.52979,0.55943
109,109,2012,Urban regions,No,0.45655,4246,16298,0.44497,0.46957
110,110,2012,Rural regions,Yes,0.6897,4232,16298,0.66438,0.71445
111,111,2012,Rural regions,No,0.3103,1641,16298,0.29493,0.32499
112,112,2013,Urban regions,Yes,0.55288,6656,17866,0.53906,0.56818
113,113,2013,Urban regions,No,0.44712,5172,17866,0.4329,0.46066
114,114,2013,Rural regions,Yes,0.68565,4231,17866,0.66432,0.70817
115,115,2013,Rural regions,No,0.31435,1807,17866,0.29827,0.33088
116,116,2014,Urban regions,Yes,0.56164,6008,15820,0.54923,0.57841
117,117,2014,Urban regions,No,0.43836,4371,15820,0.42323,0.45382
118,118,2014,Rural regions,Yes,0.68602,3853,15820,0.65958,0.70755
119,119,2014,Rural regions,No,0.31398,1588,15820,0.29752,0.33015
120,120,2015,Urban regions,Yes,0.54472,5646,15754,0.52918,0.56063
121,121,2015,Urban regions,No,0.45528,4716,15754,0.44023,0.46731
122,122,2015,Rural regions,Yes,0.67112,3712,15754,0.64984,0.69669
123,123,2015,Rural regions,No,0.32888,1680,15754,0.3111,0.34585
124,124,2016,Urban regions,Yes,0.53756,5472,16395,0.5183,0.55554
125,125,2016,Urban regions,No,0.46244,5336,16395,0.44497,0.47936
126,126,2016,Rural regions,Yes,0.68383,3597,16395,0.65692,0.71041
127,127,2016,Rural regions,No,0.31617,1990,16395,0.29856,0.3311
128,128,2017,Urban regions,Yes,0.54443,6187,18267,0.52758,0.56015
129,129,2017,Urban regions,No,0.45557,5817,18267,0.44164,0.4708
130,130,2017,Rural regions,Yes,0.68969,4103,18267,0.66219,0.71396
131,131,2017,Rural regions,No,0.31031,2160,18267,0.29141,0.32954
132,132,2018,Urban regions,Yes,0.5446,5914,17692,0.52912,0.56057
133,133,2018,Urban regions,No,0.4554,5863,17692,0.44051,0.47232
134,134,2018,Rural regions,Yes,0.68517,3814,17692,0.66105,0.70868
135,135,2018,Rural regions,No,0.31483,2101,17692,0.29837,0.33383
136,136,2019,Urban regions,Yes,0.55499,5045,14908,0.53611,0.57415
137,137,2019,Urban regions,No,0.44501,4845,14908,0.42643,0.46232
138,138,2019,Rural regions,Yes,0.70055,3313,14908,0.66855,0.72793
139,139,2019,Rural regions,No,0.29945,1705,14908,0.28006,0.31887
140,140,2020,Urban regions,Yes,0.5543,6429,19300,0.53601,0.56995
141,141,2020,Urban regions,No,0.4457,6921,19300,0.43064,0.46122
142,142,2020,Rural regions,Yes,0.70263,3908,19300,0.67697,0.73034
143,143,2020,Rural regions,No,0.29737,2042,19300,0.27778,0.31684
144,144,2021,Urban regions,Yes,0.56152,3943,11173,0.54099,0.58319
145,145,2021,Urban regions,No,0.43848,3657,11173,0.41941,0.45549
146,146,2021,Rural regions,Yes,0.7018,2481,11173,0.67153,0.73499
147,147,2021,Rural regions,No,0.2982,1092,11173,0.27485,0.32368
