year,quintil_oecd,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,3rd Quintile,Never,0.11267098469007267,2663,25281,0.11259123982759069,0.11275072955255465
2013,4th Quintile,Often,0.006494979371845855,128,25281,0.006474719893991864,0.006515238849699846
2013,4th Quintile,Sometimes,0.027834618777176086,591,25281,0.02779313129854614,0.02787610625580603
2013,4th Quintile,Seldom,0.07572007720172741,1685,25281,0.07565335634553053,0.07578679805792429
2013,4th Quintile,Never,0.10392166563303931,2436,25281,0.10384470292067713,0.1039986283454015
2013,5th Quintile,Often,0.005578450504133852,113,25281,0.005559666145010297,0.005597234863257408
2013,5th Quintile,Sometimes,0.030124184519788235,727,25281,0.030081075312035955,0.030167293727540515
2013,5th Quintile,Seldom,0.08299696712618118,1911,25281,0.08292738930506012,0.08306654494730224
2013,5th Quintile,Never,0.10520602680410845,2657,25281,0.10512864547910981,0.1052834081291071
2018,1st Quintile,Very often,0.0018407646572046507,67,24213,0.0018304125349800087,0.0018511167794292927
2018,1st Quintile,Often,0.009667584278813424,240,24213,0.009643953402700271,0.009691215154926576
2018,1st Quintile,Sometimes,0.03093488202528434,869,24213,0.03089306712598044,0.03097669692458824
2018,1st Quintile,Seldom,0.04710378845272622,1257,24213,0.04705262250041406,0.04715495440503838
2018,1st Quintile,Never,0.08693168054509756,2214,24213,0.08686363949344116,0.08699972159675397
2018,2nd Quintile,Very often,0.0009436982240293582,39,24213,0.0009362826992017736,0.0009511137488569428
2018,2nd Quintile,Often,0.00640650674482628,204,24213,0.0063872383580274306,0.006425775131625129
2018,2nd Quintile,Sometimes,0.03355153298173492,880,24213,0.033508044336625964,0.03359502162684387
2018,2nd Quintile,Seldom,0.05547752872470294,1582,24213,0.05542224528668914,0.055532812162716744
2018,2nd Quintile,Never,0.09748567513875223,2529,24213,0.09741403972124164,0.09755731055626281
2018,3rd Quintile,Often,0.007580010675618973,163,24213,0.007559064101496204,0.007600957249741742
2018,3rd Quintile,Sometimes,0.030948481155013644,744,24213,0.03090665735916451,0.030990304950862777
2018,3rd Quintile,Seldom,0.06628001283559865,1587,24213,0.06621993283030621,0.06634009284089108
2018,3rd Quintile,Never,0.09732750664730457,2217,24213,0.09725592309507902,0.09739909019953011
2018,4th Quintile,Often,0.009402321691829783,180,24213,0.0093790141459078,0.009425629237751766
2018,4th Quintile,Sometimes,0.035176490062831384,732,24213,0.03513199820581461,0.035220981919848154
2018,4th Quintile,Seldom,0.07761968094184901,1702,24213,0.07755506029765255,0.07768430158604547
2018,4th Quintile,Never,0.08822567987078782,1960,24213,0.08815718287445533,0.08829417686712031
2018,5th Quintile,Often,0.008219314008390717,176,24213,0.008197509015363872,0.008241119001417562
2018,5th Quintile,Sometimes,0.04014937630867161,868,24213,0.040101966132409135,0.040196786484934084
2018,5th Quintile,Seldom,0.08131731589522845,1941,24213,0.08125130667149615,0.08138332511896075
2018,5th Quintile,Never,0.08741016813370354,2062,24213,0.08734195796350364,0.08747837830390345
