,Unnamed: 0,year,migback,quintil_oecd,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
132,132,2013,Direct migration background,5th Quintile,Seldom,0.39135,109,25157,0.29421,0.48067
133,133,2013,Direct migration background,5th Quintile,Never,0.41382,146,25157,0.3372,0.48951
134,134,2013,Indirect migration background,1st Quintile,Often,0.07808,32,25157,0.04102,0.13095
135,135,2013,Indirect migration background,1st Quintile,Sometimes,0.20485,64,25157,0.13043,0.31903
136,136,2013,Indirect migration background,1st Quintile,Seldom,0.38025,89,25157,0.26493,0.50956
137,137,2013,Indirect migration background,1st Quintile,Never,0.33682,124,25157,0.2516,0.41795
138,138,2013,Indirect migration background,2nd Quintile,Sometimes,0.26109,61,25157,0.15291,0.42034
139,139,2013,Indirect migration background,2nd Quintile,Seldom,0.37968,88,25157,0.27262,0.5047
140,140,2013,Indirect migration background,2nd Quintile,Never,0.35923,83,25157,0.25393,0.51203
141,141,2013,Indirect migration background,3rd Quintile,Sometimes,0.25421,39,25157,0.18063,0.35485
142,142,2013,Indirect migration background,3rd Quintile,Seldom,0.36328,72,25157,0.26594,0.48953
143,143,2013,Indirect migration background,3rd Quintile,Never,0.3825,71,25157,0.27789,0.47966
144,144,2013,Indirect migration background,4th Quintile,Sometimes,0.17937,36,25157,0.12893,0.23348
145,145,2013,Indirect migration background,4th Quintile,Seldom,0.44969,64,25157,0.31914,0.63308
146,146,2013,Indirect migration background,4th Quintile,Never,0.37094,55,25157,0.26599,0.50151
147,147,2013,Indirect migration background,5th Quintile,Sometimes,0.17134,36,25157,0.10148,0.24819
148,148,2013,Indirect migration background,5th Quintile,Seldom,0.46131,79,25157,0.36902,0.55602
149,149,2013,Indirect migration background,5th Quintile,Never,0.36735,64,25157,0.26512,0.46686
150,150,2018,No migration background,1st Quintile,Often,0.04754,117,24000,0.03975,0.05669
151,151,2018,No migration background,1st Quintile,Sometimes,0.17013,488,24000,0.15397,0.19001
152,152,2018,No migration background,1st Quintile,Seldom,0.27595,797,24000,0.2539,0.30243
153,153,2018,No migration background,1st Quintile,Never,0.50638,1358,24000,0.4813,0.53427
154,154,2018,No migration background,2nd Quintile,Often,0.02403,107,24000,0.01993,0.02844
155,155,2018,No migration background,2nd Quintile,Sometimes,0.14435,546,24000,0.1335,0.16238
156,156,2018,No migration background,2nd Quintile,Seldom,0.29537,1152,24000,0.27907,0.31704
157,157,2018,No migration background,2nd Quintile,Never,0.53625,1910,24000,0.51087,0.55988
158,158,2018,No migration background,3rd Quintile,Often,0.02176,93,24000,0.01762,0.02727
159,159,2018,No migration background,3rd Quintile,Sometimes,0.1319,520,24000,0.12061,0.14373
160,160,2018,No migration background,3rd Quintile,Seldom,0.32755,1252,24000,0.30794,0.3475
161,161,2018,No migration background,3rd Quintile,Never,0.5188,1871,24000,0.49354,0.54237
162,162,2018,No migration background,4th Quintile,Often,0.03868,125,24000,0.0314,0.04623
163,163,2018,No migration background,4th Quintile,Sometimes,0.15412,570,24000,0.14019,0.16589
164,164,2018,No migration background,4th Quintile,Seldom,0.37696,1451,24000,0.3523,0.39602
165,165,2018,No migration background,4th Quintile,Never,0.43024,1729,24000,0.41198,0.4504
166,166,2018,No migration background,5th Quintile,Often,0.03359,147,24000,0.02699,0.04134
167,167,2018,No migration background,5th Quintile,Sometimes,0.17956,739,24000,0.16553,0.19465
168,168,2018,No migration background,5th Quintile,Seldom,0.38057,1708,24000,0.36383,0.4024
169,169,2018,No migration background,5th Quintile,Never,0.40628,1838,24000,0.38845,0.4241
170,170,2018,Direct migration background,1st Quintile,Often,0.04621,75,24000,0.03403,0.0641
171,171,2018,Direct migration background,1st Quintile,Sometimes,0.16,258,24000,0.13516,0.18114
172,172,2018,Direct migration background,1st Quintile,Seldom,0.24988,338,24000,0.20749,0.29485
173,173,2018,Direct migration background,1st Quintile,Never,0.5439,729,24000,0.48806,0.60573
174,174,2018,Direct migration background,2nd Quintile,Often,0.0395,58,24000,0.0271,0.05491
175,175,2018,Direct migration background,2nd Quintile,Sometimes,0.25555,219,24000,0.20089,0.31852
176,176,2018,Direct migration background,2nd Quintile,Seldom,0.26027,313,24000,0.2161,0.30893
177,177,2018,Direct migration background,2nd Quintile,Never,0.44468,505,24000,0.39245,0.49381
178,178,2018,Direct migration background,3rd Quintile,Often,0.10498,47,24000,0.0723,0.14033
179,179,2018,Direct migration background,3rd Quintile,Sometimes,0.19339,135,24000,0.15221,0.24801
180,180,2018,Direct migration background,3rd Quintile,Seldom,0.34052,249,24000,0.28144,0.40253
181,181,2018,Direct migration background,3rd Quintile,Never,0.36111,263,24000,0.31046,0.40636
182,182,2018,Direct migration background,4th Quintile,Sometimes,0.19992,109,24000,0.15519,0.24465
183,183,2018,Direct migration background,4th Quintile,Seldom,0.35023,181,24000,0.3003,0.41859
184,184,2018,Direct migration background,4th Quintile,Never,0.44986,185,24000,0.37397,0.55375
185,185,2018,Direct migration background,5th Quintile,Sometimes,0.23717,80,24000,0.18598,0.30213
186,186,2018,Direct migration background,5th Quintile,Seldom,0.35795,151,24000,0.28209,0.44828
187,187,2018,Direct migration background,5th Quintile,Never,0.40488,152,24000,0.32683,0.50497
188,188,2018,Indirect migration background,1st Quintile,Often,0.15337,48,24000,0.10339,0.21937
189,189,2018,Indirect migration background,1st Quintile,Sometimes,0.29371,123,24000,0.23401,0.36121
190,190,2018,Indirect migration background,1st Quintile,Seldom,0.27882,122,24000,0.22032,0.34171
191,191,2018,Indirect migration background,1st Quintile,Never,0.2741,127,24000,0.22485,0.32935
192,192,2018,Indirect migration background,2nd Quintile,Often,0.11908,39,24000,0.07297,0.17598
193,193,2018,Indirect migration background,2nd Quintile,Sometimes,0.28533,115,24000,0.22612,0.33994
194,194,2018,Indirect migration background,2nd Quintile,Seldom,0.2736,117,24000,0.22311,0.32209
195,195,2018,Indirect migration background,2nd Quintile,Never,0.32199,114,24000,0.22464,0.41538
196,196,2018,Indirect migration background,3rd Quintile,Sometimes,0.39361,89,24000,0.3024,0.51355
197,197,2018,Indirect migration background,3rd Quintile,Seldom,0.33572,86,24000,0.25102,0.423
198,198,2018,Indirect migration background,3rd Quintile,Never,0.27068,83,24000,0.20974,0.32518
199,199,2018,Indirect migration background,4th Quintile,Sometimes,0.43254,53,24000,0.30104,0.58559
200,200,2018,Indirect migration background,4th Quintile,Seldom,0.35167,70,24000,0.26815,0.44178
201,201,2018,Indirect migration background,4th Quintile,Never,0.21579,46,24000,0.15497,0.27818
202,202,2018,Indirect migration background,5th Quintile,Sometimes,0.23978,49,24000,0.15234,0.32696
203,203,2018,Indirect migration background,5th Quintile,Seldom,0.35577,82,24000,0.25958,0.44311
204,204,2018,Indirect migration background,5th Quintile,Never,0.40445,72,24000,0.27936,0.57573
