year,quintil_oecd,regtyp,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,4th Quintile,Urban regions,Often,0.03263,79,2529,0.02570,0.03956
2008,4th Quintile,Urban regions,Sometimes,0.11836,311,2529,0.10576,0.13095
2008,4th Quintile,Urban regions,Seldom,0.35152,875,2529,0.33291,0.37014
2008,4th Quintile,Urban regions,Never,0.48914,1264,2529,0.46965,0.50863
2008,4th Quintile,Rural regions,Sometimes,0.10125,133,1287,0.08476,0.11774
2008,4th Quintile,Rural regions,Seldom,0.32141,413,1287,0.29588,0.34693
2008,4th Quintile,Rural regions,Never,0.55846,741,1287,0.53132,0.58560
2008,5th Quintile,Urban regions,Often,0.02754,98,3886,0.02239,0.03268
2008,5th Quintile,Urban regions,Sometimes,0.14459,531,3886,0.13354,0.15565
2008,5th Quintile,Urban regions,Seldom,0.35658,1395,3886,0.34152,0.37164
2008,5th Quintile,Urban regions,Never,0.46893,1862,3886,0.45324,0.48462
2008,5th Quintile,Rural regions,Sometimes,0.13618,160,1303,0.11755,0.15481
2008,5th Quintile,Rural regions,Seldom,0.32202,450,1303,0.29664,0.34740
2008,5th Quintile,Rural regions,Never,0.51971,693,1303,0.49257,0.54685
2013,1st Quintile,Urban regions,Often,0.03176,142,3027,0.02551,0.03801
2013,1st Quintile,Urban regions,Sometimes,0.13240,492,3027,0.12032,0.14448
2013,1st Quintile,Urban regions,Seldom,0.26329,823,3027,0.24760,0.27898
2013,1st Quintile,Urban regions,Never,0.56929,1570,3027,0.55165,0.58693
2013,1st Quintile,Rural regions,Often,0.02786,70,2019,0.02068,0.03504
2013,1st Quintile,Rural regions,Sometimes,0.12053,248,2019,0.10632,0.13473
2013,1st Quintile,Rural regions,Seldom,0.23365,505,2019,0.21519,0.25211
2013,1st Quintile,Rural regions,Never,0.61506,1196,2019,0.59383,0.63629
2013,2nd Quintile,Urban regions,Often,0.02357,96,3001,0.01814,0.02900
2013,2nd Quintile,Urban regions,Sometimes,0.12986,394,3001,0.11783,0.14189
2013,2nd Quintile,Urban regions,Seldom,0.28177,888,3001,0.26568,0.29787
2013,2nd Quintile,Urban regions,Never,0.56181,1623,3001,0.54406,0.57957
2013,2nd Quintile,Rural regions,Often,0.01974,50,2152,0.01386,0.02562
2013,2nd Quintile,Rural regions,Sometimes,0.08755,201,2152,0.07560,0.09949
2013,2nd Quintile,Rural regions,Seldom,0.27368,599,2152,0.25484,0.29252
2013,2nd Quintile,Rural regions,Never,0.61819,1302,2152,0.59765,0.63872
2013,3rd Quintile,Urban regions,Often,0.03652,95,2901,0.02969,0.04335
2013,3rd Quintile,Urban regions,Sometimes,0.11933,365,2901,0.10753,0.13112
2013,3rd Quintile,Urban regions,Seldom,0.30157,951,2901,0.28487,0.31828
2013,3rd Quintile,Urban regions,Never,0.53615,1490,2901,0.51800,0.55430
2013,3rd Quintile,Rural regions,Sometimes,0.09587,192,1898,0.08262,0.10912
2013,3rd Quintile,Rural regions,Seldom,0.28189,553,1898,0.26164,0.30213
2013,3rd Quintile,Rural regions,Never,0.60668,1153,1898,0.58469,0.62866
2013,4th Quintile,Urban regions,Often,0.03494,88,3046,0.02842,0.04146
2013,4th Quintile,Urban regions,Sometimes,0.13214,389,3046,0.12011,0.14417
2013,4th Quintile,Urban regions,Seldom,0.36302,1082,3046,0.34594,0.38010
2013,4th Quintile,Urban regions,Never,0.46696,1487,3046,0.44924,0.48468
2013,4th Quintile,Rural regions,Often,0.02157,35,1768,0.01480,0.02834
2013,4th Quintile,Rural regions,Sometimes,0.12297,192,1768,0.10766,0.13828
2013,4th Quintile,Rural regions,Seldom,0.33685,587,1768,0.31481,0.35889
2013,4th Quintile,Rural regions,Never,0.51849,954,1768,0.49519,0.54178
2013,5th Quintile,Urban regions,Often,0.02722,97,4083,0.02223,0.03221
2013,5th Quintile,Urban regions,Sometimes,0.13979,580,4083,0.12915,0.15042
2013,5th Quintile,Urban regions,Seldom,0.38116,1449,4083,0.36626,0.39606
2013,5th Quintile,Urban regions,Never,0.44961,1957,4083,0.43435,0.46488
2013,5th Quintile,Rural regions,Sometimes,0.11357,157,1339,0.09657,0.13057
2013,5th Quintile,Rural regions,Seldom,0.33655,474,1339,0.31123,0.36187
2013,5th Quintile,Rural regions,Never,0.53654,708,1339,0.50982,0.56326
2018,1st Quintile,Urban regions,Very often,0.01185,45,2926,0.00793,0.01577
2018,1st Quintile,Urban regions,Often,0.06266,173,2926,0.05388,0.07144
2018,1st Quintile,Urban regions,Sometimes,0.18843,606,2926,0.17426,0.20260
2018,1st Quintile,Urban regions,Seldom,0.26710,806,2926,0.25106,0.28313
2018,1st Quintile,Urban regions,Never,0.46997,1296,2926,0.45188,0.48806
2018,1st Quintile,Rural regions,Often,0.03663,66,1766,0.02787,0.04540
2018,1st Quintile,Rural regions,Sometimes,0.14929,274,1766,0.13267,0.16592
2018,1st Quintile,Rural regions,Seldom,0.25975,470,1766,0.23929,0.28021
2018,1st Quintile,Rural regions,Never,0.54676,956,1766,0.52353,0.56998
2018,2nd Quintile,Urban regions,Often,0.03706,151,3074,0.03038,0.04374
2018,2nd Quintile,Urban regions,Sometimes,0.18518,599,3074,0.17144,0.19891
2018,2nd Quintile,Urban regions,Seldom,0.30037,960,3074,0.28416,0.31657
2018,2nd Quintile,Urban regions,Never,0.47122,1364,3074,0.45357,0.48887
2018,2nd Quintile,Rural regions,Often,0.02442,53,1997,0.01765,0.03119
2018,2nd Quintile,Rural regions,Sometimes,0.14695,262,1997,0.13142,0.16249
2018,2nd Quintile,Rural regions,Seldom,0.27282,604,1997,0.25328,0.29236
2018,2nd Quintile,Rural regions,Never,0.55224,1078,1997,0.53043,0.57406
2018,3rd Quintile,Urban regions,Often,0.04498,116,2881,0.03741,0.05255
2018,3rd Quintile,Urban regions,Sometimes,0.15940,491,2881,0.14603,0.17277
2018,3rd Quintile,Urban regions,Seldom,0.33940,988,2881,0.32211,0.35669
2018,3rd Quintile,Urban regions,Never,0.45097,1286,2881,0.43279,0.46914
2018,3rd Quintile,Rural regions,Often,0.02391,35,1815,0.01688,0.03094
2018,3rd Quintile,Rural regions,Sometimes,0.13092,238,1815,0.11540,0.14645
2018,3rd Quintile,Rural regions,Seldom,0.31278,597,1815,0.29144,0.33412
2018,3rd Quintile,Rural regions,Never,0.52833,945,1815,0.50536,0.55130
2018,4th Quintile,Urban regions,Often,0.04192,134,3016,0.03477,0.04907
2018,4th Quintile,Urban regions,Sometimes,0.17708,530,3016,0.16345,0.19071
2018,4th Quintile,Urban regions,Seldom,0.35949,1130,3016,0.34236,0.37662
2018,4th Quintile,Urban regions,Never,0.41579,1222,3016,0.39820,0.43338
2018,4th Quintile,Rural regions,Often,0.03881,54,1650,0.02949,0.04813
2018,4th Quintile,Rural regions,Sometimes,0.14541,231,1650,0.12839,0.16242
2018,4th Quintile,Rural regions,Seldom,0.35807,579,1650,0.33493,0.38121
2018,4th Quintile,Rural regions,Never,0.45685,786,1650,0.43280,0.48089
2018,5th Quintile,Urban regions,Often,0.04433,148,3685,0.03768,0.05097
2018,5th Quintile,Urban regions,Sometimes,0.19648,670,3685,0.18365,0.20931
2018,5th Quintile,Urban regions,Seldom,0.37156,1400,3685,0.35595,0.38716
2018,5th Quintile,Urban regions,Never,0.38226,1467,3685,0.36657,0.39795
2018,5th Quintile,Rural regions,Often,0.02907,33,1342,0.02008,0.03807
2018,5th Quintile,Rural regions,Sometimes,0.14661,192,1342,0.12768,0.16554
2018,5th Quintile,Rural regions,Seldom,0.39091,535,1342,0.36479,0.41703
2018,5th Quintile,Rural regions,Never,0.42923,582,1342,0.40274,0.45572
