year,migback,sex,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2018,No migration background,female,Seldom,0.30622296953288364,3363,25479,0.30605001497964573,0.30639592408612154
2018,No migration background,female,Never,0.5150124336949041,5086,25479,0.5148249008600012,0.515199966529807
2018,Direct migration background,male,Very often,0.012928252280463931,33,25479,0.012828517505501855,0.013027987055426007
2018,Direct migration background,male,Often,0.0648115006450357,143,25479,0.06459414147883015,0.06502885981124125
2018,Direct migration background,male,Sometimes,0.22638381463461882,429,25479,0.22601433729944642,0.22675329196979122
2018,Direct migration background,male,Seldom,0.28266707002538155,605,25479,0.28226951217395707,0.28306462787680603
2018,Direct migration background,male,Never,0.4132093624145,808,25479,0.41277462300947015,0.4136441018195299
2018,Direct migration background,female,Often,0.06367509020000929,126,25479,0.06346876759676841,0.06388141280325017
2018,Direct migration background,female,Sometimes,0.17624685629166625,453,25479,0.17592489180721105,0.17656882077612146
2018,Direct migration background,female,Seldom,0.28641275538455047,695,25479,0.2860307509077352,0.2867947598613657
2018,Direct migration background,female,Never,0.47366529812377395,1204,25479,0.47324339229812185,0.47408720394942605
2018,Indirect migration background,male,Often,0.1393442524882559,79,25479,0.1388630021911939,0.1398255027853179
2018,Indirect migration background,male,Sometimes,0.3149777789757745,229,25479,0.31433226740442594,0.31562329054712307
2018,Indirect migration background,male,Seldom,0.25586241252304376,216,25479,0.25525603707282596,0.25646878797326156
2018,Indirect migration background,male,Never,0.2898155560129258,207,25479,0.28918509509809254,0.29044601692775907
2018,Indirect migration background,female,Often,0.09663919624688158,77,25479,0.09621684450816724,0.09706154798559592
2018,Indirect migration background,female,Sometimes,0.2921970568012208,228,25479,0.29154698532428014,0.2928471282781615
2018,Indirect migration background,female,Seldom,0.3272931365714545,284,25479,0.3266224055565954,0.3279638675863136
2018,Indirect migration background,female,Never,0.2838706103804431,276,25479,0.28322611030161765,0.2845151104592685
