year,age_gr,sex,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,66 and older,female,Seldom,0.16744,384,2211,0.15187,0.18301
2008,66 and older,female,Never,0.76087,1719,2211,0.74309,0.77866
2013,17-29 y.,male,Often,0.07156,193,1633,0.05905,0.08406
2013,17-29 y.,male,Sometimes,0.21401,480,1633,0.19411,0.23391
2013,17-29 y.,male,Seldom,0.27088,576,1633,0.24932,0.29245
2013,17-29 y.,male,Never,0.18920,384,1633,0.17019,0.20820
2013,17-29 y.,female,Often,0.05246,133,1888,0.04240,0.06252
2013,17-29 y.,female,Sometimes,0.19680,501,1888,0.17886,0.21474
2013,17-29 y.,female,Seldom,0.28685,687,1888,0.26644,0.30726
2013,17-29 y.,female,Never,0.20649,567,1888,0.18822,0.22475
2013,30-45 y.,male,Often,0.02570,103,3267,0.02027,0.03112
2013,30-45 y.,male,Sometimes,0.14202,506,3267,0.13005,0.15399
2013,30-45 y.,male,Seldom,0.33588,1239,3267,0.31968,0.35207
2013,30-45 y.,male,Never,0.32174,1419,3267,0.30572,0.33777
2013,30-45 y.,female,Often,0.01611,98,4671,0.01250,0.01972
2013,30-45 y.,female,Sometimes,0.10446,554,4671,0.09569,0.11324
2013,30-45 y.,female,Seldom,0.30684,1598,4671,0.29361,0.32007
2013,30-45 y.,female,Never,0.41022,2421,4671,0.39611,0.42433
2013,46-65 y.,male,Often,0.02058,85,4151,0.01626,0.02490
2013,46-65 y.,male,Sometimes,0.10258,440,4151,0.09335,0.11181
2013,46-65 y.,male,Seldom,0.31762,1370,4151,0.30345,0.33178
2013,46-65 y.,male,Never,0.49460,2256,4151,0.47939,0.50982
2013,46-65 y.,female,Often,0.01514,72,4780,0.01167,0.01860
2013,46-65 y.,female,Sometimes,0.08097,466,4780,0.07324,0.08871
2013,46-65 y.,female,Seldom,0.29751,1434,4780,0.28454,0.31047
2013,46-65 y.,female,Never,0.55247,2808,4780,0.53837,0.56657
2013,66 and older,male,Sometimes,0.05963,131,2359,0.05007,0.06919
2013,66 and older,male,Seldom,0.22116,554,2359,0.20441,0.23791
2013,66 and older,male,Never,0.69175,1674,2359,0.67311,0.71039
2013,66 and older,female,Sometimes,0.05430,133,2500,0.04541,0.06318
2013,66 and older,female,Seldom,0.18265,454,2500,0.16750,0.19780
2013,66 and older,female,Never,0.73297,1913,2500,0.71562,0.75031
2018,17-29 y.,male,Very often,0.01825,52,2097,0.01252,0.02399
2018,17-29 y.,male,Often,0.13107,281,2097,0.11662,0.14551
2018,17-29 y.,male,Sometimes,0.28722,696,2097,0.26785,0.30659
2018,17-29 y.,male,Seldom,0.28148,668,2097,0.26222,0.30073
2018,17-29 y.,male,Never,0.19103,400,2097,0.17420,0.20786
2018,17-29 y.,female,Very often,0.01214,40,2166,0.00753,0.01676
2018,17-29 y.,female,Often,0.10810,234,2166,0.09502,0.12118
2018,17-29 y.,female,Sometimes,0.27579,672,2166,0.25696,0.29461
2018,17-29 y.,female,Seldom,0.28936,688,2166,0.27025,0.30846
2018,17-29 y.,female,Never,0.22973,532,2166,0.21201,0.24745
2018,30-45 y.,male,Often,0.04695,134,2771,0.03907,0.05483
2018,30-45 y.,male,Sometimes,0.24505,600,2771,0.22903,0.26106
2018,30-45 y.,male,Seldom,0.39372,1074,2771,0.37553,0.41192
2018,30-45 y.,male,Never,0.29137,963,2771,0.27445,0.30829
2018,30-45 y.,female,Often,0.04196,142,3902,0.03567,0.04826
2018,30-45 y.,female,Sometimes,0.19490,713,3902,0.18247,0.20733
2018,30-45 y.,female,Seldom,0.37121,1442,3902,0.35605,0.38637
2018,30-45 y.,female,Never,0.37565,1605,3902,0.36045,0.39084
2018,46-65 y.,male,Often,0.02709,108,4415,0.02230,0.03188
2018,46-65 y.,male,Sometimes,0.14095,607,4415,0.13068,0.15121
2018,46-65 y.,male,Seldom,0.37033,1613,4415,0.35608,0.38457
2018,46-65 y.,male,Never,0.45040,2087,4415,0.43572,0.46508
2018,46-65 y.,female,Often,0.02181,112,5121,0.01780,0.02581
2018,46-65 y.,female,Sometimes,0.13976,691,5121,0.13026,0.14926
2018,46-65 y.,female,Seldom,0.32594,1671,5121,0.31310,0.33878
2018,46-65 y.,female,Never,0.50124,2647,5121,0.48754,0.51493
2018,66 and older,male,Often,0.00919,31,2428,0.00539,0.01299
2018,66 and older,male,Sometimes,0.08211,186,2428,0.07119,0.09303
2018,66 and older,male,Seldom,0.26725,653,2428,0.24964,0.28485
2018,66 and older,male,Never,0.62832,1558,2428,0.60909,0.64754
2018,66 and older,female,Sometimes,0.06810,171,2495,0.05821,0.07799
2018,66 and older,female,Seldom,0.20156,542,2495,0.18582,0.21731
2018,66 and older,female,Never,0.70553,1782,2495,0.68764,0.72342
