"pld0044","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Oft","2004","Realschule","kein Migrationshintergrund","","","",""
"Oft","2004","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2004","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","Realschule","kein Migrationshintergrund","","","",""
"Selten","2004","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","Realschule","kein Migrationshintergrund","","","",""
"Nie","2004","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2005","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","Realschule","kein Migrationshintergrund","","","",""
"Oft","2005","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2005","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","Realschule","kein Migrationshintergrund","","","",""
"Selten","2005","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","Realschule","kein Migrationshintergrund","","","",""
"Nie","2005","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2006","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","Realschule","kein Migrationshintergrund","","","",""
"Oft","2006","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
