"pld0044","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2004","17-34","Laendlicher Raum","","","",""
"Sehr oft","2004","35-65","Staedtischer Raum","","","",""
"Sehr oft","2004","35-65","Laendlicher Raum","","","",""
"Sehr oft","2004","66 +","Staedtischer Raum","","","",""
"Sehr oft","2004","66 +","Laendlicher Raum","","","",""
"Oft","2004","17-34","Staedtischer Raum","","","",""
"Oft","2004","17-34","Laendlicher Raum","","","",""
"Oft","2004","35-65","Staedtischer Raum","","","",""
"Oft","2004","35-65","Laendlicher Raum","","","",""
"Oft","2004","66 +","Staedtischer Raum","","","",""
"Oft","2004","66 +","Laendlicher Raum","","","",""
"Manchmal","2004","17-34","Staedtischer Raum","","","",""
"Manchmal","2004","17-34","Laendlicher Raum","","","",""
"Manchmal","2004","35-65","Staedtischer Raum","","","",""
"Manchmal","2004","35-65","Laendlicher Raum","","","",""
"Manchmal","2004","66 +","Staedtischer Raum","","","",""
"Manchmal","2004","66 +","Laendlicher Raum","","","",""
"Selten","2004","17-34","Staedtischer Raum","","","",""
"Selten","2004","17-34","Laendlicher Raum","","","",""
"Selten","2004","35-65","Staedtischer Raum","","","",""
"Selten","2004","35-65","Laendlicher Raum","","","",""
"Selten","2004","66 +","Staedtischer Raum","","","",""
"Selten","2004","66 +","Laendlicher Raum","","","",""
"Nie","2004","17-34","Staedtischer Raum","","","",""
"Nie","2004","17-34","Laendlicher Raum","","","",""
"Nie","2004","35-65","Staedtischer Raum","","","",""
"Nie","2004","35-65","Laendlicher Raum","","","",""
"Nie","2004","66 +","Staedtischer Raum","","","",""
"Nie","2004","66 +","Laendlicher Raum","","","",""
"Sehr oft","2005","17-34","Staedtischer Raum","","","",""
"Sehr oft","2005","17-34","Laendlicher Raum","","","",""
"Sehr oft","2005","35-65","Staedtischer Raum","","","",""
"Sehr oft","2005","35-65","Laendlicher Raum","","","",""
"Sehr oft","2005","66 +","Staedtischer Raum","","","",""
"Sehr oft","2005","66 +","Laendlicher Raum","","","",""
"Oft","2005","17-34","Staedtischer Raum","","","",""
"Oft","2005","17-34","Laendlicher Raum","","","",""
"Oft","2005","35-65","Staedtischer Raum","","","",""
"Oft","2005","35-65","Laendlicher Raum","","","",""
"Oft","2005","66 +","Staedtischer Raum","","","",""
"Oft","2005","66 +","Laendlicher Raum","","","",""
"Manchmal","2005","17-34","Staedtischer Raum","","","",""
"Manchmal","2005","17-34","Laendlicher Raum","","","",""
"Manchmal","2005","35-65","Staedtischer Raum","","","",""
"Manchmal","2005","35-65","Laendlicher Raum","","","",""
"Manchmal","2005","66 +","Staedtischer Raum","","","",""
"Manchmal","2005","66 +","Laendlicher Raum","","","",""
"Selten","2005","17-34","Staedtischer Raum","","","",""
"Selten","2005","17-34","Laendlicher Raum","","","",""
"Selten","2005","35-65","Staedtischer Raum","","","",""
"Selten","2005","35-65","Laendlicher Raum","","","",""
"Selten","2005","66 +","Staedtischer Raum","","","",""
"Selten","2005","66 +","Laendlicher Raum","","","",""
"Nie","2005","17-34","Staedtischer Raum","","","",""
"Nie","2005","17-34","Laendlicher Raum","","","",""
"Nie","2005","35-65","Staedtischer Raum","","","",""
"Nie","2005","35-65","Laendlicher Raum","","","",""
"Nie","2005","66 +","Staedtischer Raum","","","",""
"Nie","2005","66 +","Laendlicher Raum","","","",""
"Sehr oft","2006","17-34","Staedtischer Raum","","","",""
"Sehr oft","2006","17-34","Laendlicher Raum","","","",""
"Sehr oft","2006","35-65","Staedtischer Raum","","","",""
"Sehr oft","2006","35-65","Laendlicher Raum","","","",""
"Sehr oft","2006","66 +","Staedtischer Raum","","","",""
"Sehr oft","2006","66 +","Laendlicher Raum","","","",""
"Oft","2006","17-34","Staedtischer Raum","","","",""
"Oft","2006","17-34","Laendlicher Raum","","","",""
"Oft","2006","35-65","Staedtischer Raum","","","",""
"Oft","2006","35-65","Laendlicher Raum","","","",""
"Oft","2006","66 +","Staedtischer Raum","","","",""
"Oft","2006","66 +","Laendlicher Raum","","","",""
"Manchmal","2006","17-34","Staedtischer Raum","","","",""
"Manchmal","2006","17-34","Laendlicher Raum","","","",""
"Manchmal","2006","35-65","Staedtischer Raum","","","",""
"Manchmal","2006","35-65","Laendlicher Raum","","","",""
"Manchmal","2006","66 +","Staedtischer Raum","","","",""
"Manchmal","2006","66 +","Laendlicher Raum","","","",""
"Selten","2006","17-34","Staedtischer Raum","","","",""
"Selten","2006","17-34","Laendlicher Raum","","","",""
"Selten","2006","35-65","Staedtischer Raum","","","",""
"Selten","2006","35-65","Laendlicher Raum","","","",""
"Selten","2006","66 +","Staedtischer Raum","","","",""
"Selten","2006","66 +","Laendlicher Raum","","","",""
"Nie","2006","17-34","Staedtischer Raum","","","",""
"Nie","2006","17-34","Laendlicher Raum","","","",""
"Nie","2006","35-65","Staedtischer Raum","","","",""
"Nie","2006","35-65","Laendlicher Raum","","","",""
"Nie","2006","66 +","Staedtischer Raum","","","",""
"Nie","2006","66 +","Laendlicher Raum","","","",""
"Sehr oft","2007","17-34","Staedtischer Raum","","","",""
"Sehr oft","2007","17-34","Laendlicher Raum","","","",""
"Sehr oft","2007","35-65","Staedtischer Raum","","","",""
"Sehr oft","2007","35-65","Laendlicher Raum","","","",""
"Sehr oft","2007","66 +","Staedtischer Raum","","","",""
"Sehr oft","2007","66 +","Laendlicher Raum","","","",""
"Oft","2007","17-34","Staedtischer Raum","","","",""
"Oft","2007","17-34","Laendlicher Raum","","","",""
"Oft","2007","35-65","Staedtischer Raum","","","",""
"Oft","2007","35-65","Laendlicher Raum","","","",""
"Oft","2007","66 +","Staedtischer Raum","","","",""
"Oft","2007","66 +","Laendlicher Raum","","","",""
"Manchmal","2007","17-34","Staedtischer Raum","","","",""
"Manchmal","2007","17-34","Laendlicher Raum","","","",""
"Manchmal","2007","35-65","Staedtischer Raum","","","",""
"Manchmal","2007","35-65","Laendlicher Raum","","","",""
"Manchmal","2007","66 +","Staedtischer Raum","","","",""
"Manchmal","2007","66 +","Laendlicher Raum","","","",""
"Selten","2007","17-34","Staedtischer Raum","","","",""
"Selten","2007","17-34","Laendlicher Raum","","","",""
"Selten","2007","35-65","Staedtischer Raum","","","",""
"Selten","2007","35-65","Laendlicher Raum","","","",""
"Selten","2007","66 +","Staedtischer Raum","","","",""
"Selten","2007","66 +","Laendlicher Raum","","","",""
"Nie","2007","17-34","Staedtischer Raum","","","",""
"Nie","2007","17-34","Laendlicher Raum","","","",""
"Nie","2007","35-65","Staedtischer Raum","","","",""
"Nie","2007","35-65","Laendlicher Raum","","","",""
"Nie","2007","66 +","Staedtischer Raum","","","",""
"Nie","2007","66 +","Laendlicher Raum","","","",""
"Sehr oft","2008","17-34","Staedtischer Raum","40","0.0130987179430738","0.00893178677777802","0.0172656491083697"
"Sehr oft","2008","17-34","Laendlicher Raum","","","",""
"Sehr oft","2008","35-65","Staedtischer Raum","","","",""
"Sehr oft","2008","35-65","Laendlicher Raum","","","",""
"Sehr oft","2008","66 +","Staedtischer Raum","","","",""
"Sehr oft","2008","66 +","Laendlicher Raum","","","",""
"Oft","2008","17-34","Staedtischer Raum","216","0.0803194336399579","0.0703586410286355","0.0902802262512803"
"Oft","2008","17-34","Laendlicher Raum","83","0.0617903600008238","0.0495070554308898","0.0740736645707578"
"Oft","2008","35-65","Staedtischer Raum","107","0.0187417140284365","0.0155463322987582","0.0219370957581148"
"Oft","2008","35-65","Laendlicher Raum","","","",""
"Oft","2008","66 +","Staedtischer Raum","","","",""
"Oft","2008","66 +","Laendlicher Raum","","","",""
"Manchmal","2008","17-34","Staedtischer Raum","700","0.244171345316282","0.228427018402614","0.25991567222995"
"Manchmal","2008","17-34","Laendlicher Raum","277","0.193519003131184","0.173364885424791","0.213673120837578"
"Manchmal","2008","35-65","Staedtischer Raum","783","0.117769706534917","0.110174594136775","0.125364818933059"
"Manchmal","2008","35-65","Laendlicher Raum","313","0.094094993485953","0.0846671390514194","0.103522847920487"
"Manchmal","2008","66 +","Staedtischer Raum","145","0.0547114593053076","0.0462333225495189","0.0631895960610962"
"Manchmal","2008","66 +","Laendlicher Raum","68","0.0423543771547079","0.0320730089431386","0.0526357453662773"
"Selten","2008","17-34","Staedtischer Raum","1116","0.390087147590184","0.372210758950087","0.407963536230282"
"Selten","2008","17-34","Laendlicher Raum","561","0.381332232277931","0.356553138733582","0.406111325822281"
"Selten","2008","35-65","Staedtischer Raum","2354","0.336340321838025","0.325207926789582","0.347472716886468"
"Selten","2008","35-65","Laendlicher Raum","1137","0.305499789510562","0.290625715819921","0.320373863201204"
"Selten","2008","66 +","Staedtischer Raum","593","0.206559133863228","0.191466725204899","0.221651542521558"
"Selten","2008","66 +","Laendlicher Raum","276","0.18995062040693","0.169925485327075","0.209975755486785"
"Nie","2008","17-34","Staedtischer Raum","788","0.272323355510502","0.256008743975093","0.28863796704591"
"Nie","2008","17-34","Laendlicher Raum","536","0.347847360868142","0.323549172380098","0.372145549356187"
"Nie","2008","35-65","Staedtischer Raum","3653","0.52350341222528","0.511735048529502","0.535271775921059"
"Nie","2008","35-65","Laendlicher Raum","2206","0.590744105544811","0.574866483841511","0.606621727248111"
"Nie","2008","66 +","Staedtischer Raum","2004","0.730596187781739","0.714056791954841","0.747135583608638"
"Nie","2008","66 +","Laendlicher Raum","1122","0.761147947943442","0.739380957926094","0.782914937960791"
"Sehr oft","2009","17-34","Staedtischer Raum","","","",""
"Sehr oft","2009","17-34","Laendlicher Raum","","","",""
"Sehr oft","2009","35-65","Staedtischer Raum","","","",""
"Sehr oft","2009","35-65","Laendlicher Raum","","","",""
"Sehr oft","2009","66 +","Staedtischer Raum","","","",""
"Sehr oft","2009","66 +","Laendlicher Raum","","","",""
"Oft","2009","17-34","Staedtischer Raum","","","",""
"Oft","2009","17-34","Laendlicher Raum","","","",""
"Oft","2009","35-65","Staedtischer Raum","","","",""
"Oft","2009","35-65","Laendlicher Raum","","","",""
"Oft","2009","66 +","Staedtischer Raum","","","",""
"Oft","2009","66 +","Laendlicher Raum","","","",""
"Manchmal","2009","17-34","Staedtischer Raum","","","",""
"Manchmal","2009","17-34","Laendlicher Raum","","","",""
"Manchmal","2009","35-65","Staedtischer Raum","","","",""
"Manchmal","2009","35-65","Laendlicher Raum","","","",""
"Manchmal","2009","66 +","Staedtischer Raum","","","",""
"Manchmal","2009","66 +","Laendlicher Raum","","","",""
"Selten","2009","17-34","Staedtischer Raum","","","",""
"Selten","2009","17-34","Laendlicher Raum","","","",""
"Selten","2009","35-65","Staedtischer Raum","","","",""
"Selten","2009","35-65","Laendlicher Raum","","","",""
"Selten","2009","66 +","Staedtischer Raum","","","",""
"Selten","2009","66 +","Laendlicher Raum","","","",""
"Nie","2009","17-34","Staedtischer Raum","","","",""
"Nie","2009","17-34","Laendlicher Raum","","","",""
"Nie","2009","35-65","Staedtischer Raum","","","",""
"Nie","2009","35-65","Laendlicher Raum","","","",""
"Nie","2009","66 +","Staedtischer Raum","","","",""
"Nie","2009","66 +","Laendlicher Raum","","","",""
"Sehr oft","2010","17-34","Staedtischer Raum","","","",""
"Sehr oft","2010","17-34","Laendlicher Raum","","","",""
"Sehr oft","2010","35-65","Staedtischer Raum","","","",""
"Sehr oft","2010","35-65","Laendlicher Raum","","","",""
"Sehr oft","2010","66 +","Staedtischer Raum","","","",""
"Sehr oft","2010","66 +","Laendlicher Raum","","","",""
"Oft","2010","17-34","Staedtischer Raum","","","",""
"Oft","2010","17-34","Laendlicher Raum","","","",""
"Oft","2010","35-65","Staedtischer Raum","","","",""
"Oft","2010","35-65","Laendlicher Raum","","","",""
"Oft","2010","66 +","Staedtischer Raum","","","",""
"Oft","2010","66 +","Laendlicher Raum","","","",""
"Manchmal","2010","17-34","Staedtischer Raum","","","",""
"Manchmal","2010","17-34","Laendlicher Raum","","","",""
"Manchmal","2010","35-65","Staedtischer Raum","","","",""
"Manchmal","2010","35-65","Laendlicher Raum","","","",""
"Manchmal","2010","66 +","Staedtischer Raum","","","",""
"Manchmal","2010","66 +","Laendlicher Raum","","","",""
"Selten","2010","17-34","Staedtischer Raum","","","",""
"Selten","2010","17-34","Laendlicher Raum","","","",""
"Selten","2010","35-65","Staedtischer Raum","","","",""
"Selten","2010","35-65","Laendlicher Raum","","","",""
"Selten","2010","66 +","Staedtischer Raum","","","",""
"Selten","2010","66 +","Laendlicher Raum","","","",""
"Nie","2010","17-34","Staedtischer Raum","","","",""
"Nie","2010","17-34","Laendlicher Raum","","","",""
"Nie","2010","35-65","Staedtischer Raum","","","",""
"Nie","2010","35-65","Laendlicher Raum","","","",""
"Nie","2010","66 +","Staedtischer Raum","","","",""
"Nie","2010","66 +","Laendlicher Raum","","","",""
"Sehr oft","2011","17-34","Staedtischer Raum","","","",""
"Sehr oft","2011","17-34","Laendlicher Raum","","","",""
"Sehr oft","2011","35-65","Staedtischer Raum","","","",""
"Sehr oft","2011","35-65","Laendlicher Raum","","","",""
"Sehr oft","2011","66 +","Staedtischer Raum","","","",""
"Sehr oft","2011","66 +","Laendlicher Raum","","","",""
"Oft","2011","17-34","Staedtischer Raum","","","",""
"Oft","2011","17-34","Laendlicher Raum","","","",""
"Oft","2011","35-65","Staedtischer Raum","","","",""
"Oft","2011","35-65","Laendlicher Raum","","","",""
"Oft","2011","66 +","Staedtischer Raum","","","",""
"Oft","2011","66 +","Laendlicher Raum","","","",""
"Manchmal","2011","17-34","Staedtischer Raum","","","",""
"Manchmal","2011","17-34","Laendlicher Raum","","","",""
"Manchmal","2011","35-65","Staedtischer Raum","","","",""
"Manchmal","2011","35-65","Laendlicher Raum","","","",""
"Manchmal","2011","66 +","Staedtischer Raum","","","",""
"Manchmal","2011","66 +","Laendlicher Raum","","","",""
"Selten","2011","17-34","Staedtischer Raum","","","",""
"Selten","2011","17-34","Laendlicher Raum","","","",""
"Selten","2011","35-65","Staedtischer Raum","","","",""
"Selten","2011","35-65","Laendlicher Raum","","","",""
"Selten","2011","66 +","Staedtischer Raum","","","",""
"Selten","2011","66 +","Laendlicher Raum","","","",""
"Nie","2011","17-34","Staedtischer Raum","","","",""
"Nie","2011","17-34","Laendlicher Raum","","","",""
"Nie","2011","35-65","Staedtischer Raum","","","",""
"Nie","2011","35-65","Laendlicher Raum","","","",""
"Nie","2011","66 +","Staedtischer Raum","","","",""
"Nie","2011","66 +","Laendlicher Raum","","","",""
"Sehr oft","2012","17-34","Staedtischer Raum","","","",""
"Sehr oft","2012","17-34","Laendlicher Raum","","","",""
"Sehr oft","2012","35-65","Staedtischer Raum","","","",""
"Sehr oft","2012","35-65","Laendlicher Raum","","","",""
"Sehr oft","2012","66 +","Staedtischer Raum","","","",""
"Sehr oft","2012","66 +","Laendlicher Raum","","","",""
"Oft","2012","17-34","Staedtischer Raum","","","",""
"Oft","2012","17-34","Laendlicher Raum","","","",""
"Oft","2012","35-65","Staedtischer Raum","","","",""
"Oft","2012","35-65","Laendlicher Raum","","","",""
"Oft","2012","66 +","Staedtischer Raum","","","",""
"Oft","2012","66 +","Laendlicher Raum","","","",""
"Manchmal","2012","17-34","Staedtischer Raum","","","",""
"Manchmal","2012","17-34","Laendlicher Raum","","","",""
"Manchmal","2012","35-65","Staedtischer Raum","","","",""
"Manchmal","2012","35-65","Laendlicher Raum","","","",""
"Manchmal","2012","66 +","Staedtischer Raum","","","",""
"Manchmal","2012","66 +","Laendlicher Raum","","","",""
"Selten","2012","17-34","Staedtischer Raum","","","",""
"Selten","2012","17-34","Laendlicher Raum","","","",""
"Selten","2012","35-65","Staedtischer Raum","","","",""
"Selten","2012","35-65","Laendlicher Raum","","","",""
"Selten","2012","66 +","Staedtischer Raum","","","",""
"Selten","2012","66 +","Laendlicher Raum","","","",""
"Nie","2012","17-34","Staedtischer Raum","","","",""
"Nie","2012","17-34","Laendlicher Raum","","","",""
"Nie","2012","35-65","Staedtischer Raum","","","",""
"Nie","2012","35-65","Laendlicher Raum","","","",""
"Nie","2012","66 +","Staedtischer Raum","","","",""
"Nie","2012","66 +","Laendlicher Raum","","","",""
"Sehr oft","2013","17-34","Staedtischer Raum","32","0.00682630615987757","0.00415180225237948","0.00950081006737566"
"Sehr oft","2013","17-34","Laendlicher Raum","","","",""
"Sehr oft","2013","35-65","Staedtischer Raum","32","0.00251874005765719","0.00149948170009359","0.00353799841522079"
"Sehr oft","2013","35-65","Laendlicher Raum","","","",""
"Sehr oft","2013","66 +","Staedtischer Raum","","","",""
"Sehr oft","2013","66 +","Laendlicher Raum","","","",""
"Oft","2013","17-34","Staedtischer Raum","284","0.0791590335913908","0.0703894229990923","0.0879286441836893"
"Oft","2013","17-34","Laendlicher Raum","117","0.0554619149382983","0.0453239936622351","0.0655998362143614"
"Oft","2013","35-65","Staedtischer Raum","205","0.0210383724216818","0.0181200777786862","0.0239566670646774"
"Oft","2013","35-65","Laendlicher Raum","78","0.0124208435739922","0.00951746484390719","0.0153242223040771"
"Oft","2013","66 +","Staedtischer Raum","","","",""
"Oft","2013","66 +","Laendlicher Raum","","","",""
"Manchmal","2013","17-34","Staedtischer Raum","888","0.247514314913228","0.233496283351545","0.261532346474911"
"Manchmal","2013","17-34","Laendlicher Raum","425","0.237953182222919","0.219091590809331","0.256814773636507"
"Manchmal","2013","35-65","Staedtischer Raum","1143","0.122149944754203","0.115491128333022","0.128808761175384"
"Manchmal","2013","35-65","Laendlicher Raum","491","0.0862700705707374","0.0789100133799188","0.0936301277615559"
"Manchmal","2013","66 +","Staedtischer Raum","183","0.0592099528314649","0.0509573923599877","0.067462513302942"
"Manchmal","2013","66 +","Laendlicher Raum","81","0.0543229473449045","0.0437369568203665","0.0649089378694426"
"Selten","2013","17-34","Staedtischer Raum","1345","0.395948901873665","0.380063647924344","0.411834155822987"
"Selten","2013","17-34","Laendlicher Raum","686","0.362286443756896","0.340996200986471","0.383576686527321"
"Selten","2013","35-65","Staedtischer Raum","3137","0.353519456615187","0.343798150387212","0.363240762843162"
"Selten","2013","35-65","Laendlicher Raum","1736","0.316079102186938","0.303890805543361","0.328267398830516"
"Selten","2013","66 +","Staedtischer Raum","683","0.212451901786506","0.198149339236653","0.22675446433636"
"Selten","2013","66 +","Laendlicher Raum","325","0.185425140511967","0.167273402171441","0.203576878852492"
"Nie","2013","17-34","Staedtischer Raum","1092","0.270551443461838","0.256121653359292","0.284981233564384"
"Nie","2013","17-34","Laendlicher Raum","717","0.341164062428566","0.320164413891316","0.362163710965816"
"Nie","2013","35-65","Staedtischer Raum","4773","0.500773486151271","0.490606090621849","0.510940881680693"
"Nie","2013","35-65","Laendlicher Raum","3273","0.583916391242903","0.570995043213641","0.596837739272165"
"Nie","2013","66 +","Staedtischer Raum","2242","0.716029286473651","0.70026235536875","0.731796217578553"
"Nie","2013","66 +","Laendlicher Raum","1345","0.752415766485783","0.732257236958534","0.772574296013032"
"Sehr oft","2014","17-34","Staedtischer Raum","","","",""
"Sehr oft","2014","17-34","Laendlicher Raum","","","",""
"Sehr oft","2014","35-65","Staedtischer Raum","","","",""
"Sehr oft","2014","35-65","Laendlicher Raum","","","",""
"Sehr oft","2014","66 +","Staedtischer Raum","","","",""
"Sehr oft","2014","66 +","Laendlicher Raum","","","",""
"Oft","2014","17-34","Staedtischer Raum","","","",""
"Oft","2014","17-34","Laendlicher Raum","","","",""
"Oft","2014","35-65","Staedtischer Raum","","","",""
"Oft","2014","35-65","Laendlicher Raum","","","",""
"Oft","2014","66 +","Staedtischer Raum","","","",""
"Oft","2014","66 +","Laendlicher Raum","","","",""
"Manchmal","2014","17-34","Staedtischer Raum","","","",""
"Manchmal","2014","17-34","Laendlicher Raum","","","",""
"Manchmal","2014","35-65","Staedtischer Raum","","","",""
"Manchmal","2014","35-65","Laendlicher Raum","","","",""
"Manchmal","2014","66 +","Staedtischer Raum","","","",""
"Manchmal","2014","66 +","Laendlicher Raum","","","",""
"Selten","2014","17-34","Staedtischer Raum","","","",""
"Selten","2014","17-34","Laendlicher Raum","","","",""
"Selten","2014","35-65","Staedtischer Raum","","","",""
"Selten","2014","35-65","Laendlicher Raum","","","",""
"Selten","2014","66 +","Staedtischer Raum","","","",""
"Selten","2014","66 +","Laendlicher Raum","","","",""
"Nie","2014","17-34","Staedtischer Raum","","","",""
"Nie","2014","17-34","Laendlicher Raum","","","",""
"Nie","2014","35-65","Staedtischer Raum","","","",""
"Nie","2014","35-65","Laendlicher Raum","","","",""
"Nie","2014","66 +","Staedtischer Raum","","","",""
"Nie","2014","66 +","Laendlicher Raum","","","",""
"Sehr oft","2015","17-34","Staedtischer Raum","","","",""
"Sehr oft","2015","17-34","Laendlicher Raum","","","",""
"Sehr oft","2015","35-65","Staedtischer Raum","","","",""
"Sehr oft","2015","35-65","Laendlicher Raum","","","",""
"Sehr oft","2015","66 +","Staedtischer Raum","","","",""
"Sehr oft","2015","66 +","Laendlicher Raum","","","",""
"Oft","2015","17-34","Staedtischer Raum","","","",""
"Oft","2015","17-34","Laendlicher Raum","","","",""
"Oft","2015","35-65","Staedtischer Raum","","","",""
"Oft","2015","35-65","Laendlicher Raum","","","",""
"Oft","2015","66 +","Staedtischer Raum","","","",""
"Oft","2015","66 +","Laendlicher Raum","","","",""
"Manchmal","2015","17-34","Staedtischer Raum","","","",""
"Manchmal","2015","17-34","Laendlicher Raum","","","",""
"Manchmal","2015","35-65","Staedtischer Raum","","","",""
"Manchmal","2015","35-65","Laendlicher Raum","","","",""
"Manchmal","2015","66 +","Staedtischer Raum","","","",""
"Manchmal","2015","66 +","Laendlicher Raum","","","",""
"Selten","2015","17-34","Staedtischer Raum","","","",""
"Selten","2015","17-34","Laendlicher Raum","","","",""
"Selten","2015","35-65","Staedtischer Raum","","","",""
"Selten","2015","35-65","Laendlicher Raum","","","",""
"Selten","2015","66 +","Staedtischer Raum","","","",""
"Selten","2015","66 +","Laendlicher Raum","","","",""
"Nie","2015","17-34","Staedtischer Raum","","","",""
"Nie","2015","17-34","Laendlicher Raum","","","",""
"Nie","2015","35-65","Staedtischer Raum","","","",""
"Nie","2015","35-65","Laendlicher Raum","","","",""
"Nie","2015","66 +","Staedtischer Raum","","","",""
"Nie","2015","66 +","Laendlicher Raum","","","",""
"Sehr oft","2016","17-34","Staedtischer Raum","","","",""
"Sehr oft","2016","17-34","Laendlicher Raum","","","",""
"Sehr oft","2016","35-65","Staedtischer Raum","","","",""
"Sehr oft","2016","35-65","Laendlicher Raum","","","",""
"Sehr oft","2016","66 +","Staedtischer Raum","","","",""
"Sehr oft","2016","66 +","Laendlicher Raum","","","",""
"Oft","2016","17-34","Staedtischer Raum","","","",""
"Oft","2016","17-34","Laendlicher Raum","","","",""
"Oft","2016","35-65","Staedtischer Raum","","","",""
"Oft","2016","35-65","Laendlicher Raum","","","",""
"Oft","2016","66 +","Staedtischer Raum","","","",""
"Oft","2016","66 +","Laendlicher Raum","","","",""
"Manchmal","2016","17-34","Staedtischer Raum","","","",""
"Manchmal","2016","17-34","Laendlicher Raum","","","",""
"Manchmal","2016","35-65","Staedtischer Raum","","","",""
"Manchmal","2016","35-65","Laendlicher Raum","","","",""
"Manchmal","2016","66 +","Staedtischer Raum","","","",""
"Manchmal","2016","66 +","Laendlicher Raum","","","",""
"Selten","2016","17-34","Staedtischer Raum","","","",""
"Selten","2016","17-34","Laendlicher Raum","","","",""
"Selten","2016","35-65","Staedtischer Raum","","","",""
"Selten","2016","35-65","Laendlicher Raum","","","",""
"Selten","2016","66 +","Staedtischer Raum","","","",""
"Selten","2016","66 +","Laendlicher Raum","","","",""
"Nie","2016","17-34","Staedtischer Raum","","","",""
"Nie","2016","17-34","Laendlicher Raum","","","",""
"Nie","2016","35-65","Staedtischer Raum","","","",""
"Nie","2016","35-65","Laendlicher Raum","","","",""
"Nie","2016","66 +","Staedtischer Raum","","","",""
"Nie","2016","66 +","Laendlicher Raum","","","",""
"Sehr oft","2017","17-34","Staedtischer Raum","","","",""
"Sehr oft","2017","17-34","Laendlicher Raum","","","",""
"Sehr oft","2017","35-65","Staedtischer Raum","","","",""
"Sehr oft","2017","35-65","Laendlicher Raum","","","",""
"Sehr oft","2017","66 +","Staedtischer Raum","","","",""
"Sehr oft","2017","66 +","Laendlicher Raum","","","",""
"Oft","2017","17-34","Staedtischer Raum","","","",""
"Oft","2017","17-34","Laendlicher Raum","","","",""
"Oft","2017","35-65","Staedtischer Raum","","","",""
"Oft","2017","35-65","Laendlicher Raum","","","",""
"Oft","2017","66 +","Staedtischer Raum","","","",""
"Oft","2017","66 +","Laendlicher Raum","","","",""
"Manchmal","2017","17-34","Staedtischer Raum","","","",""
"Manchmal","2017","17-34","Laendlicher Raum","","","",""
"Manchmal","2017","35-65","Staedtischer Raum","","","",""
"Manchmal","2017","35-65","Laendlicher Raum","","","",""
"Manchmal","2017","66 +","Staedtischer Raum","","","",""
"Manchmal","2017","66 +","Laendlicher Raum","","","",""
"Selten","2017","17-34","Staedtischer Raum","","","",""
