year,quintil_oecd,sex,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,5th Quintile,male,Sometimes,0.13657,479,3195,0.12466,0.14848
2003,5th Quintile,male,Seldom,0.33603,1193,3195,0.31964,0.35241
2003,5th Quintile,male,Never,0.39166,1422,3195,0.37473,0.40859
2003,5th Quintile,female,Often,0.02107,94,3082,0.01600,0.02615
2003,5th Quintile,female,Sometimes,0.11879,416,3082,0.10736,0.13021
2003,5th Quintile,female,Seldom,0.29077,1085,3082,0.27474,0.30681
2003,5th Quintile,female,Never,0.45282,1487,3082,0.43525,0.47040
2008,1st Quintile,male,Often,0.02607,35,1219,0.01712,0.03502
2008,1st Quintile,male,Sometimes,0.10804,173,1219,0.09061,0.12548
2008,1st Quintile,male,Seldom,0.19795,308,1219,0.17557,0.22033
2008,1st Quintile,male,Never,0.41692,703,1219,0.38923,0.44461
2008,1st Quintile,female,Often,0.02986,52,1703,0.02177,0.03794
2008,1st Quintile,female,Sometimes,0.09448,205,1703,0.08058,0.10837
2008,1st Quintile,female,Seldom,0.20208,424,1703,0.18300,0.22116
2008,1st Quintile,female,Never,0.47876,1022,1703,0.45502,0.50249
2008,2nd Quintile,male,Often,0.01900,37,1515,0.01212,0.02587
2008,2nd Quintile,male,Sometimes,0.09667,172,1515,0.08178,0.11155
2008,2nd Quintile,male,Seldom,0.24455,476,1515,0.22290,0.26620
2008,2nd Quintile,male,Never,0.41196,830,1515,0.38716,0.43675
2008,2nd Quintile,female,Sometimes,0.09273,171,1790,0.07929,0.10617
2008,2nd Quintile,female,Seldom,0.22283,507,1790,0.20354,0.24211
2008,2nd Quintile,female,Never,0.49831,1112,1790,0.47514,0.52148
2008,3rd Quintile,male,Often,0.02960,52,1821,0.02182,0.03739
2008,3rd Quintile,male,Sometimes,0.10620,204,1821,0.09204,0.12035
2008,3rd Quintile,male,Seldom,0.27456,608,1821,0.25405,0.29506
2008,3rd Quintile,male,Never,0.41482,957,1821,0.39219,0.43746
2008,3rd Quintile,female,Sometimes,0.09309,226,1931,0.08012,0.10605
2008,3rd Quintile,female,Seldom,0.25456,581,1931,0.23513,0.27400
2008,3rd Quintile,female,Never,0.47003,1124,1931,0.44776,0.49229
2008,4th Quintile,male,Often,0.02916,57,1913,0.02161,0.03670
2008,4th Quintile,male,Sometimes,0.10972,247,1913,0.09571,0.12373
2008,4th Quintile,male,Seldom,0.30386,681,1913,0.28325,0.32448
2008,4th Quintile,male,Never,0.39305,928,1913,0.37115,0.41494
2008,4th Quintile,female,Often,0.01784,39,1920,0.01191,0.02376
2008,4th Quintile,female,Sometimes,0.08098,197,1920,0.06878,0.09319
2008,4th Quintile,female,Seldom,0.27492,607,1920,0.25494,0.29489
2008,4th Quintile,female,Never,0.47374,1077,1920,0.45140,0.49608
2008,5th Quintile,male,Often,0.02953,73,2629,0.02306,0.03600
2008,5th Quintile,male,Sometimes,0.13659,359,2629,0.12346,0.14972
2008,5th Quintile,male,Seldom,0.32647,960,2629,0.30854,0.34440
2008,5th Quintile,male,Never,0.41025,1237,2629,0.39145,0.42906
2008,5th Quintile,female,Often,0.01308,51,2586,0.00870,0.01746
2008,5th Quintile,female,Sometimes,0.11702,332,2586,0.10462,0.12941
2008,5th Quintile,female,Seldom,0.29350,885,2586,0.27595,0.31106
2008,5th Quintile,female,Never,0.45348,1318,2586,0.43429,0.47267
2013,1st Quintile,male,Often,0.02858,102,1943,0.02117,0.03599
2013,1st Quintile,male,Sometimes,0.11019,311,1943,0.09626,0.12411
2013,1st Quintile,male,Seldom,0.22214,535,1943,0.20365,0.24062
2013,1st Quintile,male,Never,0.41042,995,1943,0.38855,0.43230
2013,1st Quintile,female,Often,0.02074,110,3103,0.01573,0.02576
2013,1st Quintile,female,Sometimes,0.09602,429,3103,0.08566,0.10639
2013,1st Quintile,female,Seldom,0.18522,793,3103,0.17155,0.19890
2013,1st Quintile,female,Never,0.51671,1771,3103,0.49913,0.53430
2013,2nd Quintile,male,Often,0.02081,85,2232,0.01489,0.02673
2013,2nd Quintile,male,Sometimes,0.10172,270,2232,0.08918,0.11427
2013,2nd Quintile,male,Seldom,0.23723,674,2232,0.21958,0.25488
2013,2nd Quintile,male,Never,0.42521,1203,2232,0.40469,0.44572
2013,2nd Quintile,female,Often,0.01549,61,2921,0.01101,0.01997
2013,2nd Quintile,female,Sometimes,0.08455,325,2921,0.07446,0.09464
2013,2nd Quintile,female,Seldom,0.21718,813,2921,0.20222,0.23214
2013,2nd Quintile,female,Never,0.51721,1722,2921,0.49908,0.53533
2013,3rd Quintile,male,Often,0.03242,74,2232,0.02507,0.03977
2013,3rd Quintile,male,Sometimes,0.10427,270,2232,0.09159,0.11695
2013,3rd Quintile,male,Seldom,0.23773,717,2232,0.22007,0.25540
2013,3rd Quintile,male,Never,0.43914,1171,2232,0.41855,0.45973
2013,3rd Quintile,female,Often,0.01417,49,2595,0.00962,0.01872
2013,3rd Quintile,female,Sometimes,0.08060,287,2595,0.07012,0.09108
2013,3rd Quintile,female,Seldom,0.25416,787,2595,0.23741,0.27092
2013,3rd Quintile,female,Never,0.50274,1472,2595,0.48350,0.52199
2013,4th Quintile,male,Often,0.03092,74,2303,0.02384,0.03799
2013,4th Quintile,male,Sometimes,0.12560,309,2303,0.11206,0.13914
2013,4th Quintile,male,Seldom,0.32556,836,2303,0.30642,0.34470
2013,4th Quintile,male,Never,0.37950,1084,2303,0.35968,0.39932
2013,4th Quintile,female,Often,0.02104,49,2511,0.01542,0.02665
2013,4th Quintile,female,Sometimes,0.09620,272,2511,0.08467,0.10774
2013,4th Quintile,female,Seldom,0.28360,833,2511,0.26597,0.30124
2013,4th Quintile,female,Never,0.45738,1357,2511,0.43789,0.47687
2013,5th Quintile,male,Often,0.01928,63,2716,0.01411,0.02446
2013,5th Quintile,male,Sometimes,0.12979,397,2716,0.11714,0.14243
2013,5th Quintile,male,Seldom,0.32933,977,2716,0.31165,0.34700
2013,5th Quintile,male,Never,0.41087,1279,2716,0.39236,0.42937
2013,5th Quintile,female,Often,0.02353,53,2725,0.01784,0.02923
2013,5th Quintile,female,Sometimes,0.10627,340,2725,0.09469,0.11784
2013,5th Quintile,female,Seldom,0.32799,946,2725,0.31036,0.34563
2013,5th Quintile,female,Never,0.42018,1386,2725,0.40164,0.43871
2018,1st Quintile,male,Very often,0.00999,33,1972,0.00560,0.01439
2018,1st Quintile,male,Often,0.04939,118,1972,0.03982,0.05895
2018,1st Quintile,male,Sometimes,0.13353,389,1972,0.11851,0.14855
2018,1st Quintile,male,Seldom,0.21361,569,1972,0.19551,0.23170
2018,1st Quintile,male,Never,0.32841,863,1972,0.30768,0.34915
2018,1st Quintile,female,Very often,0.00604,33,2741,0.00314,0.00894
2018,1st Quintile,female,Often,0.03339,121,2741,0.02667,0.04012
2018,1st Quintile,female,Sometimes,0.13325,491,2741,0.12052,0.14597
2018,1st Quintile,female,Seldom,0.19096,707,2741,0.17624,0.20568
2018,1st Quintile,female,Never,0.42296,1389,2741,0.40446,0.44146
2018,2nd Quintile,male,Often,0.02874,100,2231,0.02181,0.03568
2018,2nd Quintile,male,Sometimes,0.15711,429,2231,0.14201,0.17222
2018,2nd Quintile,male,Seldom,0.26086,709,2231,0.24264,0.27909
2018,2nd Quintile,male,Never,0.35165,993,2231,0.33183,0.37147
2018,2nd Quintile,female,Often,0.02494,104,2840,0.01921,0.03068
2018,2nd Quintile,female,Sometimes,0.12574,432,2840,0.11354,0.13794
2018,2nd Quintile,female,Seldom,0.21642,855,2840,0.20127,0.23156
2018,2nd Quintile,female,Never,0.45336,1449,2840,0.43504,0.47167
2018,3rd Quintile,male,Often,0.03336,76,2146,0.02576,0.04096
2018,3rd Quintile,male,Sometimes,0.13547,331,2146,0.12099,0.14995
2018,3rd Quintile,male,Seldom,0.28396,761,2146,0.26488,0.30305
2018,3rd Quintile,male,Never,0.35703,978,2146,0.33675,0.37730
2018,3rd Quintile,female,Often,0.02935,75,2550,0.02280,0.03591
2018,3rd Quintile,female,Sometimes,0.11408,398,2550,0.10174,0.12642
2018,3rd Quintile,female,Seldom,0.26650,824,2550,0.24934,0.28367
2018,3rd Quintile,female,Never,0.43743,1253,2550,0.41818,0.45669
2018,4th Quintile,male,Often,0.03846,106,2241,0.03050,0.04643
2018,4th Quintile,male,Sometimes,0.15819,369,2241,0.14308,0.17330
2018,4th Quintile,male,Seldom,0.32124,849,2241,0.30190,0.34058
2018,4th Quintile,male,Never,0.34157,917,2241,0.32193,0.36121
2018,4th Quintile,female,Often,0.03241,82,2425,0.02536,0.03946
2018,4th Quintile,female,Sometimes,0.13102,392,2425,0.11759,0.14446
2018,4th Quintile,female,Seldom,0.30094,860,2425,0.28268,0.31920
2018,4th Quintile,female,Never,0.40284,1091,2425,0.38332,0.42237
2018,5th Quintile,male,Often,0.03845,100,2533,0.03096,0.04594
2018,5th Quintile,male,Sometimes,0.17145,457,2533,0.15677,0.18614
2018,5th Quintile,male,Seldom,0.34521,980,2533,0.32669,0.36373
2018,5th Quintile,male,Never,0.33865,996,2533,0.32022,0.35709
2018,5th Quintile,female,Often,0.03391,81,2494,0.02681,0.04102
2018,5th Quintile,female,Sometimes,0.15744,405,2494,0.14314,0.17174
2018,5th Quintile,female,Seldom,0.32658,955,2494,0.30817,0.34499
2018,5th Quintile,female,Never,0.36798,1053,2494,0.34905,0.38691
