,Unnamed: 0,year,quintil_oecd,sampreg,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
51,51,2008,3rd Quintile,West,Sometimes,0.12642,329,19015,0.11451,0.13921
52,52,2008,3rd Quintile,West,Seldom,0.30828,812,19015,0.29134,0.32668
53,53,2008,3rd Quintile,West,Never,0.53141,1365,19015,0.51352,0.55021
54,54,2008,3rd Quintile,East,Sometimes,0.08553,93,19015,0.07183,0.09955
55,55,2008,3rd Quintile,East,Seldom,0.35513,359,19015,0.31945,0.38626
56,56,2008,3rd Quintile,East,Never,0.55935,692,19015,0.52514,0.59618
57,57,2008,4th Quintile,West,Often,0.02855,85,19015,0.02283,0.03332
58,58,2008,4th Quintile,West,Sometimes,0.11855,360,19015,0.1092,0.12965
59,59,2008,4th Quintile,West,Seldom,0.34146,1033,19015,0.32533,0.35981
60,60,2008,4th Quintile,West,Never,0.51145,1603,19015,0.49239,0.52991
61,61,2008,4th Quintile,East,Sometimes,0.08981,85,19015,0.07431,0.10738
62,62,2008,4th Quintile,East,Seldom,0.38048,284,19015,0.34337,0.4276
63,63,2008,4th Quintile,East,Never,0.52971,432,19015,0.48498,0.57154
64,64,2008,5th Quintile,West,Often,0.02485,113,19015,0.01986,0.03057
65,65,2008,5th Quintile,West,Sometimes,0.14446,618,19015,0.13263,0.15588
66,66,2008,5th Quintile,West,Seldom,0.35196,1597,19015,0.33709,0.36918
67,67,2008,5th Quintile,West,Never,0.47873,2170,19015,0.45864,0.49677
68,68,2008,5th Quintile,East,Sometimes,0.1171,75,19015,0.0884,0.14529
69,69,2008,5th Quintile,East,Seldom,0.34064,235,19015,0.30146,0.39696
70,70,2008,5th Quintile,East,Never,0.54226,363,19015,0.48451,0.6058
71,71,2013,1st Quintile,West,Often,0.03377,169,25230,0.02651,0.04222
72,72,2013,1st Quintile,West,Sometimes,0.14409,584,25230,0.12987,0.15805
73,73,2013,1st Quintile,West,Seldom,0.2431,909,25230,0.2225,0.26519
74,74,2013,1st Quintile,West,Never,0.57904,1903,25230,0.54686,0.61154
75,75,2013,1st Quintile,East,Often,0.01938,45,25230,0.01548,0.02383
76,76,2013,1st Quintile,East,Sometimes,0.10173,162,25230,0.08652,0.12342
77,77,2013,1st Quintile,East,Seldom,0.28566,416,25230,0.24457,0.32968
78,78,2013,1st Quintile,East,Never,0.59323,882,25230,0.54952,0.63835
79,79,2013,2nd Quintile,West,Often,0.0257,125,25230,0.02037,0.03276
80,80,2013,2nd Quintile,West,Sometimes,0.12546,469,25230,0.11242,0.14024
81,81,2013,2nd Quintile,West,Seldom,0.2884,1082,25230,0.27052,0.30761
82,82,2013,2nd Quintile,West,Never,0.56044,1923,25230,0.53314,0.58656
83,83,2013,2nd Quintile,East,Sometimes,0.07352,119,25230,0.05563,0.09599
84,84,2013,2nd Quintile,East,Seldom,0.25516,398,25230,0.23387,0.2778
85,85,2013,2nd Quintile,East,Never,0.67131,976,25230,0.62892,0.71685
86,86,2013,3rd Quintile,West,Often,0.03215,110,25230,0.02538,0.03986
87,87,2013,3rd Quintile,West,Sometimes,0.11686,462,25230,0.10394,0.13119
88,88,2013,3rd Quintile,West,Seldom,0.29357,1179,25230,0.27098,0.31358
89,89,2013,3rd Quintile,West,Never,0.55742,1950,25230,0.53421,0.58453
90,90,2013,3rd Quintile,East,Sometimes,0.08415,96,25230,0.06452,0.10469
91,91,2013,3rd Quintile,East,Seldom,0.30265,331,25230,0.26138,0.34624
92,92,2013,3rd Quintile,East,Never,0.61319,713,25230,0.56866,0.65852
93,93,2013,4th Quintile,West,Often,0.03327,114,25230,0.02784,0.03962
94,94,2013,4th Quintile,West,Sometimes,0.13209,502,25230,0.12152,0.1437
95,95,2013,4th Quintile,West,Seldom,0.35751,1406,25230,0.33395,0.37548
96,96,2013,4th Quintile,West,Never,0.47713,1949,25230,0.45721,0.49534
97,97,2013,4th Quintile,East,Sometimes,0.12057,89,25230,0.09474,0.14676
98,98,2013,4th Quintile,East,Seldom,0.33833,279,25230,0.29888,0.38457
99,99,2013,4th Quintile,East,Never,0.54111,487,25230,0.49568,0.5887
100,100,2013,5th Quintile,West,Often,0.02654,106,25230,0.02131,0.03092
101,101,2013,5th Quintile,West,Sometimes,0.13856,665,25230,0.12797,0.15509
102,102,2013,5th Quintile,West,Seldom,0.37531,1700,25230,0.35742,0.39624
103,103,2013,5th Quintile,West,Never,0.4596,2296,25230,0.43928,0.48057
104,104,2013,5th Quintile,East,Sometimes,0.09579,62,25230,0.06922,0.13357
105,105,2013,5th Quintile,East,Seldom,0.32798,211,25230,0.27513,0.38069
106,106,2013,5th Quintile,East,Never,0.57623,361,25230,0.51164,0.65581
107,107,2018,1st Quintile,West,Very often,0.01152,53,24121,0.00753,0.01459
108,108,2018,1st Quintile,West,Often,0.06134,199,24121,0.05182,0.07113
109,109,2018,1st Quintile,West,Sometimes,0.18018,679,24121,0.1656,0.19669
110,110,2018,1st Quintile,West,Seldom,0.26647,922,24121,0.24115,0.29031
111,111,2018,1st Quintile,West,Never,0.48048,1535,24121,0.45085,0.51056
112,112,2018,1st Quintile,East,Often,0.03527,41,24121,0.01994,0.04978
113,113,2018,1st Quintile,East,Sometimes,0.16171,190,24121,0.13774,0.19362
114,114,2018,1st Quintile,East,Seldom,0.27016,335,24121,0.2335,0.30766
115,115,2018,1st Quintile,East,Never,0.53286,679,24121,0.48794,0.5931
116,116,2018,2nd Quintile,West,Very often,0.00541,34,24121,0.0042,0.0068
117,117,2018,2nd Quintile,West,Often,0.03928,183,24121,0.03197,0.04581
118,118,2018,2nd Quintile,West,Sometimes,0.18944,722,24121,0.17318,0.20435
119,119,2018,2nd Quintile,West,Seldom,0.28588,1166,24121,0.2641,0.30949
120,120,2018,2nd Quintile,West,Never,0.47998,1704,24121,0.45645,0.50616
121,121,2018,2nd Quintile,East,Sometimes,0.11857,158,24121,0.09807,0.13627
122,122,2018,2nd Quintile,East,Seldom,0.2914,416,24121,0.26818,0.31419
123,123,2018,2nd Quintile,East,Never,0.59002,825,24121,0.55137,0.6356
124,124,2018,3rd Quintile,West,Often,0.03881,140,24121,0.03211,0.04789
125,125,2018,3rd Quintile,West,Sometimes,0.16639,628,24121,0.15109,0.18283
126,126,2018,3rd Quintile,West,Seldom,0.3371,1269,24121,0.31762,0.3589
127,127,2018,3rd Quintile,West,Never,0.45769,1573,24121,0.43554,0.48053
128,128,2018,3rd Quintile,East,Sometimes,0.09963,116,24121,0.07974,0.1185
129,129,2018,3rd Quintile,East,Seldom,0.29816,318,24121,0.26175,0.34068
130,130,2018,3rd Quintile,East,Never,0.60221,644,24121,0.55109,0.66555
131,131,2018,4th Quintile,West,Often,0.04888,164,24121,0.04204,0.05754
132,132,2018,4th Quintile,West,Sometimes,0.17325,637,24121,0.15769,0.18808
133,133,2018,4th Quintile,West,Seldom,0.37043,1459,24121,0.35366,0.39336
134,134,2018,4th Quintile,West,Never,0.40744,1547,24121,0.38986,0.42978
135,135,2018,4th Quintile,East,Sometimes,0.12864,95,24121,0.1021,0.16174
136,136,2018,4th Quintile,East,Seldom,0.36452,243,24121,0.31471,0.41745
137,137,2018,4th Quintile,East,Never,0.50684,413,24121,0.45685,0.56941
138,138,2018,5th Quintile,West,Often,0.03962,163,24121,0.0341,0.0478
139,139,2018,5th Quintile,West,Sometimes,0.19202,802,24121,0.17579,0.20902
140,140,2018,5th Quintile,West,Seldom,0.37046,1706,24121,0.35426,0.39061
141,141,2018,5th Quintile,West,Never,0.3979,1764,24121,0.3789,0.41798
142,142,2018,5th Quintile,East,Sometimes,0.11,66,24121,0.08573,0.14039
143,143,2018,5th Quintile,East,Seldom,0.42724,235,24121,0.36461,0.4763
144,144,2018,5th Quintile,East,Never,0.46276,298,24121,0.41431,0.51611
