,Unnamed: 0,year,pgisced97,regtyp,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
68,68,2008,Post-secondary Non-tertiary Level,Urban regions,Sometimes,0.18459,130,18562,0.15612,0.21041
69,69,2008,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.40259,301,18562,0.36457,0.44474
70,70,2008,Post-secondary Non-tertiary Level,Urban regions,Never,0.41283,353,18562,0.38076,0.45072
71,71,2008,Post-secondary Non-tertiary Level,Rural regions,Sometimes,0.12021,31,18562,0.08636,0.16093
72,72,2008,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.36671,96,18562,0.30337,0.43067
73,73,2008,Post-secondary Non-tertiary Level,Rural regions,Never,0.51308,144,18562,0.44672,0.5754
74,74,2008,First Stage of Tertiary Education,Urban regions,Sometimes,0.09239,80,18562,0.0772,0.11243
75,75,2008,First Stage of Tertiary Education,Urban regions,Seldom,0.39692,326,18562,0.35852,0.43145
76,76,2008,First Stage of Tertiary Education,Urban regions,Never,0.51069,447,18562,0.47246,0.55705
77,77,2008,First Stage of Tertiary Education,Rural regions,Sometimes,0.09197,38,18562,0.06197,0.11376
78,78,2008,First Stage of Tertiary Education,Rural regions,Seldom,0.3245,174,18562,0.28058,0.37859
79,79,2008,First Stage of Tertiary Education,Rural regions,Never,0.58352,322,18562,0.53547,0.64342
80,80,2008,Second Stage of Tertiary Education,Urban regions,Often,0.01784,53,18562,0.01441,0.02173
81,81,2008,Second Stage of Tertiary Education,Urban regions,Sometimes,0.14198,392,18562,0.12984,0.1563
82,82,2008,Second Stage of Tertiary Education,Urban regions,Seldom,0.39795,1147,18562,0.37449,0.41824
83,83,2008,Second Stage of Tertiary Education,Urban regions,Never,0.44223,1358,18562,0.42259,0.4713
84,84,2008,Second Stage of Tertiary Education,Rural regions,Sometimes,0.10958,114,18562,0.09038,0.13324
85,85,2008,Second Stage of Tertiary Education,Rural regions,Seldom,0.38941,439,18562,0.35416,0.42578
86,86,2008,Second Stage of Tertiary Education,Rural regions,Never,0.50101,647,18562,0.4716,0.53205
87,87,2013,Pre-primary Level,Urban regions,Often,0.15814,49,24684,0.11778,0.20504
88,88,2013,Pre-primary Level,Urban regions,Sometimes,0.36099,109,24684,0.25335,0.49149
89,89,2013,Pre-primary Level,Urban regions,Seldom,0.33918,87,24684,0.26521,0.41858
90,90,2013,Pre-primary Level,Urban regions,Never,0.14168,54,24684,0.08714,0.22399
91,91,2013,Pre-primary Level,Rural regions,Sometimes,0.59462,49,24684,0.43945,0.78666
92,92,2013,Pre-primary Level,Rural regions,Seldom,0.40538,37,24684,0.27273,0.55383
93,93,2013,Primary Level,Urban regions,Sometimes,0.14631,40,24684,0.07753,0.24318
94,94,2013,Primary Level,Urban regions,Seldom,0.28093,46,24684,0.20144,0.38078
95,95,2013,Primary Level,Urban regions,Never,0.57277,107,24684,0.48009,0.68667
96,96,2013,Primary Level,Rural regions,Never,1.0,69,24684,0.77355,1.22519
97,97,2013,Lower Secondary Level,Urban regions,Often,0.03448,87,24684,0.02523,0.04591
98,98,2013,Lower Secondary Level,Urban regions,Sometimes,0.12648,243,24684,0.10727,0.14606
99,99,2013,Lower Secondary Level,Urban regions,Seldom,0.24567,413,24684,0.21999,0.27498
100,100,2013,Lower Secondary Level,Urban regions,Never,0.59337,884,24684,0.55882,0.63168
101,101,2013,Lower Secondary Level,Rural regions,Often,0.0301,40,24684,0.01951,0.04175
102,102,2013,Lower Secondary Level,Rural regions,Sometimes,0.12353,133,24684,0.09582,0.15523
103,103,2013,Lower Secondary Level,Rural regions,Seldom,0.21824,209,24684,0.18434,0.25474
104,104,2013,Lower Secondary Level,Rural regions,Never,0.62813,532,24684,0.58179,0.68832
105,105,2013,Upper Secondary Level,Urban regions,Often,0.02837,196,24684,0.02329,0.03318
106,106,2013,Upper Secondary Level,Urban regions,Sometimes,0.11973,891,24684,0.11053,0.12928
107,107,2013,Upper Secondary Level,Urban regions,Seldom,0.2977,2151,24684,0.28386,0.31087
108,108,2013,Upper Secondary Level,Urban regions,Never,0.5542,3964,24684,0.53894,0.5726
109,109,2013,Upper Secondary Level,Rural regions,Often,0.0178,88,24684,0.01447,0.0219
110,110,2013,Upper Secondary Level,Rural regions,Sometimes,0.10258,486,24684,0.09371,0.11481
111,111,2013,Upper Secondary Level,Rural regions,Seldom,0.27048,1414,24684,0.25492,0.28841
112,112,2013,Upper Secondary Level,Rural regions,Never,0.60913,3128,24684,0.58694,0.63494
113,113,2013,Post-secondary Non-tertiary Level,Urban regions,Often,0.04168,37,24684,0.02582,0.06036
114,114,2013,Post-secondary Non-tertiary Level,Urban regions,Sometimes,0.11948,160,24684,0.09208,0.14359
115,115,2013,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.3904,465,24684,0.34363,0.43104
116,116,2013,Post-secondary Non-tertiary Level,Urban regions,Never,0.44844,603,24684,0.40178,0.50228
117,117,2013,Post-secondary Non-tertiary Level,Rural regions,Sometimes,0.12733,53,24684,0.08388,0.17734
118,118,2013,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.42869,185,24684,0.35716,0.50566
119,119,2013,Post-secondary Non-tertiary Level,Rural regions,Never,0.44399,251,24684,0.36636,0.51619
120,120,2013,First Stage of Tertiary Education,Urban regions,Sometimes,0.09868,90,24684,0.07885,0.12155
121,121,2013,First Stage of Tertiary Education,Urban regions,Seldom,0.38035,332,24684,0.33184,0.42027
122,122,2013,First Stage of Tertiary Education,Urban regions,Never,0.52097,546,24684,0.47497,0.56521
123,123,2013,First Stage of Tertiary Education,Rural regions,Sometimes,0.1101,63,24684,0.07801,0.14278
124,124,2013,First Stage of Tertiary Education,Rural regions,Seldom,0.3486,231,24684,0.28958,0.41867
125,125,2013,First Stage of Tertiary Education,Rural regions,Never,0.54131,379,24684,0.48594,0.59613
126,126,2013,Second Stage of Tertiary Education,Urban regions,Often,0.0238,85,24684,0.01953,0.02941
127,127,2013,Second Stage of Tertiary Education,Urban regions,Sometimes,0.15393,596,24684,0.13932,0.16869
128,128,2013,Second Stage of Tertiary Education,Urban regions,Seldom,0.39505,1602,24684,0.3737,0.4203
129,129,2013,Second Stage of Tertiary Education,Urban regions,Never,0.42722,1863,24684,0.40525,0.4491
130,130,2013,Second Stage of Tertiary Education,Rural regions,Sometimes,0.09352,163,24684,0.07926,0.11154
131,131,2013,Second Stage of Tertiary Education,Rural regions,Seldom,0.37576,591,24684,0.3349,0.41869
132,132,2013,Second Stage of Tertiary Education,Rural regions,Never,0.53072,883,24684,0.49155,0.56725
133,133,2018,Pre-primary Level,Urban regions,Often,0.19655,45,24649,0.14334,0.25914
134,134,2018,Pre-primary Level,Urban regions,Sometimes,0.3545,102,24649,0.27011,0.43369
135,135,2018,Pre-primary Level,Urban regions,Seldom,0.22383,53,24649,0.14219,0.30234
136,136,2018,Pre-primary Level,Urban regions,Never,0.22512,43,24649,0.13346,0.31717
137,137,2018,Pre-primary Level,Rural regions,Sometimes,1.0,36,24649,0.75475,1.37074
138,138,2018,Primary Level,Urban regions,Sometimes,0.288,80,24649,0.22708,0.3483
139,139,2018,Primary Level,Urban regions,Seldom,0.19348,67,24649,0.14989,0.25176
140,140,2018,Primary Level,Urban regions,Never,0.51852,169,24649,0.43428,0.623
141,141,2018,Primary Level,Rural regions,Seldom,0.25463,36,24649,0.16489,0.36021
142,142,2018,Primary Level,Rural regions,Never,0.74537,70,24649,0.53865,1.0051
143,143,2018,Lower Secondary Level,Urban regions,Very often,0.01397,31,24649,0.01022,0.01831
144,144,2018,Lower Secondary Level,Urban regions,Often,0.0417,90,24649,0.03162,0.0507
145,145,2018,Lower Secondary Level,Urban regions,Sometimes,0.19536,362,24649,0.16629,0.22267
146,146,2018,Lower Secondary Level,Urban regions,Seldom,0.26296,449,24649,0.23806,0.29191
147,147,2018,Lower Secondary Level,Urban regions,Never,0.48601,767,24649,0.45138,0.52168
148,148,2018,Lower Secondary Level,Rural regions,Often,0.03926,39,24649,0.02023,0.06299
149,149,2018,Lower Secondary Level,Rural regions,Sometimes,0.16021,159,24649,0.12313,0.19922
150,150,2018,Lower Secondary Level,Rural regions,Seldom,0.25588,275,24649,0.22147,0.28692
151,151,2018,Lower Secondary Level,Rural regions,Never,0.54465,496,24649,0.49511,0.59458
152,152,2018,Upper Secondary Level,Urban regions,Very often,0.00547,56,24649,0.00408,0.00717
153,153,2018,Upper Secondary Level,Urban regions,Often,0.04046,304,24649,0.03547,0.04499
154,154,2018,Upper Secondary Level,Urban regions,Sometimes,0.15772,1126,24649,0.1467,0.16686
155,155,2018,Upper Secondary Level,Urban regions,Seldom,0.30732,2117,24649,0.29089,0.31908
156,156,2018,Upper Secondary Level,Urban regions,Never,0.48903,3296,24649,0.4744,0.50511
157,157,2018,Upper Secondary Level,Rural regions,Often,0.02587,110,24649,0.02062,0.0316
158,158,2018,Upper Secondary Level,Rural regions,Sometimes,0.12685,570,24649,0.1134,0.14206
159,159,2018,Upper Secondary Level,Rural regions,Seldom,0.31393,1403,24649,0.29595,0.33263
160,160,2018,Upper Secondary Level,Rural regions,Never,0.53335,2478,24649,0.51149,0.5566
161,161,2018,Post-secondary Non-tertiary Level,Urban regions,Often,0.0624,80,24649,0.04913,0.07695
162,162,2018,Post-secondary Non-tertiary Level,Urban regions,Sometimes,0.19059,280,24649,0.16983,0.22868
163,163,2018,Post-secondary Non-tertiary Level,Urban regions,Seldom,0.38164,558,24649,0.34385,0.424
164,164,2018,Post-secondary Non-tertiary Level,Urban regions,Never,0.36536,583,24649,0.33474,0.4027
165,165,2018,Post-secondary Non-tertiary Level,Rural regions,Sometimes,0.16566,98,24649,0.12567,0.20892
166,166,2018,Post-secondary Non-tertiary Level,Rural regions,Seldom,0.39049,219,24649,0.32713,0.45977
167,167,2018,Post-secondary Non-tertiary Level,Rural regions,Never,0.44385,269,24649,0.37887,0.52136
168,168,2018,First Stage of Tertiary Education,Urban regions,Sometimes,0.12252,105,24649,0.09661,0.15382
169,169,2018,First Stage of Tertiary Education,Urban regions,Seldom,0.37441,315,24649,0.3265,0.42616
170,170,2018,First Stage of Tertiary Education,Urban regions,Never,0.50307,401,24649,0.44641,0.56081
171,171,2018,First Stage of Tertiary Education,Rural regions,Sometimes,0.14972,65,24649,0.10359,0.18574
172,172,2018,First Stage of Tertiary Education,Rural regions,Seldom,0.33895,208,24649,0.29461,0.3937
173,173,2018,First Stage of Tertiary Education,Rural regions,Never,0.51133,325,24649,0.45301,0.57106
174,174,2018,Second Stage of Tertiary Education,Urban regions,Often,0.0473,193,24649,0.03956,0.05476
175,175,2018,Second Stage of Tertiary Education,Urban regions,Sometimes,0.21291,903,24649,0.1981,0.2284
176,176,2018,Second Stage of Tertiary Education,Urban regions,Seldom,0.38746,1830,24649,0.36818,0.40734
177,177,2018,Second Stage of Tertiary Education,Urban regions,Never,0.35233,1651,24649,0.33335,0.37589
178,178,2018,Second Stage of Tertiary Education,Rural regions,Often,0.02478,36,24649,0.0138,0.03713
179,179,2018,Second Stage of Tertiary Education,Rural regions,Sometimes,0.16415,260,24649,0.1412,0.18727
180,180,2018,Second Stage of Tertiary Education,Rural regions,Seldom,0.36833,642,24649,0.33548,0.40647
181,181,2018,Second Stage of Tertiary Education,Rural regions,Never,0.44274,799,24649,0.40572,0.48011
