,Unnamed: 0,year,migback,regtyp,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
38,38,2008,Indirect migration background,Urban regions,Often,0.0948,49,19104,0.07357,0.1165
39,39,2008,Indirect migration background,Urban regions,Sometimes,0.22376,152,19104,0.19325,0.25982
40,40,2008,Indirect migration background,Urban regions,Seldom,0.34344,231,19104,0.30349,0.38861
41,41,2008,Indirect migration background,Urban regions,Never,0.338,209,19104,0.29298,0.38533
42,42,2008,Indirect migration background,Rural regions,Seldom,0.36696,34,19104,0.26401,0.47026
43,43,2008,Indirect migration background,Rural regions,Never,0.63304,51,19104,0.48142,0.80774
44,44,2013,No migration background,Urban regions,Very often,0.00315,50,25300,0.00226,0.00435
45,45,2013,No migration background,Urban regions,Often,0.02732,349,25300,0.0248,0.03041
46,46,2013,No migration background,Urban regions,Sometimes,0.12508,1675,25300,0.11898,0.1314
47,47,2013,No migration background,Urban regions,Seldom,0.32595,4260,25300,0.3156,0.33727
48,48,2013,No migration background,Urban regions,Never,0.5185,6796,25300,0.50893,0.53099
49,49,2013,No migration background,Rural regions,Often,0.01942,170,25300,0.01573,0.02238
50,50,2013,No migration background,Rural regions,Sometimes,0.10137,824,25300,0.0944,0.10878
51,51,2013,No migration background,Rural regions,Seldom,0.29312,2476,25300,0.27989,0.30671
52,52,2013,No migration background,Rural regions,Never,0.58609,4897,25300,0.56834,0.60481
53,53,2013,Direct migration background,Urban regions,Often,0.04261,93,25300,0.03083,0.05652
54,54,2013,Direct migration background,Urban regions,Sometimes,0.16698,347,25300,0.14563,0.19674
55,55,2013,Direct migration background,Urban regions,Seldom,0.29166,603,25300,0.25876,0.32856
56,56,2013,Direct migration background,Urban regions,Never,0.49876,1003,25300,0.46166,0.53754
57,57,2013,Direct migration background,Rural regions,Sometimes,0.18194,129,25300,0.12325,0.23705
58,58,2013,Direct migration background,Rural regions,Seldom,0.2847,181,25300,0.2263,0.34651
59,59,2013,Direct migration background,Rural regions,Never,0.53336,348,25300,0.45408,0.61958
60,60,2013,Indirect migration background,Urban regions,Often,0.0703,73,25300,0.0521,0.09129
61,61,2013,Indirect migration background,Urban regions,Sometimes,0.20281,195,25300,0.15992,0.2471
62,62,2013,Indirect migration background,Urban regions,Seldom,0.40736,314,25300,0.35061,0.48158
63,63,2013,Indirect migration background,Urban regions,Never,0.31953,317,25300,0.26996,0.36665
64,64,2013,Indirect migration background,Rural regions,Sometimes,0.21425,41,25300,0.12793,0.3182
65,65,2013,Indirect migration background,Rural regions,Seldom,0.30618,78,25300,0.22977,0.38193
66,66,2013,Indirect migration background,Rural regions,Never,0.47957,81,25300,0.35957,0.64426
67,67,2018,No migration background,Urban regions,Very often,0.0055,92,25439,0.00453,0.00678
68,68,2018,No migration background,Urban regions,Often,0.0382,465,25439,0.0343,0.04217
69,69,2018,No migration background,Urban regions,Sometimes,0.16524,2016,25439,0.15753,0.17236
70,70,2018,No migration background,Urban regions,Seldom,0.34163,4104,25439,0.32965,0.35137
71,71,2018,No migration background,Urban regions,Never,0.44943,5228,25439,0.43934,0.46182
72,72,2018,No migration background,Rural regions,Often,0.02453,176,25439,0.02012,0.02923
73,73,2018,No migration background,Rural regions,Sometimes,0.14019,981,25439,0.13069,0.15137
74,74,2018,No migration background,Rural regions,Seldom,0.32289,2447,25439,0.30972,0.33743
75,75,2018,No migration background,Rural regions,Never,0.51238,3851,25439,0.49746,0.52899
76,76,2018,Direct migration background,Urban regions,Very often,0.01064,45,25439,0.00766,0.01404
77,77,2018,Direct migration background,Urban regions,Often,0.06334,211,25439,0.05352,0.07115
78,78,2018,Direct migration background,Urban regions,Sometimes,0.20593,678,25439,0.18832,0.23021
79,79,2018,Direct migration background,Urban regions,Seldom,0.28689,992,25439,0.26304,0.3165
80,80,2018,Direct migration background,Urban regions,Never,0.43321,1437,25439,0.40387,0.46609
81,81,2018,Direct migration background,Rural regions,Often,0.06704,58,25439,0.03773,0.10037
82,82,2018,Direct migration background,Rural regions,Sometimes,0.17456,204,25439,0.143,0.22025
83,83,2018,Direct migration background,Rural regions,Seldom,0.27196,308,25439,0.22695,0.32375
84,84,2018,Direct migration background,Rural regions,Never,0.48644,575,25439,0.42365,0.5562
85,85,2018,Indirect migration background,Urban regions,Often,0.11586,131,25439,0.0984,0.14183
86,86,2018,Indirect migration background,Urban regions,Sometimes,0.3221,393,25439,0.28037,0.35937
87,87,2018,Indirect migration background,Urban regions,Seldom,0.28868,401,25439,0.26054,0.32311
88,88,2018,Indirect migration background,Urban regions,Never,0.27336,378,25439,0.2384,0.31795
89,89,2018,Indirect migration background,Rural regions,Sometimes,0.23058,64,25439,0.16553,0.3106
90,90,2018,Indirect migration background,Rural regions,Seldom,0.34818,99,25439,0.27636,0.43219
91,91,2018,Indirect migration background,Rural regions,Never,0.42123,105,25439,0.35733,0.50278
