,Unnamed: 0,year,age_gr,migback,pld0044,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
39,39,2008,17-29 y.,No migration background,Seldom,0.37996,947,18977,0.35209,0.40263
40,40,2008,17-29 y.,No migration background,Never,0.26283,670,18977,0.2446,0.28129
41,41,2008,17-29 y.,Direct migration background,Sometimes,0.33351,67,18977,0.27676,0.38534
42,42,2008,17-29 y.,Direct migration background,Seldom,0.34201,78,18977,0.28845,0.3921
43,43,2008,17-29 y.,Direct migration background,Never,0.32448,66,18977,0.26299,0.39566
44,44,2008,17-29 y.,Indirect migration background,Often,0.08164,35,18977,0.05833,0.10419
45,45,2008,17-29 y.,Indirect migration background,Sometimes,0.27694,118,18977,0.23549,0.32675
46,46,2008,17-29 y.,Indirect migration background,Seldom,0.33171,141,18977,0.2868,0.38426
47,47,2008,17-29 y.,Indirect migration background,Never,0.30971,132,18977,0.25503,0.3674
48,48,2008,30-45 y.,No migration background,Often,0.0168,55,18977,0.01322,0.02096
49,49,2008,30-45 y.,No migration background,Sometimes,0.13798,519,18977,0.12872,0.14955
50,50,2008,30-45 y.,No migration background,Seldom,0.39813,1659,18977,0.38024,0.41316
51,51,2008,30-45 y.,No migration background,Never,0.44708,2032,18977,0.43154,0.46563
52,52,2008,30-45 y.,Direct migration background,Sometimes,0.17216,110,18977,0.14812,0.1999
53,53,2008,30-45 y.,Direct migration background,Seldom,0.36877,204,18977,0.32616,0.40589
54,54,2008,30-45 y.,Direct migration background,Never,0.45907,260,18977,0.41029,0.50261
55,55,2008,30-45 y.,Indirect migration background,Sometimes,0.13611,46,18977,0.09985,0.17481
56,56,2008,30-45 y.,Indirect migration background,Seldom,0.42525,111,18977,0.36438,0.48929
57,57,2008,30-45 y.,Indirect migration background,Never,0.43864,91,18977,0.34742,0.51683
58,58,2008,46-65 y.,No migration background,Often,0.01177,52,18977,0.00937,0.01466
59,59,2008,46-65 y.,No migration background,Sometimes,0.08361,489,18977,0.07637,0.09094
60,60,2008,46-65 y.,No migration background,Seldom,0.29979,1815,18977,0.2859,0.31065
61,61,2008,46-65 y.,No migration background,Never,0.60482,3527,18977,0.58809,0.62196
62,62,2008,46-65 y.,Direct migration background,Sometimes,0.1431,100,18977,0.12371,0.16283
63,63,2008,46-65 y.,Direct migration background,Seldom,0.29755,200,18977,0.26242,0.32862
64,64,2008,46-65 y.,Direct migration background,Never,0.55935,380,18977,0.51369,0.60954
65,65,2008,66 and older,No migration background,Sometimes,0.04626,180,18977,0.04122,0.05229
66,66,2008,66 and older,No migration background,Seldom,0.20201,795,18977,0.19053,0.21091
67,67,2008,66 and older,No migration background,Never,0.75173,2862,18977,0.73363,0.77276
68,68,2008,66 and older,Direct migration background,Sometimes,0.09588,33,18977,0.06569,0.12393
69,69,2008,66 and older,Direct migration background,Seldom,0.2145,74,18977,0.18136,0.25117
70,70,2008,66 and older,Direct migration background,Never,0.68962,252,18977,0.63017,0.75361
71,71,2013,17-29 y.,No migration background,Often,0.08513,253,25185,0.07456,0.09726
72,72,2013,17-29 y.,No migration background,Sometimes,0.27839,783,25185,0.25877,0.29853
73,73,2013,17-29 y.,No migration background,Seldom,0.37296,1010,25185,0.34392,0.40143
74,74,2013,17-29 y.,No migration background,Never,0.26352,729,25185,0.24165,0.28564
75,75,2013,17-29 y.,Direct migration background,Sometimes,0.35341,70,25185,0.21931,0.49623
76,76,2013,17-29 y.,Direct migration background,Seldom,0.3651,91,25185,0.2486,0.51527
77,77,2013,17-29 y.,Direct migration background,Never,0.28149,106,25185,0.21077,0.35591
78,78,2013,17-29 y.,Indirect migration background,Often,0.0996,58,25185,0.07008,0.13595
79,79,2013,17-29 y.,Indirect migration background,Sometimes,0.22448,128,25185,0.1674,0.28321
80,80,2013,17-29 y.,Indirect migration background,Seldom,0.41937,162,25185,0.35257,0.49446
81,81,2013,17-29 y.,Indirect migration background,Never,0.25655,116,25185,0.19511,0.32812
82,82,2013,30-45 y.,No migration background,Often,0.02007,123,25185,0.01631,0.02502
83,83,2013,30-45 y.,No migration background,Sometimes,0.13828,728,25185,0.12257,0.15365
84,84,2013,30-45 y.,No migration background,Seldom,0.39314,2289,25185,0.37282,0.41808
85,85,2013,30-45 y.,No migration background,Never,0.44851,3089,25185,0.42672,0.469
86,86,2013,30-45 y.,Direct migration background,Often,0.05714,53,25185,0.02637,0.09915
87,87,2013,30-45 y.,Direct migration background,Sometimes,0.20057,241,25185,0.15722,0.2477
88,88,2013,30-45 y.,Direct migration background,Seldom,0.34396,367,25185,0.2834,0.41169
89,89,2013,30-45 y.,Direct migration background,Never,0.39833,545,25185,0.35519,0.44645
90,90,2013,30-45 y.,Indirect migration background,Sometimes,0.21964,91,25185,0.15304,0.3156
91,91,2013,30-45 y.,Indirect migration background,Seldom,0.37448,181,25185,0.31035,0.44107
92,92,2013,30-45 y.,Indirect migration background,Never,0.40588,206,25185,0.33912,0.48334
93,93,2013,46-65 y.,No migration background,Often,0.01618,112,25185,0.01333,0.0193
94,94,2013,46-65 y.,No migration background,Sometimes,0.09003,754,25185,0.08375,0.09639
95,95,2013,46-65 y.,No migration background,Seldom,0.33028,2503,25185,0.31812,0.34281
96,96,2013,46-65 y.,No migration background,Never,0.5635,4557,25185,0.54427,0.58111
97,97,2013,46-65 y.,Direct migration background,Often,0.04024,41,25185,0.026,0.05824
98,98,2013,46-65 y.,Direct migration background,Sometimes,0.16346,135,25185,0.12961,0.19925
99,99,2013,46-65 y.,Direct migration background,Seldom,0.2907,253,25185,0.24764,0.3287
100,100,2013,46-65 y.,Direct migration background,Never,0.50559,435,25185,0.44732,0.56056
101,101,2013,46-65 y.,Indirect migration background,Seldom,0.41505,48,25185,0.2606,0.54187
102,102,2013,46-65 y.,Indirect migration background,Never,0.58495,73,25185,0.46927,0.73539
103,103,2013,66 and older,No migration background,Often,0.00926,31,25185,0.00666,0.01199
104,104,2013,66 and older,No migration background,Sometimes,0.05585,234,25185,0.05182,0.06234
105,105,2013,66 and older,No migration background,Seldom,0.20305,934,25185,0.19347,0.21443
106,106,2013,66 and older,No migration background,Never,0.73183,3318,25185,0.70968,0.74779
107,107,2013,66 and older,Direct migration background,Seldom,0.22291,73,25185,0.19058,0.25941
108,108,2013,66 and older,Direct migration background,Never,0.77709,265,25185,0.71394,0.84436
109,109,2018,17-29 y.,No migration background,Very often,0.01799,65,25354,0.01399,0.02304
110,110,2018,17-29 y.,No migration background,Often,0.12772,341,25354,0.11385,0.1415
111,111,2018,17-29 y.,No migration background,Sometimes,0.31181,932,25354,0.29441,0.33496
112,112,2018,17-29 y.,No migration background,Seldom,0.33148,980,25354,0.30917,0.35894
113,113,2018,17-29 y.,No migration background,Never,0.211,586,25354,0.18798,0.23642
114,114,2018,17-29 y.,Direct migration background,Often,0.16536,65,25354,0.11491,0.21902
115,115,2018,17-29 y.,Direct migration background,Sometimes,0.21711,144,25354,0.17792,0.25981
116,116,2018,17-29 y.,Direct migration background,Seldom,0.26343,157,25354,0.21533,0.31392
117,117,2018,17-29 y.,Direct migration background,Never,0.3541,175,25354,0.27799,0.43638
118,118,2018,17-29 y.,Indirect migration background,Often,0.14394,111,25354,0.11323,0.17534
119,119,2018,17-29 y.,Indirect migration background,Sometimes,0.35477,292,25354,0.30263,0.40188
120,120,2018,17-29 y.,Indirect migration background,Seldom,0.2589,219,25354,0.22776,0.29251
121,121,2018,17-29 y.,Indirect migration background,Never,0.24239,171,25354,0.1857,0.29909
122,122,2018,30-45 y.,No migration background,Often,0.03274,129,25354,0.0253,0.04058
123,123,2018,30-45 y.,No migration background,Sometimes,0.21923,786,25354,0.19943,0.24062
124,124,2018,30-45 y.,No migration background,Seldom,0.41823,1696,25354,0.39676,0.44391
125,125,2018,30-45 y.,No migration background,Never,0.32981,1583,25354,0.31242,0.34788
126,126,2018,30-45 y.,Direct migration background,Often,0.06084,110,25354,0.04697,0.07649
127,127,2018,30-45 y.,Direct migration background,Sometimes,0.23057,408,25354,0.20169,0.27372
128,128,2018,30-45 y.,Direct migration background,Seldom,0.32966,619,25354,0.29867,0.36393
129,129,2018,30-45 y.,Direct migration background,Never,0.37893,791,25354,0.33697,0.42356
130,130,2018,30-45 y.,Indirect migration background,Often,0.09799,36,25354,0.06617,0.14223
131,131,2018,30-45 y.,Indirect migration background,Sometimes,0.27612,119,25354,0.21982,0.3329
132,132,2018,30-45 y.,Indirect migration background,Seldom,0.31926,201,25354,0.26639,0.37425
133,133,2018,30-45 y.,Indirect migration background,Never,0.30663,193,25354,0.26159,0.35483
134,134,2018,46-65 y.,No migration background,Often,0.01682,125,25354,0.01381,0.02076
135,135,2018,46-65 y.,No migration background,Sometimes,0.12699,974,25354,0.11731,0.13734
136,136,2018,46-65 y.,No migration background,Seldom,0.3702,2789,25354,0.35655,0.38296
137,137,2018,46-65 y.,No migration background,Never,0.48599,3869,25354,0.47369,0.50286
138,138,2018,46-65 y.,Direct migration background,Often,0.05825,85,25354,0.04544,0.07186
139,139,2018,46-65 y.,Direct migration background,Sometimes,0.20989,278,25354,0.18201,0.24563
140,140,2018,46-65 y.,Direct migration background,Seldom,0.26174,422,25354,0.23037,0.29315
141,141,2018,46-65 y.,Direct migration background,Never,0.47012,762,25354,0.42707,0.5149
142,142,2018,46-65 y.,Indirect migration background,Sometimes,0.24822,46,25354,0.17239,0.31862
143,143,2018,46-65 y.,Indirect migration background,Seldom,0.35922,74,25354,0.26522,0.45126
144,144,2018,46-65 y.,Indirect migration background,Never,0.39255,105,25354,0.32721,0.45401
145,145,2018,66 and older,No migration background,Often,0.00836,46,25354,0.00635,0.01104
146,146,2018,66 and older,No migration background,Sometimes,0.07145,305,25354,0.0648,0.07855
147,147,2018,66 and older,No migration background,Seldom,0.23036,1086,25354,0.21974,0.24289
148,148,2018,66 and older,No migration background,Never,0.68983,3041,25354,0.66564,0.71102
149,149,2018,66 and older,Direct migration background,Sometimes,0.11692,52,25354,0.07749,0.15199
150,150,2018,66 and older,Direct migration background,Seldom,0.26836,102,25354,0.20923,0.33419
151,151,2018,66 and older,Direct migration background,Never,0.61472,284,25354,0.54472,0.70186
