year,migback,pgisced97,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Direct migration background,First Stage of Tertiary Education,Seldom,0.33342,46,116,0.24725,0.41958
2003,Direct migration background,First Stage of Tertiary Education,Never,0.45190,70,116,0.36094,0.54286
2003,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.17359,68,345,0.13356,0.21361
2003,Direct migration background,Second Stage of Tertiary Education,Seldom,0.32311,113,345,0.27369,0.37253
2003,Direct migration background,Second Stage of Tertiary Education,Never,0.43116,164,345,0.37882,0.48349
2003,Indirect migration background,Lower Secondary Level,Sometimes,0.22274,36,153,0.15660,0.28889
2003,Indirect migration background,Lower Secondary Level,Seldom,0.27281,57,153,0.20200,0.34362
2003,Indirect migration background,Lower Secondary Level,Never,0.29780,60,153,0.22510,0.37050
2003,Indirect migration background,Upper Secondary Level,Sometimes,0.23825,79,304,0.19029,0.28622
2003,Indirect migration background,Upper Secondary Level,Seldom,0.37569,127,304,0.32116,0.43022
2003,Indirect migration background,Upper Secondary Level,Never,0.30472,98,304,0.25289,0.35655
2008,No migration background,Pre-primary Level,Often,0.11613,61,275,0.07820,0.15407
2008,No migration background,Pre-primary Level,Sometimes,0.21736,98,275,0.16852,0.26619
2008,No migration background,Pre-primary Level,Seldom,0.18844,84,275,0.14214,0.23475
2008,No migration background,Pre-primary Level,Never,0.06805,32,275,0.03823,0.09787
2008,No migration background,Primary Level,Never,0.61889,48,48,0.48004,0.75773
2008,No migration background,Lower Secondary Level,Often,0.03386,42,1407,0.02440,0.04331
2008,No migration background,Lower Secondary Level,Sometimes,0.09872,155,1407,0.08313,0.11431
2008,No migration background,Lower Secondary Level,Seldom,0.21327,337,1407,0.19186,0.23469
2008,No migration background,Lower Secondary Level,Never,0.61318,873,1407,0.58772,0.63863
2008,No migration background,Upper Secondary Level,Very often,0.00438,31,8635,0.00299,0.00577
2008,No migration background,Upper Secondary Level,Often,0.01937,139,8635,0.01646,0.02227
2008,No migration background,Upper Secondary Level,Sometimes,0.10159,839,8635,0.09522,0.10797
2008,No migration background,Upper Secondary Level,Seldom,0.28610,2511,8635,0.27657,0.29563
2008,No migration background,Upper Secondary Level,Never,0.57956,5115,8635,0.56915,0.58997
2008,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.15307,117,832,0.12859,0.17755
2008,No migration background,Post-secondary Non-tertiary Level,Seldom,0.39108,320,832,0.35790,0.42426
2008,No migration background,Post-secondary Non-tertiary Level,Never,0.42131,395,832,0.38774,0.45488
2008,No migration background,First Stage of Tertiary Education,Sometimes,0.08937,96,1241,0.07349,0.10525
2008,No migration background,First Stage of Tertiary Education,Seldom,0.35474,444,1241,0.32811,0.38137
2008,No migration background,First Stage of Tertiary Education,Never,0.52986,701,1241,0.50208,0.55764
2008,No migration background,Second Stage of Tertiary Education,Often,0.01416,52,3768,0.01039,0.01794
2008,No migration background,Second Stage of Tertiary Education,Sometimes,0.12617,442,3768,0.11556,0.13677
2008,No migration background,Second Stage of Tertiary Education,Seldom,0.38919,1426,3768,0.37362,0.40476
2008,No migration background,Second Stage of Tertiary Education,Never,0.46130,1848,3768,0.44538,0.47722
2008,Direct migration background,Primary Level,Never,0.66615,68,68,0.55323,0.77907
2008,Direct migration background,Lower Secondary Level,Sometimes,0.14948,65,415,0.11513,0.18383
2008,Direct migration background,Lower Secondary Level,Seldom,0.24760,101,415,0.20602,0.28917
2008,Direct migration background,Lower Secondary Level,Never,0.56506,249,415,0.51731,0.61282
2008,Direct migration background,Upper Secondary Level,Sometimes,0.14820,115,684,0.12156,0.17485
2008,Direct migration background,Upper Secondary Level,Seldom,0.30085,214,684,0.26646,0.33525
2008,Direct migration background,Upper Secondary Level,Never,0.50400,355,684,0.46650,0.54149
2008,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.18188,32,181,0.12552,0.23823
2008,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.31329,59,181,0.24553,0.38105
2008,Direct migration background,Post-secondary Non-tertiary Level,Never,0.43816,90,181,0.36568,0.51064
2008,Direct migration background,First Stage of Tertiary Education,Seldom,0.36815,39,96,0.27117,0.46514
2008,Direct migration background,First Stage of Tertiary Education,Never,0.51703,57,96,0.41654,0.61751
2008,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.17301,51,299,0.13006,0.21596
2008,Direct migration background,Second Stage of Tertiary Education,Seldom,0.38597,121,299,0.33070,0.44125
2008,Direct migration background,Second Stage of Tertiary Education,Never,0.40344,127,299,0.34774,0.45914
2008,Indirect migration background,Lower Secondary Level,Sometimes,0.23885,40,142,0.16847,0.30923
2008,Indirect migration background,Lower Secondary Level,Seldom,0.25715,48,142,0.18500,0.32929
2008,Indirect migration background,Lower Secondary Level,Never,0.34185,54,142,0.26356,0.42014
2008,Indirect migration background,Upper Secondary Level,Sometimes,0.17094,66,291,0.12761,0.21427
2008,Indirect migration background,Upper Secondary Level,Seldom,0.34428,121,291,0.28959,0.39896
2008,Indirect migration background,Upper Secondary Level,Never,0.38910,104,291,0.33299,0.44522
2008,Indirect migration background,Second Stage of Tertiary Education,Seldom,0.47056,39,39,0.31186,0.62926
2013,No migration background,Pre-primary Level,Often,0.10015,59,318,0.06711,0.13320
2013,No migration background,Pre-primary Level,Sometimes,0.17427,120,318,0.13251,0.21603
2013,No migration background,Pre-primary Level,Seldom,0.13408,87,318,0.09657,0.17159
2013,No migration background,Pre-primary Level,Never,0.07155,52,318,0.04317,0.09992
2013,No migration background,Primary Level,Sometimes,0.12939,31,164,0.07787,0.18092
2013,No migration background,Primary Level,Seldom,0.25147,40,164,0.18486,0.31807
2013,No migration background,Primary Level,Never,0.55665,93,164,0.48038,0.63291
2013,No migration background,Lower Secondary Level,Often,0.02972,81,1820,0.02192,0.03753
2013,No migration background,Lower Secondary Level,Sometimes,0.10989,238,1820,0.09552,0.12426
2013,No migration background,Lower Secondary Level,Seldom,0.22119,438,1820,0.20212,0.24026
2013,No migration background,Lower Secondary Level,Never,0.58213,1063,1820,0.55947,0.60480
2013,No migration background,Upper Secondary Level,Often,0.02069,214,10845,0.01801,0.02337
2013,No migration background,Upper Secondary Level,Sometimes,0.10363,1105,10845,0.09790,0.10937
2013,No migration background,Upper Secondary Level,Seldom,0.28189,3109,10845,0.27342,0.29035
2013,No migration background,Upper Secondary Level,Never,0.57573,6417,10845,0.56643,0.58503
2013,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.11337,156,1354,0.09647,0.13026
2013,No migration background,Post-secondary Non-tertiary Level,Seldom,0.39845,528,1354,0.37237,0.42454
2013,No migration background,Post-secondary Non-tertiary Level,Never,0.42690,670,1354,0.40054,0.45326
2013,No migration background,First Stage of Tertiary Education,Sometimes,0.09978,133,1487,0.08454,0.11501
2013,No migration background,First Stage of Tertiary Education,Seldom,0.36601,518,1487,0.34151,0.39050
2013,No migration background,First Stage of Tertiary Education,Never,0.51463,836,1487,0.48922,0.54004
2013,No migration background,Second Stage of Tertiary Education,Often,0.01929,76,5042,0.01549,0.02309
2013,No migration background,Second Stage of Tertiary Education,Sometimes,0.12824,626,5042,0.11901,0.13747
2013,No migration background,Second Stage of Tertiary Education,Seldom,0.37954,1908,5042,0.36614,0.39293
2013,No migration background,Second Stage of Tertiary Education,Never,0.45598,2432,5042,0.44223,0.46973
2013,Direct migration background,Primary Level,Never,0.29404,78,78,0.19227,0.39580
2013,Direct migration background,Lower Secondary Level,Sometimes,0.08495,100,503,0.06056,0.10934
2013,Direct migration background,Lower Secondary Level,Seldom,0.11832,123,503,0.09007,0.14657
2013,Direct migration background,Lower Secondary Level,Never,0.34064,280,503,0.29918,0.38210
2013,Direct migration background,Upper Secondary Level,Often,0.02967,38,1030,0.01930,0.04004
2013,Direct migration background,Upper Secondary Level,Sometimes,0.11315,182,1030,0.09380,0.13251
2013,Direct migration background,Upper Secondary Level,Seldom,0.16110,305,1030,0.13864,0.18356
2013,Direct migration background,Upper Secondary Level,Never,0.29203,505,1030,0.26425,0.31981
2013,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.06763,47,303,0.03931,0.09595
2013,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.15478,98,303,0.11398,0.19557
2013,Direct migration background,Post-secondary Non-tertiary Level,Never,0.23172,158,303,0.18413,0.27931
2013,Direct migration background,First Stage of Tertiary Education,Never,0.59192,70,70,0.47596,0.70789
2013,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.08965,100,575,0.06628,0.11302
2013,Direct migration background,Second Stage of Tertiary Education,Seldom,0.23722,215,575,0.20242,0.27202
2013,Direct migration background,Second Stage of Tertiary Education,Never,0.21758,260,575,0.18383,0.25134
2013,Indirect migration background,Pre-primary Level,Sometimes,0.10238,31,62,0.02631,0.17846
2013,Indirect migration background,Pre-primary Level,Seldom,0.14063,31,62,0.05339,0.22787
2013,Indirect migration background,Lower Secondary Level,Sometimes,0.07729,38,175,0.03761,0.11697
2013,Indirect migration background,Lower Secondary Level,Seldom,0.16081,62,175,0.10623,0.21540
2013,Indirect migration background,Lower Secondary Level,Never,0.16036,75,175,0.10584,0.21489
2013,Indirect migration background,Upper Secondary Level,Often,0.04297,32,444,0.02408,0.06185
2013,Indirect migration background,Upper Secondary Level,Sometimes,0.10025,91,444,0.07229,0.12822
2013,Indirect migration background,Upper Secondary Level,Seldom,0.19342,151,444,0.15664,0.23020
2013,Indirect migration background,Upper Secondary Level,Never,0.24175,170,444,0.20188,0.28162
2013,Indirect migration background,Second Stage of Tertiary Education,Sometimes,0.19376,33,157,0.13173,0.25578
2013,Indirect migration background,Second Stage of Tertiary Education,Seldom,0.26302,70,157,0.19393,0.33211
2013,Indirect migration background,Second Stage of Tertiary Education,Never,0.17153,54,157,0.11237,0.23068
2018,No migration background,Pre-primary Level,Often,0.11707,44,205,0.07295,0.16119
2018,No migration background,Pre-primary Level,Sometimes,0.18300,88,205,0.12993,0.23606
2018,No migration background,Pre-primary Level,Seldom,0.09377,41,205,0.05377,0.13377
2018,No migration background,Pre-primary Level,Never,0.10547,32,205,0.06332,0.14762
2018,No migration background,Primary Level,Sometimes,0.20951,33,149,0.14394,0.27507
2018,No migration background,Primary Level,Seldom,0.21334,42,149,0.14734,0.27935
2018,No migration background,Primary Level,Never,0.47104,74,149,0.39062,0.55146
2018,No migration background,Lower Secondary Level,Often,0.02078,50,1639,0.01387,0.02769
2018,No migration background,Lower Secondary Level,Sometimes,0.16087,299,1639,0.14308,0.17867
2018,No migration background,Lower Secondary Level,Seldom,0.23832,454,1639,0.21768,0.25895
2018,No migration background,Lower Secondary Level,Never,0.53274,836,1639,0.50858,0.55690
2018,No migration background,Upper Secondary Level,Very often,0.00348,52,9302,0.00228,0.00468
2018,No migration background,Upper Secondary Level,Often,0.02734,267,9302,0.02403,0.03066
2018,No migration background,Upper Secondary Level,Sometimes,0.13109,1248,9302,0.12423,0.13795
2018,No migration background,Upper Secondary Level,Seldom,0.31176,2888,9302,0.30235,0.32118
2018,No migration background,Upper Secondary Level,Never,0.52108,4847,9302,0.51093,0.53124
2018,No migration background,Post-secondary Non-tertiary Level,Often,0.04958,52,1397,0.03819,0.06096
2018,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.17113,232,1397,0.15137,0.19088
2018,No migration background,Post-secondary Non-tertiary Level,Seldom,0.40472,550,1397,0.37897,0.43047
2018,No migration background,Post-secondary Non-tertiary Level,Never,0.37206,563,1397,0.34671,0.39742
2018,No migration background,First Stage of Tertiary Education,Sometimes,0.13080,150,1281,0.11233,0.14927
2018,No migration background,First Stage of Tertiary Education,Seldom,0.36470,468,1281,0.33833,0.39107
2018,No migration background,First Stage of Tertiary Education,Never,0.48149,663,1281,0.45411,0.50886
2018,No migration background,Second Stage of Tertiary Education,Often,0.03293,141,4885,0.02793,0.03794
2018,No migration background,Second Stage of Tertiary Education,Sometimes,0.19151,841,4885,0.18048,0.20255
2018,No migration background,Second Stage of Tertiary Education,Seldom,0.39624,1979,4885,0.38253,0.40996
2018,No migration background,Second Stage of Tertiary Education,Never,0.37362,1924,4885,0.36005,0.38719
2018,Direct migration background,Primary Level,Sometimes,0.19107,53,258,0.14301,0.23914
2018,Direct migration background,Primary Level,Seldom,0.11713,52,258,0.07781,0.15644
2018,Direct migration background,Primary Level,Never,0.42032,153,258,0.35997,0.48067
2018,Direct migration background,Lower Secondary Level,Often,0.05247,46,724,0.03622,0.06872
2018,Direct migration background,Lower Secondary Level,Sometimes,0.17464,140,724,0.14696,0.20231
2018,Direct migration background,Lower Secondary Level,Seldom,0.25165,192,724,0.22002,0.28328
2018,Direct migration background,Lower Secondary Level,Never,0.42135,346,724,0.38536,0.45735
2018,Direct migration background,Upper Secondary Level,Often,0.05541,78,1506,0.04385,0.06696
2018,Direct migration background,Upper Secondary Level,Sometimes,0.18446,276,1506,0.16487,0.20406
2018,Direct migration background,Upper Secondary Level,Seldom,0.27913,425,1506,0.25647,0.30179
2018,Direct migration background,Upper Secondary Level,Never,0.44883,727,1506,0.42371,0.47396
2018,Direct migration background,Post-secondary Non-tertiary Level,Often,0.06633,37,588,0.04619,0.08646
2018,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.17051,112,588,0.14008,0.20093
2018,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.29784,187,588,0.26084,0.33483
2018,Direct migration background,Post-secondary Non-tertiary Level,Never,0.42997,252,588,0.38992,0.47002
2018,Direct migration background,First Stage of Tertiary Education,Never,0.62944,42,42,0.48160,0.77727
2018,Direct migration background,Second Stage of Tertiary Education,Often,0.05942,73,1183,0.04595,0.07290
2018,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.20277,251,1183,0.17984,0.22569
2018,Direct migration background,Second Stage of Tertiary Education,Seldom,0.32568,403,1183,0.29896,0.35239
2018,Direct migration background,Second Stage of Tertiary Education,Never,0.36887,456,1183,0.34137,0.39638
2018,Indirect migration background,Pre-primary Level,Sometimes,0.19738,37,37,0.06736,0.32739
2018,Indirect migration background,Lower Secondary Level,Often,0.12604,33,279,0.08703,0.16506
2018,Indirect migration background,Lower Secondary Level,Sometimes,0.25903,83,279,0.20753,0.31053
2018,Indirect migration background,Lower Secondary Level,Seldom,0.27322,79,279,0.22084,0.32560
2018,Indirect migration background,Lower Secondary Level,Never,0.26948,84,279,0.21732,0.32163
2018,Indirect migration background,Upper Secondary Level,Often,0.10968,70,656,0.08575,0.13361
2018,Indirect migration background,Upper Secondary Level,Sometimes,0.28132,172,656,0.24689,0.31576
2018,Indirect migration background,Upper Secondary Level,Seldom,0.29914,209,656,0.26407,0.33421
2018,Indirect migration background,Upper Secondary Level,Never,0.27134,205,656,0.23729,0.30539
2018,Indirect migration background,Post-secondary Non-tertiary Level,Sometimes,0.33806,33,107,0.24800,0.42811
2018,Indirect migration background,Post-secondary Non-tertiary Level,Seldom,0.33662,41,107,0.24666,0.42658
2018,Indirect migration background,Post-secondary Non-tertiary Level,Never,0.15412,33,107,0.08538,0.22286
2018,Indirect migration background,Second Stage of Tertiary Education,Sometimes,0.30554,71,231,0.24601,0.36507
2018,Indirect migration background,Second Stage of Tertiary Education,Seldom,0.26722,90,231,0.21003,0.32441
2018,Indirect migration background,Second Stage of Tertiary Education,Never,0.31279,70,231,0.25287,0.37271
