"pgstib","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"NE: Rentner/Rentnerin","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: Wehr- und Zivildienst","1984","Westdeutschland, alte Bundeslaender","maennlich","34","0.00710172329883187","0.00497609291481331","0.00922735368285042"
"NE: Wehr- und Zivildienst","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: Wehr- und Zivildienst","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: Wehr- und Zivildienst","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","maennlich","253","0.0385136148376808","0.0336424569308753","0.0433847727444862"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","weiblich","159","0.0248484971872235","0.0209825145398626","0.0287144798345845"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Volontäre, Praktikanten","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Volontäre, Praktikanten","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Volontäre, Praktikanten","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Volontäre, Praktikanten","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Aspiranten (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Aspiranten (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Aspiranten (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Aspiranten (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"ungelernter Arbeiter","1984","Westdeutschland, alte Bundeslaender","maennlich","348","0.0284711117553439","0.0242610974676157","0.0326811260430721"
"ungelernter Arbeiter","1984","Westdeutschland, alte Bundeslaender","weiblich","391","0.035420145806721","0.030829560577212","0.0400107310362299"
"ungelernter Arbeiter","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"ungelernter Arbeiter","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"angelernter Arbeiter","1984","Westdeutschland, alte Bundeslaender","maennlich","945","0.097406589570375","0.0899008456084679","0.104912333532282"
"angelernter Arbeiter","1984","Westdeutschland, alte Bundeslaender","weiblich","527","0.0536270677663641","0.0480321079748708","0.0592220275578575"
"angelernter Arbeiter","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"angelernter Arbeiter","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"gelernte und Facharbeiter","1984","Westdeutschland, alte Bundeslaender","maennlich","916","0.143583269854136","0.134706642499953","0.152459897208319"
"gelernte und Facharbeiter","1984","Westdeutschland, alte Bundeslaender","weiblich","78","0.0108576506264033","0.00828387242276038","0.0134314288300461"
"gelernte und Facharbeiter","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"gelernte und Facharbeiter","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Vorarbeiter, Kolonnenführer","1984","Westdeutschland, alte Bundeslaender","maennlich","137","0.0226247643181151","0.0188605339448459","0.0263889946913843"
"Vorarbeiter, Kolonnenführer","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Vorarbeiter, Kolonnenführer","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Vorarbeiter, Kolonnenführer","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Meister, Polier","1984","Westdeutschland, alte Bundeslaender","maennlich","64","0.0128478738789168","0.00999711049286239","0.0156986372649713"
"Meister, Polier","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Meister, Polier","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Meister, Polier","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"selbständiger Landwirt","1984","Westdeutschland, alte Bundeslaender","maennlich","49","0.0102976649639798","0.00774216915115111","0.0128531607768084"
"selbständiger Landwirt","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"selbständiger Landwirt","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"selbständiger Landwirt","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Freiberufler, Akademiker","1984","Westdeutschland, alte Bundeslaender","maennlich","71","0.0132292460467691","0.0103370403388201","0.0161214517547181"
"Freiberufler, Akademiker","1984","Westdeutschland, alte Bundeslaender","weiblich","33","0.00552094981793032","0.00368069269140471","0.00736120694445592"
"Freiberufler, Akademiker","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Freiberufler, Akademiker","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"sonstige selbständiger","1984","Westdeutschland, alte Bundeslaender","maennlich","234","0.0412703945844848","0.0362351464509496","0.0463056427180201"
"sonstige selbständiger","1984","Westdeutschland, alte Bundeslaender","weiblich","92","0.0145641926341976","0.0115888898693451","0.0175394953990502"
"sonstige selbständiger","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"sonstige selbständiger","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"mithelfende Familienangehörige","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"mithelfende Familienangehörige","1984","Westdeutschland, alte Bundeslaender","weiblich","51","0.00721937592527","0.00511680689225386","0.00932194495828613"
"mithelfende Familienangehörige","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"mithelfende Familienangehörige","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Angestellte, Industrie- und Werkmeister","1984","Westdeutschland, alte Bundeslaender","maennlich","52","0.0105285714208074","0.00794488471723988","0.0131122581243749"
"Angestellte, Industrie- und Werkmeister","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Angestellte, Industrie- und Werkmeister","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Angestellte, Industrie- und Werkmeister","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1984","Westdeutschland, alte Bundeslaender","maennlich","112","0.0199786236580202","0.0164365788188886","0.0235206684971519"
"Angestellte, einfache Tätigkeit (bis 1990)","1984","Westdeutschland, alte Bundeslaender","weiblich","482","0.0785733968984475","0.0718908513586664","0.0852559424382286"
"Angestellte, einfache Tätigkeit (bis 1990)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Angestellte, qualifizierte Tätigkeit","1984","Westdeutschland, alte Bundeslaender","maennlich","486","0.0966628735723518","0.0891827585175719","0.104142988627132"
"Angestellte, qualifizierte Tätigkeit","1984","Westdeutschland, alte Bundeslaender","weiblich","609","0.106219688195947","0.0985673934052289","0.113871982986665"
"Angestellte, qualifizierte Tätigkeit","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Angestellte, qualifizierte Tätigkeit","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","Westdeutschland, alte Bundeslaender","maennlich","313","0.0608615256944104","0.0548096537299328","0.066913397658888"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","Westdeutschland, alte Bundeslaender","weiblich","74","0.0129301880330729","0.0101244304570193","0.0157359456091265"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Angestellte, umfassende Führungsaufgaben","1984","Westdeutschland, alte Bundeslaender","maennlich","50","0.0101350066978767","0.00759956574910129","0.0126704476466522"
"Angestellte, umfassende Führungsaufgaben","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Angestellte, umfassende Führungsaufgaben","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Angestellte, umfassende Führungsaufgaben","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Beamte, einfacher Dienst","1984","Westdeutschland, alte Bundeslaender","maennlich","38","0.00734962664072252","0.0051874842517914","0.00951176902965365"
"Beamte, einfacher Dienst","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Beamte, einfacher Dienst","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Beamte, einfacher Dienst","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Beamte, mittlerer Dienst","1984","Westdeutschland, alte Bundeslaender","maennlich","139","0.0276972669516468","0.0235432074880601","0.0318513264152336"
"Beamte, mittlerer Dienst","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Beamte, mittlerer Dienst","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Beamte, mittlerer Dienst","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Beamte, gehobener Dienst","1984","Westdeutschland, alte Bundeslaender","maennlich","113","0.0234868280019261","0.0196532462078746","0.0273204097959777"
"Beamte, gehobener Dienst","1984","Westdeutschland, alte Bundeslaender","weiblich","51","0.0082602178034028","0.00601236222058308","0.0105080733862225"
"Beamte, gehobener Dienst","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Beamte, gehobener Dienst","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Beamte, höherer Dienst","1984","Westdeutschland, alte Bundeslaender","maennlich","96","0.0185734138748355","0.0151557584452606","0.0219910693044105"
"Beamte, höherer Dienst","1984","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Beamte, höherer Dienst","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Beamte, höherer Dienst","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1985","Westdeutschland, alte Bundeslaender","maennlich","64","0.00821961910602512","0.00582209410551742","0.0106171441065328"
"nicht erwerbstätig (NE): keine weitere Angaben","1985","Westdeutschland, alte Bundeslaender","weiblich","1664","0.249895803859555","0.238577494043599","0.261214113675511"
"nicht erwerbstätig (NE): keine weitere Angaben","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","Westdeutschland, alte Bundeslaender","maennlich","398","0.0731776591471497","0.0662622632979718","0.0800930549963276"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","Westdeutschland, alte Bundeslaender","weiblich","299","0.0480881684673422","0.0424949886869554","0.0536813482477289"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: arbeitslos gemeldet","1985","Westdeutschland, alte Bundeslaender","maennlich","283","0.0471907668159077","0.0415600843417876","0.0528214492900278"
"NE: arbeitslos gemeldet","1985","Westdeutschland, alte Bundeslaender","weiblich","226","0.0325682552323855","0.0279279268882255","0.0372085835765455"
"NE: arbeitslos gemeldet","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: arbeitslos gemeldet","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: Rentner/Rentnerin","1985","Westdeutschland, alte Bundeslaender","maennlich","666","0.187132488301319","0.176775964182914","0.197489012419724"
"NE: Rentner/Rentnerin","1985","Westdeutschland, alte Bundeslaender","weiblich","936","0.270325765553512","0.258715302929815","0.281936228177208"
"NE: Rentner/Rentnerin","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: Rentner/Rentnerin","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"NE: Wehr- und Zivildienst","1985","Westdeutschland, alte Bundeslaender","maennlich","39","0.00787918975223199","0.00553143568815661","0.0102269438163074"
"NE: Wehr- und Zivildienst","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"NE: Wehr- und Zivildienst","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"NE: Wehr- und Zivildienst","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1985","Westdeutschland, alte Bundeslaender","maennlich","225","0.0380193202837514","0.0329410607727028","0.0430975797948001"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1985","Westdeutschland, alte Bundeslaender","weiblich","159","0.029431620298321","0.0250132566868978","0.0338499839097442"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1985","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1985","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Volontäre, Praktikanten","1985","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Volontäre, Praktikanten","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Volontäre, Praktikanten","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Volontäre, Praktikanten","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Aspiranten (1990 Ost)","1985","Westdeutschland, alte Bundeslaender","maennlich","","","",""
"Aspiranten (1990 Ost)","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Aspiranten (1990 Ost)","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Aspiranten (1990 Ost)","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"ungelernter Arbeiter","1985","Westdeutschland, alte Bundeslaender","maennlich","257","0.0228961603466634","0.0189244165083367","0.0268679041849902"
"ungelernter Arbeiter","1985","Westdeutschland, alte Bundeslaender","weiblich","338","0.0360397471376268","0.0311671362706116","0.0409123580046421"
"ungelernter Arbeiter","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"ungelernter Arbeiter","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"angelernter Arbeiter","1985","Westdeutschland, alte Bundeslaender","maennlich","705","0.0783496796514605","0.0712140673864595","0.0854852919164615"
"angelernter Arbeiter","1985","Westdeutschland, alte Bundeslaender","weiblich","474","0.0560454337365638","0.0500324924739369","0.0620583749991908"
"angelernter Arbeiter","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"angelernter Arbeiter","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"gelernte und Facharbeiter","1985","Westdeutschland, alte Bundeslaender","maennlich","947","0.154917863271326","0.145309935012831","0.164525791529821"
"gelernte und Facharbeiter","1985","Westdeutschland, alte Bundeslaender","weiblich","86","0.0128873013044523","0.00993877057019171","0.0158358320387128"
"gelernte und Facharbeiter","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"gelernte und Facharbeiter","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Vorarbeiter, Kolonnenführer","1985","Westdeutschland, alte Bundeslaender","maennlich","123","0.0211431340193837","0.0173230420512462","0.0249632259875213"
"Vorarbeiter, Kolonnenführer","1985","Westdeutschland, alte Bundeslaender","weiblich","","","",""
"Vorarbeiter, Kolonnenführer","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"Vorarbeiter, Kolonnenführer","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
