"pgstib","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: arbeitslos gemeldet","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","(noch) kein Abschluss","50","0.0560300300101726","0.0397330591032436","0.0723270009171017"
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","Hauptschulabschluss","122","0.0271098135569107","0.0221247246056336","0.0320949025081877"
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: arbeitslos gemeldet","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","Realschulabschluss","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: arbeitslos gemeldet","1984","66 und älter","AkademikerInnen","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: Rentner/Rentnerin","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","Hauptschulabschluss","488","0.156218837052592","0.145074368877001","0.167363305228183"
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","Realschulabschluss","82","0.136244524000851","0.11086786348642","0.161621184515281"
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: Rentner/Rentnerin","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: Rentner/Rentnerin","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: Rentner/Rentnerin","1984","66 und älter","Hauptschulabschluss","858","0.893248800131096","0.873806000264297","0.912691599997895"
"NE: Rentner/Rentnerin","1984","66 und älter","Realschulabschluss","154","0.886352774480591","0.839727563183889","0.932977985777293"
"NE: Rentner/Rentnerin","1984","66 und älter","(Fach-)Abitur","39","0.84516932769607","0.742833469510045","0.947505185882095"
"NE: Rentner/Rentnerin","1984","66 und älter","AkademikerInnen","54","0.912852613167946","0.843205145183631","0.982500081152261"
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"NE: Wehr- und Zivildienst","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"NE: Wehr- und Zivildienst","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","(noch) kein Abschluss","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","Hauptschulabschluss","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","Realschulabschluss","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","(Fach-)Abitur","","","",""
"NE: Wehr- und Zivildienst","1984","66 und älter","AkademikerInnen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","Hauptschulabschluss","198","0.0882084684554511","0.0764457785673826","0.0999711583435197"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","Realschulabschluss","155","0.148367814720021","0.12639119247101","0.170344436969031"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","(Fach-)Abitur","46","0.0868398251847973","0.063701873527027","0.109977776842568"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","(noch) kein Abschluss","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","Hauptschulabschluss","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","Realschulabschluss","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","(Fach-)Abitur","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","AkademikerInnen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","(noch) kein Abschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","Hauptschulabschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","Realschulabschluss","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","(Fach-)Abitur","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","AkademikerInnen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","(noch) kein Abschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","Hauptschulabschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","Realschulabschluss","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","(Fach-)Abitur","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","AkademikerInnen","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Volontäre, Praktikanten","1984","66 und älter","(noch) kein Abschluss","","","",""
"Volontäre, Praktikanten","1984","66 und älter","Hauptschulabschluss","","","",""
"Volontäre, Praktikanten","1984","66 und älter","Realschulabschluss","","","",""
"Volontäre, Praktikanten","1984","66 und älter","(Fach-)Abitur","","","",""
"Volontäre, Praktikanten","1984","66 und älter","AkademikerInnen","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","(noch) kein Abschluss","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","Hauptschulabschluss","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","Realschulabschluss","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","(Fach-)Abitur","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","AkademikerInnen","","","",""
"ungelernter Arbeiter","1984","16-34 Jahre alt","(noch) kein Abschluss","55","0.055947981495644","0.0363264474949093","0.0755695154963786"
"ungelernter Arbeiter","1984","16-34 Jahre alt","Hauptschulabschluss","163","0.0539107134179505","0.0445435665134993","0.0632778603224017"
"ungelernter Arbeiter","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"ungelernter Arbeiter","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"ungelernter Arbeiter","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"ungelernter Arbeiter","1984","35-65 Jahre alt","(noch) kein Abschluss","201","0.265321220349989","0.234035070975334","0.296607369724645"
"ungelernter Arbeiter","1984","35-65 Jahre alt","Hauptschulabschluss","264","0.0452061551839084","0.038828936256881","0.0515833741109357"
"ungelernter Arbeiter","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"ungelernter Arbeiter","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"ungelernter Arbeiter","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"ungelernter Arbeiter","1984","66 und älter","(noch) kein Abschluss","","","",""
"ungelernter Arbeiter","1984","66 und älter","Hauptschulabschluss","","","",""
"ungelernter Arbeiter","1984","66 und älter","Realschulabschluss","","","",""
"ungelernter Arbeiter","1984","66 und älter","(Fach-)Abitur","","","",""
"ungelernter Arbeiter","1984","66 und älter","AkademikerInnen","","","",""
"angelernter Arbeiter","1984","16-34 Jahre alt","(noch) kein Abschluss","81","0.0794360363956578","0.0563484490506992","0.102523623740616"
"angelernter Arbeiter","1984","16-34 Jahre alt","Hauptschulabschluss","354","0.125469514764148","0.111730350521573","0.139208679006723"
"angelernter Arbeiter","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"angelernter Arbeiter","1984","16-34 Jahre alt","(Fach-)Abitur","31","0.0331711097774021","0.0184565671232299","0.0478856524315744"
"angelernter Arbeiter","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"angelernter Arbeiter","1984","35-65 Jahre alt","(noch) kein Abschluss","238","0.27335883072163","0.241776518145444","0.304941143297816"
"angelernter Arbeiter","1984","35-65 Jahre alt","Hauptschulabschluss","673","0.123436293664666","0.113339327189779","0.133533260139553"
"angelernter Arbeiter","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"angelernter Arbeiter","1984","35-65 Jahre alt","(Fach-)Abitur","32","0.0518478924890027","0.0243085873075512","0.0793871976704542"
"angelernter Arbeiter","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"angelernter Arbeiter","1984","66 und älter","(noch) kein Abschluss","","","",""
"angelernter Arbeiter","1984","66 und älter","Hauptschulabschluss","","","",""
"angelernter Arbeiter","1984","66 und älter","Realschulabschluss","","","",""
"angelernter Arbeiter","1984","66 und älter","(Fach-)Abitur","","","",""
"angelernter Arbeiter","1984","66 und älter","AkademikerInnen","","","",""
"gelernte und Facharbeiter","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"gelernte und Facharbeiter","1984","16-34 Jahre alt","Hauptschulabschluss","364","0.182913756404647","0.166879055507275","0.198948457302019"
"gelernte und Facharbeiter","1984","16-34 Jahre alt","Realschulabschluss","43","0.0462635699591142","0.0332768696899852","0.0592502702282432"
"gelernte und Facharbeiter","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"gelernte und Facharbeiter","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"gelernte und Facharbeiter","1984","35-65 Jahre alt","(noch) kein Abschluss","35","0.0518763887974276","0.0361606528714031","0.0675921247234522"
"gelernte und Facharbeiter","1984","35-65 Jahre alt","Hauptschulabschluss","467","0.105403878051182","0.0959780495039709","0.114829706598393"
"gelernte und Facharbeiter","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"gelernte und Facharbeiter","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"gelernte und Facharbeiter","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"gelernte und Facharbeiter","1984","66 und älter","(noch) kein Abschluss","","","",""
"gelernte und Facharbeiter","1984","66 und älter","Hauptschulabschluss","","","",""
"gelernte und Facharbeiter","1984","66 und älter","Realschulabschluss","","","",""
"gelernte und Facharbeiter","1984","66 und älter","(Fach-)Abitur","","","",""
"gelernte und Facharbeiter","1984","66 und älter","AkademikerInnen","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","Hauptschulabschluss","93","0.0231217620232508","0.0185084968777279","0.0277350271687737"
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","(noch) kein Abschluss","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","Hauptschulabschluss","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","Realschulabschluss","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","(Fach-)Abitur","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","AkademikerInnen","","","",""
"Meister, Polier","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Meister, Polier","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Meister, Polier","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Meister, Polier","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Meister, Polier","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Meister, Polier","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Meister, Polier","1984","35-65 Jahre alt","Hauptschulabschluss","41","0.0114498597563273","0.0081841531112417","0.014715566401413"
"Meister, Polier","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Meister, Polier","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Meister, Polier","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Meister, Polier","1984","66 und älter","(noch) kein Abschluss","","","",""
"Meister, Polier","1984","66 und älter","Hauptschulabschluss","","","",""
"Meister, Polier","1984","66 und älter","Realschulabschluss","","","",""
"Meister, Polier","1984","66 und älter","(Fach-)Abitur","","","",""
"Meister, Polier","1984","66 und älter","AkademikerInnen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","(noch) kein Abschluss","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","Hauptschulabschluss","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","Realschulabschluss","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","(Fach-)Abitur","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","AkademikerInnen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","(noch) kein Abschluss","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","Hauptschulabschluss","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","Realschulabschluss","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","(Fach-)Abitur","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","AkademikerInnen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","66 und älter","(noch) kein Abschluss","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","66 und älter","Hauptschulabschluss","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","66 und älter","Realschulabschluss","","","",""
