"pgstib","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","66 und älter","kein Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Volontäre, Praktikanten","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Aspiranten (1990 Ost)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"ungelernter Arbeiter","1984","16-34 Jahre alt","kein Migrationshintergrund","86","0.0278484854703897","0.0220647889182966","0.0336321820224828"
"ungelernter Arbeiter","1984","16-34 Jahre alt","direkter Migrationshintergrund","161","0.0861561384443665","0.0714474612248279","0.100864815663905"
"ungelernter Arbeiter","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"ungelernter Arbeiter","1984","35-65 Jahre alt","kein Migrationshintergrund","131","0.0298731511883804","0.02480372682708","0.0349425755496809"
"ungelernter Arbeiter","1984","35-65 Jahre alt","direkter Migrationshintergrund","352","0.122612868076793","0.108176751188658","0.137048984964929"
"ungelernter Arbeiter","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"ungelernter Arbeiter","1984","66 und älter","kein Migrationshintergrund","","","",""
"ungelernter Arbeiter","1984","66 und älter","direkter Migrationshintergrund","","","",""
"ungelernter Arbeiter","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"angelernter Arbeiter","1984","16-34 Jahre alt","kein Migrationshintergrund","190","0.0610151798557888","0.0526015003739057","0.0694288593376719"
"angelernter Arbeiter","1984","16-34 Jahre alt","direkter Migrationshintergrund","300","0.188349077125663","0.167853464837568","0.208844689413757"
"angelernter Arbeiter","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"angelernter Arbeiter","1984","35-65 Jahre alt","kein Migrationshintergrund","354","0.0820361592167621","0.0738643293948827","0.0902079890386416"
"angelernter Arbeiter","1984","35-65 Jahre alt","direkter Migrationshintergrund","615","0.235237354644794","0.21656912172887","0.253905587560717"
"angelernter Arbeiter","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"angelernter Arbeiter","1984","66 und älter","kein Migrationshintergrund","","","",""
"angelernter Arbeiter","1984","66 und älter","direkter Migrationshintergrund","","","",""
"angelernter Arbeiter","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"gelernte und Facharbeiter","1984","16-34 Jahre alt","kein Migrationshintergrund","300","0.101653428516971","0.0910310761757631","0.112275780858179"
"gelernte und Facharbeiter","1984","16-34 Jahre alt","direkter Migrationshintergrund","136","0.100326415606258","0.0845777182181122","0.116075112994403"
"gelernte und Facharbeiter","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"gelernte und Facharbeiter","1984","35-65 Jahre alt","kein Migrationshintergrund","339","0.0773414269454142","0.0693866049113756","0.0852962489794527"
"gelernte und Facharbeiter","1984","35-65 Jahre alt","direkter Migrationshintergrund","211","0.09853008287537","0.0854127126216351","0.111647453129105"
"gelernte und Facharbeiter","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"gelernte und Facharbeiter","1984","66 und älter","kein Migrationshintergrund","","","",""
"gelernte und Facharbeiter","1984","66 und älter","direkter Migrationshintergrund","","","",""
"gelernte und Facharbeiter","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Vorarbeiter, Kolonnenführer","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","kein Migrationshintergrund","77","0.0172225766332131","0.0133483902035236","0.0210967630629026"
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Vorarbeiter, Kolonnenführer","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","kein Migrationshintergrund","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Vorarbeiter, Kolonnenführer","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Meister, Polier","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Meister, Polier","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Meister, Polier","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Meister, Polier","1984","35-65 Jahre alt","kein Migrationshintergrund","43","0.00986465021706855","0.00692163847201134","0.0128076619621258"
"Meister, Polier","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Meister, Polier","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Meister, Polier","1984","66 und älter","kein Migrationshintergrund","","","",""
"Meister, Polier","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Meister, Polier","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","66 und älter","kein Migrationshintergrund","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"selbständiger Landwirt","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt","1984","35-65 Jahre alt","kein Migrationshintergrund","46","0.011217880642354","0.00808163856965085","0.0143541227150572"
"selbständiger Landwirt","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt","1984","66 und älter","kein Migrationshintergrund","","","",""
"selbständiger Landwirt","1984","66 und älter","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","66 und älter","kein Migrationshintergrund","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","66 und älter","kein Migrationshintergrund","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","66 und älter","kein Migrationshintergrund","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker","1984","35-65 Jahre alt","kein Migrationshintergrund","57","0.0126211894667856","0.00929692236518512","0.0159454565683861"
"Freiberufler, Akademiker","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker","1984","66 und älter","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","66 und älter","kein Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"sonstige selbständiger","1984","16-34 Jahre alt","kein Migrationshintergrund","46","0.014320327563528","0.0101441197057406","0.0184965354213154"
"sonstige selbständiger","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"sonstige selbständiger","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
