"pgstib","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","maennlich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","weiblich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","maennlich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","weiblich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Realschulabschluss","maennlich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","Realschulabschluss","weiblich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","maennlich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","weiblich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","AkademikerInnen","maennlich","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1984","AkademikerInnen","weiblich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","maennlich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","weiblich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","maennlich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","weiblich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Realschulabschluss","maennlich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","Realschulabschluss","weiblich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","maennlich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","weiblich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","AkademikerInnen","maennlich","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1984","AkademikerInnen","weiblich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","maennlich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","weiblich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","maennlich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","weiblich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Realschulabschluss","maennlich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","Realschulabschluss","weiblich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","maennlich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","weiblich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","AkademikerInnen","maennlich","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1984","AkademikerInnen","weiblich","","","",""
"Freiberufler, Akademiker","1984","(noch) kein Abschluss","maennlich","","","",""
"Freiberufler, Akademiker","1984","(noch) kein Abschluss","weiblich","","","",""
"Freiberufler, Akademiker","1984","Hauptschulabschluss","maennlich","","","",""
"Freiberufler, Akademiker","1984","Hauptschulabschluss","weiblich","","","",""
"Freiberufler, Akademiker","1984","Realschulabschluss","maennlich","","","",""
"Freiberufler, Akademiker","1984","Realschulabschluss","weiblich","","","",""
"Freiberufler, Akademiker","1984","(Fach-)Abitur","maennlich","","","",""
"Freiberufler, Akademiker","1984","(Fach-)Abitur","weiblich","","","",""
"Freiberufler, Akademiker","1984","AkademikerInnen","maennlich","42","0.0721339495212083","0.0502526331054721","0.0940152659369445"
"Freiberufler, Akademiker","1984","AkademikerInnen","weiblich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","maennlich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","weiblich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","maennlich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","weiblich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Realschulabschluss","maennlich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","Realschulabschluss","weiblich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","maennlich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","weiblich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","AkademikerInnen","maennlich","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1984","AkademikerInnen","weiblich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","maennlich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","weiblich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","maennlich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","weiblich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Realschulabschluss","maennlich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","Realschulabschluss","weiblich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","maennlich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","weiblich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","AkademikerInnen","maennlich","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1984","AkademikerInnen","weiblich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","maennlich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","(noch) kein Abschluss","weiblich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","maennlich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Hauptschulabschluss","weiblich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Realschulabschluss","maennlich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","Realschulabschluss","weiblich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","maennlich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","(Fach-)Abitur","weiblich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","AkademikerInnen","maennlich","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1984","AkademikerInnen","weiblich","","","",""
"sonstige selbständiger","1984","(noch) kein Abschluss","maennlich","","","",""
"sonstige selbständiger","1984","(noch) kein Abschluss","weiblich","","","",""
"sonstige selbständiger","1984","Hauptschulabschluss","maennlich","145","0.0422993146805506","0.0356483944641128","0.0489502348969884"
"sonstige selbständiger","1984","Hauptschulabschluss","weiblich","50","0.0127521757122855","0.00916624692175268","0.0163381045028183"
"sonstige selbständiger","1984","Realschulabschluss","maennlich","43","0.0543982836704395","0.0385325563011607","0.0702640110397182"
"sonstige selbständiger","1984","Realschulabschluss","weiblich","","","",""
