"ple0044_h","year","bula_h","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1985","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Niedersachsen","kein Migrationshintergrund","365","0.377458965542698","0.34655237838855","0.408365552696847"
"Ja","1985","Niedersachsen","direkter Migrationshintergrund","53","0.389382143094645","0.312369771716743","0.466394514472547"
"Ja","1985","Niedersachsen","indirekter Migrationshintergrund","3","","",""
"Ja","1985","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Bremen","kein Migrationshintergrund","27","","",""
"Ja","1985","Bremen","direkter Migrationshintergrund","5","","",""
"Ja","1985","Bremen","indirekter Migrationshintergrund","","","",""
"Ja","1985","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Nordrhein-Westfalen","kein Migrationshintergrund","856","0.402061989819917","0.381185513248993","0.422938466390841"
"Ja","1985","Nordrhein-Westfalen","direkter Migrationshintergrund","303","0.361880211786631","0.328580795431021","0.39517962814224"
"Ja","1985","Nordrhein-Westfalen","indirekter Migrationshintergrund","14","","",""
"Ja","1985","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Hessen","kein Migrationshintergrund","291","0.403844621263059","0.367573806337841","0.440115436188278"
"Ja","1985","Hessen","direkter Migrationshintergrund","200","0.38493188307782","0.338397174814474","0.431466591341165"
"Ja","1985","Hessen","indirekter Migrationshintergrund","4","","",""
"Ja","1985","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","244","0.38179542022532","0.343978607018078","0.419612233432561"
"Ja","1985","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","60","0.38002354400738","0.296261727651267","0.463785360363493"
"Ja","1985","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","2","","",""
"Ja","1985","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Baden-Württemberg","kein Migrationshintergrund","455","0.365912588399242","0.338905626666641","0.392919550131844"
"Ja","1985","Baden-Württemberg","direkter Migrationshintergrund","314","0.382473912945151","0.348476816557061","0.416471009333241"
"Ja","1985","Baden-Württemberg","indirekter Migrationshintergrund","16","","",""
"Ja","1985","Baden-Württemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Bayern","kein Migrationshintergrund","594","0.399491077695445","0.374579677506011","0.424402477884879"
"Ja","1985","Bayern","direkter Migrationshintergrund","157","0.365275106979302","0.316989331193791","0.413560882764813"
"Ja","1985","Bayern","indirekter Migrationshintergrund","9","","",""
"Ja","1985","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Saarland","kein Migrationshintergrund","","","",""
"Ja","1985","Saarland","direkter Migrationshintergrund","","","",""
"Ja","1985","Saarland","indirekter Migrationshintergrund","","","",""
"Ja","1985","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Berlin","kein Migrationshintergrund","122","0.481599621839478","0.420747751330328","0.542451492348627"
"Ja","1985","Berlin","direkter Migrationshintergrund","46","0.404809887565327","0.309551897228404","0.50006787790225"
"Ja","1985","Berlin","indirekter Migrationshintergrund","","","",""
"Ja","1985","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Brandenburg","kein Migrationshintergrund","","","",""
"Ja","1985","Brandenburg","direkter Migrationshintergrund","","","",""
"Ja","1985","Brandenburg","indirekter Migrationshintergrund","","","",""
"Ja","1985","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Ja","1985","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Ja","1985","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Ja","1985","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Sachsen","kein Migrationshintergrund","","","",""
"Ja","1985","Sachsen","direkter Migrationshintergrund","","","",""
"Ja","1985","Sachsen","indirekter Migrationshintergrund","","","",""
"Ja","1985","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Ja","1985","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Ja","1985","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Ja","1985","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1985","Thüringen","kein Migrationshintergrund","","","",""
"Ja","1985","Thüringen","direkter Migrationshintergrund","","","",""
"Ja","1985","Thüringen","indirekter Migrationshintergrund","","","",""
"Ja","1985","Thüringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Schleswig-Holstein","kein Migrationshintergrund","99","0.335591779191854","0.279883889689583","0.391299668694126"
"Nein","1986","Schleswig-Holstein","direkter Migrationshintergrund","23","","",""
"Nein","1986","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Nein","1986","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Hamburg","kein Migrationshintergrund","43","0.236507243552489","0.173185958014855","0.299828529090123"
"Nein","1986","Hamburg","direkter Migrationshintergrund","20","","",""
"Nein","1986","Hamburg","indirekter Migrationshintergrund","","","",""
"Nein","1986","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Niedersachsen","kein Migrationshintergrund","304","0.307159448853788","0.277252398479473","0.337066499228103"
"Nein","1986","Niedersachsen","direkter Migrationshintergrund","70","0.428097028949098","0.354150779614532","0.502043278283665"
"Nein","1986","Niedersachsen","indirekter Migrationshintergrund","5","","",""
"Nein","1986","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Bremen","kein Migrationshintergrund","25","","",""
"Nein","1986","Bremen","direkter Migrationshintergrund","13","","",""
"Nein","1986","Bremen","indirekter Migrationshintergrund","","","",""
"Nein","1986","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Nordrhein-Westfalen","kein Migrationshintergrund","643","0.300041345445009","0.280051626981905","0.320031063908113"
"Nein","1986","Nordrhein-Westfalen","direkter Migrationshintergrund","268","0.328454761388355","0.295108586510298","0.361800936266411"
"Nein","1986","Nordrhein-Westfalen","indirekter Migrationshintergrund","17","","",""
"Nein","1986","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Hessen","kein Migrationshintergrund","213","0.312731910852747","0.277200831069226","0.348262990636269"
"Nein","1986","Hessen","direkter Migrationshintergrund","131","0.318334560413034","0.271186916964313","0.365482203861755"
"Nein","1986","Hessen","indirekter Migrationshintergrund","2","","",""
"Nein","1986","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","196","0.292956138694663","0.25733245713398","0.328579820255346"
"Nein","1986","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","44","0.356687623694916","0.272375074193755","0.441000173196077"
"Nein","1986","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","3","","",""
"Nein","1986","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Baden-Württemberg","kein Migrationshintergrund","429","0.352681336199191","0.325291392553874","0.380071279844508"
"Nein","1986","Baden-Württemberg","direkter Migrationshintergrund","236","0.296087160080782","0.263587208121659","0.328587112039906"
"Nein","1986","Baden-Württemberg","indirekter Migrationshintergrund","16","","",""
"Nein","1986","Baden-Württemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Bayern","kein Migrationshintergrund","482","0.337030024896177","0.311673561235018","0.362386488557336"
"Nein","1986","Bayern","direkter Migrationshintergrund","133","0.316199854855194","0.268496701744712","0.363903007965676"
"Nein","1986","Bayern","indirekter Migrationshintergrund","13","","",""
"Nein","1986","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Saarland","kein Migrationshintergrund","","","",""
"Nein","1986","Saarland","direkter Migrationshintergrund","","","",""
"Nein","1986","Saarland","indirekter Migrationshintergrund","","","",""
"Nein","1986","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Berlin","kein Migrationshintergrund","88","0.318116007279786","0.25955710009353","0.376674914466043"
"Nein","1986","Berlin","direkter Migrationshintergrund","45","0.378976744059204","0.286184077835683","0.471769410282725"
"Nein","1986","Berlin","indirekter Migrationshintergrund","","","",""
"Nein","1986","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Brandenburg","kein Migrationshintergrund","","","",""
"Nein","1986","Brandenburg","direkter Migrationshintergrund","","","",""
"Nein","1986","Brandenburg","indirekter Migrationshintergrund","","","",""
"Nein","1986","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Nein","1986","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Nein","1986","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Nein","1986","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Sachsen","kein Migrationshintergrund","","","",""
"Nein","1986","Sachsen","direkter Migrationshintergrund","","","",""
"Nein","1986","Sachsen","indirekter Migrationshintergrund","","","",""
"Nein","1986","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Nein","1986","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Nein","1986","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Nein","1986","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1986","Thüringen","kein Migrationshintergrund","","","",""
"Nein","1986","Thüringen","direkter Migrationshintergrund","","","",""
"Nein","1986","Thüringen","indirekter Migrationshintergrund","","","",""
"Nein","1986","Thüringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Schleswig-Holstein","kein Migrationshintergrund","177","0.664408220808146","0.608700331305874","0.720116110310417"
"Ja","1986","Schleswig-Holstein","direkter Migrationshintergrund","15","","",""
"Ja","1986","Schleswig-Holstein","indirekter Migrationshintergrund","1","","",""
"Ja","1986","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Hamburg","kein Migrationshintergrund","130","0.763492756447511","0.700171470909877","0.826814041985145"
"Ja","1986","Hamburg","direkter Migrationshintergrund","46","0.72837406463803","0.62106436547001","0.835683763806049"
"Ja","1986","Hamburg","indirekter Migrationshintergrund","2","","",""
"Ja","1986","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Niedersachsen","kein Migrationshintergrund","610","0.692840551146212","0.662933500771897","0.722747601520527"
"Ja","1986","Niedersachsen","direkter Migrationshintergrund","102","0.571902971050902","0.497956721716335","0.645849220385468"
"Ja","1986","Niedersachsen","indirekter Migrationshintergrund","5","","",""
"Ja","1986","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Bremen","kein Migrationshintergrund","59","0.700964879374136","0.603056992742991","0.79887276600528"
"Ja","1986","Bremen","direkter Migrationshintergrund","11","","",""
"Ja","1986","Bremen","indirekter Migrationshintergrund","","","",""
"Ja","1986","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Nordrhein-Westfalen","kein Migrationshintergrund","1376","0.699958654554991","0.679968936091887","0.719948373018095"
"Ja","1986","Nordrhein-Westfalen","direkter Migrationshintergrund","494","0.671545238611646","0.638199063733589","0.704891413489702"
"Ja","1986","Nordrhein-Westfalen","indirekter Migrationshintergrund","26","","",""
"Ja","1986","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Hessen","kein Migrationshintergrund","441","0.687268089147253","0.651737009363731","0.722799168930774"
"Ja","1986","Hessen","direkter Migrationshintergrund","244","0.681665439586966","0.634517796138245","0.728813083035687"
"Ja","1986","Hessen","indirekter Migrationshintergrund","7","","",""
"Ja","1986","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","431","0.707043861305337","0.671420179744654","0.74266754286602"
"Ja","1986","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","80","0.643312376305084","0.558999826803923","0.727624925806245"
"Ja","1986","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","6","","",""
"Ja","1986","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Baden-Württemberg","kein Migrationshintergrund","740","0.647318663800809","0.619928720155492","0.674708607446126"
"Ja","1986","Baden-Württemberg","direkter Migrationshintergrund","522","0.703912839919218","0.671412887960094","0.736412791878341"
"Ja","1986","Baden-Württemberg","indirekter Migrationshintergrund","27","","",""
"Ja","1986","Baden-Württemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Bayern","kein Migrationshintergrund","853","0.662969975103823","0.637613511442664","0.688326438764982"
"Ja","1986","Bayern","direkter Migrationshintergrund","232","0.683800145144806","0.636096992034324","0.731503298255288"
"Ja","1986","Bayern","indirekter Migrationshintergrund","18","","",""
"Ja","1986","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Saarland","kein Migrationshintergrund","","","",""
"Ja","1986","Saarland","direkter Migrationshintergrund","","","",""
"Ja","1986","Saarland","indirekter Migrationshintergrund","","","",""
"Ja","1986","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Berlin","kein Migrationshintergrund","155","0.681883992720214","0.623325085533957","0.74044289990647"
"Ja","1986","Berlin","direkter Migrationshintergrund","60","0.621023255940796","0.528230589717275","0.713815922164317"
"Ja","1986","Berlin","indirekter Migrationshintergrund","3","","",""
"Ja","1986","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Brandenburg","kein Migrationshintergrund","","","",""
"Ja","1986","Brandenburg","direkter Migrationshintergrund","","","",""
"Ja","1986","Brandenburg","indirekter Migrationshintergrund","","","",""
"Ja","1986","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Ja","1986","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Ja","1986","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Ja","1986","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Sachsen","kein Migrationshintergrund","","","",""
"Ja","1986","Sachsen","direkter Migrationshintergrund","","","",""
"Ja","1986","Sachsen","indirekter Migrationshintergrund","","","",""
"Ja","1986","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Ja","1986","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Ja","1986","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Ja","1986","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1986","Thüringen","kein Migrationshintergrund","","","",""
"Ja","1986","Thüringen","direkter Migrationshintergrund","","","",""
"Ja","1986","Thüringen","indirekter Migrationshintergrund","","","",""
"Ja","1986","Thüringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Schleswig-Holstein","kein Migrationshintergrund","83","0.288052642376397","0.234036186993914","0.34206909775888"
"Nein","1987","Schleswig-Holstein","direkter Migrationshintergrund","10","","",""
"Nein","1987","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Nein","1987","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Hamburg","kein Migrationshintergrund","45","0.27785232478728","0.207333954318773","0.348370695255786"
"Nein","1987","Hamburg","direkter Migrationshintergrund","16","","",""
"Nein","1987","Hamburg","indirekter Migrationshintergrund","1","","",""
"Nein","1987","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Niedersachsen","kein Migrationshintergrund","280","0.287100450512014","0.257657891471153","0.316543009552876"
"Nein","1987","Niedersachsen","direkter Migrationshintergrund","56","0.348214629832263","0.276175366848661","0.420253892815865"
"Nein","1987","Niedersachsen","indirekter Migrationshintergrund","5","","",""
"Nein","1987","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Bremen","kein Migrationshintergrund","20","","",""
"Nein","1987","Bremen","direkter Migrationshintergrund","10","","",""
"Nein","1987","Bremen","indirekter Migrationshintergrund","","","",""
"Nein","1987","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Nordrhein-Westfalen","kein Migrationshintergrund","575","0.275427365814942","0.255730409173507","0.295124322456377"
"Nein","1987","Nordrhein-Westfalen","direkter Migrationshintergrund","202","0.248923821996418","0.217999274993321","0.279848368999515"
"Nein","1987","Nordrhein-Westfalen","indirekter Migrationshintergrund","10","","",""
"Nein","1987","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Hessen","kein Migrationshintergrund","175","0.263166122869913","0.228943025191901","0.297389220547924"
"Nein","1987","Hessen","direkter Migrationshintergrund","143","0.268251772216248","0.224448762159334","0.312054782273162"
"Nein","1987","Hessen","indirekter Migrationshintergrund","3","","",""
"Nein","1987","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","180","0.268182677966529","0.233169846187232","0.303195509745826"
"Nein","1987","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","43","0.404476480186609","0.319452936511853","0.489500023861366"
"Nein","1987","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","2","","",""
"Nein","1987","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Baden-Württemberg","kein Migrationshintergrund","375","0.310510455415166","0.283603727823152","0.33741718300718"
"Nein","1987","Baden-Württemberg","direkter Migrationshintergrund","221","0.277380425352744","0.245253331420842","0.309507519284645"
"Nein","1987","Baden-Württemberg","indirekter Migrationshintergrund","13","","",""
"Nein","1987","Baden-Württemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Bayern","kein Migrationshintergrund","411","0.29349475301807","0.268635990875735","0.318353515160404"
"Nein","1987","Bayern","direkter Migrationshintergrund","115","0.313295959945639","0.264977992316952","0.361613927574326"
"Nein","1987","Bayern","indirekter Migrationshintergrund","12","","",""
"Nein","1987","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Saarland","kein Migrationshintergrund","","","",""
"Nein","1987","Saarland","direkter Migrationshintergrund","","","",""
"Nein","1987","Saarland","indirekter Migrationshintergrund","","","",""
"Nein","1987","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Berlin","kein Migrationshintergrund","57","0.217863102710357","0.165308936856589","0.270417268564124"
"Nein","1987","Berlin","direkter Migrationshintergrund","38","0.389661279924454","0.299745077378177","0.479577482470731"
"Nein","1987","Berlin","indirekter Migrationshintergrund","","","",""
"Nein","1987","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Brandenburg","kein Migrationshintergrund","","","",""
"Nein","1987","Brandenburg","direkter Migrationshintergrund","","","",""
"Nein","1987","Brandenburg","indirekter Migrationshintergrund","","","",""
"Nein","1987","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Nein","1987","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Nein","1987","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Nein","1987","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Sachsen","kein Migrationshintergrund","","","",""
"Nein","1987","Sachsen","direkter Migrationshintergrund","","","",""
"Nein","1987","Sachsen","indirekter Migrationshintergrund","","","",""
"Nein","1987","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Nein","1987","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Nein","1987","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Nein","1987","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1987","Thüringen","kein Migrationshintergrund","","","",""
"Nein","1987","Thüringen","direkter Migrationshintergrund","","","",""
"Nein","1987","Thüringen","indirekter Migrationshintergrund","","","",""
"Nein","1987","Thüringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","Schleswig-Holstein","kein Migrationshintergrund","187","0.711947357623603","0.65793090224112","0.765963813006086"
"Ja","1987","Schleswig-Holstein","direkter Migrationshintergrund","31","0.698495533632624","0.558025122222262","0.838965945042986"
"Ja","1987","Schleswig-Holstein","indirekter Migrationshintergrund","2","","",""
"Ja","1987","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","Hamburg","kein Migrationshintergrund","110","0.72214767521272","0.651629304744214","0.792666045681227"
