"ple0044_h","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2001","kein Migrationshintergrund","5356","0.287614484162828","0.280947736934137","0.294281231391519"
"keinen Tag","2001","direkter Migrationshintergrund","785","0.287288453965587","0.270551920022957","0.304024987908218"
"keinen Tag","2001","indirekter Migrationshintergrund","219","","",""
"keinen Tag","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","kein Migrationshintergrund","12353","","",""
"Ja","2001","direkter Migrationshintergrund","2023","","",""
"Ja","2001","indirekter Migrationshintergrund","520","0.70424877143447","0.671344506029012","0.737153036839928"
"Ja","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2002","kein Migrationshintergrund","5931","0.284785708066319","0.278339048790898","0.291232367341741"
"keinen Tag","2002","direkter Migrationshintergrund","752","0.270619709749969","0.253843029822121","0.287396389677817"
"keinen Tag","2002","indirekter Migrationshintergrund","229","","",""
"keinen Tag","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","kein Migrationshintergrund","12896","","",""
"Ja","2002","direkter Migrationshintergrund","1942","","",""
"Ja","2002","indirekter Migrationshintergrund","513","0.699646523463502","0.666662638265672","0.732630408661331"
"Ja","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2003","kein Migrationshintergrund","5536","0.277115656204779","0.270616057805025","0.283615254604534"
"keinen Tag","2003","direkter Migrationshintergrund","751","0.296246036906527","0.278436439541316","0.314055634271738"
"keinen Tag","2003","indirekter Migrationshintergrund","236","","",""
"keinen Tag","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2003","kein Migrationshintergrund","12680","","",""
"Ja","2003","direkter Migrationshintergrund","1774","","",""
"Ja","2003","indirekter Migrationshintergrund","512","0.697114665707045","0.664184908818882","0.730044422595208"
"Ja","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2004","kein Migrationshintergrund","5483","0.281452363421563","0.274838661514994","0.288066065328132"
"keinen Tag","2004","direkter Migrationshintergrund","693","0.274599730278309","0.25697726559848","0.292222194958138"
"keinen Tag","2004","indirekter Migrationshintergrund","242","","",""
"keinen Tag","2004","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2004","kein Migrationshintergrund","12278","","",""
"Ja","2004","direkter Migrationshintergrund","1771","","",""
"Ja","2004","indirekter Migrationshintergrund","538","0.718905565354345","0.687358218839167","0.750452911869523"
"Ja","2004","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2005","kein Migrationshintergrund","5223","0.283961613821974","0.277198005919803","0.290725221724145"
"keinen Tag","2005","direkter Migrationshintergrund","650","0.283784421552367","0.265367731103592","0.302201112001142"
"keinen Tag","2005","indirekter Migrationshintergrund","229","","",""
"keinen Tag","2005","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2005","kein Migrationshintergrund","11851","","",""
"Ja","2005","direkter Migrationshintergrund","1652","","",""
"Ja","2005","indirekter Migrationshintergrund","576","0.732725858128229","0.702155580569743","0.763296135686714"
"Ja","2005","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2006","kein Migrationshintergrund","5598","0.288617728634533","0.282055942298614","0.295179514970452"
"keinen Tag","2006","direkter Migrationshintergrund","670","0.284735279253359","0.266351845436692","0.303118713070026"
"keinen Tag","2006","indirekter Migrationshintergrund","235","","",""
"keinen Tag","2006","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2006","kein Migrationshintergrund","12720","","",""
"Ja","2006","direkter Migrationshintergrund","1645","","",""
"Ja","2006","indirekter Migrationshintergrund","559","0.725891914603822","0.694865274906497","0.756918554301147"
"Ja","2006","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2007","kein Migrationshintergrund","5130","0.282687367884972","0.275944983980345","0.2894297517896"
"keinen Tag","2007","direkter Migrationshintergrund","604","0.299906404456045","0.280095098714281","0.319717710197809"
"keinen Tag","2007","indirekter Migrationshintergrund","237","","",""
"keinen Tag","2007","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2007","kein Migrationshintergrund","12005","","",""
"Ja","2007","direkter Migrationshintergrund","1451","","",""
"Ja","2007","indirekter Migrationshintergrund","524","0.697019249774863","0.664369063217569","0.729669436332157"
"Ja","2007","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2008","kein Migrationshintergrund","4681","0.272241996595389","0.265415266113621","0.279068727077157"
"keinen Tag","2008","direkter Migrationshintergrund","551","0.303334986604286","0.282381664551894","0.324288308656679"
"keinen Tag","2008","indirekter Migrationshintergrund","227","","",""
"keinen Tag","2008","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2008","kein Migrationshintergrund","11650","","",""
"Ja","2008","direkter Migrationshintergrund","1298","","",""
"Ja","2008","indirekter Migrationshintergrund","520","0.678883202000773","0.645400782464674","0.712365621536872"
"Ja","2008","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2009","kein Migrationshintergrund","4233","0.265131745702194","0.258143253926534","0.272120237477854"
"keinen Tag","2009","direkter Migrationshintergrund","476","0.303867994008414","0.28145772278492","0.326278265231907"
"keinen Tag","2009","indirekter Migrationshintergrund","211","","",""
"keinen Tag","2009","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","kein Migrationshintergrund","11092","","",""
"Ja","2009","direkter Migrationshintergrund","1142","","",""
"Ja","2009","indirekter Migrationshintergrund","476","0.704462069870118","0.670342374627345","0.73858176511289"
"Ja","2009","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2010","kein Migrationshintergrund","5746","0.268731467280728","0.26253973871416","0.274923195847295"
"keinen Tag","2010","direkter Migrationshintergrund","848","0.289687701426469","0.273057149032438","0.306318253820501"
"keinen Tag","2010","indirekter Migrationshintergrund","332","0.305676431200535","0.278827393821761","0.332525468579309"
"keinen Tag","2010","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2010","kein Migrationshintergrund","13945","","",""
"Ja","2010","direkter Migrationshintergrund","2010","","",""
"Ja","2010","indirekter Migrationshintergrund","799","0.694323568799465","0.667474531420691","0.721172606178239"
"Ja","2010","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2011","kein Migrationshintergrund","3939","0.186563220422374","0.18075354735224","0.192372893492508"
"keinen Tag","2011","direkter Migrationshintergrund","721","0.229265161131059","0.21347648202785","0.245053840234267"
"keinen Tag","2011","indirekter Migrationshintergrund","236","","",""
"keinen Tag","2011","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","kein Migrationshintergrund","13333","","",""
"Ja","2011","direkter Migrationshintergrund","2002","","",""
"Ja","2011","indirekter Migrationshintergrund","714","0.770502322311273","0.743762260181227","0.797242384441319"
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2012","kein Migrationshintergrund","6266","0.256128457680294","0.250490688385268","0.261766226975319"
"keinen Tag","2012","direkter Migrationshintergrund","889","0.284235715101421","0.268124917224174","0.300346512978668"
"keinen Tag","2012","indirekter Migrationshintergrund","356","0.273125853604739","0.248504110976404","0.297747596233074"
"keinen Tag","2012","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2012","kein Migrationshintergrund","16761","","",""
"Ja","2012","direkter Migrationshintergrund","2122","","",""
"Ja","2012","indirekter Migrationshintergrund","902","0.726874146395261","0.702252403766926","0.751495889023596"
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2013","kein Migrationshintergrund","5732","0.241310978257979","0.235640958480862","0.246980998035097"
"keinen Tag","2013","direkter Migrationshintergrund","1962","","",""
"keinen Tag","2013","indirekter Migrationshintergrund","557","0.265074883393581","0.246188396413622","0.28396137037354"
"keinen Tag","2013","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2013","kein Migrationshintergrund","16144","","",""
"Ja","2013","direkter Migrationshintergrund","4336","0.718438225505769","0.707330418499986","0.729546032511552"
"Ja","2013","indirekter Migrationshintergrund","1541","","",""
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2014","kein Migrationshintergrund","5266","0.250266054895932","0.24425029228172","0.256281817510144"
"keinen Tag","2014","direkter Migrationshintergrund","2199","","",""
"keinen Tag","2014","indirekter Migrationshintergrund","670","0.378837495314422","0.356142054359894","0.401532936268949"
"keinen Tag","2014","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2014","kein Migrationshintergrund","14651","","",""
"Ja","2014","direkter Migrationshintergrund","2828","","",""
"Ja","2014","indirekter Migrationshintergrund","1085","","",""
"Ja","2014","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2015","kein Migrationshintergrund","4841","0.246749909387921","0.240615099961386","0.252884718814456"
"keinen Tag","2015","direkter Migrationshintergrund","1865","","",""
"keinen Tag","2015","indirekter Migrationshintergrund","445","0.263208287653913","0.241991909967915","0.284424665339911"
"keinen Tag","2015","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2015","kein Migrationshintergrund","14130","","",""
"Ja","2015","direkter Migrationshintergrund","3955","0.716339430856567","0.704758445501254","0.727920416211879"
"Ja","2015","indirekter Migrationshintergrund","1210","","",""
"Ja","2015","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2016","kein Migrationshintergrund","4454","0.246990674881264","0.2406225694677","0.253358780294829"
"keinen Tag","2016","direkter Migrationshintergrund","1471","","",""
"keinen Tag","2016","indirekter Migrationshintergrund","442","0.282492420935429","0.260021413115648","0.304963428755211"
"keinen Tag","2016","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2016","kein Migrationshintergrund","13164","","",""
"Ja","2016","direkter Migrationshintergrund","3334","0.713552002408565","0.700768875369795","0.726335129447335"
"Ja","2016","indirekter Migrationshintergrund","1100","","",""
"Ja","2016","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2017","kein Migrationshintergrund","4806","0.233137214898051","0.227273987745835","0.239000442050267"
"keinen Tag","2017","direkter Migrationshintergrund","1366","","",""
"keinen Tag","2017","indirekter Migrationshintergrund","441","0.260360950675527","0.239389284527957","0.281332616823097"
"keinen Tag","2017","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2017","kein Migrationshintergrund","15172","","",""
"Ja","2017","direkter Migrationshintergrund","3212","0.71887890511568","0.705856692419312","0.731901117812048"
"Ja","2017","indirekter Migrationshintergrund","1241","","",""
"Ja","2017","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2018","kein Migrationshintergrund","4535","0.222376710214667","0.216510704682858","0.228242715746476"
"keinen Tag","2018","direkter Migrationshintergrund","1284","","",""
"keinen Tag","2018","indirekter Migrationshintergrund","439","0.275616293648867","0.254288001224836","0.296944586072898"
"keinen Tag","2018","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2018","kein Migrationshintergrund","14770","","",""
"Ja","2018","direkter Migrationshintergrund","3079","0.729809235228465","0.716632876435165","0.742985594021764"
"Ja","2018","indirekter Migrationshintergrund","1247","","",""
"Ja","2018","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2019","kein Migrationshintergrund","5046","0.220458429145015","0.214695625550406","0.226221232739623"
"keinen Tag","2019","direkter Migrationshintergrund","1101","","",""
"keinen Tag","2019","indirekter Migrationshintergrund","531","0.277816788409368","0.257106936667786","0.298526640150949"
"keinen Tag","2019","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2019","kein Migrationshintergrund","14833","","",""
"Ja","2019","direkter Migrationshintergrund","2708","","",""
"Ja","2019","indirekter Migrationshintergrund","1266","","",""
"Ja","2019","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","2020","kein Migrationshintergrund","4613","0.223313409765715","0.2172794438718","0.229347375659629"
"keinen Tag","2020","direkter Migrationshintergrund","3178","0.28396306678017","0.274017817739018","0.293908315821323"
"keinen Tag","2020","indirekter Migrationshintergrund","491","0.282703718970737","0.260829329462131","0.304578108479343"
"keinen Tag","2020","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2020","kein Migrationshintergrund","13687","","",""
"Ja","2020","direkter Migrationshintergrund","4719","0.71603693321983","0.706091684178677","0.725982182260982"
"Ja","2020","indirekter Migrationshintergrund","1137","","",""
"Ja","2020","Migrationshintergrund - n. w. differenzierbar","","","",""
