"ple0044_h","year","age_gr","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","1986","66 +","indirekter Migrationshintergrund","2","","",""
"Ja","1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1987","17-34","kein Migrationshintergrund","900","0.332320927939072","0.314699558986386","0.349942296891758"
"keinen Tag","1987","17-34","direkter Migrationshintergrund","322","0.305821587232241","0.278136436137298","0.333506738327183"
"keinen Tag","1987","17-34","indirekter Migrationshintergrund","37","0.245281436393037","0.17525065914376","0.315312213642315"
"keinen Tag","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1987","35-65","kein Migrationshintergrund","1276","0.356705334771977","0.340940941014185","0.37246972852977"
"keinen Tag","1987","35-65","direkter Migrationshintergrund","530","0.31539071776658","0.29301728196363","0.337764153569529"
"keinen Tag","1987","35-65","indirekter Migrationshintergrund","9","","",""
"keinen Tag","1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1987","66 +","kein Migrationshintergrund","25","","",""
"keinen Tag","1987","66 +","direkter Migrationshintergrund","2","","",""
"keinen Tag","1987","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","17-34","kein Migrationshintergrund","1845","0.667679072060928","0.650057703108242","0.685300441013614"
"Ja","1987","17-34","direkter Migrationshintergrund","742","0.694178412767759","0.666493261672817","0.721863563862702"
"Ja","1987","17-34","indirekter Migrationshintergrund","108","0.754718563606963","0.684687786357685","0.82474934085624"
"Ja","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","35-65","kein Migrationshintergrund","2271","0.643294665228023","0.62753027147023","0.659059058985815"
"Ja","1987","35-65","direkter Migrationshintergrund","1127","0.68460928223342","0.662235846430471","0.70698271803637"
"Ja","1987","35-65","indirekter Migrationshintergrund","16","","",""
"Ja","1987","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1987","66 +","kein Migrationshintergrund","982","0.979268400597465","0.970468036708455","0.988068764486474"
"Ja","1987","66 +","direkter Migrationshintergrund","54","0.980894089316673","0.945039148672964","1.01674902996038"
"Ja","1987","66 +","indirekter Migrationshintergrund","2","","",""
"Ja","1987","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1988","17-34","kein Migrationshintergrund","882","0.351020032370084","0.332585120276855","0.369454944463313"
"keinen Tag","1988","17-34","direkter Migrationshintergrund","311","0.328034169807417","0.299050660931862","0.357017678682972"
"keinen Tag","1988","17-34","indirekter Migrationshintergrund","56","0.338776499353542","0.271300711019918","0.406252287687165"
"keinen Tag","1988","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1988","35-65","kein Migrationshintergrund","1260","0.362792314236187","0.3466309441974","0.378953684274975"
"keinen Tag","1988","35-65","direkter Migrationshintergrund","469","0.305518392625429","0.28260911382119","0.328427671429669"
"keinen Tag","1988","35-65","indirekter Migrationshintergrund","8","","",""
"keinen Tag","1988","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1988","66 +","kein Migrationshintergrund","27","","",""
"keinen Tag","1988","66 +","direkter Migrationshintergrund","3","","",""
"keinen Tag","1988","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1988","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1988","17-34","kein Migrationshintergrund","1693","0.648979967629916","0.630545055536687","0.667414879723145"
"Ja","1988","17-34","direkter Migrationshintergrund","697","0.671965830192583","0.642982321317028","0.700949339068138"
"Ja","1988","17-34","indirekter Migrationshintergrund","133","0.661223500646458","0.593747712312835","0.728699288980082"
"Ja","1988","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1988","35-65","kein Migrationshintergrund","2140","0.637207685763813","0.621046315725025","0.6533690558026"
"Ja","1988","35-65","direkter Migrationshintergrund","1084","0.694481607374571","0.671572328570331","0.71739088617881"
"Ja","1988","35-65","indirekter Migrationshintergrund","15","","",""
"Ja","1988","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1988","66 +","kein Migrationshintergrund","940","0.97520793631094","0.965407626456696","0.985008246165183"
"Ja","1988","66 +","direkter Migrationshintergrund","60","0.960873256159278","0.912993963829934","1.00875254848862"
"Ja","1988","66 +","indirekter Migrationshintergrund","2","","",""
"Ja","1988","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1989","17-34","kein Migrationshintergrund","811","0.316455940931668","0.298418391773441","0.334493490089894"
"keinen Tag","1989","17-34","direkter Migrationshintergrund","290","0.294473949604122","0.265565395338184","0.323382503870059"
"keinen Tag","1989","17-34","indirekter Migrationshintergrund","59","0.238621095347152","0.183172570104908","0.294069620589397"
"keinen Tag","1989","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1989","35-65","kein Migrationshintergrund","1205","0.362187260861828","0.345711183943293","0.378663337780363"
"keinen Tag","1989","35-65","direkter Migrationshintergrund","436","0.284756652277236","0.262224087692392","0.307289216862081"
"keinen Tag","1989","35-65","indirekter Migrationshintergrund","10","","",""
"keinen Tag","1989","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1989","66 +","kein Migrationshintergrund","24","","",""
"keinen Tag","1989","66 +","direkter Migrationshintergrund","","","",""
"keinen Tag","1989","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1989","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1989","17-34","kein Migrationshintergrund","1743","0.683544059068332","0.665506509910106","0.701581608226559"
"Ja","1989","17-34","direkter Migrationshintergrund","665","0.705526050395878","0.676617496129941","0.734434604661816"
"Ja","1989","17-34","indirekter Migrationshintergrund","168","0.761378904652848","0.705930379410603","0.816827429895092"
"Ja","1989","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1989","35-65","kein Migrationshintergrund","2064","0.637812739138172","0.621336662219637","0.654288816056708"
"Ja","1989","35-65","direkter Migrationshintergrund","1105","0.715243347722764","0.692710783137919","0.737775912307608"
"Ja","1989","35-65","indirekter Migrationshintergrund","16","","",""
"Ja","1989","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1989","66 +","kein Migrationshintergrund","913","0.978725898275947","0.969486696505576","0.987965100046317"
"Ja","1989","66 +","direkter Migrationshintergrund","68","1","1","1"
"Ja","1989","66 +","indirekter Migrationshintergrund","2","","",""
"Ja","1989","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1990","17-34","kein Migrationshintergrund","","","",""
"keinen Tag","1990","17-34","direkter Migrationshintergrund","","","",""
"keinen Tag","1990","17-34","indirekter Migrationshintergrund","","","",""
"keinen Tag","1990","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1990","35-65","kein Migrationshintergrund","","","",""
"keinen Tag","1990","35-65","direkter Migrationshintergrund","","","",""
"keinen Tag","1990","35-65","indirekter Migrationshintergrund","","","",""
"keinen Tag","1990","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1990","66 +","kein Migrationshintergrund","","","",""
"keinen Tag","1990","66 +","direkter Migrationshintergrund","","","",""
"keinen Tag","1990","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1990","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1990","17-34","kein Migrationshintergrund","","","",""
"Ja","1990","17-34","direkter Migrationshintergrund","","","",""
"Ja","1990","17-34","indirekter Migrationshintergrund","","","",""
"Ja","1990","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1990","35-65","kein Migrationshintergrund","","","",""
"Ja","1990","35-65","direkter Migrationshintergrund","","","",""
"Ja","1990","35-65","indirekter Migrationshintergrund","","","",""
"Ja","1990","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1990","66 +","kein Migrationshintergrund","","","",""
"Ja","1990","66 +","direkter Migrationshintergrund","","","",""
"Ja","1990","66 +","indirekter Migrationshintergrund","","","",""
"Ja","1990","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1991","17-34","kein Migrationshintergrund","735","0.236686250715682","0.223415883789583","0.24995661764178"
"keinen Tag","1991","17-34","direkter Migrationshintergrund","243","0.304015959015594","0.27362428749547","0.334407630535718"
"keinen Tag","1991","17-34","indirekter Migrationshintergrund","94","0.282448775244371","0.232733583691176","0.332163966797565"
"keinen Tag","1991","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1991","35-65","kein Migrationshintergrund","1124","0.263135539414769","0.25130083312803","0.274970245701507"
"keinen Tag","1991","35-65","direkter Migrationshintergrund","462","0.277424570829829","0.255534145053677","0.299314996605982"
"keinen Tag","1991","35-65","indirekter Migrationshintergrund","15","","",""
"keinen Tag","1991","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1991","66 +","kein Migrationshintergrund","20","","",""
"keinen Tag","1991","66 +","direkter Migrationshintergrund","3","","",""
"keinen Tag","1991","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1991","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1991","17-34","kein Migrationshintergrund","3206","0.763313749284318","0.750043382358219","0.776584116210417"
"Ja","1991","17-34","direkter Migrationshintergrund","637","0.695984040984406","0.665592369464282","0.72637571250453"
"Ja","1991","17-34","indirekter Migrationshintergrund","221","0.717551224755629","0.667836033202435","0.767266416308824"
"Ja","1991","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1991","35-65","kein Migrationshintergrund","4194","0.736864460585231","0.725029754298493","0.74869916687197"
"Ja","1991","35-65","direkter Migrationshintergrund","1145","0.722575429170171","0.700685003394018","0.744465854946323"
"Ja","1991","35-65","indirekter Migrationshintergrund","11","","",""
"Ja","1991","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1991","66 +","kein Migrationshintergrund","1300","0.986058438683159","0.979733327571346","0.992383549794971"
"Ja","1991","66 +","direkter Migrationshintergrund","118","0.975763876691559","0.948363322250944","1.00316443113217"
"Ja","1991","66 +","indirekter Migrationshintergrund","3","","",""
"Ja","1991","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1992","17-34","kein Migrationshintergrund","1333","0.348951080789945","0.333642591316653","0.364259570263238"
"keinen Tag","1992","17-34","direkter Migrationshintergrund","238","0.305270678171015","0.273788661644248","0.336752694697781"
"keinen Tag","1992","17-34","indirekter Migrationshintergrund","95","0.243279823414798","0.199561053717613","0.286998593111984"
"keinen Tag","1992","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1992","35-65","kein Migrationshintergrund","2218","0.385919397531843","0.372729733986431","0.399109061077254"
"keinen Tag","1992","35-65","direkter Migrationshintergrund","434","0.311837512112254","0.288745965472185","0.334929058752324"
"keinen Tag","1992","35-65","indirekter Migrationshintergrund","8","","",""
"keinen Tag","1992","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1992","66 +","kein Migrationshintergrund","17","","",""
"keinen Tag","1992","66 +","direkter Migrationshintergrund","1","","",""
"keinen Tag","1992","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1992","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1992","17-34","kein Migrationshintergrund","2391","0.651048919210055","0.635740429736762","0.666357408683347"
"Ja","1992","17-34","direkter Migrationshintergrund","584","0.694729321828985","0.663247305302219","0.726211338355752"
"Ja","1992","17-34","indirekter Migrationshintergrund","275","0.756720176585202","0.713001406888016","0.800438946282387"
"Ja","1992","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1992","35-65","kein Migrationshintergrund","3015","0.614080602468157","0.600890938922746","0.627270266013569"
"Ja","1992","35-65","direkter Migrationshintergrund","1112","0.688162487887746","0.665070941247676","0.711254034527815"
"Ja","1992","35-65","indirekter Migrationshintergrund","18","","",""
"Ja","1992","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1992","66 +","kein Migrationshintergrund","1293","0.988371533414022","0.982566111577867","0.994176955250177"
"Ja","1992","66 +","direkter Migrationshintergrund","134","0.998085618305281","0.990712021741235","1.00545921486933"
"Ja","1992","66 +","indirekter Migrationshintergrund","2","","",""
"Ja","1992","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1993","17-34","kein Migrationshintergrund","","","",""
"keinen Tag","1993","17-34","direkter Migrationshintergrund","","","",""
"keinen Tag","1993","17-34","indirekter Migrationshintergrund","","","",""
"keinen Tag","1993","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1993","35-65","kein Migrationshintergrund","","","",""
"keinen Tag","1993","35-65","direkter Migrationshintergrund","","","",""
"keinen Tag","1993","35-65","indirekter Migrationshintergrund","","","",""
"keinen Tag","1993","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1993","66 +","kein Migrationshintergrund","","","",""
"keinen Tag","1993","66 +","direkter Migrationshintergrund","","","",""
"keinen Tag","1993","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1993","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1993","17-34","kein Migrationshintergrund","","","",""
"Ja","1993","17-34","direkter Migrationshintergrund","","","",""
"Ja","1993","17-34","indirekter Migrationshintergrund","","","",""
"Ja","1993","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1993","35-65","kein Migrationshintergrund","","","",""
"Ja","1993","35-65","direkter Migrationshintergrund","","","",""
"Ja","1993","35-65","indirekter Migrationshintergrund","","","",""
"Ja","1993","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1993","66 +","kein Migrationshintergrund","","","",""
"Ja","1993","66 +","direkter Migrationshintergrund","","","",""
"Ja","1993","66 +","indirekter Migrationshintergrund","","","",""
"Ja","1993","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1994","17-34","kein Migrationshintergrund","1146","0.311437300298624","0.296212681103731","0.326661919493516"
"keinen Tag","1994","17-34","direkter Migrationshintergrund","223","0.267546469540208","0.235694536873517","0.299398402206899"
"keinen Tag","1994","17-34","indirekter Migrationshintergrund","127","0.286247856836191","0.244806418007502","0.327689295664881"
"keinen Tag","1994","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1994","35-65","kein Migrationshintergrund","1916","0.3562114763538","0.343044105649701","0.3693788470579"
"keinen Tag","1994","35-65","direkter Migrationshintergrund","401","0.307979647761351","0.283899941478111","0.33205935404459"
"keinen Tag","1994","35-65","indirekter Migrationshintergrund","7","","",""
"keinen Tag","1994","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1994","66 +","kein Migrationshintergrund","20","","",""
"keinen Tag","1994","66 +","direkter Migrationshintergrund","2","","",""
"keinen Tag","1994","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1994","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1994","17-34","kein Migrationshintergrund","2408","0.688562699701376","0.673338080506484","0.703787318896269"
"Ja","1994","17-34","direkter Migrationshintergrund","519","0.732453530459792","0.700601597793101","0.764305463126483"
"Ja","1994","17-34","indirekter Migrationshintergrund","330","0.713752143163809","0.67231070433512","0.755193581992498"
"Ja","1994","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1994","35-65","kein Migrationshintergrund","3165","0.6437885236462","0.6306211529421","0.656955894350299"
"Ja","1994","35-65","direkter Migrationshintergrund","1011","0.692020352238649","0.667940645955409","0.716100058521889"
"Ja","1994","35-65","indirekter Migrationshintergrund","21","","",""
"Ja","1994","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1994","66 +","kein Migrationshintergrund","1296","0.983338140654778","0.976422485638825","0.99025379567073"
"Ja","1994","66 +","direkter Migrationshintergrund","167","0.995559652099879","0.985535517685751","1.00558378651401"
"Ja","1994","66 +","indirekter Migrationshintergrund","2","","",""
"Ja","1994","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1995","17-34","kein Migrationshintergrund","1114","0.322518003082851","0.306842733427373","0.338193272738329"
"keinen Tag","1995","17-34","direkter Migrationshintergrund","258","0.291858575522724","0.262074590643529","0.321642560401919"
"keinen Tag","1995","17-34","indirekter Migrationshintergrund","139","0.314742096585131","0.272302268256352","0.357181924913911"
"keinen Tag","1995","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1995","35-65","kein Migrationshintergrund","1887","0.349778408850796","0.336559662139404","0.362997155562189"
"keinen Tag","1995","35-65","direkter Migrationshintergrund","448","0.300259593698199","0.277557331518104","0.322961855878293"
"keinen Tag","1995","35-65","indirekter Migrationshintergrund","11","","",""
"keinen Tag","1995","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1995","66 +","kein Migrationshintergrund","27","","",""
"keinen Tag","1995","66 +","direkter Migrationshintergrund","2","","",""
"keinen Tag","1995","66 +","indirekter Migrationshintergrund","","","",""
"keinen Tag","1995","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1995","17-34","kein Migrationshintergrund","2302","0.677481996917149","0.661806727261671","0.693157266572627"
"Ja","1995","17-34","direkter Migrationshintergrund","637","0.708141424477276","0.678357439598081","0.737925409356471"
"Ja","1995","17-34","indirekter Migrationshintergrund","321","0.685257903414869","0.642818075086089","0.727697731743648"
"Ja","1995","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1995","35-65","kein Migrationshintergrund","3113","0.650221591149204","0.637002844437811","0.663440337860596"
"Ja","1995","35-65","direkter Migrationshintergrund","1118","0.699740406301801","0.677038144121707","0.722442668481896"
"Ja","1995","35-65","indirekter Migrationshintergrund","15","","",""
"Ja","1995","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1995","66 +","kein Migrationshintergrund","1270","0.9793417539439","0.971600844955453","0.987082662932347"
"Ja","1995","66 +","direkter Migrationshintergrund","208","0.996371478354714","0.988239167963425","1.004503788746"
"Ja","1995","66 +","indirekter Migrationshintergrund","4","","",""
"Ja","1995","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1996","17-34","kein Migrationshintergrund","1038","0.313063674492271","0.297161807949821","0.328965541034722"
"keinen Tag","1996","17-34","direkter Migrationshintergrund","216","0.277303783892688","0.246047253304616","0.308560314480761"
"keinen Tag","1996","17-34","indirekter Migrationshintergrund","126","0.244058179625501","0.205752303884893","0.282364055366108"
"keinen Tag","1996","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1996","35-65","kein Migrationshintergrund","1806","0.350517100401996","0.337249396733009","0.363784804070983"
"keinen Tag","1996","35-65","direkter Migrationshintergrund","427","0.316938401290545","0.293225681430832","0.340651121150257"
"keinen Tag","1996","35-65","indirekter Migrationshintergrund","8","","",""
"keinen Tag","1996","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1996","66 +","kein Migrationshintergrund","30","0.0206726858838348","0.0129499411161204","0.0283954306515492"
"keinen Tag","1996","66 +","direkter Migrationshintergrund","2","","",""
"keinen Tag","1996","66 +","indirekter Migrationshintergrund","2","","",""
"keinen Tag","1996","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1996","17-34","kein Migrationshintergrund","2229","0.686936325507729","0.671034458965278","0.702838192050179"
"Ja","1996","17-34","direkter Migrationshintergrund","572","0.722696216107311","0.691439685519239","0.753952746695384"
"Ja","1996","17-34","indirekter Migrationshintergrund","357","0.755941820374499","0.717635944633892","0.794247696115107"
"Ja","1996","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1996","35-65","kein Migrationshintergrund","3162","0.649482899598004","0.636215195929017","0.662750603266991"
"Ja","1996","35-65","direkter Migrationshintergrund","1052","0.683061598709455","0.659348878849743","0.706774318569168"
"Ja","1996","35-65","indirekter Migrationshintergrund","21","","",""
"Ja","1996","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1996","66 +","kein Migrationshintergrund","1274","0.979327314116165","0.971604569348451","0.98705005888388"
"Ja","1996","66 +","direkter Migrationshintergrund","225","0.997488618814485","0.990977652399475","1.00399958522949"
"Ja","1996","66 +","indirekter Migrationshintergrund","4","","",""
"Ja","1996","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1997","17-34","kein Migrationshintergrund","1006","0.324607040066321","0.308214138657619","0.340999941475023"
"keinen Tag","1997","17-34","direkter Migrationshintergrund","212","0.279569987235239","0.247278554827761","0.311861419642717"
"keinen Tag","1997","17-34","indirekter Migrationshintergrund","130","0.266311376713002","0.227796936952802","0.304825816473203"
"keinen Tag","1997","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1997","35-65","kein Migrationshintergrund","1828","0.343292624179549","0.33004143847356","0.356543809885539"
"keinen Tag","1997","35-65","direkter Migrationshintergrund","407","0.304846816135114","0.280767418028989","0.328926214241239"
"keinen Tag","1997","35-65","indirekter Migrationshintergrund","8","","",""
"keinen Tag","1997","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1997","66 +","kein Migrationshintergrund","25","","",""
"keinen Tag","1997","66 +","direkter Migrationshintergrund","3","","",""
"keinen Tag","1997","66 +","indirekter Migrationshintergrund","1","","",""
"keinen Tag","1997","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1997","17-34","kein Migrationshintergrund","2128","0.675392959933679","0.659000058524977","0.691785861342381"
"Ja","1997","17-34","direkter Migrationshintergrund","530","0.720430012764761","0.688138580357283","0.752721445172239"
"Ja","1997","17-34","indirekter Migrationshintergrund","376","0.733688623286998","0.695174183526797","0.772203063047198"
"Ja","1997","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1997","35-65","kein Migrationshintergrund","3104","0.656707375820451","0.643456190114461","0.66995856152644"
"Ja","1997","35-65","direkter Migrationshintergrund","997","0.695153183864886","0.671073785758761","0.719232581971011"
"Ja","1997","35-65","indirekter Migrationshintergrund","24","","",""
"Ja","1997","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1997","66 +","kein Migrationshintergrund","1305","0.985215993033221","0.978729886518511","0.991702099547931"
"Ja","1997","66 +","direkter Migrationshintergrund","228","0.996557121834158","0.989003521072405","1.00411072259591"
"Ja","1997","66 +","indirekter Migrationshintergrund","6","","",""
"Ja","1997","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1998","17-34","kein Migrationshintergrund","1088","0.310255410080005","0.294747049331389","0.325763770828622"
"keinen Tag","1998","17-34","direkter Migrationshintergrund","176","0.269863828118863","0.236573964974125","0.303153691263602"
"keinen Tag","1998","17-34","indirekter Migrationshintergrund","133","0.232112634181312","0.195543787660796","0.268681480701829"
"keinen Tag","1998","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"keinen Tag","1998","35-65","kein Migrationshintergrund","2189","0.360772760162383","0.348382881301041","0.373162639023725"
"keinen Tag","1998","35-65","direkter Migrationshintergrund","413","0.322867266649333","0.297971393858306","0.34776313944036"
"keinen Tag","1998","35-65","indirekter Migrationshintergrund","16","","",""
"keinen Tag","1998","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
