"religion","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"evangelisch","1991","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","498","0.356770530321997","0.332616293917126","0.380924766726867"
"evangelisch","1991","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","Realschulabschluss","Ostdeutschland, neue Bundeslaender","347","0.23245002440119","0.211017081418865","0.253882967383516"
"evangelisch","1991","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1991","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1991","AkademikerInnen","Ostdeutschland, neue Bundeslaender","226","0.236621640821101","0.209638108966704","0.263605172675499"
"islamische Religionsgemeinschaft","1991","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1991","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1991","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","35","0.667152217164961","0.541466330828779","0.792838103501143"
"konfessionslos","1991","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","916","0.573378936628926","0.548441151809601","0.59831672144825"
"konfessionslos","1991","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","Realschulabschluss","Ostdeutschland, neue Bundeslaender","1057","0.705511674023439","0.682383048564901","0.728640299481977"
"konfessionslos","1991","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","81","0.728537607915229","0.647258300479653","0.809816915350806"
"konfessionslos","1991","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1991","AkademikerInnen","Ostdeutschland, neue Bundeslaender","684","0.718326772895849","0.689768269001376","0.746885276790322"
"andere","1991","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1991","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1991","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1991","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1991","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"andere","1991","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1992","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1992","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1992","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1992","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1992","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1992","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1992","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1992","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1992","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1992","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1992","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1992","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1992","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1992","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1992","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1992","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1992","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1992","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1992","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1992","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1992","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1992","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1992","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1992","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1992","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1992","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1992","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1992","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1992","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1992","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1992","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1992","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1992","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1992","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"andere","1992","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1992","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"andere","1992","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1993","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1993","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1993","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1993","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1993","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1993","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1993","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1993","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1993","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1993","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1993","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1993","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1993","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1993","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1993","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1993","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1993","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1993","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1993","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1993","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1993","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1993","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1993","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1993","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1993","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1993","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1993","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1993","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1993","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1993","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1993","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1993","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1993","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1993","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1993","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1993","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1993","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1993","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"andere","1993","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1993","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"andere","1993","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1994","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1994","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1994","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1994","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1994","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1994","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1994","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1994","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1994","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1994","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1994","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1994","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1994","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1994","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1994","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1994","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1994","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1994","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1994","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1994","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1994","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1994","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1994","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1994","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1994","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1994","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1994","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1994","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1994","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1994","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1994","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1994","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1994","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1994","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1994","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1994","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"andere","1994","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1994","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"andere","1994","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"andere","1994","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"andere","1994","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1995","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1995","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1995","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1995","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1995","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1995","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1995","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1995","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","1995","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","1995","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1995","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1995","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1995","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1995","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1995","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1995","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1995","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1995","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","1995","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","1995","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","AkademikerInnen","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","1995","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1995","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1995","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1995","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1995","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","1995","Realschulabschluss","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","1995","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
