"religion","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","Thueringen","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Schleswig-Holstein","kein Migrationshintergrund","185","0.750706617033008","0.696426137543038","0.804987096522978"
"evangelisch","1990","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Hamburg","kein Migrationshintergrund","63","0.573859658347075","0.485747755872536","0.661971560821614"
"evangelisch","1990","Hamburg","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Hamburg","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Niedersachsen","kein Migrationshintergrund","594","0.730322454391544","0.699703451490105","0.760941457292983"
"evangelisch","1990","Niedersachsen","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Niedersachsen","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Bremen","kein Migrationshintergrund","62","0.748888793530052","0.656152408797631","0.841625178262472"
"evangelisch","1990","Bremen","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Bremen","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Nordrhein-Westfalen","kein Migrationshintergrund","769","0.42185007475648","0.399073494406993","0.444626655105967"
"evangelisch","1990","Nordrhein-Westfalen","direkter Migrationshintergrund","46","0.180873255574639","0.151749353530797","0.209997157618481"
"evangelisch","1990","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Hessen","kein Migrationshintergrund","399","0.649918499571582","0.611941048811163","0.687895950332001"
"evangelisch","1990","Hessen","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Hessen","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","214","0.386565902101931","0.345493799220294","0.427638004983569"
"evangelisch","1990","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Baden-Wuerttemberg","kein Migrationshintergrund","478","0.463142377009127","0.432837101011916","0.493447653006339"
"evangelisch","1990","Baden-Wuerttemberg","direkter Migrationshintergrund","32","0.129115928815428","0.104059223962928","0.154172633667927"
"evangelisch","1990","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Bayern","kein Migrationshintergrund","294","0.258234537751349","0.233284005176294","0.283185070326404"
"evangelisch","1990","Bayern","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Bayern","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Saarland","kein Migrationshintergrund","","","",""
"evangelisch","1990","Saarland","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Saarland","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Berlin","kein Migrationshintergrund","173","0.420556344776003","0.377330157700272","0.463782531851735"
"evangelisch","1990","Berlin","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Berlin","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Brandenburg","kein Migrationshintergrund","198","0.314253511496422","0.280131458239972","0.348375564752871"
"evangelisch","1990","Brandenburg","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Brandenburg","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Mecklenburg-Vorpommern","kein Migrationshintergrund","119","0.277275699505004","0.237720118025822","0.316831280984186"
"evangelisch","1990","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Sachsen","kein Migrationshintergrund","396","0.323522201128545","0.298022937028649","0.349021465228441"
"evangelisch","1990","Sachsen","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Sachsen","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Sachsen-Anhalt","kein Migrationshintergrund","201","0.262628766131847","0.231785599750333","0.29347193251336"
"evangelisch","1990","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"evangelisch","1990","Thueringen","kein Migrationshintergrund","243","0.344962149339428","0.310167903014083","0.379756395664773"
"evangelisch","1990","Thueringen","direkter Migrationshintergrund","","","",""
"evangelisch","1990","Thueringen","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Hamburg","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Hamburg","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Hamburg","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Niedersachsen","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Niedersachsen","direkter Migrationshintergrund","49","0.202498465135663","0.138821991082237","0.266174939189089"
"islamische Religionsgemeinschaft","1990","Niedersachsen","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Bremen","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Bremen","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Bremen","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Nordrhein-Westfalen","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Nordrhein-Westfalen","direkter Migrationshintergrund","254","0.27473988440059","0.240964944574129","0.308514824227052"
"islamische Religionsgemeinschaft","1990","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Hessen","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Hessen","direkter Migrationshintergrund","117","0.213352333449386","0.170494189348892","0.256210477549879"
"islamische Religionsgemeinschaft","1990","Hessen","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Baden-Wuerttemberg","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Baden-Wuerttemberg","direkter Migrationshintergrund","182","0.169754112440504","0.141701882469502","0.197806342411506"
"islamische Religionsgemeinschaft","1990","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Bayern","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Bayern","direkter Migrationshintergrund","86","0.164879774678262","0.126601470998125","0.2031580783584"
"islamische Religionsgemeinschaft","1990","Bayern","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Saarland","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Saarland","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Saarland","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Berlin","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Berlin","direkter Migrationshintergrund","50","0.302633950980894","0.216390909131157","0.388876992830631"
"islamische Religionsgemeinschaft","1990","Berlin","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Brandenburg","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Brandenburg","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Brandenburg","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Sachsen","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Sachsen","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Sachsen","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Thueringen","kein Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Thueringen","direkter Migrationshintergrund","","","",""
"islamische Religionsgemeinschaft","1990","Thueringen","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Schleswig-Holstein","kein Migrationshintergrund","42","0.181816350025392","0.133421957393579","0.230210742657205"
"konfessionslos","1990","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Hamburg","kein Migrationshintergrund","49","0.366302621411251","0.280457350703456","0.452147892119045"
"konfessionslos","1990","Hamburg","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Hamburg","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Niedersachsen","kein Migrationshintergrund","95","0.122288752364594","0.09968500666758","0.144892498061608"
"konfessionslos","1990","Niedersachsen","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Niedersachsen","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Bremen","kein Migrationshintergrund","","","",""
"konfessionslos","1990","Bremen","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Bremen","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Nordrhein-Westfalen","kein Migrationshintergrund","146","0.0794058899964887","0.0669363718123928","0.0918754081805847"
"konfessionslos","1990","Nordrhein-Westfalen","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Hessen","kein Migrationshintergrund","53","0.0821440572338718","0.060282196882205","0.104005917585539"
"konfessionslos","1990","Hessen","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Hessen","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"konfessionslos","1990","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Baden-Wuerttemberg","kein Migrationshintergrund","51","0.0557482549666004","0.0418041398893362","0.0696923700438646"
"konfessionslos","1990","Baden-Wuerttemberg","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Bayern","kein Migrationshintergrund","69","0.0601978946683639","0.0466382530614681","0.0737575362752598"
"konfessionslos","1990","Bayern","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Bayern","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Saarland","kein Migrationshintergrund","","","",""
"konfessionslos","1990","Saarland","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Saarland","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Berlin","kein Migrationshintergrund","289","0.480590451589581","0.436841085806797","0.524339817372365"
"konfessionslos","1990","Berlin","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Berlin","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Brandenburg","kein Migrationshintergrund","488","0.646734499539899","0.611600554437546","0.681868444642252"
"konfessionslos","1990","Brandenburg","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Brandenburg","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Mecklenburg-Vorpommern","kein Migrationshintergrund","356","0.693166933177649","0.652416189519447","0.73391767683585"
"konfessionslos","1990","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Sachsen","kein Migrationshintergrund","826","0.619008697363211","0.59253864899159","0.645478745734833"
"konfessionslos","1990","Sachsen","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Sachsen","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Sachsen-Anhalt","kein Migrationshintergrund","533","0.676669942746776","0.643886376352229","0.709453509141323"
"konfessionslos","1990","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"konfessionslos","1990","Thueringen","kein Migrationshintergrund","392","0.536906854422755","0.500408594151619","0.573405114693892"
"konfessionslos","1990","Thueringen","direkter Migrationshintergrund","","","",""
"konfessionslos","1990","Thueringen","indirekter Migrationshintergrund","","","",""
"andere","1990","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"andere","1990","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"andere","1990","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"andere","1990","Hamburg","kein Migrationshintergrund","","","",""
"andere","1990","Hamburg","direkter Migrationshintergrund","","","",""
"andere","1990","Hamburg","indirekter Migrationshintergrund","","","",""
"andere","1990","Niedersachsen","kein Migrationshintergrund","","","",""
"andere","1990","Niedersachsen","direkter Migrationshintergrund","","","",""
"andere","1990","Niedersachsen","indirekter Migrationshintergrund","","","",""
"andere","1990","Bremen","kein Migrationshintergrund","","","",""
"andere","1990","Bremen","direkter Migrationshintergrund","","","",""
"andere","1990","Bremen","indirekter Migrationshintergrund","","","",""
"andere","1990","Nordrhein-Westfalen","kein Migrationshintergrund","","","",""
"andere","1990","Nordrhein-Westfalen","direkter Migrationshintergrund","138","0.152276956786764","0.12509185773857","0.179462055834957"
"andere","1990","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"andere","1990","Hessen","kein Migrationshintergrund","","","",""
"andere","1990","Hessen","direkter Migrationshintergrund","53","0.0957261817060981","0.0649468008649629","0.126505562547233"
"andere","1990","Hessen","indirekter Migrationshintergrund","","","",""
"andere","1990","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"andere","1990","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"andere","1990","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"andere","1990","Baden-Wuerttemberg","kein Migrationshintergrund","","","",""
"andere","1990","Baden-Wuerttemberg","direkter Migrationshintergrund","144","0.109793838707088","0.086433014863031","0.133154662551145"
"andere","1990","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"andere","1990","Bayern","kein Migrationshintergrund","","","",""
"andere","1990","Bayern","direkter Migrationshintergrund","104","0.153922141910962","0.116695813532179","0.191148470289745"
"andere","1990","Bayern","indirekter Migrationshintergrund","","","",""
"andere","1990","Saarland","kein Migrationshintergrund","","","",""
"andere","1990","Saarland","direkter Migrationshintergrund","","","",""
"andere","1990","Saarland","indirekter Migrationshintergrund","","","",""
"andere","1990","Berlin","kein Migrationshintergrund","","","",""
"andere","1990","Berlin","direkter Migrationshintergrund","","","",""
"andere","1990","Berlin","indirekter Migrationshintergrund","","","",""
"andere","1990","Brandenburg","kein Migrationshintergrund","","","",""
"andere","1990","Brandenburg","direkter Migrationshintergrund","","","",""
"andere","1990","Brandenburg","indirekter Migrationshintergrund","","","",""
"andere","1990","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"andere","1990","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"andere","1990","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"andere","1990","Sachsen","kein Migrationshintergrund","","","",""
"andere","1990","Sachsen","direkter Migrationshintergrund","","","",""
"andere","1990","Sachsen","indirekter Migrationshintergrund","","","",""
"andere","1990","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"andere","1990","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"andere","1990","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"andere","1990","Thueringen","kein Migrationshintergrund","","","",""
"andere","1990","Thueringen","direkter Migrationshintergrund","","","",""
"andere","1990","Thueringen","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"katholisch","1991","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"katholisch","1991","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Hamburg","kein Migrationshintergrund","","","",""
"katholisch","1991","Hamburg","direkter Migrationshintergrund","","","",""
"katholisch","1991","Hamburg","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Niedersachsen","kein Migrationshintergrund","","","",""
"katholisch","1991","Niedersachsen","direkter Migrationshintergrund","","","",""
"katholisch","1991","Niedersachsen","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Bremen","kein Migrationshintergrund","","","",""
"katholisch","1991","Bremen","direkter Migrationshintergrund","","","",""
"katholisch","1991","Bremen","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Nordrhein-Westfalen","kein Migrationshintergrund","","","",""
"katholisch","1991","Nordrhein-Westfalen","direkter Migrationshintergrund","","","",""
"katholisch","1991","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Hessen","kein Migrationshintergrund","","","",""
"katholisch","1991","Hessen","direkter Migrationshintergrund","","","",""
"katholisch","1991","Hessen","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"katholisch","1991","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"katholisch","1991","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Baden-Wuerttemberg","kein Migrationshintergrund","","","",""
"katholisch","1991","Baden-Wuerttemberg","direkter Migrationshintergrund","","","",""
"katholisch","1991","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Bayern","kein Migrationshintergrund","","","",""
"katholisch","1991","Bayern","direkter Migrationshintergrund","","","",""
"katholisch","1991","Bayern","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Saarland","kein Migrationshintergrund","","","",""
"katholisch","1991","Saarland","direkter Migrationshintergrund","","","",""
"katholisch","1991","Saarland","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Berlin","kein Migrationshintergrund","","","",""
"katholisch","1991","Berlin","direkter Migrationshintergrund","","","",""
"katholisch","1991","Berlin","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Brandenburg","kein Migrationshintergrund","","","",""
"katholisch","1991","Brandenburg","direkter Migrationshintergrund","","","",""
"katholisch","1991","Brandenburg","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"katholisch","1991","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"katholisch","1991","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Sachsen","kein Migrationshintergrund","48","0.0399209189381932","0.0288117483013756","0.0510300895750108"
"katholisch","1991","Sachsen","direkter Migrationshintergrund","","","",""
"katholisch","1991","Sachsen","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Sachsen-Anhalt","kein Migrationshintergrund","33","0.0428889552410304","0.0285504358977965","0.0572274745842642"
"katholisch","1991","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"katholisch","1991","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"katholisch","1991","Thueringen","kein Migrationshintergrund","69","0.109327479483928","0.0856637302549292","0.132991228712926"
"katholisch","1991","Thueringen","direkter Migrationshintergrund","","","",""
"katholisch","1991","Thueringen","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Schleswig-Holstein","kein Migrationshintergrund","","","",""
"evangelisch","1991","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Hamburg","kein Migrationshintergrund","","","",""
"evangelisch","1991","Hamburg","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Hamburg","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Niedersachsen","kein Migrationshintergrund","","","",""
"evangelisch","1991","Niedersachsen","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Niedersachsen","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Bremen","kein Migrationshintergrund","","","",""
"evangelisch","1991","Bremen","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Bremen","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Nordrhein-Westfalen","kein Migrationshintergrund","","","",""
"evangelisch","1991","Nordrhein-Westfalen","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Hessen","kein Migrationshintergrund","","","",""
"evangelisch","1991","Hessen","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Hessen","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"evangelisch","1991","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Baden-Wuerttemberg","kein Migrationshintergrund","","","",""
"evangelisch","1991","Baden-Wuerttemberg","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Bayern","kein Migrationshintergrund","","","",""
"evangelisch","1991","Bayern","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Bayern","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Saarland","kein Migrationshintergrund","","","",""
"evangelisch","1991","Saarland","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Saarland","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Berlin","kein Migrationshintergrund","41","0.217891332247205","0.167322650190308","0.268460014304101"
"evangelisch","1991","Berlin","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Berlin","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Brandenburg","kein Migrationshintergrund","166","0.268641678121397","0.234876356106678","0.302407000136116"
"evangelisch","1991","Brandenburg","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Brandenburg","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Mecklenburg-Vorpommern","kein Migrationshintergrund","131","0.325678792518127","0.282619137947841","0.368738447088414"
"evangelisch","1991","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Sachsen","kein Migrationshintergrund","355","0.315508796215653","0.28913834622415","0.341879246207156"
"evangelisch","1991","Sachsen","direkter Migrationshintergrund","","","",""
"evangelisch","1991","Sachsen","indirekter Migrationshintergrund","","","",""
"evangelisch","1991","Sachsen-Anhalt","kein Migrationshintergrund","174","0.232165723811265","0.20228554392027","0.262045903702259"
"evangelisch","1991","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
