"religion","year","sampreg","n","percent","lower_confidence","upper_confidence"
"andere","2001","Westdeutschland, alte Bundeslaender","","","",""
"andere","2001","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2002","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2002","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2002","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2002","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2002","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2002","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2002","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2002","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2002","Westdeutschland, alte Bundeslaender","","","",""
"andere","2002","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2003","Westdeutschland, alte Bundeslaender","6377","0.379435766485142","0.372099225698962","0.386772307271321"
"katholisch","2003","Ostdeutschland, neue Bundeslaender","243","0.0413739017075939","0.0360373703786787","0.0467104330365092"
"evangelisch","2003","Westdeutschland, alte Bundeslaender","6165","0.379493012028251","0.372156256252686","0.386829767803816"
"evangelisch","2003","Ostdeutschland, neue Bundeslaender","1259","0.236971736387042","0.225577380288865","0.248366092485218"
"islamische Religionsgemeinschaft","2003","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2003","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2003","Westdeutschland, alte Bundeslaender","2918","0.171960452367321","0.166255281422263","0.177665623312379"
"konfessionslos","2003","Ostdeutschland, neue Bundeslaender","3814","0.713443644973695","0.70132773440271","0.725559555544679"
"andere","2003","Westdeutschland, alte Bundeslaender","1345","0.0691107691192868","0.0652758986549834","0.0729456395835903"
"andere","2003","Ostdeutschland, neue Bundeslaender","34","0.00821071693166941","0.00579263258586999","0.0106288012774688"
"katholisch","2004","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2004","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2004","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2004","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2004","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2004","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2004","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2004","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2004","Westdeutschland, alte Bundeslaender","","","",""
"andere","2004","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2005","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2005","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2005","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2005","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2005","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2005","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2005","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2005","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2005","Westdeutschland, alte Bundeslaender","","","",""
"andere","2005","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2006","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2006","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2006","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2006","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2006","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2006","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2006","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2006","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2006","Westdeutschland, alte Bundeslaender","","","",""
"andere","2006","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2007","Westdeutschland, alte Bundeslaender","5739","0.364250274370134","0.356688421908199","0.371812126832068"
"katholisch","2007","Ostdeutschland, neue Bundeslaender","240","0.0461778916284293","0.0403711365968074","0.0519846466600512"
"evangelisch","2007","Westdeutschland, alte Bundeslaender","5887","0.372009270543259","0.364414080188828","0.379604460897689"
"evangelisch","2007","Ostdeutschland, neue Bundeslaender","1255","0.248433184355468","0.236477584704957","0.260388784005979"
"islamische Religionsgemeinschaft","2007","Westdeutschland, alte Bundeslaender","624","0.0440821234647451","0.0408564031435951","0.0473078437858951"
"islamische Religionsgemeinschaft","2007","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2007","Westdeutschland, alte Bundeslaender","2790","0.184837506099622","0.178737892698301","0.190937119500943"
"konfessionslos","2007","Ostdeutschland, neue Bundeslaender","3483","0.696258542367266","0.683534647642072","0.708982437092459"
"andere","2007","Westdeutschland, alte Bundeslaender","517","0.0348208255222406","0.0319400549763103","0.0377015960681709"
"andere","2007","Ostdeutschland, neue Bundeslaender","38","0.00831748152100159","0.00580464049709774","0.0108303225449054"
"katholisch","2008","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2008","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2008","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2008","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2008","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2008","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2008","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2008","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2008","Westdeutschland, alte Bundeslaender","","","",""
"andere","2008","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2009","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2009","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2009","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2009","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2009","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2009","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2009","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2009","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2009","Westdeutschland, alte Bundeslaender","","","",""
"andere","2009","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2010","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2010","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2010","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2010","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2010","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2010","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2010","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2010","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2010","Westdeutschland, alte Bundeslaender","","","",""
"andere","2010","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2011","Westdeutschland, alte Bundeslaender","6173","0.354537453079705","0.347358042130297","0.361716864029113"
"katholisch","2011","Ostdeutschland, neue Bundeslaender","239","0.0423395830970845","0.036835267252744","0.047843898941425"
"evangelisch","2011","Westdeutschland, alte Bundeslaender","6440","0.367460191339136","0.360224645337318","0.374695737340955"
"evangelisch","2011","Ostdeutschland, neue Bundeslaender","1157","0.229538396963688","0.218042907671926","0.241033886255449"
"islamische Religionsgemeinschaft","2011","Westdeutschland, alte Bundeslaender","503","0.0288444679777874","0.0263325937509789","0.0313563422045959"
"islamische Religionsgemeinschaft","2011","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2011","Westdeutschland, alte Bundeslaender","3417","0.217994043481268","0.211797498977031","0.224190587985506"
"konfessionslos","2011","Ostdeutschland, neue Bundeslaender","3698","0.718772924834445","0.706483014654567","0.731062835014324"
"andere","2011","Westdeutschland, alte Bundeslaender","522","0.0311638441221027","0.0285560523559291","0.0337716358882763"
"andere","2011","Ostdeutschland, neue Bundeslaender","45","0.00910969406485965","0.00651259225455252","0.0117067958751668"
"katholisch","2012","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2012","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2012","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2012","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2012","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2012","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2012","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2012","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2012","Westdeutschland, alte Bundeslaender","","","",""
"andere","2012","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2013","Westdeutschland, alte Bundeslaender","1090","0.224992569252998","0.212881859217751","0.237103279288246"
"katholisch","2013","Ostdeutschland, neue Bundeslaender","40","0.138148544442228","0.103224717812716","0.173072371071739"
"evangelisch","2013","Westdeutschland, alte Bundeslaender","606","0.126749808329975","0.117100957647701","0.136398659012249"
"evangelisch","2013","Ostdeutschland, neue Bundeslaender","56","0.158785948932891","0.121795317001168","0.195776580864614"
"islamische Religionsgemeinschaft","2013","Westdeutschland, alte Bundeslaender","1040","0.283125839641786","0.270059805094315","0.296191874189258"
"islamische Religionsgemeinschaft","2013","Ostdeutschland, neue Bundeslaender","41","0.0699933194101186","0.0441704923666237","0.0958161464536136"
"konfessionslos","2013","Westdeutschland, alte Bundeslaender","1030","0.236717435792183","0.224389499539197","0.249045372045169"
"konfessionslos","2013","Ostdeutschland, neue Bundeslaender","175","0.506902507309877","0.456301277275366","0.557503737344389"
"andere","2013","Westdeutschland, alte Bundeslaender","801","0.128414346983057","0.11871160694977","0.138117087016344"
"andere","2013","Ostdeutschland, neue Bundeslaender","63","0.126169679904886","0.0925631622549457","0.159776197554825"
"katholisch","2014","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2014","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2014","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2014","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2014","Westdeutschland, alte Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2014","Ostdeutschland, neue Bundeslaender","","","",""
"konfessionslos","2014","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2014","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2014","Westdeutschland, alte Bundeslaender","","","",""
"andere","2014","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2015","Westdeutschland, alte Bundeslaender","7180","0.343861670936356","0.337494239149185","0.350229102723528"
"katholisch","2015","Ostdeutschland, neue Bundeslaender","299","0.0396286123827081","0.0344354437354274","0.0448217810299889"
"evangelisch","2015","Westdeutschland, alte Bundeslaender","6652","0.335547596843092","0.32921788824125","0.341877305444934"
"evangelisch","2015","Ostdeutschland, neue Bundeslaender","1105","0.206016365557098","0.195250101594539","0.216782629519656"
"islamische Religionsgemeinschaft","2015","Westdeutschland, alte Bundeslaender","1393","0.0470587597446128","0.0442200040920796","0.0498975153971461"
"islamische Religionsgemeinschaft","2015","Ostdeutschland, neue Bundeslaender","43","0.00322026389377965","0.00171208201279873","0.00472844577476056"
"konfessionslos","2015","Westdeutschland, alte Bundeslaender","4723","0.236361323793589","0.230666151366859","0.242056496220318"
"konfessionslos","2015","Ostdeutschland, neue Bundeslaender","3855","0.736884260413862","0.725162807651387","0.748605713176337"
"andere","2015","Westdeutschland, alte Bundeslaender","1429","0.03717064868235","0.0346346475505394","0.0397066498141606"
"andere","2015","Ostdeutschland, neue Bundeslaender","119","0.014250497752553","0.0110954445456337","0.0174055509594723"
"katholisch","2016","Westdeutschland, alte Bundeslaender","153","0.116067359316198","0.105754952884906","0.126379765747489"
"katholisch","2016","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2016","Westdeutschland, alte Bundeslaender","103","0.0558988405859326","0.0485026848183589","0.0632949963535062"
"evangelisch","2016","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2016","Westdeutschland, alte Bundeslaender","2569","0.541999704019602","0.525958838881555","0.558040569157649"
"islamische Religionsgemeinschaft","2016","Ostdeutschland, neue Bundeslaender","540","0.572977790087472","0.538197619519165","0.607757960655779"
"konfessionslos","2016","Westdeutschland, alte Bundeslaender","227","0.121281980476292","0.110771603581366","0.131792357371218"
"konfessionslos","2016","Ostdeutschland, neue Bundeslaender","86","0.193721079242973","0.165932350819768","0.221509807666178"
"andere","2016","Westdeutschland, alte Bundeslaender","654","0.164752115601976","0.152808974157898","0.176695257046054"
"andere","2016","Ostdeutschland, neue Bundeslaender","113","0.164405075480114","0.138343954714159","0.190466196246068"
"katholisch","2017","Westdeutschland, alte Bundeslaender","79","0.166501716635186","0.152550445230003","0.18045298804037"
"katholisch","2017","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2017","Westdeutschland, alte Bundeslaender","99","0.0939357905392009","0.083010144913545","0.104861436164857"
"evangelisch","2017","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2017","Westdeutschland, alte Bundeslaender","1987","0.49900956932806","0.480284595162613","0.517734543493506"
"islamische Religionsgemeinschaft","2017","Ostdeutschland, neue Bundeslaender","199","0.522773037983213","0.463305148996099","0.582240926970327"
"konfessionslos","2017","Westdeutschland, alte Bundeslaender","148","0.119331834103819","0.107191339460229","0.131472328747409"
"konfessionslos","2017","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2017","Westdeutschland, alte Bundeslaender","426","0.121221089393734","0.108998000248018","0.13344417853945"
"andere","2017","Ostdeutschland, neue Bundeslaender","34","0.162864523943085","0.118902815053426","0.206826232832744"
"katholisch","2018","Westdeutschland, alte Bundeslaender","","","",""
"katholisch","2018","Ostdeutschland, neue Bundeslaender","","","",""
"evangelisch","2018","Westdeutschland, alte Bundeslaender","","","",""
"evangelisch","2018","Ostdeutschland, neue Bundeslaender","","","",""
"islamische Religionsgemeinschaft","2018","Westdeutschland, alte Bundeslaender","282","0.416387003993314","0.369847632260965","0.462926375725664"
"islamische Religionsgemeinschaft","2018","Ostdeutschland, neue Bundeslaender","48","0.751961423311542","0.637825030688858","0.866097815934227"
"konfessionslos","2018","Westdeutschland, alte Bundeslaender","","","",""
"konfessionslos","2018","Ostdeutschland, neue Bundeslaender","","","",""
"andere","2018","Westdeutschland, alte Bundeslaender","90","0.12903261763993","0.0973836057632746","0.160681629516586"
"andere","2018","Ostdeutschland, neue Bundeslaender","","","",""
"katholisch","2019","Westdeutschland, alte Bundeslaender","6370","0.313374529420939","0.307426847877115","0.319322210964764"
"katholisch","2019","Ostdeutschland, neue Bundeslaender","267","0.0366964185101773","0.0319587591532741","0.0414340778670804"
"evangelisch","2019","Westdeutschland, alte Bundeslaender","6323","0.308620304233353","0.302697512481022","0.314543095985685"
"evangelisch","2019","Ostdeutschland, neue Bundeslaender","1084","0.191520970181981","0.18160550828225","0.201436432081712"
"islamische Religionsgemeinschaft","2019","Westdeutschland, alte Bundeslaender","3378","0.0586535100669248","0.0556406590116414","0.0616663611222082"
"islamische Religionsgemeinschaft","2019","Ostdeutschland, neue Bundeslaender","451","0.0114757314506867","0.008791906043875","0.0141595568574984"
"konfessionslos","2019","Westdeutschland, alte Bundeslaender","5766","0.274204248574103","0.268484193564085","0.279924303584121"
"konfessionslos","2019","Ostdeutschland, neue Bundeslaender","4109","0.748904840243279","0.737977791182758","0.759831889303799"
"andere","2019","Westdeutschland, alte Bundeslaender","1529","0.0451474077046793","0.0424852089251318","0.0478096064842268"
"andere","2019","Ostdeutschland, neue Bundeslaender","139","0.0114020396138762","0.00872674551544698","0.0140773337123055"
