year,quintil_oecd,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,3rd Quintile,Seldom,0.13746,643,3796,0.12650,0.14842
2008,3rd Quintile,Never,0.49211,2221,3796,0.47620,0.50801
2008,4th Quintile,Very often,0.03874,192,3857,0.03265,0.04483
2008,4th Quintile,Often,0.07493,344,3857,0.06662,0.08324
2008,4th Quintile,Sometimes,0.08798,413,3857,0.07904,0.09692
2008,4th Quintile,Seldom,0.16757,760,3857,0.15578,0.17936
2008,4th Quintile,Never,0.47805,2148,3857,0.46229,0.49382
2008,5th Quintile,Very often,0.05260,296,5235,0.04656,0.05865
2008,5th Quintile,Often,0.08964,527,5235,0.08190,0.09738
2008,5th Quintile,Sometimes,0.10312,623,5235,0.09488,0.11136
2008,5th Quintile,Seldom,0.17335,965,5235,0.16309,0.18361
2008,5th Quintile,Never,0.47550,2824,5235,0.46197,0.48903
2013,1st Quintile,Very often,0.04476,351,5071,0.03907,0.05046
2013,1st Quintile,Often,0.06958,514,5071,0.06258,0.07658
2013,1st Quintile,Sometimes,0.07411,496,5071,0.06690,0.08132
2013,1st Quintile,Seldom,0.12039,726,5071,0.11143,0.12935
2013,1st Quintile,Never,0.49117,2984,5071,0.47741,0.50493
2013,2nd Quintile,Very often,0.04147,339,5165,0.03604,0.04691
2013,2nd Quintile,Often,0.06776,538,5165,0.06090,0.07461
2013,2nd Quintile,Sometimes,0.08240,561,5165,0.07490,0.08990
2013,2nd Quintile,Seldom,0.14316,908,5165,0.13361,0.15271
2013,2nd Quintile,Never,0.47914,2819,5165,0.46551,0.49276
2013,3rd Quintile,Very often,0.04361,343,4842,0.03785,0.04936
2013,3rd Quintile,Often,0.08034,586,4842,0.07268,0.08800
2013,3rd Quintile,Sometimes,0.08463,531,4842,0.07678,0.09247
2013,3rd Quintile,Seldom,0.14314,834,4842,0.13328,0.15301
2013,3rd Quintile,Never,0.48450,2548,4842,0.47042,0.49858
2013,4th Quintile,Very often,0.05044,326,4813,0.04426,0.05662
2013,4th Quintile,Often,0.09622,590,4813,0.08789,0.10455
2013,4th Quintile,Sometimes,0.09062,566,4813,0.08251,0.09873
2013,4th Quintile,Seldom,0.16649,971,4813,0.15596,0.17701
2013,4th Quintile,Never,0.45529,2360,4813,0.44122,0.46936
2013,5th Quintile,Very often,0.04883,338,5460,0.04311,0.05455
2013,5th Quintile,Often,0.08814,614,5460,0.08062,0.09566
2013,5th Quintile,Sometimes,0.10321,690,5460,0.09514,0.11128
2013,5th Quintile,Seldom,0.18653,1113,5460,0.17620,0.19687
2013,5th Quintile,Never,0.45915,2705,5460,0.44593,0.47237
2018,1st Quintile,Very often,0.04998,363,4710,0.04376,0.05620
2018,1st Quintile,Often,0.06979,474,4710,0.06252,0.07707
2018,1st Quintile,Sometimes,0.06982,425,4710,0.06254,0.07710
2018,1st Quintile,Seldom,0.11134,639,4710,0.10236,0.12032
2018,1st Quintile,Never,0.46333,2809,4710,0.44908,0.47757
2018,2nd Quintile,Very often,0.05078,334,5096,0.04475,0.05681
2018,2nd Quintile,Often,0.07550,511,5096,0.06824,0.08275
2018,2nd Quintile,Sometimes,0.08407,531,5096,0.07645,0.09168
2018,2nd Quintile,Seldom,0.12790,770,5096,0.11873,0.13707
2018,2nd Quintile,Never,0.47756,2950,5096,0.46384,0.49127
2018,3rd Quintile,Very often,0.04997,332,4722,0.04376,0.05619
2018,3rd Quintile,Often,0.08001,528,4722,0.07227,0.08775
2018,3rd Quintile,Sometimes,0.08374,476,4722,0.07584,0.09165
2018,3rd Quintile,Seldom,0.14555,833,4722,0.13549,0.15561
2018,3rd Quintile,Never,0.47306,2553,4722,0.45882,0.48730
2018,4th Quintile,Very often,0.05788,348,4692,0.05120,0.06456
2018,4th Quintile,Often,0.09414,519,4692,0.08579,0.10250
2018,4th Quintile,Sometimes,0.11092,610,4692,0.10193,0.11991
2018,4th Quintile,Seldom,0.16352,866,4692,0.15293,0.17410
2018,4th Quintile,Never,0.44022,2349,4692,0.42602,0.45443
2018,5th Quintile,Very often,0.06151,345,5048,0.05488,0.06814
2018,5th Quintile,Often,0.08742,526,5048,0.07962,0.09521
2018,5th Quintile,Sometimes,0.11768,654,5048,0.10879,0.12657
2018,5th Quintile,Seldom,0.18874,1050,5048,0.17795,0.19954
2018,5th Quintile,Never,0.43873,2473,5048,0.42504,0.45242
