,Unnamed: 0,year,quintil_oecd,regtyp,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
39,39,2003,4th Quintile,Rural regions,Never,0.50811,748,22012,0.47939,0.53609
40,40,2003,5th Quintile,Urban regions,Very often,0.04677,233,22012,0.04106,0.05266
41,41,2003,5th Quintile,Urban regions,Often,0.08378,412,22012,0.07601,0.09174
42,42,2003,5th Quintile,Urban regions,Sometimes,0.09901,500,22012,0.09017,0.10865
43,43,2003,5th Quintile,Urban regions,Seldom,0.17436,854,22012,0.16206,0.18686
44,44,2003,5th Quintile,Urban regions,Never,0.59608,2738,22012,0.57504,0.61232
45,45,2003,5th Quintile,Rural regions,Very often,0.04429,69,22012,0.034,0.05475
46,46,2003,5th Quintile,Rural regions,Often,0.12184,173,22012,0.10527,0.13796
47,47,2003,5th Quintile,Rural regions,Sometimes,0.13799,216,22012,0.11856,0.15681
48,48,2003,5th Quintile,Rural regions,Seldom,0.21552,373,22012,0.19625,0.24218
49,49,2003,5th Quintile,Rural regions,Never,0.48037,731,22012,0.44849,0.51536
50,50,2008,1st Quintile,Urban regions,Very often,0.04147,83,19185,0.03351,0.04834
51,51,2008,1st Quintile,Urban regions,Often,0.08808,156,19185,0.07671,0.10088
52,52,2008,1st Quintile,Urban regions,Sometimes,0.09467,167,19185,0.0845,0.1032
53,53,2008,1st Quintile,Urban regions,Seldom,0.12551,257,19185,0.11375,0.13545
54,54,2008,1st Quintile,Urban regions,Never,0.65027,1219,19185,0.6219,0.67484
55,55,2008,1st Quintile,Rural regions,Very often,0.06126,68,19185,0.05057,0.0745
56,56,2008,1st Quintile,Rural regions,Often,0.0868,89,19185,0.07073,0.10111
57,57,2008,1st Quintile,Rural regions,Sometimes,0.08448,102,19185,0.07252,0.09495
58,58,2008,1st Quintile,Rural regions,Seldom,0.1524,167,19185,0.13512,0.17048
59,59,2008,1st Quintile,Rural regions,Never,0.61507,679,19185,0.57735,0.6502
60,60,2008,2nd Quintile,Urban regions,Very often,0.04694,88,19185,0.03782,0.05689
61,61,2008,2nd Quintile,Urban regions,Often,0.07172,134,19185,0.06393,0.08021
62,62,2008,2nd Quintile,Urban regions,Sometimes,0.06682,147,19185,0.05711,0.07735
63,63,2008,2nd Quintile,Urban regions,Seldom,0.15776,315,19185,0.14385,0.17195
64,64,2008,2nd Quintile,Urban regions,Never,0.65675,1291,19185,0.63164,0.68289
65,65,2008,2nd Quintile,Rural regions,Very often,0.06583,85,19185,0.05553,0.07562
66,66,2008,2nd Quintile,Rural regions,Often,0.09364,136,19185,0.08192,0.10669
67,67,2008,2nd Quintile,Rural regions,Sometimes,0.10024,137,19185,0.08802,0.11314
68,68,2008,2nd Quintile,Rural regions,Seldom,0.18328,247,19185,0.16373,0.20377
69,69,2008,2nd Quintile,Rural regions,Never,0.55702,753,19185,0.52708,0.58455
70,70,2008,3rd Quintile,Urban regions,Very often,0.04015,106,19185,0.03387,0.04801
71,71,2008,3rd Quintile,Urban regions,Often,0.08128,172,19185,0.07111,0.09102
72,72,2008,3rd Quintile,Urban regions,Sometimes,0.10365,215,19185,0.09313,0.11515
73,73,2008,3rd Quintile,Urban regions,Seldom,0.1561,354,19185,0.14353,0.16866
74,74,2008,3rd Quintile,Urban regions,Never,0.61882,1418,19185,0.59571,0.64436
75,75,2008,3rd Quintile,Rural regions,Very often,0.05497,82,19185,0.04286,0.06702
76,76,2008,3rd Quintile,Rural regions,Often,0.09296,147,19185,0.08154,0.10477
77,77,2008,3rd Quintile,Rural regions,Sometimes,0.11295,172,19185,0.09687,0.12936
78,78,2008,3rd Quintile,Rural regions,Seldom,0.1916,287,19185,0.17184,0.21522
79,79,2008,3rd Quintile,Rural regions,Never,0.54752,795,19185,0.5082,0.58151
80,80,2008,4th Quintile,Urban regions,Very often,0.04864,135,19185,0.04154,0.05621
81,81,2008,4th Quintile,Urban regions,Often,0.077,219,19185,0.06887,0.08658
82,82,2008,4th Quintile,Urban regions,Sometimes,0.10084,272,19185,0.08996,0.11208
83,83,2008,4th Quintile,Urban regions,Seldom,0.18634,473,19185,0.1755,0.20109
84,84,2008,4th Quintile,Urban regions,Never,0.58718,1499,19185,0.56644,0.61726
85,85,2008,4th Quintile,Rural regions,Very often,0.04207,60,19185,0.03093,0.05583
86,86,2008,4th Quintile,Rural regions,Often,0.10358,131,19185,0.0861,0.12066
87,87,2008,4th Quintile,Rural regions,Sometimes,0.11827,153,19185,0.09888,0.13607
88,88,2008,4th Quintile,Rural regions,Seldom,0.21661,282,19185,0.19707,0.2373
89,89,2008,4th Quintile,Rural regions,Never,0.51946,690,19185,0.47799,0.55548
90,90,2008,5th Quintile,Urban regions,Very often,0.04864,188,19185,0.04103,0.05632
91,91,2008,5th Quintile,Urban regions,Often,0.08691,354,19185,0.07695,0.09669
92,92,2008,5th Quintile,Urban regions,Sometimes,0.10843,429,19185,0.09786,0.11929
93,93,2008,5th Quintile,Urban regions,Seldom,0.19077,700,19185,0.17721,0.20511
94,94,2008,5th Quintile,Urban regions,Never,0.56525,2197,19185,0.54279,0.58796
95,95,2008,5th Quintile,Rural regions,Very often,0.08508,109,19185,0.06969,0.10202
96,96,2008,5th Quintile,Rural regions,Often,0.14047,176,19185,0.12101,0.16145
97,97,2008,5th Quintile,Rural regions,Sometimes,0.14071,189,19185,0.11993,0.16474
98,98,2008,5th Quintile,Rural regions,Seldom,0.21452,272,19185,0.18972,0.23957
99,99,2008,5th Quintile,Rural regions,Never,0.41922,589,19185,0.38847,0.45657
100,100,2013,1st Quintile,Urban regions,Very often,0.05198,199,25351,0.04339,0.06079
101,101,2013,1st Quintile,Urban regions,Often,0.08866,316,25351,0.07489,0.10134
102,102,2013,1st Quintile,Urban regions,Sometimes,0.08575,285,25351,0.07443,0.09661
103,103,2013,1st Quintile,Urban regions,Seldom,0.13448,404,25351,0.11818,0.15041
104,104,2013,1st Quintile,Urban regions,Never,0.63912,1859,25351,0.60579,0.67324
105,105,2013,1st Quintile,Rural regions,Very often,0.06615,163,25351,0.05266,0.07758
106,106,2013,1st Quintile,Rural regions,Often,0.0894,202,25351,0.07202,0.10911
107,107,2013,1st Quintile,Rural regions,Sometimes,0.11211,219,25351,0.09688,0.13173
108,108,2013,1st Quintile,Rural regions,Seldom,0.16919,314,25351,0.1438,0.19507
109,109,2013,1st Quintile,Rural regions,Never,0.56315,1137,25351,0.52246,0.60356
110,110,2013,2nd Quintile,Urban regions,Very often,0.05071,190,25351,0.04087,0.0603
111,111,2013,2nd Quintile,Urban regions,Often,0.07576,286,25351,0.06511,0.08733
112,112,2013,2nd Quintile,Urban regions,Sometimes,0.08303,283,25351,0.07056,0.09645
113,113,2013,2nd Quintile,Urban regions,Seldom,0.17549,499,25351,0.16008,0.19475
114,114,2013,2nd Quintile,Urban regions,Never,0.61501,1701,25351,0.58636,0.64207
115,115,2013,2nd Quintile,Rural regions,Very often,0.05537,146,25351,0.04478,0.06758
116,116,2013,2nd Quintile,Rural regions,Often,0.10129,254,25351,0.08886,0.1174
117,117,2013,2nd Quintile,Rural regions,Sometimes,0.13165,275,25351,0.11364,0.14792
118,118,2013,2nd Quintile,Rural regions,Seldom,0.16818,395,25351,0.14712,0.18894
119,119,2013,2nd Quintile,Rural regions,Never,0.5435,1088,25351,0.51012,0.57919
120,120,2013,3rd Quintile,Urban regions,Very often,0.04733,212,25351,0.03872,0.05636
121,121,2013,3rd Quintile,Urban regions,Often,0.08553,325,25351,0.07366,0.10075
122,122,2013,3rd Quintile,Urban regions,Sometimes,0.09393,311,25351,0.0841,0.10516
123,123,2013,3rd Quintile,Urban regions,Seldom,0.16641,472,25351,0.15171,0.18438
124,124,2013,3rd Quintile,Urban regions,Never,0.60681,1607,25351,0.57893,0.6419
125,125,2013,3rd Quintile,Rural regions,Very often,0.04928,136,25351,0.03802,0.06164
126,126,2013,3rd Quintile,Rural regions,Often,0.10052,258,25351,0.08531,0.1179
127,127,2013,3rd Quintile,Rural regions,Sometimes,0.10661,225,25351,0.09093,0.12488
128,128,2013,3rd Quintile,Rural regions,Seldom,0.19229,375,25351,0.16954,0.21465
129,129,2013,3rd Quintile,Rural regions,Never,0.5513,949,25351,0.51942,0.58099
130,130,2013,4th Quintile,Urban regions,Very often,0.06724,212,25351,0.05815,0.07673
131,131,2013,4th Quintile,Urban regions,Often,0.09706,349,25351,0.08605,0.10975
132,132,2013,4th Quintile,Urban regions,Sometimes,0.09349,332,25351,0.08105,0.10584
133,133,2013,4th Quintile,Urban regions,Seldom,0.17393,609,25351,0.16084,0.1915
134,134,2013,4th Quintile,Urban regions,Never,0.56828,1589,25351,0.54506,0.59723
135,135,2013,4th Quintile,Rural regions,Very often,0.05404,119,25351,0.04434,0.06463
136,136,2013,4th Quintile,Rural regions,Often,0.13845,235,25351,0.11644,0.1587
137,137,2013,4th Quintile,Rural regions,Sometimes,0.12874,224,25351,0.11172,0.14825
138,138,2013,4th Quintile,Rural regions,Seldom,0.2269,379,25351,0.20669,0.24836
139,139,2013,4th Quintile,Rural regions,Never,0.45187,793,25351,0.42308,0.48349
140,140,2013,5th Quintile,Urban regions,Very often,0.04799,228,25351,0.04246,0.05489
141,141,2013,5th Quintile,Urban regions,Often,0.09502,431,25351,0.08504,0.10274
142,142,2013,5th Quintile,Urban regions,Sometimes,0.11186,486,25351,0.10092,0.1238
143,143,2013,5th Quintile,Urban regions,Seldom,0.20048,784,25351,0.18495,0.2166
144,144,2013,5th Quintile,Urban regions,Never,0.54465,2118,25351,0.52322,0.56502
145,145,2013,5th Quintile,Rural regions,Very often,0.0662,92,25351,0.05162,0.08355
146,146,2013,5th Quintile,Rural regions,Often,0.12336,186,25351,0.10547,0.14347
147,147,2013,5th Quintile,Rural regions,Sometimes,0.12809,204,25351,0.10757,0.15139
148,148,2013,5th Quintile,Rural regions,Seldom,0.2509,321,25351,0.22523,0.27648
149,149,2013,5th Quintile,Rural regions,Never,0.43145,575,25351,0.39863,0.46301
150,150,2018,1st Quintile,Urban regions,Very often,0.07038,229,24268,0.06127,0.07875
151,151,2018,1st Quintile,Urban regions,Often,0.08757,267,24268,0.07775,0.10052
152,152,2018,1st Quintile,Urban regions,Sometimes,0.0772,244,24268,0.06692,0.09061
153,153,2018,1st Quintile,Urban regions,Seldom,0.15108,393,24268,0.13132,0.17218
154,154,2018,1st Quintile,Urban regions,Never,0.61377,1741,24268,0.57721,0.6493
155,155,2018,1st Quintile,Rural regions,Very often,0.05802,130,24268,0.04431,0.07289
156,156,2018,1st Quintile,Rural regions,Often,0.10035,197,24268,0.08229,0.12011
157,157,2018,1st Quintile,Rural regions,Sometimes,0.10256,179,24268,0.08654,0.11981
158,158,2018,1st Quintile,Rural regions,Seldom,0.14997,250,24268,0.12504,0.17953
159,159,2018,1st Quintile,Rural regions,Never,0.5891,1015,24268,0.54253,0.64478
160,160,2018,2nd Quintile,Urban regions,Very often,0.0664,213,24268,0.05574,0.07944
161,161,2018,2nd Quintile,Urban regions,Often,0.07186,286,24268,0.06169,0.08477
162,162,2018,2nd Quintile,Urban regions,Sometimes,0.09921,288,24268,0.08529,0.11109
163,163,2018,2nd Quintile,Urban regions,Seldom,0.14729,460,24268,0.12967,0.1642
164,164,2018,2nd Quintile,Urban regions,Never,0.61524,1920,24268,0.58451,0.64353
165,165,2018,2nd Quintile,Rural regions,Very often,0.0535,125,24268,0.04447,0.06381
166,166,2018,2nd Quintile,Rural regions,Often,0.11924,237,24268,0.10067,0.1395
167,167,2018,2nd Quintile,Rural regions,Sometimes,0.12275,245,24268,0.10341,0.14201
168,168,2018,2nd Quintile,Rural regions,Seldom,0.1699,328,24268,0.14815,0.19292
169,169,2018,2nd Quintile,Rural regions,Never,0.53461,1121,24268,0.5043,0.57081
170,170,2018,3rd Quintile,Urban regions,Very often,0.05871,205,24268,0.05115,0.06642
171,171,2018,3rd Quintile,Urban regions,Often,0.10386,305,24268,0.08878,0.12009
172,172,2018,3rd Quintile,Urban regions,Sometimes,0.1017,300,24268,0.08766,0.11974
173,173,2018,3rd Quintile,Urban regions,Seldom,0.16186,490,24268,0.14549,0.17857
174,174,2018,3rd Quintile,Urban regions,Never,0.57387,1603,24268,0.54591,0.59527
175,175,2018,3rd Quintile,Rural regions,Very often,0.05709,126,24268,0.04807,0.06664
176,176,2018,3rd Quintile,Rural regions,Often,0.11123,235,24268,0.09815,0.12581
177,177,2018,3rd Quintile,Rural regions,Sometimes,0.10805,196,24268,0.0888,0.12515
178,178,2018,3rd Quintile,Rural regions,Seldom,0.20904,336,24268,0.18545,0.23574
179,179,2018,3rd Quintile,Rural regions,Never,0.51459,934,24268,0.4836,0.55054
180,180,2018,4th Quintile,Urban regions,Very often,0.06114,224,24268,0.05164,0.06984
181,181,2018,4th Quintile,Urban regions,Often,0.09926,314,24268,0.08649,0.11226
182,182,2018,4th Quintile,Urban regions,Sometimes,0.12078,375,24268,0.10512,0.13511
183,183,2018,4th Quintile,Urban regions,Seldom,0.17234,523,24268,0.15753,0.18867
184,184,2018,4th Quintile,Urban regions,Never,0.54648,1562,24268,0.51669,0.57596
185,185,2018,4th Quintile,Rural regions,Very often,0.08433,131,24268,0.06755,0.09841
186,186,2018,4th Quintile,Rural regions,Often,0.12161,187,24268,0.10369,0.14307
187,187,2018,4th Quintile,Rural regions,Sometimes,0.13946,221,24268,0.12052,0.16403
188,188,2018,4th Quintile,Rural regions,Seldom,0.20479,322,24268,0.17922,0.22837
189,189,2018,4th Quintile,Rural regions,Never,0.44982,741,24268,0.41891,0.49374
190,190,2018,5th Quintile,Urban regions,Very often,0.0648,233,24268,0.05361,0.076
191,191,2018,5th Quintile,Urban regions,Often,0.08575,354,24268,0.07366,0.09472
192,192,2018,5th Quintile,Urban regions,Sometimes,0.1258,440,24268,0.1116,0.14258
193,193,2018,5th Quintile,Urban regions,Seldom,0.20889,742,24268,0.19225,0.22483
194,194,2018,5th Quintile,Urban regions,Never,0.51476,1920,24268,0.48662,0.54298
195,195,2018,5th Quintile,Rural regions,Very often,0.08192,106,24268,0.06507,0.09721
196,196,2018,5th Quintile,Rural regions,Often,0.12091,176,24268,0.09851,0.14573
197,197,2018,5th Quintile,Rural regions,Sometimes,0.14588,208,24268,0.12319,0.16538
198,198,2018,5th Quintile,Rural regions,Seldom,0.22019,314,24268,0.19765,0.24297
199,199,2018,5th Quintile,Rural regions,Never,0.43109,577,24268,0.39879,0.46669
